UCL_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
UCL212005,129,112,100,64,12,0,515,0,104,129,142,119,48,9,7,555,184,749,650,509,437,218,90,29,2872,115,373,361,434,389,255,104,31,2065,564,959,894,814,673,402,180,57,4543,63,83,52,43,48,20,0,0,320,40,69,78,67,78,44,16,13,404,669,1114,1029,925,798,468,193,74,5262,13,21,17,17,27,28,14,7,145,357,273,272,380,420,448,427,245,2827,1357,2722,2586,2521,2284,1528,848,398,14242
UCL213001,83,71,51,21,9,0,309,0,50,63,54,62,35,3,0,262,67,334,325,225,165,102,31,14,1262,88,267,275,248,223,114,37,11,1260,303,653,560,558,389,232,88,14,2797,31,39,23,26,17,12,3,0,157,31,47,51,41,53,47,6,3,278,363,744,630,629,456,287,98,15,3222,4,9,12,14,13,14,3,4,77,128,145,179,171,170,200,139,89,1224,673,1618,1576,1398,1134,777,327,130,7626
UCL213002,31,21,22,17,3,0,130,0,23,27,33,37,23,5,0,153,40,184,148,118,151,108,55,18,808,50,129,121,152,152,152,65,34,850,219,428,329,344,308,205,125,34,1991,28,28,26,16,14,9,7,0,129,16,38,30,33,46,32,15,15,220,260,496,384,392,370,241,144,52,2340,6,10,13,9,10,14,14,4,77,213,169,154,181,219,297,270,199,1699,571,1042,878,904,954,851,548,302,6055
UCL213003,18,25,21,19,8,3,102,0,13,21,21,29,20,6,0,108,41,166,146,81,120,77,29,12,658,34,115,123,141,148,87,42,14,711,236,434,345,325,281,157,80,25,1868,27,30,23,16,16,4,0,0,116,24,36,38,26,27,16,8,8,190,290,497,399,364,325,174,84,25,2172,4,9,7,14,9,7,4,0,47,128,124,79,149,169,173,171,101,1088,503,940,797,790,809,553,338,161,4900
UCL213004,26,26,27,15,11,0,137,3,35,40,32,50,18,6,0,179,39,200,145,115,124,98,33,13,764,37,164,148,147,120,116,39,14,790,248,533,389,357,296,209,102,20,2153,25,21,21,13,12,14,3,0,116,11,37,31,26,29,39,12,4,190,289,592,438,402,338,265,116,27,2460,0,9,4,5,18,9,7,11,60,113,101,122,154,138,169,138,64,1006,485,1141,922,883,812,690,346,123,5396
UCL213005,40,30,39,34,10,3,179,6,29,49,41,53,28,16,0,213,47,190,210,182,177,120,52,6,993,57,140,168,202,235,158,75,12,1051,197,416,406,411,374,269,146,38,2246,23,30,22,14,14,13,3,0,128,12,30,29,37,55,42,21,4,230,227,474,459,469,443,326,169,41,2609,8,3,10,3,10,11,12,0,66,105,68,82,104,136,177,198,115,988,451,927,1026,1036,1097,854,537,184,6103
UCL213006,39,15,17,7,4,0,128,6,36,49,34,29,19,8,0,182,38,230,232,148,149,77,30,9,915,41,142,127,149,149,105,47,14,776,204,415,394,432,310,225,103,41,2121,22,26,19,17,11,12,4,4,107,13,21,22,31,32,37,12,3,167,239,462,441,476,355,266,114,43,2401,0,7,7,3,10,9,10,5,51,153,130,113,143,190,223,234,146,1340,480,1056,1000,970,904,718,457,213,5798
UCL213007,71,42,35,18,5,0,229,5,61,47,50,49,12,5,3,230,91,334,246,189,172,98,32,16,1174,52,175,212,187,238,127,55,18,1063,303,615,424,404,382,186,77,26,2418,37,47,24,17,19,16,7,5,181,19,30,39,35,43,25,14,3,207,362,692,488,460,443,230,91,34,2808,6,12,3,16,12,11,16,6,79,156,150,124,148,182,212,178,105,1253,679,1471,1188,1090,1126,708,384,193,6838
UCL213008,60,38,32,11,5,0,198,3,43,54,42,24,12,3,0,180,68,342,343,172,103,51,17,3,1101,74,223,277,206,184,91,25,9,1095,261,513,484,485,312,190,68,13,2329,25,28,31,15,15,4,3,0,126,20,28,38,34,40,21,12,3,198,305,569,553,539,367,217,83,18,2650,0,3,19,13,14,13,3,3,68,93,91,107,99,104,99,74,34,698,544,1325,1414,1104,827,500,210,72,5992
UCL213009,43,32,22,22,4,0,169,0,25,36,27,37,24,0,3,152,43,290,235,135,98,82,31,4,912,62,216,241,195,154,121,44,11,1044,215,585,408,394,307,201,99,22,2232,16,22,24,22,17,8,0,0,108,17,28,38,31,34,29,16,3,196,250,642,468,443,357,238,122,30,2538,0,7,3,5,5,6,11,6,52,87,73,73,81,99,123,96,44,677,448,1296,1100,914,766,614,307,99,5551
UCL213010,19,13,11,17,8,0,91,7,23,21,24,25,21,0,0,118,55,152,108,104,121,74,31,16,655,57,131,121,166,196,95,49,12,822,326,554,434,526,475,305,154,43,2819,49,49,38,19,27,4,4,0,189,22,28,41,46,47,44,16,3,251,400,634,520,587,547,355,176,44,3260,0,8,11,5,13,12,11,3,70,211,159,157,204,253,290,252,129,1639,725,1129,953,1105,1171,859,514,207,6661
UCL213011,17,19,18,3,3,0,85,0,23,22,21,26,13,6,0,111,51,171,108,86,82,40,18,6,572,46,129,114,130,125,82,29,12,675,232,447,332,397,376,266,118,52,2216,52,46,35,24,18,16,4,0,191,20,32,26,37,35,19,5,3,186,301,520,394,457,427,299,125,64,2590,9,9,10,18,14,12,3,0,71,207,225,170,236,243,239,231,76,1636,618,1094,839,969,938,698,424,152,5730
UCL213012,176,146,116,97,20,9,650,7,74,139,149,155,91,14,0,622,69,472,717,510,458,294,92,20,2640,43,192,326,328,381,284,101,37,1698,207,413,552,469,470,298,109,33,2556,18,19,23,11,16,13,6,0,106,10,21,26,42,59,55,17,11,255,236,452,600,527,553,365,135,52,2919,0,5,10,13,21,22,10,9,96,83,91,122,122,169,223,112,63,988,441,1366,2099,1804,1850,1380,482,188,9610
UCL213013,18,19,13,8,4,0,73,3,12,32,26,29,13,4,0,113,16,131,142,89,99,60,17,5,563,30,66,104,116,123,69,33,12,554,160,317,322,341,311,162,63,13,1689,29,17,22,21,16,7,0,0,125,13,23,25,35,35,24,6,6,160,203,359,365,391,366,189,69,20,1976,4,0,3,9,9,5,8,3,46,133,96,119,129,189,177,132,83,1060,406,687,777,778,812,526,280,127,4389
UCL213014,63,44,30,14,8,3,234,3,52,60,67,44,26,4,0,249,64,327,285,168,171,80,34,19,1152,47,192,183,182,167,111,50,20,944,241,473,349,392,329,217,92,23,2125,25,26,18,26,22,7,3,0,121,18,25,34,35,43,19,9,3,180,290,522,400,450,391,237,107,30,2427,3,30,12,9,11,16,3,3,85,146,150,140,168,192,189,175,95,1250,556,1338,1135,1083,1003,667,382,178,6340
UCL213015,31,8,18,0,0,0,81,0,26,28,25,31,14,3,0,127,55,245,165,103,83,38,17,8,713,38,115,130,111,114,67,30,12,608,202,384,252,263,198,119,44,16,1478,23,24,20,19,14,6,0,0,99,19,23,26,21,19,11,5,3,130,250,431,294,304,231,136,51,19,1709,3,11,11,10,4,6,4,3,47,182,155,153,157,161,206,164,94,1276,531,1000,802,717,636,463,268,133,4562
UCL213016,217,157,89,70,16,0,660,5,80,121,87,121,53,13,0,481,82,654,829,504,358,223,55,16,2734,44,227,354,340,275,225,70,30,1568,134,397,496,479,316,191,87,22,2119,10,9,21,19,21,16,0,0,104,4,32,48,43,37,41,15,3,222,152,438,561,539,379,247,106,24,2446,3,3,11,12,15,13,15,3,85,119,107,155,163,143,154,100,47,988,411,1617,2257,1798,1376,987,376,129,8955
UCL213017,71,52,45,24,0,3,275,0,44,58,79,72,31,17,0,307,98,348,323,220,243,130,68,23,1445,70,194,222,270,250,154,93,23,1280,337,591,538,518,441,290,121,50,2886,43,25,38,30,34,11,3,0,190,22,36,69,44,46,33,20,9,287,405,657,637,589,520,341,141,57,3358,0,16,16,20,12,14,17,8,99,205,129,169,182,236,274,297,313,1797,787,1455,1494,1409,1381,971,641,427,8560
UCL213018,71,73,71,38,9,0,323,3,35,62,57,92,52,7,4,311,58,312,284,226,234,150,45,13,1315,50,157,193,239,184,143,77,23,1067,247,490,371,429,317,263,116,36,2264,27,29,22,33,18,14,3,0,147,23,25,31,36,39,31,14,4,207,295,546,421,499,369,312,128,37,2620,7,19,5,7,8,22,11,4,83,114,97,116,143,165,213,176,84,1110,535,1219,1149,1243,1125,935,465,162,6826
UCL214001,10,8,12,5,3,0,58,0,11,13,27,15,21,4,0,89,34,82,73,71,80,34,9,8,397,18,54,69,107,82,94,21,8,449,76,196,194,218,165,122,50,15,1041,13,11,19,16,8,3,0,0,71,12,15,20,17,20,19,3,3,114,101,223,228,253,194,147,56,18,1218,4,10,3,10,12,4,3,3,52,78,60,57,61,86,101,97,51,593,243,460,450,532,479,403,199,85,2854
UCL214002,14,18,31,13,3,0,108,0,18,19,28,28,28,5,0,135,24,126,97,91,95,74,35,18,554,28,84,89,129,122,118,56,20,651,147,243,224,264,264,174,96,47,1463,28,21,11,10,11,14,4,3,111,10,15,29,21,24,35,10,8,145,186,285,271,293,298,224,109,55,1719,0,5,0,8,13,6,8,3,43,113,86,90,123,151,180,163,94,992,357,618,577,698,745,640,391,190,4204
UCL214003,97,104,92,74,31,3,434,3,27,60,85,82,54,11,0,320,24,154,259,251,229,185,77,22,1199,10,61,99,132,154,156,72,20,710,102,180,166,205,208,123,81,21,1090,10,10,11,13,9,12,5,3,71,0,10,20,17,33,23,10,4,117,121,193,199,234,243,158,94,35,1272,10,3,3,6,10,12,14,5,63,154,333,285,246,196,174,168,130,1686,315,809,1002,1059,1006,813,467,210,5685
UCL214004,6,9,3,0,4,0,40,0,8,4,11,4,6,0,0,38,28,66,56,48,43,23,6,0,265,19,58,47,57,46,41,9,0,284,79,142,126,136,111,89,57,15,748,11,15,12,13,3,4,0,0,56,9,8,18,16,12,15,5,0,82,96,159,157,161,123,100,59,15,886,3,4,3,3,5,3,5,5,28,60,65,45,50,84,110,114,38,569,210,378,329,334,305,298,199,61,2107
UCL214005,0,0,0,0,0,0,4,0,0,3,4,3,3,0,0,9,0,14,16,4,9,8,0,0,49,0,0,13,14,6,14,3,3,56,16,21,36,45,29,20,5,0,180,3,3,7,0,0,0,0,0,10,0,3,0,3,0,5,0,0,11,23,31,43,43,27,26,5,0,208,0,0,0,0,3,0,0,0,6,14,9,8,3,18,26,13,0,91,39,52,91,70,69,79,23,4,421
UCL214006,82,60,54,27,3,0,266,3,34,71,65,48,30,5,0,255,70,246,377,224,150,82,22,10,1191,41,129,206,181,119,89,45,14,823,120,292,310,316,183,129,54,11,1411,16,10,18,16,3,0,0,0,66,8,20,35,28,30,28,13,3,163,144,320,356,358,218,157,68,13,1639,3,5,13,5,3,12,3,0,51,53,53,85,96,79,111,62,65,601,321,830,1184,987,659,516,215,110,4823
UCL214007,23,29,19,15,11,0,125,3,23,25,37,26,5,0,0,132,36,163,134,102,133,86,30,16,695,23,80,100,98,102,78,49,17,542,173,283,218,262,227,172,51,22,1403,45,22,17,21,17,3,4,0,126,10,18,13,19,26,24,9,4,115,224,323,251,302,271,203,60,25,1649,3,0,9,6,9,6,7,0,37,86,61,54,76,119,143,147,105,800,376,671,592,660,682,531,302,162,3984
UCL214008,25,34,25,16,12,3,139,0,17,36,28,32,17,8,0,140,22,140,195,136,116,79,29,5,719,31,116,132,127,127,92,29,19,668,119,275,222,276,255,142,78,21,1402,19,18,11,19,12,8,5,4,98,4,13,24,20,34,20,5,4,128,138,309,260,318,301,178,93,28,1625,0,5,0,5,8,10,6,5,42,56,60,79,106,111,138,91,34,676,251,660,739,748,717,533,266,97,4012
UCL214009,21,26,33,27,6,0,136,0,12,21,24,39,24,8,0,128,16,90,121,79,112,106,31,10,561,12,48,81,62,77,112,48,14,444,26,116,134,122,135,132,59,19,755,0,5,6,3,3,5,0,0,32,0,8,12,10,15,28,13,6,94,30,129,154,138,157,167,75,24,883,0,3,4,10,0,12,6,7,40,30,28,30,57,65,113,100,47,473,90,330,435,404,481,558,267,97,2661
UCL214010,26,22,16,11,6,0,104,0,18,30,32,13,4,0,0,103,26,102,117,72,62,30,23,8,437,32,86,105,111,56,50,15,3,463,125,235,240,218,164,114,50,15,1170,14,12,13,10,9,7,0,0,73,11,15,20,20,24,24,10,7,134,148,267,278,259,199,141,59,21,1370,0,3,3,3,3,4,4,0,21,111,65,77,88,68,103,85,20,613,317,549,636,581,422,342,196,59,3108
UCL214011,12,3,11,9,0,0,46,3,14,10,14,12,8,7,0,66,17,93,85,50,51,25,17,3,337,17,51,53,68,81,39,27,12,351,99,206,157,167,157,101,34,14,937,16,21,13,8,6,6,3,0,69,10,19,23,18,13,9,0,5,93,125,239,193,189,179,119,42,20,1107,0,3,5,7,4,4,9,0,32,63,43,67,67,73,140,129,77,666,230,458,417,399,412,341,221,116,2601
UCL214012,6,9,13,14,0,0,47,0,12,12,12,18,9,3,0,56,18,35,42,54,73,49,20,0,296,5,49,46,61,100,82,29,10,378,84,128,144,172,225,184,97,21,1053,8,16,7,13,12,14,0,0,72,9,15,20,15,22,29,12,3,125,98,160,171,197,262,230,114,27,1252,7,3,3,0,3,4,4,0,32,61,48,82,93,128,185,125,104,812,187,313,362,428,590,574,283,137,2874
UCL214013,15,12,18,13,0,0,67,0,13,18,13,17,9,3,0,77,12,84,75,53,44,44,31,3,351,9,57,64,53,60,45,24,13,322,68,192,158,124,128,95,30,15,812,16,11,7,10,10,3,0,0,52,8,12,7,6,11,20,3,0,72,92,214,176,145,147,120,37,14,936,0,0,0,3,3,6,6,0,23,56,43,33,55,50,98,68,38,441,165,425,385,340,338,335,167,69,2215
UCL214014,5,7,15,7,0,0,48,4,9,4,12,10,16,3,0,53,26,67,56,51,51,49,26,13,335,15,47,59,53,72,74,23,12,354,104,192,189,225,206,184,88,32,1222,6,18,23,22,12,5,0,0,89,12,16,24,16,25,17,9,0,110,121,230,239,265,244,200,99,31,1422,0,3,4,6,3,9,6,3,27,78,48,76,100,110,170,160,82,815,245,421,443,496,491,522,309,135,3061
UCL214015,27,23,39,32,12,3,136,4,5,13,20,44,28,3,0,119,23,53,96,89,134,133,31,5,571,15,34,64,91,149,131,53,21,566,54,100,116,203,267,254,97,40,1132,5,15,3,6,13,18,6,0,68,4,13,16,19,41,29,9,6,135,62,128,138,232,320,296,115,42,1339,3,4,6,7,16,14,12,6,61,46,40,58,76,139,228,136,86,806,153,274,405,539,842,858,360,167,3592
UCL214016,5,4,11,5,0,0,36,0,10,10,11,14,7,3,0,48,23,58,53,53,46,33,9,0,276,27,60,60,78,63,37,11,9,353,88,158,163,160,145,103,31,17,860,14,17,21,13,9,4,0,0,80,13,11,19,15,19,3,5,5,89,112,189,196,185,178,113,39,19,1032,0,8,7,3,4,6,5,0,44,95,64,93,95,125,119,119,79,796,251,392,421,430,443,318,187,112,2575
UCL214017,9,3,10,5,4,0,45,0,3,11,12,10,5,0,0,46,18,69,62,37,52,38,12,4,292,15,51,58,67,56,49,17,5,320,95,127,139,164,130,115,49,12,826,16,12,13,15,6,10,0,0,73,4,11,12,18,23,9,0,0,79,114,155,164,190,159,131,46,14,980,0,16,3,4,10,7,4,0,43,81,58,54,77,94,100,106,51,619,221,360,359,396,391,348,194,77,2349
UCL214018,30,14,22,8,0,0,98,3,23,34,31,18,6,0,0,111,31,121,131,71,62,40,7,3,472,39,114,151,135,74,35,7,0,563,147,359,290,316,201,81,20,7,1417,24,22,15,16,14,3,0,0,91,20,21,32,27,25,3,3,0,135,191,404,330,360,236,92,24,11,1649,3,3,10,6,3,7,0,0,28,122,113,109,110,124,86,45,5,712,391,800,795,730,532,273,88,18,3635
UCL214019,14,7,11,8,3,0,56,0,14,13,16,12,6,3,0,76,11,86,79,51,56,66,29,3,374,26,67,65,85,75,72,31,10,431,94,230,191,239,232,160,82,35,1263,12,24,15,19,15,3,3,0,96,3,18,8,30,29,23,11,0,121,111,270,215,279,278,192,92,34,1475,4,13,3,3,8,9,5,3,41,95,79,43,122,139,162,184,103,924,248,544,434,572,577,519,344,150,3386
UCL214020,23,13,10,10,4,3,73,0,10,13,17,14,19,0,0,75,16,99,113,64,66,60,28,13,456,14,50,85,74,108,78,39,9,450,113,230,233,232,211,165,108,29,1319,11,7,17,15,20,5,0,3,82,7,17,20,20,18,30,5,7,115,136,250,258,261,254,204,115,33,1519,4,0,4,4,11,16,11,4,44,97,77,81,112,149,203,178,115,1004,269,498,575,545,609,588,372,170,3624
UCL215001,3,11,19,10,0,0,51,0,3,6,9,10,4,0,0,32,6,12,32,50,66,23,20,5,212,8,12,13,19,31,30,19,0,131,4,18,24,27,43,17,8,3,142,3,0,0,0,0,0,0,0,10,0,0,0,6,7,4,7,0,26,7,17,24,39,48,25,14,3,172,0,0,0,0,0,0,0,0,3,15,7,9,17,15,19,18,0,100,37,50,85,137,187,120,65,13,702
UCL215002,10,3,7,5,0,0,36,0,8,14,7,5,7,3,0,45,3,27,50,29,23,27,6,3,169,5,25,26,22,41,38,20,9,185,27,67,74,68,67,50,25,8,392,0,6,3,3,3,3,0,0,21,0,3,5,4,7,12,5,3,41,29,80,79,80,82,64,28,14,450,3,0,0,0,0,7,0,0,7,34,11,22,33,46,56,42,22,264,73,162,188,169,211,196,104,47,1150
UCL215003,21,14,22,27,3,0,112,0,5,14,22,14,14,3,0,80,7,61,82,88,85,95,24,9,445,4,25,28,44,60,56,28,5,252,23,48,45,72,79,48,18,4,341,0,6,3,5,3,3,4,0,19,0,0,3,6,7,11,9,3,41,27,52,47,81,90,66,30,13,404,0,0,4,4,0,4,4,0,16,21,18,16,25,29,48,27,23,208,65,185,215,276,307,305,119,47,1515
