UCL_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
UCL221071,4,3,5,7,0,0,0,0,0,15,0,3,3,0,7,0,0,0,0,14,5,4,37,8,3,3,6,4,0,75,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,18,50,45,13,20,5,9,7,3,182
UCL221072,0,0,3,3,0,0,0,0,0,12,0,3,0,4,0,0,0,0,0,9,4,4,19,7,8,3,4,12,0,61,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,0,4,3,0,8,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,3,5,19,24,60,26,24,17,12,10,18,12,202
UCL221073,0,3,0,0,3,3,0,0,0,10,6,7,7,6,3,0,0,0,0,24,10,5,25,4,3,4,3,3,3,67,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,40,46,37,23,16,14,4,8,3,188
UCL221074,0,3,0,3,3,3,0,0,0,13,0,4,0,0,3,0,0,0,0,18,6,0,32,3,0,0,0,8,0,56,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,34,33,25,6,9,4,14,0,149
UCL221075,3,8,0,3,0,0,0,0,0,16,0,5,0,3,3,0,0,0,0,13,3,3,14,15,4,3,6,11,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,14,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,6,17,43,26,25,15,3,3,15,4,144
UCL221076,0,0,3,0,3,0,0,0,0,8,0,3,3,3,3,0,0,0,0,21,4,4,40,3,6,4,5,11,0,79,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,3,6,10,24,47,13,19,5,12,19,4,152
UCL221077,0,0,0,3,0,0,0,0,0,11,0,0,0,7,0,0,0,0,0,9,6,0,10,0,6,3,3,6,0,31,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,9,25,11,12,12,15,3,4,9,0,97
UCL221078,0,0,3,5,0,0,0,0,0,12,0,6,4,4,0,0,0,0,3,20,9,4,28,4,3,5,3,6,0,58,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,3,0,5,16,36,30,18,13,9,5,14,3,145
UCL221079,3,9,0,7,0,0,0,0,0,16,8,3,0,10,7,0,0,3,0,35,14,5,49,13,12,7,6,12,0,120,0,0,0,0,0,0,0,0,0,4,0,3,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,8,31,67,57,38,28,10,12,22,3,264
UCL221080,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,8,0,16,5,3,6,6,7,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,26,23,10,6,10,6,7,0,105
UCL221081,0,7,4,3,0,0,0,0,0,19,7,4,0,5,8,0,0,0,0,30,17,3,35,12,11,3,10,7,0,98,3,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,15,50,128,48,39,32,11,12,13,3,330
UCL221082,0,3,0,0,3,0,0,0,0,11,0,0,0,4,5,0,0,0,0,16,5,0,46,10,9,8,6,9,0,92,0,0,0,3,4,0,0,0,0,3,0,0,0,3,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,16,28,55,30,18,9,19,9,4,184
UCL222001,0,4,0,3,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,8,6,0,15,0,0,0,0,0,3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,13,41,22,10,13,4,0,0,4,105
UCL222002,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,5,7,17,4,4,3,4,3,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,28,48,21,10,15,3,0,5,3,134
UCL222003,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,6,4,0,11,3,5,5,3,0,3,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,15,15,13,10,5,3,5,3,81
UCL222004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,3,0,0,0,0,0,0,14
UCL222005,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,12,6,0,3,0,3,0,24,0,0,0,0,0,0,0,5,0,5,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,8,5,9,10,13,0,4,4,7,0,54
UCL222006,0,0,0,3,5,0,0,0,0,13,3,3,0,3,3,0,0,0,0,15,9,0,21,4,11,3,3,3,3,67,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,13,30,30,17,23,5,3,4,3,135
UCL222007,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,4,11,0,4,3,3,3,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,14,6,9,3,3,4,3,63
UCL222008,3,0,0,0,0,0,0,0,0,11,4,0,0,3,0,0,0,0,0,5,0,0,9,4,0,0,3,3,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,20,27,14,12,10,3,3,3,0,88
UCL222009,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,8,3,0,10,6,3,0,3,7,3,36,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,9,15,5,4,3,4,0,68
UCL222010,0,3,3,3,3,0,0,0,0,10,0,8,0,3,4,0,0,0,0,18,5,0,19,3,0,4,3,3,7,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,15,21,29,8,9,6,4,6,4,98
UCL222011,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,6,11,0,20,11,4,3,0,3,0,49,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,29,19,18,10,4,5,11,0,113
UCL222012,0,0,3,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,8,4,17,5,3,3,0,7,0,49,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,18,21,8,11,4,4,5,0,93
UCL222013,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,3,0,14,0,0,3,9,4,0,36,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,20,3,9,3,7,3,0,61
UCL222014,7,0,0,3,3,0,0,0,0,11,0,5,0,0,3,0,0,0,0,15,3,0,25,3,6,4,0,3,0,47,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,6,16,36,31,14,19,10,3,7,0,135
UCL222015,0,3,0,0,0,0,0,0,0,10,0,0,0,3,4,3,0,3,0,11,5,0,26,9,4,4,4,8,0,67,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,23,31,14,17,9,8,14,5,134
UCL222016,0,0,0,0,0,0,0,0,0,6,3,0,4,4,0,0,0,0,0,12,0,0,30,3,0,0,14,5,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,10,21,34,16,8,4,15,11,0,121
UCL222017,3,3,0,0,0,0,0,0,0,4,0,0,3,3,4,3,0,0,0,16,6,0,24,14,9,5,8,19,0,80,0,0,0,0,0,0,0,3,0,7,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,13,20,25,23,15,10,6,26,3,135
UCL222018,0,3,0,4,0,0,0,0,0,14,0,0,4,4,0,0,0,0,0,7,6,0,26,3,5,0,8,4,0,55,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,25,29,19,12,5,10,8,0,114
UCL222019,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,3,0,4,9,0,0,3,3,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,8,13,3,3,3,6,0,43
UCL222020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,12,0,3,0,0,3,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,13,0,3,0,0,7,0,43
UCL222021,3,0,0,0,0,0,0,0,0,8,4,0,0,0,3,0,0,0,0,12,3,0,5,0,0,3,0,0,0,13,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,4,12,3,3,3,13,0,67
UCL222022,0,0,3,0,0,0,0,0,0,7,3,3,3,5,6,3,0,0,0,22,7,0,20,5,10,0,5,3,0,60,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18,20,33,15,18,8,5,9,0,129
UCL222023,0,0,0,3,0,0,0,0,0,4,3,3,0,0,3,0,0,0,0,11,3,3,14,5,3,0,0,7,0,28,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,18,16,11,4,3,3,8,0,68
UCL222024,0,3,0,4,3,3,0,0,0,13,0,0,0,3,0,0,0,0,0,10,0,0,19,5,3,0,7,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,16,19,14,9,6,7,3,0,69
UCL222025,0,0,0,0,3,0,0,0,0,7,3,3,3,3,3,0,0,0,0,18,7,7,27,5,4,3,6,7,0,67,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,30,31,18,18,3,8,12,0,137
UCL222026,5,0,0,3,0,0,0,0,0,9,3,0,0,0,0,0,0,3,0,10,14,0,11,4,3,3,5,3,0,36,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,8,13,13,9,10,11,14,0,103
UCL222027,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,5,4,3,6,0,0,0,0,3,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,11,6,7,4,0,4,4,3,56
UCL222028,0,4,0,3,3,0,0,0,0,7,0,0,0,6,7,0,0,0,0,18,3,6,5,4,3,7,4,11,0,39,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,30,14,19,16,13,5,6,0,120
UCL222029,3,0,0,0,0,0,0,0,0,8,3,3,0,0,0,0,0,0,0,10,7,0,16,9,4,0,3,9,0,41,0,0,0,0,0,3,0,0,0,5,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,10,22,19,18,3,8,7,7,0,90
UCL222030,0,0,0,0,0,0,0,0,0,3,0,3,0,0,4,0,0,0,0,8,4,0,3,6,4,3,3,3,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,5,11,5,8,9,3,3,5,0,54
UCL222031,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,5,6,0,17,5,0,3,3,3,4,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,12,22,6,11,3,3,3,4,71
UCL222032,0,0,0,0,3,0,0,0,0,6,0,3,7,7,3,0,0,3,0,20,6,4,21,7,7,3,9,4,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,15,28,41,22,16,7,6,10,0,148
UCL222033,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,4,11,3,14,0,0,6,5,3,43
UCL222034,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,7,0,0,9,0,0,0,0,3,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,13,16,7,8,3,0,3,0,58
UCL222035,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,7,3,0,7,3,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,5,7,4,4,3,0,4,0,36
UCL222036,3,0,3,0,0,0,0,0,0,10,5,0,0,4,0,0,0,0,0,8,8,0,7,3,0,0,0,4,0,25,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,32,12,11,0,5,0,7,0,102
UCL222037,3,0,0,0,0,0,0,0,0,4,3,4,0,4,0,4,0,0,0,14,9,0,9,9,0,0,0,3,0,31,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,28,14,15,20,7,5,0,10,0,91
UCL222038,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,7,0,0,15,4,0,3,0,4,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,4,3,16,10,6,5,5,7,0,50
UCL222039,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,8,3,0,3,7,3,0,0,4,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,4,13,7,3,0,5,0,47
UCL222040,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,3,4,0,0,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,7,9,4,3,0,0,0,12,0,33
UCL222041,3,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,3,0,6,7,3,6,3,3,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,8,7,9,8,3,11,0,70
UCL222042,0,0,0,0,0,0,0,0,0,6,3,3,3,0,0,0,0,0,0,11,3,3,17,4,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,25,16,19,3,4,3,0,0,77
UCL222043,0,4,0,0,0,0,0,0,0,6,0,3,0,0,3,0,0,0,0,7,10,4,26,8,5,0,7,4,0,64,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,24,27,9,20,0,7,10,0,115
UCL222044,0,3,0,0,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,6,5,3,19,4,3,0,0,0,0,39,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,11,24,21,11,15,3,3,3,0,95
UCL222045,0,3,0,3,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,8,8,0,15,3,4,0,10,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,18,11,9,7,5,10,8,3,80
UCL222046,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,12,3,0,0,4,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,13,3,7,0,8,4,0,42
UCL222047,0,3,0,0,0,0,0,0,0,8,4,3,0,3,0,0,0,0,0,10,10,3,20,4,3,3,9,12,0,63,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,12,17,25,11,14,3,13,10,0,115
UCL222048,0,0,0,3,0,0,0,0,0,6,0,3,0,4,0,0,0,0,0,13,3,3,12,6,5,0,3,10,0,41,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,14,19,12,11,0,5,12,5,80
UCL222049,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,5,3,3,0,0,9,0,20,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,6,4,3,9,3,3,4,7,14,0,47
UCL222050,3,0,0,0,3,0,0,0,0,9,0,5,3,3,0,0,0,0,0,14,7,3,23,3,7,7,3,5,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,14,29,9,15,8,8,8,3,100
UCL222051,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,11,5,0,13,9,3,0,7,6,0,42,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,13,16,16,3,3,6,13,0,87
UCL222052,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,9,0,0,3,3,3,3,0,6,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,4,3,6,3,0,8,0,40
UCL222053,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,4,0,6,7,0,0,0,4,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,15,7,8,0,0,3,9,0,64
UCL222054,3,3,3,0,0,0,0,0,0,11,0,3,0,4,3,0,0,0,0,10,0,0,14,0,0,0,3,4,0,21,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,16,19,4,4,0,7,11,0,71
UCL222055,0,3,0,3,0,0,0,0,0,4,0,0,0,6,0,3,0,0,4,17,7,0,9,3,0,0,6,3,0,21,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,7,20,47,9,16,7,4,5,11,0,119
UCL222056,4,0,0,0,0,0,0,0,0,4,3,0,0,3,0,0,0,0,0,8,6,0,11,4,3,0,0,3,0,28,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,17,18,12,8,5,3,7,0,81
UCL222057,3,0,0,3,3,0,0,0,0,13,0,3,0,3,0,0,0,0,0,11,9,0,32,0,3,9,6,8,0,73,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,0,0,4,17,18,37,7,8,11,13,10,4,132
UCL222058,0,0,0,0,4,0,0,0,0,4,3,0,0,0,0,0,0,0,0,12,11,0,19,6,3,0,3,3,0,43,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,19,24,13,13,5,9,4,0,101
UCL222059,0,3,0,3,0,0,0,0,0,8,0,4,0,4,0,0,0,3,0,19,3,0,18,6,0,8,3,7,0,48,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,11,9,18,23,3,7,5,14,0,94
UCL222060,0,3,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,9,3,0,11,0,7,0,3,0,0,29,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,16,13,12,11,9,0,3,7,0,80
UCL222061,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,7,3,0,10,8,3,0,7,6,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,7,12,12,12,16,5,0,6,7,0,64
UCL222062,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,0,0,0,0,8,0,0,9,5,0,0,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,3,8,18,14,16,3,3,3,3,0,71
UCL222063,0,0,0,0,3,0,0,0,0,7,3,3,0,0,3,0,0,0,0,13,0,3,10,9,3,3,3,9,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20,13,10,11,6,3,9,0,80
UCL222064,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,3,0,0,7,5,0,0,0,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,3,9,7,11,5,7,3,13,3,59
