UCL_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
UCL215070,0,3,0,7,0,0,0,3,0,18,8,3,8,11,3,0,0,6,0,36,15,4,23,8,8,9,12,22,8,113,0,0,0,3,0,0,0,0,0,11,0,0,0,6,0,3,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,6,32,40,67,31,45,25,15,17,60,18,309
UCL215071,7,13,3,8,7,0,3,0,0,47,11,6,4,17,4,0,0,0,0,37,36,9,84,44,26,15,24,35,3,272,0,3,0,3,3,0,0,3,0,21,0,0,3,3,0,7,0,4,0,23,0,0,0,0,0,0,0,0,0,4,5,5,9,3,3,0,8,8,3,37,75,118,100,79,50,32,31,46,10,553
UCL215072,21,24,13,16,15,3,6,4,0,92,23,30,7,39,33,7,3,3,0,144,39,21,216,49,45,31,45,49,8,508,0,0,3,4,7,3,4,0,0,22,5,8,8,8,6,9,3,7,0,52,0,3,0,0,3,0,0,3,0,8,3,3,13,5,3,7,13,9,5,52,133,239,266,157,132,75,75,79,12,1170
UCL215073,0,7,0,3,0,3,0,0,0,16,7,7,3,10,0,3,0,0,0,34,20,5,73,28,15,12,21,16,3,186,3,0,0,4,0,3,0,0,0,11,0,0,0,0,0,3,0,0,0,13,0,0,0,0,0,3,0,0,0,8,3,3,6,0,0,0,6,3,3,23,34,54,83,55,23,28,24,22,7,335
UCL215074,5,11,7,7,5,3,0,7,0,40,11,13,0,16,8,9,3,5,0,63,29,11,99,34,22,16,22,33,0,261,0,0,0,0,3,0,0,0,0,8,0,0,0,3,3,0,0,4,0,13,0,0,0,0,0,0,0,0,0,4,7,0,3,3,8,0,3,4,3,33,83,127,115,71,66,32,30,55,4,581
UCL215075,5,9,0,0,3,3,0,0,0,25,4,5,4,11,7,3,0,9,0,49,16,7,49,18,13,3,7,6,3,125,0,0,0,3,0,0,0,0,0,3,0,0,3,7,4,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,5,49,87,65,46,36,14,9,26,5,339
UCL215076,0,10,5,0,5,0,3,0,0,30,12,10,3,29,12,0,0,0,0,75,30,7,154,29,25,16,28,38,3,337,0,0,0,0,9,0,0,0,0,12,3,3,0,0,3,0,0,3,0,14,0,3,4,0,5,0,3,0,0,12,0,0,6,13,3,4,3,3,10,38,56,95,173,84,79,27,37,58,15,630
UCL215077,3,10,0,5,0,0,0,3,0,26,7,6,3,12,3,0,0,6,0,38,35,4,63,38,6,8,8,33,3,198,7,0,0,0,0,5,0,0,0,19,6,0,0,9,7,0,0,6,0,26,0,0,0,0,0,0,0,0,0,0,8,8,3,3,0,0,0,12,3,35,76,88,75,67,30,18,17,54,10,433
UCL215078,0,11,4,4,3,0,0,0,0,29,6,9,11,14,6,0,3,3,0,53,30,8,99,34,21,14,27,17,3,252,0,0,3,4,0,0,3,0,0,16,0,0,3,10,8,4,0,3,0,26,0,0,0,0,3,0,0,0,0,5,0,0,3,3,0,0,0,3,0,17,61,77,127,77,58,19,41,31,6,492
UCL215079,6,24,5,6,3,3,0,3,0,49,23,22,17,37,25,3,0,4,0,134,44,18,145,48,43,27,26,63,10,431,3,0,0,3,0,0,0,3,0,15,3,8,3,5,13,3,4,3,0,35,0,0,0,0,3,0,0,5,0,14,4,3,4,3,6,4,7,12,3,49,132,260,194,126,118,51,42,110,23,1037
