UCL_CODE_2016,POL_Greek_SEO,POL_Greek_SOLSE_VWorW,POL_Greek_SOLSE_NWorNAA,POL_Greek_SOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_SOLSE_VWorW,POL_IAL_Bengali_SOLSE_NWorNAA,POL_IAL_Bengali_SOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_SOLSE_VWorW,POL_IAL_Hindi_SOLSE_NWorNAA,POL_IAL_Hindi_SOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_SOLSE_VWorW,POL_IAL_Punjabi_SOLSE_NWorNAA,POL_IAL_Punjabi_SOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhalese_SEO,POL_IAL_Sinhalese_SOLSE_VWorW,POL_IAL_Sinhale_SOLSE_NWorNAA,POL_IAL_Sinhalese_SOLSE_Tot,POL_IAL_Sinhalese_NS,POL_IAL_Sinhalese_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_SOLSE_VWorW,POL_IAL_Urdu_SOLSE_NWorNAA,POL_IAL_Urdu_SOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_SOLSE_VWorW,POL_IAL_Oth_SOLSE_NWorNAA,POL_IAL_Oth_SOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_SOLSE_VWorW,POL_IAL_Tot_SOLSE_NWorNAA,POL_IAL_Tot_SOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_SOLSE_VWorW,POL_Italian_SOLSE_NWorNAA,POL_Italian_SOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japanese_SEO,POL_Japanese_SOLSE_VWorW,POL_Japanese_SOLSE_NWorNAA,POL_Japanese_SOLSE_Tot,POL_Japanese_NS,POL_Japanese_Tot,POL_Korean_SEO,POL_Korean_SOLSE_VWorW,POL_Korean_SOLSE_NWorNAA,POL_Korean_SOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedonian_SEO,POL_Macedonian_SOLSE_VWorW,POL_Macedonian_SOLSE_NWorNAA,POL_Macedonian_SOLSE_Tot,POL_Macedonian_NS,POL_Macedonian_Tot,POL_Maltese_SEO,POL_Maltese_SOLSE_VWorW,POL_Maltese_SOLSE_NWorNAA,POL_Maltese_SOLSE_Tot,POL_Maltese_NS,POL_Maltese_Tot,POL_Persian_ED_SEO,POL_Persian_ED_SOLSE_VWorW,POL_Persian_ED_SOLSE_NWorNAA,POL_Persian_ED_SOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_SOLSE_VWorW,POL_Polish_SOLSE_NWorNAA,POL_Polish_SOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Russian_SEO,POL_Russian_SOLSE_VWorW,POL_Russian_SOLSE_NWorNAA,POL_Russian_SOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_SOLSE_VWorW,POL_Samoan_SOLSE_NWorNAA,POL_Samoan_SOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_SOLSE_VWorW,POL_Serbian_SOLSE_NWorNAA,POL_Serbian_SOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipino_SEO,POL_SAL_Filipino_SOLSE_VWorW,POL_SAL_Filipin_SOLSE_NWorNAA,POL_SAL_Filipino_SOLSE_Tot,POL_SAL_Filipino_NS,POL_SAL_Filipino_Tot,POL_SAL_Indonesian_SEO,POL_SAL_Indonesia_SOLSE_VWorW,POL_SAL_Indones_SOLSE_NWorNAA,POL_SAL_Indonesian_SOLSE_Tot,POL_SAL_Indonesian_NS,POL_SAL_Indonesian_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_SOLSE_VWorW,POL_SAL_Tagalog_SOLSE_NWorNAA,POL_SAL_Tagalog_SOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_SOLSE_VWorW,POL_SAL_Oth_SOLSE_NWorNAA,POL_SAL_Oth_SOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_SOLSE_VWorW,POL_SAL_Tot_SOLSE_NWorNAA,POL_SAL_Tot_SOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_SOLSE_VWorW,POL_Spanish_SOLSE_NWorNAA,POL_Spanish_SOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_SOLSE_VWorW,POL_Tamil_SOLSE_NWorNAA,POL_Tamil_SOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_SOLSE_VWorW,POL_Thai_SOLSE_NWorNAA,POL_Thai_SOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_SOLSE_VWorW,POL_Turkish_SOLSE_NWorNAA,POL_Turkish_SOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_SOLSE_VWorW,POL_Vietnamese_SOLSE_NWorNAA,POL_Vietnamese_SOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_SOLSE_VWorW,POL_Oth_SOLSE_NWorNAA,POL_Oth_SOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_SOLSE_VWorW,POL_Tot_SOLSE_NWorNAA,POL_Tot_SOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LSatH_NS_SEO,P_LSatH_NS_SOLSE_VWorW,P_LSatH_NS_SOLSE_NWorNAA,P_LSatH_NS_SOLSE_Tot,P_LSatH_NS_NS,P_LSatH_NS_Tot,P_Tot_SEO,P_Tot_SOLSE_VWorW,P_Tot_SOLSE_NWorNAA,P_Tot_SOLSE_Tot,P_Tot_NS,P_Tot_Tot
UCL212005,..,26,0,26,0,28,..,4,0,4,0,4,..,31,4,35,0,36,..,13,3,14,0,12,..,57,10,65,0,65,..,0,0,0,0,0,..,17,0,17,0,20,..,118,8,132,3,130,..,32,3,34,0,34,..,48,3,47,0,47,..,28,56,79,0,79,..,0,0,0,0,0,..,5,0,5,0,7,..,0,0,4,0,4,..,7,0,7,0,4,..,8,4,17,0,17,..,6,0,6,0,6,..,0,0,0,0,0,..,36,0,36,0,36,..,26,0,29,0,29,..,29,0,31,0,31,..,8,0,9,0,9,..,98,9,107,0,107,..,22,3,27,0,27,..,27,0,27,0,27,..,32,10,43,0,44,..,9,3,12,0,12,..,12,3,16,0,16,..,183,38,215,7,224,..,1013,371,1383,28,1410,..,87,7,98,2071,2168,27127,1102,381,1482,2098,30709
UCL213001,..,61,3,64,0,62,..,0,0,0,0,0,..,33,0,33,0,33,..,79,8,88,0,92,..,5,3,7,0,7,..,9,0,9,0,9,..,20,5,20,0,20,..,149,14,166,0,161,..,62,5,73,0,73,..,8,3,11,0,11,..,0,0,0,0,0,..,9,0,13,0,13,..,55,3,55,0,55,..,0,0,0,0,0,..,27,7,28,0,32,..,5,0,5,0,5,..,13,0,14,0,14,..,25,0,25,0,27,..,10,0,10,0,10,..,0,0,3,0,3,..,14,3,19,0,19,..,7,0,7,0,7,..,29,5,35,0,35,..,44,3,52,0,52,..,6,0,6,0,6,..,14,0,14,0,14,..,3,0,3,0,3,..,34,3,39,0,35,..,146,28,178,3,183,..,910,103,1012,14,1021,..,22,0,27,955,986,15299,932,104,1036,969,17302
UCL213002,..,4,0,4,3,5,..,0,0,0,0,0,..,25,0,27,0,28,..,10,0,10,0,10,..,8,0,8,0,8,..,3,0,3,0,3,..,10,0,10,0,10,..,58,0,58,0,61,..,68,6,76,3,79,..,5,0,5,0,5,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,9,3,18,0,18,..,0,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,32,0,33,0,33,..,0,0,0,0,0,..,32,0,32,0,32,..,5,0,5,0,5,..,68,0,73,0,73,..,5,0,7,0,11,..,17,0,15,0,15,..,12,0,12,0,12,..,0,0,0,0,0,..,25,24,45,0,45,..,52,11,62,4,62,..,456,77,539,15,555,..,42,0,45,1271,1319,11081,501,77,580,1289,12952
UCL213003,..,5,0,5,0,5,..,0,0,0,0,0,..,4,0,7,0,7,..,10,0,10,0,10,..,7,0,7,0,7,..,3,0,4,0,4,..,3,0,4,0,4,..,30,4,28,0,28,..,49,9,52,4,55,..,7,0,7,0,7,..,4,3,3,0,3,..,0,0,0,0,0,..,7,0,7,0,7,..,7,6,12,0,12,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,3,0,3,..,23,0,23,0,23,..,9,0,5,0,5,..,11,0,13,0,13,..,13,0,12,0,12,..,52,0,57,0,57,..,4,0,4,0,4,..,4,0,4,0,4,..,7,0,4,0,4,..,0,0,0,0,0,..,12,3,18,0,18,..,158,20,177,11,186,..,466,99,565,11,576,..,25,12,34,734,768,10547,492,102,595,742,11891
UCL213004,..,20,5,25,0,25,..,0,0,0,0,0,..,4,0,4,0,4,..,3,0,5,0,5,..,6,0,6,0,6,..,0,0,0,0,0,..,4,0,4,0,4,..,26,0,22,0,22,..,41,9,48,0,48,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,3,0,3,..,4,0,4,0,4,..,7,0,7,0,7,..,12,3,13,0,13,..,4,0,4,0,4,..,0,0,0,0,0,..,13,0,16,0,16,..,22,0,22,0,26,..,3,0,3,0,3,..,3,0,3,0,3,..,3,0,3,0,3,..,33,0,33,0,29,..,16,3,23,0,23,..,5,0,5,0,5,..,4,3,5,0,5,..,0,0,0,0,0,..,4,3,9,0,9,..,59,17,72,3,72,..,412,60,478,8,480,..,23,0,26,810,831,10572,432,65,497,814,11887
UCL213005,..,33,3,38,0,37,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,3,0,3,0,3,..,22,0,22,0,22,..,51,7,57,0,60,..,9,0,9,0,9,..,3,0,3,0,3,..,3,0,3,0,3,..,6,0,6,0,10,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,3,3,6,0,6,..,3,0,3,0,3,..,8,0,8,0,8,..,9,0,9,0,9,..,0,0,0,0,0,..,18,0,18,0,18,..,17,3,14,0,14,..,3,0,3,0,3,..,6,0,7,0,7,..,11,0,9,0,9,..,8,0,9,0,9,..,68,12,81,0,79,..,421,37,454,9,463,..,48,0,53,595,644,11376,465,41,509,595,12482
UCL213006,..,14,0,10,0,13,..,0,0,0,0,0,..,5,0,5,0,5,..,7,0,7,0,7,..,21,0,22,0,22,..,0,0,0,0,0,..,10,3,7,0,7,..,36,0,42,0,42,..,24,12,36,0,36,..,3,0,7,0,7,..,3,3,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,17,0,17,0,17,..,3,0,3,0,3,..,24,0,25,0,25,..,0,0,0,0,0,..,49,0,49,0,49,..,11,0,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,3,0,3,..,8,0,8,0,8,..,77,14,87,3,95,..,327,46,370,7,375,..,57,3,55,915,968,11555,384,48,433,921,12906
UCL213007,..,17,0,15,0,15,..,12,0,12,0,12,..,19,3,23,0,23,..,11,0,11,0,11,..,13,0,13,0,11,..,7,0,7,0,9,..,27,3,26,0,26,..,89,7,96,3,98,..,75,4,78,0,79,..,7,0,7,0,7,..,8,0,6,0,6,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,13,0,9,0,9,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,29,3,29,0,29,..,0,0,0,0,0,..,31,0,35,0,35,..,10,0,13,0,13,..,78,3,84,0,84,..,16,0,19,0,19,..,10,0,10,0,10,..,3,3,5,0,5,..,19,4,27,0,27,..,9,0,9,0,9,..,132,39,170,3,176,..,599,75,672,7,687,..,37,4,39,831,874,14072,631,83,713,843,15627
UCL213008,..,18,0,18,0,18,..,3,0,3,0,3,..,28,0,28,0,27,..,29,3,35,0,35,..,18,3,20,0,20,..,0,0,0,0,0,..,6,0,5,0,5,..,81,9,88,0,91,..,61,3,63,0,69,..,11,0,11,0,11,..,0,0,0,0,0,..,32,0,31,0,31,..,17,0,18,0,18,..,6,0,6,0,6,..,15,0,15,0,16,..,9,0,13,0,13,..,9,0,10,0,10,..,25,4,26,0,26,..,89,4,90,0,90,..,13,0,13,0,13,..,108,4,114,0,112,..,4,0,4,0,4,..,215,5,220,0,219,..,27,3,32,0,32,..,4,0,4,0,4,..,14,3,20,0,20,..,13,3,15,0,15,..,35,9,40,0,45,..,96,18,116,3,120,..,904,69,974,10,985,..,25,3,30,543,572,11773,928,78,1006,547,13334
UCL213009,..,47,7,53,0,60,..,8,0,11,0,11,..,21,4,25,0,25,..,29,3,28,0,31,..,6,0,6,0,6,..,11,0,11,0,11,..,12,0,15,0,17,..,81,9,88,3,91,..,79,8,90,5,94,..,6,0,10,0,10,..,0,0,0,0,0,..,3,0,4,0,4,..,7,0,7,0,7,..,7,0,7,0,7,..,17,0,19,0,19,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,22,0,22,0,22,..,11,0,11,0,11,..,26,0,21,0,21,..,0,0,0,0,0,..,58,0,55,0,55,..,11,0,11,0,11,..,0,0,0,0,0,..,9,0,4,0,4,..,19,0,17,0,17,..,8,6,15,0,15,..,98,16,112,7,122,..,589,75,664,20,684,..,27,0,27,418,449,10742,621,75,694,441,11875
UCL213010,..,56,11,64,0,64,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,13,0,13,0,13,..,0,0,0,0,0,..,5,0,5,0,5,..,34,0,34,0,34,..,55,7,62,0,63,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,3,..,91,9,98,0,98,..,0,0,0,0,0,..,19,3,21,0,21,..,7,3,11,0,11,..,3,0,3,0,3,..,24,12,40,4,37,..,29,0,32,0,32,..,5,0,5,0,5,..,28,3,28,0,28,..,3,0,9,0,9,..,65,3,70,0,70,..,14,0,18,0,18,..,3,0,3,0,3,..,7,0,7,0,7,..,9,0,9,0,9,..,14,0,14,0,14,..,123,46,172,3,174,..,770,141,910,12,924,..,45,4,45,1084,1136,13005,815,147,964,1098,15059
UCL213011,..,75,20,102,3,106,..,9,0,12,0,12,..,17,0,21,0,21,..,20,4,21,0,21,..,16,0,16,0,16,..,9,0,9,0,9,..,18,3,14,0,14,..,83,5,88,0,88,..,345,84,423,5,429,..,3,4,3,0,3,..,4,0,4,0,4,..,0,0,0,0,0,..,69,6,78,0,80,..,0,0,0,0,0,..,30,6,32,0,32,..,3,0,3,0,3,..,0,0,0,0,0,..,5,6,9,0,9,..,28,10,39,0,39,..,11,3,9,0,9,..,50,0,50,0,50,..,3,0,3,0,3,..,93,8,104,0,104,..,18,3,22,0,22,..,5,0,5,0,5,..,5,4,10,0,10,..,0,0,0,0,0,..,6,6,13,0,13,..,136,29,170,0,170,..,1127,223,1348,23,1375,..,52,4,51,1246,1293,10869,1178,228,1401,1267,13540
UCL213012,..,35,0,35,0,35,..,0,0,0,0,0,..,3,0,3,0,3,..,5,0,5,0,5,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,15,0,15,0,15,..,82,4,85,0,85,..,14,0,18,0,17,..,6,0,6,0,6,..,3,3,8,0,8,..,10,0,9,0,9,..,0,0,0,0,0,..,12,0,12,0,12,..,3,0,3,0,3,..,0,0,0,0,0,..,5,0,3,0,3,..,5,0,5,0,5,..,10,0,10,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,23,0,23,0,23,..,20,0,23,0,22,..,0,0,0,0,0,..,11,3,15,0,15,..,3,0,3,0,3,..,4,0,4,0,4,..,72,5,80,0,80,..,517,48,567,8,571,..,39,3,41,764,810,16820,556,51,610,773,18205
UCL213013,..,3,0,3,0,4,..,10,0,10,0,10,..,12,0,12,0,12,..,0,0,0,0,0,..,14,3,16,0,16,..,3,0,3,0,3,..,4,3,6,0,6,..,39,7,44,0,44,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,3,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,12,3,11,0,11,..,15,0,18,0,18,..,4,6,8,0,8,..,37,6,47,0,47,..,4,5,6,0,6,..,0,0,0,0,0,..,12,0,11,0,11,..,0,0,0,0,0,..,10,3,11,0,11,..,36,6,44,0,44,..,241,29,272,7,274,..,32,0,31,784,820,8968,268,32,305,788,10061
UCL213014,..,11,0,7,0,11,..,7,0,7,0,7,..,32,3,32,0,36,..,49,3,53,0,53,..,25,3,26,0,26,..,22,0,28,0,28,..,15,0,22,0,22,..,149,13,163,0,163,..,44,5,52,0,52,..,5,0,7,0,7,..,3,0,3,0,3,..,6,0,6,0,6,..,0,0,0,0,0,..,5,0,5,0,5,..,24,0,23,0,22,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,9,0,9,..,21,0,27,0,27,..,4,0,4,0,4,..,41,4,43,0,43,..,18,0,16,0,16,..,82,8,92,0,92,..,4,3,10,0,10,..,18,14,31,0,31,..,14,3,13,0,15,..,0,0,0,0,0,..,33,18,51,0,47,..,95,16,118,3,118,..,684,127,809,12,818,..,32,0,33,982,1019,11673,717,130,843,991,13511
UCL213015,..,4,0,4,0,4,..,13,0,13,0,13,..,12,0,13,0,13,..,112,26,144,3,145,..,13,3,19,0,19,..,9,0,14,0,14,..,3,0,3,0,3,..,174,28,202,3,209,..,144,31,174,6,184,..,0,0,3,0,3,..,10,0,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,8,3,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,22,0,24,0,24,..,23,11,39,0,37,..,29,0,29,0,29,..,22,12,29,0,33,..,96,20,118,3,123,..,11,3,14,0,14,..,3,0,7,0,7,..,10,0,10,0,10,..,3,0,3,0,3,..,10,15,25,3,24,..,180,115,293,6,295,..,739,241,986,26,1014,..,32,11,40,1072,1119,8473,775,258,1030,1099,10600
UCL213016,..,36,3,40,0,40,..,0,0,0,0,0,..,17,0,12,0,12,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,10,0,10,..,33,3,34,0,34,..,89,7,91,0,94,..,23,5,28,0,28,..,5,5,7,0,7,..,16,6,24,0,24,..,7,3,10,0,11,..,12,0,7,0,7,..,5,0,5,0,5,..,10,0,12,0,12,..,5,0,5,0,5,..,6,0,3,0,3,..,5,0,5,0,5,..,20,0,20,0,20,..,8,0,8,0,8,..,0,0,0,0,0,..,28,0,28,0,28,..,36,0,33,0,33,..,0,0,0,0,0,..,9,3,12,0,12,..,3,0,0,0,0,..,7,0,10,0,10,..,129,27,156,3,155,..,708,71,780,10,789,..,21,0,21,772,790,15365,723,71,795,779,16948
UCL213017,..,21,6,24,0,24,..,4,0,3,0,3,..,8,0,11,0,11,..,31,0,37,0,37,..,18,0,21,0,21,..,16,0,16,0,16,..,30,0,32,0,32,..,109,10,120,0,120,..,300,74,373,6,375,..,11,0,17,0,17,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,9,0,12,0,12,..,5,0,5,0,5,..,0,0,0,0,0,..,10,0,8,0,8,..,7,3,11,0,11,..,24,0,24,0,24,..,4,0,9,0,6,..,29,3,36,0,36,..,7,0,7,0,7,..,65,3,73,0,70,..,13,5,14,0,14,..,12,0,15,0,15,..,4,3,3,3,10,..,7,4,15,0,15,..,8,0,8,0,8,..,72,13,93,6,92,..,812,150,954,15,969,..,51,3,58,1330,1391,16202,860,153,1012,1346,18566
UCL213018,..,22,0,25,0,24,..,9,0,9,0,9,..,9,0,9,0,9,..,34,4,36,0,36,..,13,3,15,0,15,..,6,0,6,0,6,..,15,0,13,0,13,..,80,9,85,0,85,..,68,4,77,0,82,..,12,0,17,0,17,..,5,0,5,0,5,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,15,0,16,0,16,..,13,0,13,0,13,..,9,0,9,0,9,..,6,0,6,0,6,..,9,0,12,0,12,..,6,0,6,0,6,..,19,0,19,0,19,..,3,0,3,0,3,..,39,0,41,0,41,..,14,0,17,0,17,..,13,0,13,0,13,..,5,3,7,0,7,..,0,0,0,0,0,..,11,3,16,0,16,..,104,19,119,5,127,..,616,91,704,12,712,..,41,3,48,779,829,12732,657,99,748,791,14276
UCL214001,..,3,0,3,0,3,..,0,0,0,0,0,..,12,0,12,0,12,..,24,0,24,0,26,..,3,0,3,0,3,..,24,0,21,0,21,..,0,0,0,0,0,..,61,0,68,3,68,..,15,3,20,0,20,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,30,0,30,0,30,..,9,0,9,0,9,..,15,0,15,0,15,..,0,0,0,0,0,..,47,0,47,0,47,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,3,0,7,0,7,..,11,4,20,0,20,..,26,6,39,4,39,..,269,59,336,10,341,..,13,6,23,334,357,6225,284,70,355,344,6925
UCL214002,..,0,0,3,0,3,..,4,0,4,0,4,..,14,0,14,0,14,..,14,0,15,0,15,..,9,0,6,0,6,..,5,0,5,0,5,..,7,0,7,0,7,..,40,3,46,0,46,..,22,0,25,0,20,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,4,0,4,0,4,..,10,0,11,0,11,..,14,0,12,0,12,..,0,0,0,0,0,..,3,0,3,0,3,..,10,0,10,0,10,..,4,0,4,0,4,..,10,0,10,0,10,..,3,0,3,0,3,..,23,0,22,0,22,..,7,0,7,0,7,..,10,0,10,0,10,..,4,3,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,47,14,60,0,60,..,278,37,314,10,322,..,19,0,19,689,712,8270,299,37,335,698,9298
UCL214003,..,9,0,9,0,9,..,0,0,0,0,0,..,3,0,3,0,10,..,13,3,16,0,16,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,27,3,30,3,30,..,27,0,27,0,27,..,9,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,9,0,6,0,9,..,0,0,0,0,0,..,9,0,9,0,9,..,4,0,4,0,4,..,15,0,15,0,16,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,26,0,26,0,23,..,17,0,18,0,18,..,3,0,3,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,3,0,3,..,41,7,47,5,53,..,302,71,373,11,388,..,22,0,25,1474,1497,8050,324,69,398,1487,9932
UCL214004,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,10,0,10,..,80,10,92,0,91,..,4,0,4,0,4,..,5,6,14,0,14,..,4,0,4,0,4,..,101,17,119,0,125,..,162,36,199,5,199,..,4,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,11,0,11,0,11,..,4,3,8,0,8,..,6,0,6,0,6,..,3,3,4,0,4,..,23,6,28,0,28,..,0,0,0,0,0,..,7,3,14,0,14,..,7,0,7,0,6,..,3,0,3,0,3,..,0,0,0,0,0,..,35,6,41,3,40,..,490,123,615,7,627,..,18,4,21,394,408,4342,512,127,631,403,5375
UCL214005,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,3,4,0,4,..,18,3,26,0,26,..,0,0,0,43,51,951,24,3,28,43,1024
UCL214006,..,14,0,14,0,21,..,0,0,0,0,0,..,8,0,8,0,8,..,6,3,12,0,12,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,21,3,28,0,28,..,66,5,67,0,67,..,9,3,16,0,16,..,0,0,0,0,0,..,6,3,14,0,14,..,20,0,20,0,20,..,3,0,3,0,3,..,10,4,12,0,12,..,0,0,0,0,0,..,0,0,0,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,5,0,5,0,5,..,11,0,11,0,11,..,24,7,28,0,28,..,3,0,3,0,3,..,3,0,7,0,7,..,0,0,0,0,0,..,11,0,7,0,7,..,51,10,66,6,69,..,384,60,447,11,451,..,21,0,21,513,534,8835,407,60,465,518,9822
UCL214007,..,9,0,9,0,12,..,3,0,3,0,3,..,11,0,11,0,11,..,12,3,17,0,17,..,0,0,4,0,4,..,0,0,0,0,0,..,5,0,5,0,5,..,28,6,31,0,31,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,5,0,5,0,5,..,5,0,5,0,5,..,3,0,3,0,3,..,3,0,3,0,3,..,17,0,17,0,17,..,9,0,9,0,9,..,0,0,0,0,0,..,10,3,10,0,10,..,0,0,0,0,0,..,6,3,10,0,10,..,60,17,76,3,81,..,249,46,292,0,300,..,29,0,33,472,501,8091,283,42,327,476,8888
UCL214008,..,17,0,19,0,19,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,27,0,28,4,37,..,15,4,18,0,18,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,12,3,13,0,13,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,12,0,12,0,12,..,11,0,14,0,14,..,0,0,0,0,0,..,9,0,9,0,9,..,0,0,0,0,0,..,3,0,3,0,3,..,45,10,59,0,55,..,290,28,314,7,323,..,18,3,24,449,475,7686,307,28,338,458,8480
