UCL_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
UCL215024,397,0,3,0,0,406,210,0,0,0,0,210,72,0,5,0,0,78,13,0,10,0,0,26,35,5,3,0,0,39,0,0,0,0,0,0,7,0,0,0,0,8,0,0,0,0,0,0,128,5,22,3,0,156,3,0,0,0,0,5,16,0,3,3,0,25,753,4,31,8,0,794
UCL215025,179,0,0,3,0,182,113,0,0,0,0,113,55,0,5,0,0,60,11,0,0,0,0,9,61,0,0,0,0,56,0,0,0,0,0,0,6,0,0,0,0,6,4,0,0,0,0,5,136,0,6,0,0,151,6,0,0,0,0,9,19,0,0,0,0,21,447,0,12,3,0,470
UCL215026,685,150,18,0,3,860,430,19,5,0,0,460,303,37,42,0,6,390,7,26,0,0,0,31,96,9,3,0,0,112,0,13,0,0,0,11,5,7,0,3,0,19,21,3,0,0,0,26,433,97,54,3,5,590,7,5,0,0,0,18,51,19,4,0,0,75,1608,296,83,6,15,2008
UCL215027,263,4,0,115,12,395,259,0,0,70,12,346,59,0,0,29,0,98,27,17,0,0,0,44,61,3,0,15,4,78,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,9,156,25,0,43,7,235,7,7,0,0,0,12,24,30,0,7,0,67,714,69,0,239,33,1051
UCL215028,600,7,0,10,6,622,405,0,0,0,7,411,171,14,3,0,0,189,19,0,19,0,0,43,123,7,0,0,4,136,3,6,3,0,0,18,4,3,0,0,0,7,6,0,0,0,0,5,319,35,26,0,5,391,8,3,0,0,0,13,45,0,0,0,0,51,1384,49,30,7,17,1488
UCL215029,207,0,0,0,0,207,419,0,0,0,3,425,78,4,0,0,0,87,0,0,0,0,0,0,42,4,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,126,10,0,0,0,137,0,0,0,0,0,0,22,0,0,0,0,22,778,8,8,0,3,792
UCL215030,295,0,0,0,5,297,162,0,0,0,5,167,32,3,0,0,0,43,9,0,0,0,0,5,28,3,0,0,0,28,3,0,3,0,0,5,10,0,0,0,0,12,3,0,0,0,0,8,82,6,6,0,0,103,3,0,0,0,0,3,15,0,3,0,0,21,562,11,13,0,9,595
UCL215031,260,7,5,3,0,275,131,0,0,0,0,134,20,0,0,0,0,17,12,8,7,0,0,24,55,0,0,0,0,58,0,0,0,0,0,0,8,0,0,0,0,9,4,0,0,0,0,5,94,11,10,3,0,114,4,0,3,0,0,4,13,0,9,0,0,19,501,16,21,9,0,554
UCL215032,530,24,11,0,3,567,340,3,3,0,0,343,108,8,16,3,0,133,20,12,0,0,0,33,61,4,9,0,0,77,0,18,0,0,0,20,10,6,3,0,0,15,6,3,0,0,0,8,205,54,24,4,0,290,0,7,0,0,0,6,37,4,3,0,0,43,1106,90,49,13,3,1255
UCL215033,83,9,0,0,0,91,609,30,0,0,0,633,50,11,0,0,0,66,0,0,0,0,0,0,9,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,14,0,0,0,77,0,0,0,0,0,0,14,0,0,0,0,20,772,51,0,0,0,816
UCL215034,236,9,6,6,0,260,96,0,3,0,0,94,51,14,6,0,0,77,15,0,5,0,0,20,10,3,0,0,0,18,0,0,8,0,0,10,4,0,0,4,0,12,13,0,0,0,0,13,93,18,19,8,3,149,0,0,8,0,0,10,13,0,0,0,0,16,434,31,40,13,3,523
UCL215035,143,0,7,0,0,149,201,0,7,0,0,207,22,0,0,0,0,29,0,0,0,0,0,0,9,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,42,0,0,0,0,46,3,0,0,0,0,3,10,0,0,0,0,17,402,0,13,0,3,418
UCL215036,104,0,0,0,0,107,202,0,0,0,0,202,32,0,0,0,0,32,0,0,0,0,0,0,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,44,0,0,0,0,44,0,0,0,0,0,0,8,0,0,0,0,8,369,0,0,0,0,365
UCL215037,344,0,4,4,0,356,189,0,4,3,0,199,74,0,7,0,0,84,4,0,0,0,0,4,52,0,0,3,0,58,3,0,0,0,0,3,6,0,0,7,0,12,7,0,0,0,0,7,142,0,8,6,3,165,0,0,0,0,0,3,45,0,0,3,0,45,726,4,15,23,5,769
UCL215038,239,0,0,0,0,240,200,0,0,3,0,199,89,0,5,0,0,96,6,4,0,0,0,11,52,0,0,0,0,52,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,144,5,5,0,0,160,0,0,0,0,0,0,18,3,0,0,0,20,598,14,5,3,0,615
UCL215039,209,0,6,3,3,219,151,0,0,0,0,154,47,3,12,0,0,62,7,0,6,0,0,14,36,0,4,0,0,46,6,0,0,0,0,10,3,0,0,0,0,3,0,0,0,0,0,0,102,0,19,0,0,130,0,0,0,0,0,0,21,0,4,0,0,18,486,0,34,7,3,529
UCL215040,637,0,20,6,0,669,360,0,3,3,0,371,166,0,12,0,0,179,50,0,7,0,0,57,72,0,4,0,0,81,3,0,0,0,0,3,9,0,0,0,0,12,17,0,3,3,0,23,322,0,32,3,0,355,15,0,0,0,0,19,49,0,8,0,0,55,1380,0,57,18,0,1461
UCL215041,206,0,0,0,0,206,365,0,0,0,0,361,121,0,0,0,0,123,6,27,0,0,0,31,38,0,0,0,0,41,4,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,171,26,0,0,0,200,4,0,0,0,0,4,21,3,0,0,0,22,771,26,0,0,0,797
UCL215042,205,0,0,3,0,208,227,0,0,4,0,230,57,8,0,0,0,68,7,6,0,0,0,13,36,0,0,0,0,36,0,0,0,0,0,0,3,0,0,0,0,6,3,0,0,0,0,3,110,17,0,0,0,125,3,0,0,0,0,3,19,0,0,0,0,19,565,18,0,10,0,587
UCL215043,475,29,3,5,0,520,443,5,3,0,0,457,172,26,9,0,0,213,37,11,0,0,0,49,71,6,0,0,0,72,7,11,0,0,0,25,3,0,0,0,0,6,8,6,0,0,0,10,307,62,14,0,0,374,13,3,0,0,0,17,32,6,0,0,0,48,1270,113,20,10,3,1408
UCL215044,626,29,21,3,0,678,570,10,10,3,0,593,193,51,31,6,0,287,48,25,6,0,0,73,67,20,6,8,0,101,11,11,0,0,0,18,4,0,0,3,0,12,3,0,0,0,0,4,330,104,41,17,0,504,14,0,0,0,0,14,40,6,0,0,0,43,1579,155,71,27,4,1832
UCL215045,195,0,0,0,3,197,240,3,0,0,4,248,44,3,0,0,0,48,0,0,0,0,0,3,37,4,0,0,0,40,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,93,8,0,0,0,102,0,0,0,0,0,0,7,0,0,0,0,13,529,16,0,0,6,556
UCL215046,147,0,0,3,0,150,173,0,0,0,0,175,52,0,0,0,0,50,0,5,0,0,0,5,24,0,0,0,0,24,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,78,12,0,0,0,90,0,0,0,0,0,0,7,3,0,0,0,11,413,13,0,3,0,433
UCL215047,120,3,4,0,0,130,257,6,0,0,0,269,83,7,0,0,0,89,0,0,0,0,0,0,30,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,6,3,0,0,124,0,0,0,0,0,0,9,0,0,0,0,10,497,18,8,3,4,529
UCL215048,165,0,9,0,3,176,59,0,3,0,3,70,36,7,10,4,0,64,0,0,0,0,0,0,28,0,5,3,5,39,0,0,0,0,0,0,4,0,0,0,0,4,3,0,0,0,0,3,75,9,17,7,5,113,0,0,0,0,0,0,5,0,0,0,0,9,304,17,30,7,9,365
UCL215049,372,0,0,11,0,385,439,0,0,0,0,441,54,0,0,0,0,53,3,0,0,0,0,3,23,0,0,0,0,25,0,0,0,0,0,0,5,0,0,7,0,16,4,0,0,0,0,4,93,0,0,8,0,102,4,0,0,0,0,4,22,0,0,3,0,30,933,0,0,22,0,959
UCL215050,621,3,9,4,3,641,534,0,0,0,3,538,225,0,22,0,3,250,64,3,12,0,0,78,76,0,0,6,0,80,3,4,0,0,0,11,10,0,0,0,0,10,8,0,0,0,0,15,388,8,40,11,3,440,10,6,0,0,0,13,45,0,3,0,0,54,1590,19,52,14,13,1680
UCL215051,309,3,0,3,0,312,183,0,0,0,0,187,37,0,0,0,0,40,4,0,10,0,0,8,27,3,0,0,0,26,0,0,8,0,0,9,8,0,0,0,0,3,4,0,0,0,0,3,79,3,16,3,0,99,3,0,7,0,0,13,14,0,0,0,0,12,583,7,22,9,0,627
UCL215052,479,14,0,7,0,494,361,3,3,0,0,367,207,14,4,0,0,225,53,3,0,0,0,54,72,0,5,0,0,85,0,0,0,0,0,0,6,0,0,9,0,18,7,0,4,0,0,17,346,21,15,9,0,389,5,0,0,0,0,5,53,0,4,4,3,65,1243,41,19,22,5,1326
UCL215053,240,3,10,3,0,257,265,8,4,0,0,273,58,7,14,0,0,77,21,0,3,0,0,27,55,0,4,0,0,62,8,0,0,0,0,8,7,0,0,7,0,16,5,0,0,0,0,5,164,9,21,7,0,201,9,0,0,0,0,9,36,0,0,3,0,44,712,17,32,11,3,780
UCL215054,193,0,0,0,0,194,270,0,0,0,0,270,83,0,0,0,0,83,6,0,0,0,0,6,37,0,0,0,0,37,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,133,0,0,0,0,133,3,0,0,0,0,3,25,0,0,0,0,25,624,0,0,0,0,631
UCL215055,244,0,4,0,0,254,229,0,0,0,3,232,52,0,0,0,0,52,0,0,19,0,0,19,25,0,7,0,0,31,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,75,0,20,0,0,100,0,0,0,0,0,0,13,0,0,0,0,18,561,4,29,0,3,600
UCL215056,195,0,0,8,0,209,125,0,0,0,0,127,40,3,0,0,0,42,0,0,0,0,0,0,42,0,0,0,0,42,7,0,0,0,0,7,3,0,0,0,0,3,4,0,0,0,0,4,92,3,0,0,0,97,5,0,0,0,0,5,14,0,0,0,0,15,438,7,0,10,0,457
UCL215057,322,0,6,0,14,340,205,0,3,0,10,217,71,0,3,0,0,80,0,0,5,0,0,5,54,0,3,0,4,62,0,0,0,0,0,0,6,0,0,0,0,6,3,0,0,0,0,3,133,0,10,0,5,151,0,0,0,0,0,0,13,0,0,0,0,12,672,0,19,0,30,721
UCL215058,457,7,0,6,0,473,307,5,0,4,0,317,119,26,0,3,0,152,29,9,0,0,0,35,53,9,0,6,3,64,3,0,0,0,0,3,7,0,0,0,0,6,12,3,0,0,0,14,221,46,0,3,3,277,8,0,0,0,0,11,44,3,0,0,0,50,1038,61,0,11,8,1126
UCL215059,292,3,6,20,0,322,190,0,3,0,0,197,80,4,25,3,0,115,9,8,0,0,0,18,33,0,6,0,0,43,0,0,3,0,0,3,3,0,0,0,0,6,0,0,0,0,0,3,130,11,33,6,0,186,3,0,0,0,0,7,23,3,0,0,0,30,641,20,45,27,3,736
UCL215060,242,0,10,11,0,265,149,0,3,4,0,164,31,0,11,0,0,42,14,0,6,0,0,22,46,0,11,0,0,52,0,0,0,0,0,0,3,0,0,6,0,12,7,0,0,0,0,7,97,7,27,6,0,137,8,0,0,0,0,8,17,0,0,0,0,16,516,8,41,21,0,588
UCL215061,314,0,16,0,0,329,199,0,0,0,0,197,83,0,8,0,0,95,0,0,3,0,0,3,29,0,4,0,0,39,4,0,5,0,0,5,13,0,4,0,0,17,9,0,0,0,0,6,137,0,29,0,3,169,5,0,0,0,0,4,20,0,3,0,0,22,670,0,47,0,3,726
UCL215062,566,36,35,0,0,630,392,9,6,3,0,414,162,33,59,3,0,254,18,3,7,0,0,34,81,4,12,0,0,103,0,3,0,0,0,3,3,0,9,10,0,18,4,3,0,0,0,9,271,45,89,12,0,415,8,3,0,0,0,11,46,8,3,0,0,55,1274,107,126,17,3,1530
UCL215063,419,0,3,3,0,423,167,0,3,0,0,170,66,0,18,0,0,84,32,0,18,0,0,53,51,0,3,3,0,55,0,0,3,0,0,3,10,0,0,0,0,12,4,0,3,0,0,6,167,0,39,4,3,215,3,0,0,0,0,6,24,0,8,0,0,29,780,0,55,6,3,848
UCL215064,208,0,3,0,0,209,106,0,0,0,0,106,26,0,0,0,0,29,0,0,8,0,0,8,26,0,0,0,0,29,0,0,3,0,0,3,14,0,0,0,0,15,0,0,0,0,0,3,69,0,14,0,3,89,4,0,0,0,0,7,10,0,0,0,0,16,401,0,15,0,3,417
UCL215065,622,65,35,35,4,753,291,16,4,0,0,306,156,39,15,0,4,215,0,11,0,0,0,11,58,13,4,0,0,68,0,0,0,0,0,0,4,3,0,3,0,6,4,0,3,0,0,9,225,65,18,3,4,316,3,0,0,0,0,3,36,7,3,0,0,51,1175,148,64,33,10,1428
UCL215066,826,53,9,9,4,898,277,12,4,0,0,298,120,29,12,3,0,167,0,4,3,0,0,7,76,3,0,3,0,82,4,0,0,0,0,4,4,0,0,0,0,9,17,3,0,0,0,16,222,36,17,5,4,282,11,0,0,0,0,7,29,3,0,0,0,35,1367,110,32,13,10,1526
UCL215067,501,16,6,3,4,535,279,11,0,3,0,296,137,9,8,3,0,160,24,16,0,0,0,36,66,3,6,3,3,79,0,0,0,0,0,0,7,0,0,3,0,14,3,0,0,0,0,5,234,27,9,12,8,283,4,0,0,0,0,9,35,4,0,0,0,41,1057,59,18,15,13,1164
UCL215068,347,3,10,0,0,366,337,0,3,0,0,347,147,0,23,0,0,172,32,0,3,0,0,34,70,3,9,0,0,87,0,0,14,0,0,13,7,0,0,3,0,6,7,0,3,0,0,10,269,3,49,3,0,325,0,0,0,0,0,0,36,0,4,0,0,45,995,7,68,10,5,1084
UCL215069,347,16,0,0,0,366,553,14,0,0,0,565,46,16,0,0,0,60,0,0,0,0,0,0,28,8,0,0,0,35,0,0,0,0,0,0,4,0,0,0,0,4,3,0,0,0,0,3,79,27,0,0,0,104,0,0,0,0,0,0,19,3,0,0,0,17,1002,56,0,0,4,1059
UCL215070,175,0,3,12,0,183,131,0,0,3,0,137,65,0,0,0,0,65,75,3,11,0,0,92,60,3,0,0,0,69,20,3,0,0,0,27,34,0,3,13,0,45,4,3,0,0,0,6,256,14,21,16,3,306,3,0,0,0,0,3,39,4,5,3,0,53,600,19,26,35,3,683
UCL215071,511,7,8,13,0,534,304,0,0,0,0,307,61,7,27,3,0,94,29,4,13,0,0,46,56,3,3,0,0,65,0,7,0,0,0,7,5,0,0,0,0,10,10,0,0,0,0,10,166,22,38,7,0,227,4,3,0,0,0,6,21,3,3,3,0,32,1003,28,51,25,0,1110
UCL215072,350,11,23,3,0,386,661,5,13,0,0,680,76,9,21,0,0,107,3,4,4,0,0,8,47,0,4,0,0,51,3,8,0,0,0,11,0,0,0,0,0,4,3,0,0,0,0,6,138,21,33,3,0,194,0,0,0,0,0,6,23,0,0,0,0,22,1172,38,65,9,0,1290
UCL215073,157,0,0,3,0,158,183,0,0,0,0,187,63,0,0,0,0,68,3,0,0,0,0,3,34,0,0,0,3,31,3,0,0,0,0,3,3,0,0,0,0,3,4,0,0,0,0,4,114,0,0,0,3,116,3,0,0,0,0,3,17,0,0,0,0,17,469,0,0,6,3,481
UCL215074,315,9,14,3,0,338,284,3,3,4,0,291,74,4,31,0,0,110,13,4,19,0,0,36,39,0,3,0,0,48,4,0,0,0,0,9,10,0,0,0,0,8,4,0,0,0,0,4,142,5,56,3,0,211,4,0,0,0,0,3,19,0,3,0,0,21,763,19,74,6,0,871
UCL215075,209,8,3,0,0,221,100,5,0,0,3,108,44,41,9,0,0,96,0,0,0,0,0,0,26,4,5,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,77,42,15,0,0,139,0,0,0,0,0,0,10,0,0,0,0,8,401,56,25,0,3,485
UCL215076,137,0,0,0,0,137,379,0,0,0,3,376,30,0,0,0,0,30,0,0,0,0,0,0,28,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,64,3,0,0,0,0,3,12,0,0,0,0,12,598,0,0,0,3,602
UCL215077,415,9,0,5,0,429,264,0,0,0,0,267,43,7,0,0,0,45,23,10,7,0,0,34,84,4,0,0,0,93,16,0,7,0,0,21,10,0,0,0,0,13,4,0,0,0,0,7,181,20,14,0,0,212,0,0,0,0,0,0,21,3,0,3,0,27,881,32,16,10,4,938
UCL215078,254,0,0,3,0,259,297,0,0,0,0,297,72,0,0,0,0,72,7,0,0,0,0,7,28,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,112,7,0,0,0,0,7,15,0,0,0,0,15,688,0,0,3,3,692
UCL215079,540,31,0,0,0,574,491,8,0,3,0,502,147,49,14,3,0,219,21,8,0,0,0,28,59,14,0,0,0,76,0,0,0,0,0,7,7,0,0,5,0,14,4,4,0,0,0,7,240,88,19,3,0,356,11,0,0,0,0,14,44,6,3,3,0,56,1326,135,23,9,3,1498
UCL215080,298,0,15,0,6,323,213,0,3,3,3,220,61,0,11,0,0,67,6,0,20,0,0,26,48,0,7,0,0,56,0,0,0,0,0,0,5,0,3,0,0,11,8,0,0,0,0,8,133,0,38,0,0,170,4,0,0,0,0,3,26,0,7,0,0,35,672,0,65,8,13,756
UCL215081,146,4,6,5,0,161,187,0,3,0,0,191,28,0,16,0,0,45,3,0,0,0,0,3,29,0,8,0,0,37,0,0,7,0,0,10,5,0,0,9,0,18,5,0,0,0,0,3,69,0,30,15,3,116,0,0,0,0,0,3,15,0,3,0,0,24,418,6,48,17,4,494
UCL215082,96,0,0,6,0,101,175,0,0,0,0,181,27,4,0,0,0,32,0,0,0,0,0,0,15,0,0,0,0,19,0,0,0,0,0,0,0,0,0,13,0,13,7,0,0,0,0,7,47,3,0,13,0,63,3,0,0,0,0,3,4,0,0,3,0,10,325,3,0,20,0,352
UCL215083,415,6,11,0,0,440,506,3,3,0,0,514,166,18,10,0,0,191,5,3,0,0,0,13,44,5,11,0,0,67,0,10,0,0,0,16,0,0,0,0,0,3,8,3,0,0,0,12,233,39,20,0,0,290,3,0,0,0,0,7,19,4,4,0,0,20,1178,57,41,0,3,1270
UCL215084,148,0,0,3,0,151,305,0,0,0,0,305,12,0,0,0,0,14,0,0,0,0,0,0,21,0,0,0,0,21,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,36,0,0,4,0,40,4,0,0,0,0,4,17,0,0,0,0,17,511,0,0,9,0,520
UCL215085,255,4,0,25,0,285,294,0,0,0,0,295,84,0,12,3,4,101,0,0,0,0,0,0,47,0,0,0,0,51,0,5,0,0,0,10,0,0,0,4,0,5,3,0,0,0,0,6,142,8,9,9,3,175,7,0,0,0,0,9,20,3,0,0,6,23,712,16,14,36,5,783
UCL215086,448,0,3,6,3,459,250,0,0,0,3,248,81,0,13,0,3,96,8,0,8,0,0,18,47,0,3,0,6,52,0,0,0,0,0,0,10,0,0,0,4,16,5,0,0,0,0,7,148,0,27,0,9,195,3,0,0,0,0,3,23,0,0,0,3,31,870,0,35,11,21,934
UCL215087,428,25,5,0,0,453,561,14,8,0,0,581,121,44,10,0,0,175,19,12,7,0,0,38,49,8,3,0,0,58,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,8,192,66,16,0,0,278,7,0,0,0,0,7,51,5,3,0,0,57,1234,105,33,0,0,1375
UCL215088,213,0,0,0,0,218,206,0,0,0,0,208,58,0,0,0,0,64,26,0,0,0,0,26,50,0,4,0,0,55,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,140,0,6,0,0,149,3,0,0,0,0,3,29,0,0,0,0,31,589,0,6,3,3,601
UCL215089,215,0,0,0,0,218,225,0,0,0,0,225,6,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16,0,0,0,0,0,0,3,0,0,0,0,3,464,0,0,0,0,466
UCL215090,473,17,0,3,0,502,523,3,0,0,0,528,145,19,0,0,0,165,31,7,0,0,0,38,44,5,0,0,0,54,17,3,0,0,0,22,0,0,0,0,0,3,6,0,0,0,0,7,248,41,0,4,0,290,6,0,0,0,0,10,39,5,0,0,0,42,1285,65,4,4,3,1370
UCL215091,417,0,0,0,0,417,802,3,0,0,0,802,101,3,0,0,0,105,4,0,0,0,0,4,50,0,0,0,0,54,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,164,0,0,0,0,175,9,0,0,0,0,9,44,0,0,0,0,44,1430,6,0,0,3,1442
UCL215092,182,0,0,0,0,182,162,0,0,0,0,162,26,0,0,0,0,26,0,0,0,0,0,0,36,0,0,0,0,36,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,4,72,0,0,0,0,72,0,0,0,0,0,0,17,0,0,0,0,17,438,0,0,0,0,438
UCL215093,237,11,0,3,3,252,370,8,0,0,0,380,63,6,0,0,3,71,0,0,0,0,0,0,38,9,0,0,0,48,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,114,18,0,0,3,134,3,0,0,0,0,3,12,0,0,0,0,12,739,38,0,3,3,782
UCL215094,350,9,0,3,0,364,465,5,6,0,0,484,103,4,14,0,0,122,8,0,0,0,0,8,43,0,3,0,0,41,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,5,163,7,16,0,0,183,15,0,0,0,0,15,28,0,0,0,0,31,1022,26,22,10,0,1082
UCL215095,156,0,0,0,0,155,174,3,0,0,0,177,55,0,0,0,0,51,0,6,0,0,0,6,18,4,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,9,0,0,0,90,0,0,0,0,0,0,9,0,0,0,0,16,423,15,0,0,3,440
UCL215096,304,12,0,14,0,334,149,0,0,0,0,152,82,8,5,0,0,98,29,11,0,0,0,39,43,3,0,0,0,49,19,0,0,0,0,19,9,3,0,7,0,24,6,0,0,0,0,6,184,29,6,11,0,230,0,0,0,0,0,3,22,0,4,0,0,31,667,42,9,22,0,742
UCL215097,217,5,4,12,0,234,98,3,0,0,3,111,44,3,13,0,0,54,3,0,3,0,0,10,43,0,0,0,0,40,4,0,0,0,0,5,0,0,0,3,0,4,3,0,0,0,0,6,97,3,22,3,0,118,3,0,0,0,0,3,20,0,3,3,0,22,431,14,27,18,4,492
UCL221001,68,0,0,0,0,68,125,0,0,0,0,125,21,0,0,0,0,21,0,0,0,0,0,0,8,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,33,0,0,0,0,0,0,9,0,0,0,0,9,238,0,0,0,0,238
UCL221002,139,0,0,0,0,144,117,0,0,0,0,117,19,0,0,0,0,19,0,0,0,0,0,0,25,0,0,3,0,26,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,48,0,0,3,0,54,0,0,0,0,0,0,13,0,0,0,0,13,320,3,0,3,0,325
UCL221003,195,0,0,3,0,201,118,0,0,0,0,118,26,0,3,0,0,31,7,0,0,0,0,11,47,0,0,0,0,47,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,90,0,0,0,0,95,0,0,0,0,0,3,10,0,0,0,0,10,409,0,0,4,4,422
UCL221004,61,0,0,0,0,61,95,0,0,0,0,100,16,0,0,0,0,16,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,29,0,0,0,0,0,0,4,0,0,0,0,4,186,0,0,0,0,191
UCL221005,94,0,0,0,0,95,110,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,0,212
UCL221006,125,0,3,0,0,126,77,0,0,0,0,74,4,0,0,0,0,4,0,0,5,0,0,9,19,0,0,0,0,23,0,0,4,0,0,8,8,0,0,0,0,11,0,0,0,0,0,0,35,0,16,0,0,52,0,0,0,0,0,7,5,0,3,0,0,7,250,0,18,3,3,273
UCL221007,80,0,0,0,0,84,79,0,0,0,0,79,27,0,0,0,0,27,0,0,0,0,0,0,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,45,0,0,0,0,0,0,3,0,0,0,0,6,214,0,0,0,3,215
UCL221008,89,3,0,0,0,90,97,0,0,0,0,98,6,0,0,0,0,6,0,5,0,0,0,5,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,5,0,0,0,25,0,0,0,0,0,0,6,0,0,0,0,6,212,12,0,0,0,223
UCL221009,149,0,0,0,0,149,80,0,0,4,0,80,6,0,6,0,0,10,0,0,0,0,0,3,29,0,6,0,0,30,3,0,0,0,0,3,8,0,0,0,0,10,0,0,0,0,0,0,45,0,11,0,0,60,0,0,0,0,0,0,15,0,0,0,0,12,284,0,17,4,0,309
