UCL_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
UCL214007,481,663,603,474,455,434,215,442,50,3818
UCL214008,447,576,732,460,404,293,252,467,91,3725
UCL214009,276,445,275,201,179,191,68,157,43,1832
UCL214010,305,420,520,366,375,258,258,324,52,2877
UCL214011,217,357,359,264,260,224,139,373,38,2233
UCL214012,257,249,289,280,211,238,99,306,43,1961
UCL214013,234,313,349,236,235,219,152,274,20,2041
UCL214014,245,281,400,340,240,283,144,430,46,2420
UCL214015,240,384,341,276,282,212,134,228,39,2131
UCL214016,178,252,347,306,270,244,169,427,34,2225
UCL214017,231,254,273,353,196,214,163,454,35,2170
UCL214018,403,485,766,431,644,429,417,383,75,4029
UCL214019,241,288,468,389,284,387,173,455,50,2731
UCL214020,332,381,498,385,282,284,171,399,54,2792
UCL215001,88,142,86,47,39,45,3,45,11,508
UCL215002,126,140,170,113,119,80,72,108,18,943
UCL215003,158,294,196,130,131,94,35,91,21,1149
UCL215004,101,81,99,68,50,65,30,118,9,617
UCL215005,97,165,140,110,127,70,68,101,15,905
UCL215006,148,264,175,110,118,85,42,96,9,1034
UCL215007,226,346,477,296,311,238,184,229,39,2334
UCL215008,99,177,151,103,127,76,56,65,19,870
UCL215009,30,28,43,40,34,40,33,71,6,330
UCL215010,187,208,211,91,166,104,46,70,18,1113
UCL215011,37,32,48,49,34,37,30,60,10,346
UCL215012,185,334,167,198,114,105,53,123,20,1295
UCL215013,93,116,143,106,160,85,75,73,22,883
UCL215014,62,64,134,61,99,49,73,79,12,632
UCL215015,157,155,141,103,97,95,45,125,21,947
UCL215016,145,162,299,208,187,175,196,246,28,1654
UCL215017,101,113,183,86,119,68,84,81,9,851
UCL215018,128,194,176,153,112,117,80,172,19,1153
UCL215019,88,159,170,80,79,80,20,70,6,755
UCL215020,49,55,58,63,40,46,37,83,8,437
UCL215021,47,61,84,65,62,63,57,84,12,538
UCL215022,111,241,278,216,200,196,117,209,38,1604
UCL215023,67,67,90,66,43,69,81,148,14,644
UCL215024,88,79,98,69,76,61,60,95,12,643
UCL215025,53,68,73,48,35,27,32,80,3,422
UCL215026,232,214,292,233,183,227,72,229,31,1707
UCL215027,95,138,194,117,118,87,62,125,14,956
UCL215028,226,286,214,218,138,122,51,199,16,1469
UCL215029,106,166,168,133,201,115,108,99,26,1120
UCL215030,45,74,60,68,45,41,61,57,10,459
UCL215031,70,78,66,53,50,47,45,86,3,492
UCL215032,141,166,159,129,105,111,84,177,18,1089
UCL215033,193,299,198,152,252,120,91,82,12,1391
UCL215034,55,53,62,42,42,42,29,53,3,373
UCL215035,61,81,123,57,79,42,52,64,18,579
UCL215036,53,106,122,48,65,49,43,57,3,551
UCL215037,67,57,93,54,44,51,51,76,10,500
UCL215038,42,43,100,57,63,59,77,103,12,558
UCL215039,51,35,73,60,47,51,81,70,16,481
UCL215040,196,202,209,170,154,146,102,198,14,1387
UCL215041,73,93,202,120,129,124,118,147,18,1022
UCL215042,87,109,122,96,73,64,53,117,14,729
UCL215043,144,161,245,188,143,160,105,193,30,1371
UCL215044,247,406,300,236,232,162,76,282,38,1992
UCL215045,68,108,135,78,91,48,60,65,14,664
UCL215046,42,43,100,58,56,62,69,73,11,511
UCL215047,48,56,119,74,59,67,59,111,11,605
UCL215048,106,74,79,51,38,46,4,53,3,453
UCL215049,243,408,178,127,136,92,32,71,24,1305
UCL215050,165,248,305,230,200,124,159,250,27,1712
UCL215051,79,100,75,51,56,45,16,55,13,482
UCL215052,205,236,284,202,157,186,73,191,29,1560
UCL215053,68,68,91,108,75,79,75,113,10,694
UCL215054,31,57,128,89,65,48,64,113,10,594
UCL215055,73,128,134,73,73,52,45,68,14,660
UCL215056,47,40,69,49,44,36,29,63,11,380
UCL215057,101,128,111,95,70,68,32,84,7,693
UCL215058,95,130,173,144,103,121,124,169,22,1080
UCL215059,112,84,123,76,71,57,48,128,15,714
UCL215060,62,98,76,58,71,60,39,100,17,571
UCL215061,93,97,101,68,77,47,52,180,10,714
UCL215062,144,189,189,169,142,158,132,248,31,1401
UCL215063,56,60,82,96,61,58,47,104,9,573
UCL215064,66,50,58,46,40,28,49,51,4,398
UCL215065,126,173,166,160,113,109,53,113,18,1021
UCL215066,216,417,158,126,160,103,34,93,32,1346
UCL215067,215,284,152,149,112,83,59,120,19,1193
UCL215068,99,120,123,104,89,146,100,194,18,987
UCL215069,195,321,297,221,272,145,78,113,20,1653
UCL215070,86,82,53,55,53,47,74,191,39,681
UCL215071,131,126,145,110,104,101,119,138,23,999
UCL215072,188,261,345,208,256,173,158,195,29,1806
UCL215073,50,62,103,68,44,59,49,55,11,492
UCL215074,125,138,147,104,106,64,71,163,6,926
UCL215075,70,92,82,67,57,48,17,55,4,489
UCL215076,88,104,235,114,129,74,88,121,28,980
UCL215077,128,97,107,95,66,68,46,163,20,793
UCL215078,93,76,159,106,92,66,75,104,13,786
UCL215079,198,276,241,163,204,138,117,268,31,1637
UCL215080,80,93,122,107,82,72,78,107,19,766
UCL215081,46,42,79,47,40,60,49,133,3,508
UCL215082,57,52,104,44,76,47,56,55,3,500
UCL215083,154,255,262,180,181,128,107,166,25,1466
UCL215084,98,95,197,86,110,59,85,72,12,815
UCL215085,90,147,125,88,61,60,53,87,19,731
UCL215086,117,127,121,149,91,79,54,95,13,841
UCL215087,173,223,363,198,209,189,117,146,29,1649
UCL215088,61,74,97,63,51,71,68,99,15,605
UCL215089,181,182,136,81,143,85,19,45,12,892
UCL215090,221,497,217,215,170,134,56,130,25,1666
UCL215091,169,206,495,251,212,206,178,259,29,2008
UCL215092,30,31,90,66,31,45,45,61,4,401
UCL215093,139,178,223,108,141,126,69,114,25,1121
UCL215094,141,121,269,162,141,116,124,170,28,1277
UCL215095,35,67,80,68,68,56,39,65,3,486
UCL215096,68,78,88,73,44,65,45,83,5,553
UCL215097,39,77,82,58,34,33,28,58,9,423
UCL221001,37,45,79,39,47,50,35,57,6,390
UCL221002,65,56,54,38,32,24,27,78,11,377
UCL221003,53,37,40,35,31,26,32,52,9,310
UCL221004,21,38,45,28,37,27,39,34,6,265
UCL221005,58,75,70,24,54,45,18,34,9,391
UCL221006,61,58,42,15,22,22,21,29,6,274
UCL221007,39,43,43,31,17,23,19,30,0,241
UCL221008,18,33,37,37,22,18,26,35,8,225
UCL221009,62,44,30,23,18,16,25,39,6,255
UCL221010,24,55,67,30,24,14,15,24,3,254
UCL221011,22,31,33,36,26,15,20,29,3,215
UCL221012,45,64,56,17,42,29,10,16,0,279
UCL221013,47,47,43,33,30,21,10,16,5,245
UCL221014,17,31,65,36,35,31,27,47,10,291
UCL221015,42,75,60,53,36,31,8,25,0,329
UCL221016,24,36,36,37,49,19,17,22,3,242
UCL221017,45,36,66,27,30,51,30,68,3,351
UCL221018,54,53,46,39,41,38,26,54,10,353
UCL221019,51,94,88,64,49,42,22,64,3,486
UCL221020,34,29,58,38,26,30,30,46,5,298
UCL221021,32,34,54,21,21,40,23,36,3,256
UCL221022,19,25,38,38,17,21,17,40,5,221
UCL221023,44,40,42,26,26,11,6,20,6,211
UCL221024,17,12,21,24,15,22,17,30,0,155
UCL221025,40,54,37,41,39,40,18,42,7,315
UCL221026,47,50,82,51,33,35,36,47,5,387
UCL221027,41,38,28,29,28,10,27,25,3,236
UCL221028,26,27,38,53,20,29,9,36,4,243
UCL221029,42,32,41,17,23,24,20,36,0,242
UCL221030,56,68,31,16,20,32,5,26,3,264
UCL221031,30,47,53,32,43,24,35,49,9,328
UCL221032,41,26,41,39,40,34,32,43,12,310
UCL221033,32,51,45,25,39,25,26,43,6,288
UCL221034,27,41,35,23,25,19,14,38,0,233
UCL221035,34,37,17,25,10,11,26,41,3,203
UCL221036,45,40,66,32,76,46,49,27,9,393
UCL221037,26,16,30,36,18,17,13,46,3,202
UCL221038,47,59,60,36,38,36,16,46,4,358
UCL221039,57,48,30,26,25,27,17,38,3,271
UCL221040,62,70,132,76,62,32,49,56,13,552
UCL221041,40,51,101,55,47,21,20,39,7,388
UCL221042,47,51,49,44,27,25,18,34,3,312
UCL221043,26,42,37,34,25,20,9,20,0,213
UCL221044,18,31,63,27,34,25,37,38,0,274
UCL221045,12,10,25,27,8,11,8,29,4,132
UCL221046,52,44,61,48,29,37,7,57,3,338
UCL221047,46,65,48,43,23,24,17,48,3,324
UCL221048,37,62,82,60,62,41,46,42,7,435
UCL221049,45,45,67,22,40,27,21,20,6,296
UCL221050,73,92,67,52,59,51,16,40,6,444
UCL221051,45,79,69,34,49,32,15,26,0,357
UCL221052,31,43,38,26,28,24,20,35,6,255
UCL221053,38,41,33,36,28,19,28,43,4,275
UCL221054,30,26,63,28,44,36,33,35,14,304
UCL221055,38,65,48,39,37,25,30,45,6,337
UCL221056,20,25,36,26,26,19,12,30,0,194
UCL221057,26,39,39,36,13,17,16,30,0,220
UCL221058,26,16,73,33,35,28,38,41,3,298
UCL221059,51,41,58,48,34,27,9,39,4,306
UCL221060,19,33,25,18,16,12,6,12,4,140
UCL221061,17,10,47,47,46,41,79,57,13,348
UCL221062,40,34,51,36,25,23,29,53,9,296
UCL221063,23,27,29,22,17,18,16,27,5,184
UCL221064,38,34,78,35,43,21,40,45,3,345
UCL221065,23,32,39,28,32,26,27,34,5,256
UCL221066,17,15,32,27,18,18,29,71,3,230
UCL221067,29,65,70,48,39,35,12,38,3,328
UCL221068,35,63,61,51,38,33,28,52,3,363
UCL221069,88,138,160,102,91,55,64,91,11,806
UCL221070,25,52,52,26,30,31,41,65,4,329
UCL221071,23,47,49,27,31,21,17,16,7,243
UCL221072,27,61,40,38,30,26,12,42,14,292
UCL221073,42,54,50,32,26,26,10,13,7,262
UCL221074,24,39,43,28,23,20,7,28,3,215
UCL221075,29,50,36,39,17,18,12,32,4,230
UCL221076,18,22,59,13,36,20,25,38,11,243
UCL221077,27,11,24,19,25,16,12,21,8,163
UCL221078,30,41,39,21,38,17,26,26,10,242
UCL221079,41,71,76,60,47,38,28,63,9,426
UCL221080,39,24,27,20,15,21,18,24,3,194
UCL221081,64,132,59,47,44,20,14,40,5,429
UCL221082,29,28,60,38,34,15,29,24,7,265
UCL222001,25,38,31,16,18,16,3,4,3,156
UCL222002,43,49,26,13,19,10,0,8,6,178
UCL222003,17,12,18,23,16,22,9,8,3,127
UCL222004,5,0,4,3,0,0,0,3,0,15
UCL222005,8,9,15,17,3,6,15,14,0,87
UCL222006,25,30,35,19,33,16,4,14,3,177
UCL222007,9,16,14,10,7,3,10,14,3,89
UCL222008,19,29,16,20,15,7,9,14,3,125
UCL222009,23,13,15,18,10,9,13,19,0,123
UCL222010,20,21,32,11,28,17,16,14,9,176
UCL222011,23,30,25,22,22,11,12,23,0,175
UCL222012,26,25,24,10,17,15,9,17,4,147
UCL222013,7,10,27,6,12,10,17,6,0,98
UCL222014,25,42,35,20,31,14,6,12,0,187
UCL222015,24,27,49,22,36,19,31,29,3,247
UCL222016,15,21,45,22,22,18,25,23,3,199
UCL222017,21,19,36,26,22,23,16,41,3,218
UCL222018,21,26,37,22,14,19,20,24,0,177
UCL222019,10,4,9,12,5,7,17,18,0,84
UCL222020,14,8,14,0,3,3,4,19,0,72
UCL222021,23,12,6,12,9,8,3,21,0,95
UCL222022,21,20,40,16,33,18,17,19,0,188
UCL222023,18,18,16,13,12,11,5,16,0,109
UCL222024,15,16,21,15,6,6,9,15,0,105
UCL222025,12,39,39,21,25,26,19,15,3,199
UCL222026,38,10,17,26,7,9,13,27,0,151
UCL222027,13,14,7,12,12,3,7,12,3,76
UCL222028,11,32,14,27,17,21,7,12,0,152
UCL222029,18,23,26,16,11,13,15,31,0,147
UCL222030,15,17,12,12,17,12,4,18,3,110
UCL222031,23,12,26,9,13,15,10,17,4,118
UCL222032,21,29,49,29,22,17,19,15,0,196
UCL222033,15,11,4,19,4,0,8,15,3,70
UCL222034,10,18,16,9,4,3,0,7,0,75
UCL222035,22,7,12,7,18,12,13,21,0,104
UCL222036,47,36,18,17,6,15,0,20,5,162
UCL222037,31,14,22,21,7,6,6,20,0,122
UCL222038,3,5,21,14,12,5,8,18,5,84
UCL222039,10,7,11,16,13,6,6,16,0,77
UCL222040,8,9,3,6,5,0,8,21,3,70
UCL222041,12,11,7,10,17,11,7,17,0,109
UCL222042,15,27,20,19,7,10,3,6,0,111
UCL222043,21,24,33,15,25,13,13,22,4,156
UCL222044,19,24,27,12,17,14,8,12,0,133
UCL222045,18,14,23,19,12,15,7,16,4,125
UCL222046,7,5,13,10,12,9,15,22,0,93
UCL222047,31,19,32,15,23,20,18,42,4,200
UCL222048,9,16,23,13,21,14,11,20,5,137
UCL222049,13,8,10,9,4,9,17,24,0,94
UCL222050,8,19,33,13,27,11,12,17,3,145
UCL222051,12,13,20,19,7,14,15,28,4,140
UCL222052,8,8,6,10,9,3,8,11,0,70
UCL222053,16,15,9,15,3,3,15,17,0,94
UCL222054,18,12,21,9,9,4,6,20,0,101
UCL222055,33,53,12,22,17,16,7,22,7,174
UCL222056,20,19,17,20,12,21,3,22,0,137
UCL222057,29,22,44,16,20,29,16,23,4,213
UCL222058,16,25,25,23,12,6,22,19,9,155
UCL222059,18,17,25,25,13,17,12,40,3,171
UCL222060,18,16,14,16,18,7,7,11,0,120
UCL222061,20,12,14,20,10,6,9,21,3,111
UCL222062,19,19,14,29,5,7,8,16,0,125
UCL222063,9,23,16,11,21,16,12,19,0,119
UCL222064,10,9,7,13,9,10,9,26,3,95
UCL222065,9,10,8,9,7,4,7,17,0,80
UCL222066,21,8,5,9,6,5,15,16,0,85
UCL222067,9,17,35,13,13,5,22,16,0,124
UCL222068,20,34,30,26,12,16,16,24,5,179
UCL222069,19,34,37,13,19,23,3,15,5,162
UCL222070,39,53,40,29,37,28,3,16,0,253
UCL222071,6,11,24,10,19,10,12,20,0,117
UCL222072,16,11,20,14,8,12,6,21,0,108
UCL222073,12,11,14,16,5,9,9,17,6,90
UCL222074,15,5,14,15,5,20,13,30,0,116
UCL222075,19,8,15,17,7,11,14,13,0,110
UCL222076,26,48,41,23,18,7,12,18,3,189
UCL222077,14,36,25,10,8,7,4,15,3,117
UCL222078,26,22,26,14,20,11,14,19,4,148
UCL222079,17,11,18,12,18,13,26,33,4,150
UCL222080,10,13,10,16,5,0,7,9,0,75
UCL222081,35,23,20,15,7,4,4,22,3,135
UCL222082,9,0,15,9,13,3,16,17,0,86
UCL222083,20,13,43,22,23,14,26,24,3,183
UCL222084,30,14,19,17,9,4,14,35,3,152
UCL222085,7,5,4,3,6,0,6,18,0,54
UCL222086,40,31,15,24,12,12,16,19,3,161
UCL222087,6,4,15,21,5,8,9,11,3,80
UCL222088,24,65,23,28,29,12,8,21,0,206
UCL222089,20,21,41,33,25,31,9,23,5,197
UCL222090,21,18,16,15,5,5,5,17,3,116
UCL222091,10,24,5,11,13,0,3,10,3,71
UCL222092,21,8,15,8,8,6,12,11,4,95
UCL222093,9,12,21,11,14,9,8,5,0,100
UCL222094,31,57,44,8,17,10,5,17,7,196
UCL222095,16,14,18,17,7,21,18,20,5,127
UCL222096,10,14,18,14,11,10,0,9,3,88
UCL222097,12,13,21,16,10,16,6,29,3,125
UCL222098,14,42,38,29,30,13,11,18,0,193
UCL222099,22,16,30,21,19,10,13,41,0,161
UCL222100,18,22,38,34,16,18,7,14,6,180
UCL222101,5,4,14,10,16,8,5,19,3,85
UCL222102,10,15,12,14,12,14,10,18,0,95
UCL222103,20,20,27,8,21,15,6,17,3,141
UCL222104,24,31,19,17,19,24,23,26,8,185
UCL222105,22,23,23,23,13,9,5,11,3,132
UCL222106,13,34,39,12,32,13,12,26,0,176
UCL222107,13,30,44,22,26,23,20,36,4,223
UCL222108,19,17,28,21,12,12,22,30,0,157
UCL222109,16,3,8,12,7,17,21,22,0,116
UCL222110,26,27,38,26,25,15,17,29,3,202
UCL222111,16,21,22,15,13,9,16,21,0,126
UCL222112,35,9,6,13,6,0,3,6,0,84
UCL222113,16,21,21,14,12,11,5,24,4,137
UCL222114,6,6,19,3,10,7,21,15,0,91
UCL222115,7,3,11,11,3,4,3,18,0,64
UCL222116,13,20,19,8,19,7,5,12,0,96
UCL222117,7,18,37,24,13,19,14,26,3,165
UCL222118,20,26,13,7,12,7,0,4,0,94
UCL222119,15,8,15,12,10,7,15,14,0,91
UCL222120,12,11,21,20,14,9,9,20,0,118
UCL222121,3,14,21,7,10,3,14,23,3,100
UCL222122,11,14,27,10,15,18,8,10,0,105
UCL231777,46932,29621,29124,18031,21702,14545,13209,22505,3548,199216
UCL279997,0,4,7,0,0,0,0,3,0,23
UCL299994,178,405,297,277,182,134,200,307,57,2033
