UCL_CODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
UCL212005,66,153,112,76,103,29,7,539,12,7,5,4,12,0,0,42,0,9,0,0,3,0,0,15,101,215,170,122,220,61,12,906,4,5,8,8,5,3,0,34,3,22,10,6,7,4,0,52,6,29,17,13,16,4,0,80,109,242,187,138,230,62,12,984,192,159,65,45,49,15,3,527,9,9,3,0,4,0,0,21,307,408,255,180,280,80,15,1534
UCL213001,37,80,43,47,49,18,6,271,5,0,0,4,3,0,0,20,0,3,3,3,0,0,0,7,58,134,100,74,103,42,19,531,3,15,10,3,3,3,0,37,3,13,8,10,0,0,0,34,3,26,18,9,3,3,0,65,65,163,113,87,105,47,17,595,124,104,44,32,35,13,7,360,0,3,0,0,3,0,0,15,193,271,165,117,143,53,24,968
UCL213002,31,58,40,19,44,5,3,201,0,3,8,4,3,0,0,22,0,3,0,0,3,0,0,10,40,96,68,42,86,17,3,355,4,3,0,3,3,0,0,18,9,12,7,8,3,0,0,36,14,22,6,11,3,0,0,51,47,116,74,52,94,19,3,408,114,90,46,28,48,6,0,327,4,0,0,0,0,0,0,7,162,211,116,83,137,22,3,741
UCL213003,42,40,39,17,47,5,0,199,0,0,3,0,0,0,0,11,0,0,3,0,0,0,0,9,57,64,70,36,79,12,0,305,0,5,4,3,3,3,0,18,3,5,3,0,3,0,0,11,3,4,3,4,4,3,0,29,54,70,78,41,79,16,0,332,105,77,32,33,15,4,0,279,0,0,0,0,0,0,0,0,165,147,107,71,101,19,3,611
UCL213004,28,51,37,27,34,5,3,181,4,0,0,3,3,0,0,10,3,0,0,0,3,3,0,12,36,78,50,46,77,22,3,307,3,4,3,0,0,0,0,12,3,6,0,3,3,0,0,19,4,15,3,4,10,3,0,36,47,85,55,49,80,19,3,341,77,84,36,20,33,8,0,262,0,0,0,0,0,0,0,0,116,175,95,67,115,30,3,604
UCL213005,27,64,38,25,44,13,4,204,3,0,0,0,3,0,0,8,0,3,3,0,3,0,0,9,42,90,62,52,81,32,13,362,0,3,0,0,5,0,0,16,0,3,5,3,3,3,0,16,0,3,5,6,5,7,0,29,43,93,67,57,87,32,11,394,74,53,33,24,21,10,0,207,0,0,3,0,0,0,0,4,117,150,99,80,110,44,14,612
UCL213006,36,47,53,26,40,7,3,211,3,3,0,0,0,0,0,13,3,0,0,0,0,0,0,5,54,79,78,56,77,20,3,369,0,3,3,0,3,0,0,5,5,12,3,3,5,0,0,23,7,15,3,3,5,0,0,32,62,90,85,53,83,20,3,400,88,76,43,18,20,4,0,245,3,4,0,0,0,0,0,6,150,170,126,70,103,24,3,651
UCL213007,26,86,46,31,36,16,0,242,0,3,0,0,0,3,0,5,0,0,4,0,0,0,0,8,42,109,73,55,78,26,3,389,3,7,3,0,5,3,0,16,8,19,5,9,3,0,0,44,6,19,11,11,12,3,0,63,49,132,77,64,87,30,3,449,137,111,45,28,28,4,0,354,3,0,0,0,0,0,0,6,184,247,126,92,118,34,3,807
UCL213008,42,57,38,31,50,7,3,232,3,0,0,0,5,0,0,14,4,0,0,0,0,0,0,11,60,98,69,66,111,18,5,435,0,4,4,0,0,0,0,9,0,3,5,4,3,3,0,21,0,6,9,4,3,3,0,28,62,102,77,68,116,21,5,461,56,57,25,8,20,0,3,172,0,0,0,0,0,0,0,3,118,161,105,84,136,21,10,633
UCL213009,44,65,47,32,38,9,0,242,5,3,4,0,3,0,0,18,0,0,0,0,0,0,0,0,55,97,85,53,86,30,10,407,3,4,3,3,0,0,0,14,11,15,7,0,0,0,0,29,13,21,11,4,0,0,0,46,69,111,89,51,87,30,10,451,49,45,21,19,22,9,3,167,0,0,0,0,0,0,0,3,117,159,113,67,113,42,13,626
UCL213010,42,72,43,42,50,5,3,251,6,4,3,0,0,0,0,14,3,3,3,0,0,0,0,7,52,108,68,56,83,25,3,397,11,22,13,8,15,3,0,69,5,21,18,6,9,0,0,58,19,43,26,14,21,3,0,128,73,148,97,74,109,24,4,526,170,136,65,53,54,11,0,486,3,8,3,4,0,0,0,20,239,293,167,130,161,39,7,1031
UCL213011,27,52,38,30,38,3,4,193,0,8,0,4,0,0,0,10,3,0,3,0,0,0,0,10,44,80,58,50,74,12,9,326,9,17,9,13,10,5,0,61,16,31,26,6,10,3,0,90,24,50,37,14,18,12,0,151,63,127,95,67,92,21,9,477,213,151,74,55,38,8,0,541,8,3,3,0,0,0,0,11,282,281,172,124,131,29,9,1033
UCL213012,26,99,59,42,49,20,9,294,0,0,0,0,3,3,0,13,0,3,0,0,0,0,0,4,40,135,95,65,83,38,13,468,0,7,3,0,0,4,0,18,3,13,5,0,3,0,0,26,9,16,15,5,9,4,0,43,46,148,111,69,93,39,13,516,55,48,17,24,20,3,4,161,0,0,0,0,0,0,0,0,95,195,125,90,114,44,14,679
UCL213013,18,25,24,16,34,12,0,132,3,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,24,47,50,41,69,16,4,246,0,9,0,4,4,0,0,17,3,14,5,0,4,0,0,28,3,16,13,8,11,0,0,46,25,69,55,43,77,15,4,294,79,57,30,15,16,3,0,202,0,0,0,0,0,0,0,0,111,126,87,61,93,19,3,499
UCL213014,35,62,27,24,44,17,0,205,3,3,8,0,0,0,0,11,0,0,0,0,0,0,0,9,61,96,58,50,89,27,0,383,4,3,6,3,7,0,0,18,7,15,7,0,3,0,0,33,11,18,14,7,11,0,0,49,67,118,66,57,98,27,0,433,74,78,34,34,29,12,0,262,0,4,0,0,0,0,0,6,144,195,104,91,130,38,0,705
UCL213015,36,60,25,21,23,4,0,166,3,0,0,3,0,0,0,9,3,3,0,0,0,0,0,10,49,78,55,44,61,21,4,308,3,3,3,3,4,0,0,17,6,9,0,0,3,0,0,21,5,10,7,5,7,0,0,31,61,90,58,44,68,21,4,345,68,57,33,29,20,3,0,206,3,0,0,0,0,0,0,6,131,148,87,77,90,21,4,562
UCL213016,33,63,49,33,34,7,5,225,5,7,3,3,0,0,0,15,0,0,0,0,0,0,0,3,47,108,77,56,78,29,11,408,0,4,3,4,0,0,0,14,0,3,4,3,3,0,0,16,0,7,9,7,3,0,0,34,45,112,85,68,87,35,13,443,11,22,17,4,12,3,0,74,0,0,3,0,3,0,0,5,57,138,108,73,98,36,16,518
UCL213017,41,98,47,44,59,16,4,301,8,15,4,0,4,0,0,26,0,0,0,3,0,0,0,3,63,141,83,82,102,30,7,512,4,12,12,3,6,0,0,38,10,20,12,3,3,0,0,43,14,32,23,8,5,0,0,78,77,174,99,89,114,29,7,586,120,99,67,42,52,7,3,386,9,4,6,3,0,0,0,16,196,284,172,135,161,37,7,996
UCL213018,24,68,50,30,45,10,3,219,5,4,0,3,3,0,0,14,0,0,0,0,0,0,0,0,30,99,81,60,95,32,7,402,0,4,0,3,4,0,0,17,8,5,0,3,3,0,0,21,10,16,3,4,5,0,0,40,46,115,83,61,96,36,7,444,85,74,43,17,39,19,3,278,0,0,0,0,0,0,0,3,128,187,129,81,133,51,10,722
UCL214001,15,30,23,9,15,3,0,98,7,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,21,55,37,32,40,9,0,198,0,0,7,0,0,0,0,5,0,9,0,0,0,0,0,17,3,9,5,3,3,0,0,21,22,66,40,35,45,9,3,216,47,45,12,19,9,5,0,134,0,0,0,0,0,0,0,3,70,105,56,50,57,10,3,354
UCL214002,25,36,31,24,41,4,0,155,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,4,28,56,53,47,73,13,3,272,0,8,0,5,0,0,0,13,5,8,5,0,0,0,0,20,8,14,7,5,4,0,0,34,39,73,62,53,70,13,3,303,96,85,32,26,21,12,0,271,0,0,0,0,0,0,0,0,129,160,88,79,93,22,3,574
UCL214003,15,52,41,18,29,7,4,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,68,57,43,58,21,6,267,0,3,3,0,3,0,0,6,0,7,7,0,3,4,0,18,0,7,12,0,6,4,0,28,19,74,65,43,64,26,6,292,51,47,22,14,21,8,0,163,0,0,0,0,0,0,0,0,74,119,84,55,89,35,4,453
UCL214004,16,22,13,12,11,0,0,70,0,0,0,0,8,0,0,9,0,3,0,0,0,0,0,5,20,43,31,25,36,3,0,155,0,0,0,0,3,0,0,10,0,3,3,0,3,0,0,7,4,5,8,0,3,0,0,17,22,41,33,29,46,3,0,179,30,34,24,15,10,6,0,115,3,3,0,3,3,0,0,9,55,79,59,43,53,11,3,307
UCL214005,0,7,3,5,14,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,17,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,19,0,0,44,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,9,11,7,19,0,0,51
UCL214006,23,38,29,29,33,15,4,164,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,32,51,44,45,69,31,8,289,0,3,3,3,4,0,0,11,0,0,0,0,0,0,0,3,0,3,4,0,3,3,0,17,32,54,50,51,73,34,8,307,7,20,16,9,6,10,4,62,0,0,0,0,0,0,0,0,42,69,65,55,80,38,13,370
UCL214007,22,44,29,25,27,12,0,156,8,3,0,0,4,0,0,19,0,0,0,0,0,0,0,0,24,58,49,35,55,13,0,242,0,0,0,3,0,0,0,3,0,5,0,4,3,0,0,11,0,9,0,8,3,0,0,14,28,68,49,36,57,14,0,263,52,33,24,14,18,0,0,134,0,0,3,0,0,0,0,3,77,99,75,56,72,15,0,395
UCL214008,14,48,31,22,27,5,0,152,0,3,3,0,0,0,0,8,0,3,0,3,0,0,0,4,18,72,55,45,49,12,6,256,0,0,0,3,0,0,0,9,3,3,0,3,0,0,0,12,4,3,0,9,3,0,0,17,28,77,53,53,47,12,6,273,40,33,28,15,17,3,3,140,0,0,3,3,0,0,0,6,65,115,83,73,73,16,6,422
UCL214009,10,16,12,9,10,7,0,67,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,15,28,24,15,23,7,0,110,0,3,0,0,0,0,0,12,0,3,0,0,0,0,0,7,0,11,3,4,3,0,0,16,15,40,22,20,21,7,0,128,19,18,14,10,7,0,0,70,0,0,0,0,0,0,0,0,36,61,37,26,32,8,0,201
UCL214010,13,30,27,21,19,4,0,115,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,3,15,43,50,38,53,11,3,214,0,0,0,3,3,0,0,3,0,0,3,0,0,0,0,4,0,0,3,7,3,0,0,10,16,47,47,45,54,11,3,222,28,43,16,13,13,5,0,117,0,0,0,0,0,0,0,0,45,89,64,58,67,14,9,339
UCL214011,7,19,18,12,18,3,0,82,6,3,0,0,0,0,0,5,0,0,0,0,0,0,0,3,21,36,31,25,40,10,0,172,0,8,0,0,0,0,0,9,0,0,4,3,0,0,0,9,0,6,3,3,0,3,0,21,25,44,35,29,41,12,0,193,36,24,19,8,12,3,0,104,0,0,0,0,0,0,0,4,57,76,53,35,53,15,0,294
UCL214012,7,24,15,11,8,0,0,65,3,3,4,0,0,0,0,7,3,3,0,0,0,0,0,9,14,34,22,24,21,6,0,121,0,3,0,3,0,0,0,5,0,8,0,0,0,0,0,9,0,11,3,3,3,0,0,16,18,39,26,25,25,6,0,140,35,38,24,8,16,3,0,123,0,3,0,3,0,0,0,8,52,83,45,39,43,6,0,269
UCL214013,10,26,21,6,16,3,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,29,28,22,35,9,0,133,0,6,0,0,0,0,0,13,0,4,3,0,0,0,0,9,3,8,3,0,3,0,0,19,14,41,30,21,37,9,3,150,32,21,9,5,15,0,0,87,0,0,0,0,0,0,0,3,46,64,40,33,51,5,4,242
UCL214014,16,28,22,12,33,7,0,115,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,16,41,34,22,48,16,0,177,3,10,4,0,3,0,0,22,5,13,3,4,3,0,0,21,9,16,4,11,9,0,0,46,22,65,39,32,51,16,3,222,85,81,35,40,20,4,0,271,0,0,0,0,0,0,0,0,114,144,69,72,72,20,5,499
UCL214015,7,15,20,10,9,3,0,62,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,20,30,21,13,22,12,3,123,0,0,0,3,3,0,0,7,0,3,0,0,0,0,0,10,0,3,0,3,4,0,0,17,19,32,28,19,25,14,3,138,28,37,11,13,9,3,0,96,0,0,0,0,0,0,0,4,49,66,40,26,35,15,3,243
UCL214016,7,17,8,11,18,10,0,72,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,6,13,35,30,25,40,19,0,164,3,6,0,0,4,0,0,15,3,5,5,3,0,0,0,16,9,11,5,3,3,0,0,27,23,44,34,29,45,21,0,188,71,59,23,26,24,5,4,210,0,0,0,0,0,0,0,3,91,107,57,56,65,24,3,405
UCL214017,5,21,19,12,16,0,0,77,3,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,13,39,22,22,32,6,0,138,0,3,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,5,13,45,24,22,34,6,0,144,37,25,9,12,13,0,0,98,0,0,0,0,0,0,0,0,49,63,37,38,44,6,0,241
UCL214018,13,32,31,17,20,8,3,120,0,4,4,0,0,0,0,13,3,0,0,0,0,0,0,3,36,57,50,41,52,19,10,268,5,9,4,0,3,0,0,21,3,5,0,3,0,0,0,14,6,18,4,0,3,0,0,38,41,78,57,49,56,19,10,307,54,45,28,12,14,9,0,169,0,0,0,0,0,0,0,0,103,128,86,58,69,24,5,475
UCL214019,17,39,14,16,24,10,0,122,6,0,3,5,7,0,0,23,0,3,0,0,0,0,0,8,32,61,29,31,52,17,0,222,4,3,0,3,3,0,0,13,0,12,7,5,5,0,0,35,4,18,12,6,7,3,0,49,37,78,45,42,61,18,0,273,71,49,36,17,17,7,5,199,4,0,0,0,3,0,0,4,112,127,72,60,82,25,4,475
UCL214020,26,38,21,11,14,3,0,123,3,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,37,53,40,34,26,7,0,201,0,12,3,0,3,0,0,24,0,0,0,0,0,0,0,0,0,14,3,0,3,0,0,26,36,72,46,35,30,10,0,227,51,36,6,11,8,0,0,115,0,0,0,0,0,0,0,4,88,110,50,46,37,10,0,343
UCL215001,0,12,6,0,8,0,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,4,3,10,0,3,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,4,3,10,0,3,39,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,4,12,4,3,10,3,3,41
UCL215002,0,9,4,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,4,7,6,3,0,36,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,6,0,6,0,0,0,0,0,9,4,16,3,9,11,3,0,47,5,9,3,0,3,0,0,17,0,0,0,0,0,0,0,0,10,19,5,9,14,3,0,68
UCL215003,0,9,3,6,3,0,3,26,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,12,4,5,4,7,3,48,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,15,4,5,7,7,4,48,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,18,4,6,7,7,4,55
UCL215004,11,4,3,0,0,0,0,25,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,11,4,12,0,10,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,12,0,10,0,0,31,3,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,13,14,10,0,10,0,0,39
UCL215005,5,11,0,3,4,0,0,25,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,8,13,12,7,14,0,0,50,0,3,0,0,0,0,0,3,0,0,3,3,3,0,0,10,0,3,6,0,3,0,0,14,13,14,15,9,17,0,0,64,12,10,7,0,7,4,0,41,0,0,0,0,0,0,0,0,22,23,23,15,21,3,0,108
UCL215006,3,8,12,4,4,3,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,14,10,12,10,3,63,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,3,0,0,0,6,5,12,16,16,12,6,3,76,3,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,12,15,16,14,12,6,3,83
UCL215007,5,27,13,6,21,3,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,27,31,14,38,5,0,129,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,4,0,0,4,0,3,0,0,10,11,34,36,18,36,5,0,141,16,12,11,0,0,0,0,38,0,0,0,0,0,0,0,0,26,48,44,18,36,7,4,180
UCL215008,0,13,6,3,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,8,14,4,0,0,47,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,19,14,14,4,0,0,52,4,4,6,3,0,0,0,25,0,0,0,0,0,0,0,0,4,26,15,12,4,3,0,71
