UCL_CODE_2016,MSEO_SEO,MSEO_SOLSE_VWorW,MSEO_SOLSE_NWorNAA,MSEO_SOLSE_Tot,MSEO_NS,MSEO_Tot,MOL_Afrikaans_SEO,MOL_Afrikaans_SOLSE_VWorW,MOL_Afrikaans_SOLSE_NWorNAA,MOL_Afrikaans_SOLSE_Tot,MOL_Afrikaans_NS,MOL_Afrikaans_Tot,MOL_Arabic_SEO,MOL_Arabic_SOLSE_VWorW,MOL_Arabic_SOLSE_NWorNAA,MOL_Arabic_SOLSE_Tot,MOL_Arabic_NS,MOL_Arabic_Tot,MOL_AIndLng_SEO,MOL_AIndLng_SOLSE_VWorW,MOL_AIndLng_SOLSE_NWorNAA,MOL_AIndLng_SOLSE_Tot,MOL_AIndLng_NS,MOL_AIndLng_Tot,MOL_CL_Canton_SEO,MOL_CL_Canton_SOLSE_VWorW,MOL_CL_Canton_SOLSE_NWorNAA,MOL_CL_Canton_SOLSE_Tot,MOL_CL_Canton_NS,MOL_CL_Canton_Tot,MOL_CL_Mandarin_SEO,MOL_CL_Mandarin_SOLSE_VWorW,MOL_CL_Mandarin_SOLSE_NWorNAA,MOL_CL_Mandarin_SOLSE_Tot,MOL_CL_Mandarin_NS,MOL_CL_Mandarin_Tot,MOL_CL_Oth_SEO,MOL_CL_Oth_SOLSE_VWorW,MOL_CL_Oth_SOLSE_NWorNAA,MOL_CL_Oth_SOLSE_Tot,MOL_CL_Oth_NS,MOL_CL_Oth_Tot,MOL_CL_Tot_SEO,MOL_CL_Tot_SOLSE_VWorW,MOL_CL_Tot_SOLSE_NWorNAA,MOL_CL_Tot_SOLSE_Tot,MOL_CL_Tot_NS,MOL_CL_Tot_Tot,MOL_Croatian_SEO,MOL_Croatian_SOLSE_VWorW,MOL_Croatian_SOLSE_NWorNAA,MOL_Croatian_SOLSE_Tot,MOL_Croatian_NS,MOL_Croatian_Tot,MOL_Dutch_SEO,MOL_Dutch_SOLSE_VWorW,MOL_Dutch_SOLSE_NWorNAA,MOL_Dutch_SOLSE_Tot,MOL_Dutch_NS,MOL_Dutch_Tot,MOL_French_SEO,MOL_French_SOLSE_VWorW,MOL_French_SOLSE_NWorNAA,MOL_French_SOLSE_Tot,MOL_French_NS,MOL_French_Tot,MOL_German_SEO,MOL_German_SOLSE_VWorW,MOL_German_SOLSE_NWorNAA,MOL_German_SOLSE_Tot,MOL_German_NS,MOL_German_Tot,MOL_Greek_SEO,MOL_Greek_SOLSE_VWorW,MOL_Greek_SOLSE_NWorNAA,MOL_Greek_SOLSE_Tot,MOL_Greek_NS,MOL_Greek_Tot,MOL_IAL_Bengali_SEO,MOL_IAL_Bengali_SOLSE_VWorW,MOL_IAL_Bengali_SOLSE_NWorNAA,MOL_IAL_Bengali_SOLSE_Tot,MOL_IAL_Bengali_NS,MOL_IAL_Bengali_Tot,MOL_IAL_Hindi_SEO,MOL_IAL_Hindi_SOLSE_VWorW,MOL_IAL_Hindi_SOLSE_NWorNAA,MOL_IAL_Hindi_SOLSE_Tot,MOL_IAL_Hindi_NS,MOL_IAL_Hindi_Tot,MOL_IAL_Punjabi_SEO,MOL_IAL_Punjabi_SOLSE_VWorW,MOL_IAL_Punjabi_SOLSE_NWorNAA,MOL_IAL_Punjabi_SOLSE_Tot,MOL_IAL_Punjabi_NS,MOL_IAL_Punjabi_Tot,MOL_IAL_Sinhal_SEO,MOL_IAL_Sinhal_SOLSE_VWorW,MOL_IAL_Sinhal_SOLSE_NWorNAA,MOL_IAL_Sinhal_SOLSE_Tot,MOL_IAL_Sinhal_NS,MOL_IAL_Sinhal_Tot,MOL_IAL_Urdu_SEO,MOL_IAL_Urdu_SOLSE_VWorW,MOL_IAL_Urdu_SOLSE_NWorNAA,MOL_IAL_Urdu_SOLSE_Tot,MOL_IAL_Urdu_NS,MOL_IAL_Urdu_Tot,MOL_IAL_Oth_SEO,MOL_IAL_Oth_SOLSE_VWorW,MOL_IAL_Oth_SOLSE_NWorNAA,MOL_IAL_Oth_SOLSE_Tot,MOL_IAL_Oth_NS,MOL_IAL_Oth_Tot,MOL_IAL_Tot_SEO,MOL_IAL_Tot_SOLSE_VWorW,MOL_IAL_Tot_SOLSE_NWorNAA,MOL_IAL_Tot_SOLSE_Tot,MOL_IAL_Tot_NS,MOL_IAL_Tot_Tot,MOL_Italian_SEO,MOL_Italian_SOLSE_VWorW,MOL_Italian_SOLSE_NWorNAA,MOL_Italian_SOLSE_Tot,MOL_Italian_NS,MOL_Italian_Tot,MOL_Japan_SEO,MOL_Japan_SOLSE_VWorW,MOL_Japan_SOLSE_NWorNAA,MOL_Japan_SOLSE_Tot,MOL_Japan_NS,MOL_Japan_Tot,MOL_Korean_SEO,MOL_Korean_SOLSE_VWorW,MOL_Korean_SOLSE_NWorNAA,MOL_Korean_SOLSE_Tot,MOL_Korean_NS,MOL_Korean_Tot,MOL_Macedon_SEO,MOL_Macedon_SOLSE_VWorW,MOL_Macedon_SOLSE_NWorNAA,MOL_Macedon_SOLSE_Tot,MOL_Macedon_NS,MOL_Macedon_Tot,MOL_Maltese_SEO,MOL_Maltese_SOLSE_VWorW,MOL_Maltese_SOLSE_NWorNAA,MOL_Maltese_SOLSE_Tot,MOL_Maltese_NS,MOL_Maltese_Tot,MOL_Persian_ED_SEO,MOL_Persian_ED_SOLSE_VWorW,MOL_Persian_ED_SOLSE_NWorNAA,MOL_Persian_ED_SOLSE_Tot,MOL_Persian_ED_NS,MOL_Persian_ED_Tot,MOL_Polish_SEO,MOL_Polish_SOLSE_VWorW,MOL_Polish_SOLSE_NWorNAA,MOL_Polish_SOLSE_Tot,MOL_Polish_NS,MOL_Polish_Tot,MOL_Russian_SEO,MOL_Russian_SOLSE_VWorW,MOL_Russian_SOLSE_NWorNAA,MOL_Russian_SOLSE_Tot,MOL_Russian_NS,MOL_Russian_Tot,MOL_Samoan_SEO,MOL_Samoan_SOLSE_VWorW,MOL_Samoan_SOLSE_NWorNAA,MOL_Samoan_SOLSE_Tot,MOL_Samoan_NS,MOL_Samoan_Tot,MOL_Serbian_SEO,MOL_Serbian_SOLSE_VWorW,MOL_Serbian_SOLSE_NWorNAA,MOL_Serbian_SOLSE_Tot,MOL_Serbian_NS,MOL_Serbian_Tot,MOL_SAL_Filipin_SEO,MOL_SAL_Filipin_SOLSE_VWorW,MOL_SAL_Filipin_SOLSE_NWorNAA,MOL_SAL_Filipin_SOLSE_Tot,MOL_SAL_Filipin_NS,MOL_SAL_Filipin_Tot,MOL_SAL_Indon_SEO,MOL_SAL_Indon_SOLSE_VWorW,MOL_SAL_Indon_SOLSE_NWorNAA,MOL_SAL_Indon_SOLSE_Tot,MOL_SAL_Indon_NS,MOL_SAL_Indon_Tot,MOL_SAL_Tagalog_SEO,MOL_SAL_Tagalog_SOLSE_VWorW,MOL_SAL_Tagalog_SOLSE_NWorNAA,MOL_SAL_Tagalog_SOLSE_Tot,MOL_SAL_Tagalog_NS,MOL_SAL_Tagalog_Tot,MOL_SAL_Oth_SEO,MOL_SAL_Oth_SOLSE_VWorW
UCL212005,12920,..,..,..,..,12920,..,8,0,10,0,10,..,29,0,27,0,27,..,0,0,0,0,0,..,14,6,24,0,24,..,73,117,191,0,192,..,3,12,15,0,15,..,90,136,230,0,230,..,0,0,3,0,3,..,12,0,12,0,10,..,17,4,18,0,18,..,17,0,17,3,17,..,17,0,17,0,18,..,0,0,0,0,0,..,14,0,14,0,14,..,6,0,6,0,3,..,29,4,30,0,30,..,0,0,0,0,0,..,13,0,13,0,13,..,61,4,65,0,62,..,16,0,20,0,20,..,22,3,22,0,22,..,18,44,58,0,58,..,0,0,0,0,0,..,4,0,4,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,9,0,9,..,4,0,4,0,4,..,0,0,0,0,0,..,6,0,11,0,11,..,12,0,16,0,16,..,5,0,5,0,5,..,6
UCL213001,7394,..,..,..,..,7394,..,8,0,8,0,8,..,13,0,15,3,20,..,0,0,0,0,0,..,3,0,3,0,3,..,11,3,12,0,16,..,0,0,0,0,0,..,19,3,19,0,17,..,16,0,18,0,18,..,22,0,22,0,22,..,10,0,10,0,10,..,21,0,21,0,21,..,33,0,35,0,35,..,0,0,0,0,0,..,22,0,22,0,22,..,47,3,50,0,55,..,7,3,5,0,5,..,3,0,3,0,3,..,10,0,11,0,11,..,86,5,95,0,93,..,36,3,38,0,38,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,5,0,5,..,17,4,19,0,19,..,0,0,0,0,0,..,9,0,12,0,17,..,0,0,0,0,0,..,5,0,5,0,5,..,19,0,19,0,17,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,4
UCL213002,5196,..,..,..,..,5196,..,4,0,4,0,4,..,3,0,3,0,3,..,0,0,0,0,0,..,10,3,13,0,13,..,10,9,17,0,17,..,4,0,4,0,4,..,21,11,32,0,32,..,3,0,3,0,3,..,10,0,10,0,9,..,9,0,9,0,9,..,17,0,17,0,17,..,3,0,3,0,3,..,0,0,0,0,0,..,9,0,11,0,15,..,12,0,12,0,12,..,4,0,4,0,4,..,3,0,3,0,3,..,4,0,4,0,4,..,29,0,33,0,33,..,30,3,33,3,38,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,10,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,10,0,10,..,0,0,0,0,0,..,15,0,15,0,15,..,5
UCL213003,5100,..,..,..,..,5100,..,3,0,3,0,3,..,31,7,36,0,36,..,0,0,0,0,0,..,3,4,10,0,10,..,16,12,27,0,30,..,0,0,0,0,0,..,21,18,41,0,37,..,0,0,0,0,0,..,4,0,4,0,4,..,4,0,4,0,4,..,4,0,4,0,4,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,4,0,4,..,5,0,5,0,5,..,3,0,3,0,3,..,0,0,3,0,3,..,7,0,7,0,7,..,15,0,15,0,15,..,23,0,23,0,25,..,3,0,3,0,3,..,4,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,7,3,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,11,0,11,0,11,..,7,0,6,0,6,..,0,0,0,0,0,..,6
UCL213004,5051,..,..,..,..,5051,..,5,0,5,0,5,..,8,0,9,0,9,..,0,0,0,0,0,..,3,0,6,0,6,..,10,5,16,0,16,..,7,0,6,0,6,..,17,13,28,0,28,..,4,0,3,0,3,..,19,0,19,0,19,..,9,0,9,0,9,..,14,0,13,0,13,..,10,0,18,0,18,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,3,0,3,0,3,..,12,0,12,0,12,..,20,3,24,0,24,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,7,0,9,0,9,..,4,0,4,0,4,..,0,0,0,0,0,..,6,0,6,0,6,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0
UCL213005,5432,..,..,..,..,5432,..,6,0,6,0,6,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,6,0,6,..,13,3,12,0,16,..,0,0,0,0,0,..,18,4,17,0,18,..,11,4,9,0,9,..,10,0,10,0,10,..,4,0,4,0,4,..,22,0,22,0,22,..,21,0,20,0,20,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,27,3,31,0,31,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,3,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,0
UCL213006,5514,..,..,..,..,5514,..,3,0,3,0,3,..,3,0,3,0,3,..,5,0,5,0,5,..,0,0,0,0,0,..,6,3,10,0,10,..,0,0,0,0,0,..,8,3,11,0,11,..,3,0,3,0,3,..,0,0,0,0,0,..,6,0,10,0,10,..,8,0,8,0,8,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,14,0,11,0,11,..,0,0,0,0,0,..,3,0,6,0,6,..,21,3,21,0,21,..,13,0,16,0,16,..,5,0,6,0,6,..,0,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,6,0,13,0,13,..,0
UCL213007,6743,..,..,..,..,6743,..,3,0,3,0,3,..,9,0,9,0,9,..,3,0,3,0,3,..,3,0,7,0,7,..,18,0,18,0,25,..,0,0,0,0,0,..,27,0,29,0,33,..,0,0,0,0,0,..,3,0,3,0,3,..,5,0,5,0,5,..,12,0,12,0,12,..,14,0,14,0,14,..,3,0,3,0,3,..,9,0,9,0,9,..,8,0,8,0,8,..,6,0,6,0,5,..,5,0,5,0,5,..,9,0,10,0,10,..,41,3,50,0,46,..,30,0,33,0,36,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,5,0,5,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,18,0,16,0,16,..,0,0,0,0,0,..,14,0,15,0,15,..,5
UCL213008,5763,..,..,..,..,5763,..,5,0,5,0,5,..,3,0,8,0,8,..,0,0,0,0,0,..,3,0,4,0,4,..,15,3,16,0,16,..,0,0,0,0,0,..,17,3,24,0,24,..,35,0,35,0,35,..,9,0,9,0,9,..,4,0,4,0,4,..,14,0,19,0,19,..,6,0,6,0,6,..,0,0,0,0,0,..,13,0,13,0,13,..,18,3,15,0,15,..,8,0,8,0,8,..,0,0,0,0,0,..,3,0,4,0,4,..,44,3,46,0,49,..,26,0,26,0,30,..,7,0,7,0,7,..,0,0,0,0,0,..,12,0,12,0,12,..,11,0,11,0,11,..,3,0,3,0,3,..,3,0,3,0,3,..,3,0,3,0,3,..,5,0,9,0,9,..,7,0,9,0,9,..,40,3,48,0,48,..,7,0,7,0,7,..,50,0,50,0,50,..,0
UCL213009,5175,..,..,..,..,5175,..,9,0,9,0,6,..,3,0,3,0,3,..,0,0,0,0,0,..,6,0,8,0,9,..,14,9,22,0,21,..,0,0,0,0,0,..,15,6,26,3,27,..,6,0,5,0,5,..,10,0,10,0,10,..,6,0,8,0,8,..,14,0,14,0,14,..,22,4,25,0,29,..,4,0,4,0,4,..,16,3,16,0,16,..,11,0,17,0,17,..,0,0,0,0,0,..,4,0,4,0,4,..,4,0,7,0,10,..,38,3,42,3,48,..,37,4,41,3,51,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,12,0,12,0,12,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,9,0,9,0,9,..,7,0,7,0,7,..,0
UCL213010,6320,..,..,..,..,6320,..,3,0,3,0,3,..,14,3,15,0,15,..,0,0,0,0,0,..,7,6,15,0,15,..,14,8,16,0,16,..,3,4,5,0,5,..,24,17,41,0,41,..,17,3,16,0,16,..,39,0,42,0,42,..,0,0,4,0,4,..,23,4,25,0,21,..,27,6,31,0,31,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,12,0,12,0,12,..,25,0,23,0,25,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,42,4,44,0,44,..,0,0,0,0,0,..,5,0,8,0,8,..,3,0,4,0,4,..,0,0,0,0,0,..,12,0,16,4,18,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0
UCL213011,5357,..,..,..,..,5357,..,3,0,3,0,3,..,43,7,49,0,53,..,3,0,3,0,3,..,7,0,9,0,9,..,25,11,32,0,32,..,3,3,4,0,4,..,30,15,47,0,47,..,10,4,10,0,10,..,9,0,9,0,9,..,9,0,9,0,9,..,18,0,18,0,18,..,46,4,49,3,48,..,6,0,6,0,6,..,14,0,14,0,14,..,10,3,15,0,15,..,11,0,11,0,11,..,4,0,4,0,4,..,8,0,9,0,9,..,51,5,52,0,52,..,164,27,191,3,194,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,35,0,36,0,36,..,0,0,0,0,0,..,7,3,10,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,6,3,15,0,15,..,4,0,4,0,4,..,16,0,16,0,16,..,0
UCL213012,8143,..,..,..,..,8143,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,20,7,21,0,21,..,0,0,4,0,4,..,24,6,31,0,31,..,3,0,3,0,3,..,24,0,24,0,24,..,10,0,10,0,10,..,30,0,33,0,33,..,20,0,20,0,20,..,0,0,0,0,0,..,3,0,3,0,3,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,29,0,35,0,35,..,6,0,7,0,4,..,0,0,0,0,0,..,5,0,3,0,3,..,6,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,3,0,3,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0
UCL213013,4403,..,..,..,..,4403,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,4,4,6,..,3,0,8,0,8,..,4,0,9,0,9,..,0,0,0,0,0,..,7,4,14,0,14,..,0,0,0,0,0,..,11,0,11,0,11,..,0,0,0,0,0,..,6,0,6,0,6,..,3,0,3,0,3,..,9,0,9,0,9,..,9,0,9,0,9,..,0,0,0,0,0,..,8,0,12,0,12,..,0,0,0,0,0,..,0,0,3,0,3,..,27,3,27,0,27,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,8,0,8,..,0,0,0,0,0,..,0
UCL213014,5604,..,..,..,..,5604,..,7,0,7,0,7,..,6,0,6,0,7,..,0,0,0,0,0,..,10,3,12,0,12,..,28,12,33,3,36,..,0,0,0,0,0,..,33,11,44,3,50,..,10,0,10,0,10,..,8,0,8,0,8,..,8,0,8,0,8,..,11,0,11,0,11,..,5,0,4,0,4,..,3,0,3,0,3,..,18,3,19,0,18,..,18,0,22,0,22,..,13,0,11,0,11,..,13,0,13,0,13,..,13,3,10,0,10,..,71,8,85,0,82,..,19,3,23,0,23,..,3,0,3,0,3,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,10,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,3,0,3,..,5,0,5,0,5,..,0,0,0,0,0,..,15,0,15,0,15,..,3
UCL213015,4060,..,..,..,..,4060,..,0,0,0,0,0,..,8,0,11,0,11,..,0,0,0,0,0,..,0,4,3,0,3,..,10,9,20,0,20,..,0,0,0,0,0,..,12,11,22,0,22,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,10,0,10,..,4,0,4,0,4,..,0,0,0,0,0,..,9,0,9,0,9,..,11,0,11,0,11,..,69,15,82,5,90,..,9,0,12,0,12,..,3,0,3,0,3,..,0,0,0,0,0,..,105,17,121,5,124,..,71,13,85,3,87,..,0,0,0,0,0,..,4,0,10,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,7,3,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,10,0,10,..,8,7,19,0,19,..,18,0,18,0,18,..,8
UCL213016,7554,..,..,..,..,7554,..,10,0,8,0,8,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,3,4,10,0,10,..,0,0,0,0,0,..,10,4,11,0,11,..,10,0,10,0,10,..,23,0,23,0,23,..,19,3,24,0,24,..,51,0,51,0,49,..,20,0,19,0,19,..,0,0,0,0,0,..,6,0,9,0,9,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,17,0,14,0,14,..,38,3,40,0,41,..,9,3,12,0,12,..,0,0,3,0,3,..,7,4,11,0,11,..,0,0,3,0,6,..,7,0,4,0,4,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,0
UCL213017,7628,..,..,..,..,7628,..,5,0,5,0,5,..,10,0,10,0,10,..,0,0,0,0,0,..,7,3,7,0,7,..,20,3,25,0,25,..,0,0,0,0,0,..,31,3,35,0,35,..,4,0,4,0,4,..,7,0,7,0,7,..,8,0,8,0,8,..,14,0,17,0,17,..,14,3,18,0,18,..,0,0,0,0,0,..,6,0,4,0,4,..,19,0,21,0,21,..,9,0,8,0,8,..,7,0,7,0,7,..,21,0,24,0,24,..,58,5,65,0,65,..,136,29,163,0,164,..,4,0,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,6,0,6,..,4,0,3,0,3,..,3,0,3,0,3,..,6,0,6,0,3,..,17,3,19,0,19,..,3
UCL213018,6012,..,..,..,..,6012,..,11,0,11,0,11,..,5,0,4,0,8,..,0,0,0,0,0,..,3,0,3,0,3,..,14,17,27,0,27,..,0,0,0,0,0,..,19,20,32,0,32,..,6,0,7,0,7,..,19,0,19,0,19,..,3,0,3,0,3,..,16,0,16,0,21,..,15,0,10,0,13,..,0,0,0,0,0,..,4,0,4,0,4,..,14,0,21,0,21,..,6,3,11,0,11,..,3,0,3,0,3,..,6,0,6,0,6,..,43,4,42,0,42,..,36,4,44,0,41,..,9,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,6,0,10,0,10,..,8,0,8,0,8,..,5,0,5,0,5,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,5,0,5,0,5,..,0
UCL214001,3073,..,..,..,..,3073,..,3,0,3,0,3,..,9,0,9,0,9,..,0,0,0,0,0,..,0,4,3,0,3,..,11,14,21,0,27,..,0,3,3,0,3,..,10,20,28,0,31,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,7,0,7,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,7,0,7,0,7,..,15,0,15,0,10,..,0,0,0,0,0,..,15,0,15,0,15,..,0,0,0,0,0,..,35,0,35,0,32,..,5,5,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,14,0,14,0,14,..,0,0,0,0,0,..,3,0,3,0,3,..,0
UCL214002,3892,..,..,..,..,3892,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,3,0,3,0,3,..,11,3,12,0,12,..,3,0,6,0,6,..,21,6,24,0,24,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,3,..,16,0,16,0,16,..,0,0,0,0,0,..,4,0,4,0,4,..,3,0,3,0,3,..,9,0,9,0,9,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,25,0,26,0,26,..,11,0,14,0,14,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,4,0,4,0,4,..,0,0,0,0,0,..,6,0,6,0,6,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0
UCL214003,3743,..,..,..,..,3743,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,6,3,7,0,7,..,12,24,37,0,37,..,0,3,3,0,3,..,17,30,47,0,47,..,0,0,0,0,0,..,9,0,9,0,9,..,9,0,9,0,9,..,16,0,16,0,16,..,4,0,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,9,0,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,16,0,19,3,17,..,13,0,13,0,13,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,3,0,3,0,3,..,0
UCL214004,2123,..,..,..,..,2123,..,0,0,0,0,0,..,52,14,66,0,66,..,0,0,0,0,0,..,0,0,0,0,0,..,14,9,22,0,22,..,0,0,0,0,0,..,16,13,27,0,27,..,0,0,3,0,3,..,3,0,3,0,3,..,5,0,5,0,3,..,0,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,47,7,54,0,54,..,7,0,7,0,7,..,7,3,4,0,4,..,3,0,3,0,3,..,60,10,72,0,72,..,81,13,97,3,103,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,4,0,4,0,4,..,4
UCL214005,469,..,..,..,..,469,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0
UCL214006,4332,..,..,..,..,4332,..,13,0,11,0,11,..,8,0,8,0,8,..,0,0,0,0,0,..,4,0,6,0,6,..,15,7,23,0,19,..,0,0,0,0,0,..,14,10,21,0,22,..,7,0,7,0,7,..,0,0,0,0,0,..,4,0,3,0,3,..,15,0,15,0,15,..,8,0,8,0,8,..,0,0,0,0,0,..,3,0,3,0,3,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,13,0,13,0,13,..,36,3,41,0,41,..,4,3,11,0,11,..,0,0,0,0,0,..,3,3,8,0,8,..,7,0,7,0,7,..,0,0,0,0,0,..,3,4,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0
