UCL_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
UCL215060,0,0,0,0,0,0,0,0,3,15,29,0,40,0,0,3,46,23,3,72
UCL215061,0,0,0,0,0,0,0,0,0,11,6,0,16,0,0,0,16,26,0,42
UCL215062,0,0,0,0,0,0,7,3,11,34,58,6,95,3,7,12,108,88,5,198
UCL215063,0,0,0,0,0,0,0,3,5,15,23,3,39,3,7,8,46,54,0,106
UCL215064,0,0,0,0,0,0,0,0,0,0,6,0,11,0,3,3,14,12,0,25
UCL215065,0,4,0,0,0,4,0,0,3,20,30,7,50,0,0,0,52,48,0,99
UCL215066,0,0,0,0,0,0,3,0,5,26,41,0,68,0,6,6,75,32,0,109
UCL215067,0,0,0,0,0,0,0,0,0,18,26,0,48,0,0,4,54,37,0,91
UCL215068,0,0,0,0,0,0,6,4,6,26,30,3,63,4,0,6,65,98,4,168
UCL215069,0,0,0,0,0,0,3,0,3,38,29,3,67,5,0,3,74,30,0,105
UCL215070,0,0,0,0,0,0,4,0,4,23,7,3,34,3,3,5,39,55,3,100
UCL215071,0,0,0,0,0,0,0,0,3,17,29,4,54,3,3,5,64,58,3,119
UCL215072,0,0,0,0,0,0,0,0,3,36,41,0,83,7,4,5,91,46,0,136
UCL215073,0,0,0,0,0,0,0,0,0,10,9,3,22,0,0,4,24,25,0,47
UCL215074,0,0,0,0,0,0,0,0,0,35,28,3,66,3,4,8,71,36,0,109
UCL215075,0,0,0,0,0,0,0,0,0,7,12,0,22,0,0,4,26,12,0,33
UCL215076,0,0,0,0,0,0,0,0,0,20,23,5,44,0,0,0,45,17,0,65
UCL215077,0,0,0,0,0,0,0,0,0,13,20,3,43,0,0,0,42,42,0,84
UCL215078,0,0,0,0,0,0,0,0,0,19,24,0,42,3,4,3,45,23,0,70
UCL215079,0,0,0,0,0,0,7,0,7,25,33,8,66,7,3,6,78,72,0,149
UCL215080,0,0,0,0,0,0,0,0,8,20,19,6,45,0,5,4,44,41,0,91
UCL215081,0,0,0,0,0,0,0,0,0,10,16,3,27,0,3,3,32,25,0,57
UCL215082,0,0,0,0,0,0,0,0,0,8,12,3,20,0,3,3,28,8,0,36
UCL215083,0,0,0,0,0,0,0,0,0,40,47,11,92,7,0,7,104,51,0,153
UCL215084,0,4,0,0,0,4,0,0,4,18,11,3,33,0,0,0,33,13,0,51
UCL215085,0,0,0,0,0,0,0,0,5,30,45,0,68,0,3,5,74,45,0,118
UCL215086,0,0,0,0,0,0,0,0,0,9,35,0,44,6,0,6,49,48,3,99
UCL215087,0,3,0,0,0,3,0,0,11,55,34,3,97,3,5,12,104,83,5,189
UCL215088,0,0,0,0,0,0,0,0,3,14,19,3,41,0,3,5,39,45,0,84
UCL215089,0,0,0,0,0,0,0,0,0,17,13,0,29,0,0,0,29,11,0,37
UCL215090,0,0,0,0,0,0,0,0,0,61,50,6,108,3,3,7,116,53,0,174
UCL215091,0,0,0,0,0,0,3,0,4,65,73,9,147,0,11,8,151,62,3,216
UCL215092,0,0,0,0,0,0,0,0,0,9,12,0,24,0,0,0,25,36,0,58
UCL215093,0,0,0,0,0,3,4,0,3,29,23,0,60,3,0,3,62,23,0,93
UCL215094,0,0,0,0,0,0,0,4,3,28,41,4,82,3,3,3,85,50,3,135
UCL215095,0,0,0,0,0,0,0,0,0,12,16,0,23,0,0,0,24,17,0,43
UCL215096,0,0,0,0,0,0,0,0,5,15,21,0,37,3,7,5,43,42,0,93
UCL215097,0,0,0,0,0,0,0,0,0,11,19,0,31,4,4,8,39,16,0,61
UCL221001,0,0,0,0,0,0,0,0,0,10,11,3,21,0,0,0,19,6,0,30
UCL221002,0,0,0,0,0,0,0,0,0,8,5,0,12,3,0,6,16,18,0,30
UCL221003,0,0,0,0,0,0,0,0,0,6,15,0,17,3,0,6,23,19,0,42
UCL221004,0,0,0,0,0,0,0,0,0,6,6,3,18,0,0,0,21,3,0,22
UCL221005,0,0,0,0,0,0,0,0,0,4,0,0,10,0,0,0,10,3,0,13
UCL221006,0,0,0,0,0,0,0,0,0,5,6,0,15,0,0,0,15,12,0,25
UCL221007,0,0,0,0,0,0,0,0,0,3,8,0,16,0,0,0,12,8,0,23
UCL221008,0,0,0,0,0,0,0,0,0,3,7,0,12,3,0,3,9,7,0,16
UCL221009,0,0,0,0,0,0,0,0,0,4,4,0,9,0,0,0,8,13,0,25
UCL221010,0,0,0,0,0,0,4,0,3,6,8,0,20,0,0,0,18,10,0,28
UCL221011,0,0,0,0,0,0,0,0,0,7,8,0,16,3,0,3,17,11,0,28
UCL221012,0,0,0,0,0,0,0,0,0,3,4,0,9,0,0,0,9,0,0,11
UCL221013,0,0,0,0,0,0,0,0,0,6,3,0,9,0,0,0,9,8,0,14
UCL221014,0,0,0,0,0,0,0,0,0,7,5,0,15,0,0,0,15,8,0,18
UCL221015,0,0,0,0,0,0,0,0,3,3,10,0,14,3,0,3,14,11,3,32
UCL221016,0,0,0,0,0,0,0,0,0,7,9,0,12,0,0,0,10,3,0,20
UCL221017,0,0,0,0,0,0,0,0,0,3,7,0,12,0,0,0,12,21,0,32
UCL221018,0,0,0,0,0,0,3,0,3,3,12,0,14,3,0,3,16,13,0,27
UCL221019,0,0,3,0,3,3,0,4,3,6,13,3,28,3,3,10,31,37,4,75
UCL221020,0,0,0,0,0,0,0,0,0,6,22,8,30,0,0,0,31,19,0,46
UCL221021,0,0,0,0,0,0,3,0,5,4,6,0,16,0,0,0,16,14,0,29
UCL221022,0,0,0,0,0,0,0,0,0,8,9,0,16,0,7,6,21,20,0,49
UCL221023,0,0,0,0,0,0,0,0,0,8,5,0,15,0,0,0,15,7,0,22
UCL221024,0,0,0,0,0,0,0,0,0,3,4,0,8,0,5,5,13,21,0,34
UCL221025,0,0,0,0,0,0,0,0,0,3,7,3,17,0,0,0,15,13,0,27
UCL221026,0,0,0,0,0,0,0,0,0,11,14,0,23,3,0,3,27,27,0,52
UCL221027,0,0,0,0,0,0,0,0,0,3,4,0,10,0,0,0,11,12,0,24
UCL221028,0,0,0,0,0,0,0,0,0,3,3,0,9,0,0,0,14,12,0,22
UCL221029,0,0,0,0,0,0,0,0,0,6,15,0,14,0,0,0,18,16,3,36
UCL221030,0,0,0,0,0,0,0,0,0,3,4,3,12,0,0,0,12,6,0,16
UCL221031,0,0,0,0,0,0,0,0,0,8,3,3,14,0,0,0,17,8,0,19
UCL221032,0,0,0,0,0,0,0,0,0,7,9,3,11,5,3,7,21,26,0,46
UCL221033,0,0,0,0,0,0,0,0,0,12,3,4,18,0,0,0,18,3,0,20
UCL221034,0,0,0,0,0,0,0,0,3,9,9,0,12,0,0,0,12,14,0,29
UCL221035,0,0,0,0,0,0,3,0,3,7,4,0,7,0,0,0,7,11,0,17
UCL221036,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,6,11,0,14
UCL221037,0,0,0,0,0,0,3,0,3,3,7,0,8,0,0,0,7,19,0,25
UCL221038,0,0,0,0,0,0,0,0,0,3,8,3,12,0,0,0,12,4,0,16
UCL221039,0,0,0,0,0,0,0,0,0,4,6,0,9,0,0,0,11,6,0,17
UCL221040,0,0,0,0,0,0,0,0,0,13,7,3,27,3,0,3,27,10,0,37
UCL221041,0,0,0,0,0,0,3,0,3,5,5,0,14,0,0,0,12,9,0,24
UCL221042,0,0,0,0,0,0,0,0,0,4,3,0,8,0,0,3,6,13,0,25
UCL221043,0,0,0,0,0,0,0,0,0,3,15,0,18,0,0,0,18,13,0,32
UCL221044,0,0,0,0,0,0,0,0,0,3,5,0,12,0,0,0,12,7,0,18
UCL221045,0,0,0,0,0,0,0,0,0,3,10,0,9,0,0,0,9,16,0,21
UCL221046,0,0,0,0,0,0,0,0,0,7,18,0,26,0,0,0,26,10,0,36
UCL221047,0,0,0,0,0,0,0,0,0,10,5,0,20,0,0,4,21,9,0,28
UCL221048,0,0,0,0,0,0,0,0,0,4,8,0,17,3,3,3,20,11,0,29
UCL221049,0,0,0,0,0,0,0,0,0,3,4,0,8,0,0,0,8,3,0,10
UCL221050,0,0,0,0,0,0,0,0,0,9,9,0,20,0,0,0,20,13,0,27
UCL221051,0,0,0,0,0,0,0,0,0,7,0,0,10,0,0,0,10,0,0,11
UCL221052,0,0,0,0,0,0,0,3,4,3,11,0,18,0,0,0,18,16,6,38
UCL221053,0,0,0,0,0,0,0,0,4,3,7,0,9,0,0,0,13,19,4,30
UCL221054,0,0,0,0,0,0,0,0,0,9,3,0,15,0,3,3,15,8,0,18
UCL221055,0,0,0,0,0,0,0,0,0,9,8,0,17,0,0,0,17,10,0,25
UCL221056,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,0,6,7,0,15
UCL221057,0,0,0,0,0,0,0,0,0,7,4,0,13,0,0,0,9,11,0,21
UCL221058,0,0,0,0,0,0,0,0,0,7,5,0,16,0,0,0,16,21,0,33
UCL221059,0,0,0,0,0,0,0,0,0,3,13,0,15,0,0,0,15,7,0,21
UCL221060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,8
UCL221061,0,0,0,0,0,0,0,3,4,13,4,0,21,0,3,3,25,21,3,45
UCL221062,0,0,0,0,0,0,0,0,0,7,7,0,18,3,0,6,25,21,0,49
UCL221063,0,0,0,0,0,0,0,0,0,3,6,0,12,3,0,4,17,9,0,24
UCL221064,0,0,0,0,0,0,0,0,0,11,11,3,23,0,0,0,19,5,0,30
UCL221065,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,10,8,0,21
UCL221066,0,0,0,0,0,0,0,0,0,3,7,0,13,3,0,4,17,8,0,19
UCL221067,0,0,0,0,0,0,0,0,0,5,8,0,17,0,0,0,17,14,0,35
UCL221068,0,0,0,0,0,0,0,0,0,14,15,0,22,0,0,3,29,11,0,42
UCL221069,0,0,0,0,0,0,0,0,0,8,18,0,27,0,0,4,28,24,0,47
UCL221070,0,0,0,0,0,0,0,0,0,11,14,0,22,0,0,0,24,13,0,39
UCL221071,0,0,0,0,0,0,0,0,0,10,0,0,11,0,0,0,11,7,0,14
UCL221072,0,0,0,0,0,0,0,0,0,10,7,0,20,0,0,0,16,7,0,23
UCL221073,0,0,0,0,0,0,0,0,0,4,4,0,10,0,0,0,12,14,0,24
UCL221074,0,0,0,0,0,0,0,0,0,0,13,0,12,0,0,0,11,7,0,25
UCL221075,0,0,0,0,0,0,0,3,5,6,9,0,15,0,0,0,17,10,3,28
UCL221076,0,0,0,0,0,0,0,0,0,4,4,0,10,0,4,4,14,3,0,23
UCL221077,0,0,0,0,0,0,0,0,0,3,3,0,11,0,0,0,13,19,0,26
UCL221078,0,0,0,0,0,0,0,0,0,3,5,3,10,0,0,0,10,9,0,22
UCL221079,0,0,0,0,0,0,0,4,4,5,10,0,21,0,4,4,22,21,4,47
UCL221080,0,0,0,0,0,0,0,0,0,3,7,0,9,0,0,0,9,12,0,28
UCL221081,0,0,0,0,0,0,0,0,0,10,11,0,23,0,0,0,23,10,0,31
UCL221082,0,0,0,0,0,0,0,0,0,12,7,3,19,0,0,0,22,10,0,35
UCL222001,0,0,0,0,0,0,0,0,0,3,3,0,5,0,0,0,5,0,0,5
UCL222002,0,0,0,0,0,0,0,0,0,6,0,0,10,0,0,0,10,3,0,9
UCL222003,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,7,0,0,11
UCL222004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL222005,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,8,6,0,10
UCL222006,0,0,0,0,0,0,0,0,0,3,3,0,6,0,0,0,7,5,0,9
UCL222007,0,0,0,0,0,0,0,0,0,3,3,0,7,0,0,0,7,0,0,7
UCL222008,0,0,0,0,0,0,0,0,0,6,3,0,6,0,0,0,6,8,0,15
UCL222009,0,0,0,0,0,0,0,0,0,3,3,0,7,0,0,0,7,7,0,13
UCL222010,0,0,0,0,0,0,0,0,0,8,6,0,15,0,0,0,15,3,0,18
UCL222011,0,0,0,0,0,0,0,0,0,7,5,0,13,0,0,0,13,3,0,16
UCL222012,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,6,3,0,5
UCL222013,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,3,0,8
UCL222014,0,0,0,0,0,0,0,0,0,3,3,0,5,0,0,0,8,0,0,10
UCL222015,0,0,0,0,0,0,0,0,0,3,8,0,17,0,0,0,17,9,0,24
UCL222016,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,6,5,0,12
UCL222017,0,0,0,0,0,0,0,0,0,6,14,0,20,0,0,0,18,12,0,30
UCL222018,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,3,6,0,15
UCL222019,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,9,4,0,8
UCL222020,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,7,0,4
UCL222021,0,0,0,0,0,0,0,0,0,3,3,0,6,0,0,0,6,0,0,6
UCL222022,0,0,0,0,0,0,0,0,0,3,4,0,4,0,0,0,3,3,0,11
UCL222023,0,0,0,0,0,0,0,0,3,0,3,0,5,0,0,0,3,3,0,11
UCL222024,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,4,0,3
UCL222025,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,8,6,0,9
UCL222026,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,3,0,0,7
UCL222027,0,0,0,0,0,0,0,0,0,3,3,0,10,0,0,0,10,4,0,9
UCL222028,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,3
UCL222029,0,0,0,0,0,0,0,0,0,6,5,0,9,0,0,0,9,3,0,11
UCL222030,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,7,7,0,14
UCL222031,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,5,3,0,7
UCL222032,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,5,11,7,0,21
UCL222033,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,5,5,0,10
UCL222034,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,7,11,0,17
UCL222035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
UCL222036,0,0,0,0,0,0,0,0,0,3,3,0,5,0,0,0,5,0,0,5
UCL222037,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,3,0,9
UCL222038,0,0,0,0,0,0,0,0,0,5,3,0,6,0,0,0,5,9,0,18
UCL222039,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,11,0,15
UCL222040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,11,0,10
UCL222041,0,0,0,0,0,0,0,0,0,8,0,0,7,0,0,0,8,0,0,12
UCL222042,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,8,0,0,7
UCL222043,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,8,6,0,11
UCL222044,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,4,6,0,12
UCL222045,0,0,0,0,0,0,0,0,0,3,5,0,8,0,0,0,8,8,0,17
UCL222046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,7
UCL222047,0,0,0,0,0,0,0,0,0,3,3,0,7,0,0,0,7,0,0,12
UCL222048,0,0,0,0,0,0,0,0,0,4,3,0,4,0,0,0,7,10,0,17
UCL222049,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,5,0,7
UCL222050,0,0,0,0,0,0,0,0,0,4,0,0,9,0,0,0,9,3,0,9
UCL222051,0,0,0,0,0,0,0,0,0,5,6,0,11,0,0,3,16,5,0,23
UCL222052,0,0,0,0,0,0,0,0,0,7,3,0,7,0,0,0,8,3,0,15
UCL222053,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,7,0,8
UCL222054,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,4,5,0,5
UCL222055,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,4,3,0,7
UCL222056,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,3,7,9,0,14
UCL222057,0,0,0,0,0,0,0,0,0,0,6,0,12,0,0,0,12,5,0,15
UCL222058,0,0,0,0,0,0,0,0,0,8,3,0,13,0,3,4,16,12,0,28
UCL222059,0,0,0,0,0,0,0,0,0,4,3,0,11,0,0,0,6,6,0,16
UCL222060,0,0,0,0,0,0,0,0,0,3,3,0,7,0,0,0,8,4,0,8
UCL222061,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,5,12,0,22
UCL222062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
