UCL_CODE_2016,M_NatPhyl_Scn_15_24,M_NatPhyl_Scn_25_34,M_NatPhyl_Scn_35_44,M_NatPhyl_Scn_45_54,M_NatPhyl_Scn_55_64,M_NatPhyl_Scn_65_74,M_NatPhyl_Scn_75_84,M_NatPhyl_Scn_85ov,M_NatPhyl_Scn_Tot,M_InfoTech_15_24,M_InfoTech_25_34,M_InfoTech_35_44,M_InfoTech_45_54,M_InfoTech_55_64,M_InfoTech_65_74,M_InfoTech_75_84,M_InfoTech_85ov,M_InfoTech_Tot,M_Eng_RelTec_15_24,M_Eng_RelTec_25_34,M_Eng_RelTec_35_44,M_Eng_RelTec_45_54,M_Eng_RelTec_55_64,M_Eng_RelTec_65_74,M_Eng_RelTec_75_84,M_Eng_RelTec_85ov,M_Eng_RelTec_Tot,M_ArchtBldng_15_24,M_ArchtBldng_25_34,M_ArchtBldng_35_44,M_ArchtBldng_45_54,M_ArchtBldng_55_64,M_ArchtBldng_65_74,M_ArchtBldng_75_84,M_ArchtBldng_85ov,M_ArchtBldng_Tot,M_Ag_Envir_Rltd_Sts_15_24,M_Ag_Envir_Rltd_Sts_25_34,M_Ag_Envir_Rltd_Sts_35_44,M_Ag_Envir_Rltd_Sts_45_54,M_Ag_Envir_Rltd_Sts_55_64,M_Ag_Envir_Rltd_Sts_65_74,M_Ag_Envir_Rltd_Sts_75_84,M_Ag_Envir_Rltd_Sts_85ov,M_Ag_Envir_Rltd_Sts_Tot,M_Health_15_24,M_Health_25_34,M_Health_35_44,M_Health_45_54,M_Health_55_64,M_Health_65_74,M_Health_75_84,M_Health_85ov,M_Health_Tot,M_Educ_15_24,M_Educ_25_34,M_Educ_35_44,M_Educ_45_54,M_Educ_55_64,M_Educ_65_74,M_Educ_75_84,M_Educ_85_years_and_over,M_Educ_Tot,M_Mgnt_Com_15_24,M_Mgnt_Com_25_34,M_Mgnt_Com_35_44,M_Mgnt_Com_45_54,M_Mgnt_Com_55_64,M_Mgnt_Com_65_74,M_Mgnt_Com_75_84,M_Mgnt_Com_85ov,M_Mgnt_Com_Tot,M_Society_Cult_15_24,M_Society_Cult_25_34,M_Society_Cult_35_44,M_Society_Cult_45_54,M_Society_Cult_55_64,M_Society_Cult_65_74,M_Society_Cult_75_84,M_Society_Cult_85ov,M_Society_Cult_Tot,M_Creative_Arts_15_24,M_Creative_Arts_25_34,M_Creative_Arts_35_44,M_Creative_Arts_45_54,M_Creative_Arts_55_64,M_Creative_Arts_65_74,M_Creative_Arts_75_84,M_Creative_Arts_85ov,M_Creative_Arts_Tot,M_Fd_Hosp_Psnl_Svcs_15_24,M_Fd_Hosp_Psnl_Svcs_25_34,M_Fd_Hosp_Psnl_Svcs_35_44,M_Fd_Hosp_Psnl_Svcs_45_54,M_Fd_Hosp_Psnl_Svcs_55_64,M_Fd_Hosp_Psnl_Svcs_65_74,M_Fd_Hosp_Psnl_Svcs_75_84,M_Fd_Hosp_Psnl_Svcs_85ov,M_Fd_Hosp_Psnl_Svcs_Tot,M_MixFld_Prgm_15_24,M_MixFld_Prgm_25_34,M_MixFld_Prgm_35_44,M_MixFld_Prgm_45_54,M_MixFld_Prgm_55_64,M_MixFld_Prgm_65_74,M_MixFld_Prgm_75_84,M_MixFld_Prgm_85ov,M_MixFld_Prgm_Tot,M_FldStd_InadDes_15_24,M_FldStd_InadDes_25_34,M_FldStd_InadDes_35_44,M_FldStd_InadDes_45_54,M_FldStd_InadDes_55_64,M_FldStd_InadDes_65_74,M_FldStd_InadDes_75_84,M_FldStd_InadDes_85ov,M_FldStd_InadDes_Tot,M_FldStd_NS_15_24,M_FldStd_NS_25_34,M_FldStd_NS_35_44,M_FldStd_NS_45_54,M_FldStd_NS_55_64,M_FldStd_NS_65_74,M_FldStd_NS_75_84,M_FldStd_NS_85ov,M_FldStd_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_years_and_over,M_Tot_Tot,F_NatPhyl_Scn_15_24,F_NatPhyl_Scn_25_34,F_NatPhyl_Scn_35_44,F_NatPhyl_Scn_45_54,F_NatPhyl_Scn_55_64,F_NatPhyl_Scn_65_74,F_NatPhyl_Scn_75_84,F_NatPhyl_Scn_85ov,F_NatPhyl_Scn_Tot,F_InfoTech_15_24,F_InfoTech_25_34,F_InfoTech_35_44,F_InfoTech_45_54,F_InfoTech_55_64,F_InfoTech_65_74,F_InfoTech_75_84,F_InfoTech_85ov,F_InfoTech_Tot,F_Eng_RelTec_15_24,F_Eng_RelTec_25_34,F_Eng_RelTec_35_44,F_Eng_RelTec_45_54,F_Eng_RelTec_55_64,F_Eng_RelTec_65_74,F_Eng_RelTec_75_84,F_Eng_RelTec_85ov,F_Eng_RelTec_Tot,F_ArchtBldng_15_24,F_ArchtBldng_25_34,F_ArchtBldng_35_44,F_ArchtBldng_45_54,F_ArchtBldng_55_64,F_ArchtBldng_65_74,F_ArchtBldng_75_84,F_ArchtBldng_85ov,F_ArchtBldng_Tot,F_Ag_Envir_Rltd_Sts_15_24,F_Ag_Envir_Rltd_Sts_25_34,F_Ag_Envir_Rltd_Sts_35_44,F_Ag_Envir_Rltd_Sts_45_54,F_Ag_Envir_Rltd_Sts_55_64,F_Ag_Envir_Rltd_Sts_65_74,F_Ag_Envir_Rltd_Sts_75_84,F_Ag_Envir_Rltd_Sts_85ov,F_Ag_Envir_Rltd_Sts_Tot,F_Health_15_24,F_Health_25_34,F_Health_35_44,F_Health_45_54,F_Health_55_64,F_Health_65_74,F_Health_75_84,F_Health_85ov,F_Health_Tot,F_Educ_15_24,F_Educ_25_34,F_Educ_35_44,F_Educ_45_54,F_Educ_55_64,F_Educ_65_74,F_Educ_75_84,F_Educ_85ov,F_Educ_Tot,F_Mgnt_Com_15_24,F_Mgnt_Com_25_34
UCL212005,13,29,33,18,30,17,6,0,148,12,26,30,23,15,0,0,0,106,101,286,271,253,232,198,111,37,1495,106,239,168,142,145,79,35,8,931,27,64,69,60,36,25,14,3,291,20,64,76,70,98,33,14,7,381,18,64,75,81,93,69,26,13,433,49,143,153,179,140,78,22,3,765,47,88,76,59,83,51,17,4,423,25,32,37,24,19,17,5,0,158,36,70,77,58,42,29,7,3,327,5,5,3,7,4,0,3,0,25,5,19,25,22,18,9,3,3,98,184,135,134,182,177,178,129,76,1197,643,1265,1221,1176,1129,789,394,158,6776,10,25,44,29,12,6,3,0,140,0,4,4,6,13,5,0,0,35,0,18,18,22,9,12,9,3,93,3,3,15,8,0,0,0,0,29,15,30,26,15,15,6,3,0,103,87,312,236,281,269,152,84,25,1452,34,179,181,190,190,133,49,19,981,97,259
UCL213001,0,10,9,17,11,15,3,0,73,13,31,44,22,13,3,0,0,123,74,200,204,271,228,170,54,12,1203,82,170,100,72,58,35,22,3,535,3,34,31,25,12,13,3,3,117,3,14,16,21,20,9,4,0,85,5,26,23,25,38,27,12,0,171,18,92,96,96,84,42,9,0,444,35,43,41,41,33,24,3,4,222,8,28,17,14,8,7,0,0,84,16,31,33,22,18,10,0,0,133,0,0,0,0,0,0,3,0,6,5,13,22,15,10,7,5,0,67,79,76,86,92,79,80,46,19,552,341,760,711,723,621,438,171,52,3808,8,25,24,10,4,4,0,0,68,0,7,16,11,5,0,0,0,38,9,15,13,8,8,5,3,3,64,4,11,8,4,0,0,0,0,24,6,27,20,7,3,0,0,0,65,33,108,112,121,91,62,20,8,557,24,131,123,106,98,61,22,9,574,49,183
UCL213002,0,8,3,3,3,10,0,4,28,5,12,4,6,3,3,0,0,44,60,146,104,129,127,122,81,20,799,28,78,61,60,56,36,34,5,356,8,21,25,22,18,12,9,4,117,4,22,18,18,21,8,8,0,101,4,13,11,16,30,37,14,3,127,24,47,45,21,48,33,15,4,232,6,16,24,25,28,25,3,0,124,8,8,10,3,4,0,3,0,32,9,38,26,24,17,12,4,0,131,3,0,0,0,3,3,0,0,12,0,12,10,8,6,9,3,0,44,104,96,81,78,94,122,97,49,720,265,522,416,411,462,437,266,95,2879,3,6,12,4,9,0,0,3,39,0,3,4,5,0,0,0,0,14,3,9,5,6,4,4,4,6,40,0,6,0,6,0,0,0,0,12,3,11,11,10,0,0,0,0,40,34,107,67,97,109,91,54,21,583,13,55,54,50,75,68,28,13,360,41,94
UCL213003,0,3,4,0,4,3,0,0,19,6,16,10,3,3,5,0,0,40,55,126,121,105,126,78,43,12,673,46,76,39,42,43,39,11,5,301,13,32,26,30,21,4,5,0,128,8,17,20,17,19,5,0,0,88,0,11,11,7,39,21,17,3,115,21,43,63,33,36,23,4,7,226,18,19,19,27,26,9,5,3,122,6,20,7,6,0,3,0,0,46,18,34,28,30,17,12,4,0,141,0,0,3,0,0,0,0,0,5,0,5,8,8,3,3,3,0,39,63,79,51,65,54,71,63,31,480,254,471,413,379,397,278,152,63,2418,0,11,10,3,7,0,0,3,30,0,0,3,0,3,0,0,0,5,6,13,3,4,9,0,3,3,40,3,0,3,5,3,3,0,0,13,13,8,12,3,0,3,0,0,37,28,79,57,67,70,49,37,9,404,19,57,47,45,58,51,20,3,294,37,92
UCL213004,3,13,3,7,4,4,4,0,40,6,19,10,6,5,12,0,0,65,55,158,150,146,140,126,69,15,855,41,124,57,58,38,29,29,5,384,13,36,28,24,15,13,7,4,132,3,15,15,8,11,12,7,0,69,3,18,16,23,44,30,9,0,142,9,51,51,37,30,34,7,4,226,17,31,13,24,19,23,9,4,135,7,12,8,4,7,0,0,0,45,13,25,23,15,8,9,8,0,96,0,0,0,0,0,0,0,0,3,3,7,6,4,3,10,0,0,37,58,56,63,66,54,62,56,20,441,215,551,432,417,401,373,203,57,2650,4,9,7,10,7,0,0,0,36,0,0,6,4,5,0,0,0,13,8,6,9,6,12,4,5,0,48,0,11,3,0,0,0,0,0,20,6,10,14,11,3,0,0,0,40,29,96,67,71,66,57,18,10,412,13,81,70,71,78,53,22,5,397,42,130
UCL213005,3,5,14,9,14,13,4,0,61,10,20,16,15,11,4,0,0,73,26,93,137,156,194,173,108,32,911,41,103,84,61,70,54,24,8,439,6,19,26,15,17,16,5,0,101,5,18,13,29,23,8,8,3,119,4,13,16,20,34,44,22,6,165,10,44,61,59,67,46,20,0,305,15,26,40,40,31,25,11,0,183,12,9,9,10,13,5,3,0,68,21,24,28,21,18,6,6,0,126,0,0,0,0,0,3,3,0,10,0,3,3,10,12,8,4,7,46,56,34,51,48,60,60,68,39,419,213,429,489,485,562,468,286,94,3022,7,17,12,16,14,3,0,0,60,0,0,4,3,6,6,0,0,21,5,7,3,7,8,3,5,3,49,3,4,3,3,0,0,0,0,19,9,9,7,13,3,0,0,0,35,30,96,100,109,107,74,43,15,571,12,52,84,59,85,67,38,3,402,28,99
UCL213006,0,9,4,7,5,0,3,0,31,11,10,4,8,4,0,0,0,36,60,136,145,159,132,126,67,22,840,31,90,59,62,67,36,19,13,371,10,35,30,29,18,12,4,0,152,0,30,24,12,21,8,7,3,102,0,24,23,28,38,28,7,0,146,11,40,60,52,42,31,12,3,251,8,26,23,13,24,20,9,0,116,0,8,6,3,0,3,0,0,28,20,38,31,31,21,20,3,0,165,0,0,0,0,0,0,0,0,0,0,3,7,6,3,3,0,0,20,69,57,61,71,72,93,93,45,564,222,499,476,483,449,387,234,94,2833,0,7,17,3,5,3,0,0,41,0,3,3,3,3,0,0,0,13,3,7,4,7,3,9,3,7,37,0,3,3,3,0,0,0,0,15,5,9,12,3,3,3,0,0,32,30,107,94,98,101,56,42,13,541,12,69,78,63,59,44,31,10,372,25,98
UCL213007,0,11,9,10,9,7,0,0,51,10,22,8,7,3,0,0,0,54,76,191,119,139,143,85,41,15,806,60,93,46,67,68,49,19,5,405,20,55,48,55,42,39,11,9,278,9,33,25,38,41,12,5,0,160,7,32,24,20,42,32,19,3,180,13,66,80,61,60,33,13,8,338,25,39,32,30,39,11,10,0,185,3,4,9,6,0,0,4,0,28,14,52,34,31,19,5,4,0,165,3,0,0,3,0,0,0,0,12,3,13,10,8,8,0,0,0,40,71,83,66,80,70,80,66,38,548,311,700,528,550,541,359,187,75,3252,10,15,21,4,6,3,0,0,55,0,8,0,9,0,5,0,0,22,3,8,8,0,6,3,3,4,31,6,4,3,3,0,0,0,0,17,10,15,13,5,3,3,0,0,56,51,177,125,128,155,83,40,22,770,26,95,60,64,88,66,34,15,451,63,150
UCL213008,3,11,16,17,8,10,4,0,65,15,41,37,24,12,0,0,0,124,46,174,222,242,202,136,60,13,1092,55,117,72,64,37,31,12,0,390,3,18,26,12,6,6,4,0,79,14,28,20,19,17,7,0,0,111,0,7,19,19,21,24,5,3,101,26,75,89,76,55,26,7,3,357,24,32,42,31,20,4,5,0,162,17,19,9,6,3,7,0,0,60,22,26,31,14,8,4,3,0,115,0,0,0,0,0,0,3,0,8,3,7,20,8,15,0,3,0,60,46,42,60,41,45,41,21,10,306,272,594,661,575,455,309,119,35,3019,0,25,27,15,8,3,0,0,79,3,8,17,6,4,0,0,0,35,7,15,16,14,6,3,4,0,76,3,11,6,3,0,0,0,0,29,4,3,18,7,0,3,0,0,42,29,107,106,77,71,44,16,6,455,18,80,116,73,50,31,6,3,377,52,166
UCL213009,3,3,7,6,3,9,7,0,39,4,23,21,17,8,7,0,0,72,25,166,149,148,138,141,75,13,860,46,151,69,66,43,30,24,7,436,3,15,27,10,14,6,4,0,78,0,14,17,31,27,10,3,0,104,3,21,16,23,18,24,12,0,123,10,67,68,55,51,32,9,3,307,24,45,39,24,22,13,4,3,173,12,14,7,8,6,7,0,0,57,17,34,32,13,15,6,3,4,125,0,0,0,0,0,3,0,0,5,3,11,15,12,10,0,0,0,43,48,41,36,39,38,46,34,18,311,204,600,508,453,389,333,172,55,2724,0,20,19,9,10,6,0,0,62,0,3,0,0,0,0,0,0,8,3,9,3,12,4,0,5,0,38,0,9,3,0,0,0,0,0,19,0,4,6,6,3,0,0,0,25,23,119,102,92,87,47,18,8,508,11,97,85,57,45,55,24,5,368,46,151
UCL213010,0,3,3,0,9,7,0,0,32,19,21,14,10,5,3,0,0,70,77,163,139,285,278,209,114,29,1296,50,97,77,55,75,46,36,12,444,13,31,16,13,10,4,7,3,93,8,12,11,14,25,12,8,3,85,4,13,17,12,33,25,10,3,117,21,36,45,30,35,21,14,6,213,17,31,32,35,38,16,11,3,174,13,9,8,4,12,11,0,0,61,10,19,27,18,15,11,9,0,104,0,0,0,0,0,0,0,0,3,3,0,4,6,13,3,5,6,34,108,77,91,106,113,141,90,43,779,342,534,481,583,658,509,300,107,3511,0,8,4,7,6,4,0,0,28,0,7,7,3,0,0,0,0,14,8,12,11,11,3,5,4,4,53,3,10,6,3,0,0,0,0,20,3,8,6,5,0,5,0,0,28,44,76,38,58,104,67,34,6,428,16,48,53,56,57,34,20,10,292,53,145
UCL213011,3,7,0,8,7,7,0,0,28,12,31,15,3,4,0,0,0,73,58,142,119,194,205,176,71,41,1009,40,62,49,48,86,41,27,8,364,3,7,8,11,0,3,5,0,47,6,20,11,16,19,8,3,0,90,3,10,6,12,21,15,9,0,74,22,43,46,25,30,20,13,4,214,9,41,20,42,33,12,9,0,172,13,17,10,3,6,0,0,0,57,7,29,21,19,7,6,3,0,96,3,0,0,0,0,4,3,0,12,0,9,9,11,5,7,3,0,40,121,106,94,116,127,115,80,24,788,308,521,423,515,560,419,222,87,3060,11,7,5,6,3,0,0,0,37,3,6,3,3,3,0,0,0,26,0,9,6,6,5,12,5,5,56,0,0,0,0,0,0,0,4,7,3,10,11,3,0,0,0,0,26,29,59,37,44,50,45,20,11,294,7,49,30,40,47,24,15,5,220,44,111
UCL213012,7,14,37,23,39,30,5,3,161,6,19,24,20,18,14,0,0,100,35,122,184,171,239,210,75,28,1065,53,163,199,124,118,57,25,11,752,4,29,49,36,37,21,14,0,193,12,28,63,55,61,27,6,3,259,8,32,67,63,107,78,26,12,388,13,74,142,122,129,118,30,12,634,24,33,64,81,63,56,19,4,344,6,20,29,15,20,16,3,0,115,6,26,40,28,18,9,7,0,139,0,0,0,0,0,0,0,0,0,3,5,17,16,17,6,7,0,73,53,39,66,56,66,87,37,25,436,228,613,989,819,926,736,271,94,4672,3,13,43,32,22,9,3,3,129,0,3,4,4,3,5,0,0,18,3,4,16,17,3,10,7,3,62,0,14,27,16,5,7,0,0,68,5,8,24,7,12,3,3,3,70,27,186,227,228,219,128,58,14,1079,14,111,160,179,244,155,41,13,919,35,122
UCL213013,0,8,5,5,3,0,0,3,24,0,10,7,6,5,3,0,0,30,52,111,138,167,132,86,33,15,739,31,54,37,41,60,37,20,3,286,5,12,16,25,16,13,3,0,86,3,13,15,17,24,8,3,0,80,0,10,23,19,18,18,9,3,98,8,23,19,30,33,20,11,0,146,5,14,20,11,15,14,3,0,77,6,9,3,4,3,5,0,3,31,9,26,16,9,20,10,4,0,100,4,5,0,0,3,0,0,0,6,0,4,4,3,3,5,3,0,20,76,46,61,72,83,73,53,24,492,202,333,365,408,417,297,152,52,2224,0,5,0,3,0,0,0,0,18,0,3,4,0,0,0,0,0,9,5,7,3,8,3,7,6,0,31,0,0,0,0,0,0,0,0,7,3,7,0,8,3,0,0,0,28,20,78,49,80,90,50,19,15,401,9,38,63,42,33,34,14,5,241,21,56
UCL213014,3,7,15,3,11,10,0,0,54,3,24,30,5,6,0,0,0,68,67,161,172,180,172,131,76,24,978,34,96,55,48,48,42,14,3,340,8,24,17,14,21,11,4,3,104,9,37,25,20,26,13,3,0,142,4,28,32,28,33,17,8,0,153,20,57,79,60,49,21,11,3,299,20,38,34,37,29,17,8,0,182,16,11,8,4,3,7,0,0,51,21,44,28,22,24,13,3,3,160,0,3,0,0,0,0,0,0,9,0,7,10,13,5,3,6,0,38,86,68,79,79,76,78,71,31,563,289,617,569,514,506,359,209,78,3138,6,13,11,8,9,0,0,0,43,4,3,3,9,6,3,0,0,26,6,13,7,0,5,4,0,3,45,0,3,3,0,0,0,0,0,10,7,12,6,6,3,0,0,0,36,23,146,105,89,126,78,41,10,617,15,89,73,96,68,47,15,10,410,34,143
UCL213015,0,3,3,3,4,0,0,0,14,3,16,5,3,0,3,0,0,32,54,115,86,95,87,67,20,5,535,34,65,31,36,37,18,15,0,232,14,50,39,34,22,15,5,3,180,4,21,21,16,21,12,0,0,87,3,25,21,15,22,9,6,0,112,6,55,48,40,33,20,3,0,207,8,25,20,19,14,3,0,0,93,8,6,6,0,5,0,0,0,27,14,26,19,16,10,5,3,3,99,3,0,0,0,0,0,3,0,9,3,5,9,5,4,5,5,3,31,97,87,80,78,72,88,62,32,593,255,489,393,365,334,243,121,58,2261,0,9,3,5,4,0,0,0,22,0,3,0,0,0,0,0,0,11,3,3,3,0,3,0,4,3,23,0,0,0,0,0,0,0,0,4,7,11,5,7,5,5,0,0,43,19,85,62,60,64,38,28,3,366,14,88,56,46,45,31,15,15,318,48,91
UCL213016,6,21,32,32,26,27,5,0,156,4,18,50,16,9,7,0,0,103,15,121,205,209,162,158,68,20,960,29,167,199,153,95,38,18,8,703,3,36,27,36,19,13,13,0,148,4,59,66,55,40,15,6,7,244,8,58,58,45,86,72,21,7,347,14,90,198,155,116,82,25,5,683,25,41,74,58,50,39,18,0,308,19,45,60,24,17,11,0,0,173,8,19,37,30,6,16,3,0,130,0,0,0,0,0,0,0,0,0,3,7,20,14,11,9,0,0,67,56,46,83,70,60,55,32,18,429,209,721,1108,913,705,541,213,61,4462,14,33,41,28,16,9,0,0,137,0,4,9,13,3,3,0,0,28,3,12,17,10,11,5,6,0,60,0,16,18,20,9,4,0,0,68,0,11,16,4,0,0,0,0,41,25,200,227,149,131,74,32,18,857,10,136,157,138,188,123,30,9,786,20,159
UCL213017,8,11,14,16,21,6,4,3,88,12,18,20,11,13,0,0,0,76,72,168,155,171,175,157,82,28,1017,56,109,95,89,105,61,24,12,552,10,28,45,41,20,10,5,3,171,10,61,41,46,49,15,7,5,239,9,29,43,42,47,34,24,9,239,18,60,83,74,74,43,25,8,378,27,37,39,50,42,24,9,4,233,14,15,12,10,14,3,3,0,59,27,52,46,38,20,19,8,0,204,3,0,0,0,0,3,3,0,12,0,3,17,7,7,10,3,0,50,91,70,94,87,108,97,118,88,761,367,661,700,687,698,496,315,164,4088,15,14,18,8,13,6,0,3,72,0,3,5,7,3,3,0,0,23,5,8,9,11,16,3,6,3,66,0,6,5,3,4,0,0,0,22,8,8,14,8,3,0,0,0,49,60,193,137,156,177,113,61,28,919,32,91,87,73,86,96,47,15,530,46,137
UCL213018,4,7,6,9,17,15,5,0,67,4,25,22,12,10,8,0,0,74,56,150,137,179,175,166,75,23,970,49,104,54,75,53,43,23,8,405,9,41,38,35,25,11,8,0,159,5,22,16,30,29,22,11,3,132,6,28,35,27,63,43,20,0,232,19,68,73,73,60,50,20,3,370,14,27,38,40,44,25,16,0,205,11,20,14,9,7,5,0,0,65,11,28,22,12,9,16,10,3,116,0,0,0,0,0,0,0,0,5,0,10,4,12,8,10,3,3,45,61,48,53,79,59,78,61,19,462,250,577,520,592,552,495,252,79,3311,3,17,12,11,9,3,0,0,65,0,6,7,7,4,5,0,0,27,0,7,12,7,3,6,5,3,43,5,7,6,0,0,0,0,0,23,6,21,16,5,7,7,0,0,65,36,112,98,101,122,95,43,18,633,9,70,92,102,123,75,37,4,517,48,135
UCL214001,0,3,3,9,3,0,0,0,18,4,8,3,0,4,0,0,0,19,17,68,54,64,65,73,23,6,371,8,24,22,29,28,17,12,8,143,3,5,22,15,13,9,9,0,79,0,12,8,16,18,10,6,4,68,0,8,9,13,12,11,5,3,64,17,19,16,29,20,17,0,0,124,11,18,29,38,26,13,5,0,131,4,8,0,0,4,3,0,0,18,11,14,13,12,8,8,0,0,74,0,0,0,0,0,0,0,0,7,0,4,4,6,3,0,0,0,20,40,29,27,29,40,39,41,10,243,111,221,209,258,248,201,101,35,1382,0,9,4,0,3,0,0,0,12,0,0,6,0,0,0,0,0,9,3,4,8,7,3,3,0,3,29,0,0,0,0,0,0,0,0,8,3,4,3,4,3,0,0,0,29,17,36,35,73,52,59,23,6,299,4,30,19,25,36,44,12,6,179,20,39
UCL214002,0,0,5,3,11,3,0,0,21,3,7,8,3,4,0,0,0,19,38,93,91,101,111,108,64,31,640,24,40,34,34,58,35,18,12,252,6,15,22,15,20,12,15,3,112,4,14,9,9,11,13,3,0,80,0,11,9,18,12,32,19,3,99,9,21,19,38,22,30,14,0,149,9,12,12,19,19,16,10,0,95,0,10,3,8,3,0,5,0,31,15,18,16,16,14,5,3,4,85,0,0,0,0,0,0,0,0,0,3,0,3,3,3,3,0,3,19,50,47,49,63,68,77,57,32,438,164,281,268,328,365,344,207,91,2038,0,3,4,8,0,4,0,0,28,0,0,5,4,0,4,0,0,14,0,8,6,4,7,5,5,0,44,0,3,3,5,0,3,0,0,15,9,9,7,4,0,3,0,0,32,23,47,53,67,86,62,36,18,386,11,40,31,48,55,45,23,7,266,29,61
UCL214003,0,7,20,13,14,22,11,0,84,3,12,11,16,5,9,0,0,60,25,54,60,87,103,94,62,27,510,13,32,31,40,36,25,16,6,198,3,9,16,18,19,4,5,3,81,0,14,16,25,29,9,14,4,105,6,13,27,24,45,48,25,4,193,9,25,34,27,38,24,10,5,172,6,19,48,55,47,49,21,3,251,7,8,45,36,22,23,0,0,135,6,8,11,19,9,5,3,0,63,0,0,0,0,0,0,0,0,3,0,3,10,9,6,8,9,0,43,115,292,226,184,109,83,65,32,1109,197,492,538,552,485,411,235,88,3000,0,9,16,11,8,10,0,0,58,3,4,3,3,0,0,0,0,18,0,12,13,0,4,3,0,0,27,0,6,6,11,0,9,0,0,33,0,7,8,13,8,3,0,0,44,7,42,63,110,104,66,41,18,447,7,37,65,58,103,103,42,3,412,16,32
UCL214004,3,3,7,0,3,3,0,0,20,0,7,4,0,4,0,0,0,17,22,48,43,69,48,43,32,9,317,17,12,19,16,26,27,8,0,117,3,19,7,7,7,9,3,0,60,0,10,3,6,8,3,0,0,34,0,7,3,0,3,11,3,3,28,6,14,9,10,18,3,6,3,73,3,4,3,12,5,5,3,0,39,0,0,3,0,0,3,0,0,10,7,10,14,9,13,7,3,0,62,0,0,0,0,0,0,4,0,4,0,6,4,0,3,3,0,0,16,31,44,26,27,46,44,51,14,279,93,187,150,168,173,156,109,35,1064,0,0,6,0,3,0,0,0,11,0,3,0,0,0,0,0,0,5,3,0,0,0,0,4,3,0,15,0,0,3,0,0,0,0,0,8,3,3,7,4,0,0,0,0,21,19,24,16,32,25,24,13,0,157,6,18,12,25,22,16,7,0,107,14,40
UCL214005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,4,11,7,14,11,17,7,3,75,5,3,5,8,6,8,0,0,32,0,0,5,3,0,0,0,0,11,0,0,0,0,3,0,0,0,8,0,0,3,0,0,3,0,0,6,0,0,3,4,5,0,0,0,11,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,3,6,3,0,0,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,4,3,8,15,9,0,46,20,22,41,43,32,47,17,0,220,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,5,4,11,7,0,0,34,0,3,0,3,3,3,0,0,16,3,5
UCL214006,0,3,13,9,15,20,3,0,60,5,6,15,15,6,3,0,0,60,22,118,154,161,134,94,47,8,730,37,98,74,68,25,22,8,0,335,3,12,16,15,5,3,4,3,56,8,15,14,16,15,8,0,0,74,3,15,27,16,30,23,7,0,134,10,40,118,80,56,37,15,3,360,18,18,30,30,26,18,4,0,152,13,15,20,12,5,3,0,0,64,11,8,21,18,4,11,0,0,72,0,0,0,0,0,0,0,0,0,0,6,10,14,6,3,3,0,48,33,26,43,50,31,33,28,16,264,161,386,558,499,360,274,121,32,2405,3,11,17,19,4,3,0,0,63,0,0,9,3,3,0,0,0,20,0,6,16,11,9,0,0,3,47,0,8,11,9,3,3,0,0,30,0,6,9,10,0,3,0,0,30,18,66,121,91,52,46,17,11,418,14,81,96,96,73,45,18,11,428,25,102
UCL214007,3,6,7,8,9,3,3,0,39,4,12,7,6,3,3,0,0,37,52,78,62,87,99,81,25,14,498,28,48,42,37,32,38,18,9,254,12,19,34,23,30,33,18,4,168,3,20,17,25,21,12,3,3,101,3,17,13,17,30,21,5,0,111,15,25,30,25,29,22,8,3,151,7,9,13,18,18,16,6,0,92,3,3,5,0,4,3,0,0,28,20,27,19,8,9,6,6,0,87,0,0,0,0,0,0,0,0,8,0,8,7,7,4,0,3,0,24,40,34,27,43,54,54,53,22,335,196,316,289,306,334,295,145,56,1943,0,4,7,6,3,3,0,0,21,0,0,3,0,0,0,0,0,4,3,4,3,8,5,0,3,0,23,0,0,0,3,0,3,0,0,11,3,15,12,11,8,3,0,0,47,27,94,47,77,106,66,35,14,463,12,39,37,51,63,41,19,11,273,27,65
UCL214008,0,6,27,12,8,7,0,0,68,3,9,4,8,4,0,0,0,37,18,79,67,117,116,78,49,8,546,34,77,42,56,69,36,24,3,331,13,22,39,29,17,5,3,0,125,6,7,10,9,10,3,6,0,57,0,7,9,14,27,30,9,3,92,4,17,30,35,20,21,8,4,152,3,14,12,15,13,20,5,0,83,7,16,12,15,9,3,0,0,64,9,19,26,19,11,9,3,0,85,0,0,0,0,0,3,0,0,7,0,4,4,9,6,13,0,0,37,38,30,34,55,39,61,31,14,297,127,311,322,390,358,287,149,38,1978,4,13,19,15,7,3,3,5,76,0,0,3,3,3,0,0,0,18,0,11,4,0,4,8,7,3,38,0,3,3,6,0,0,0,0,13,3,9,10,6,6,3,0,0,48,13,53,51,53,62,37,21,9,296,3,37,52,33,49,48,11,3,230,18,64
