UCL_CODE_2016,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4moSB_FHs_CF_no_C,FoA_4moSB_FHs_CF_C,FoA_4moSB_FHs_OnePF,FoA_4moSB_FHs_Oth_fam,FoA_4moSB_FHs_Tot,FoA_4moSB_Lone_P_H,FoA_4moSB_Group_H,FoA_4moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
UCL212005,2726,2909,1149,98,6885,2220,361,9474,218,57,124,9,407,751,56,1216,85,27,28,0,142,150,20,314,298,87,149,12,545,907,75,1530,68,24,44,8,138,388,37,558,17,0,0,0,15,56,3,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,22,44,8,152,445,41,643,3,4,0,0,6,3,0,7,3,0,0,0,3,3,0,7,0,0,0,0,0,0,0,0,3,0,0,0,3,4,0,3,4,4,0,0,15,10,0,23,15,6,4,0,26,18,3,54,3126,3033,1345,118,7628,3600,483,11713
UCL213001,1398,2009,724,42,4173,1055,102,5324,134,92,87,4,315,310,14,637,18,8,15,0,44,32,3,72,149,102,103,5,359,335,21,713,3,0,4,0,10,63,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,10,63,0,71,0,0,0,0,0,10,0,10,5,0,0,0,3,12,0,22,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,4,7,0,0,0,11,22,0,29,4,3,0,0,10,15,0,17,1562,2111,835,48,4553,1484,122,6161
UCL213002,1328,1074,580,44,3025,1327,113,4469,32,18,15,4,74,205,9,286,0,7,6,0,8,15,3,28,35,24,25,4,80,221,10,312,12,3,26,0,42,58,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,26,0,42,58,0,101,0,0,0,0,0,0,0,0,4,0,0,0,3,8,0,15,0,0,0,0,0,0,0,0,3,3,0,0,3,3,0,9,9,3,0,0,8,15,3,21,4,3,7,0,15,49,0,65,1394,1102,629,49,3174,1672,130,4969
UCL213003,1115,1103,495,51,2759,1100,138,3996,39,17,27,12,92,367,28,492,0,0,0,0,0,6,5,11,40,17,27,12,94,374,32,501,0,0,3,0,3,19,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,19,0,23,0,0,0,0,4,18,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,7,4,13,5,3,0,0,12,24,4,34,3,3,0,0,3,6,0,9,1160,1125,529,56,2873,1525,177,4569
UCL213004,1187,1227,461,28,2904,798,93,3793,51,15,20,0,85,128,4,214,0,0,0,0,0,0,0,0,51,15,20,0,85,128,4,214,26,11,19,0,55,142,4,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,11,19,0,55,142,4,201,7,0,0,0,4,19,0,23,11,3,4,0,17,37,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,4,3,24,55,0,77,0,3,0,0,3,4,0,8,1274,1253,506,28,3070,1118,108,4294
UCL213005,1462,1332,520,32,3347,1056,78,4477,35,10,15,0,53,106,3,162,5,7,4,0,17,11,0,29,38,13,19,0,74,115,3,196,14,0,0,0,14,30,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,14,30,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,4,0,5,3,5,0,0,14,4,0,22,1527,1359,540,34,3452,1213,90,4746
UCL213006,1299,1163,500,33,3000,1025,129,4147,116,30,62,3,218,417,29,665,3,3,4,0,6,5,0,18,120,31,64,3,224,426,29,679,9,0,5,0,11,27,6,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5,0,11,27,6,42,0,0,0,0,0,3,0,3,0,0,0,0,4,7,0,13,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,3,3,0,0,5,12,0,20,8,5,0,0,10,0,3,15,1432,1204,570,35,3251,1492,157,4900
UCL213007,1588,1501,634,54,3784,1465,140,5389,82,13,31,3,128,305,3,433,3,0,0,0,5,8,0,11,87,14,32,3,137,308,3,446,47,19,29,4,95,277,19,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,19,29,4,95,277,19,392,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,0,7,4,0,0,0,5,4,0,9,3,3,0,0,7,11,0,27,1736,1539,688,69,4031,2065,164,6265
UCL213008,1089,1691,483,42,3306,698,77,4079,121,97,67,3,294,174,13,481,10,0,0,0,13,11,0,19,129,103,67,3,301,183,13,500,0,0,4,0,6,19,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,19,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,1217,1796,556,48,3614,901,91,4610
UCL213009,1175,1477,472,30,3153,720,77,3949,56,15,30,0,96,194,3,298,0,0,4,0,4,0,0,5,59,14,31,0,103,193,3,306,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,1234,1494,507,30,3266,921,84,4268
UCL213010,1377,1241,851,44,3519,1523,144,5181,111,15,72,9,211,569,21,797,0,0,3,0,0,4,0,7,112,15,73,9,212,570,21,806,27,3,14,0,46,211,8,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,3,14,0,46,211,8,262,0,0,0,0,0,16,0,21,4,0,0,0,4,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,4,0,0,0,4,17,0,26,3,3,0,0,7,5,0,13,1520,1264,947,50,3784,2330,175,6290
UCL213011,1220,1005,768,44,3033,1513,157,4702,29,9,20,0,62,238,4,304,7,3,8,0,16,27,0,46,32,9,29,0,76,263,7,346,52,15,47,6,112,324,10,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,15,47,6,112,329,10,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,4,0,9,3,0,3,0,4,7,0,10,6,0,0,0,9,6,0,14,1313,1024,846,50,3239,2110,175,5524
UCL213012,1698,2188,581,35,4501,1280,102,5889,67,31,20,0,120,195,19,335,76,44,19,3,139,91,5,237,149,69,40,4,264,282,22,569,11,9,3,0,25,21,3,54,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,3,0,30,21,3,51,3,0,0,0,3,0,0,3,0,0,0,0,0,8,0,13,0,0,0,0,0,0,0,0,0,5,3,0,4,0,0,6,4,3,3,0,10,8,0,25,10,5,0,0,20,5,0,29,1875,2275,627,40,4820,1605,130,6558
UCL213013,1021,893,455,30,2397,992,101,3493,34,3,17,0,46,118,3,167,3,3,3,0,9,10,0,19,30,9,22,0,59,129,3,192,18,13,12,0,40,162,7,213,0,0,0,0,0,4,0,6,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,15,13,12,0,46,171,7,225,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,6,6,0,16,3,3,3,0,8,12,0,28,3,4,0,0,9,11,0,19,1084,915,491,29,2518,1315,111,3942
UCL213014,1275,1301,537,38,3147,1133,135,4411,48,20,24,8,94,276,16,386,10,3,7,0,21,59,0,83,51,20,35,8,117,332,14,466,49,14,19,6,87,179,12,283,8,5,0,0,15,10,5,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,23,20,6,100,194,19,312,5,0,0,0,11,6,0,20,6,0,0,0,6,9,0,14,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4,15,0,0,0,16,23,3,43,0,0,0,0,4,6,0,10,1399,1339,593,49,3379,1690,176,5243
UCL213015,914,931,395,40,2281,838,113,3229,52,20,21,0,87,142,18,248,0,0,0,0,0,9,0,11,52,20,21,0,87,145,17,259,44,33,21,6,104,224,30,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,44,33,21,6,105,225,30,362,0,0,0,0,3,16,0,20,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,4,3,0,0,7,3,0,6,7,3,0,0,13,20,0,26,15,8,3,0,33,15,0,52,1033,1001,442,50,2524,1243,158,3924
UCL213016,1476,2175,417,27,4092,882,158,5129,59,21,20,3,108,118,15,244,89,79,31,0,201,78,25,299,154,101,47,8,305,194,39,539,6,4,0,0,10,7,0,17,8,3,0,0,11,21,0,27,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,12,9,0,0,22,24,0,46,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,6,7,3,0,0,11,3,0,15,1646,2284,463,33,4431,1107,206,5740
UCL213017,1814,1700,817,63,4390,1710,177,6278,163,35,60,9,269,707,36,1008,5,3,4,0,14,30,0,49,170,40,61,8,282,740,40,1054,0,4,9,0,15,45,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,9,0,15,53,0,64,0,0,0,0,0,5,0,6,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,3,4,0,0,7,3,0,10,5,7,0,0,10,13,0,28,3,0,3,0,7,5,0,20,1998,1749,883,74,4711,2515,211,7442
UCL213018,1348,1419,577,38,3382,1013,116,4506,39,11,35,0,88,199,7,291,8,0,0,0,11,28,0,36,44,11,35,0,92,227,9,325,174,9,26,3,218,283,7,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,9,26,3,218,283,7,510,3,0,0,0,3,8,0,14,3,0,0,0,3,14,0,16,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,6,8,0,0,0,12,27,0,37,10,5,0,0,13,8,0,16,1584,1449,639,43,3715,1548,129,5397
UCL214001,770,584,310,34,1690,785,92,2569,13,3,0,3,16,100,7,118,0,0,0,0,0,0,0,0,13,3,0,3,16,100,7,118,10,6,3,0,28,70,4,100,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,8,0,28,72,4,108,3,0,0,0,10,10,0,12,0,0,0,0,3,9,0,5,0,0,0,0,0,0,0,0,4,0,4,0,8,5,0,16,10,0,6,0,16,18,0,38,5,0,0,0,5,5,0,13,807,600,322,32,1762,982,104,2841
UCL214002,1087,686,441,35,2250,1122,97,3471,12,3,7,0,25,35,4,65,0,0,0,0,0,0,0,0,12,3,7,0,24,35,4,61,36,9,24,0,66,225,10,299,5,0,7,0,16,18,0,38,3,3,3,0,9,31,0,41,0,0,0,0,0,0,0,0,49,8,32,0,85,278,16,372,0,0,0,0,0,4,0,4,3,0,0,0,3,7,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,5,13,0,23,6,3,3,0,13,3,0,24,1161,705,480,37,2384,1453,115,3948
UCL214003,948,803,434,33,2223,1161,133,3519,31,12,18,3,59,169,6,237,0,0,0,0,3,3,0,3,30,8,18,3,58,173,6,244,0,0,0,0,0,29,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,28,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,6,7,0,11,16,5,4,0,18,12,0,35,996,825,458,39,2313,1375,144,3832
UCL214004,586,436,229,7,1257,540,50,1841,19,15,8,3,42,62,4,107,0,0,0,0,0,0,0,0,19,15,8,3,40,62,4,112,15,3,8,0,22,93,4,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,8,0,22,93,4,120,3,0,0,0,3,4,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,6,3,0,9,0,0,3,0,5,3,0,4,622,455,246,11,1333,701,55,2088
UCL214005,117,110,27,3,257,80,7,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,8,0,20,22,5,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,8,0,20,22,5,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,121,111,32,3,279,105,18,392
