UCL_CODE_2016,M15_19_Managers,M15_19_Professionals,M15_19_TechnicTrades_Wrs,M15_19_CommunPersnlSvc_W,M15_19_ClericalAdminis_W,M15_19_Sales_W,M15_19_Mach_oper_drivers,M15_19_Labourers,M15_19_Occu_ID_NS,M15_19_Tot,M20_24_Managers,M20_24_Professionals,M20_24_TechnicTrades_W,M20_24_CommunPersnlSvc_W,M20_24_ClericalAdminis_W,M20_24_Sales_W,M20_24_Mach_oper_drivers,M20_24_Labourers,M20_24_Occu_ID_NS,M20_24_Tot,M25_34_Managers,M25_34_Professionals,M25_34_TechnicTrades_W,M25_34_CommunPersnlSvc_W,M25_34_ClericalAdminis_W,M25_34_Sales_W,M25_34_Mach_oper_drivers,M25_34_Labourers,M25_34_Occu_ID_NS,M25_34_Tot,M35_44_Managers,M35_44_Professionals,M35_44_TechnicTrades_W,M35_44_CommunPersnlSvc_W,M35_44_ClericalAdminis_W,M35_44_Sales_W,M35_44_Mach_oper_drivers,M35_44_Labourers,M35_44_Occu_ID_NS,M35_44_Tot,M45_54_Managers,M45_54_Professionals,M45_54_TechnicTrades_W,M45_54_CommunPersnlSvc_W,M45_54_ClericalAdminis_W,M45_54_Sales_W,M45_54_Mach_oper_drivers,M45_54_Labourers,M45_54_Occu_ID_NS,M45_54_Tot,M55_64_Managers,M55_64_Professionals,M55_64_TechnicTrades_W,M55_64_CommunPersnlSvc_W,M55_64_ClericalAdminis_W,M55_64_Sales_W,M55_64_Mach_oper_drivers,M55_64_Labourers,M55_64_Occu_ID_NS,M55_64_Tot,M65_74_Managers,M65_74_Professionals,M65_74_TechnicTrades_W,M65_74_CommunPersnlSvc_W,M65_74_ClericalAdminis_W,M65_74_Sales_W,M65_74_Mach_oper_drivers,M65_74_Labourers,M65_74_Occu_ID_NS,M65_74_Tot,M75_84_Managers,M75_84_Professionals,M75_84_TechnicTrades_W,M75_84_CommunPersnlSvc_W,M75_84_ClericalAdminis_W,M75_84_Sales_W,M75_84_Mach_oper_drivers,M75_84_Labourers,M75_84_Occu_ID_NS,M75_84_Tot,M85_ov_Managers,M85_ov_Professionals,M85_ov_TechnicTrades_W,M85_ov_CommunPersnlSvc_W,M85_ov_ClericalAdminis_W,M85_ov_Sales_W,M85_ov_Mach_oper_drivers,M85_ov_Labourers,M85_ov_Occu_ID_NS,M85_ov_Tot,M_Tot_Managers,M_Tot_Professionals,M_Tot_TechnicTrades_W,M_Tot_CommunPersnlSvc_W,M_Tot_ClericalAdminis_W,M_Tot_Sales_W,M_Tot_Mach_oper_drivers,M_Tot_Labourers,M_Tot_Occu_ID_NS,M_Tot_Tot,F15_19_Managers,F15_19_Professionals,F15_19_TechnicTrades_Wrs,F15_19_CommunPersnlSvc_W,F15_19_ClericalAdminis_W,F15_19_Sales_W,F15_19_Mach_oper_drivers,F15_19_Labourers,F15_19_Occu_ID_NS,F15_19_Tot,F20_24_Managers,F20_24_Professionals,F20_24_TechnicTrades_W,F20_24_CommunPersnlSvc_W,F20_24_ClericalAdminis_W,F20_24_Sales_W,F20_24_Mach_oper_drivers,F20_24_Labourers,F20_24_Occu_ID_NS,F20_24_Tot,F25_34_Managers,F25_34_Professionals,F25_34_TechnicTrades_W,F25_34_CommunPersnlSvc_W,F25_34_ClericalAdminis_W,F25_34_Sales_W,F25_34_Mach_oper_drivers,F25_34_Labourers,F25_34_Occu_ID_NS,F25_34_Tot,F35_44_Managers,F35_44_Professionals,F35_44_TechnicTrades_W,F35_44_CommunPersnlSvc_W,F35_44_ClericalAdminis_W,F35_44_Sales_W,F35_44_Mach_oper_drivers,F35_44_Labourers,F35_44_Occu_ID_NS,F35_44_Tot,F45_54_Managers,F45_54_Professionals,F45_54_TechnicTrades_W,F45_54_CommunPersnlSvc_W,F45_54_ClericalAdminis_W,F45_54_Sales_W,F45_54_Mach_oper_drivers,F45_54_Labourers,F45_54_Occu_ID_NS,F45_54_Tot,F55_64_Managers,F55_64_Professionals,F55_64_TechnicTrades_W,F55_64_CommunPersnlSvc_W,F55_64_ClericalAdminis_W,F55_64_Sales_W,F55_64_Mach_oper_drivers,F55_64_Labourers,F55_64_Occu_ID_NS,F55_64_Tot,F65_74_Managers,F65_74_Professionals,F65_74_TechnicTrades_W,F65_74_CommunPersnlSvc_W,F65_74_ClericalAdminis_W,F65_74_Sales_W,F65_74_Mach_oper_drivers,F65_74_Labourers,F65_74_Occu_ID_NS,F65_74_Tot,F75_84_Managers,F75_84_Professionals,F75_84_TechnicTrades_W,F75_84_CommunPersnlSvc_W,F75_84_ClericalAdminis_W,F75_84_Sales_W,F75_84_Mach_oper_drivers,F75_84_Labourers,F75_84_Occu_ID_NS,F75_84_Tot,F85ov_Managers,F85ov_Professionals,F85ov_TechnicTrades_W,F85ov_CommunPersnlSvc_W,F85ov_ClericalAdminis_W,F85ov_Sales_W,F85ov_Mach_oper_drivers,F85ov_Labourers,F85ov_Occu_ID_NS,F85ov_Tot,F_Tot_Managers,F_Tot_Professionals,F_Tot_TechnicTrades_W,F_Tot_CommunPersnlSvc_W,F_Tot_ClericalAdminis_W,F_Tot_Sales_W,F_Tot_Mach_oper_drivers,F_Tot_Labourers,F_Tot_Occu_ID_NS,F_Tot_Tot
UCL212005,11,4,89,48,7,154,24,169,9,507,56,54,219,55,23,111,59,171,14,762,120,213,452,91,56,101,116,319,32,1493,221,260,321,93,51,74,137,185,11,1349,252,249,296,84,81,99,214,206,25,1498,189,217,204,74,79,71,168,177,18,1189,60,47,43,14,17,23,35,52,3,290,7,7,3,3,0,0,3,3,9,31,8,0,0,0,0,0,0,0,3,8,914,1053,1619,462,310,634,757,1282,116,7142,7,9,13,96,28,315,4,73,10,558,24,100,49,170,75,173,3,84,7,685,89,433,93,227,184,154,7,136,9,1331,120,411,68,221,261,128,6,100,17,1340,129,396,74,257,406,180,8,176,8,1642,94,250,45,217,270,142,13,149,9,1186,35,37,4,27,37,20,0,32,6,193,3,0,0,0,4,0,0,3,5,17,0,0,0,0,0,0,0,0,0,4,501,1639,343,1214,1270,1113,42,758,69,6956
UCL213001,3,3,76,17,3,37,16,64,0,218,12,15,174,20,14,32,33,65,5,371,87,97,298,52,41,37,152,104,15,888,142,112,217,53,67,38,168,95,25,907,160,100,203,58,65,37,189,77,14,916,107,88,121,30,49,26,146,65,16,650,25,23,18,5,7,11,28,15,9,137,0,3,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,541,447,1103,237,240,223,723,497,83,4096,0,3,8,50,16,141,0,35,3,263,25,36,24,87,73,69,5,24,5,343,59,225,43,145,161,75,10,24,9,755,81,223,39,134,196,88,14,34,13,817,66,184,33,168,238,84,24,70,7,867,39,115,20,97,167,47,20,36,4,553,7,17,0,14,28,4,0,13,0,95,0,3,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,282,804,171,696,872,520,74,239,48,3694
UCL213002,3,0,21,0,0,48,3,44,6,136,9,13,93,8,8,20,24,53,0,234,73,53,183,33,26,39,49,96,7,553,58,56,119,35,19,34,65,65,7,461,71,57,98,29,12,36,59,81,9,446,86,56,83,26,39,40,62,56,12,464,27,14,13,9,10,21,20,18,3,135,9,0,0,0,0,3,0,3,0,23,0,0,0,0,0,0,0,0,0,4,344,254,604,138,107,248,282,422,46,2449,3,0,6,29,8,86,0,12,7,153,8,26,25,64,30,54,0,25,0,231,28,122,24,99,67,44,3,55,4,457,27,97,28,88,84,53,0,53,6,433,47,117,25,119,131,59,4,66,3,562,35,99,19,89,93,37,8,70,10,467,12,20,0,12,15,3,0,20,5,84,4,0,0,3,0,3,0,0,5,19,0,0,0,0,0,0,0,0,0,4,169,487,125,492,431,343,20,295,38,2403
UCL213003,5,3,41,10,0,41,7,72,4,183,12,10,99,8,3,23,23,108,9,292,59,67,143,14,19,32,70,173,14,585,86,54,114,18,21,25,91,114,12,525,76,41,89,40,32,22,86,108,9,501,67,53,97,32,20,30,88,75,4,470,17,15,14,4,9,6,33,23,5,121,6,4,3,0,0,0,0,0,3,18,4,0,0,0,0,0,0,0,0,7,341,239,604,129,109,176,388,672,58,2711,3,0,9,25,9,85,0,42,0,179,11,25,15,55,28,40,0,64,5,238,33,91,33,100,77,50,0,60,15,455,34,85,22,97,77,57,4,66,6,442,44,80,17,160,99,61,3,80,4,553,38,69,20,89,90,60,0,71,7,451,8,11,3,23,19,14,0,12,0,89,3,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,3,0,6,167,361,126,550,398,370,15,398,42,2423
UCL213004,3,0,40,6,4,22,7,56,9,143,18,10,89,11,5,10,16,51,3,216,58,70,204,34,28,36,63,101,16,604,81,53,149,23,11,6,78,68,14,487,88,46,125,20,16,24,111,75,11,514,60,69,91,12,27,27,87,49,7,421,24,17,21,6,8,15,25,13,0,131,3,0,3,0,0,3,0,3,0,14,0,0,0,0,0,0,0,0,0,3,334,267,719,104,110,145,380,422,54,2533,4,0,3,20,10,56,0,20,3,116,8,24,27,54,31,43,3,19,4,211,33,147,33,81,97,72,6,42,10,524,40,88,23,85,97,38,5,45,11,435,51,108,22,103,92,54,13,68,10,518,37,82,16,68,75,30,17,50,6,375,6,13,0,14,11,4,0,4,5,64,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,176,460,129,431,417,298,40,253,35,2255
UCL213005,0,3,38,17,0,31,3,56,0,153,14,4,97,15,7,24,8,36,4,220,36,59,182,30,19,22,35,64,10,464,97,77,188,32,39,26,52,51,12,577,84,81,156,45,35,24,88,59,15,592,62,90,130,25,31,35,93,53,8,524,12,18,19,10,10,9,22,13,5,112,0,5,0,0,0,3,0,3,0,15,0,0,0,0,0,0,0,0,0,0,308,334,810,182,143,174,311,340,55,2657,3,0,11,46,4,69,0,22,6,165,10,28,20,64,28,58,3,15,3,214,30,113,36,88,88,52,0,16,3,433,49,134,24,124,100,44,4,38,9,524,55,136,32,147,151,71,12,58,11,667,32,98,17,99,144,63,6,50,3,517,6,16,4,12,18,8,0,12,0,74,0,3,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,188,534,142,581,529,367,29,206,35,2617
UCL213006,0,3,50,10,3,67,4,61,0,213,14,13,103,25,6,11,10,52,3,239,64,89,159,34,13,38,37,91,5,533,106,56,133,32,14,32,58,80,6,514,101,65,116,35,24,43,99,92,9,583,84,57,110,31,22,39,77,101,10,527,20,13,13,14,6,10,30,22,0,126,11,3,3,0,0,0,0,3,3,25,0,0,0,0,0,0,0,0,0,3,402,300,691,170,91,251,320,495,41,2763,0,9,3,60,7,102,0,15,8,208,10,20,19,79,24,48,0,13,4,224,52,160,36,102,68,64,0,29,3,519,50,155,33,109,91,76,5,50,0,565,67,131,30,128,150,74,5,75,9,673,40,103,25,108,93,52,5,67,5,501,3,15,3,24,12,9,0,13,5,97,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,223,591,149,614,459,424,26,269,35,2793
UCL213007,3,3,64,13,5,49,7,82,0,228,14,25,132,20,10,37,19,61,9,337,85,122,254,44,21,73,69,107,12,782,134,107,128,33,26,58,77,65,11,648,160,91,134,45,43,61,91,73,8,698,132,86,112,50,54,43,78,69,7,631,52,23,27,13,12,16,25,28,4,191,22,0,7,0,0,3,3,4,4,48,0,0,0,0,0,0,0,0,0,0,608,460,852,219,172,349,373,484,60,3571,0,3,9,58,12,111,0,41,3,231,7,80,31,73,54,70,0,31,6,348,37,254,44,130,122,72,7,31,3,703,57,173,25,116,143,86,9,33,9,645,78,169,27,133,166,92,7,61,9,736,66,141,12,106,146,75,7,66,7,639,21,21,11,19,28,5,0,13,0,127,3,0,0,0,0,3,0,0,5,15,0,0,0,0,0,0,0,0,0,9,278,844,159,636,677,508,30,286,34,3450
UCL213008,0,3,44,11,4,55,6,85,3,207,19,16,107,36,17,39,32,63,4,327,62,119,231,50,39,41,90,104,21,742,143,122,205,67,38,37,135,82,17,850,126,96,170,61,44,21,144,80,16,757,72,47,102,34,40,16,95,57,11,469,12,13,10,13,4,3,9,10,3,85,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,426,417,866,275,182,214,514,482,71,3455,0,4,3,25,13,141,4,26,0,214,9,36,15,84,39,75,7,15,7,281,50,208,52,130,142,79,8,22,17,696,60,204,48,131,171,93,17,50,14,782,38,116,33,148,176,71,26,72,14,684,31,73,18,80,107,35,10,34,5,400,3,8,3,9,10,4,0,10,0,56,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,185,656,176,603,650,494,69,235,57,3129
UCL213009,6,0,27,16,0,34,7,71,0,173,5,15,83,21,4,30,24,39,5,224,71,89,271,37,37,41,66,96,12,714,92,83,159,57,36,37,67,73,10,608,102,66,144,55,37,31,87,69,3,604,58,52,87,30,30,14,69,60,6,404,9,18,18,3,8,6,13,16,0,81,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,353,321,788,217,154,200,320,427,37,2815,0,0,3,56,7,102,0,20,3,193,17,24,22,76,29,70,0,10,0,243,55,212,57,125,122,87,3,21,4,679,55,143,30,135,163,58,8,37,6,622,44,93,33,124,185,62,4,55,4,616,26,67,18,88,110,45,7,35,8,398,0,16,4,13,11,6,0,3,0,57,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,205,547,156,609,630,426,29,184,30,2815
