UCL_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
UCL221030,17,0,17,79,58,3,147,368,39,548
UCL221031,0,0,0,119,34,9,160,324,23,507
UCL221032,7,3,11,117,55,3,174,560,88,819
UCL221033,0,0,4,100,29,0,128,318,35,485
UCL221034,7,0,7,87,48,3,141,259,38,442
UCL221035,22,29,50,43,35,3,79,320,83,483
UCL221036,7,0,8,173,54,9,230,339,14,579
UCL221037,44,3,49,77,46,3,123,413,88,628
UCL221038,4,0,4,128,57,4,191,334,41,566
UCL221039,34,3,36,77,25,3,100,409,23,537
UCL221040,4,0,4,190,55,12,256,579,99,932
UCL221041,3,0,3,179,49,4,236,347,52,632
UCL221042,7,10,18,115,55,3,175,365,109,646
UCL221043,3,0,10,80,45,0,128,311,50,489
UCL221044,4,0,4,114,30,3,149,264,32,445
UCL221045,17,7,29,39,33,3,74,573,98,745
UCL221046,27,10,39,110,52,0,158,657,83,892
UCL221047,3,0,3,96,57,8,167,323,55,546
UCL221048,0,3,3,229,35,14,279,304,58,643
UCL221049,4,3,10,91,45,3,135,303,27,462
UCL221050,16,8,20,110,74,6,193,767,99,1063
UCL221051,0,0,0,156,41,12,209,260,18,492
UCL221052,39,10,48,96,34,7,137,399,78,615
UCL221053,21,8,28,109,36,5,154,416,62,629
UCL221054,9,0,9,78,31,3,116,305,21,441
UCL221055,24,8,31,131,41,7,184,440,61,682
UCL221056,7,0,3,65,24,0,88,413,44,543
UCL221057,4,4,5,77,30,0,112,324,44,478
UCL221058,0,0,0,129,36,11,180,313,50,538
UCL221059,7,5,13,103,25,3,140,339,41,520
UCL221060,21,6,21,19,31,0,56,412,53,518
UCL221061,0,0,5,105,52,7,162,420,148,736
UCL221062,34,3,41,96,54,0,154,589,102,840
UCL221063,27,9,33,66,23,3,88,316,81,486
UCL221064,3,0,5,144,48,5,200,269,32,503
UCL221065,4,0,4,102,51,0,154,251,34,441
UCL221066,6,3,6,78,30,6,117,269,22,411
UCL221067,11,0,11,141,41,9,188,352,63,595
UCL221068,43,0,51,127,46,8,181,522,60,760
UCL221069,8,0,12,332,112,18,460,761,69,1291
UCL221070,27,4,36,127,37,4,168,425,65,661
UCL221071,0,0,0,112,30,6,147,203,29,381
UCL221072,16,20,35,81,50,7,136,418,117,662
UCL221073,14,0,16,75,65,0,141,397,29,565
UCL221074,12,7,15,63,63,3,127,437,280,844
UCL221075,50,4,52,83,33,3,115,428,51,593
UCL221076,3,0,3,72,19,0,96,294,52,444
UCL221077,15,7,19,56,32,3,92,381,105,574
UCL221078,7,0,8,77,42,3,120,366,59,544
UCL221079,0,0,0,161,55,8,226,457,72,757
UCL221080,42,7,52,56,37,5,98,348,66,514
UCL221081,58,0,57,163,69,10,236,526,55,812
UCL221082,11,3,16,97,46,9,152,301,29,481
UCL222001,3,3,6,56,20,0,76,151,14,236
UCL222002,0,0,0,74,35,3,109,185,18,309
UCL222003,0,0,0,58,25,0,83,110,6,192
UCL222004,0,0,0,4,0,0,8,12,8,23
UCL222005,0,0,3,21,14,0,43,122,28,188
UCL222006,3,0,3,55,36,0,87,206,28,321
UCL222007,3,0,3,25,9,3,42,116,13,173
UCL222008,0,0,0,39,19,3,59,150,32,237
UCL222009,3,3,9,32,18,4,52,194,35,282
UCL222010,0,0,0,66,29,0,91,153,48,301
UCL222011,0,0,0,71,26,0,92,162,14,272
UCL222012,7,3,12,39,20,0,58,196,22,279
UCL222013,0,0,0,24,14,3,43,141,20,206
UCL222014,3,0,3,50,50,0,102,200,24,327
UCL222015,3,0,3,69,31,6,99,251,27,377
UCL222016,0,0,0,70,11,8,87,196,26,307
UCL222017,0,0,0,90,31,5,129,219,24,370
UCL222018,0,0,0,77,21,3,100,174,36,312
UCL222019,3,0,3,24,8,8,42,137,44,221
UCL222020,16,3,14,23,13,3,40,145,25,203
UCL222021,0,0,0,28,3,3,28,77,72,173
UCL222022,3,0,3,54,33,4,91,190,24,307
UCL222023,0,0,0,57,23,3,78,106,11,192
UCL222024,3,3,8,36,18,0,59,162,16,237
UCL222025,6,0,11,87,27,9,128,192,29,346
UCL222026,0,0,0,41,11,0,50,135,66,246
UCL222027,0,0,3,20,8,5,32,102,21,156
UCL222028,3,0,3,58,25,4,79,163,17,261
UCL222029,4,0,3,44,24,3,74,162,10,248
UCL222030,4,0,6,30,20,0,54,311,45,416
UCL222031,3,0,3,47,21,0,73,130,15,222
UCL222032,0,4,6,73,23,4,100,224,49,369
UCL222033,3,0,5,17,11,0,26,144,23,194
UCL222034,0,0,0,29,13,3,47,102,16,171
UCL222035,9,3,12,34,26,4,62,127,32,219
UCL222036,10,0,10,52,17,3,66,181,25,274
UCL222037,0,0,4,29,19,3,52,127,26,202
UCL222038,0,0,0,50,19,0,68,108,34,212
UCL222039,17,3,19,28,17,0,44,227,31,300
UCL222040,9,0,11,16,7,0,23,115,34,177
UCL222041,3,0,3,33,17,3,54,108,26,184
UCL222042,0,0,0,45,19,0,62,90,17,168
UCL222043,0,0,3,68,16,0,89,150,6,246
UCL222044,8,4,10,59,22,4,89,172,33,290
UCL222045,7,3,9,48,20,0,73,153,30,250
UCL222046,3,3,10,28,16,3,47,137,34,212
UCL222047,4,4,7,63,28,3,95,263,36,392
UCL222048,8,3,7,48,28,0,78,223,34,332
UCL222049,7,0,7,29,15,0,49,169,33,245
UCL222050,0,0,0,47,24,7,68,144,11,230
UCL222051,14,0,20,49,19,0,65,226,34,324
UCL222052,12,0,12,33,10,0,49,104,16,170
UCL222053,13,3,9,13,8,0,28,155,33,206
UCL222054,9,3,11,36,27,0,62,129,14,211
UCL222055,12,3,10,47,25,5,80,263,45,388
UCL222056,3,0,3,35,21,0,61,215,29,305
UCL222057,3,3,7,67,26,9,93,257,40,385
UCL222058,0,0,0,76,17,0,97,174,36,301
UCL222059,6,0,6,57,37,4,103,223,28,351
UCL222060,3,0,3,50,11,4,65,116,17,197
UCL222061,27,3,31,31,21,0,53,258,37,346
UCL222062,0,0,0,24,8,0,30,110,76,216
UCL222063,0,0,0,32,11,4,47,118,8,178
UCL222064,0,0,0,14,11,0,24,77,64,164
UCL222065,4,0,3,32,12,0,41,112,18,172
UCL222066,6,3,11,30,8,3,40,111,21,172
UCL222067,0,0,3,50,13,3,70,112,7,188
UCL222068,35,7,37,53,35,3,85,249,14,356
UCL222069,11,0,11,54,33,3,90,210,22,325
UCL222070,3,0,4,95,21,3,123,195,36,350
UCL222071,0,0,0,46,19,0,58,107,9,171
UCL222072,6,0,6,26,14,0,41,121,21,186
UCL222073,3,0,3,19,17,0,34,175,19,224
UCL222074,4,3,8,47,16,4,65,224,103,385
UCL222075,5,0,5,35,15,0,54,126,21,196
UCL222076,0,0,0,80,20,3,106,178,43,318
UCL222077,0,0,3,32,5,0,43,126,19,185
UCL222078,27,3,32,51,20,0,74,260,27,361
UCL222079,12,0,12,55,19,0,82,190,26,295
UCL222080,3,0,3,9,13,0,22,179,30,230
UCL222081,0,0,0,35,20,0,57,115,40,205
UCL222082,0,0,0,42,11,0,56,81,28,165
UCL222083,0,0,0,82,21,4,107,208,23,329
UCL222084,22,3,24,45,15,0,64,249,34,352
UCL222085,3,0,7,18,10,0,31,123,20,171
UCL222086,31,4,35,56,33,0,84,297,31,410
UCL222087,4,0,4,49,16,4,68,131,14,211
UCL222088,7,0,7,69,29,8,106,194,31,332
UCL222089,5,3,14,54,34,0,89,319,25,430
UCL222090,21,4,26,42,20,0,63,222,28,318
UCL222091,8,0,11,14,14,3,34,126,26,176
UCL222092,3,0,3,36,9,0,44,97,20,166
UCL222093,7,4,9,30,8,3,44,108,18,170
UCL222094,44,3,49,52,41,0,102,277,32,409
UCL222095,25,7,32,43,17,0,60,270,41,368
UCL222096,3,3,7,33,22,0,59,105,27,183
UCL222097,5,0,5,42,16,0,65,154,33,252
UCL222098,3,0,3,64,35,0,92,190,37,325
UCL222099,20,7,20,46,29,3,77,268,42,386
UCL222100,4,0,5,78,12,8,99,188,50,331
UCL222101,11,0,9,17,24,3,39,178,25,252
UCL222102,4,0,3,16,8,0,24,130,8,161
UCL222103,0,0,0,44,25,7,75,108,22,206
UCL222104,7,0,3,76,39,3,122,170,26,310
UCL222105,5,0,10,38,16,3,59,188,21,265
UCL222106,3,0,3,70,14,6,87,150,20,263
UCL222107,0,0,0,94,30,5,135,209,32,373
UCL222108,4,3,12,43,35,10,84,250,42,382
UCL222109,6,0,6,27,18,0,42,204,34,285
UCL222110,3,0,4,78,9,3,90,207,17,318
UCL222111,0,0,0,49,17,4,70,127,18,219
UCL222112,3,0,3,25,11,3,35,105,13,157
UCL222113,9,0,5,60,12,0,72,155,17,250
UCL222114,4,0,4,22,13,3,40,119,13,166
UCL222115,3,4,10,18,8,0,24,154,49,229
UCL222116,0,0,3,43,19,3,66,107,19,195
UCL222117,0,0,4,64,24,5,84,175,44,306
UCL222118,0,0,0,35,16,0,50,107,12,172
UCL222119,3,0,5,41,7,0,48,100,15,162
UCL222120,3,0,3,39,21,3,71,143,16,226
UCL222121,0,0,0,22,26,0,50,139,7,196
UCL222122,0,0,0,26,19,0,48,93,5,153
UCL231777,4166,927,5266,63286,27798,2505,93589,210194,35677,339459
UCL279997,0,0,0,5,0,0,5,18,3,25
UCL299994,25,13,38,649,290,14,960,3900,1969,6825
