UCL_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
UCL212005,55,68,128,41,46,90,55,247,308,70,384,457,240,731,973,267,452,715,673,363,1034,578,386,964,708,333,1047,701,217,914,535,174,703,552,110,667,977,107,1083,603,40,644,285,22,306,185,60,240,317,23,337,646,82,729,129,229,357,7628,4088,11713
UCL213001,40,44,88,17,21,41,29,91,121,21,144,167,120,310,431,117,169,288,375,113,486,278,136,417,376,149,526,379,98,476,338,66,403,318,46,357,648,62,710,418,6,427,232,3,238,146,24,170,248,0,251,376,14,393,70,95,172,4553,1605,6161
UCL213002,21,34,53,22,23,48,25,102,121,43,170,213,124,424,551,118,217,336,375,158,530,305,176,483,358,121,477,303,79,385,226,49,276,185,26,208,310,25,335,175,8,182,77,0,83,42,20,57,72,0,75,316,19,334,79,147,224,3174,1800,4969
UCL213003,18,31,45,18,34,54,29,92,119,32,159,186,99,371,470,119,183,308,254,147,400,215,169,390,299,126,425,293,82,376,213,47,258,222,26,244,375,37,413,168,13,181,106,4,111,31,16,50,77,6,78,230,39,273,70,126,190,2873,1697,4569
UCL213004,31,20,54,24,15,34,20,65,83,23,114,137,115,256,374,99,134,240,301,100,410,244,120,359,329,109,439,286,56,344,242,41,283,243,33,274,353,34,387,207,10,218,95,0,94,56,20,73,94,0,93,245,16,267,60,72,137,3070,1225,4294
UCL213005,39,30,78,17,14,28,15,69,85,30,113,145,116,308,426,109,157,271,374,122,493,271,108,380,335,105,437,333,70,403,269,44,313,239,22,266,398,33,431,232,0,231,110,4,119,61,7,70,118,3,122,302,4,309,66,77,149,3452,1296,4746
UCL213006,20,30,53,6,13,26,19,98,117,33,149,178,104,346,452,116,164,282,336,154,491,238,153,386,315,135,455,312,71,383,230,51,282,238,32,275,353,48,399,231,7,237,128,3,135,64,16,75,107,5,113,317,27,341,86,128,214,3251,1649,4900
UCL213007,24,35,56,15,31,53,26,110,139,38,248,283,130,458,590,148,246,398,359,180,542,346,216,560,407,167,571,423,114,537,310,85,391,300,60,360,467,55,524,251,12,268,134,8,136,66,26,90,143,6,149,367,25,395,68,154,220,4031,2233,6265
UCL213008,29,24,52,6,14,14,21,40,65,24,79,103,74,182,258,86,74,165,229,84,310,208,101,309,266,82,351,310,87,401,245,55,304,293,41,337,550,39,591,380,8,385,220,4,222,101,11,115,203,0,209,325,12,338,41,55,95,3614,996,4610
UCL213009,20,11,37,20,13,31,26,48,73,16,73,87,98,178,271,100,114,213,226,89,314,231,111,343,288,94,380,302,63,364,243,54,302,267,33,303,488,31,524,294,3,300,147,0,144,75,18,93,90,0,92,264,11,275,59,55,109,3266,1000,4268
UCL213010,33,58,89,19,44,59,49,218,264,49,335,388,184,587,773,183,250,432,511,207,715,323,176,500,370,130,505,319,92,409,233,56,292,202,49,250,327,46,371,192,9,199,103,5,109,65,23,85,137,0,143,373,29,404,113,194,304,3784,2502,6290
UCL213011,40,50,88,15,41,62,48,196,245,62,297,361,206,513,715,186,221,403,406,186,588,296,171,466,334,146,479,270,74,349,147,55,202,166,45,207,303,57,357,161,5,168,89,3,95,49,22,77,79,3,75,286,25,311,96,179,270,3239,2287,5524
UCL213012,31,48,75,21,35,56,28,81,112,19,132,156,93,306,400,117,205,324,290,142,427,272,145,414,391,148,540,369,97,472,322,100,421,361,74,437,654,77,733,469,11,479,285,0,290,185,36,217,371,3,376,488,23,515,58,68,124,4820,1735,6558
UCL213013,12,36,49,8,25,32,32,112,136,28,130,161,110,302,407,96,134,231,274,104,371,209,118,329,262,107,370,217,73,292,165,52,213,157,30,187,264,49,319,173,3,179,80,0,86,59,23,78,65,0,64,245,17,261,62,119,178,2518,1421,3942
UCL213014,31,34,63,12,27,39,22,131,145,28,177,203,102,363,466,99,199,300,285,154,442,262,140,399,306,158,467,273,98,373,233,72,307,241,52,289,379,68,449,241,18,254,133,0,136,103,34,135,189,4,198,377,25,406,68,109,172,3379,1866,5243
UCL213015,10,32,41,12,17,31,26,74,95,26,143,169,88,283,375,93,152,245,240,136,375,182,100,284,260,123,381,251,68,323,167,58,227,193,21,216,294,47,342,167,15,186,84,6,89,49,11,60,77,3,79,228,22,248,62,102,163,2524,1405,3924
UCL213016,33,32,64,17,18,37,16,47,68,10,80,93,78,166,245,86,117,209,229,123,355,198,115,306,319,118,434,289,85,372,294,76,365,298,64,359,636,89,720,467,10,475,288,8,298,242,52,292,400,13,413,476,50,527,71,39,111,4431,1310,5740
UCL213017,31,43,72,21,26,43,39,151,190,40,283,328,183,604,789,175,283,455,474,237,714,421,267,688,500,228,730,455,114,569,353,79,430,299,59,359,543,59,610,317,9,327,140,3,147,92,22,116,118,7,125,387,31,421,120,212,328,4711,2733,7442
UCL213018,29,35,63,27,15,41,31,96,122,41,146,182,107,368,474,122,198,319,343,144,489,284,162,446,350,131,477,304,82,385,242,65,309,252,55,304,424,48,467,277,5,285,158,5,164,96,18,113,220,3,221,337,17,359,62,93,161,3715,1685,5397
UCL214001,12,11,21,3,11,14,14,63,81,15,107,119,80,219,298,74,126,203,201,118,322,166,86,257,194,81,278,177,42,215,117,41,151,110,18,129,172,26,200,104,6,110,51,3,54,30,12,42,47,3,48,173,11,191,37,83,124,1762,1084,2841
UCL214002,15,23,38,17,23,44,15,88,103,24,179,205,119,350,469,96,184,286,341,146,486,227,140,368,248,108,356,208,60,267,151,51,202,143,24,163,216,26,246,138,3,137,67,0,62,31,13,43,60,0,60,219,21,239,55,119,175,2384,1563,3948
UCL214003,9,20,34,14,21,39,24,71,99,21,160,177,83,373,453,98,190,290,244,140,384,196,125,324,224,100,325,223,57,281,176,55,225,150,34,186,238,37,275,136,5,141,83,0,84,44,19,61,74,4,74,231,22,258,41,85,122,2313,1520,3832
UCL214004,15,21,32,3,6,11,11,53,60,10,69,81,67,184,249,53,84,137,173,59,231,100,49,147,128,46,169,130,17,152,73,17,93,94,24,125,133,17,147,70,3,76,32,0,33,21,8,24,36,0,36,148,6,148,42,90,127,1333,757,2088
UCL214005,3,3,4,3,3,3,0,9,9,3,19,21,6,16,29,6,14,16,39,4,44,22,10,32,19,10,24,24,7,33,17,8,24,30,3,31,28,0,36,17,0,17,11,0,9,5,0,7,6,0,7,26,6,31,4,8,13,279,116,392
UCL214006,17,21,34,9,10,18,4,34,41,12,55,63,32,104,143,36,66,101,108,47,153,127,43,169,181,52,238,165,28,196,181,36,212,165,34,203,332,34,366,300,3,308,221,0,221,138,15,160,263,3,259,249,3,256,35,38,74,2582,617,3202
UCL214007,15,23,34,9,19,27,15,88,100,17,145,159,77,306,384,71,162,237,247,115,361,205,121,324,232,100,337,216,68,288,203,50,251,161,39,196,235,28,269,141,7,147,69,3,72,37,13,50,56,0,55,214,18,229,44,90,132,2256,1393,3648
UCL214008,15,23,33,5,12,20,18,46,62,22,95,119,59,214,275,52,112,166,220,69,291,171,95,270,222,86,311,210,46,252,161,23,183,173,18,196,266,26,292,159,5,172,79,0,79,46,18,66,83,3,83,219,24,241,47,50,104,2234,973,3212
UCL214009,8,8,18,4,5,10,6,32,41,14,82,89,47,139,189,68,91,160,146,72,214,111,63,174,156,45,204,114,40,153,82,15,98,78,10,84,124,27,152,78,0,75,45,0,50,39,16,53,50,0,50,130,7,136,24,39,67,1321,696,2020
UCL214010,17,12,30,10,6,12,8,34,41,5,63,71,53,122,169,55,52,106,132,50,184,125,54,176,129,53,179,141,31,179,140,31,172,118,31,144,218,24,241,155,9,158,77,0,78,43,6,52,86,0,86,183,4,187,38,38,78,1723,620,2342
UCL214011,15,16,30,5,9,8,12,38,47,13,81,98,67,197,261,55,106,158,196,66,269,127,73,195,174,62,238,156,20,179,96,20,117,87,19,107,162,13,173,80,3,85,46,0,46,21,5,28,24,0,26,144,7,149,28,71,96,1518,806,2321
UCL214012,17,23,35,12,11,27,20,59,83,21,109,124,78,223,298,78,104,182,218,73,287,127,62,197,170,54,221,162,24,183,79,27,106,75,6,82,130,11,146,56,3,61,16,0,20,11,3,19,27,0,27,156,8,168,48,75,126,1510,886,2400
UCL214013,13,11,22,9,10,19,10,37,44,13,78,92,41,169,209,45,70,119,135,62,196,108,56,164,139,52,191,123,33,157,93,33,121,110,10,114,149,11,158,83,0,82,44,0,49,20,3,27,41,0,41,107,12,121,24,45,63,1304,690,1991
UCL214014,19,17,35,12,25,35,21,98,120,31,174,203,119,362,479,103,149,250,317,101,420,224,98,319,216,76,295,164,45,205,101,26,132,94,12,107,128,17,146,55,0,55,29,0,29,15,10,27,22,0,22,148,8,157,62,111,166,1878,1332,3215
UCL214015,19,31,46,26,20,42,17,62,81,14,112,134,101,269,366,72,151,222,269,87,354,152,87,241,220,64,290,179,49,228,103,31,139,97,26,121,166,21,188,80,0,83,54,0,54,23,10,30,44,0,44,142,13,155,61,70,127,1837,1105,2940
UCL214016,8,21,36,11,8,18,21,57,74,21,100,117,48,180,226,78,83,156,154,84,240,118,71,192,143,80,228,122,45,169,90,29,120,83,17,97,130,21,148,90,3,99,42,0,41,35,4,34,31,3,34,147,7,152,34,71,100,1405,886,2290
UCL214017,11,16,29,9,12,23,15,55,67,12,92,107,67,222,286,53,113,162,162,77,244,116,87,199,131,51,183,165,27,186,95,26,120,87,15,94,134,30,169,71,5,74,39,5,43,11,12,26,35,5,36,125,14,141,33,71,99,1367,920,2289
UCL214018,6,8,15,11,6,15,17,15,29,10,29,38,40,54,92,72,34,105,136,41,170,113,61,180,163,57,223,187,45,235,177,37,211,160,20,187,338,15,355,217,5,222,124,0,124,58,3,64,101,0,106,234,8,247,31,32,59,2199,475,2672
UCL214019,18,23,42,14,21,34,22,94,110,32,140,174,114,365,475,90,139,226,277,121,399,187,107,299,245,76,317,191,42,230,142,27,162,121,13,132,131,13,144,62,0,65,32,0,32,17,8,21,28,0,28,170,13,188,58,114,167,1951,1312,3262
UCL214020,18,14,33,16,12,28,16,50,65,9,109,118,114,224,333,81,109,197,250,70,329,173,75,250,186,58,245,193,31,225,125,28,156,120,22,137,203,19,219,108,5,117,55,3,55,23,6,25,50,3,50,166,18,188,55,91,145,1965,946,2914
UCL215001,3,0,3,0,5,8,0,14,14,0,13,14,12,18,23,9,15,21,26,14,34,23,15,31,29,17,44,32,6,44,12,0,19,16,7,23,30,10,34,21,0,21,17,0,17,4,5,8,25,0,25,36,0,36,0,6,4,296,133,431
UCL215002,6,10,14,0,0,4,5,19,28,11,51,63,12,111,120,15,53,72,83,34,116,41,31,75,66,26,93,49,9,59,40,9,51,40,9,51,77,8,82,38,0,39,21,0,21,4,7,11,8,0,8,50,4,53,19,23,38,602,402,1000
UCL215003,7,12,13,3,4,10,3,24,21,3,14,24,20,57,72,8,36,45,42,32,68,36,36,66,71,31,98,58,22,74,40,9,52,50,15,67,76,15,99,52,0,56,30,0,30,19,8,29,45,0,45,77,5,86,15,13,29,645,336,984
UCL215004,3,6,5,3,3,7,0,10,16,3,19,23,6,42,53,20,26,46,42,23,58,29,26,48,39,19,57,31,8,45,11,3,19,21,0,26,32,3,35,13,0,13,3,0,3,7,3,11,8,0,6,37,3,41,4,10,18,312,215,526
UCL215005,3,9,7,4,10,7,18,16,34,4,32,34,18,54,69,13,19,34,61,29,95,40,20,57,60,19,77,43,12,58,48,13,62,47,14,61,70,9,80,41,0,44,17,0,17,16,4,24,25,0,22,49,0,50,7,22,31,574,285,863
UCL215006,0,3,5,3,0,4,4,8,8,0,9,9,16,42,57,14,19,32,45,22,62,42,18,55,57,26,80,63,13,75,40,5,44,48,6,58,65,11,73,66,0,69,31,0,31,16,4,23,53,0,53,59,4,63,8,10,19,637,204,842
UCL215007,3,4,10,3,3,11,11,12,19,13,17,27,35,37,71,37,13,55,82,17,93,54,24,77,90,31,120,131,19,152,118,20,134,117,10,125,212,20,223,156,0,155,65,0,68,36,0,39,44,0,49,104,3,105,14,7,24,1318,229,1552
UCL215008,0,3,5,3,3,4,0,0,3,3,4,6,9,12,19,9,4,13,17,10,26,15,8,22,26,4,36,43,7,46,35,5,39,41,3,49,97,0,102,63,0,67,36,0,35,26,0,26,20,0,20,42,0,42,0,3,3,484,67,556
UCL215009,0,9,9,3,0,4,3,9,9,5,19,20,17,37,56,9,11,23,39,8,43,17,16,32,25,12,35,24,3,30,18,7,19,10,0,11,24,0,24,9,0,9,5,0,5,4,0,7,0,0,0,21,0,26,9,13,20,237,133,373
UCL215010,4,0,5,0,0,4,4,0,7,0,5,6,8,10,19,4,7,9,17,7,18,16,11,24,33,3,42,35,8,41,24,5,28,36,3,46,102,4,103,63,0,63,48,0,48,32,3,37,66,0,66,59,0,59,4,3,3,555,76,632
UCL215011,5,13,16,4,4,3,3,14,16,3,23,29,17,66,81,8,28,35,47,21,70,21,13,35,34,21,53,16,4,21,22,9,29,13,3,16,10,0,12,10,0,9,5,0,5,0,4,4,3,0,3,22,4,31,5,20,28,253,230,482
UCL215012,0,8,11,0,3,6,3,24,30,12,43,59,24,67,87,29,50,72,68,46,110,68,34,105,83,28,109,75,24,104,39,15,56,43,12,55,91,5,98,62,0,59,32,0,32,16,7,22,28,0,29,90,5,98,7,30,40,765,408,1176
UCL215013,3,3,8,0,0,0,0,0,0,3,0,3,7,5,11,10,3,16,19,8,25,20,5,27,21,9,29,29,4,34,29,11,38,43,3,49,113,4,115,54,0,54,35,0,35,8,0,11,28,0,28,44,0,44,12,3,13,479,54,529
UCL215014,3,0,3,0,0,0,0,0,3,3,6,8,9,11,21,7,3,16,14,7,25,12,8,22,24,13,33,25,11,42,31,0,28,37,3,39,72,7,80,30,0,30,14,0,14,7,0,7,4,0,4,23,0,23,3,8,11,334,91,423
UCL215015,3,5,12,7,3,10,5,13,19,6,28,35,24,67,91,18,48,68,66,36,101,73,28,99,54,25,84,55,17,72,37,14,51,34,0,34,55,7,61,27,0,28,13,0,13,15,0,15,25,0,25,67,5,72,12,19,32,590,322,912
UCL215016,9,14,26,0,5,5,13,24,33,6,36,41,22,79,106,33,23,57,88,26,114,84,51,134,98,48,139,109,25,139,76,12,94,76,11,87,137,8,141,68,3,73,34,0,34,14,3,20,23,0,23,82,5,83,29,14,46,1001,397,1400
UCL215017,3,0,4,0,3,3,4,10,11,4,13,18,12,38,52,12,11,27,42,13,56,29,9,43,30,7,39,36,13,49,40,0,40,35,3,37,71,0,72,61,0,62,22,0,22,8,0,8,16,0,16,61,3,63,7,8,16,499,145,643
UCL215018,10,10,21,8,5,13,8,19,30,7,50,56,36,130,166,22,54,76,96,28,121,79,38,116,93,23,110,70,10,80,41,21,61,36,10,47,87,11,92,40,3,39,14,0,14,6,3,8,18,0,18,67,6,73,20,34,59,757,453,1207
UCL215019,4,5,6,0,0,0,4,23,25,3,11,14,16,41,59,19,25,38,38,17,57,34,10,43,59,17,73,49,13,58,35,9,44,30,7,42,39,7,44,28,3,26,17,0,17,4,0,6,17,0,18,57,6,58,9,7,14,452,196,646
UCL215020,0,10,10,0,0,4,3,18,22,3,35,37,21,83,102,21,32,57,49,18,70,34,15,55,29,13,39,32,5,37,21,4,28,18,3,17,22,3,25,10,0,14,10,0,10,0,0,4,9,0,9,29,0,32,12,23,30,327,266,593
UCL215021,3,3,8,0,0,3,3,7,12,3,14,22,13,41,49,9,16,24,26,6,40,21,19,37,26,12,39,39,7,48,26,4,27,23,3,25,50,3,58,35,0,35,3,0,3,7,0,5,9,0,9,24,0,25,12,12,22,322,158,485
UCL215022,13,32,48,5,12,16,15,45,60,17,46,68,66,107,169,81,31,113,144,45,191,96,41,139,109,36,146,107,24,130,80,17,93,59,17,77,109,22,130,59,3,59,33,0,34,20,5,27,26,0,27,101,11,116,15,11,28,1154,511,1666
UCL215023,0,3,5,4,0,5,3,18,23,10,24,33,17,40,60,8,24,32,46,10,53,33,27,58,41,22,65,36,6,41,30,10,43,21,4,25,46,5,55,24,0,27,15,0,15,5,0,11,8,0,8,29,0,30,15,9,29,389,219,609
UCL215024,3,4,6,5,8,12,8,22,30,3,42,44,36,82,119,17,34,53,69,13,85,54,25,75,52,24,75,55,8,66,31,10,33,29,7,33,38,8,43,15,0,15,9,0,9,0,0,0,9,0,9,38,4,43,14,23,36,486,305,794
UCL215025,0,5,4,3,3,4,0,10,11,3,21,23,15,60,68,16,15,28,38,21,54,25,21,44,32,16,47,34,5,41,14,3,18,12,6,18,14,0,21,10,0,10,3,3,10,3,3,8,3,0,3,15,0,24,11,22,28,254,215,470
UCL215026,13,21,35,4,15,17,13,44,57,16,73,92,69,171,240,63,111,174,166,72,242,102,66,172,138,48,190,119,33,148,64,17,82,73,13,83,107,14,115,60,0,59,27,0,27,18,7,22,29,0,32,122,4,129,31,61,89,1231,771,2008
UCL215027,4,12,14,3,5,12,3,32,36,0,35,40,21,116,140,24,40,70,71,32,96,79,49,128,82,30,106,66,11,70,53,0,56,46,6,46,69,6,74,36,0,36,17,0,17,6,3,6,14,0,14,50,3,55,16,19,37,660,394,1051
UCL215028,9,16,28,6,10,11,8,37,45,7,69,76,31,137,164,28,59,91,90,48,139,82,71,148,114,49,164,82,32,110,57,24,82,34,19,55,71,18,91,48,3,51,23,0,27,26,4,29,30,0,30,83,8,98,18,29,49,851,635,1488
UCL215029,0,7,7,4,3,4,0,6,6,4,19,22,16,22,41,13,18,30,35,13,50,29,27,58,65,24,87,57,29,78,52,17,67,45,5,52,102,18,114,42,4,48,25,0,26,12,0,16,15,5,17,54,3,56,7,11,20,577,215,792
UCL215030,4,0,6,3,6,9,5,13,22,4,39,39,13,70,85,13,19,36,48,13,60,34,24,59,42,14,56,34,11,50,24,3,28,20,3,23,20,7,31,21,0,21,13,0,13,5,0,6,8,0,8,31,0,36,7,9,15,346,242,595
UCL215031,3,4,7,3,3,9,7,17,19,4,24,30,23,59,80,14,25,38,52,12,62,35,16,49,34,13,43,27,3,35,28,5,33,23,3,23,42,4,42,13,0,13,7,0,7,3,0,3,5,0,5,32,3,37,9,22,31,336,211,554
UCL215032,4,13,20,13,3,13,13,34,44,12,51,55,37,141,179,35,61,94,79,50,127,72,47,113,71,39,109,78,21,100,50,8,62,54,12,66,56,13,68,31,3,36,20,0,19,5,0,5,10,0,10,65,5,69,28,41,63,727,525,1255
UCL215033,0,0,4,5,0,5,3,0,4,0,0,4,4,4,9,4,4,6,20,3,20,17,12,29,33,11,43,28,14,40,54,21,77,47,10,55,160,9,176,116,3,122,69,0,69,51,0,48,56,3,56,51,3,52,0,3,7,721,95,816
UCL215034,0,3,5,6,4,6,3,26,23,0,40,39,14,66,75,19,26,44,49,22,66,28,17,46,23,19,45,33,10,44,13,7,17,21,0,21,22,0,24,9,0,9,3,0,7,5,0,6,3,0,3,23,0,21,6,23,32,272,255,523
UCL215035,6,3,10,5,0,4,0,7,5,0,9,9,8,20,27,8,8,21,17,10,25,23,5,32,30,3,33,27,7,35,19,4,23,27,0,25,43,3,46,21,0,21,24,0,24,4,0,8,14,0,14,41,3,45,11,10,14,327,94,418
UCL215036,0,0,4,3,0,3,7,4,10,3,0,4,3,8,12,3,8,9,20,3,32,16,7,25,24,6,32,33,0,39,27,7,26,15,0,19,42,0,45,29,0,34,16,0,16,13,0,12,19,0,19,24,0,24,4,3,7,311,58,365
UCL215037,8,10,17,0,9,11,5,28,28,4,34,47,30,89,117,27,35,60,75,30,106,52,25,79,42,12,59,36,14,53,26,8,34,15,5,20,32,4,36,14,0,14,5,0,5,0,0,4,4,0,4,40,0,42,23,24,44,439,331,769
UCL215038,6,9,9,0,3,3,0,12,9,7,22,27,19,70,83,17,18,40,58,20,77,39,37,80,36,10,49,37,11,46,23,0,27,24,7,26,43,8,49,17,0,17,11,0,11,5,0,9,8,0,8,27,0,25,8,14,25,374,241,615
UCL215039,4,4,11,3,8,6,8,17,20,3,31,33,11,53,68,13,22,36,47,10,58,22,17,39,30,15,45,27,3,33,21,3,23,22,6,22,41,5,43,20,0,20,9,0,9,5,3,5,5,0,5,20,0,20,11,22,32,318,209,529
UCL215040,0,10,5,5,10,17,13,29,38,5,67,74,33,136,168,30,91,122,113,47,161,97,46,145,108,46,149,92,15,104,42,12,57,61,6,69,83,9,91,43,0,43,18,0,18,9,7,13,18,0,18,91,3,96,24,54,72,882,576,1461
UCL215041,8,3,8,3,6,10,5,11,12,3,27,31,16,52,73,23,16,36,48,20,69,30,20,50,65,20,82,55,4,59,38,11,47,56,3,55,83,3,84,42,0,42,25,0,26,15,0,15,16,0,16,57,3,61,8,15,23,580,220,797
UCL215042,3,3,10,0,4,4,7,10,12,3,19,24,11,30,39,21,13,32,53,7,58,28,18,49,38,12,50,42,8,55,34,7,40,32,3,36,44,8,50,34,0,34,11,0,11,7,0,7,6,3,9,37,0,41,7,9,15,433,155,587
UCL215043,5,10,21,6,3,13,6,43,46,17,55,69,50,139,187,41,55,94,111,40,149,92,44,135,87,37,123,81,21,101,60,9,74,56,8,66,79,4,87,53,3,59,17,0,17,15,4,19,25,0,25,81,3,90,13,30,44,902,507,1408
UCL215044,10,12,23,6,15,18,3,42,44,11,64,70,30,149,185,40,62,102,122,47,169,70,61,129,125,49,171,97,39,132,90,24,118,81,11,91,133,35,165,91,6,91,49,0,46,24,6,35,67,3,68,103,10,117,25,33,51,1175,661,1832
