UCL_CODE_2016,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_Resp
UCL212005,86,729,543,10698,238,12296,0,4,0,55,0,59,366,3,23,44,3,443,13,6,3,12,0,27,183,115,41,189,5,531,970,707,466,9867,232,12236,98,6,28,12,3,145,33,17,3,73,0,122,115,63,54,989,10,1237,33,16,4,70,3,128,5,3,3,7,0,21,111,12,4,4,0,128,231,224,106,5343,92,5997,68,61,22,302,7,454,91,0,0,0,3,95,10,3,0,9,0,24,3,0,4,3,0,8,23,12,8,33,0,80,80,17,9,10,3,120,81,34,40,16,3,180,30,10,6,29,0,76,20,3,4,10,0,30,265,184,132,2972,46,3609,0,0,0,0,0,0,52,4,7,5,0,64,20,0,6,34,0,63,80,0,3,0,0,81,8,0,0,6,0,19,10,0,3,0,0,14,34,17,7,109,0,167,553,128,96,242,6,1020,29,11,7,333,1950,2329,3066,1401,942,22842,2457,30709
UCL213001,87,699,465,5570,90,6903,0,8,0,37,0,42,74,6,10,36,3,129,75,10,5,30,0,118,167,68,37,97,3,378,1076,622,486,4792,90,7063,36,3,5,0,0,48,21,4,4,29,0,57,195,70,40,459,9,784,74,25,8,56,3,165,42,4,4,20,0,70,149,10,6,10,0,176,248,145,122,1872,23,2416,194,94,29,329,11,662,0,0,0,0,0,0,22,5,3,7,0,39,21,6,3,17,0,43,195,60,47,186,6,488,34,3,3,0,0,44,76,32,43,19,0,164,90,27,19,62,0,199,10,3,0,9,0,27,303,137,111,1316,32,1898,44,11,6,5,0,71,34,3,3,0,0,42,36,4,0,21,0,70,13,6,0,0,0,19,3,0,0,0,0,9,41,4,4,0,0,48,46,8,19,37,0,111,497,126,69,189,5,885,37,13,8,120,877,1050,3172,1273,904,10854,1099,17302
UCL213002,57,329,250,4758,128,5520,0,0,3,73,3,79,87,11,0,35,3,134,0,0,0,3,0,9,109,31,23,100,5,262,559,320,234,3902,129,5141,72,0,12,0,4,89,4,3,3,30,0,41,96,28,21,365,14,518,12,0,3,15,0,33,4,0,0,5,0,14,80,3,7,3,0,95,87,53,47,1059,28,1273,154,33,22,234,6,447,4,0,0,0,0,4,0,3,3,3,0,5,0,0,0,0,0,0,18,5,0,9,0,36,12,3,10,10,0,34,38,8,11,6,0,67,33,9,0,10,0,50,3,0,0,7,0,12,141,82,66,984,22,1293,3,0,0,4,0,3,21,5,0,4,0,26,16,0,0,8,0,26,11,3,0,0,0,12,0,0,0,0,0,0,35,0,3,0,0,41,22,3,10,20,0,60,191,56,35,126,8,424,32,5,4,141,1184,1363,1595,608,460,8827,1466,12952
UCL213003,22,302,163,4478,111,5084,0,0,0,8,0,10,89,0,0,18,3,110,6,0,0,8,0,17,61,35,12,77,0,184,323,257,177,3776,107,4637,44,3,11,4,3,64,7,3,5,27,0,38,44,18,20,299,10,389,16,5,5,12,0,34,11,0,0,0,0,19,43,0,0,0,0,49,46,69,45,1558,31,1752,84,38,4,195,4,330,11,0,0,0,0,11,3,0,4,7,0,18,0,0,0,0,0,0,8,8,0,12,0,25,28,15,5,0,0,48,20,6,12,3,0,43,10,0,0,10,0,24,3,0,0,7,0,11,94,79,53,1189,22,1439,0,0,0,0,0,0,6,3,0,4,0,6,10,3,5,8,0,25,7,0,0,0,0,7,0,0,0,0,0,0,16,0,0,0,0,17,19,5,4,31,3,54,275,29,21,81,4,415,22,7,9,234,669,943,1160,530,329,8960,915,11891
UCL213004,45,469,287,4139,73,5010,0,0,0,14,0,20,55,0,5,20,0,85,27,3,0,3,0,34,199,39,35,132,3,410,795,439,324,3486,75,5128,49,3,12,0,4,64,29,0,0,22,0,57,118,43,38,266,5,463,31,6,3,16,0,53,37,0,4,11,0,54,38,9,3,0,0,50,157,112,66,1074,11,1426,93,62,29,212,3,393,3,0,0,0,0,8,4,0,0,4,0,12,0,0,0,0,0,9,16,11,4,11,0,43,14,4,0,0,0,17,41,21,26,9,0,96,42,4,6,23,0,70,10,0,0,3,0,20,179,86,72,940,11,1295,14,3,0,3,0,18,16,7,0,0,0,24,19,3,3,10,0,36,28,10,0,3,3,36,3,0,0,0,0,4,3,3,0,0,0,4,35,11,0,24,3,71,266,78,49,91,4,487,14,10,4,131,744,897,1895,845,567,7673,901,11887
UCL213005,40,473,326,3951,155,4935,0,3,0,8,0,16,39,4,7,7,3,59,37,6,3,17,0,70,149,53,21,77,5,299,1034,426,324,3656,92,5534,23,3,10,3,0,42,26,3,6,32,0,67,167,46,25,386,17,641,51,3,5,28,4,90,17,3,0,5,0,28,47,3,3,0,0,49,192,95,79,1286,28,1680,122,60,19,197,10,404,0,0,0,0,0,3,0,3,0,7,0,12,7,0,0,5,0,11,46,11,9,34,0,98,22,9,3,3,3,38,31,21,9,11,0,79,45,14,3,27,0,93,8,0,0,0,0,10,242,99,73,1129,23,1574,9,0,3,3,0,16,24,3,6,6,0,40,21,0,8,16,0,44,4,3,3,0,0,18,3,0,0,0,0,10,8,0,0,0,0,7,40,7,4,31,0,82,225,65,37,123,3,453,23,8,5,107,556,703,2236,843,583,7985,835,12482
UCL213006,31,310,222,4991,92,5659,0,0,3,79,0,87,44,4,0,22,0,73,4,6,0,3,0,14,41,26,15,56,0,140,403,264,230,4395,90,5390,59,0,7,0,0,65,14,4,7,39,0,59,63,31,21,412,5,530,14,5,0,18,0,39,10,4,0,8,0,23,52,0,0,3,0,58,94,71,35,1439,25,1669,77,44,11,239,6,383,9,0,0,0,0,9,3,3,0,7,0,14,0,0,0,0,0,0,16,4,0,18,0,31,29,4,3,7,0,42,18,23,8,5,0,57,26,3,3,11,0,38,3,0,0,0,0,9,133,99,48,1118,32,1431,0,0,0,0,0,0,11,0,0,0,0,10,10,3,0,18,0,36,25,0,0,0,0,24,3,0,0,0,0,3,8,3,0,0,0,10,15,0,3,29,0,48,127,57,31,96,4,305,22,6,3,204,853,1087,1125,578,402,9727,1074,12906
UCL213007,31,282,217,5645,105,6280,0,3,0,28,0,33,75,3,4,27,0,116,6,3,0,4,0,13,72,34,25,108,0,237,292,278,202,5466,150,6393,85,3,28,3,0,122,4,0,0,56,3,62,75,38,30,1514,27,1681,19,13,0,18,0,54,14,0,0,7,0,21,145,3,0,5,0,150,69,65,34,1473,35,1673,126,32,24,280,10,472,6,0,0,0,0,6,12,0,0,9,0,20,0,0,3,3,0,8,3,10,0,17,0,30,8,0,4,0,0,17,3,11,15,0,0,29,23,4,4,25,0,57,3,0,3,3,0,12,93,67,47,1583,34,1823,0,0,0,0,0,0,12,12,0,0,0,20,9,3,0,8,0,25,20,0,0,0,0,23,29,0,0,0,0,34,3,0,3,0,0,11,10,16,6,46,3,75,259,48,36,94,3,438,18,6,3,226,763,1015,1300,546,396,12330,1058,15627
UCL213008,56,529,391,4292,72,5336,0,0,0,14,0,14,69,8,8,33,0,114,108,17,10,64,0,202,193,64,45,133,0,436,857,492,348,3769,59,5517,243,6,24,3,0,285,10,7,4,25,0,43,138,53,36,358,6,590,19,7,0,30,0,56,26,15,5,22,0,73,113,0,8,8,0,130,188,108,71,1176,11,1554,153,82,23,283,4,543,0,0,0,3,0,3,3,4,0,5,0,11,36,12,3,23,0,79,44,15,15,59,0,135,22,6,3,3,0,40,34,25,10,5,0,78,71,17,6,44,0,145,24,0,3,14,0,48,267,130,94,916,25,1436,44,14,4,8,0,65,18,3,0,11,0,27,57,9,13,19,0,99,15,0,0,0,0,14,12,4,0,7,0,23,46,3,6,0,0,53,23,8,13,46,0,78,368,88,64,122,7,651,21,3,3,90,504,617,2731,1007,693,8266,637,13334
UCL213009,47,415,317,3900,62,4746,0,0,0,18,5,23,76,0,8,16,0,100,44,9,0,17,0,77,166,63,26,128,0,390,683,397,295,3531,81,4992,77,3,13,3,0,100,14,0,0,25,0,37,126,48,34,380,9,598,59,13,3,35,0,110,18,0,0,3,3,32,101,10,0,3,0,118,163,105,64,1170,13,1515,194,82,27,262,3,562,0,0,0,0,0,0,4,0,0,3,0,6,6,0,0,0,0,11,39,15,3,22,0,88,20,3,0,3,0,27,39,18,14,6,0,84,66,10,6,32,0,118,8,0,0,3,0,11,148,110,70,1011,22,1366,6,3,3,3,0,17,34,6,4,3,0,52,13,6,3,15,0,39,11,0,3,0,0,12,11,3,4,3,0,20,14,0,0,0,0,17,45,6,13,40,0,100,285,73,45,105,13,514,21,3,3,87,393,517,2103,823,570,7828,556,11875
