UCL_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
UCL213005,8,4,5,11,27,51,134,156,92,487,0,0,3,3,3,4,6,7,0,21,38,25,56,84,93,112,155,162,101,831,297,589,1204,1428,1594,1781,1566,984,353,9798
UCL213006,7,8,26,25,42,104,197,187,128,716,0,3,8,3,3,7,5,6,0,43,42,61,127,105,142,160,181,206,151,1170,335,665,1436,1416,1625,1692,1526,1004,446,10149
UCL213007,9,7,31,41,43,78,203,306,206,924,0,3,3,4,10,11,6,3,0,38,54,50,130,111,144,170,179,155,104,1108,372,950,1965,1705,1860,2005,1621,1122,525,12126
UCL213008,0,3,26,5,25,57,107,94,68,390,0,0,3,3,4,3,9,5,5,30,30,33,76,100,82,84,74,52,30,565,349,784,1819,1993,1763,1413,1049,489,228,9883
UCL213009,3,4,14,14,27,57,127,119,81,438,0,0,3,5,0,3,4,0,0,22,27,25,59,59,73,80,113,86,39,555,289,626,1707,1503,1469,1311,1155,653,255,8969
UCL213010,17,25,44,52,94,176,275,248,169,1090,0,0,11,9,10,6,9,15,7,68,64,89,143,131,176,207,265,241,168,1479,429,1023,1706,1572,1911,2149,1782,1092,521,12178
UCL213011,7,26,49,57,78,155,271,275,146,1065,0,0,12,15,20,13,16,22,11,103,75,100,213,161,233,232,198,203,66,1468,379,897,1648,1408,1738,1827,1501,984,443,10833
UCL213012,11,6,9,8,22,28,113,130,118,450,3,0,0,0,0,3,4,3,3,14,23,36,72,108,100,137,177,94,64,810,334,706,1618,2567,2382,2605,2146,905,418,13690
UCL213013,4,8,24,30,40,98,161,188,152,702,0,0,3,7,9,3,3,3,3,29,44,63,86,101,131,149,145,123,61,906,270,540,982,1174,1388,1521,1116,672,329,7993
UCL213014,3,14,20,24,51,57,167,200,124,655,0,3,14,9,15,12,7,7,4,71,43,70,150,131,156,164,159,149,86,1106,321,762,1757,1576,1712,1701,1345,868,447,10490
UCL213015,0,7,33,26,30,67,161,212,152,688,3,6,13,33,31,18,11,25,8,146,75,78,152,135,156,161,183,155,89,1187,285,653,1398,1224,1255,1204,1019,782,380,8211
UCL213016,3,4,5,12,7,31,76,89,72,303,0,0,3,3,3,5,0,9,0,24,34,46,81,138,135,117,102,77,40,774,287,660,1919,2701,2356,1973,1530,680,255,12358
UCL213017,10,16,36,40,58,122,260,319,247,1113,0,0,3,6,15,10,14,19,3,71,82,75,108,139,160,214,246,256,279,1559,449,943,1969,2120,2337,2388,2083,1434,849,14572
UCL213018,8,7,24,17,39,63,203,219,144,722,0,3,5,5,16,8,9,4,8,61,36,54,96,103,127,137,176,155,56,944,384,771,1614,1547,1845,1817,1728,995,411,11123
UCL214001,5,7,13,18,32,76,145,151,118,573,0,0,4,6,15,17,10,3,3,62,20,28,48,57,42,68,73,93,38,471,195,377,734,715,935,944,876,537,277,5596
UCL214002,3,8,20,22,35,85,156,173,148,653,0,0,0,3,3,0,4,4,0,19,43,47,74,72,103,131,167,132,80,860,208,470,866,871,1163,1320,1292,878,470,7535
UCL214003,3,7,13,13,23,43,84,113,75,374,0,4,0,0,3,6,3,0,3,22,37,83,325,279,232,183,162,156,123,1570,178,415,1016,1222,1403,1431,1268,795,378,8117
UCL214004,4,5,18,17,25,39,140,129,73,457,0,3,9,4,6,11,5,21,5,62,14,25,65,40,58,87,109,104,37,534,137,269,577,559,631,644,730,526,191,4263
UCL214005,0,4,3,3,3,4,21,14,0,53,0,0,0,0,0,0,0,0,0,3,3,8,7,3,4,9,12,15,0,60,29,59,75,130,135,137,158,58,17,798
UCL214006,5,0,5,4,15,26,79,54,53,234,0,0,3,0,0,3,0,0,0,13,28,19,46,74,85,58,76,62,57,511,236,474,994,1496,1388,1003,882,383,198,7050
UCL214007,12,16,10,16,21,56,155,179,106,583,0,0,3,3,7,5,3,3,3,35,30,31,56,46,80,99,124,145,96,703,235,506,908,880,1101,1205,1136,717,390,7078
UCL214008,4,3,13,15,18,51,119,109,64,394,0,3,0,7,0,3,3,4,4,24,16,25,58,71,81,117,116,86,34,607,190,404,872,1036,1174,1207,999,574,236,6697
UCL214009,3,0,0,5,6,22,65,74,69,247,0,0,0,0,0,3,6,0,0,7,11,3,30,41,56,52,99,75,39,406,69,106,393,541,554,764,935,497,222,4079
UCL214010,9,0,15,12,15,36,85,101,51,319,0,0,0,0,0,3,3,0,0,13,42,23,52,74,86,62,94,72,17,526,208,378,726,875,924,722,672,433,149,5094
UCL214011,3,5,12,11,20,49,121,146,105,469,0,0,3,0,0,3,13,3,3,19,16,23,43,65,55,68,122,120,79,582,122,299,618,582,677,781,797,534,293,4706
UCL214012,7,9,22,9,19,42,143,117,47,413,0,0,0,0,0,0,3,10,0,12,29,27,57,75,88,102,157,119,92,739,149,227,473,534,735,961,1128,589,242,5047
UCL214013,3,3,7,0,14,31,66,96,73,292,0,0,3,3,3,3,3,3,3,21,11,20,43,28,46,47,82,66,36,374,94,239,581,528,574,630,644,415,215,3924
UCL214014,4,7,11,16,33,86,185,205,128,685,0,0,5,4,6,4,4,3,4,30,16,21,41,75,86,96,146,144,61,687,170,391,623,710,883,1012,1157,795,345,6085
UCL214015,6,4,6,13,18,47,173,132,86,488,3,0,0,4,0,4,8,14,3,35,18,10,29,44,71,146,175,111,57,666,131,203,375,571,831,1298,1529,693,298,5927
UCL214016,3,8,15,18,28,67,111,101,41,391,0,0,3,3,4,7,4,3,0,22,26,40,67,89,86,118,110,111,82,715,168,418,596,622,761,881,682,412,198,4739
UCL214017,5,12,10,16,30,57,95,108,82,427,0,3,12,7,10,14,5,3,0,55,25,29,50,38,70,81,89,96,40,533,144,301,580,585,722,790,713,471,245,4543
UCL214018,8,7,18,27,33,59,70,40,18,269,0,0,3,3,3,10,5,4,0,31,46,33,89,99,113,117,72,37,5,613,245,519,1105,1185,1306,1018,544,191,43,6160
UCL214019,7,5,13,19,37,61,151,154,132,579,0,0,5,6,4,9,4,6,4,42,29,32,68,36,112,123,162,184,93,841,201,361,805,691,1002,1100,1079,752,353,6342
UCL214020,3,4,12,16,16,55,154,165,98,521,0,0,3,0,0,0,4,0,3,13,40,29,72,80,101,132,181,169,114,916,181,329,668,762,878,1070,1232,814,363,6296
UCL215001,0,4,0,0,0,4,0,3,8,17,0,0,0,0,0,0,0,0,0,0,8,0,3,8,13,17,18,10,3,75,24,44,59,100,178,246,159,89,24,918
UCL215002,0,0,4,5,6,18,49,49,45,184,0,0,0,0,3,0,3,0,3,13,7,5,12,19,27,46,50,31,15,228,49,105,221,266,298,346,391,220,113,2015
UCL215003,0,0,3,0,5,3,18,15,24,74,0,0,0,0,0,0,0,0,0,0,5,0,19,16,27,28,34,27,19,169,32,81,212,254,362,417,425,192,109,2077
UCL215004,0,0,3,0,3,8,15,29,9,67,0,0,0,0,0,0,3,0,0,3,5,14,13,19,18,32,23,17,4,141,25,66,146,157,165,249,189,101,37,1139
UCL215005,0,3,6,3,10,17,48,30,11,125,0,0,0,0,0,3,0,0,0,6,11,8,16,12,32,32,27,31,21,192,69,95,239,289,315,308,259,146,69,1783
UCL215006,0,0,3,3,3,7,9,21,11,56,0,0,0,0,0,0,0,0,0,0,10,13,15,26,28,21,21,26,14,167,44,93,193,270,304,350,308,198,58,1816
UCL215007,0,0,0,8,12,19,42,31,32,146,0,0,0,0,3,0,0,0,0,4,16,29,21,45,25,37,42,17,21,243,109,256,646,826,579,447,342,174,91,3485
UCL215008,0,0,0,5,3,3,4,4,0,23,0,0,0,0,0,0,0,0,0,0,5,7,9,16,18,7,6,3,0,70,36,76,209,277,282,183,92,27,6,1186
UCL215009,0,0,0,6,8,13,27,15,13,69,0,0,0,0,0,0,0,0,0,0,0,5,4,0,8,12,18,4,3,67,18,32,75,60,106,142,164,68,15,675
UCL215010,0,0,0,0,0,9,8,6,3,37,0,0,0,0,0,0,0,0,0,3,5,9,12,15,20,20,28,27,16,154,45,122,164,320,319,298,191,84,29,1580
UCL215011,0,0,0,0,3,18,33,33,13,110,0,0,0,0,0,0,0,0,0,0,0,0,4,8,14,15,27,30,28,133,12,33,77,85,127,177,199,120,65,893
UCL215012,0,0,0,0,7,14,41,42,13,121,0,0,4,0,0,5,3,0,0,19,13,7,11,25,42,45,39,61,43,281,50,74,204,343,390,499,448,254,96,2363
UCL215013,0,0,3,3,5,16,15,3,3,56,0,0,0,3,3,0,5,0,0,9,3,5,25,27,26,12,8,0,0,111,38,85,394,320,214,123,72,15,3,1271
UCL215014,0,0,3,3,3,12,13,7,0,46,0,0,0,0,0,0,0,0,0,3,3,6,3,6,19,7,19,7,0,71,34,65,159,170,201,157,104,42,3,933
UCL215015,3,0,3,4,8,5,39,31,14,116,0,0,0,0,0,4,0,0,0,3,9,7,23,27,27,42,39,21,27,233,42,79,180,257,304,347,393,176,105,1872
UCL215016,3,6,10,9,12,26,58,45,16,182,0,0,0,0,0,0,0,0,0,3,12,14,41,17,45,47,40,33,26,275,107,242,509,417,542,502,349,175,56,2904
UCL215017,0,3,6,6,13,15,33,22,27,115,0,0,0,0,3,0,0,0,0,5,8,4,11,22,33,15,22,11,9,137,59,98,188,235,292,226,213,88,59,1456
UCL215018,0,0,9,13,3,25,61,83,45,245,0,0,0,0,3,0,3,0,0,4,3,11,24,21,44,40,63,62,25,295,50,128,259,305,373,415,455,305,123,2412
UCL215019,0,0,4,0,3,10,21,13,0,47,0,0,0,0,0,0,0,0,0,3,4,5,6,11,24,18,14,13,5,99,27,69,169,238,254,234,186,73,9,1264
UCL215020,3,3,0,0,3,13,40,50,37,158,0,0,0,0,0,0,0,3,0,3,7,3,5,3,14,16,31,36,14,130,26,57,91,104,160,211,221,177,88,1136
UCL215021,3,0,3,3,7,5,21,16,3,60,0,0,0,0,0,0,0,0,0,3,5,0,10,7,24,30,10,15,7,110,32,51,95,144,206,201,150,69,25,966
UCL215022,8,4,6,13,13,32,59,48,15,193,0,3,3,0,3,0,3,0,0,15,34,80,66,63,56,60,69,35,12,470,152,442,661,493,483,615,501,194,46,3588
UCL215023,3,0,0,0,9,8,32,49,32,137,0,0,0,3,0,0,0,0,0,3,11,4,10,3,26,8,23,22,15,118,45,79,139,139,246,188,195,152,74,1254
UCL215024,0,3,0,3,7,23,43,58,53,196,0,0,0,0,0,0,0,0,0,4,3,8,15,6,18,26,40,41,9,175,23,70,138,173,192,259,349,235,118,1558
UCL215025,0,0,0,0,3,12,20,34,22,91,0,0,0,0,0,0,0,0,0,3,0,14,15,18,17,21,23,26,20,148,22,61,122,103,142,161,150,145,73,978
UCL215026,0,4,7,0,13,24,73,75,63,266,0,0,0,3,3,5,4,5,0,21,10,3,26,46,45,72,93,74,66,430,74,141,396,463,568,752,928,506,292,4116
UCL215027,0,3,6,5,10,12,50,51,46,191,0,0,0,0,0,0,0,0,0,5,18,14,34,24,38,36,51,58,40,297,58,125,280,265,326,382,394,249,148,2226
UCL215028,4,0,3,3,8,14,36,43,33,144,0,0,3,0,0,0,0,0,0,9,12,9,17,25,36,60,43,46,30,271,63,108,270,361,548,626,484,263,154,2874
UCL215029,0,0,3,3,6,14,18,18,0,71,0,0,0,0,0,0,0,3,0,5,3,18,19,12,22,24,18,12,0,131,49,186,412,254,297,301,145,56,9,1700
UCL215030,0,0,0,0,7,11,18,38,27,106,0,0,0,0,5,0,0,0,0,7,8,3,6,10,19,32,25,26,28,157,22,53,98,140,189,247,196,135,84,1161
UCL215031,3,0,0,4,3,7,34,41,29,121,0,0,0,0,0,0,0,0,0,0,7,5,10,12,21,28,30,42,23,184,22,54,94,132,153,208,203,158,103,1135
UCL215032,3,0,9,6,8,30,70,72,35,226,0,0,0,0,0,0,4,0,0,3,5,10,21,23,31,38,45,63,61,300,45,109,240,275,326,442,443,327,173,2385
UCL215033,0,0,6,4,4,7,12,0,0,31,0,0,0,0,0,0,0,0,0,0,3,3,15,25,12,6,3,0,0,67,33,77,468,594,284,170,95,4,4,1719
UCL215034,0,0,0,0,3,4,31,45,40,118,0,0,0,0,0,0,0,0,0,0,6,3,6,0,8,14,27,24,29,111,23,46,61,87,115,187,218,159,114,1012
UCL215035,0,0,0,3,4,4,20,15,4,52,0,0,0,0,0,0,0,0,0,0,6,0,8,10,10,12,16,3,0,73,28,56,145,169,163,150,139,53,19,922
UCL215036,0,0,0,0,0,4,11,9,5,31,0,0,0,0,0,0,0,0,0,0,4,7,9,9,15,3,3,8,0,59,41,48,112,179,191,132,84,41,10,831
UCL215037,0,3,3,3,7,26,61,53,23,181,0,0,0,0,0,0,0,0,0,4,5,3,14,12,22,46,48,48,19,215,27,65,125,140,200,322,307,218,83,1490
UCL215038,0,0,4,3,8,15,43,34,26,134,0,0,0,0,0,0,0,0,0,6,8,8,13,8,17,21,10,17,12,113,30,102,149,159,173,185,191,128,73,1183
UCL215039,0,0,0,4,5,13,34,30,27,112,0,0,0,0,0,0,0,0,0,3,3,5,14,5,18,29,29,8,17,135,23,57,115,124,177,213,179,95,50,1029
UCL215040,3,0,6,11,8,20,61,114,81,310,0,0,0,6,7,0,5,3,0,17,10,16,33,32,33,51,71,77,38,353,71,168,336,341,436,493,487,412,189,2919
UCL215041,3,6,11,5,8,24,34,22,21,128,0,0,5,3,0,0,3,0,0,16,10,10,25,24,17,20,24,25,17,176,61,116,320,309,301,225,181,114,53,1678
UCL215042,0,0,0,4,6,8,35,16,11,76,0,0,0,0,0,0,0,0,0,4,8,9,18,15,21,12,14,13,5,126,36,85,195,211,199,207,155,74,27,1185
UCL215043,3,3,8,5,17,24,74,73,75,281,0,0,0,0,0,0,3,4,3,14,7,10,40,26,33,44,55,41,29,287,97,167,399,366,441,481,466,272,176,2867
UCL215044,5,4,6,14,12,29,64,84,71,294,0,0,7,3,6,3,4,0,0,24,16,25,41,64,52,60,74,69,28,423,94,229,488,629,639,601,586,401,239,3909
UCL215045,0,0,0,3,4,11,23,16,5,65,0,0,0,0,0,0,0,0,0,0,6,0,11,7,15,20,15,16,4,94,26,54,182,169,197,245,150,50,15,1090
UCL215046,5,3,3,3,6,9,19,18,12,77,0,0,0,3,0,0,0,3,0,5,0,0,5,6,3,12,8,3,0,54,33,63,144,140,140,153,119,60,21,867
UCL215047,0,3,6,3,5,3,10,9,3,56,0,0,0,0,0,0,0,0,0,0,3,8,22,18,21,26,25,12,3,143,44,95,274,168,178,172,121,50,13,1108
UCL215048,0,0,0,0,0,0,6,6,10,25,0,0,0,0,0,0,0,0,0,5,0,3,20,14,15,19,14,19,13,114,11,33,122,101,103,195,164,91,46,873
UCL215049,0,0,0,0,3,3,14,6,3,41,0,0,0,0,0,0,0,0,0,0,8,6,9,30,26,38,31,17,3,162,55,85,177,397,428,434,363,125,24,2091
UCL215050,3,3,6,10,27,27,61,74,41,261,0,0,0,0,4,3,3,0,0,8,21,26,37,39,45,49,65,64,33,384,107,232,509,462,494,541,537,331,145,3356
UCL215051,0,0,0,0,3,10,17,17,31,75,0,0,0,0,0,0,0,0,0,5,0,0,0,3,20,19,16,8,0,73,12,33,56,102,184,297,235,113,64,1101
UCL215052,0,0,4,4,12,9,47,44,49,166,0,0,0,0,3,0,0,0,0,5,6,12,40,30,45,43,34,33,20,271,64,159,359,408,429,453,403,239,144,2656
UCL215053,0,3,3,3,9,21,39,47,33,158,0,3,0,3,0,0,0,3,0,13,3,8,24,21,25,51,47,36,16,226,53,117,229,161,251,292,230,178,98,1606
UCL215054,0,3,0,9,11,13,26,13,5,79,0,0,0,0,0,0,0,0,0,3,3,7,19,19,17,29,23,9,8,129,35,103,196,181,226,244,140,53,21,1202
UCL215055,0,0,3,0,7,9,23,28,15,85,0,0,0,0,0,0,0,3,0,0,9,10,18,16,14,25,26,22,9,146,41,80,177,181,224,226,205,116,54,1305
UCL215056,0,0,3,4,4,10,18,35,24,92,0,0,0,0,0,0,3,0,0,5,3,4,3,8,14,8,22,23,12,105,24,56,82,106,120,161,167,122,55,887
UCL215057,0,0,0,0,0,12,24,23,18,75,0,0,0,0,0,0,0,0,0,0,0,3,7,15,17,17,36,11,5,116,17,33,118,212,221,287,289,132,44,1351
UCL215058,0,0,0,6,10,22,70,72,48,236,0,0,0,0,0,4,3,10,3,18,13,3,18,20,37,50,38,61,42,281,47,110,253,269,371,414,331,285,151,2224
UCL215059,0,3,3,3,0,20,37,29,26,123,0,0,0,0,0,3,7,4,0,14,7,7,14,7,22,42,31,24,14,157,30,74,167,170,210,287,263,147,81,1426
UCL215060,0,0,6,4,6,11,28,35,30,123,0,0,0,0,0,0,0,0,0,3,3,3,11,7,15,23,23,34,20,144,25,64,153,134,156,199,185,164,82,1162
UCL215061,0,3,15,14,7,17,40,73,56,220,0,0,4,7,10,9,0,0,0,31,4,6,6,5,16,20,24,19,16,126,40,93,193,148,206,247,201,191,125,1440
UCL215062,0,3,0,13,16,26,67,86,57,264,0,0,0,0,0,4,3,0,0,14,10,11,16,28,35,63,67,57,37,315,86,200,343,352,430,474,546,361,174,2962
UCL215063,0,4,0,6,12,25,58,51,34,181,0,0,3,0,0,3,0,9,0,16,4,6,17,10,31,26,49,46,26,211,43,76,153,158,251,282,350,198,93,1600
UCL215064,0,0,6,3,0,11,16,31,32,96,0,0,0,0,0,0,0,0,0,3,0,5,6,10,24,29,20,16,11,124,8,44,82,93,130,176,154,92,71,856
UCL215065,6,3,3,4,7,20,52,60,32,185,0,0,0,0,3,0,0,0,0,9,8,9,11,16,34,61,92,71,43,346,57,88,195,246,370,566,796,450,180,2952
UCL215066,0,0,0,0,3,7,27,37,34,99,0,0,4,0,0,0,0,7,0,11,8,5,15,16,32,51,92,75,30,326,56,91,181,283,437,621,818,494,180,3159
UCL215067,3,0,5,3,6,7,38,46,53,170,0,0,0,0,5,3,0,0,0,11,9,5,23,25,30,58,45,48,39,289,36,71,270,350,317,490,472,276,147,2441
UCL215068,0,4,10,11,9,32,62,64,50,236,0,0,0,0,0,0,5,8,0,20,18,12,32,30,51,57,61,58,41,353,81,144,341,300,345,377,318,218,131,2256
UCL215069,0,0,3,0,0,7,11,15,13,57,0,0,0,0,0,0,0,0,0,0,5,4,8,27,28,22,14,11,0,122,67,175,280,403,554,438,283,102,40,2346
UCL215070,0,4,11,12,21,42,31,31,16,160,0,3,4,7,8,8,3,10,3,47,16,31,62,40,61,67,41,28,24,352,43,128,365,228,238,289,190,97,58,1638
UCL215071,0,0,4,5,14,24,56,70,52,225,0,0,4,0,3,0,0,0,0,14,9,5,15,11,36,46,42,43,33,247,52,125,213,236,341,398,387,302,134,2200
UCL215072,3,0,0,13,5,25,49,25,12,134,0,0,3,0,4,0,0,0,0,3,18,19,17,41,40,43,31,25,6,234,115,194,380,526,603,521,352,134,42,2877
UCL215073,0,0,3,3,5,10,28,15,5,69,0,0,0,0,0,0,0,0,0,4,8,3,12,22,16,28,21,16,3,125,30,58,176,136,148,204,133,60,21,974
UCL215074,0,0,3,8,8,5,20,21,20,88,0,0,0,0,0,0,0,0,0,0,3,3,10,10,23,40,39,33,26,189,42,71,190,258,287,341,283,137,74,1680
UCL215075,0,0,4,0,0,4,12,19,16,68,0,0,0,0,0,0,0,0,0,4,3,0,3,10,14,20,20,10,7,88,14,52,106,124,127,199,214,111,59,1012
UCL215076,3,0,3,3,3,8,13,8,3,47,0,0,0,0,0,0,0,0,0,0,5,0,3,9,4,6,5,5,0,38,60,116,219,264,255,214,110,44,8,1303
UCL215077,0,0,5,14,12,19,56,47,42,199,0,0,0,0,3,3,8,0,0,17,0,3,15,5,8,22,36,31,21,150,34,82,186,190,254,296,321,204,105,1678
UCL215078,0,0,0,3,3,16,22,26,11,90,0,0,0,0,0,0,0,0,0,0,5,4,9,20,22,15,25,29,3,143,47,75,237,217,192,270,218,124,28,1404
UCL215079,0,3,7,12,12,43,75,87,51,294,0,0,0,0,3,4,4,4,8,23,27,18,30,41,40,63,64,59,50,393,94,193,450,451,510,524,452,308,147,3142
UCL215080,0,0,3,0,5,14,34,51,28,145,0,0,3,0,5,3,4,0,0,16,11,5,20,25,28,42,54,42,26,255,55,93,175,204,262,287,245,198,81,1599
UCL215081,0,0,4,4,3,14,21,29,30,111,0,0,0,0,0,0,0,0,0,0,11,3,8,6,9,5,12,19,15,90,42,70,143,132,154,146,143,109,72,1013
UCL215082,0,0,3,4,5,3,14,10,4,36,0,0,0,0,0,0,0,0,0,0,3,0,8,20,17,13,21,10,3,99,27,41,125,185,134,112,91,39,21,783
UCL215083,0,0,4,5,7,15,46,49,42,172,0,0,0,0,0,0,0,4,0,9,14,14,33,34,35,50,43,37,26,276,65,182,415,431,390,417,375,240,113,2632
UCL215084,0,0,0,3,5,8,17,12,3,42,0,0,0,0,0,0,0,0,0,3,8,0,17,18,20,24,23,4,0,96,56,90,191,237,245,225,156,31,9,1230
UCL215085,0,0,0,7,6,15,27,23,25,91,0,0,0,0,0,0,0,4,0,3,6,4,11,19,27,46,37,16,3,173,42,83,132,221,316,333,264,111,43,1552
UCL215086,0,0,3,9,21,25,54,40,26,183,0,0,0,5,6,6,0,0,0,19,7,9,29,18,26,41,53,40,60,282,46,107,224,202,292,337,312,212,138,1861
UCL215087,0,3,7,6,16,13,57,81,58,248,0,0,0,0,3,3,3,5,0,15,25,18,23,40,46,35,50,41,16,293,128,223,372,515,548,396,402,261,142,2989
UCL215088,0,0,7,8,9,17,24,22,32,109,0,0,0,0,0,4,0,0,0,8,3,0,22,10,21,30,27,25,22,150,30,81,166,170,203,257,183,125,83,1296
UCL215089,0,0,3,0,0,0,3,6,3,20,0,0,0,0,0,0,0,0,0,0,7,6,3,4,15,15,10,3,0,54,66,148,98,164,294,275,134,36,7,1223
UCL215090,3,0,4,4,8,11,23,43,13,109,0,0,0,0,4,3,0,0,0,9,12,22,22,36,41,45,54,42,46,318,80,162,301,537,581,492,419,209,93,2865
UCL215091,3,3,10,8,12,14,31,27,14,128,0,0,0,0,0,0,0,0,0,0,14,18,25,26,27,31,26,12,8,190,121,272,597,559,544,474,328,114,40,3045
UCL215092,0,3,3,3,10,17,15,22,3,67,0,0,0,0,0,0,0,0,0,3,5,11,18,17,17,18,23,14,11,134,43,88,135,114,164,164,101,58,27,888
UCL215093,0,0,3,3,0,7,30,21,3,64,0,0,0,0,3,0,0,0,0,4,7,6,28,29,20,20,10,7,0,126,56,126,310,324,293,234,220,102,17,1679
