UCL_CODE_2016,M_PGrad_Deg_15_24,M_PGrad_Deg_25_34,M_PGrad_Deg_35_44,M_PGrad_Deg_45_54,M_PGrad_Deg_55_64,M_PGrad_Deg_65_74,M_PGrad_Deg_75_84,M_PGrad_Deg_85ov,M_PGrad_Deg_Total,M_GradDip_and_GradCert_15_24,M_GradDip_and_GradCert_25_34,M_GradDip_and_GradCert_35_44,M_GradDip_and_GradCert_45_54,M_GradDip_and_GradCert_55_64,M_GradDip_and_GradCert_65_74,M_GradDip_and_GradCert_75_84,M_GradDip_and_GradCert_85ov,M_GradDip_and_GradCert_Total,M_BachDeg_15_24,M_BachDeg_25_34,M_BachDeg_35_44,M_BachDeg_45_54,M_BachDeg_55_64,M_BachDeg_65_74,M_BachDeg_75_84,M_BachDeg_85ov,M_BachDeg_Total,M_AdvDip_and_Dip_15_24,M_AdvDip_and_Dip_25_34,M_AdvDip_and_Dip_35_44,M_AdvDip_and_Dip_45_54,M_AdvDip_and_Dip_55_64,M_AdvDip_and_Dip_65_74,M_AdvDip_and_Dip_75_84,M_AdvDip_and_Dip_85ov,M_AdvDip_and_Dip_Total,M_Cert_III_IV_15_24,M_Cert_III_IV_25_34,M_Cert_III_IV_35_44,M_Cert_III_IV_45_54,M_Cert_III_IV_55_64,M_Cert_III_IV_65_74,M_Cert_III_IV_75_84,M_Cert_III_IV_85ov,M_Cert_III_IV_Total,M_Cert_I_II_15_24,M_Cert_I_II_25_34,M_Cert_I_II_35_44,M_Cert_I_II_45_54,M_Cert_I_II_55_64,M_Cert_I_II_65_74,M_Cert_I_II_75_84,M_Cert_I_II_85ov,M_Cert_I_II_Total,M_Cert_Levl_nfd_15_24,M_Cert_Levl_nfd_25_34,M_Cert_Levl_nfd_35_44,M_Cert_Levl_nfd_45_54,M_Cert_Levl_nfd_55_64,M_Cert_Levl_nfd_65_74,M_Cert_Levl_nfd_75_84,M_Cert_Levl_nfd_85ov,M_Cert_Levl_nfd_Total,M_Cert_Lev_Tot_15_24,M_Cert_Lev_Tot_25_34,M_Cert_Lev_Tot_35_44,M_Cert_Lev_Tot_45_54,M_Cert_Lev_Tot_55_64,M_Cert_Lev_Tot_65_74,M_Cert_Lev_Tot_75_84,M_Cert_Lev_Tot_85ov,M_Cert_Lev_Tot_Total,M_Lev_Edu_IDes_15_24,M_Lev_Edu_IDes_25_34,M_Lev_Edu_IDes_35_44,M_Lev_Edu_IDes_45_54,M_Lev_Edu_IDes_55_64,M_Lev_Edu_IDes_65_74,M_Lev_Edu_IDes_75_84,M_Lev_Edu_IDes_85ov,M_Lev_Edu_IDes_Total,M_Lev_Edu_NS_15_24,M_Lev_Edu_NS_25_34,M_Lev_Edu_NS_35_44,M_Lev_Edu_NS_45_54,M_Lev_Edu_NS_55_64,M_Lev_Edu_NS_65_74,M_Lev_Edu_NS_75_84,M_Lev_Edu_NS_85ov,M_Lev_Edu_NS_Total,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Total,F_PGrad_Deg_15_24,F_PGrad_Deg_25_34,F_PGrad_Deg_35_44,F_PGrad_Deg_45_54,F_PGrad_Deg_55_64,F_PGrad_Deg_65_74,F_PGrad_Deg_75_84,F_PGrad_Deg_85ov,F_PGrad_Deg_Total,F_GradDip_and_GradCert_15_24,F_GradDip_and_GradCert_25_34,F_GradDip_and_GradCert_35_44,F_GradDip_and_GradCert_45_54,F_GradDip_and_GradCert_55_64,F_GradDip_and_GradCert_65_74,F_GradDip_and_GradCert_75_84,F_GradDip_and_GradCert_85ov,F_GradDip_and_GradCert_Total,F_BachDeg_15_24,F_BachDeg_25_34,F_BachDeg_35_44,F_BachDeg_45_54,F_BachDeg_55_64,F_BachDeg_65_74,F_BachDeg_75_84,F_BachDeg_85ov,F_BachDeg_Total,F_AdvDip_and_Dip_15_24,F_AdvDip_and_Dip_25_34,F_AdvDip_and_Dip_35_44,F_AdvDip_and_Dip_45_54,F_AdvDip_and_Dip_55_64,F_AdvDip_and_Dip_65_74,F_AdvDip_and_Dip_75_84,F_AdvDip_and_Dip_85ov,F_AdvDip_and_Dip_Total,F_Cert_III_IV_15_24,F_Cert_III_IV_25_34,F_Cert_III_IV_35_44,F_Cert_III_IV_45_54,F_Cert_III_IV_55_64,F_Cert_III_IV_65_74,F_Cert_III_IV_75_84,F_Cert_III_IV_85ov,F_Cert_III_IV_Total,F_Cert_I_II_15_24,F_Cert_I_II_25_34,F_Cert_I_II_35_44,F_Cert_I_II_45_54,F_Cert_I_II_55_64,F_Cert_I_II_65_74,F_Cert_I_II_75_84,F_Cert_I_II_85ov,F_Cert_I_II_Total,F_Cert_Levl_nfd_15_24,F_Cert_Levl_nfd_25_34,F_Cert_Levl_nfd_35_44,F_Cert_Levl_nfd_45_54,F_Cert_Levl_nfd_55_64,F_Cert_Levl_nfd_65_74,F_Cert_Levl_nfd_75_84,F_Cert_Levl_nfd_85ov,F_Cert_Levl_nfd_Total,F_Cert_Lev_Tot_15_24,F_Cert_Lev_Tot_25_34,F_Cert_Lev_Tot_35_44,F_Cert_Lev_Tot_45_54,F_Cert_Lev_Tot_55_64,F_Cert_Lev_Tot_65_74,F_Cert_Lev_Tot_75_84,F_Cert_Lev_Tot_85ov,F_Cert_Lev_Tot_Total,F_Lev_Edu_IDes_15_24,F_Lev_Edu_IDes_25_34,F_Lev_Edu_IDes_35_44,F_Lev_Edu_IDes_45_54,F_Lev_Edu_IDes_55_64,F_Lev_Edu_IDes_65_74,F_Lev_Edu_IDes_75_84,F_Lev_Edu_IDes_85ov,F_Lev_Edu_IDes_Total,F_Lev_Edu_NS_15_24,F_Lev_Edu_NS_25_34,F_Lev_Edu_NS_35_44,F_Lev_Edu_NS_45_54,F_Lev_Edu_NS_55_64,F_Lev_Edu_NS_65_74,F_Lev_Edu_NS_75_84,F_Lev_Edu_NS_85ov,F_Lev_Edu_NS_Total,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Total,P_PGrad_Deg_15_24,P_PGrad_Deg_25_34
UCL212005,3,15,49,56,49,43,7,0,232,0,22,37,45,48,17,6,3,176,65,283,233,199,199,93,33,10,1106,32,132,136,167,149,113,43,9,773,311,612,570,482,441,289,155,53,2922,23,26,15,6,13,7,0,0,93,13,23,31,22,22,14,9,3,150,357,665,622,517,479,312,165,53,3165,9,9,7,12,10,5,3,3,58,181,137,129,188,192,200,141,79,1253,643,1265,1221,1176,1129,789,394,158,6776,11,69,79,52,47,19,4,0,281,0,82,88,98,73,37,3,0,379,114,467,426,315,240,128,62,24,1765,86,240,222,272,236,141,62,21,1286,248,345,324,332,231,111,23,7,1617,34,58,41,38,32,16,0,0,225,27,47,50,38,56,29,4,10,257,314,453,411,407,318,148,28,14,2097,6,9,12,13,14,16,6,8,80,176,139,139,196,226,251,284,164,1571,707,1462,1365,1342,1157,740,456,233,7467,14,84
UCL213001,5,18,35,38,29,15,6,0,142,0,13,14,16,23,12,0,0,75,25,99,114,83,72,51,16,4,461,26,92,74,105,98,52,21,7,474,182,442,344,378,278,188,75,14,1900,17,14,3,3,3,0,0,0,51,13,18,19,12,19,21,4,0,97,212,471,370,393,297,213,82,10,2051,3,4,6,8,13,5,3,4,43,75,70,89,86,85,91,50,22,569,341,760,711,723,621,438,171,52,3808,8,46,54,34,18,8,3,0,171,0,40,50,35,36,24,3,0,193,43,242,212,138,89,55,17,7,806,67,177,192,141,118,60,25,4,787,123,214,211,180,113,45,4,0,894,15,28,17,22,9,9,0,0,102,21,29,33,29,35,26,3,0,179,159,273,258,237,158,77,13,0,1172,3,10,4,11,3,5,3,0,33,54,75,89,83,84,113,95,64,657,331,855,862,677,512,347,152,81,3816,11,65
UCL213002,0,19,11,11,13,8,4,0,68,0,4,3,7,11,16,0,0,48,12,67,47,33,52,42,21,5,273,9,37,42,47,46,67,31,8,286,113,281,206,211,219,153,101,27,1317,14,5,8,8,3,0,0,0,40,11,12,10,5,23,15,7,3,82,135,301,221,229,243,163,112,30,1440,3,3,7,3,3,7,5,4,40,102,88,80,79,95,128,98,51,726,265,522,416,411,462,437,266,95,2879,3,20,19,9,15,7,0,0,67,0,17,21,26,22,13,3,0,104,28,125,98,82,96,63,34,9,535,38,91,81,107,110,86,36,26,564,102,145,126,129,90,51,17,12,674,17,25,14,13,14,8,6,0,93,9,22,19,24,29,17,4,12,130,128,187,161,165,126,78,25,19,894,3,4,4,5,0,8,9,4,45,113,78,76,106,120,166,171,144,970,306,521,460,491,493,418,280,207,3177,3,36
UCL213003,0,11,6,14,10,6,3,0,48,0,4,11,6,13,10,3,0,38,11,55,48,29,51,21,11,7,224,17,41,45,43,59,33,16,3,255,142,257,225,201,186,122,57,23,1208,10,15,7,4,6,0,0,0,46,14,16,15,11,11,9,3,3,77,163,288,252,218,203,129,64,24,1333,0,6,3,7,3,4,4,0,24,62,79,46,71,70,75,59,31,494,254,471,413,379,397,278,152,63,2418,3,9,4,12,15,10,3,3,60,0,7,15,19,16,12,3,0,70,28,109,97,50,70,51,16,8,431,19,76,78,99,91,55,26,12,458,93,179,118,122,95,34,16,4,662,15,17,9,12,13,3,0,0,75,15,18,21,18,20,8,5,3,109,124,212,151,151,124,46,22,6,839,4,3,0,3,4,3,3,0,22,65,46,33,81,98,96,110,69,597,245,469,384,414,413,274,187,95,2481,3,22
UCL213004,0,17,10,12,13,11,6,0,69,0,12,5,5,14,10,3,0,52,13,60,47,35,49,42,14,9,272,13,62,52,50,52,54,17,0,297,124,330,244,233,203,158,89,19,1405,7,10,6,3,0,4,0,0,30,0,12,8,8,6,12,4,0,61,140,347,256,245,214,176,95,22,1498,0,3,5,0,3,5,0,0,20,58,55,60,67,59,72,58,24,454,215,551,432,417,401,373,203,57,2650,3,18,14,12,14,3,0,0,74,3,25,32,27,35,7,3,0,126,27,139,97,78,72,55,24,3,497,26,110,94,100,69,61,21,13,495,119,206,147,127,96,51,14,0,749,16,18,19,11,12,10,0,0,89,9,26,17,24,25,26,3,3,129,148,247,184,156,123,88,16,4,968,0,6,4,0,12,3,0,7,34,57,46,61,89,83,102,76,35,554,267,590,486,467,410,318,145,68,2746,3,33
UCL213005,0,8,19,16,24,18,9,0,90,0,3,13,8,21,17,8,0,75,14,65,70,64,80,56,14,7,371,14,46,61,80,90,74,40,11,421,109,249,251,247,255,203,123,35,1475,16,7,7,3,3,4,3,0,45,3,10,9,11,17,20,12,3,83,126,268,266,266,275,229,136,39,1596,4,5,9,0,8,3,10,0,34,56,29,48,44,62,75,85,43,440,213,429,489,485,562,468,286,94,3022,0,17,26,18,12,16,4,0,93,4,20,34,28,32,12,10,0,138,37,130,144,117,95,70,31,4,620,42,96,106,118,148,81,41,6,637,89,167,153,161,116,60,24,3,774,11,19,16,15,10,14,3,0,80,7,17,22,25,38,27,14,3,148,102,205,191,203,165,100,42,7,1007,0,0,3,3,4,12,3,3,32,46,37,41,60,71,105,120,71,553,235,497,539,547,534,389,245,94,3085,0,27
UCL213006,0,10,9,3,4,4,4,0,42,0,12,12,6,8,11,3,0,59,12,78,86,58,69,34,10,3,344,6,44,50,51,49,47,20,4,265,117,267,243,279,207,173,86,34,1404,7,9,5,6,0,4,0,0,38,4,12,11,10,10,12,5,3,60,131,288,256,291,221,187,93,36,1503,0,4,3,0,5,3,5,0,29,70,59,60,69,86,93,97,53,589,222,499,476,483,449,387,234,94,2833,0,26,30,13,12,3,0,0,83,6,28,36,23,20,11,3,0,122,29,150,149,89,84,44,24,7,568,27,104,77,100,101,65,33,12,510,86,146,156,155,100,51,13,7,719,16,17,12,8,12,3,4,0,72,10,7,14,24,20,26,7,3,109,112,173,181,193,134,80,23,9,903,0,3,0,0,3,7,3,3,26,82,72,54,73,103,130,141,95,750,262,555,528,488,455,335,224,123,2966,0,38
UCL213007,3,16,33,22,15,11,4,0,106,0,20,11,14,12,3,0,0,60,18,102,78,72,57,38,10,3,385,9,58,67,67,95,58,22,5,380,178,388,249,273,261,136,62,25,1577,12,18,6,5,5,13,7,0,70,8,6,10,14,13,11,6,0,75,204,416,265,293,279,160,72,25,1713,3,5,0,0,4,5,11,3,30,70,82,65,84,76,88,73,39,574,311,700,528,550,541,359,187,75,3252,6,34,41,17,11,9,3,0,124,3,40,38,39,35,10,4,3,170,70,230,167,118,119,61,19,11,792,37,119,143,120,142,70,35,14,687,118,231,171,138,117,46,16,8,847,25,30,19,14,20,6,0,5,115,7,19,30,23,32,18,7,3,134,158,277,223,166,167,69,18,14,1094,6,4,3,12,8,9,4,3,42,84,64,62,65,106,126,104,68,678,367,774,662,541,590,349,195,114,3588,9,52
UCL213008,0,25,29,21,14,3,5,0,95,0,8,11,14,6,11,0,0,53,31,109,114,82,46,24,3,3,412,25,77,122,92,89,57,15,7,479,153,307,299,298,221,158,59,11,1511,13,6,10,8,4,0,0,0,42,8,15,10,14,16,9,7,3,84,170,330,324,320,241,170,68,16,1640,0,6,9,7,3,9,0,0,27,46,38,53,43,50,43,25,6,312,272,594,661,575,455,309,119,35,3019,0,30,33,19,19,4,0,0,100,0,32,40,32,17,5,0,0,124,33,231,230,90,64,33,11,0,689,48,146,156,112,99,35,10,3,617,109,203,186,186,95,32,6,0,813,13,18,21,15,13,7,0,0,81,11,21,27,17,24,13,3,4,115,137,243,227,211,129,47,11,3,1010,0,0,16,6,11,5,0,3,38,46,51,56,57,47,56,54,31,385,268,728,755,525,375,190,97,39,2969,0,54
UCL213009,0,13,22,10,11,14,3,0,76,0,0,10,12,15,13,0,0,47,9,75,83,53,37,37,14,3,305,17,85,92,80,66,53,18,3,417,111,358,246,243,199,152,88,26,1426,8,5,4,4,3,5,0,0,36,13,16,17,12,13,14,6,0,86,128,388,271,262,216,166,91,26,1550,0,3,4,3,4,6,3,3,19,46,34,35,37,41,53,36,19,304,204,600,508,453,389,333,172,55,2724,0,34,21,18,9,11,3,0,96,0,25,25,15,22,9,0,3,104,30,214,154,84,60,46,13,3,603,48,135,149,114,84,67,25,6,623,104,227,160,148,108,52,20,3,808,4,14,16,16,9,8,0,0,73,10,7,21,18,21,17,7,3,112,118,252,199,181,139,75,26,6,992,0,8,3,3,6,3,10,3,34,44,32,37,41,59,69,56,27,369,244,701,589,457,374,277,138,47,2827,4,45
UCL213010,0,5,9,7,3,7,5,0,39,0,6,4,8,8,6,0,0,37,14,44,35,35,44,24,13,3,216,13,38,51,55,82,49,25,7,323,172,318,269,348,352,256,142,39,1904,15,14,15,6,11,4,0,0,68,8,14,12,14,13,24,13,3,99,203,354,295,372,374,284,156,39,2067,0,5,8,3,9,3,3,3,36,111,75,88,107,127,136,101,48,796,342,534,481,583,658,509,300,107,3511,3,23,8,5,8,6,4,0,55,0,22,19,14,18,10,0,0,87,41,105,75,73,78,52,16,9,437,40,90,76,110,116,52,21,7,504,157,235,168,175,123,52,9,3,913,34,34,30,14,16,3,4,0,122,12,19,33,31,30,19,5,0,155,196,281,225,220,170,69,18,5,1192,0,4,3,6,5,5,4,3,33,97,81,67,93,127,147,149,80,846,382,595,473,518,515,345,213,108,3147,3,26
UCL213011,0,6,9,8,13,3,3,0,37,0,9,10,7,15,6,0,0,52,17,66,34,37,33,18,7,3,215,18,50,42,48,67,47,14,5,288,135,259,202,259,285,217,105,45,1499,17,14,14,9,4,4,0,0,64,5,13,7,12,12,11,3,0,73,155,289,228,281,297,230,108,50,1633,6,6,11,9,5,4,3,0,30,114,105,97,123,126,118,91,29,805,308,521,423,515,560,419,222,87,3060,0,14,9,8,9,3,0,0,41,0,15,9,12,11,3,3,0,57,29,106,75,54,50,27,15,3,353,32,80,77,79,60,40,15,3,384,97,182,129,142,92,49,12,7,715,32,26,21,13,12,15,3,0,131,16,19,19,19,19,11,4,3,118,149,233,167,180,129,75,23,11,962,3,0,4,6,8,12,4,0,40,96,119,75,111,116,124,139,46,830,313,571,418,453,382,273,198,62,2667,0,21
UCL213012,0,21,63,76,66,58,20,9,309,0,17,38,50,61,40,5,0,205,32,164,279,198,192,143,48,9,1067,13,58,142,119,161,133,46,12,683,122,298,377,300,341,228,98,28,1799,10,3,5,3,8,4,0,0,35,5,7,14,11,22,25,3,6,96,141,306,399,313,368,261,108,37,1928,0,0,9,4,12,9,6,0,40,44,45,70,61,69,93,41,21,438,228,613,989,819,926,736,271,94,4672,3,57,111,76,47,45,0,0,339,4,61,99,102,100,52,3,0,414,38,309,442,313,263,153,43,6,1569,33,130,192,204,222,151,54,25,1013,81,119,174,173,137,67,9,5,759,12,9,17,8,10,6,4,0,73,3,11,17,34,40,33,17,9,159,101,142,207,212,185,106,33,11,988,0,3,3,12,12,13,8,5,57,38,50,57,61,101,131,74,43,551,213,752,1107,981,928,648,214,91,4939,3,77
UCL213013,0,3,9,7,11,3,4,0,38,0,0,9,10,3,7,3,0,32,7,39,48,40,39,25,7,0,206,11,14,29,35,47,28,11,4,177,99,201,196,233,214,130,56,13,1131,13,13,4,0,4,3,0,0,41,3,15,11,11,13,11,3,3,67,110,222,207,246,230,151,62,18,1238,0,0,3,3,0,3,4,0,16,72,51,61,74,87,77,63,27,513,202,333,365,408,417,297,152,52,2224,0,12,9,16,9,0,3,0,38,3,11,22,15,20,6,0,0,82,16,88,96,54,57,35,14,7,353,22,54,76,80,77,45,22,9,381,58,117,134,110,100,24,10,0,552,22,7,16,20,10,9,0,0,85,12,9,10,24,20,10,5,0,95,91,138,161,145,135,40,12,3,731,3,0,0,3,7,5,7,4,26,62,50,57,52,103,101,75,55,545,199,352,411,363,404,229,129,73,2161,4,15
UCL213014,0,23,24,23,11,12,0,3,99,0,13,17,25,9,13,0,0,79,20,121,110,55,63,31,14,10,432,13,74,84,79,77,41,22,4,397,148,276,229,242,229,180,78,15,1399,16,15,4,3,9,0,0,0,46,4,11,5,5,23,4,9,0,54,166,295,242,249,255,183,84,18,1501,0,10,11,7,7,8,0,3,42,81,77,75,81,74,77,74,38,579,289,617,569,514,506,359,209,78,3138,3,46,30,28,15,6,3,0,131,4,38,40,43,33,12,7,0,170,44,205,168,110,112,53,23,11,720,31,115,100,103,93,69,28,19,550,92,196,118,151,101,37,12,10,725,16,8,8,25,15,7,3,0,78,12,21,21,27,20,14,4,3,118,125,226,156,201,135,50,21,7,927,3,16,3,6,7,7,4,0,45,65,74,64,87,110,112,94,60,668,274,720,564,569,499,305,171,100,3203,4,73
UCL213015,3,12,7,7,10,0,0,0,31,0,3,12,5,9,3,0,0,43,21,72,62,44,35,13,0,3,256,15,56,61,35,50,24,16,5,251,115,238,165,176,139,99,37,10,977,5,8,7,3,3,0,0,0,27,7,9,10,4,7,9,4,0,46,125,259,177,189,146,104,40,12,1048,0,8,0,4,3,0,4,3,19,98,88,76,82,74,95,66,30,611,255,489,393,365,334,243,121,58,2261,3,10,22,4,10,0,0,0,53,0,18,16,20,20,8,0,0,85,34,167,96,65,44,23,14,7,458,21,64,68,70,66,41,17,8,353,88,144,85,86,58,22,12,4,503,18,13,10,12,8,6,0,0,70,11,16,18,19,16,5,3,0,84,119,173,123,113,84,34,11,4,662,3,4,7,3,0,5,8,0,28,90,74,77,75,86,112,94,55,665,275,506,408,358,307,221,145,78,2304,3,20
UCL213016,0,37,92,87,38,41,18,0,313,3,23,38,29,51,23,6,0,164,35,231,378,220,161,128,27,6,1193,19,97,128,137,128,102,36,15,660,79,272,355,330,235,146,79,22,1523,3,3,7,8,4,4,0,0,29,0,11,14,11,7,19,9,3,80,83,286,376,352,251,173,85,20,1628,3,3,13,6,6,7,0,3,40,58,49,76,76,76,65,40,15,457,209,721,1108,913,705,541,213,61,4462,4,73,124,66,51,24,3,0,344,4,57,87,62,76,29,6,0,315,48,427,454,280,198,104,24,6,1540,26,133,219,199,150,124,34,17,903,50,132,137,142,88,40,13,0,601,8,4,15,16,19,11,0,0,76,3,13,32,32,25,23,11,3,145,65,151,178,189,127,79,21,3,820,0,3,3,6,8,10,11,3,40,55,57,83,83,66,91,64,32,526,200,901,1150,889,673,452,163,68,4496,3,104
UCL213017,0,21,35,28,24,14,3,0,123,0,14,17,27,33,19,8,0,106,24,111,105,84,109,38,34,11,509,32,53,89,96,95,71,31,7,475,193,352,317,333,299,223,105,41,1863,15,17,12,8,10,7,3,0,66,9,16,24,21,15,20,3,3,104,217,382,356,358,322,247,115,46,2038,0,12,5,4,9,6,6,0,46,93,69,98,83,106,106,123,96,781,367,661,700,687,698,496,315,164,4088,3,40,37,29,18,17,0,0,147,0,35,37,55,39,17,13,0,202,67,240,218,137,133,87,35,8,936,43,140,136,169,151,91,60,18,804,147,241,215,183,140,65,15,11,1015,27,10,20,24,22,13,3,0,124,16,20,49,30,32,14,16,3,183,189,275,281,232,199,97,33,13,1323,0,6,6,7,7,11,9,3,50,112,54,76,92,124,163,176,214,1021,420,796,789,723,683,477,327,264,4471,3,62
UCL213018,0,21,28,35,37,28,8,0,156,3,9,21,23,31,24,4,0,119,25,113,105,90,98,64,21,3,518,11,55,67,78,71,68,31,9,395,142,303,227,268,222,208,99,29,1503,9,5,6,5,0,4,0,0,37,0,8,9,18,10,6,6,4,69,154,322,247,286,238,218,105,34,1602,0,7,4,3,3,6,5,3,37,56,46,53,81,70,91,67,30,485,250,577,520,592,552,495,252,79,3311,5,32,44,33,38,18,3,0,165,0,27,35,35,64,24,3,0,193,30,192,182,137,130,86,26,5,794,39,104,122,161,113,72,49,15,671,103,185,138,162,90,64,15,3,764,21,18,16,25,20,9,3,0,116,18,20,21,23,27,27,8,0,135,142,223,178,206,132,96,19,3,1012,3,9,4,3,4,17,6,3,51,55,55,62,65,100,122,104,55,625,282,641,627,643,577,439,215,86,3514,5,47
UCL214001,0,7,3,5,3,3,0,0,20,0,3,0,4,9,5,0,0,22,6,29,25,25,34,10,4,3,132,9,17,25,43,30,42,8,3,174,46,114,117,128,111,88,50,10,662,9,7,7,3,3,0,0,0,29,8,3,10,12,6,7,0,0,44,60,126,131,138,125,96,50,13,733,4,6,3,3,5,3,4,0,26,39,36,26,30,43,41,37,13,266,111,221,209,258,248,201,101,35,1382,5,13,9,0,4,5,0,0,33,0,11,12,21,7,14,0,0,66,25,58,44,48,43,24,10,5,261,13,32,43,58,53,49,12,3,272,34,80,78,97,51,39,3,0,375,6,5,8,10,5,0,0,0,39,5,14,11,6,12,12,3,3,70,44,96,97,114,68,53,9,6,486,3,6,3,3,5,4,3,0,28,37,29,38,32,41,58,62,37,326,131,240,243,283,233,203,98,50,1476,0,16
UCL214002,0,10,5,5,8,8,3,0,43,0,3,9,8,14,15,4,0,48,5,34,32,36,37,31,16,5,198,6,33,28,46,46,53,33,7,254,81,149,129,167,175,131,80,42,954,10,8,3,0,3,3,0,0,29,7,3,11,8,6,16,3,3,64,98,161,144,170,190,154,84,42,1045,0,0,0,0,4,3,4,3,14,51,40,47,55,60,81,66,32,446,164,281,268,328,365,344,207,91,2038,0,10,9,11,24,3,4,0,65,0,11,17,26,17,12,5,0,87,21,87,59,59,58,46,22,11,357,21,53,62,84,76,65,28,9,397,65,99,93,103,89,41,16,6,514,20,15,11,11,4,7,4,3,80,7,7,21,12,15,12,0,4,83,95,124,124,125,105,69,23,17,676,0,0,0,5,11,3,3,0,30,62,44,46,66,92,97,98,55,554,193,328,317,371,379,292,178,98,2163,3,18
UCL214003,0,14,37,40,32,41,20,3,182,0,9,17,31,23,28,5,0,108,10,52,90,93,94,72,32,10,469,3,18,41,51,60,70,34,6,279,57,101,100,144,150,105,76,20,752,4,4,4,5,0,3,3,0,26,0,5,9,4,15,13,6,7,53,62,113,117,147,165,118,79,27,831,4,0,3,4,6,3,4,0,28,112,291,222,189,105,88,62,37,1110,197,492,538,552,485,411,235,88,3000,5,20,58,64,63,34,15,3,248,3,20,47,55,57,34,7,0,216,11,94,167,155,130,113,49,7,731,5,49,60,83,91,91,39,12,435,47,72,67,60,58,19,12,3,339,10,8,4,12,3,12,0,0,49,0,3,13,11,18,6,0,3,58,54,85,80,86,81,40,13,6,447,3,3,0,3,8,10,6,4,38,41,44,60,61,91,93,103,94,577,121,314,468,510,524,401,232,119,2691,4,34
UCL214004,0,4,4,4,0,0,0,0,11,0,0,3,3,0,3,0,0,16,6,24,26,19,18,7,3,0,104,3,16,6,17,14,18,7,0,96,44,92,76,84,84,66,51,11,510,3,4,3,3,0,0,0,0,18,4,3,11,4,3,5,3,0,35,46,96,86,98,89,78,49,15,560,3,0,3,0,0,0,0,5,12,28,39,20,24,41,46,49,15,267,93,187,150,168,173,156,109,35,1064,5,8,8,3,3,3,0,0,28,0,5,3,8,3,0,0,0,21,19,39,33,27,22,18,4,0,162,14,40,38,36,32,23,9,0,193,36,49,58,49,25,15,9,0,239,7,10,7,11,4,4,0,0,40,4,5,7,12,4,10,4,0,47,45,63,69,68,32,31,11,3,329,0,4,0,0,4,3,5,0,19,30,23,30,26,37,61,62,23,295,114,187,178,164,136,138,91,27,1044,5,13
UCL214005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,3,0,0,8,0,0,5,5,0,4,0,0,21,12,16,28,29,15,22,5,0,126,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,6,15,14,25,35,15,24,5,0,134,0,0,0,0,0,0,0,0,0,8,3,0,3,10,12,9,0,44,20,22,41,43,32,47,17,0,220,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,0,10,14,3,4,7,0,0,45,0,0,11,6,5,9,0,3,33,7,10,15,10,8,3,0,0,54,0,0,5,0,0,0,0,0,4,0,3,0,0,0,0,0,0,6,7,13,20,14,9,3,0,0,71,0,0,0,0,3,0,0,0,3,9,4,3,4,9,17,8,0,52,18,28,54,34,35,27,9,3,205,0,0
UCL214006,0,16,44,35,33,18,3,0,144,3,11,19,24,21,7,0,0,94,19,73,138,87,78,39,15,4,452,15,40,79,77,55,49,24,4,344,78,208,221,213,129,100,53,12,1006,6,3,9,3,0,0,0,0,17,6,4,10,11,6,8,3,0,58,89,218,242,221,139,110,55,12,1083,0,3,6,6,0,4,0,0,19,31,26,43,43,36,39,28,18,268,161,386,558,499,360,274,121,32,2405,0,21,39,28,15,11,0,0,118,0,23,50,45,20,22,0,0,164,47,173,244,133,77,43,7,10,737,24,86,129,101,62,45,24,14,481,41,87,86,99,54,28,7,3,407,11,10,11,11,3,0,0,0,45,3,13,16,19,21,14,10,3,107,56,107,118,135,78,49,10,7,556,3,3,6,3,4,12,3,0,31,21,32,42,46,41,71,36,48,332,159,441,624,490,303,243,92,72,2424,7,33
UCL214007,0,12,12,15,9,8,5,0,71,0,12,11,9,10,5,0,0,43,14,55,51,36,44,39,6,5,250,0,21,38,32,43,32,19,3,192,121,176,134,157,145,143,37,17,930,16,7,9,7,3,3,0,0,42,3,7,3,5,9,8,3,0,48,140,192,141,166,158,156,44,20,1021,0,0,4,3,7,4,3,0,11,42,31,30,46,59,58,66,29,356,196,316,289,306,334,295,145,56,1943,0,10,15,13,9,9,0,0,56,3,13,19,30,19,3,3,0,87,21,112,81,68,86,49,17,9,447,23,55,62,70,59,39,35,14,353,52,104,85,107,85,32,6,4,474,24,17,16,11,15,3,0,0,81,8,9,7,10,15,15,7,3,72,83,129,105,130,110,48,15,12,630,3,0,4,6,9,5,0,0,26,47,29,22,32,57,89,85,78,443,183,359,303,355,346,233,162,104,2043,0,26
