UCL_CODE_2016,South_Africa_Before_1946,South_Africa_1946_1955,South_Africa_1956_1965,South_Africa_1966_1975,South_Africa_1976_1985,South_Africa_1986_1995,South_Africa_1996_2005,South_Africa_2006_2010,South_Africa_2011,South_Africa_2012,South_Africa_2013,South_Africa_2014,South_Africa_2015,South_Africa_2016,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1946,Sri_Lanka_1946_1955,Sri_Lanka_1956_1965,Sri_Lanka_1966_1975,Sri_Lanka_1976_1985,Sri_Lanka_1986_1995,Sri_Lanka_1996_2005,Sri_Lanka_2006_2010,Sri_Lanka_2011,Sri_Lanka_2012,Sri_Lanka_2013,Sri_Lanka_2014,Sri_Lanka_2015,Sri_Lanka_2016,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Thailand_Before_1946,Thailand_1946_1955,Thailand_1956_1965,Thailand_1966_1975,Thailand_1976_1985,Thailand_1986_1995,Thailand_1996_2005,Thailand_2006_2010,Thailand_2011,Thailand_2012,Thailand_2013,Thailand_2014,Thailand_2015,Thailand_2016,Thailand_Yr_arrival_ns,Thailand_Tot,FYROM_Before_1946,FYROM_1946_1955,FYROM_1956_1965,FYROM_1966_1975,FYROM_1976_1985,FYROM_1986_1995,FYROM_1996_2005,FYROM_2006_2010,FYROM_2011,FYROM_2012,FYROM_2013,FYROM_2014,FYROM_2015,FYROM_2016,FYROM_arrival_ns,FYROM_Tot,Turkey_Before_1946,Turkey_1946_1955,Turkey_1956_1965,Turkey_1966_1975,Turkey_1976_1985,Turkey_1986_1995,Turkey_1996_2005,Turkey_2006_2010,Turkey_2011,Turkey_2012,Turkey_2013,Turkey_2014,Turkey_2015,Turkey_2016,Turkey_Yr_arrival_ns,Turkey_Tot,United_Kingdom_Before_1946,United_Kingdom_1946_1955,United_Kingdom_1956_1965,United_Kingdom_1966_1975,United_Kingdom_1976_1985,United_Kingdom_1986_1995,United_Kingdom_1996_2005,United_Kingdom_2006_2010,United_Kingdom_2011,United_Kingdom_2012,United_Kingdom_2013,United_Kingdom_2014,United_Kingdom_2015,United_Kingdom_2016,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1946,USA_1946_1955,USA_1956_1965,USA_1966_1975,USA_1976_1985,USA_1986_1995,USA_1996_2005,USA_2006_2010,United_States_America_2011,United_States_America_2012,United_States_America_2013,United_States_America_2014,United_States_America_2015,United_States_America_2016,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1946,Vietnam_1946_1955,Vietnam_1956_1965,Vietnam_1966_1975,Vietnam_1976_1985,Vietnam_1986_1995,Vietnam_1996_2005,Vietnam_2006_2010,Vietnam_2011,Vietnam_2012,Vietnam_2013,Vietnam_2014,Vietnam_2015,Vietnam_2016,Vietnam_Yr_arrival_NS,Vietnam_Tot,Zimbabwe_Before_1946,Zimbabwe_1946_1955,Zimbabwe_1956_1965,Zimbabwe_1966_1975,Zimbabwe_1976_1985,Zimbabwe_1986_1995,Zimbabwe_1996_2005,Zimbabwe_2006_2010,Zimbabwe_2011,Zimbabwe_2012,Zimbabwe_2013,Zimbabwe_2014,Zimbabwe_2015,Zimbabwe_2016,Zimbabwe_Yr_arrival_NS,Zimbabwe_Tot,Born_elsewhere_Before_1946,Born_elsewhere_1946_1955,Born_elsewhere_1956_1965,Born_elsewhere_1966_1975,Born_elsewhere_1976_1985,Born_elsewhere_1986_1995,Born_elsewhere_1996_2005,Born_elsewhere_2006_2010,Born_elsewhere_2011,Born_elsewhere_2012,Born_elsewhere_2013,Born_elsewhere_2014,Born_elsewhere_2015,Born_elsewhere_2016,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1946,Tot_1946_1955,Tot_1956_1965,Tot_1966_1975,Tot_1976_1985,Tot_1986_1995,Tot_1996_2005,Tot_2006_2010,Tot_2011,Tot_2012,Tot_2013,Tot_2014,Tot_2015,Tot_2016,Tot_Yr_arrival_NS,Tot_Tot
UCL212005,0,0,0,0,5,4,12,21,3,5,0,4,0,0,3,57,0,0,0,0,0,10,12,26,3,9,3,7,3,3,0,83,0,0,0,0,0,0,12,11,0,7,0,5,9,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,61,164,142,58,46,52,47,19,15,6,5,3,0,28,666,0,0,0,9,4,4,14,3,5,3,0,0,3,0,3,49,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,5,0,0,0,0,0,5,0,12,0,8,5,21,19,24,65,46,11,3,8,34,56,55,43,403,7,156,249,247,168,201,385,371,82,87,53,109,156,145,150,2557
UCL213001,0,0,4,3,5,7,9,18,0,9,0,0,0,3,3,57,0,0,0,6,0,0,0,0,0,4,0,7,5,4,0,21,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,54,155,239,91,62,67,67,5,3,4,3,3,0,30,794,0,0,0,3,5,4,6,7,0,0,3,0,0,0,5,36,0,0,0,3,5,0,3,8,0,0,5,0,3,0,0,33,0,0,0,0,0,0,3,0,4,3,0,0,0,0,0,14,0,7,23,71,33,16,25,28,3,6,9,4,5,0,4,244,8,162,286,446,235,184,269,282,41,43,40,39,24,20,81,2166
UCL213002,0,0,0,0,0,0,7,11,3,0,0,0,0,0,0,25,0,0,0,0,0,3,0,0,0,0,4,3,0,0,0,14,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,69,102,113,18,22,24,33,0,3,0,0,0,0,22,427,0,0,0,6,0,3,0,3,0,0,3,0,0,0,0,17,0,0,0,0,3,4,16,7,0,0,5,3,0,0,0,33,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,11,0,14,12,16,8,9,13,11,0,12,0,7,22,3,10,130,15,173,205,174,92,91,136,155,18,44,35,47,33,4,66,1276
UCL213003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,66,54,14,3,14,7,0,0,3,0,0,0,15,215,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,3,3,0,0,3,0,0,0,0,10,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,10,0,3,11,0,3,8,45,37,14,18,8,7,8,0,12,176,5,84,125,85,44,43,121,125,44,46,44,18,33,9,62,903
UCL213004,0,0,0,0,3,8,7,8,3,0,3,0,0,0,3,38,0,0,0,4,3,3,3,0,0,0,0,3,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,60,116,183,75,24,37,36,3,18,7,6,0,0,14,599,0,0,0,5,3,0,10,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,9,4,9,24,43,15,15,28,12,0,0,0,0,3,3,3,165,11,161,230,301,173,107,143,113,30,42,20,27,12,6,48,1425
UCL213005,0,3,0,3,9,7,9,16,0,0,0,0,0,0,3,47,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,12,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,90,197,219,78,73,47,74,14,5,7,0,5,7,23,847,0,3,0,8,7,6,9,3,0,0,5,0,0,0,0,36,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,4,0,0,0,0,10,0,18,25,24,13,6,16,5,3,0,8,0,7,6,4,130,6,224,347,355,170,144,144,160,25,29,36,8,17,11,50,1726
UCL213006,0,0,0,0,3,0,6,6,3,0,0,0,0,0,0,13,0,0,0,0,0,0,0,12,4,0,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,47,74,68,28,13,9,18,3,4,0,0,0,0,15,284,0,0,0,0,0,0,3,6,3,0,5,0,0,0,0,19,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11,13,13,8,6,7,8,3,0,7,3,0,0,0,80,10,111,124,115,70,59,87,119,39,26,39,26,23,20,46,907
UCL213007,0,0,4,0,0,3,10,9,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,4,0,9,0,0,0,3,0,21,0,0,0,0,0,0,3,14,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,20,5,30,52,55,18,5,11,12,0,4,13,4,0,0,3,220,0,0,0,3,3,0,4,5,3,0,0,0,0,0,0,21,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,11,3,11,13,8,7,10,28,42,10,3,0,0,4,0,7,144,9,100,118,102,57,49,109,252,36,39,28,31,19,24,35,1009
UCL213008,0,0,0,0,0,3,4,3,7,0,0,0,0,0,0,16,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,25,0,0,0,0,0,3,3,7,0,0,0,3,0,0,0,22,0,0,0,3,3,0,4,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,173,193,63,64,43,56,9,3,7,0,5,5,18,711,0,0,0,7,0,4,7,11,3,4,0,6,0,0,0,41,0,0,0,0,5,4,3,6,4,3,0,0,0,3,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,29,39,15,33,24,37,4,3,0,7,3,0,4,208,0,171,287,311,155,189,275,295,42,32,19,33,26,13,52,1900
UCL213009,0,0,0,6,3,6,6,11,4,0,0,6,0,0,0,46,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,9,0,48,130,146,58,42,28,31,7,7,4,3,0,3,17,519,0,0,0,3,0,3,9,3,0,0,0,0,3,0,4,32,0,0,0,0,8,0,0,7,0,0,0,0,0,0,0,11,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,15,4,11,25,27,9,12,14,10,5,10,0,0,0,0,4,136,3,177,249,261,126,134,128,190,27,23,19,21,33,13,52,1462
UCL213010,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,20,0,0,3,0,0,0,0,4,0,0,0,3,0,0,0,16,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,155,214,146,69,32,4,13,3,0,0,0,0,0,22,674,0,0,0,6,3,4,4,0,0,0,0,0,3,0,0,18,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,18,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,5,3,49,28,73,46,21,39,34,3,7,8,7,0,0,7,311,11,485,438,316,225,145,131,130,16,12,19,21,19,3,79,2042
UCL213011,0,0,0,0,5,0,10,4,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,25,0,0,0,0,0,0,3,4,0,0,0,3,4,3,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,135,160,113,32,13,4,0,0,0,0,0,0,0,23,495,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,15,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,27,50,27,18,55,77,11,9,4,3,6,3,19,324,14,347,524,333,166,106,155,192,26,36,30,31,31,19,87,2087
UCL213012,0,0,3,3,7,3,6,17,4,0,0,0,0,0,0,47,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,3,3,6,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,94,193,224,77,59,119,91,21,23,14,7,9,6,33,974,0,0,0,12,12,3,9,10,0,3,0,0,5,0,0,61,0,0,0,0,5,3,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,29,29,17,20,16,10,6,3,5,0,4,3,4,167,13,227,335,358,196,159,235,208,56,37,30,24,35,16,64,1998
UCL213013,0,0,0,0,0,0,11,14,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,4,0,0,0,0,3,0,3,19,0,0,0,0,0,3,4,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,82,78,29,12,5,10,0,0,3,0,0,0,15,269,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11,0,11,14,18,9,6,7,15,5,9,0,0,0,0,3,83,0,99,126,126,78,75,85,93,14,29,12,11,14,7,29,800
UCL213014,0,0,0,3,3,3,0,23,3,0,0,0,0,3,0,42,0,0,0,0,0,0,5,14,0,8,0,0,0,0,0,38,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,15,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,61,99,124,46,24,30,46,0,8,12,3,5,3,22,481,0,0,0,10,10,0,7,4,0,0,5,4,11,0,0,57,0,0,0,0,3,12,9,7,0,4,0,3,0,0,0,37,0,0,0,0,0,3,5,0,4,0,0,3,0,0,0,14,0,20,20,16,13,14,16,18,3,3,8,19,9,3,10,175,11,178,192,220,138,128,153,285,45,49,58,53,77,26,81,1695
UCL213015,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,7,0,0,6,0,3,0,0,20,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,21,28,10,4,3,10,0,0,0,4,0,0,10,110,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0,14,0,0,0,0,0,0,4,8,3,4,0,0,0,0,0,18,0,0,0,0,0,0,11,4,0,0,0,0,0,0,0,19,0,0,0,8,8,0,49,60,37,34,8,9,19,3,13,239,0,70,85,63,41,36,142,257,66,87,76,60,50,28,47,1100
UCL213016,0,0,3,7,18,6,32,29,0,3,0,0,15,0,0,106,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,7,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,59,113,156,81,60,110,127,32,17,32,22,21,3,21,851,0,0,0,9,7,9,12,22,7,0,13,9,6,0,3,109,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,3,16,20,30,16,17,21,25,13,5,10,13,16,3,11,233,4,177,234,297,199,163,304,326,70,62,74,59,74,15,77,2148
