CED_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED211,..,361,601,230,157,180,105,52,22,1712,..,131,591,726,848,1374,1836,1728,1020,8251,110,209,214,105,94,124,105,106,51,1118,12570,7876,9866,10463,9577,7887,6677,4244,1750,70909,..,265,8561,13833,11738,9373,7877,4226,964,56835,..,701,3024,1762,1341,704,284,54,8,7885,..,77,425,1192,1828,1095,514,382,273,5787,25578,..,..,..,..,..,..,..,..,25578,..,8503,..,..,..,..,..,..,..,8503,..,3717,2792,899,660,282,50,5,0,8414,..,810,636,216,240,451,377,270,152,3157,..,557,520,157,118,87,33,7,5,1478,..,951,1438,545,379,366,223,106,28,4034,..,287,1273,1554,1855,2329,2586,2243,1362,13489,247,394,459,245,221,208,169,157,74,2171,25826,16258,19120,20400,18383,14897,12122,7459,2864,137323
CED212,..,321,342,146,204,243,181,64,13,1518,..,176,549,613,955,1682,2098,1788,896,8753,182,265,229,126,130,156,177,107,55,1419,12060,7884,8263,9287,9917,8822,7372,4227,1568,69404,..,194,5326,10159,10765,9796,8311,4042,872,49462,..,998,3858,2569,2006,1164,522,127,24,11275,..,207,835,1689,2324,1201,503,374,247,7370,24579,..,..,..,..,..,..,..,..,24579,..,6980,..,..,..,..,..,..,..,6980,..,4950,2662,865,588,305,69,0,0,9445,..,622,432,178,225,386,365,273,153,2631,..,470,351,153,140,102,33,10,7,1266,..,577,844,400,481,497,358,141,31,3330,..,314,1274,1522,2219,2959,3147,2432,1258,15122,380,541,500,308,280,274,283,168,67,2801,24960,15852,16074,17838,19033,16682,13584,7578,2658,134259
CED213,..,145,169,112,203,271,182,64,16,1166,..,159,389,393,836,1706,2238,1752,1000,8473,205,310,220,137,158,271,281,146,48,1774,12325,6989,7152,8525,10068,10114,9104,4750,1781,70823,..,210,4970,9403,11234,11879,11285,5332,1208,55526,..,1009,3239,2626,2464,1644,790,198,28,11992,..,182,731,1532,1924,940,440,328,213,6296,24843,..,..,..,..,..,..,..,..,24843,..,6330,..,..,..,..,..,..,..,6330,..,4785,2229,783,532,262,40,3,0,8636,..,401,266,127,210,314,334,288,193,2139,..,381,265,130,155,111,40,18,13,1114,..,288,385,273,424,556,362,139,31,2466,..,334,883,1125,2038,3114,3623,2662,1446,15214,451,611,515,343,373,521,515,247,76,3649,25290,14531,13498,16337,19355,19345,17431,9217,3215,138206
CED214,..,911,1342,330,287,224,122,38,14,3263,..,289,999,1025,1211,1416,1457,1362,830,8589,190,269,327,201,120,145,136,155,62,1611,13373,8663,13866,12315,10184,7934,5467,3723,1555,77089,..,612,10038,13848,10606,8430,5988,3338,813,53674,..,826,5166,3728,2412,1097,317,55,8,13618,..,111,617,1487,1930,1278,598,577,303,6913,26860,..,..,..,..,..,..,..,..,26860,..,7435,..,..,..,..,..,..,..,7435,..,3663,3364,1231,904,432,76,3,0,9672,..,1243,1278,414,390,595,444,319,200,4880,..,808,1084,269,211,143,37,10,3,2566,..,2414,3946,1061,762,526,266,90,34,9099,..,623,2132,2243,2568,2782,2395,1962,1132,15839,365,520,736,429,342,286,246,211,92,3229,27228,18252,28365,24716,20130,15582,10367,6561,2579,153774
CED215,..,383,279,88,197,253,142,40,21,1401,..,261,565,474,927,1781,1849,1741,895,8492,244,340,243,121,200,286,272,125,42,1874,11398,6822,7253,7296,8841,9635,7570,4078,1422,64318,..,256,5189,7572,9422,11402,9752,4285,800,48666,..,1494,3110,2078,1925,1426,660,148,21,10862,..,270,1009,1528,1607,780,342,246,178,5960,22922,..,..,..,..,..,..,..,..,22922,..,5288,..,..,..,..,..,..,..,5288,..,3854,1474,632,442,211,38,3,0,6645,..,487,244,102,210,261,238,180,122,1838,..,336,236,94,96,58,28,10,8,868,..,785,667,242,406,479,327,107,30,3042,..,571,1390,1364,2252,3535,3434,2604,1232,16384,467,655,542,337,409,519,521,224,71,3750,23394,13989,13860,13948,16773,18673,15333,7806,2452,126223
CED216,..,417,564,155,161,166,103,58,29,1644,..,182,577,683,833,1381,1831,1642,1382,8514,125,152,193,101,99,125,101,100,56,1062,13096,7904,7283,9835,11586,8833,6493,3723,2253,71007,..,127,5060,12700,15439,11346,7963,3472,1128,57216,..,419,2560,1985,1820,1096,480,96,29,8494,..,41,188,888,1704,1041,393,260,288,4813,26211,..,..,..,..,..,..,..,..,26211,..,10305,..,..,..,..,..,..,..,10305,..,3051,2559,614,436,291,60,0,0,7010,..,596,378,112,129,240,248,256,202,2162,..,389,352,84,60,60,29,7,3,985,..,860,1351,376,343,341,208,101,47,3622,..,339,1156,1296,1680,2294,2691,2184,1772,13405,258,307,379,218,215,216,172,147,79,1995,26471,16425,13980,18267,21822,16931,12245,6526,3550,136218
CED217,..,237,302,184,211,197,105,29,4,1269,..,127,522,526,588,974,1011,621,229,4597,292,296,337,180,132,181,144,70,19,1652,21613,11861,14837,15205,11662,9237,5491,2057,615,92576,..,676,13110,19907,14933,11780,7267,2047,290,70014,..,988,3905,2644,1634,803,259,47,14,10284,..,302,1407,2593,2535,1412,608,296,111,9267,43334,..,..,..,..,..,..,..,..,43334,..,11598,..,..,..,..,..,..,..,11598,..,7121,5185,1441,586,171,25,5,0,14536,..,1436,1157,433,541,842,627,433,208,5680,..,609,697,302,262,165,70,19,6,2123,..,504,841,458,470,419,228,60,11,3003,..,294,1331,1571,1576,1848,1632,886,324,9450,556,582,706,438,318,289,254,111,28,3280,43889,24124,28328,29783,22852,17731,10961,3906,997,182567
CED218,..,2535,2736,410,164,170,102,45,19,6177,..,711,2298,1683,1169,1584,1817,1550,983,11792,79,310,393,148,90,118,114,86,29,1368,10179,10365,15416,9989,9126,7401,5717,3497,1556,73239,..,257,8146,11256,10978,8434,6365,3238,791,49465,..,1424,7030,2410,1516,862,388,91,12,13727,..,38,179,709,1368,914,360,299,199,4071,20478,..,..,..,..,..,..,..,..,20478,..,7792,..,..,..,..,..,..,..,7792,..,2045,2044,571,442,219,39,0,0,5358,..,1071,982,189,157,266,216,218,145,3244,..,683,843,142,72,38,17,12,7,1807,..,4437,5550,934,414,323,231,98,38,12018,..,1257,4206,3094,2404,2722,2747,2073,1299,19802,191,527,825,314,207,200,192,145,48,2654,20671,19532,29795,19620,17551,13971,10555,6184,2541,140421
CED219,..,193,271,158,174,183,121,44,8,1156,..,111,422,407,553,994,1052,808,336,4671,265,314,293,133,118,159,129,91,32,1540,21379,12551,15988,13978,11898,9401,5492,2682,850,94222,..,1035,15613,19798,15721,12336,6890,2627,443,74462,..,1214,3954,2333,1699,854,256,56,17,10375,..,310,1285,2073,2527,1428,588,311,168,8688,43278,..,..,..,..,..,..,..,..,43278,..,12181,..,..,..,..,..,..,..,12181,..,7640,5119,1225,577,231,40,0,0,14840,..,1591,1218,465,520,869,760,521,253,6191,..,747,794,376,248,166,62,28,10,2429,..,621,1060,564,464,443,258,85,14,3524,..,260,1161,1258,1537,1845,1654,1128,467,9315,557,611,706,373,287,272,219,148,46,3211,43830,26215,30913,28469,23578,18448,10724,4903,1419,188489
CED220,..,694,664,192,164,196,102,53,24,2085,..,134,461,493,594,1067,1351,1432,938,6468,156,152,213,145,120,137,140,112,62,1230,12587,8675,10440,10427,9957,8105,6249,4095,1858,72395,..,485,8809,13342,12238,9772,7536,4202,1084,57458,..,577,2518,1707,1345,729,269,69,14,7223,..,60,456,1338,1954,1320,579,478,354,6543,25701,..,..,..,..,..,..,..,..,25701,..,8653,..,..,..,..,..,..,..,8653,..,4031,3839,1342,940,406,78,3,0,10629,..,1261,1000,326,447,633,536,402,264,4867,..,909,936,270,243,155,52,22,7,2597,..,1700,1788,552,413,451,241,101,40,5281,..,305,1053,1175,1425,1992,2069,1971,1291,11278,304,331,444,320,251,248,231,166,101,2390,26002,18316,20844,20372,19242,15700,11586,7410,3154,142624
CED221,..,321,272,92,207,239,153,66,9,1357,..,174,473,476,928,1750,1834,1587,922,8144,206,338,250,132,182,280,244,136,62,1833,11506,6354,6594,7697,9109,9521,7327,3831,1504,63439,..,263,4694,8392,10230,11400,9210,3984,834,49020,..,1320,2937,2196,2047,1431,650,149,28,10762,..,212,829,1431,1613,709,322,262,176,5550,23093,..,..,..,..,..,..,..,..,23093,..,5291,..,..,..,..,..,..,..,5291,..,3553,1317,567,397,225,36,3,0,6100,..,412,196,93,161,310,289,194,116,1766,..,334,204,82,87,68,33,8,5,826,..,686,642,240,416,494,310,116,25,2931,..,429,1162,1238,2234,3403,3287,2290,1264,15301,426,683,554,321,396,518,452,234,94,3677,23521,13195,12531,14564,17579,18554,14599,7240,2539,124317
CED222,..,215,383,192,208,206,139,63,21,1418,..,159,662,709,874,1382,1749,1309,755,7604,184,243,211,141,127,126,119,90,62,1306,14197,8802,10717,11590,10771,8438,6091,3343,1392,75347,..,438,8763,14318,13127,10144,6849,3071,668,57384,..,792,3671,2626,1900,953,340,81,24,10397,..,141,681,1518,2090,1229,535,338,220,6753,28759,..,..,..,..,..,..,..,..,28759,..,8826,..,..,..,..,..,..,..,8826,..,4993,3432,998,577,257,47,4,0,10303,..,981,736,234,342,552,439,355,209,3844,..,588,503,211,168,112,43,12,7,1649,..,690,1179,617,504,428,275,112,34,3839,..,336,1430,1709,2083,2467,2688,1826,1022,13557,356,483,500,350,277,240,226,124,87,2644,29120,18267,20886,22594,21066,16387,11446,5925,2273,147964
CED223,..,443,502,140,126,150,90,24,18,1492,..,143,539,554,745,1315,1506,1270,815,6899,145,191,208,119,112,107,122,93,48,1145,12283,7830,8300,9796,9821,8739,6211,3402,1471,67849,..,167,5986,12489,12242,11073,8008,3488,808,54274,..,529,3105,2233,1611,982,368,56,14,8894,..,64,330,1059,1779,1147,465,388,244,5471,24794,..,..,..,..,..,..,..,..,24794,..,8649,..,..,..,..,..,..,..,8649,..,4002,3267,857,618,312,52,0,0,9121,..,665,526,182,181,310,279,244,173,2553,..,408,393,106,92,71,30,8,4,1117,..,897,1185,348,300,290,192,59,32,3302,..,285,1071,1243,1558,2249,2296,1717,1075,11485,271,355,419,243,254,193,192,124,63,2121,25065,16025,16291,18771,18631,16625,11884,6079,2408,131786
CED224,..,1256,1474,236,107,123,105,51,19,3375,..,412,989,855,762,1144,1558,1388,1055,8170,109,244,244,105,83,108,92,69,62,1118,11325,10215,9595,8973,10389,7988,5880,3435,1744,69544,..,168,5480,10994,13805,10776,7413,3470,991,53095,..,793,3667,1551,1169,672,316,89,27,8289,..,42,162,855,1671,950,341,268,185,4478,22873,..,..,..,..,..,..,..,..,22873,..,11130,..,..,..,..,..,..,..,11130,..,2696,2704,551,449,194,25,0,0,6616,..,1146,742,133,149,276,286,231,164,3120,..,717,565,98,66,53,16,4,4,1521,..,2488,3073,537,264,239,203,97,33,6929,..,970,1930,1571,1441,1812,2162,1833,1360,13082,205,466,485,200,185,174,145,106,88,2053,23076,20614,18810,16489,19199,15129,10918,6104,2852,133189
CED225,..,156,229,104,140,164,99,32,8,930,..,96,321,396,573,1057,1103,855,448,4850,165,292,198,96,99,139,117,60,29,1196,15449,9854,8995,11658,11475,8546,5272,2416,860,74520,..,275,7714,15598,15561,11501,6936,2674,472,60731,..,793,3234,2606,2231,1117,383,75,14,10442,..,132,561,1390,1990,1046,359,209,127,5815,31655,..,..,..,..,..,..,..,..,31655,..,10610,..,..,..,..,..,..,..,10610,..,6377,3257,711,380,165,37,0,0,10931,..,722,478,180,243,383,380,295,165,2836,..,461,397,168,141,89,39,9,7,1303,..,357,589,316,355,359,219,54,15,2271,..,212,748,1009,1398,1902,1693,1219,626,8804,338,534,433,255,223,244,212,100,38,2384,31997,20470,17407,22228,22526,16799,10252,4633,1466,147776
