CED_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
CED211,37,93,266,631,146,1312,46,626,36,3184,239,887,974,998,713,1202,211,594,81,5898,1723,5325,2313,1470,2058,1224,472,870,223,15683,2841,5945,1950,1261,2393,1023,480,786,237,16923,2494,4149,1802,1437,2588,1034,631,930,218,15289,1379,2643,1121,985,1786,667,547,758,123,10017,365,691,228,227,494,252,147,269,52,2735,39,76,24,21,39,29,15,41,26,308,9,11,0,0,0,0,0,0,8,29,9117,19808,8687,7028,10228,6737,2562,4884,1006,70071
CED212,51,53,416,631,140,1462,48,762,64,3619,335,535,1267,1055,551,1216,225,666,95,5951,1254,2896,2900,1525,1549,1178,575,979,210,13065,2369,3321,2392,1465,1937,1109,716,989,235,14532,2408,3062,2159,1731,2446,1219,969,1254,237,15485,1564,2204,1569,1168,1905,928,797,983,158,11264,385,638,304,256,495,266,201,273,59,2885,45,75,28,14,34,26,10,39,19,292,10,7,9,0,4,3,4,3,15,49,8412,12796,11052,7846,9061,7403,3551,5955,1079,67140
CED213,92,55,705,774,107,1392,82,756,76,4034,283,372,1601,1086,422,866,186,764,89,5663,1122,1919,2842,1401,1166,986,445,1032,140,11042,2147,2471,2614,1371,1700,1111,681,1175,185,13450,2596,2648,2659,1728,2219,1289,1029,1530,244,15935,1983,2262,1920,1222,1863,1095,926,1323,197,12791,750,773,442,259,537,347,234,368,112,3816,175,84,26,14,50,23,27,58,25,485,21,13,7,4,11,3,0,3,18,78,9163,10583,12815,7852,8065,7115,3598,7015,1084,67294
CED214,27,60,165,453,121,1010,52,497,41,2424,319,906,857,1275,801,1330,348,927,149,6904,2436,6729,2841,2207,2977,1675,1169,1874,439,22334,3673,6443,2077,1512,2633,1127,1047,1231,358,20086,2723,3906,1728,1307,2380,945,1198,1278,304,15770,1191,2120,1050,775,1453,507,955,1043,157,9244,205,395,163,146,246,118,177,215,44,1697,21,32,20,6,16,12,16,20,11,153,3,6,5,0,3,0,4,6,3,30,10591,20591,8897,7679,10631,6721,4967,7081,1495,78644
CED215,71,36,443,459,100,1306,61,722,63,3274,286,463,1163,801,433,714,199,637,76,4776,1050,2139,2145,1247,1188,822,657,1213,185,10642,1507,1971,1811,1223,1409,854,806,1209,158,10940,1883,2033,1937,1563,1862,879,1104,1582,202,13047,1860,1866,1494,1258,1503,771,996,1460,214,11432,894,409,298,227,321,191,231,345,79,3011,236,51,36,17,23,26,17,37,35,478,39,6,4,3,7,0,10,5,12,81,7824,8980,9335,6806,6847,5558,4086,7212,1028,57676
CED216,41,104,120,856,158,1094,40,464,38,2917,265,940,544,1202,757,1218,128,384,69,5522,1693,4518,1259,1080,1422,1035,188,442,175,11807,4172,6062,1021,905,1744,978,172,282,213,15532,5070,6636,1230,1122,2545,1216,257,405,232,18713,2577,4402,868,773,1887,832,282,401,181,12204,733,1409,258,268,627,353,89,160,87,3978,91,147,21,27,61,44,9,26,24,459,12,4,0,3,9,4,0,0,22,57,14654,24225,5315,6236,9208,6763,1166,2572,1048,71187
CED217,69,55,506,522,185,1748,103,812,72,4082,360,745,1358,1155,978,1548,604,971,183,7895,1917,3980,3374,2204,3430,1729,2162,1756,493,21040,2782,4161,3153,2163,3733,1635,2535,2162,496,22822,1801,2022,2249,1881,2762,1236,2480,2226,326,16987,911,992,1279,1095,1550,690,1625,1559,176,9877,142,177,175,151,240,122,234,262,42,1544,8,13,6,10,10,3,17,20,7,97,0,0,3,0,0,0,3,0,4,17,7999,12148,12096,9182,12886,8715,9758,9768,1806,84360
CED218,36,106,84,696,162,767,29,293,29,2192,447,1782,620,1623,1109,1579,124,545,123,7948,3630,11471,2070,1977,3075,2109,306,830,430,25905,4125,7279,1035,819,1885,1012,158,324,245,16887,3782,5569,855,814,1989,947,184,331,233,14711,2099,3879,544,534,1434,613,190,334,159,9777,686,1454,177,164,567,275,73,134,95,3623,117,215,17,15,66,39,10,14,34,535,21,23,3,4,10,9,0,7,26,104,14955,31775,5417,6634,10302,7344,1064,2812,1380,81684
CED219,54,66,457,494,156,1676,139,805,88,3945,394,777,1664,1281,987,1717,664,1261,202,8961,2126,3978,4187,2649,3265,1980,2118,2388,462,23153,2286,3715,3605,2367,3097,1464,2433,2478,384,21836,1800,1989,2786,2000,2782,1190,2562,2413,315,17835,992,1257,1601,1137,1729,722,1747,1670,185,11048,164,216,271,158,299,141,242,319,47,1861,19,19,10,9,15,7,8,38,13,150,0,0,3,0,0,3,5,5,3,26,7846,12023,14582,10102,12340,8908,9930,11387,1697,88803
CED220,32,78,181,513,129,1238,55,530,47,2802,265,816,875,1026,763,1454,276,858,111,6438,1663,4616,2345,1532,2052,1399,835,1327,280,16056,2725,4803,2005,1294,2184,1122,827,1159,271,16386,2308,3312,1895,1305,2430,1093,1147,1501,264,15257,1134,1781,1321,845,1630,691,907,1214,166,9692,242,412,269,187,401,195,199,302,45,2255,22,47,32,12,26,25,15,40,12,230,9,9,3,3,3,4,3,3,16,48,8408,15880,8930,6718,9609,7217,4252,6938,1204,69157
CED221,72,54,643,662,131,1256,69,837,58,3785,251,360,1317,874,343,623,270,740,95,4879,1083,2048,2156,1338,986,826,623,1172,139,10370,1803,2455,1911,1347,1458,846,834,1217,210,12085,2409,2456,1977,1687,2013,1059,1230,1694,239,14755,2342,2261,1473,1318,1651,850,1088,1512,176,12666,1224,482,302,254,361,240,263,364,83,3569,337,45,23,16,33,15,16,46,45,577,65,11,8,3,10,11,11,5,16,137,9590,10169,9810,7505,6983,5723,4399,7586,1060,62829
CED222,36,73,362,537,142,1400,87,668,38,3340,286,740,1101,1100,767,1423,342,779,132,6666,1818,4278,2792,1691,2211,1392,939,1255,288,16673,2950,4698,2549,1603,2722,1247,1061,1255,333,18411,2827,3287,2251,1623,2825,1268,1342,1525,313,17246,1481,1947,1351,966,1924,781,1028,1085,162,10724,316,433,263,177,489,226,191,271,53,2421,34,42,20,10,33,14,13,34,16,217,3,9,4,0,3,0,0,3,8,35,9751,15508,10681,7699,11116,7759,5003,6868,1342,75735
CED223,41,81,301,612,169,1212,61,551,43,3078,255,887,989,1146,753,1182,173,512,70,5962,1509,4922,2106,1310,1755,947,325,569,190,13633,2912,5986,1795,1264,2120,806,338,562,229,16011,2990,4757,1687,1361,2684,918,500,707,237,15839,1916,3601,1228,988,2179,691,438,648,142,11822,402,941,291,219,538,214,133,201,49,2993,43,94,23,16,43,24,8,37,24,306,9,7,5,0,4,3,0,0,4,33,10072,21270,8416,6918,10248,6007,1982,3786,986,69680
CED224,46,148,86,896,231,1055,27,373,40,2909,361,1726,527,1545,1060,1683,141,507,119,7660,2077,6954,1332,1324,1938,1277,184,540,239,15862,3356,6131,706,604,1591,771,129,290,227,13793,4216,6470,785,784,2025,966,178,297,254,15989,2326,4699,527,519,1529,586,147,255,175,10767,690,1682,172,186,587,208,63,113,79,3769,111,214,21,17,52,32,3,27,37,524,13,37,3,3,3,7,0,3,9,75,13196,28056,4164,5881,9022,6589,872,2410,1175,71365
CED225,62,82,640,820,218,1780,71,978,74,4728,337,705,1595,1219,787,1417,314,757,113,7245,1473,3469,2907,1406,1940,1118,701,1021,218,14252,2890,4750,2862,1643,2954,1233,932,1138,257,18641,3113,3716,2972,1788,3394,1356,1346,1319,287,19298,1760,2371,1710,1128,2123,837,892,974,157,11949,372,521,281,167,404,185,185,257,46,2412,59,39,17,11,34,8,13,31,16,228,4,10,10,3,3,0,0,8,3,49,10068,15669,13002,8185,11861,7936,4452,6481,1164,78807
CED226,52,91,476,537,212,1760,144,862,69,4196,354,768,1464,1305,1064,1800,844,1234,184,9026,2845,6707,4115,3427,4500,2541,3151,2462,598,30338,3846,6746,3460,3001,4434,1861,2725,2034,526,28635,2528,3156,2499,2218,3505,1321,2533,1935,341,20045,1215,1578,1300,1093,1883,728,1581,1289,180,10859,215,250,198,150,295,140,240,267,51,1817,18,14,13,9,10,3,7,22,14,106,0,10,0,3,3,0,7,3,5,32,11068,19322,13526,11744,15913,10169,11234,10113,1966,105043
CED227,104,43,477,429,103,1298,50,864,67,3433,339,521,1048,740,398,694,206,888,78,4903,1349,2136,1865,1142,972,814,629,1440,156,10496,2096,1943,1304,1156,1231,853,717,1194,193,10692,2891,1957,1391,1507,1669,1072,1053,1636,176,13344,2716,1669,1185,1275,1389,810,1013,1577,196,11829,1259,322,251,242,324,175,237,385,86,3268,353,28,35,21,30,17,29,71,44,627,59,7,12,4,6,12,0,13,11,119,11154,8629,7560,6502,6136,5740,3933,8069,996,58717
CED228,46,84,208,514,188,1269,58,459,64,2890,330,1063,1018,1385,988,1733,410,999,175,8101,2009,5600,2692,2106,2646,1511,1183,1705,431,19882,2690,4412,1900,1314,2350,1029,1011,1305,381,16388,2546,3275,1768,1335,2417,1037,1265,1507,308,15461,1336,2159,1042,827,1661,637,905,1218,187,9966,245,472,237,136,357,151,173,279,65,2107,34,52,14,4,26,17,11,29,18,210,3,8,0,0,0,0,0,3,8,27,9237,17120,8886,7627,10627,7394,5010,7509,1629,75035
CED229,81,76,703,744,183,1966,124,1078,85,5039,388,719,1875,1509,927,1614,543,1127,149,8846,2327,4553,4791,2804,3391,1802,1814,1766,372,23614,3357,4850,3861,2593,3927,1638,1996,1723,357,24305,3071,3328,3136,2407,3790,1624,2007,1932,346,21646,1714,2206,1747,1375,2322,953,1341,1281,216,13154,471,470,328,231,463,218,255,264,68,2775,89,35,20,15,25,18,10,27,16,264,12,8,11,3,3,4,4,3,6,59,11513,16240,16471,11685,15038,9832,8097,9207,1626,99701
CED230,97,45,666,545,146,1377,81,982,79,4027,342,451,1532,977,571,992,295,942,101,6215,1519,2565,3226,1656,1780,1318,1039,1665,225,14985,2098,2527,2425,1513,1972,1066,1217,1536,262,14615,2473,2261,2399,1815,2172,1192,1443,1930,238,15916,1975,1986,1566,1215,1578,853,1195,1484,195,12036,932,451,295,213,382,184,286,355,78,3179,299,38,25,15,28,15,11,44,40,515,50,5,4,3,3,3,0,6,12,87,9776,10323,12143,7965,8631,6997,5567,8950,1220,71572
CED231,33,171,102,706,165,840,30,366,37,2448,641,2977,1004,3252,1576,2223,210,1130,193,13206,5641,21185,3663,4458,4947,3113,531,1993,741,46272,4356,9068,1407,1256,2258,915,362,656,340,20611,2847,4862,818,858,1588,641,331,578,247,12777,1666,3176,505,490,1058,404,237,380,130,8044,478,1113,121,129,320,103,55,110,58,2497,55,124,18,8,32,12,7,22,10,277,12,26,6,3,4,5,0,3,3,67,15721,42708,7643,11163,11941,8252,1765,5241,1762,106199
CED232,25,102,66,440,96,474,31,201,25,1450,425,1608,657,1590,1002,1257,131,488,125,7279,4780,13374,2986,2826,3828,2347,337,1069,525,32078,4876,8407,1293,1221,2255,1229,211,420,344,20265,3845,5296,831,826,1861,935,204,384,244,14426,2167,3867,547,508,1289,562,195,307,163,9598,717,1388,144,175,472,253,75,126,81,3417,84,172,22,12,66,30,10,19,21,438,15,29,6,0,15,3,0,3,12,87,16937,34246,6549,7595,10875,7094,1185,3019,1543,89039
CED233,41,108,230,624,169,1340,44,547,47,3156,312,1004,795,963,725,1464,130,477,101,5969,1525,4105,1438,954,1527,1075,251,475,226,11589,2696,4309,1355,895,1809,918,234,443,215,12871,3257,4193,1791,1360,2688,1234,444,771,227,15957,2076,2982,1130,843,1867,911,401,691,149,11043,588,890,314,235,538,281,130,197,69,3246,101,134,45,15,65,52,19,32,16,476,14,10,3,0,6,0,3,3,7,46,10605,17730,7103,5886,9397,7280,1657,3645,1053,64351
CED234,99,64,529,478,169,1463,57,891,87,3843,295,445,1137,719,358,614,212,900,84,4759,1357,2169,1974,1095,963,750,563,1595,151,10613,2125,2040,1633,1155,1317,849,754,1564,186,11617,2679,2009,1672,1482,1823,1079,1188,1971,195,14101,2570,1746,1237,1202,1387,787,1167,1747,173,12015,1084,415,219,247,303,216,285,393,80,3239,329,35,25,23,45,21,22,49,44,598,51,5,4,5,9,3,7,16,18,119,10588,8927,8423,6403,6382,5781,4249,9130,1011,60900
CED235,40,83,404,468,157,1640,63,683,68,3608,311,858,1370,1226,869,1717,395,845,132,7725,1684,4186,3298,2081,2562,1598,1453,1597,356,18801,2152,3685,2469,1669,2520,1179,1466,1468,281,16887,2006,2445,2171,1713,2853,1244,1557,1747,286,16029,1156,1537,1385,1202,1814,795,1193,1371,152,10607,208,295,236,186,297,131,216,292,46,1902,15,20,24,12,10,15,5,33,9,140,0,0,6,0,0,0,0,3,8,21,7566,13110,11365,8547,11082,8321,6353,8041,1340,75723
CED236,112,44,451,476,118,1395,72,969,67,3691,343,412,994,696,271,660,240,937,62,4609,1182,1806,1742,964,733,694,588,1405,120,9227,2015,1953,1543,1149,1208,726,776,1251,161,10779,2691,2101,1649,1577,1682,933,1203,1723,201,13768,2597,1809,1212,1268,1244,754,1017,1602,181,11687,1345,360,245,213,294,189,225,402,91,3345,380,29,26,13,36,27,18,73,51,640,53,4,3,7,5,6,5,5,22,112,10714,8514,7855,6367,5593,5370,4141,8368,957,57866
CED237,17,70,195,418,109,950,45,432,32,2274,354,1275,1030,1733,1039,1696,268,979,145,8513,2966,10070,3499,2764,3381,1971,940,1703,499,27787,3407,7750,2163,1459,2723,1056,731,876,292,20464,2369,4334,1644,1288,2464,884,749,939,200,14867,1070,2280,912,743,1372,472,593,693,125,8261,179,408,169,153,233,108,141,192,47,1629,28,40,13,12,20,9,9,34,24,184,4,10,0,0,3,0,0,3,10,36,10392,26239,9635,8569,11348,7135,3470,5855,1374,84018
CED294,6,0,9,15,0,16,4,10,0,64,20,28,35,79,16,31,9,66,5,289,52,183,113,99,60,39,48,104,13,726,38,74,62,38,33,21,55,51,20,386,36,52,37,26,23,17,48,44,14,300,22,53,30,19,26,10,30,28,5,215,5,4,3,4,9,4,3,0,0,42,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,178,405,297,277,182,134,200,307,57,2033
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,3,0,23
