CED_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
CED227,38206,38303,76506,6917,7656,14571,1118,1215,2332,8486,9232,17720,561,593,1149,766,847,1608,282,281,565,63,63,131,172,170,346,19,32,51,0,0,0,11479,12427,23903,1315,1255,2567,332,304,638,20045,21640,41681,6251,6202,12452,64497,66144,130639
CED228,42973,46057,89034,3744,3913,7662,592,595,1189,15579,15472,31054,510,588,1096,236,217,451,258,231,490,120,116,240,81,78,160,99,114,219,7,4,5,17473,17422,34900,6841,6577,13416,409,358,771,28468,28275,56744,5427,5457,10883,76869,79793,156659
CED229,49263,49549,98813,6355,6867,13217,982,1009,1989,26183,27608,53788,962,914,1878,308,275,587,284,309,593,114,140,250,209,174,381,89,93,186,3,0,3,29140,30523,59661,3851,4205,8057,437,377,812,39788,41964,81751,5984,6133,12117,95034,97646,192678
CED230,40367,41690,82053,8193,9036,17231,494,559,1049,17578,19490,37072,604,624,1228,129,158,289,275,269,541,100,115,218,91,102,193,36,38,68,3,0,4,19313,21360,40665,1289,1595,2889,370,338,709,29167,32330,61496,5932,6242,12175,75463,80271,155727
CED231,27755,29474,57232,4364,4555,8918,2187,2516,4699,22514,22984,45496,1675,1880,3551,748,840,1591,1136,1221,2362,411,503,911,178,184,360,617,605,1221,3,4,5,29462,30741,60199,23493,27010,50507,759,706,1468,58080,63010,121092,10948,10763,21709,96783,103245,200029
CED232,27111,28876,55983,4325,4372,8697,1697,1833,3536,18880,19470,38348,1266,1450,2714,457,449,898,710,768,1477,310,288,594,109,108,216,280,280,552,0,0,3,23698,24643,48341,11007,12172,23180,559,476,1033,39596,41656,81251,7790,7875,15666,74501,78406,152906
CED233,40444,42862,83304,2146,2209,4351,323,347,675,12485,13467,25954,304,343,646,138,159,301,154,153,306,47,52,100,17,26,41,53,69,124,0,0,0,13527,14615,28141,4271,4608,8886,215,229,443,20163,21661,41821,2671,3016,5687,63277,67538,130812
CED234,39610,39660,79272,7578,7901,15478,1190,1324,2515,9627,10428,20053,642,660,1302,169,197,365,269,260,535,121,138,254,90,84,171,35,29,66,0,0,0,12133,13118,25256,1571,1649,3219,342,319,664,21625,22982,44609,6548,6373,12926,67786,69012,136798
CED235,45998,47126,93125,2465,2480,4944,519,486,1006,17512,17713,35228,376,410,781,193,189,384,160,148,309,70,82,153,45,40,87,53,67,120,4,0,4,18946,19129,38070,5404,5690,11096,285,245,528,27101,27546,54645,4082,4348,8426,77180,79010,156189
CED236,37672,38118,75784,6736,7179,13908,427,447,874,9150,9893,19042,451,492,943,448,506,959,248,297,541,137,136,272,131,139,261,27,28,57,0,0,0,11026,11932,22958,857,921,1775,244,237,477,18862,20267,39129,6375,5366,11737,62904,63746,126648
CED237,38559,41876,80440,3604,3555,7161,1259,1352,2609,17683,18349,36032,931,993,1925,401,416,815,539,550,1087,211,227,435,98,93,191,288,329,617,3,0,3,21407,22311,43716,8056,7787,15842,550,546,1100,33617,34200,67815,5270,5484,10752,77450,81559,159010
CED294,534,315,849,155,88,242,121,100,227,1182,1019,2207,121,122,237,30,29,65,49,49,99,20,21,40,21,18,40,7,12,17,0,0,0,1557,1366,2915,459,487,945,62,48,110,2233,1988,4223,1355,772,2128,4117,3073,7193
CED297,12,0,7,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,16,0,13,0,0,0,0,0,0,16,0,13,3,0,3,28,4,29
