CED_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
CED214,5271,5275,10545,524,678,1198,14,10,22,43,66,111,141,59,194,25038,18167,43206,1194,1792,2980,263,6,265,408,63,476,1252,386,1644,236,125,362,806,943,1749,35185,27570,62757,712,748,1467,3,0,3,432,461,892,548,548,1091,86,204,286,177,87,264,1953,2057,4007,0,0,0,25,45,73,23,20,39,14,34,44,8,7,16,70,108,179,321,201,518,2345,2359,4700,486,537,1019,8,10,23,24,13,33,518,558,1080,1074,1628,2704,2520,4144,6673,425,306,739,42074,36571,78644
CED215,86,55,143,185,105,292,12,3,14,3,3,13,44,40,82,20896,18555,39450,1297,1361,2661,432,12,447,195,38,240,277,93,372,385,110,491,1094,963,2065,24910,21348,46259,6,10,12,0,0,0,3,4,5,15,13,29,6,11,12,7,0,7,33,37,66,0,0,0,0,0,0,10,6,17,9,17,26,3,4,10,27,23,49,232,114,346,285,173,460,28,14,45,3,3,8,21,3,23,54,17,70,1443,1604,3049,2802,4239,7042,396,398,795,29895,27784,57676
CED216,4644,3676,8325,237,311,550,6,0,6,221,196,414,66,46,113,21578,18833,40412,711,1327,2037,179,0,176,253,23,276,875,204,1080,270,140,412,718,928,1649,29751,25698,55447,498,313,812,0,0,0,337,322,668,587,435,1023,101,133,230,143,48,194,1664,1256,2920,0,0,0,17,26,41,10,17,25,13,21,39,4,3,8,44,62,108,240,172,415,1949,1494,3442,308,275,585,11,7,19,26,10,33,344,292,638,2139,2843,4985,2197,4015,6212,244,228,468,36625,34569,71187
CED217,2120,2423,4544,238,339,579,14,6,17,14,24,44,126,30,159,34053,24383,58433,1841,2505,4347,694,12,700,166,14,180,72,40,111,283,129,410,293,319,610,39911,30230,70140,361,391,750,0,0,0,70,101,170,801,707,1513,82,200,280,35,17,53,1349,1414,2756,0,0,0,0,0,0,32,16,54,30,48,75,3,8,8,70,76,140,332,175,510,1746,1663,3410,370,460,827,3,5,7,15,3,19,391,464,855,699,1428,2136,2546,4339,6882,516,417,934,45815,38550,84360
CED218,7160,6389,13547,299,372,665,13,5,22,1363,1899,3260,107,77,180,20464,17326,37789,676,1329,2007,98,12,111,293,34,325,1532,494,2031,249,180,428,2111,2577,4684,34363,30686,65056,408,352,757,0,0,0,906,984,1890,333,298,628,82,103,189,159,88,247,1886,1825,3709,0,0,0,52,64,112,7,14,20,7,14,20,5,4,13,77,101,175,326,239,570,2287,2170,4453,303,318,615,10,12,17,19,15,36,335,340,671,2028,2379,4408,2400,4148,6544,286,269,554,41702,39986,81684
CED219,1965,1798,3759,286,418,703,11,6,21,8,3,14,120,37,155,37507,26243,63748,2119,2481,4599,814,15,831,218,7,222,99,17,109,313,125,441,297,325,627,43755,31475,75234,324,375,701,0,0,0,54,67,116,642,384,1020,66,170,235,22,11,35,1103,1006,2110,0,0,0,0,0,0,33,26,57,25,64,86,9,6,12,64,91,160,352,159,511,1516,1254,2776,318,365,684,12,4,11,18,4,19,343,373,716,810,1548,2359,2502,4332,6828,537,354,890,49462,39334,88803
CED220,3160,2745,5911,446,585,1030,9,3,9,19,15,37,97,41,139,24452,19090,43542,1148,1942,3086,377,11,384,191,12,203,449,92,540,231,124,354,597,668,1267,31162,25338,56505,490,493,979,0,0,0,153,135,285,682,533,1217,103,164,268,81,26,111,1512,1349,2855,0,0,0,7,6,14,34,15,48,24,70,93,9,9,13,75,96,169,233,162,396,1815,1599,3415,295,385,681,9,8,17,8,4,13,313,401,710,1081,1446,2526,1989,3461,5447,316,237,551,36680,32476,69157
CED221,43,28,67,162,143,308,14,3,22,4,16,25,40,25,65,22507,19459,41968,1301,1444,2741,546,21,569,224,37,262,381,128,507,315,144,463,1714,1453,3168,27265,22897,50158,0,0,5,0,0,0,0,0,3,29,27,54,0,0,3,6,0,6,40,27,67,0,0,0,3,0,3,3,8,13,9,9,20,5,0,7,22,25,46,235,107,347,299,160,460,10,14,21,4,3,9,16,3,23,34,16,51,2076,2144,4220,2634,4464,7098,438,409,848,32741,30086,62829
CED222,2689,2283,4979,310,355,669,16,3,20,5,17,25,49,45,92,28581,22982,51567,1342,1765,3107,425,8,437,220,14,230,313,63,377,231,110,340,375,517,892,34565,28171,62731,307,276,583,0,0,0,112,87,204,572,433,1006,74,121,190,60,27,83,1123,940,2063,0,0,0,0,0,0,22,13,37,18,49,68,8,0,7,49,63,112,269,145,419,1445,1151,2596,220,228,447,4,7,8,9,6,12,239,234,467,1138,1749,2885,2258,4220,6481,343,235,577,39987,35753,75735
CED223,3625,2890,6514,429,483,913,8,9,19,28,49,74,67,37,104,22545,19555,42095,881,1370,2245,335,4,342,254,38,290,583,105,693,212,107,319,750,784,1534,29707,25429,55133,388,245,633,0,0,0,217,204,422,656,535,1192,99,158,254,103,25,129,1461,1172,2628,0,0,0,25,32,51,34,17,53,16,35,59,3,3,11,82,91,172,210,141,353,1754,1401,3156,289,291,578,9,11,13,16,9,25,305,311,615,1454,1934,3391,2325,4540,6864,279,245,524,35817,33855,69680
CED224,3717,3135,6852,756,733,1494,3,0,4,1692,1920,3616,95,55,152,19814,17053,36874,745,1549,2302,100,3,104,240,31,268,1024,249,1273,231,134,361,1250,1445,2698,29674,26321,55993,168,169,344,0,0,0,644,606,1251,296,238,532,51,85,136,79,47,125,1247,1146,2390,0,0,0,139,133,274,34,39,68,17,24,37,13,3,17,200,196,396,319,243,566,1763,1581,3347,251,227,479,25,18,42,17,10,36,293,261,557,2056,2536,4592,2334,4070,6398,216,258,471,36333,35029,71365
CED225,1836,1369,3206,196,190,386,18,3,21,10,9,18,34,25,59,30529,24814,55339,1458,1713,3168,646,17,666,204,17,221,114,18,130,208,127,333,375,392,775,35628,28697,64323,257,178,440,0,0,0,53,50,103,583,394,975,83,123,204,41,13,55,1015,760,1781,0,0,0,0,0,0,19,10,26,29,30,61,0,0,0,52,44,94,269,135,408,1340,937,2284,230,206,438,3,4,4,15,0,19,248,209,461,1463,2327,3792,2585,4707,7291,354,297,655,41627,37183,78807
CED226,4563,4010,8572,258,375,631,14,4,24,27,28,50,196,55,250,40021,26707,66725,2172,3089,5257,592,8,602,332,18,351,251,48,292,396,175,570,470,523,999,49293,35040,84335,906,788,1695,0,0,0,208,213,425,1275,862,2135,187,371,552,130,42,171,2698,2275,4978,0,0,3,3,4,6,25,24,47,18,54,74,5,11,18,55,92,146,435,233,668,3191,2604,5792,871,919,1790,4,10,19,18,9,27,891,937,1831,1239,2418,3656,3188,5224,8412,582,439,1018,58385,46661,105043
CED227,19,11,31,143,98,240,15,7,21,8,5,9,31,25,62,21166,17947,39117,1440,1587,3032,466,12,474,178,26,205,293,92,389,415,114,535,1766,1526,3289,25942,21451,47398,0,0,0,0,0,0,0,0,3,3,3,6,0,0,0,0,0,0,10,10,14,0,0,0,0,0,0,7,8,12,3,11,18,3,0,3,16,22,34,161,87,250,186,116,301,4,0,4,6,0,6,25,3,35,35,3,39,2300,2103,4402,2105,3619,5725,470,377,850,31038,27672,58717
CED228,2860,3044,5903,337,479,821,7,4,11,511,864,1369,107,67,177,26398,19092,45490,1307,2178,3478,348,9,359,291,33,325,571,140,711,279,143,416,619,713,1335,33636,26757,60400,660,646,1308,0,0,0,511,511,1021,474,429,899,78,148,230,54,16,67,1779,1754,3528,0,0,0,60,69,124,38,42,81,21,30,45,4,8,12,126,136,261,308,264,579,2210,2154,4372,444,537,980,11,9,19,14,11,24,466,561,1027,908,1340,2255,2296,3841,6138,477,375,857,39997,35036,75035
CED229,2012,2024,4036,218,217,439,12,9,20,12,19,34,131,25,158,38889,29940,68830,1889,2107,3994,965,19,981,172,20,188,132,21,152,281,133,415,667,599,1269,45388,35128,80517,403,316,717,0,0,0,54,76,134,935,714,1651,107,166,272,38,8,47,1536,1278,2816,0,0,0,3,3,10,35,44,75,20,38,63,0,4,7,60,87,147,397,177,571,1986,1543,3531,375,399,773,3,11,8,15,3,26,394,415,806,1484,2529,4015,3453,6430,9882,515,427,943,53227,46475,99701
CED230,746,569,1311,157,97,257,6,7,8,14,12,28,51,23,72,26779,22077,48855,1526,1487,3014,675,24,697,215,32,248,153,49,204,263,125,390,1060,882,1943,31651,25373,57026,122,93,211,0,0,0,26,19,39,164,136,300,27,35,61,36,6,39,376,280,657,0,0,0,0,0,0,7,7,20,10,14,25,0,4,5,24,24,51,268,101,368,672,406,1075,129,113,247,6,0,6,15,5,16,151,119,271,2037,2407,4445,2884,4999,7879,445,431,872,37843,33732,71572
CED231,4475,4404,8877,598,705,1304,20,4,21,7881,8912,16796,183,170,357,16221,13057,29277,691,1417,2107,85,0,90,490,87,580,3928,2281,6203,389,263,653,9673,9548,19215,44637,40854,85484,385,383,767,0,3,3,1128,1277,2403,123,121,240,49,79,128,191,109,295,1872,1965,3836,0,0,0,122,219,342,14,17,30,3,14,18,14,19,35,160,260,418,575,565,1144,2604,2796,5402,391,417,810,20,24,46,48,54,108,464,496,961,2240,2268,4509,3361,5615,8980,447,422,873,53755,52442,106199
CED232,2992,2962,5955,451,603,1055,24,3,30,5687,6740,12426,168,156,325,19825,16473,36304,796,1479,2269,97,7,104,550,96,639,2280,1101,3383,364,260,625,4654,4557,9211,37891,34430,72324,184,202,381,4,0,4,860,879,1733,144,120,260,25,47,65,99,69,164,1310,1309,2617,0,3,3,132,210,339,14,17,28,4,14,15,20,17,37,174,255,427,525,513,1037,2007,2073,4080,333,303,634,24,25,51,46,41,84,402,367,768,2327,2648,4972,2382,3923,6308,306,279,580,45311,43727,89039
CED233,675,522,1191,2023,1985,4005,3,5,10,14,27,40,45,21,74,23153,18775,41926,948,1734,2683,334,3,334,168,7,184,133,13,150,175,95,275,374,387,757,28051,23567,51622,365,224,587,0,0,0,19,16,40,422,218,640,43,62,109,11,0,13,866,531,1393,0,0,0,143,115,256,129,142,275,53,79,134,7,9,17,336,351,684,227,156,380,1422,1037,2455,222,177,396,48,41,83,15,3,15,280,227,505,1638,1972,3610,2064,3616,5678,275,211,486,33730,30624,64351
CED234,25,28,52,89,73,161,8,4,12,5,7,11,35,35,70,22235,18874,41115,1345,1590,2933,498,16,516,289,50,336,354,125,483,276,111,388,1505,1307,2815,26662,22217,48885,0,4,9,0,0,0,3,0,5,18,6,22,0,0,4,0,0,3,25,20,44,0,0,0,0,0,0,9,6,11,3,5,13,8,0,8,16,15,30,213,85,299,254,119,374,9,10,16,0,0,0,17,5,16,20,14,32,2324,2065,4393,2374,3974,6348,471,396,869,32113,28785,60900
CED235,2312,2203,4511,283,359,641,18,3,21,109,121,231,165,34,195,29618,22071,51691,1429,1918,3352,606,3,612,179,14,192,160,19,180,229,107,329,312,329,642,35425,27186,62604,395,366,763,0,0,0,111,108,215,670,509,1177,84,157,243,36,16,53,1298,1148,2450,0,0,0,16,17,34,20,17,43,16,40,54,6,7,17,64,84,151,255,170,428,1619,1408,3027,311,338,641,8,7,15,14,3,14,326,344,674,749,1291,2034,2327,4136,6467,492,420,913,40931,34792,75723
CED236,24,16,40,109,57,169,12,3,11,13,6,21,50,34,85,19982,17344,37325,1320,1402,2726,535,18,551,250,48,303,277,84,354,334,117,443,1766,1315,3082,24673,20444,45117,0,3,3,0,0,0,0,0,3,17,4,23,0,0,3,3,0,3,22,11,34,0,0,0,0,0,0,9,8,15,9,6,11,4,0,4,18,15,29,183,83,263,222,103,328,11,5,12,3,3,8,15,0,17,28,8,30,2715,2297,5012,2465,4112,6571,428,382,809,30529,27341,57866
CED237,4223,3859,8085,260,384,646,12,4,11,3295,4403,7703,140,75,212,22683,17456,40143,1022,1568,2581,292,4,299,427,64,489,2939,1822,4762,300,152,458,957,1153,2104,36538,30954,67494,360,344,701,0,0,0,678,724,1401,336,313,650,59,110,163,157,83,238,1590,1569,3158,0,0,0,161,307,468,17,26,39,8,20,24,10,12,19,192,362,556,507,478,978,2290,2401,4691,380,381,768,26,31,56,36,30,68,444,449,895,1313,1679,2992,2514,4636,7156,468,325,799,43574,40445,84018
CED294,60,36,101,22,18,42,0,0,0,39,49,85,10,3,10,582,275,859,70,59,126,17,0,17,14,0,14,17,8,19,36,16,50,140,83,227,1002,549,1552,9,18,24,0,0,0,5,9,20,4,7,8,0,0,0,4,0,7,29,35,64,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,13,7,14,39,41,83,14,9,21,0,0,0,0,0,0,12,9,24,25,38,69,138,134,274,19,18,33,1242,786,2033
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,23,0,23
