CED_CODE_2016,A_0_4_y_Indigenous_M,A_0_4_y_Indigenous_F,A_0_4_y_Indigenous_P,A_0_4_y_Non_Indigenous_M,A_0_4_y_Non_Indigenous_F,A_0_4_y_Non_Indigenous_P,A_0_4_y_Indig_stat_ns_M,A_0_4_y_Indig_stat_ns_F,A_0_4_y_Indig_stat_ns_P,A_0_4_y_Tot_M,A_0_4_y_Tot_F,A_0_4_y_Tot_P,A_5_9_y_Indigenous_M,A_5_9_y_Indigenous_F,A_5_9_y_Indigenous_P,A_5_9_y_Non_Indigenous_M,A_5_9_y_Non_Indigenous_F,A_5_9_y_Non_Indigenous_P,A_5_9_y_Indig_stat_ns_M,A_5_9_y_Indig_stat_ns_F,A_5_9_y_Indig_stat_ns_P,A_5_9_y_Tot_M,A_5_9_y_Tot_F,A_5_9_y_Tot_P,A_10_14_y_Indigenous_M,A_10_14_y_Indigenous_F,A_10_14_y_Indigenous_P,A_10_14_y_Non_Indig_M,A_10_14_y_Non_Indig_F,A_10_14_y_Non_Indig_P,A_10_14_y_Indig_stat_ns_M,A_10_14_y_Indig_stat_ns_F,A_10_14_y_Indig_stat_ns_P,A_10_14_y_Tot_M,A_10_14_y_Tot_F,A_10_14_y_Tot_P,A_15_19_y_Indigenous_M,A_15_19_y_Indigenous_F,A_15_19_y_Indigenous_P,A_15_19_y_Non_Indig_M,A_15_19_y_Non_Indig_F,A_15_19_y_Non_Indig_P,A_15_19_y_Indig_stat_ns_M,A_15_19_y_Indig_stat_ns_F,A_15_19_y_Indig_stat_ns_P,A_15_19_y_Tot_M,A_15_19_y_Tot_F,A_15_19_y_Tot_P,A_20_24_y_Indigenous_M,A_20_24_y_Indigenous_F,A_20_24_y_Indigenous_P,A_20_24_y_Non_Indig_M,A_20_24_y_Non_Indig_F,A_20_24_y_Non_Indig_P,A_20_24_y_Indig_stat_ns_M,A_20_24_y_Indig_stat_ns_F,A_20_24_y_Indig_stat_ns_P,A_20_24_y_Tot_M,A_20_24_y_Tot_F,A_20_24_y_Tot_P,A_25_29_y_Indigenous_M,A_25_29_y_Indigenous_F,A_25_29_y_Indigenous_P,A_25_29_y_Non_Indig_M,A_25_29_y_Non_Indig_F,A_25_29_y_Non_Indig_P,A_25_29_y_Indig_stat_ns_M,A_25_29_y_Indig_stat_ns_F,A_25_29_y_Indig_stat_ns_P,A_25_29_y_Tot_M,A_25_29_y_Tot_F,A_25_29_y_Tot_P,A_30_34_y_Indigenous_M,A_30_34_y_Indigenous_F,A_30_34_y_Indigenous_P,A_30_34_y_Non_Indig_M,A_30_34_y_Non_Indig_F,A_30_34_y_Non_Indig_P,A_30_34_y_Indig_stat_ns_M,A_30_34_y_Indig_stat_ns_F,A_30_34_y_Indig_stat_ns_P,A_30_34_y_Tot_M,A_30_34_y_Tot_F,A_30_34_y_Tot_P,A_35_39_y_Indigenous_M,A_35_39_y_Indigenous_F,A_35_39_y_Indigenous_P,A_35_39_y_Non_Indig_M,A_35_39_y_Non_Indig_F,A_35_39_y_Non_Indig_P,A_35_39_y_Indig_stat_ns_M,A_35_39_y_Indig_stat_ns_F,A_35_39_y_Indig_stat_ns_P,A_35_39_y_Tot_M,A_35_39_y_Tot_F,A_35_39_y_Tot_P,A_40_44_y_Indigenous_M,A_40_44_y_Indigenous_F,A_40_44_y_Indigenous_P,A_40_44_y_Non_Indig_M,A_40_44_y_Non_Indig_F,A_40_44_y_Non_Indig_P,A_40_44_y_Indig_stat_ns_M,A_40_44_y_Indig_stat_ns_F,A_40_44_y_Indig_stat_ns_P,A_40_44_y_Tot_M,A_40_44_y_Tot_F,A_40_44_y_Tot_P,A_45_49_y_Indigenous_M,A_45_49_y_Indigenous_F,A_45_49_y_Indigenous_P,A_45_49_y_Non_Indig_M,A_45_49_y_Non_Indig_F,A_45_49_y_Non_Indig_P,A_45_49_y_Indig_stat_ns_M,A_45_49_y_Indig_stat_ns_F,A_45_49_y_Indig_stat_ns_P,A_45_49_y_Tot_M,A_45_49_y_Tot_F,A_45_49_y_Tot_P,A_50_54_y_Indigenous_M,A_50_54_y_Indigenous_F,A_50_54_y_Indigenous_P,A_50_54_y_Non_Indig_M,A_50_54_y_Non_Indig_F,A_50_54_y_Non_Indig_P,A_50_54_y_Indig_stat_ns_M,A_50_54_y_Indig_stat_ns_F,A_50_54_y_Indig_stat_ns_P,A_50_54_y_Tot_M,A_50_54_y_Tot_F,A_50_54_y_Tot_P,A_55_59_y_Indigenous_M,A_55_59_y_Indigenous_F,A_55_59_y_Indigenous_P,A_55_59_y_Non_Indig_M,A_55_59_y_Non_Indig_F,A_55_59_y_Non_Indig_P,A_55_59_y_Indig_stat_ns_M,A_55_59_y_Indig_stat_ns_F,A_55_59_y_Indig_stat_ns_P,A_55_59_y_Tot_M,A_55_59_y_Tot_F,A_55_59_y_Tot_P,A_60_64_y_Indigenous_M,A_60_64_y_Indigenous_F,A_60_64_y_Indigenous_P,A_60_64_y_Non_Indig_M,A_60_64_y_Non_Indig_F,A_60_64_y_Non_Indig_P,A_60_64_y_Indig_stat_ns_M,A_60_64_y_Indig_stat_ns_F,A_60_64_y_Indig_stat_ns_P,A_60_64_y_Tot_M,A_60_64_y_Tot_F,A_60_64_y_Tot_P,A_65_y_ov_Indigenous_M,A_65_y_ov_Indigenous_F,A_65_y_ov_Indigenous_P,A_65_y_ov_Non_Indig_M,A_65_y_ov_Non_Indig_F,A_65_y_ov_Non_Indig_P,A_65_y_ov_Indig_stat_ns_M,A_65_y_ov_Indig_stat_ns_F,A_65_y_ov_Indig_stat_ns_P,A_65_y_ov_Tot_M,A_65_y_ov_Tot_F,A_65_y_ov_Tot_P,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Indigenous_P,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Non_Indigenous_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
CED211,31,33,57,4516,4342,8858,161,147,316,4711,4520,9235,20,30,46,4441,4364,8805,153,144,299,4618,4543,9158,30,24,59,4256,3815,8073,129,103,227,4417,3941,8356,17,22,40,4133,3963,8088,144,135,278,4295,4115,8412,24,20,52,4227,3894,8122,142,134,277,4395,4050,8448,17,22,34,4369,4516,8881,184,214,400,4566,4748,9316,14,18,30,4984,5413,10395,193,220,416,5192,5643,10842,10,17,30,5009,5188,10196,206,209,415,5230,5414,10644,23,21,43,5040,5347,10391,195,185,379,5259,5555,10810,20,16,39,4704,5098,9801,189,168,356,4910,5287,10201,7,10,20,4276,4572,8842,184,156,337,4463,4739,9203,9,15,24,3848,4151,7999,147,158,303,4002,4324,8322,15,13,25,3345,3906,7247,128,131,265,3489,4047,7534,15,35,50,10624,14136,24760,578,901,1479,11214,15076,26294,258,288,542,67771,72704,140473,2732,3014,5747,70760,76001,146767
CED212,76,53,128,4305,3944,8250,261,229,492,4644,4229,8874,72,62,133,4302,4133,8428,233,228,466,4607,4430,9036,65,56,125,4069,3802,7875,241,238,479,4372,4098,8476,82,61,141,4006,4046,8046,251,234,489,4333,4341,8675,49,47,96,3941,3883,7826,233,262,497,4224,4199,8419,34,53,83,3801,3942,7740,243,268,512,4082,4262,8336,43,28,74,4015,4318,8330,268,273,544,4326,4618,8948,35,39,72,4093,4387,8487,243,240,484,4370,4675,9044,48,45,94,4527,4899,9425,283,284,565,4857,5225,10078,40,46,85,4779,5173,9947,301,298,597,5119,5514,10631,29,33,65,4443,4762,9200,273,296,562,4738,5085,9826,28,19,44,4280,4700,8983,281,278,559,4591,4996,9583,12,31,48,3768,4287,8057,281,250,528,4059,4573,8632,40,42,82,11548,14401,25949,753,1028,1780,12343,15472,27811,641,636,1272,65880,70673,136544,4154,4407,8556,70672,75708,146381
CED213,76,70,145,4001,3670,7674,233,242,474,4310,3984,8286,85,86,174,4428,4284,8718,276,246,518,4793,4618,9410,86,76,163,4264,4096,8358,246,241,485,4593,4406,9003,90,65,161,4236,3771,8010,246,228,477,4577,4072,8643,62,50,116,3653,3267,6927,244,217,463,3965,3539,7498,49,45,98,3173,3370,6540,215,212,431,3434,3632,7067,33,38,75,3273,3776,7042,192,226,422,3504,4040,7543,37,56,90,3549,3840,7386,233,233,464,3817,4128,7940,40,33,81,4385,4712,9100,278,287,560,4708,5035,9745,38,43,81,4663,5222,9887,295,306,601,4992,5573,10568,38,34,70,4755,4939,9691,333,307,645,5123,5283,10406,32,27,62,4779,5294,10074,307,336,643,5125,5656,10784,32,34,65,4787,5270,10058,363,342,710,5188,5641,10832,51,44,98,15631,17315,32944,1264,1479,2739,16942,18835,35783,756,700,1462,69570,72832,142397,4726,4914,9638,75055,78445,153498
CED214,33,40,72,5566,5231,10801,355,332,689,5954,5605,11557,30,35,68,4556,4513,9069,285,267,553,4872,4817,9687,41,34,73,3556,3485,7040,204,206,417,3802,3727,7528,43,25,61,3828,3633,7463,230,196,421,4102,3854,7953,47,32,82,5640,4970,10610,375,332,711,6068,5335,11400,48,49,90,7041,6763,13807,446,483,929,7530,7295,14826,47,34,81,7426,7108,14535,493,455,952,7969,7599,15566,23,29,53,6654,6401,13050,453,363,817,7129,6788,13919,36,30,59,5858,5945,11806,364,397,758,6259,6367,12631,33,29,63,5216,5489,10701,349,298,644,5603,5810,11412,19,22,45,4795,4746,9543,320,284,602,5139,5049,10194,15,18,32,4301,4364,8669,295,257,555,4611,4644,9256,22,14,32,3454,3634,7087,223,221,442,3696,3873,7564,16,22,41,9186,11445,20639,778,923,1699,9987,12392,22380,450,410,864,77092,77722,154812,5177,5019,10196,82718,83151,165873
CED215,176,172,344,3689,3422,7107,289,309,594,4145,3899,8048,173,184,355,3943,3727,7669,344,302,645,4456,4209,8671,133,160,293,3796,3631,7420,302,300,607,4227,4092,8323,136,141,280,3713,3512,7220,320,284,604,4170,3930,8105,119,105,220,3435,3207,6642,325,323,649,3873,3634,7512,98,88,186,3384,3503,6888,286,301,590,3772,3891,7666,89,73,161,3525,3707,7233,289,313,600,3907,4087,7998,60,67,129,3423,3460,6881,261,244,507,3743,3776,7521,73,61,133,3547,3792,7340,298,313,613,3921,4171,8090,62,87,150,3922,4216,8132,352,340,692,4341,4643,8978,77,81,160,4262,4640,8906,377,389,772,4715,5118,9833,38,86,115,4662,5047,9710,432,396,826,5128,5527,10653,47,44,89,4751,4894,9646,407,405,810,5196,5343,10538,81,80,160,13654,14451,28109,1352,1486,2836,15085,16017,31107,1351,1435,2783,63701,65199,128903,5640,5705,11342,70685,72339,143033
CED216,5,6,11,3773,3760,7531,162,170,331,3947,3933,7877,9,10,17,4726,4650,9376,202,198,401,4942,4853,9794,10,9,25,4938,4757,9693,190,178,375,5145,4949,10093,7,10,17,4595,4223,8818,187,180,364,4796,4403,9201,12,9,25,3946,3755,7703,192,178,369,4153,3945,8093,14,8,24,3315,3430,6745,205,196,399,3535,3633,7168,8,5,16,3475,3933,7404,220,218,439,3701,4155,7857,5,3,16,3858,4292,8153,208,184,391,4069,4487,8557,11,10,20,4743,5670,10416,266,264,529,5025,5946,10971,12,5,18,5491,6296,11792,293,280,566,5792,6575,12373,3,21,24,5009,5432,10440,264,260,522,5277,5713,10990,9,3,9,4513,4954,9465,224,238,468,4743,5199,9944,4,6,8,3845,4103,7944,228,214,441,4077,4322,8394,10,12,20,10763,13948,24708,664,921,1587,11429,14884,26318,133,117,245,66998,73197,140191,3497,3687,7183,70625,76996,147627
CED217,83,100,178,7709,7430,15145,441,412,858,8234,7943,16177,109,91,199,7560,7459,15022,453,466,913,8121,8013,16133,84,70,154,6594,6312,12911,387,356,738,7069,6741,13806,66,86,150,6135,5831,11964,322,298,615,6526,6207,12732,67,71,141,6071,5861,11935,354,410,768,6502,6342,12841,71,77,146,6335,6830,13160,388,393,779,6788,7298,14084,63,54,116,7343,8034,15373,433,432,861,7837,8520,16355,48,53,107,7588,7868,15463,404,407,814,8047,8330,16377,39,43,83,7163,7367,14534,406,401,807,7616,7812,15429,34,43,80,6030,6358,12392,363,350,710,6426,6754,13183,30,31,67,5199,5252,10451,301,335,639,5536,5619,11154,30,29,62,4507,4820,9325,257,258,520,4793,5112,9908,15,12,28,4013,4422,8436,278,277,558,4307,4716,9024,23,23,41,7858,8447,16307,537,613,1152,8421,9080,17497,762,790,1554,90117,92290,182409,5331,5404,10735,96210,98479,194692
CED218,13,13,34,3602,3319,6925,186,182,365,3802,3516,7318,19,15,29,3624,3556,7178,163,171,327,3805,3735,7534,9,14,22,3331,3377,6708,146,122,266,3479,3520,6996,15,9,26,3482,3618,7105,184,185,368,3682,3811,7492,33,27,59,5780,6909,12689,378,438,820,6190,7375,13562,33,27,60,7554,8486,16046,647,679,1323,8235,9191,17427,22,18,42,7071,7146,14216,562,575,1128,7651,7738,15391,15,15,25,5286,5226,10519,383,353,734,5680,5596,11275,12,9,25,4560,4888,9447,315,283,598,4893,5184,10078,12,14,25,4534,4894,9423,292,270,564,4838,5176,10008,8,4,12,4106,4376,8484,279,235,518,4397,4616,9012,12,3,17,3653,4017,7671,240,244,479,3906,4261,8168,8,6,16,3122,3593,6716,189,228,414,3317,3832,7151,10,8,16,9159,11734,20898,708,901,1609,9878,12645,22521,215,185,403,68876,75144,144021,4662,4859,9523,73754,80188,153942
CED219,56,78,138,8156,7775,15932,438,382,826,8656,8240,16895,73,70,143,7603,7068,14674,395,365,755,8068,7506,15568,64,60,129,6388,6219,12604,294,315,610,6748,6594,13338,61,56,113,6553,6019,12565,303,292,600,6919,6364,13280,56,57,116,6957,6392,13348,409,344,754,7426,6790,14217,25,42,71,6922,7291,14218,416,398,813,7359,7731,15094,30,42,72,7968,8635,16603,436,441,880,8442,9120,17558,36,30,67,7659,7368,15021,405,356,759,8093,7750,15848,32,42,75,6829,6527,13353,353,324,678,7210,6899,14110,33,26,61,6045,6153,12202,313,313,620,6394,6493,12888,19,30,46,5640,5697,11334,309,307,613,5966,6031,11997,24,11,37,5017,5259,10276,289,301,592,5329,5578,10903,17,14,30,4100,4177,8273,220,234,459,4328,4431,8762,27,30,60,8395,9713,18102,571,680,1251,8986,10418,19411,555,594,1150,94221,94288,188509,5149,5060,10208,99928,99939,199864
CED220,16,16,35,4545,4393,8941,190,184,378,4753,4596,9348,23,19,36,4644,4276,8916,176,158,336,4846,4443,9291,16,24,44,4145,3843,7983,165,124,288,4322,3990,8316,20,16,33,4259,4031,8288,177,159,337,4452,4206,8662,11,23,33,5352,4638,9989,277,202,476,5635,4857,10492,12,9,24,5153,5003,10154,226,241,468,5396,5251,10646,15,8,22,5326,5465,10791,240,219,462,5581,5698,11271,13,8,23,5059,5149,10209,237,220,455,5312,5375,10688,11,17,34,4958,5324,10283,224,214,434,5194,5555,10755,17,17,30,4902,5388,10288,202,204,404,5122,5614,10727,11,13,18,4484,4610,9094,215,192,403,4706,4812,9518,13,4,19,4141,4343,8490,212,171,382,4366,4527,8890,3,9,11,3553,3848,7403,161,168,332,3715,4024,7740,12,21,30,10386,12911,23292,667,931,1600,11064,13868,24926,182,214,392,70914,73223,144139,3364,3383,6749,74463,76814,151282
CED221,121,140,258,3559,3427,6988,268,247,509,3946,3813,7758,136,148,281,4068,3896,7964,289,262,552,4503,4298,8798,136,121,259,3988,3824,7816,262,284,550,4387,4236,8627,128,129,259,3912,3621,7532,283,267,550,4324,4020,8349,93,85,178,3281,2852,6136,297,243,541,3671,3184,6854,58,77,139,3022,3153,6172,265,230,492,3346,3458,6804,58,65,123,3124,3475,6597,237,262,497,3414,3808,7220,53,64,120,3214,3625,6834,247,270,515,3508,3956,7467,42,57,97,3846,4091,7932,324,295,620,4210,4432,8650,49,72,125,4141,4453,8597,310,315,621,4503,4835,9344,49,61,112,4504,4722,9225,328,333,658,4886,5117,9996,49,68,115,4722,5085,9809,393,356,743,5157,5510,10667,32,37,71,4694,4759,9455,382,383,770,5114,5178,10293,50,55,107,12854,14038,26886,1122,1239,2365,14031,15329,29363,1071,1178,2248,62924,65022,127946,5004,4984,9983,69002,71186,140183
CED222,51,45,97,5134,4941,10072,227,254,475,5410,5236,10646,47,32,78,5041,4803,9841,219,197,411,5309,5029,10334,52,35,88,4595,4316,8904,195,202,396,4837,4555,9388,35,33,65,4559,4347,8907,197,178,366,4790,4554,9346,36,29,67,4879,4409,9289,252,209,459,5172,4644,9815,26,31,53,4780,5010,9798,274,292,572,5081,5332,10419,20,26,46,5393,5705,11103,289,247,544,5701,5982,11689,21,25,45,5466,5718,11180,275,268,542,5764,6007,11774,16,26,40,5628,5896,11524,271,286,565,5915,6208,12126,34,28,62,5455,5668,11123,299,258,561,5792,5954,11746,14,30,46,4938,5124,10057,223,231,456,5172,5384,10564,17,15,32,4384,4470,8858,231,240,475,4632,4732,9367,21,14,31,3723,4087,7802,230,219,443,3969,4314,8283,26,21,40,9551,12064,21611,675,841,1520,10251,12925,23178,399,394,792,73532,76548,150083,3867,3916,7782,77790,80861,158654
CED223,38,41,73,4229,4103,8336,194,194,385,4460,4345,8799,37,37,74,4351,4245,8603,184,180,361,4576,4468,9039,33,40,70,4113,3817,7931,148,145,293,4301,3996,8298,30,35,70,4138,3851,7986,162,149,312,4330,4040,8365,47,26,75,4132,3962,8094,191,167,353,4365,4158,8520,22,36,63,4055,3984,8041,196,191,387,4273,4213,8484,21,32,50,4069,4402,8471,198,227,426,4293,4663,8951,20,20,41,4358,4777,9132,208,198,410,4591,4992,9581,16,20,37,4764,5109,9876,214,175,391,4997,5305,10297,27,20,48,4692,5069,9760,221,195,413,4937,5277,10216,19,27,45,4295,4790,9086,229,216,438,4535,5032,9566,21,25,45,4324,4694,9021,199,199,394,4545,4915,9461,12,9,28,3780,4250,8034,158,171,324,3951,4436,8389,24,22,46,9943,12027,21970,540,762,1302,10509,12812,23317,371,385,760,65252,69082,134339,3032,3168,6206,68661,72644,141301
CED224,10,11,19,3155,3045,6200,147,132,273,3309,3188,6495,4,10,12,4128,3882,8010,168,150,318,4305,4036,8338,7,7,18,4555,4483,9039,176,145,323,4743,4633,9376,22,24,40,4972,4956,9927,205,211,416,5202,5190,10388,19,16,37,5771,5593,11370,286,258,547,6074,5875,11947,13,17,35,5160,5336,10496,315,305,617,5490,5659,11149,6,7,18,4261,4409,8665,255,256,507,4524,4673,9193,12,14,19,3734,4293,8026,197,207,410,3942,4510,8454,14,3,19,4000,4839,8836,218,226,442,4225,5069,9291,3,4,8,4511,5491,10004,247,224,464,4765,5715,10478,12,3,17,4548,5050,9601,257,229,483,4814,5285,10101,0,8,9,3978,4414,8390,190,206,399,4174,4628,8798,3,3,8,3392,3807,7204,179,167,351,3579,3979,7564,8,12,20,9670,12693,22368,598,839,1435,10277,13543,23820,141,128,268,65844,72293,138141,3442,3543,6988,69428,75971,145399
CED225,32,27,59,5104,4842,9941,234,213,445,5366,5084,10448,37,53,88,5663,5337,11002,227,208,430,5919,5596,11516,47,45,91,5642,5098,10741,228,233,455,5911,5381,11292,39,38,70,5770,5257,11022,235,239,470,6043,5528,11570,37,35,70,4781,4559,9346,199,209,408,5018,4805,9819,21,28,47,4060,4119,8180,197,195,394,4275,4345,8618,12,28,36,4403,4896,9302,200,221,418,4618,5140,9760,19,16,32,4977,5458,10433,189,191,381,5180,5672,10850,38,35,69,5660,6230,11883,261,257,520,5953,6520,12475,33,27,53,5828,6140,11971,261,262,523,6123,6427,12547,17,23,41,5332,5415,10746,259,215,472,5609,5647,11255,14,12,28,4630,4722,9357,248,218,469,4900,4954,9853,13,9,23,3820,4004,7821,172,157,327,3999,4171,8169,11,26,34,8380,9317,17700,490,549,1043,8884,9893,18779,362,384,749,74049,75410,149459,3401,3362,6759,77806,79156,156965
CED226,120,110,232,10985,10172,21156,510,515,1026,11611,10803,22412,133,103,242,9367,8847,18212,474,413,889,9979,9362,19337,94,91,181,7202,6714,13917,352,346,699,7649,7150,14802,91,103,193,6518,6180,12699,323,290,620,6931,6573,13511,86,87,172,7003,6556,13559,413,346,762,7506,6988,14491,111,69,182,8362,9278,17644,485,495,981,8959,9842,18801,78,62,140,11350,12212,23563,588,619,1209,12019,12889,24902,59,50,115,10650,9873,20525,508,451,956,11215,10375,21588,50,53,105,8304,7891,16200,426,391,814,8784,8343,17123,52,46,97,6959,6933,13893,353,350,698,7366,7324,14688,38,39,80,5944,5940,11887,348,322,670,6327,6306,12629,23,40,59,4900,5249,10151,257,314,568,5177,5602,10779,24,21,44,4096,4221,8317,247,232,478,4366,4468,8836,22,29,49,7838,8905,16747,576,695,1272,8442,9630,18066,982,898,1879,109478,108982,218458,5859,5784,11643,116323,115662,231979
CED227,269,253,520,3593,3275,6865,289,277,567,4145,3810,7955,279,224,508,3855,3635,7486,322,276,601,4455,4137,8595,236,213,449,3768,3545,7310,310,261,574,4314,4024,8339,187,186,375,3908,3607,7518,311,299,615,4403,4098,8501,148,146,295,3266,3137,6403,309,277,585,3723,3561,7289,125,179,301,3443,3379,6828,354,294,648,3923,3853,7774,77,111,192,3214,3388,6597,304,279,580,3593,3780,7372,77,104,183,3032,3245,6278,264,253,514,3376,3598,6977,84,102,186,3414,3700,7114,283,274,552,3782,4071,7853,73,113,186,3936,4155,8096,348,328,681,4362,4596,8957,78,108,177,4232,4395,8623,410,351,759,4720,4844,9564,78,87,163,4621,4599,9212,380,402,780,5078,5082,10159,50,58,110,4384,4237,8619,401,383,785,4834,4679,9512,74,104,180,12575,14246,26821,1282,1467,2752,13932,15820,29750,1833,1991,3820,61240,62536,123777,5574,5419,10996,68643,69947,138592
CED228,29,25,50,4673,4448,9120,309,276,584,5018,4742,9761,21,28,54,4447,4217,8660,219,225,449,4686,4473,9161,28,20,39,4292,4086,8376,226,189,414,4540,4292,8827,27,28,53,4578,4441,9021,247,261,504,4852,4726,9577,36,23,64,6376,5737,12111,394,328,718,6803,6090,12891,25,27,55,6480,6523,13000,462,439,901,6964,6989,13952,24,21,49,6465,6312,12771,437,415,859,6929,6750,13674,24,15,34,5266,5384,10647,333,340,673,5616,5738,11352,14,18,35,5097,5488,10590,308,305,611,5426,5813,11234,12,23,35,5267,5463,10722,285,296,583,5560,5785,11348,21,15,31,4775,4894,9665,306,245,549,5098,5150,10251,9,7,18,4335,4809,9145,265,266,533,4618,5073,9692,7,11,18,3884,4238,8127,232,266,500,4123,4519,8647,12,24,34,10894,13445,24339,753,926,1681,11665,14389,26054,297,290,579,76816,79472,156287,4772,4780,9553,81884,84532,166417
CED229,163,166,326,8536,8053,16591,455,481,931,9154,8699,17852,122,154,273,8079,7434,15516,433,425,859,8639,8012,16648,141,115,261,7003,6634,13640,379,336,715,7527,7088,14616,95,93,185,6584,6141,12728,363,367,732,7046,6600,13648,95,84,172,5971,5793,11766,366,337,703,6426,6214,12647,80,93,170,6611,7040,13645,393,414,806,7080,7549,14622,75,74,150,7515,8409,15920,408,437,846,8003,8915,16917,68,62,133,7435,7739,15180,381,405,793,7884,8207,16096,60,49,112,7119,7493,14610,426,391,813,7602,7933,15534,57,49,107,6747,7168,13912,378,417,794,7185,7639,14818,53,31,87,6014,6336,12352,372,373,742,6440,6743,13182,30,25,56,5334,5534,10872,326,334,658,5695,5892,11589,29,32,65,4452,4779,9225,325,294,620,4803,5108,9908,30,40,73,9885,10815,20700,784,891,1672,10707,11744,22451,1106,1074,2177,97290,99371,196660,5791,5904,11691,104184,106345,210531
CED230,135,130,266,5467,5220,10684,338,310,653,5942,5663,11601,120,110,223,5513,5218,10725,357,330,689,5985,5655,11637,89,95,181,4871,4824,9693,308,319,632,5272,5238,10505,99,76,177,4796,4455,9253,286,281,569,5185,4817,9998,68,71,136,4137,4224,8359,275,309,586,4481,4596,9076,46,57,108,4331,4832,9156,274,288,560,4653,5174,9827,47,30,76,4732,5231,9963,324,291,618,5101,5557,10661,39,46,87,4399,4638,9030,279,318,596,4718,4999,9717,38,44,79,4507,4926,9436,292,292,584,4846,5260,10103,44,60,102,4812,5212,10024,378,353,730,5230,5621,10854,44,33,80,4803,5086,9894,350,349,700,5192,5476,10671,31,32,63,4844,5218,10061,322,399,721,5196,5641,10841,30,34,60,4586,4979,9563,378,376,747,4993,5384,10371,49,42,98,13394,15406,28802,1171,1398,2568,14613,16851,31466,873,860,1734,75187,79457,154645,5338,5610,10943,81396,85928,167328
CED231,22,10,41,3896,3776,7674,427,428,856,4347,4217,8563,21,19,35,2733,2660,5395,293,249,541,3050,2928,5970,12,13,26,2165,2152,4315,223,193,410,2395,2360,4751,25,36,67,5117,6490,11611,509,585,1092,5654,7116,12773,55,85,142,14066,17068,31135,1472,1647,3117,15586,18804,34386,69,54,122,15946,17127,33068,1768,1781,3546,17778,18959,36739,42,42,85,12514,12354,24871,1378,1281,2663,13937,13680,27616,40,21,60,7686,7145,14831,878,770,1646,8605,7938,16538,44,15,60,5234,5070,10306,566,556,1127,5845,5645,11491,33,23,58,4436,4546,8979,529,491,1023,4993,5062,10058,21,20,41,3873,3793,7664,468,433,899,4360,4250,8604,16,25,39,3389,3594,6982,441,392,838,3847,4012,7862,11,11,21,2840,3140,5972,339,345,685,3193,3490,6686,13,15,24,6668,7973,14644,849,1032,1884,7532,9015,16549,425,388,819,90557,96899,187457,10146,10172,20315,101128,107465,208593
CED232,11,13,20,3639,3540,7173,288,316,604,3932,3865,7801,7,18,25,2958,2851,5816,216,206,424,3186,3076,6264,17,16,35,2476,2337,4814,178,155,337,2672,2508,5176,18,19,38,2570,2795,5362,216,243,463,2808,3058,5865,30,35,58,5329,6258,11591,591,697,1281,5949,6986,12933,40,30,67,8844,9854,18702,1027,1139,2166,9917,11028,20937,39,23,58,9131,9356,18484,1089,1094,2189,10257,10470,20729,15,26,47,6614,6487,13099,738,672,1403,7366,7182,14547,17,21,36,5224,5287,10513,545,533,1077,5795,5837,11630,23,16,41,4593,4881,9474,500,485,989,5117,5381,10500,15,11,31,4043,4129,8166,468,381,850,4523,4521,9044,14,10,18,3755,3934,7687,436,396,829,4198,4341,8540,4,14,15,3228,3350,6573,348,326,676,3582,3688,7267,19,18,30,8176,9297,17467,947,1017,1966,9144,10328,19466,267,257,527,70577,74350,144928,7588,7667,15251,78431,82272,160699
CED233,14,12,31,3374,3115,6491,93,112,206,3484,3236,6720,14,16,26,3923,3731,7652,126,108,238,4066,3854,7917,20,14,29,4106,3793,7900,123,117,243,4245,3926,8167,17,12,33,4694,4228,8921,137,125,262,4848,4369,9223,11,16,30,4425,3994,8413,141,137,277,4575,4141,8724,11,6,20,3740,3589,7331,147,155,306,3901,3760,7653,11,6,18,3410,3688,7102,124,124,251,3549,3821,7367,3,8,12,3600,3964,7571,123,135,257,3732,4103,7839,9,17,21,3955,4553,8512,138,138,276,4101,4708,8807,15,11,23,4658,5173,9832,165,167,329,4837,5343,10186,6,8,13,4514,5155,9672,184,172,351,4706,5333,10035,4,4,14,4283,4707,8994,176,182,358,4472,4895,9363,4,5,12,3631,4093,7729,138,163,301,3777,4266,8039,4,14,25,11839,14131,25964,621,880,1504,12472,15025,27491,149,149,298,64166,67916,132084,2441,2707,5147,66759,70776,137535
