CED_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
CED222,67,106,360,526,713,949,1490,1375,877,6462,19,106,290,342,411,414,323,257,111,2272,380,531,1281,1270,1230,1218,1229,1142,909,9192,3767,9774,22069,23845,22265,17619,12670,7017,3453,122490
CED223,32,40,116,127,222,392,1144,1434,981,4484,7,23,55,63,115,100,103,140,66,671,310,371,876,894,987,940,913,863,675,6834,3107,8498,17425,19875,19774,17829,13045,6886,3364,109806
CED224,27,18,58,57,104,201,570,862,692,2596,4,16,76,44,110,88,96,168,75,681,381,589,1261,926,1064,885,843,762,698,7404,3706,11918,20331,17734,20556,16341,12250,7183,4371,114382
CED225,58,48,175,194,317,607,1024,927,540,3889,8,28,83,107,109,87,105,73,27,622,450,455,913,1013,1166,1016,893,731,463,7093,4529,9796,18362,23320,23789,18017,11400,5285,2082,116579
CED226,120,186,564,641,784,1254,1943,1350,580,7423,28,51,268,349,364,361,298,227,97,2045,701,1033,3032,2412,1804,1456,1199,719,280,12625,5609,14414,43633,38644,27278,19567,11540,4895,1608,167194
CED227,83,121,318,381,596,1173,2419,2565,1614,9270,19,42,111,142,185,149,127,142,58,970,616,674,1467,1256,1837,2097,2149,1736,1070,12893,3379,7253,15127,14822,18510,19661,15744,9525,4460,108476
CED228,42,101,359,551,916,1511,2932,3096,1383,10893,15,83,261,284,571,628,571,710,350,3468,551,871,2160,1602,1422,1442,1521,1296,802,11674,4043,12824,27579,22539,21552,18311,13418,8742,3823,132829
CED229,91,105,383,433,592,1078,2018,1359,650,6711,20,34,123,132,147,179,193,165,58,1044,727,778,1883,1868,1864,1633,1444,875,417,11487,5672,12606,31514,31601,27985,21483,14377,5900,2156,153296
CED230,123,128,317,309,550,932,2157,2003,1309,7819,12,21,70,81,97,61,92,77,36,550,591,672,1362,1419,1769,1918,2064,1628,820,12237,4249,9055,20471,19803,21511,21207,18171,9417,3858,127745
CED231,52,139,324,308,449,654,849,1027,567,4363,18,117,229,219,245,290,261,407,224,2014,1162,3348,6832,3145,2225,1789,1277,835,516,21138,9990,34290,64286,27987,18636,14520,9502,4796,2232,186248
CED232,12,40,139,102,175,294,634,777,617,2787,6,25,82,54,72,76,97,157,90,652,462,1365,4586,2661,1982,1718,1385,837,613,15608,2751,12910,41643,26174,19542,15796,11184,5304,2968,138259
CED233,22,32,78,105,203,578,1552,2016,1059,5640,5,19,72,67,100,167,222,376,180,1217,273,290,630,613,828,831,925,1037,765,6194,3354,8687,15014,16621,20190,17371,13950,9482,4010,108680
CED234,74,142,378,428,573,1194,2516,2400,1368,9080,17,46,151,170,158,121,145,147,71,1016,661,570,1426,1495,1860,2133,2316,1872,1068,13401,3703,7162,15191,16098,19387,20261,17058,9972,4180,113008
CED235,36,81,337,470,748,1823,3409,2746,1043,10706,5,38,172,219,327,456,579,696,237,2726,425,670,1607,1238,1165,1218,1239,858,340,8760,4412,12029,26436,23137,22046,18618,12960,7081,2427,129157
CED236,72,98,201,260,437,1015,2241,2264,1428,8018,9,5,56,59,79,65,63,32,16,381,510,565,1187,1440,1818,1979,2121,1683,876,12171,3303,6716,12901,14732,18725,19906,16422,8991,3925,105624
CED237,44,64,209,315,516,1047,2588,3740,1905,10423,10,33,131,132,222,353,549,787,374,2589,419,832,2534,1769,1317,1129,1056,1179,790,11027,3433,13284,36479,26775,20173,14590,10086,8810,4424,138061
CED294,17,20,42,33,28,30,38,13,11,228,8,3,13,5,16,11,9,3,3,83,79,221,493,492,336,219,111,39,9,2000,278,897,1841,1288,975,816,482,121,38,6740
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,11,5,0,0,0,25
