CED_CODE_2016,Ireland_2011,Ireland_2012,Ireland_2013,Ireland_2014,Ireland_2015,Ireland_2016,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1946,Italy_1946_1955,Italy_1956_1965,Italy_1966_1975,Italy_1976_1985,Italy_1986_1995,Italy_1996_2005,Italy_2006_2010,Italy_2011,Italy_2012,Italy_2013,Italy_2014,Italy_2015,Italy_2016,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1946,Japan_1946_1955,Japan_1956_1965,Japan_1966_1975,Japan_1976_1985,Japan_1986_1995,Japan_1996_2005,Japan_2006_2010,Japan_2011,Japan_2012,Japan_2013,Japan_2014,Japan_2015,Japan_2016,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1946,Korea_Rep_Sth_1946_1955,Korea_Rep_Sth_1956_1965,Korea_Rep_Sth_1966_1975,Korea_Rep_Sth_1976_1985,Korea_Rep_Sth_1986_1995,Korea_Rep_Sth_1996_2005,Korea_Rep_Sth_2006_2010,Korea_Republic_South_2011,Korea_Republic_South_2012,Korea_Republic_South_2013,Korea_Republic_South_2014,Korea_Republic_South_2015,Korea_Republic_South_2016,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1946,Lebanon_1946_1955,Lebanon_1956_1965,Lebanon_1966_1975,Lebanon_1976_1985,Lebanon_1986_1995,Lebanon_1996_2005,Lebanon_2006_2010,Lebanon_2011,Lebanon_2012,Lebanon_2013,Lebanon_2014,Lebanon_2015,Lebanon_2016,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1946,Malaysia_1946_1955,Malaysia_1956_1965,Malaysia_1966_1975,Malaysia_1976_1985,Malaysia_1986_1995,Malaysia_1996_2005,Malaysia_2006_2010,Malaysia_2011,Malaysia_2012,Malaysia_2013,Malaysia_2014,Malaysia_2015,Malaysia_2016,Malaysia_Yr_arrival_ns,Malaysia_Tot,Malta_Before_1946,Malta_1946_1955,Malta_1956_1965,Malta_1966_1975,Malta_1976_1985,Malta_1986_1995,Malta_1996_2005,Malta_2006_2010,Malta_2011,Malta_2012,Malta_2013,Malta_2014,Malta_2015,Malta_2016,Malta_Yr_arrival_NS,Malta_Tot,Netherlands_Before_1946,Netherlands_1946_1955,Netherlands_1956_1965,Netherlands_1966_1975,Netherlands_1976_1985,Netherlands_1986_1995,Netherlands_1996_2005,Netherlands_2006_2010,Netherlands_2011,Netherlands_2012,Netherlands_2013,Netherlands_2014,Netherlands_2015,Netherlands_2016,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1946,New_Zealand_1946_1955,New_Zealand_1956_1965,New_Zealand_1966_1975,New_Zealand_1976_1985,New_Zealand_1986_1995,New_Zealand_1996_2005,New_Zealand_2006_2010,New_Zealand_2011,New_Zealand_2012,New_Zealand_2013,New_Zealand_2014,New_Zealand_2015,New_Zealand_2016,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,Pakistan_Before_1946,Pakistan_1946_1955,Pakistan_1956_1965,Pakistan_1966_1975,Pakistan_1976_1985,Pakistan_1986_1995,Pakistan_1996_2005,Pakistan_2006_2010,Pakistan_2011,Pakistan_2012,Pakistan_2013,Pakistan_2014,Pakistan_2015,Pakistan_2016,Pakistan_Yr_arrival_NS,Pakistan_Tot,Philippines_Before_1946,Philippines_1946_1955,Philippines_1956_1965,Philippines_1966_1975,Philippines_1976_1985,Philippines_1986_1995,Philippines_1996_2005,Philippines_2006_2010,Philippines_2011,Philippines_2012,Philippines_2013,Philippines_2014,Philippines_2015,Philippines_2016,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1946,Poland_1946_1955,Poland_1956_1965,Poland_1966_1975,Poland_1976_1985,Poland_1986_1995,Poland_1996_2005,Poland_2006_2010,Poland_2011,Poland_2012,Poland_2013,Poland_2014,Poland_2015,Poland_2016,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1946,Singapore_1946_1955,Singapore_1956_1965,Singapore_1966_1975,Singapore_1976_1985,Singapore_1986_1995,Singapore_1996_2005,Singapore_2006_2010,Singapore_2011,Singapore_2012,Singapore_2013,Singapore_2014,Singapore_2015,Singapore_2016,Singapore_Yr_arrival_ns,Singapore_Tot
CED211,10,14,13,10,4,6,7,356,5,262,388,210,29,13,29,10,0,9,6,10,9,0,36,1016,0,0,0,14,14,35,88,46,7,8,4,15,8,7,14,254,0,0,0,3,3,41,193,237,32,33,24,16,6,14,13,622,0,3,7,22,7,20,8,7,0,0,0,0,0,0,7,80,3,3,34,112,240,472,495,522,96,135,121,104,105,60,60,2560,0,57,36,12,14,4,3,0,0,0,0,0,0,0,9,133,0,231,172,31,41,18,30,11,0,4,0,4,0,0,15,570,9,28,44,162,283,289,442,228,74,58,64,35,42,17,54,1814,0,3,0,5,9,13,37,90,17,35,31,40,62,8,11,365,0,0,4,14,92,211,134,160,28,41,19,46,53,21,7,818,0,33,49,37,93,85,23,15,3,5,0,4,0,0,4,346,3,0,11,31,38,87,160,133,15,27,25,20,28,9,26,617
CED212,36,18,22,18,0,7,14,641,7,192,221,112,32,14,26,11,6,9,9,4,9,0,35,689,0,4,0,7,0,9,53,16,0,3,0,0,9,0,3,106,0,0,0,0,3,12,16,19,6,0,0,3,4,0,5,72,0,3,5,23,28,24,14,5,0,0,3,0,0,0,3,112,0,4,17,33,55,52,49,51,11,0,11,11,11,11,6,325,0,48,39,25,12,3,3,0,0,0,0,0,0,0,3,135,0,269,270,70,63,22,33,23,4,3,0,0,0,0,28,785,16,20,72,224,533,542,633,375,107,83,85,53,59,11,125,2934,0,0,7,8,3,8,3,13,4,3,11,4,3,0,0,70,0,0,0,11,60,163,100,135,23,48,27,42,24,21,28,682,0,21,29,14,122,87,37,15,4,0,6,0,0,0,8,349,0,0,6,9,15,19,36,12,5,0,11,4,3,3,3,139
CED213,23,9,5,0,9,0,17,488,7,347,462,208,29,8,19,12,4,10,3,0,4,0,68,1183,0,6,6,3,0,12,28,10,0,8,0,0,0,0,4,78,0,0,0,0,0,9,13,7,0,0,0,0,0,0,5,29,0,0,4,20,4,5,7,0,0,0,0,0,0,0,5,46,3,3,9,20,37,22,22,8,0,0,3,5,0,0,8,141,0,99,80,21,6,0,0,0,0,0,0,0,0,0,4,213,0,336,296,83,86,23,23,4,5,0,3,0,0,3,34,902,8,26,70,281,500,376,374,184,61,35,20,14,9,24,89,2068,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,8,3,0,4,9,50,69,57,56,20,11,23,38,22,25,26,412,0,18,21,16,41,25,11,7,0,0,0,3,0,0,4,146,0,3,5,19,9,4,7,7,6,0,3,4,11,0,7,83
CED214,57,28,20,14,16,4,15,623,13,470,1124,514,71,28,27,27,11,24,38,37,11,11,116,2516,0,6,0,5,4,27,68,63,15,20,18,9,22,12,12,283,0,0,0,0,3,12,57,58,23,12,6,11,24,7,9,222,0,6,12,164,186,201,167,129,18,19,19,30,23,9,29,1012,0,3,13,23,99,137,175,139,39,43,47,47,73,44,30,924,11,498,815,358,103,16,8,10,0,0,0,0,0,0,86,1904,0,79,52,17,13,13,27,29,4,3,6,6,9,7,9,269,3,7,23,123,324,428,917,636,216,243,169,129,129,65,106,3505,0,0,0,3,3,13,29,139,59,187,160,99,82,47,27,847,0,0,3,29,236,591,283,246,42,110,122,106,119,59,61,2010,0,104,88,42,174,115,41,19,0,7,9,3,5,3,25,644,0,0,0,16,23,50,85,46,12,10,15,13,14,6,3,293
CED215,9,10,0,3,0,0,18,221,3,206,354,157,28,3,3,9,0,5,0,0,0,0,53,825,0,3,0,0,3,5,7,3,0,7,3,0,3,6,8,40,0,0,0,0,5,3,4,16,6,0,10,0,0,0,0,44,0,0,3,3,3,0,0,3,0,0,0,0,0,0,9,16,0,0,4,26,27,21,17,34,4,5,18,19,13,7,22,218,0,108,92,29,17,3,0,0,0,3,0,0,0,0,12,260,0,408,429,68,56,19,21,20,0,3,0,0,0,0,35,1061,8,19,57,140,328,191,270,162,35,39,37,26,26,17,106,1459,0,0,0,0,0,0,11,34,3,7,7,0,9,0,0,66,0,0,0,3,72,137,89,90,30,43,39,47,62,32,45,689,0,37,20,17,26,35,8,3,0,0,0,3,0,0,14,155,0,0,0,3,3,5,14,13,0,6,3,3,6,0,9,70
CED216,61,67,30,25,27,20,9,813,21,287,360,163,51,18,27,34,8,28,15,23,27,11,34,1107,0,4,7,19,20,72,104,70,18,23,49,54,67,41,35,591,0,0,0,0,10,34,73,93,38,18,20,15,18,19,6,361,0,0,9,43,48,27,13,3,0,5,0,0,0,4,7,167,3,0,24,95,132,157,144,73,21,17,22,21,22,9,14,751,0,24,46,12,9,7,0,0,0,0,0,0,0,0,4,107,3,74,71,17,27,28,53,45,18,13,12,15,9,0,9,409,22,21,67,191,399,394,659,380,95,95,78,58,72,34,67,2636,0,0,3,5,11,8,10,15,7,7,8,8,5,3,3,92,0,3,3,22,68,83,56,54,17,27,23,17,31,21,10,441,20,187,222,66,229,142,50,31,6,8,12,5,8,5,24,1017,5,3,9,33,44,44,83,78,17,27,15,31,37,18,3,459
CED217,7,3,11,8,3,0,5,258,0,220,550,434,99,49,51,30,5,4,9,10,8,0,64,1533,0,0,3,0,0,7,47,22,4,6,4,3,4,0,9,100,0,0,0,0,3,13,56,61,6,9,5,10,16,0,4,190,0,0,3,85,97,105,109,55,3,5,12,8,10,7,20,522,0,0,0,29,68,140,203,183,60,35,31,28,20,18,26,840,3,488,1054,817,373,120,90,86,13,21,0,4,13,3,94,3175,0,67,104,17,25,4,11,22,3,4,0,0,0,0,9,265,0,0,16,76,245,427,862,849,261,342,267,218,138,109,226,4049,0,0,0,8,29,74,257,295,77,129,127,82,78,55,21,1234,0,0,3,61,538,1765,1460,1723,243,243,201,181,234,117,134,6907,0,30,38,39,210,267,78,30,3,0,4,7,5,0,15,717,0,0,0,10,14,30,116,78,9,6,3,8,27,12,10,333
CED218,83,84,61,45,46,29,12,795,8,209,273,118,24,18,36,45,14,38,40,41,23,13,31,930,0,0,0,14,31,75,134,86,17,41,41,50,44,33,27,598,0,0,0,0,30,59,141,171,27,41,28,52,37,28,19,635,0,9,9,34,15,21,13,6,3,3,0,0,0,0,3,114,0,5,31,146,325,348,312,258,52,61,80,74,113,64,54,1929,0,34,24,19,6,0,3,0,0,0,0,3,0,0,0,82,0,67,47,19,13,22,26,30,14,7,11,17,9,8,12,315,13,21,64,174,303,350,661,545,195,204,191,167,201,128,86,3314,0,0,0,6,10,12,18,32,9,9,15,26,15,14,4,169,0,0,0,15,71,134,84,116,30,41,53,39,63,43,25,720,48,148,107,42,132,81,44,14,0,3,7,5,10,4,16,658,4,3,17,40,75,77,202,114,30,39,25,34,52,24,13,741
CED219,12,8,20,3,4,0,12,310,5,160,454,310,57,27,21,25,3,8,9,0,0,8,51,1123,0,0,0,3,3,5,26,21,0,6,0,0,6,3,3,68,0,0,0,0,0,16,64,62,7,14,6,9,10,0,3,182,0,3,4,84,121,128,89,27,6,3,12,12,10,3,13,513,0,0,7,41,91,250,237,217,28,42,30,29,26,15,17,1041,0,77,95,44,23,3,6,0,0,0,0,0,0,0,10,266,0,204,279,74,49,17,19,13,0,0,0,0,0,4,36,699,3,9,11,102,400,797,1428,1005,272,380,295,220,137,89,208,5353,0,3,0,14,17,117,329,486,143,200,221,220,127,55,37,1959,0,0,3,24,212,839,764,1111,195,174,166,153,110,77,78,3908,0,14,33,55,303,311,126,33,9,6,0,3,6,3,13,936,0,0,0,14,19,100,110,96,19,24,6,13,8,4,4,427
CED220,20,23,12,14,6,0,8,438,13,397,812,410,69,23,27,33,7,10,15,15,11,10,72,1926,0,3,0,17,16,60,137,76,16,22,10,24,20,20,13,435,0,0,0,3,20,41,173,245,36,27,54,36,47,19,14,723,0,5,13,86,102,41,33,20,3,9,0,0,0,0,7,329,0,3,8,50,165,238,199,164,27,69,62,52,126,73,48,1281,3,80,71,32,15,0,3,0,0,0,0,0,0,0,5,212,0,69,73,26,23,7,19,16,0,0,3,6,0,0,4,255,5,15,27,109,255,269,555,252,86,102,63,39,44,34,59,1910,0,3,0,13,18,18,56,67,25,43,54,47,49,19,14,407,0,0,0,17,167,388,198,226,53,79,88,61,77,48,38,1435,5,41,81,43,204,130,57,22,0,4,0,0,6,3,9,620,0,0,6,22,25,41,93,56,11,10,15,17,12,9,11,331
CED221,6,3,0,0,0,0,0,158,21,285,320,120,9,4,10,4,0,3,0,3,7,0,50,832,0,0,0,3,4,6,12,7,0,3,3,0,9,0,3,55,0,0,0,0,0,4,10,10,0,3,8,0,0,4,0,43,0,0,3,3,5,0,6,0,0,0,0,0,0,0,4,28,3,0,14,17,20,18,21,18,0,0,3,18,18,0,10,146,4,21,27,6,4,0,0,0,0,0,0,0,0,0,3,66,0,238,216,50,46,15,25,8,0,0,0,3,0,0,21,632,8,24,46,150,276,187,226,115,32,21,6,16,25,3,63,1201,0,0,0,0,0,0,0,17,3,8,7,0,5,5,0,48,0,0,0,3,46,73,52,106,17,49,44,14,35,22,28,485,0,30,22,11,17,10,3,4,0,0,0,3,0,0,3,88,0,0,0,14,3,6,6,6,0,3,3,0,0,0,3,55
CED222,33,43,19,5,3,0,13,550,12,224,413,253,66,10,20,20,5,12,18,13,3,6,46,1123,0,0,3,4,7,40,63,29,3,3,4,3,8,4,10,179,0,0,0,3,5,15,40,45,9,6,0,5,6,0,3,145,0,0,8,41,60,50,37,29,0,3,3,7,4,7,3,260,0,3,5,41,93,158,128,101,13,34,39,20,28,20,22,704,0,63,75,24,14,7,0,6,0,0,0,0,0,0,4,198,0,159,148,38,39,15,23,18,4,5,0,4,0,10,48,521,7,13,36,160,394,522,785,498,158,143,118,88,68,43,108,3147,0,0,0,17,23,33,63,124,30,83,89,37,64,32,4,599,0,0,0,15,162,458,324,308,58,68,89,78,80,32,37,1700,0,24,37,43,200,154,45,19,3,6,4,4,8,3,23,576,0,3,3,13,19,65,88,60,0,11,6,5,3,0,3,274
CED223,17,21,8,0,8,0,6,463,14,646,861,323,62,32,24,15,8,13,7,8,12,0,76,2107,0,4,3,5,12,37,92,57,4,8,4,6,9,7,7,261,0,0,0,3,8,17,52,84,9,0,8,7,5,0,12,210,0,11,26,91,78,74,20,15,4,3,3,3,0,3,18,346,0,3,14,77,189,237,204,129,33,30,37,21,31,7,22,1037,3,82,94,27,12,3,0,7,0,0,0,0,0,0,6,231,0,104,93,26,32,9,38,29,3,8,13,3,3,0,4,361,10,16,37,123,234,278,401,227,77,66,35,19,21,43,54,1639,0,0,0,4,3,14,32,45,0,13,13,13,21,11,5,179,0,0,3,16,90,101,85,95,13,20,14,16,21,19,27,526,3,30,26,20,71,67,23,7,9,3,5,0,3,3,8,273,0,0,10,25,28,33,89,51,12,12,12,23,3,4,13,316
