CED_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
CED211,13927,27775,183,1044,1823,8385,228,999,10812,41354,13045,51781,1059,4413,1893,6730,3101,9861,6061,21007,19108,72790,49,227,388,1306,101,338,1677,4261,2213,6136,316,994,837,1929,2430,5180,3576,8102,5784,14236,634,1343,39456,116150
CED212,14363,28441,237,1263,1506,6839,417,1859,8867,34371,11028,44336,953,3918,1404,4777,3300,10546,5654,19249,16687,63585,81,372,496,1697,219,747,2565,6704,3358,9514,384,1180,790,1763,2839,6036,4010,8976,7370,18495,586,1218,39009,111744
CED213,17834,35288,277,1491,1582,7271,489,2184,8741,34198,11087,45148,900,3634,1281,4239,3397,10757,5582,18631,16667,63778,69,294,418,1444,212,714,2442,6441,3136,8903,251,769,625,1370,2282,4809,3155,6953,6292,15857,409,841,41202,115763
CED214,15245,30504,231,1336,1470,6848,278,1314,11477,43096,13457,52592,954,4071,1542,5388,3187,10363,5683,19819,19142,72411,65,329,438,1537,153,541,2199,5813,2850,8222,346,1135,780,1816,2932,6494,4058,9443,6909,17665,1151,2460,42444,123048
CED215,16872,33209,211,1147,1352,6228,340,1506,7439,29393,9338,38273,614,2458,1129,3624,2659,8171,4397,14255,13732,52524,76,326,485,1746,209,738,2522,6908,3291,9721,206,632,588,1270,1869,3896,2668,5804,5957,15520,439,920,37003,102178
CED216,13464,26563,161,810,2238,9979,186,751,10890,41884,13473,53416,1273,5164,2754,9609,2850,8870,6872,23644,20340,77060,19,91,381,1210,59,185,1464,3603,1921,5088,256,770,847,1927,1790,3714,2886,6409,4813,11497,518,1085,39137,116210
CED217,13256,26840,548,3291,2805,13444,771,3628,15311,60385,19438,80745,1543,6729,1885,6720,4733,15690,8163,29139,27603,109881,186,911,783,3098,346,1288,3596,10473,4913,15765,512,1736,799,1909,3042,6952,4353,10597,9268,26367,746,1623,50870,164711
CED218,16559,32523,95,493,1609,7189,137,571,9093,34166,10936,42425,878,3542,2134,7473,2037,6299,5044,17313,15976,59739,22,87,257,844,51,163,1202,2948,1526,4037,199,631,711,1618,1635,3429,2545,5672,4076,9712,1033,2169,37648,104138
CED219,14249,28885,644,3921,2852,14133,785,3734,16063,63100,20351,84884,1649,7143,2145,7591,4794,15838,8579,30564,28929,115448,178,897,658,2556,339,1308,3087,8643,4262,13407,485,1639,784,1832,3153,7125,4425,10588,8686,23997,779,1674,52644,170008
CED220,12866,25911,209,1180,1779,8093,299,1354,10768,41152,13055,51769,1224,5192,1926,6809,3965,12797,7113,24799,20162,76565,64,294,426,1532,158,539,1890,4953,2539,7325,348,1115,861,1999,2800,6194,4006,9311,6546,16636,896,1957,40463,121076
CED221,16741,32938,237,1297,1434,6602,346,1559,7718,30478,9739,39941,619,2480,1155,3679,2423,7424,4195,13581,13932,53521,60,268,431,1538,175,601,2412,6490,3080,8902,196,605,559,1185,1713,3577,2476,5365,5553,14263,417,859,36645,101582
CED222,13738,27515,315,1766,1920,8881,421,1901,11488,44137,14148,56687,1213,5106,1858,6507,3644,11828,6716,23437,20863,80122,79,403,450,1565,172,589,2236,5853,2938,8409,363,1197,836,1910,2614,5691,3810,8797,6757,17205,667,1421,42019,126267
CED223,13136,26056,189,1059,1733,7916,250,1101,10127,39010,12294,49084,1269,5285,2028,7213,3571,11367,6868,23870,19164,72952,46,226,368,1211,123,423,1602,4080,2135,5936,318,969,735,1634,2285,4875,3332,7479,5472,13421,635,1336,38407,113762
CED224,12986,25652,156,843,2263,10162,137,584,9178,35355,11736,46940,1299,5390,2949,10457,2702,8351,6950,24200,18683,71143,23,107,410,1344,54,161,1279,3232,1759,4840,264,806,892,2058,1556,3267,2714,6132,4472,10969,873,1841,37027,109603
CED225,13090,26155,412,2329,2545,11867,501,2231,11900,46721,15360,63151,1604,6838,2154,7575,4061,13151,7815,27559,23176,90710,100,448,496,1724,180,659,1911,5124,2686,7960,345,1103,693,1603,2091,4526,3128,7225,5815,15185,462,970,42545,133023
CED226,16827,34021,511,3084,2978,14470,719,3356,21931,83850,26140,104763,1525,6565,2226,7717,4491,14671,8246,28954,34385,133717,188,972,755,2955,321,1203,3745,10613,5018,15740,455,1533,905,2069,3022,6856,4382,10460,9400,26197,831,1791,61445,195727
CED227,15861,31359,262,1464,1582,7354,375,1689,7139,28620,9354,39130,621,2484,1197,3784,2420,7493,4238,13757,13591,52890,77,366,426,1546,165,582,2317,6472,2985,8966,175,542,504,1084,1767,3754,2444,5382,5436,14347,491,1030,35382,99630
CED228,14234,28639,252,1462,1979,9172,359,1662,10114,38804,12707,51105,1322,5686,1965,7072,4149,13570,7440,26327,20142,77428,102,508,538,1978,191,712,2221,6030,3053,9227,428,1455,853,1997,3236,7268,4514,10713,7570,19941,1164,2510,43109,128516
CED229,17194,34365,524,2921,2859,13469,780,3602,17492,68505,21654,88497,1615,6956,2048,7115,4770,15474,8431,29551,30088,118048,144,666,676,2394,330,1170,3358,9259,4504,13482,473,1510,829,1873,2869,6327,4168,9710,8671,23193,601,1270,56560,176873
CED230,17712,35134,352,2037,1863,8871,513,2335,10401,41600,13129,54840,886,3735,1350,4485,3108,9764,5343,17989,18474,72837,122,597,542,1936,261,921,3042,8358,3968,11812,320,1013,717,1585,2341,4949,3373,7542,7338,19354,499,1038,44028,128365
CED231,21985,43127,47,262,771,3597,110,470,7840,28091,8760,32421,386,1552,1062,3570,1372,4298,2830,9426,11591,41845,45,215,334,1220,79,291,1882,4872,2336,6608,207,630,935,2065,1815,3879,2961,6574,5297,13185,2525,5282,41399,103440
CED232,19812,38720,87,579,933,4414,90,389,7990,29286,9108,34667,471,1896,1240,4157,1436,4380,3149,10435,12254,45103,12,73,194,617,29,97,1430,3309,1665,4101,157,465,740,1587,1370,2779,2270,4836,3935,8933,1185,2464,37185,95220
CED233,13402,26693,192,1028,2008,9086,263,1114,8903,34413,11364,45639,1606,6735,2550,9091,4418,14138,8579,29972,19942,75611,42,191,325,1100,73,248,1271,3259,1714,4805,280,872,746,1760,2053,4454,3079,7083,4792,11883,532,1149,38676,115346
CED234,16285,32236,313,1752,1682,8056,406,1864,7628,30663,10034,42332,685,2826,1181,3810,2721,8456,4589,15098,14619,57435,94,411,471,1738,198,707,2467,6824,3229,9687,223,714,553,1180,1983,4233,2752,6127,5985,15811,429,889,37315,106368
CED235,13651,27485,401,2262,2239,10569,569,2590,12008,46586,15213,62015,1660,7085,1918,6965,5455,17935,9033,31987,24251,94000,84,401,439,1608,246,907,2243,6185,3011,9093,435,1408,663,1573,3026,6813,4123,9792,7135,18893,744,1606,45780,141981
CED236,15466,30564,259,1450,1406,6571,331,1492,6930,27855,8935,37366,672,2762,1070,3426,2474,7607,4213,13799,13146,51169,60,257,339,1243,177,623,2040,5591,2624,7716,196,606,523,1117,1868,3937,2585,5657,5207,13364,426,884,34248,95987
CED237,16176,32202,237,1381,1496,7036,294,1327,11109,41851,13137,51601,940,3987,1386,4860,3081,10062,5405,18911,18542,70507,57,249,346,1203,105,378,1724,4387,2229,6225,258,837,654,1497,2799,6118,3716,8454,5944,14675,1187,2521,41841,119904
CED294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
