CED_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
CED211,18,590,2819,2221,1966,1590,763,293,126,10380,10,186,2113,1828,1648,1112,426,117,53,7495,0,76,1570,1793,1495,1005,304,95,47,6391,3,17,929,1423,1207,707,203,45,27,4574,4,23,1089,2526,1941,1058,241,76,25,6985,3,12,296,1127,1054,531,184,67,15,3285,503,422,1049,1076,998,830,915,970,939,7697,8412,8448,20153,21451,19401,15861,13342,8576,4369,120018
CED212,21,534,2484,2080,2306,1912,766,274,114,10484,4,198,1792,1641,1726,1230,423,104,59,7171,10,65,1130,1505,1479,1024,286,88,19,5612,0,31,605,1074,1108,744,173,46,21,3805,6,35,655,1464,1430,898,230,74,22,4808,4,14,181,719,949,514,244,83,31,2747,796,693,1353,1388,1522,1438,1478,1183,788,10646,8675,8419,17284,19126,20458,18222,15381,8734,3702,119996
CED213,41,531,1950,1955,2386,2009,926,323,131,10250,9,219,1319,1502,1594,1288,530,152,41,6658,3,77,871,1242,1443,1045,335,104,36,5166,0,36,505,922,1015,744,253,74,28,3574,0,20,443,1093,1213,927,319,117,30,4168,8,16,150,566,726,616,383,168,51,2685,932,585,1061,1348,1675,1814,2119,1639,1048,12231,8643,7498,14605,17685,20969,21612,20310,10923,4541,126797
CED214,18,675,3893,2560,2097,1477,406,135,53,11329,3,213,2816,2234,1665,960,211,45,17,8171,3,78,2078,2224,1556,913,160,30,19,7061,7,41,1285,1660,1213,669,116,11,8,5000,4,26,1759,3044,2017,931,147,30,10,7971,4,20,519,1778,1288,480,121,31,17,4258,718,961,2388,1930,1676,1372,1207,1109,765,12127,7953,11400,30389,26545,21606,16824,11333,7489,3558,137098
CED215,24,526,1856,1452,1758,1637,778,263,88,8382,4,193,1202,1139,1134,1015,368,85,37,5178,0,97,747,910,1061,891,198,51,27,3986,0,32,459,686,780,647,142,31,12,2784,3,45,589,859,1107,879,184,44,13,3724,21,39,269,458,697,518,142,66,27,2235,1098,891,1722,1596,1892,2150,2079,1515,804,13746,8105,7512,15661,15605,18811,21189,18142,9345,3623,117989
CED216,17,509,2014,1430,1736,1622,1035,391,209,8958,7,183,1600,1286,1586,1291,711,222,109,6987,8,70,1299,1537,1761,1283,582,198,109,6845,0,30,774,1213,1349,996,413,131,67,4970,6,30,1186,2792,3102,1713,719,201,112,9849,10,35,577,3600,4422,2271,776,243,137,12054,632,517,1061,1217,1481,1192,1087,861,947,8991,9201,8093,15026,19527,23363,18340,13616,7583,5121,119860
CED217,24,789,4189,3784,2865,1689,340,52,11,13744,13,284,2568,2868,1874,1074,186,24,3,8889,3,95,1722,2116,1444,786,133,10,0,6313,0,44,883,1505,978,463,66,10,0,3945,4,37,918,1891,1069,486,75,6,3,4498,14,24,236,579,389,173,42,6,8,1473,1183,1248,2730,2530,1969,1569,1200,542,148,13120,12732,12841,30439,31806,24335,18932,11840,4329,1332,148579
CED218,34,1018,4515,1693,1403,1245,824,320,149,11217,21,442,3833,1563,1244,957,601,230,91,8972,16,189,3154,1849,1362,1072,523,208,89,8473,0,80,2012,1438,1185,812,385,144,80,6140,3,71,2949,3193,2384,1566,705,304,140,11321,11,50,1161,3757,3915,2224,1079,423,194,12809,600,987,2876,1629,1363,1164,1037,935,709,11303,7492,13562,32810,21348,19024,15318,11729,7216,3576,132082
CED219,38,855,4533,3948,3138,1978,401,76,23,14978,7,296,2629,2615,1936,1184,163,19,9,8859,0,105,1567,1886,1416,790,115,17,9,5907,0,42,812,1146,814,491,56,15,3,3389,4,38,754,1245,880,499,95,7,3,3522,20,31,156,314,322,168,73,21,11,1112,1181,1125,2267,1960,1736,1457,1136,795,399,12052,13280,14217,32657,29957,24879,19661,11702,5595,2108,154064
CED220,13,529,2883,2235,2094,1487,528,154,100,10018,0,203,1860,1707,1519,956,274,74,38,6629,7,70,1372,1591,1352,842,219,34,37,5518,0,22,758,1257,1000,612,115,28,14,3809,3,30,987,2122,1557,724,121,26,15,5592,11,18,297,1160,899,317,84,26,29,2833,583,667,1309,1249,1215,1024,1019,951,736,8740,8662,10492,21917,21443,20246,16631,12479,8294,4156,124324
CED221,51,553,1858,1888,2191,2018,738,222,113,9628,12,178,1274,1350,1567,1249,416,77,35,6168,6,80,690,1068,1238,984,225,61,27,4383,3,16,367,689,858,626,167,37,18,2797,3,16,338,737,961,708,174,57,11,3006,11,19,108,286,399,363,171,80,26,1452,1102,642,1260,1446,1625,1943,1830,1281,828,11955,8349,6854,14024,16112,19338,20960,17106,8505,3755,114998
CED222,23,615,3114,2620,2542,1829,580,169,67,11564,3,216,2307,2099,1748,1148,319,65,19,7924,9,68,1640,1911,1544,1004,223,50,30,6472,0,38,828,1436,1196,705,132,24,11,4373,0,18,986,2158,1748,877,187,37,18,6024,8,15,251,1031,1044,441,124,48,18,2984,701,683,1440,1478,1416,1225,1232,1048,939,10167,9346,9815,22099,23895,22302,17648,12693,7023,3458,128284
CED223,24,568,2359,1892,1961,1760,851,265,77,9762,9,201,2008,1713,1659,1336,539,130,50,7651,4,72,1540,1822,1686,1288,397,94,30,6931,3,24,886,1461,1352,975,235,65,12,5017,3,24,1092,2527,2168,1476,374,75,26,7759,9,17,308,1519,1729,1033,286,87,22,5009,590,514,1060,1069,1200,1040,955,818,732,7970,8365,8520,17438,19883,19791,17847,13056,6897,3368,115161
CED224,22,768,2810,1265,1508,1330,929,412,212,9261,5,317,2295,1207,1201,1077,669,289,142,7207,7,138,1868,1354,1453,1159,659,242,127,7008,3,31,1041,1107,1214,966,433,167,89,5040,10,43,1528,2483,2525,1783,790,284,154,9608,9,54,595,3231,4412,2543,1040,341,174,12407,645,757,1408,1085,1267,1044,958,833,909,8906,10388,11947,20340,17749,20576,16356,12264,7178,4377,121182
CED225,26,669,2701,2602,2921,2027,601,126,47,11716,6,252,1954,2213,2172,1315,320,53,30,8319,3,106,1267,1986,1918,1123,205,36,22,6657,0,40,687,1452,1442,793,131,24,7,4592,0,24,772,2059,2020,1066,211,29,8,6200,8,23,183,864,971,550,145,50,11,2818,857,603,1110,1222,1411,1108,878,654,479,8328,11570,9819,18379,23326,23807,18023,11413,5285,2077,123705
CED226,36,808,5920,4611,3292,1929,428,102,37,17164,3,313,3591,3339,2306,1200,225,22,10,11018,3,115,2388,2969,1898,1006,153,19,8,8549,4,47,1414,2113,1286,624,78,16,3,5577,6,45,1617,3004,1777,860,114,22,6,7446,5,24,360,1115,784,325,80,19,8,2728,1204,1256,3351,2673,1945,1473,1132,607,335,13965,13511,14491,43711,38714,27320,19623,11563,4894,1608,175430
CED227,20,514,1806,1522,2013,1763,585,217,119,8555,8,172,1053,1090,1206,976,302,86,26,4918,0,65,664,809,993,795,185,65,22,3599,0,30,290,499,632,526,96,37,16,2120,3,18,264,554,674,487,125,54,26,2193,13,19,136,275,313,323,135,59,31,1306,1136,748,1504,1345,1816,2055,1982,1520,881,12989,8501,7289,15144,14831,18522,19671,15751,9536,4469,113709
CED228,31,781,3598,2260,2035,1578,539,156,55,11027,7,266,2551,1681,1596,1020,291,55,25,7498,6,115,1789,1580,1375,917,175,35,19,6002,3,37,951,1199,1061,677,149,40,5,4127,3,29,1232,1981,1685,926,174,28,12,6077,5,38,389,1358,1340,639,131,46,14,3966,946,1009,2356,1682,1604,1436,1391,1130,799,12356,9577,12891,27629,22591,21595,18337,13440,8770,3842,138675
CED229,42,948,4446,3831,3471,2198,689,157,52,15834,14,345,3237,2963,2483,1528,325,65,19,10982,3,149,2162,2523,2083,1173,227,43,20,8384,9,52,1130,1694,1469,813,129,16,5,5322,3,50,1174,2316,1890,1042,216,39,11,6748,5,34,286,841,871,492,141,50,14,2736,1439,955,2127,2142,2028,1703,1486,801,398,13073,13648,12647,31546,31630,28001,21491,14390,5905,2156,161415
CED230,39,657,2692,2268,2257,1787,682,245,88,10714,8,231,1751,1584,1570,1095,348,63,22,6678,6,87,1141,1223,1351,920,215,43,17,5002,3,29,593,851,907,619,148,23,10,3171,3,43,598,1047,1164,794,182,52,7,3891,17,37,188,362,583,456,166,58,24,1890,1143,781,1523,1512,1850,1928,2060,1396,841,13032,9998,9076,20488,19819,21524,21214,18180,9420,3861,133583
CED231,122,1665,7714,2125,1336,930,593,148,45,14682,43,753,6796,2137,1178,816,405,88,27,12242,34,273,5572,2395,1266,873,367,79,19,10878,22,146,3319,2110,1047,663,260,57,19,7637,48,165,4855,4081,2213,1278,413,87,36,13170,34,134,1685,3073,2365,1491,550,113,43,9483,1382,3529,7083,3269,2221,1776,1256,757,495,21764,12773,34386,64351,28030,18666,14544,9518,4799,2233,189301
CED232,36,1005,5574,2101,1510,1208,783,228,109,12556,9,439,4737,2066,1264,953,539,152,74,10234,11,192,3901,2296,1466,1089,498,118,54,9625,7,92,2469,1907,1225,782,383,108,60,7041,7,91,3915,3988,2473,1514,656,159,66,12873,12,62,1373,3929,3364,2137,951,240,116,12196,630,1477,4865,2803,2116,1800,1378,835,676,16589,5865,12933,41667,26182,19543,15806,11193,5306,2973,141464
CED233,20,570,2091,1477,1909,1591,870,339,107,8975,7,183,1533,1336,1522,1148,517,205,64,6505,3,101,1158,1381,1573,1099,401,153,41,5910,0,20,647,1052,1215,848,292,81,24,4188,4,20,828,1982,2017,1275,389,122,46,6680,4,17,316,1358,1760,1081,350,128,50,5059,531,437,799,801,1030,951,926,1020,807,7301,9223,8724,15025,16642,20220,17404,13982,9488,4018,114724
CED234,27,530,1923,1822,2193,1840,658,223,119,9334,9,177,1198,1151,1321,1096,299,92,24,5365,0,91,694,914,1134,833,183,56,25,3929,0,19,366,607,725,562,125,35,16,2455,3,22,324,670,760,553,141,57,28,2556,11,17,130,267,371,353,176,86,29,1436,1229,656,1494,1558,1925,2066,2188,1668,1000,13795,9131,7201,15214,16114,19400,20266,17067,9977,4181,118546
CED235,26,710,3475,2662,2521,1715,420,98,34,11655,6,209,2203,1981,1663,1091,241,25,16,7428,4,108,1421,1588,1391,851,153,32,4,5555,0,28,734,1094,947,590,102,15,0,3513,4,38,777,1423,1231,720,95,14,3,4298,7,14,205,490,570,303,91,19,13,1710,827,791,1779,1390,1277,1237,1182,864,495,9840,10405,12079,26474,23192,22079,18644,12975,7093,2430,135376
CED236,43,437,1600,1549,2070,1735,652,195,88,8362,5,175,916,1055,1283,986,296,88,30,4849,3,63,574,853,1065,861,225,73,25,3741,3,28,332,564,765,531,141,37,17,2408,3,25,298,653,845,582,177,58,28,2667,13,19,124,282,437,399,195,73,38,1570,1011,629,1253,1465,1795,1964,1995,1470,819,12404,8064,6740,12915,14738,18724,19914,16426,8995,3930,110449
CED237,19,811,5021,2694,2019,1278,413,125,57,12447,4,291,3628,2319,1674,958,211,55,30,9177,3,112,2780,2328,1651,826,160,22,11,7893,3,52,1519,1821,1213,599,110,25,7,5356,0,29,2015,2960,1817,838,133,29,17,7842,13,19,502,1584,1008,418,81,32,17,3665,678,973,2775,1967,1428,1134,995,1047,763,11753,7513,13330,36524,26793,20195,14610,10101,8822,4431,142318
CED294,6,37,127,61,53,32,12,0,0,329,0,11,83,36,32,25,3,0,0,185,0,0,42,36,19,18,9,0,0,123,0,0,34,23,21,13,0,0,0,88,0,0,52,36,21,16,4,0,0,129,0,0,15,23,14,21,5,0,0,76,64,163,358,249,183,140,91,26,12,1283,357,898,1848,1295,975,816,482,121,38,6825
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,4,0,4,6,0,0,0,13,0,0,0,0,3,3,0,0,0,6,0,0,4,3,11,5,0,0,0,25
