CED_CODE_2016,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_Resp
CED211,934,5398,3822,31507,587,42246,3,8,6,82,3,104,17691,210,393,342,121,18760,404,75,37,112,9,637,1357,468,260,820,19,2923,8838,4935,3380,29995,594,47744,949,32,123,14,7,1115,349,84,47,267,7,752,1585,556,323,2923,57,5452,1791,314,160,847,34,3150,460,65,35,114,4,675,4889,116,81,50,26,5164,2033,1258,735,11777,149,15954,2691,794,338,2408,66,6291,740,6,22,7,4,783,156,45,18,57,3,278,163,15,6,76,0,262,318,129,58,202,7,710,165,39,22,22,3,252,504,271,168,71,10,1033,757,110,104,262,9,1236,342,42,38,69,4,498,2233,1242,902,9231,130,13744,269,28,12,23,4,339,496,95,75,32,0,701,349,51,20,86,3,517,1258,91,59,71,5,1484,146,17,5,17,0,185,1334,31,58,14,14,1453,302,115,55,394,5,879,11813,1132,856,1458,133,15387,447,61,52,513,5379,6448,57633,10283,7127,64722,7004,146767
CED212,929,6732,4847,38736,823,52061,0,16,6,151,0,173,1867,85,105,232,22,2315,504,76,53,128,8,763,1696,490,353,900,48,3489,15998,6303,4787,34380,1018,62485,773,17,161,23,12,989,452,75,58,408,10,1010,1873,642,401,3055,72,6043,1225,271,133,582,29,2238,412,81,46,123,11,671,1393,68,56,60,15,1592,3389,1380,1007,11923,222,17920,1993,706,347,2156,62,5269,78,0,9,3,0,98,215,47,26,40,6,338,73,21,4,27,0,126,352,103,64,237,3,760,715,97,79,36,17,944,832,334,199,88,11,1469,809,143,64,194,17,1231,520,38,39,78,8,686,4082,1492,1208,9345,209,16326,281,33,13,28,13,370,514,87,69,26,11,709,337,47,30,130,8,558,340,80,40,59,0,520,145,38,4,18,3,213,177,10,19,4,7,209,676,130,101,389,19,1312,6485,1156,897,1522,134,10193,384,74,64,889,8000,9410,40012,12091,8854,75250,10173,146381
CED213,760,6235,4600,47510,979,60085,0,10,12,121,6,150,566,58,63,255,13,962,416,69,32,122,10,641,1909,584,377,1084,46,3993,14142,6186,4806,41591,1063,67789,408,21,89,12,11,543,333,64,50,442,7,906,1684,550,420,3388,75,6121,1224,176,92,490,27,2019,287,80,43,99,9,509,421,55,51,55,14,591,2667,1399,879,13154,265,18368,2675,743,320,2667,91,6497,24,0,3,3,0,31,94,20,13,70,3,198,131,14,19,38,8,207,453,100,52,217,10,830,245,92,46,46,4,438,557,278,215,117,10,1178,499,86,72,256,3,915,172,37,22,58,4,295,3321,1582,1165,11218,230,17517,139,14,5,20,0,183,336,74,37,38,4,483,227,18,29,134,7,414,175,47,38,40,3,306,98,15,0,12,0,127,83,7,9,0,0,97,520,121,97,430,6,1179,3823,982,751,1522,87,7159,315,94,82,1015,8677,10184,31588,11628,8473,90826,10979,153498
CED214,1977,4959,3631,24716,487,35769,20,28,8,124,0,179,7606,174,257,249,90,8382,1674,192,98,320,35,2316,716,312,207,512,12,1760,9681,4271,3087,22355,501,39892,2352,39,228,38,30,2692,447,93,57,247,5,843,1553,474,317,2328,55,4730,4766,524,269,1261,93,6908,362,61,46,87,3,561,5325,102,89,59,43,5627,2742,1423,913,10915,166,16156,5420,1052,508,2886,124,9998,225,3,9,14,3,250,1983,442,161,224,31,2848,2180,176,77,306,33,2772,3528,452,252,1119,54,5412,660,81,48,26,19,831,993,266,204,76,17,1541,1468,182,128,405,13,2192,336,43,29,83,7,501,2582,1155,872,7173,111,11894,966,101,56,102,14,1235,279,60,46,28,3,420,717,39,42,95,8,902,656,49,39,27,18,782,730,115,39,46,14,946,11651,98,226,102,138,12223,309,105,67,373,6,856,19096,1415,1065,1478,273,23327,1177,102,74,518,9589,11454,82021,11036,7730,53496,11590,165873
CED215,671,4296,3013,49646,1203,58828,3,7,7,361,9,392,801,41,43,288,10,1182,191,36,14,78,8,325,1914,565,391,1243,46,4161,7264,4019,2925,41845,1154,57207,658,25,159,19,16,872,155,35,31,269,10,494,1387,440,300,3792,99,6026,402,105,44,256,6,809,162,44,10,89,8,300,755,24,21,47,4,852,1407,880,565,12482,282,15616,1914,509,199,2367,75,5065,51,0,0,0,0,53,17,13,5,42,0,75,25,5,3,21,0,60,549,139,70,455,10,1223,221,59,39,47,3,372,345,135,113,111,13,715,562,85,43,272,12,974,131,23,16,59,0,226,2119,1057,820,11403,239,15647,74,10,3,28,3,115,174,20,24,32,3,247,184,28,14,114,5,338,182,21,11,21,4,236,25,3,4,9,0,42,209,3,14,3,8,241,266,74,51,356,6,745,3144,560,408,1374,85,5567,273,84,58,1603,11121,13146,21838,7969,5596,93913,13717,143033
CED216,1179,6081,4655,28747,425,41084,0,6,3,27,0,34,6939,154,304,292,35,7721,560,80,45,149,4,841,1127,338,190,463,17,2135,12697,5010,3814,27735,540,49800,479,15,111,13,7,628,807,114,87,316,13,1337,2290,586,445,2549,51,5916,3568,560,299,1676,49,6151,682,104,57,139,6,994,3499,116,82,62,22,3769,3397,1415,993,12254,177,18237,3270,910,417,2665,57,7321,428,12,5,5,0,453,304,72,37,110,3,531,149,24,20,50,0,244,299,85,68,158,5,612,177,28,8,9,8,231,891,231,210,78,10,1423,2593,394,288,591,22,3886,2405,133,154,157,16,2870,3219,1321,942,9234,122,14840,420,43,28,56,3,552,1699,146,110,52,9,2013,473,54,46,81,8,659,537,98,92,55,7,789,262,31,21,20,3,336,528,11,26,9,6,579,468,88,45,370,5,979,12316,1650,1482,1848,88,17391,467,86,48,477,6749,7825,56361,11653,8737,62811,8062,147627
CED217,3331,4756,3209,27355,651,39299,49,16,3,161,3,237,7960,148,189,196,92,8586,2449,295,165,585,28,3522,703,256,142,437,9,1545,8840,3325,2585,21270,669,36684,8829,138,436,83,79,9560,368,43,29,168,6,616,1551,429,289,2124,54,4451,2502,526,277,1322,55,4692,429,58,52,106,12,651,9220,178,118,82,70,9663,1546,796,518,6660,125,9650,5141,1392,732,4101,137,11502,234,3,3,4,3,245,1093,251,86,196,19,1642,3952,464,255,770,68,5504,7394,1412,922,3783,108,13621,990,80,53,45,23,1196,722,155,117,62,17,1077,1588,209,125,414,13,2353,292,24,36,57,4,413,1819,723,562,4840,97,8046,1558,106,80,156,18,1927,272,32,18,13,3,340,1704,115,78,93,22,2014,1712,69,22,45,13,1862,1791,279,136,211,15,2431,11955,176,264,97,153,12658,176,44,35,211,3,470,30115,1673,1255,1517,413,34970,1782,134,96,624,11036,13680,106970,11371,7964,54881,13509,194692
CED218,970,5220,3983,26620,317,37113,0,9,7,56,0,71,14146,262,444,372,94,15311,443,99,43,153,3,742,1003,329,205,550,15,2094,9528,4743,3417,28105,421,46219,757,17,107,14,7,897,921,162,108,396,10,1603,1751,495,354,2781,39,5421,5133,581,361,1825,62,7954,558,114,74,187,8,935,6176,133,101,67,34,6510,2987,1407,975,13376,150,18892,2965,856,471,2731,69,7096,715,12,23,8,3,755,239,57,36,102,3,446,164,38,30,69,3,307,251,110,67,155,3,578,243,23,18,4,0,289,956,249,183,57,16,1448,1821,344,231,707,23,3127,1370,105,97,174,25,1771,2723,1158,935,9986,128,14933,361,43,25,37,4,474,757,104,74,25,8,962,530,27,49,87,3,699,1107,92,87,79,11,1374,391,27,22,19,0,456,1155,20,49,11,9,1248,326,84,62,432,4,913,12658,1506,1260,1883,140,17448,457,47,46,433,9169,10155,62678,10708,8083,62068,10409,153942
CED219,3872,5266,3675,27647,571,41033,19,26,11,148,6,212,7731,89,188,241,62,8319,1310,142,59,163,23,1694,1903,432,270,813,44,3457,13175,4086,3194,22106,637,43197,4593,72,295,43,47,5047,1229,58,47,186,13,1533,1893,472,277,2022,53,4718,1798,359,202,823,31,3213,1111,103,81,134,17,1448,17707,172,148,96,99,18212,2175,873,635,6657,144,10477,3019,819,417,2123,102,6488,236,0,9,0,0,245,908,163,61,98,19,1243,446,54,21,51,0,569,613,207,97,329,5,1254,1572,99,92,39,40,1834,1003,269,159,101,26,1560,1422,110,83,183,24,1824,696,32,42,67,3,843,2688,926,751,5469,111,9941,2175,124,66,88,29,2481,745,92,52,32,7,932,1252,54,40,100,12,1457,8020,165,110,80,37,8412,1293,162,81,86,5,1631,2020,52,67,13,37,2186,295,71,47,218,5,634,47933,1784,1299,1285,579,52885,2088,109,95,658,9659,12615,118587,10348,7499,51474,11954,199864
CED220,1848,3811,2890,19315,369,28233,0,10,3,59,0,79,16738,179,333,224,183,17648,625,57,44,107,3,831,892,198,146,295,3,1534,8144,3088,2257,17132,404,31027,1625,29,149,15,22,1841,646,64,46,182,11,947,1377,323,238,1639,46,3621,8083,870,508,2064,131,11653,582,70,36,74,7,767,8495,119,97,46,65,8817,1910,875,588,7604,141,11119,4131,786,388,2148,79,7535,856,3,21,3,3,894,543,97,32,98,14,786,157,22,12,27,5,220,414,85,54,160,4,715,296,23,17,11,13,366,542,182,127,42,5,904,1335,153,140,204,21,1863,2012,73,79,71,13,2248,1847,785,553,5037,96,8319,497,32,13,55,3,600,756,69,52,24,3,894,552,51,20,60,6,689,1901,102,82,57,13,2146,716,62,29,41,8,854,9632,62,155,39,100,9988,204,55,44,194,4,489,22404,1162,1032,1095,266,25955,1102,70,54,375,6230,7837,87986,8112,6102,41168,7913,151282
CED221,481,4066,2892,48903,1059,57400,6,15,3,189,8,220,561,33,53,286,23,958,303,33,19,91,9,459,1224,403,240,756,28,2656,5808,3955,2780,43669,997,57211,462,9,103,19,21,607,219,51,25,411,8,705,1678,539,359,5185,109,7870,247,92,24,198,12,572,196,51,15,63,3,334,619,35,8,30,9,705,1055,930,547,16059,285,18879,1959,577,236,2689,78,5536,36,0,3,3,0,45,53,22,5,45,3,129,46,11,3,19,0,79,157,64,46,167,6,444,152,37,40,26,3,257,241,167,150,87,10,663,439,83,41,237,21,823,113,21,19,76,7,231,1454,1003,754,12562,224,15995,112,30,9,26,4,177,151,28,19,16,5,220,147,22,31,123,3,323,135,20,3,25,0,183,19,0,0,5,0,25,34,7,15,5,0,63,246,57,46,393,5,748,3277,669,465,1354,68,5829,211,57,54,1394,9334,11043,18038,7677,5320,97504,11641,140183
CED222,1892,5184,4088,29491,542,41203,0,6,4,88,0,102,8605,116,210,252,107,9291,690,94,51,144,15,986,1374,338,229,558,23,2520,12077,4557,3393,25961,655,46640,1924,33,212,33,24,2228,731,68,57,326,11,1198,1686,432,320,2198,50,4688,2722,404,235,1049,52,4468,526,87,51,115,22,805,6152,116,110,61,44,6478,2722,1212,795,10101,180,15012,3092,766,418,2444,78,6794,186,4,4,0,0,200,491,116,56,92,21,778,369,44,36,38,4,490,520,119,94,270,7,1009,732,92,61,44,17,947,816,219,188,73,8,1309,1036,128,117,221,20,1507,1073,55,32,64,33,1261,2894,1111,807,7170,151,12136,754,41,31,62,26,922,749,77,80,25,9,940,640,39,46,82,12,822,2322,138,99,63,15,2636,1108,119,44,62,20,1357,4887,44,92,38,46,5104,393,92,69,343,6,903,20771,1330,1181,1426,306,25015,1039,96,67,608,7532,9342,72175,10163,7791,58971,9551,158654
CED223,842,5289,3639,33028,466,43270,0,9,3,111,0,127,6352,167,270,351,32,7179,777,126,53,266,9,1240,932,343,210,589,17,2091,7816,4586,3202,31804,529,47936,623,41,106,15,6,789,391,68,53,343,11,864,1437,476,340,3025,44,5319,2608,520,266,1354,39,4781,322,63,46,116,3,547,2613,99,78,43,17,2854,2178,1439,891,14626,194,19332,5972,1457,652,4727,118,12928,251,11,29,0,0,292,663,104,67,145,9,985,890,176,78,291,10,1446,606,166,124,435,10,1340,124,27,25,14,0,197,500,223,176,91,7,992,725,128,120,273,15,1255,373,38,37,77,3,535,2140,1227,860,9936,142,14306,343,47,14,50,3,460,380,76,62,31,8,556,370,51,29,105,4,565,694,54,39,57,3,851,169,35,4,24,3,240,835,21,59,20,4,941,283,113,74,382,3,854,8899,1170,980,1600,131,12781,331,61,49,652,5833,6922,43932,10764,7303,72048,7248,141301
CED224,871,4463,3611,25210,315,34470,0,9,3,41,3,56,21045,403,709,523,127,22810,376,73,53,151,0,650,766,312,175,522,6,1783,7539,4208,3181,27079,378,42392,526,13,99,13,6,668,528,110,97,354,13,1101,1319,450,321,2517,32,4642,3824,620,333,1819,38,6628,360,66,50,127,3,601,4811,164,117,89,38,5214,2126,1277,1020,13619,164,18201,4062,1003,515,3386,60,9036,783,13,35,19,12,851,262,60,38,149,4,516,322,35,43,110,3,514,299,87,50,184,3,622,128,27,14,8,0,175,678,205,140,54,7,1082,817,164,100,320,12,1408,432,54,59,90,3,640,2076,1204,956,9826,131,14184,200,30,18,23,3,274,489,91,66,21,6,667,366,20,41,92,4,532,1119,91,66,58,10,1350,235,13,11,14,0,274,2065,42,91,19,21,2234,244,98,59,441,3,847,9850,1094,1129,1717,67,13857,343,47,30,391,6629,7447,60317,9644,7655,60051,7730,145399
CED225,1379,6771,4664,37955,568,51336,3,10,7,73,4,96,4306,111,158,240,25,4835,689,140,82,232,8,1145,2545,740,456,1397,45,5181,13205,6037,4339,32006,592,56175,1251,41,167,20,6,1495,689,98,64,331,7,1189,2213,688,433,3100,77,6504,889,258,116,650,7,1929,779,149,59,204,11,1202,5009,182,64,67,42,5364,2654,1496,962,10891,154,16162,2589,987,462,2753,81,6871,388,0,6,4,0,400,334,64,36,57,7,503,144,34,6,48,7,236,542,173,134,387,12,1251,395,59,43,27,10,525,760,295,171,108,11,1339,1036,151,145,260,19,1612,458,43,54,95,15,667,3068,1449,1058,8958,161,14701,507,72,42,83,8,706,830,133,85,40,4,1099,545,40,47,115,6,752,3317,181,78,75,16,3669,270,37,32,26,3,374,323,20,27,11,6,390,430,133,69,389,8,1033,14161,1527,1145,1576,174,18582,581,85,64,691,6187,7598,55408,12773,8775,72195,7816,156965
CED226,3676,5895,4442,32562,613,47194,12,12,10,184,0,217,13753,112,291,244,90,14482,1146,216,96,310,26,1792,993,304,213,538,11,2065,13913,4595,3676,26641,742,49556,7428,126,445,66,66,8134,482,52,49,240,9,838,1763,507,382,2690,82,5424,1909,460,239,1034,35,3680,419,70,35,112,8,654,28256,211,122,72,161,28821,2818,1119,790,9539,143,14409,5314,1479,676,4096,135,11700,933,4,24,3,0,962,1837,522,235,214,31,2839,1366,187,121,323,23,2015,3354,800,429,1776,46,6407,3038,212,146,40,58,3493,1501,246,245,95,33,2116,1310,178,154,395,12,2039,549,29,38,60,4,681,3298,1175,923,7037,150,12584,1099,137,59,88,9,1395,793,58,49,27,4,932,1339,75,60,102,11,1582,2144,55,38,51,14,2301,449,55,37,42,7,590,2553,60,92,54,34,2796,345,91,65,262,7,771,41389,1666,1411,1447,445,46363,1908,96,102,691,12096,14892,131644,12417,9261,64107,14547,231979
CED227,533,2625,1855,50266,1233,56519,0,33,4,448,24,504,924,23,36,212,22,1209,203,33,6,126,10,386,587,215,134,481,12,1429,3606,2490,1870,44133,1288,53387,618,15,123,27,11,792,120,19,10,311,13,479,640,292,218,7600,149,8892,454,120,32,350,15,974,171,29,19,71,11,286,1009,22,14,21,8,1073,633,491,323,12464,262,14164,2257,581,253,3379,146,6615,103,3,3,5,0,112,27,3,7,24,4,75,18,0,6,7,0,31,88,62,12,109,0,280,116,37,41,60,0,251,184,79,84,59,3,408,169,57,31,167,4,424,47,8,14,25,3,93,851,648,432,11899,278,14102,38,8,0,14,0,62,143,23,14,12,0,195,106,19,9,73,6,208,136,7,6,6,3,163,468,43,21,37,11,576,389,13,6,7,10,426,112,50,24,362,7,559,4114,457,372,981,116,6028,308,53,59,1602,10086,12107,16496,5249,3671,100193,12984,138592
CED228,1970,3435,2447,19862,429,28143,89,13,3,102,4,218,10892,126,268,224,148,11653,2471,234,141,441,37,3325,530,168,112,301,12,1120,6133,2492,1852,17429,457,28361,2553,40,177,37,32,2847,318,41,26,181,12,578,1375,319,210,1667,52,3618,4282,614,269,1544,79,6786,316,42,22,82,8,464,6393,121,71,64,62,6716,1649,910,601,9241,129,12538,11578,1888,985,5551,250,20247,351,4,16,9,0,382,1013,141,81,196,14,1447,1506,142,85,242,22,2006,3920,477,284,961,75,5712,369,40,30,27,14,476,482,109,114,35,4,738,1317,148,118,294,29,1908,286,29,23,48,0,393,1279,659,454,5187,77,7658,992,77,47,80,16,1202,142,40,14,11,0,207,951,49,45,94,9,1154,844,40,41,30,3,960,858,93,41,95,22,1103,20150,127,311,95,304,20985,134,41,46,232,8,457,19316,1043,893,1154,316,22728,1402,74,67,363,9152,11066,94797,8428,5985,45839,11371,166417
CED229,2088,6975,4581,55003,954,69600,12,14,12,272,8,316,2369,81,139,361,24,2969,896,200,65,327,6,1488,1166,397,224,878,24,2696,10954,5661,4192,45004,981,66795,2121,50,211,45,31,2452,364,59,54,385,9,865,1762,653,413,4225,102,7151,1985,582,282,1498,50,4396,312,81,31,163,3,587,8777,124,102,85,51,9144,2463,1522,1028,16576,304,21885,6516,2169,953,6900,191,16727,158,6,13,3,3,183,1076,238,111,278,27,1718,2006,394,230,706,22,3360,2320,679,407,1709,46,5162,585,96,67,61,13,820,716,300,227,121,24,1390,808,178,112,480,6,1586,245,29,42,77,4,396,2606,1363,1109,12103,219,17403,400,67,34,57,3,554,419,87,43,39,7,591,601,58,50,179,9,897,2197,62,47,71,14,2390,1931,354,139,269,28,2725,441,25,53,10,3,538,334,94,67,421,11,928,18159,1626,1037,1999,206,23026,845,106,75,1187,10585,12798,66307,14513,9582,106945,13186,210531
CED230,967,6044,4388,54623,1204,67227,3,16,12,170,12,209,1083,30,72,235,16,1438,383,83,39,123,10,645,2663,785,522,1873,54,5904,10719,5565,4332,45462,1172,67243,891,33,155,31,11,1130,372,46,42,336,11,804,1745,618,418,3872,112,6764,449,120,52,396,12,1028,374,58,36,113,9,597,1897,91,57,53,21,2127,2105,1215,865,13570,259,18014,2036,752,314,2979,87,6155,85,0,0,3,0,85,79,24,11,44,3,160,54,17,9,22,0,103,678,180,90,496,15,1463,450,74,33,36,8,608,568,303,262,129,17,1273,571,113,61,303,18,1056,221,42,12,95,7,378,2708,1331,1070,11997,254,17358,206,33,8,45,5,291,362,69,28,40,8,509,296,44,35,132,4,509,738,75,26,49,5,894,83,35,11,24,3,151,186,12,28,9,0,236,360,101,69,398,13,932,7089,1034,773,1655,125,10666,475,112,64,1445,9900,11996,33842,11217,8123,101535,12617,167328
CED231,1277,4981,3948,24241,455,34898,12,13,6,137,3,174,38264,304,461,398,255,39678,706,116,74,176,10,1072,981,439,270,722,20,2431,11777,4849,3554,26330,577,47092,1428,26,192,24,14,1687,1111,128,100,380,10,1737,1942,583,457,3040,66,6092,2976,447,214,907,38,4586,302,99,57,143,9,607,7063,103,82,67,34,7354,3829,1729,1150,15065,224,22013,4997,1226,565,3138,101,10025,2867,15,24,18,23,2947,388,69,45,149,3,660,364,49,45,78,9,542,552,159,125,309,7,1152,428,25,31,21,7,519,1300,199,178,78,9,1767,898,175,168,462,12,1712,579,64,45,127,3,822,3255,1310,1109,9764,144,15586,462,27,32,59,11,594,384,40,47,29,3,499,1162,60,49,108,12,1393,909,77,52,40,6,1081,700,58,22,27,8,821,5944,53,128,51,122,6291,381,122,78,486,12,1078,25497,1424,1411,1834,446,30613,1004,60,59,414,20149,21680,108391,10984,8484,58500,22229,208593
CED232,1157,5588,4106,22784,362,34002,4,10,0,80,0,99,11325,179,282,318,88,12189,526,115,52,129,10,832,1059,372,223,510,13,2175,12516,4643,3318,23563,466,44515,1015,12,114,14,10,1171,1338,157,106,416,16,2034,2455,653,418,2818,54,6401,3439,540,234,1067,44,5322,957,188,108,261,14,1525,4602,101,66,62,33,4856,4483,1378,999,12065,161,19085,3452,879,422,2197,63,7010,908,5,14,24,5,962,254,50,17,96,3,418,270,39,23,77,0,404,404,124,93,200,7,819,420,44,25,22,5,521,1127,221,181,73,7,1604,3214,627,417,937,41,5236,2141,176,152,277,24,2768,3387,1206,886,8202,126,13809,413,43,25,38,3,523,1209,172,93,39,6,1521,868,48,36,86,7,1042,600,61,34,45,3,749,432,32,27,23,3,518,875,10,41,19,8,956,406,101,59,419,6,992,18052,2165,1793,2407,186,24591,654,118,102,445,14989,16313,70017,11848,8523,53960,16350,160699
CED233,1039,3528,2710,21653,342,29275,0,8,4,37,0,52,25918,289,511,346,162,27235,639,92,51,174,10,961,1025,303,149,508,9,1991,6656,3120,2339,20502,371,32988,559,22,88,14,7,693,292,39,42,186,4,560,1336,352,269,1966,23,3942,6356,813,450,2234,89,9946,324,33,20,87,3,462,2930,102,103,45,16,3199,1286,787,512,7672,108,10356,7355,1326,595,4078,145,13496,1006,4,15,7,3,1034,810,105,94,122,11,1141,649,64,53,174,7,937,503,109,77,216,6,914,69,15,10,4,0,97,379,116,108,54,0,657,588,84,83,145,8,903,235,20,33,48,4,343,1493,791,589,6233,86,9184,233,40,9,46,4,332,800,57,38,29,3,927,293,32,23,80,0,429,792,69,63,35,9,962,294,22,19,22,0,361,929,17,43,7,4,1004,228,55,38,291,3,616,11259,848,774,1247,112,14234,432,36,34,399,4795,5691,69174,8063,5976,48255,6070,137535
CED234,809,3210,2271,49993,1165,57458,6,23,3,462,15,498,787,21,32,287,19,1146,122,51,13,60,3,245,935,293,185,683,12,2116,4902,3113,2203,44367,1144,55728,832,6,116,10,24,993,96,33,14,343,8,497,766,273,189,3718,104,5046,455,96,23,330,16,920,124,21,17,55,0,218,1515,32,8,38,16,1607,981,720,449,15235,262,17644,2983,709,289,3755,151,7880,75,0,3,3,0,80,29,12,9,21,0,76,188,28,12,124,8,364,175,52,31,157,12,419,233,27,22,63,0,345,343,145,94,104,10,698,210,45,24,132,6,425,65,5,8,35,0,119,1312,863,537,12063,274,15052,60,3,3,17,4,87,102,8,14,22,0,146,169,27,12,124,4,329,167,6,3,11,0,201,452,59,29,22,5,566,59,7,3,4,0,77,163,44,30,335,4,586,6055,478,391,1289,121,8331,401,68,59,1745,10548,12819,22058,6314,4340,99404,13241,145366
CED235,2637,3617,2387,23224,458,32323,8,9,3,213,5,238,7458,86,164,161,70,7941,1053,133,94,193,21,1488,503,150,94,315,10,1063,6186,2654,1972,19496,503,30818,2237,45,143,26,35,2486,284,28,22,158,0,491,907,237,168,1746,30,3082,6628,889,527,2013,161,10219,196,27,30,55,9,312,10168,105,75,44,66,10460,1305,747,474,7356,134,10009,12425,2259,1141,6201,331,22360,182,4,4,0,3,197,3065,602,199,417,57,4336,8297,788,470,1256,126,10940,1666,357,191,822,45,3076,355,38,24,28,5,444,396,123,89,65,9,682,505,85,55,144,9,801,187,14,19,44,5,265,1166,618,485,5046,90,7408,735,63,38,71,9,918,209,31,24,11,0,278,590,52,31,104,8,791,2177,65,28,27,12,2311,1589,171,77,118,29,1982,4325,48,79,29,64,4539,128,40,28,223,7,419,23428,1175,914,1226,315,27058,1339,89,96,507,6749,8781,92084,9844,6387,50721,8924,167966
