CED_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
CED219,11889,1303,88,30,8,13319,28659,2438,103,25,27,31248,7737,1532,239,33,21,9556,902,200,108,32,3,1242,2197,293,38,3,5,2539,71,25,14,0,0,116,280,31,9,89,5,417,173,21,6,3,0,198,11360,2105,403,159,37,14069,258,108,23,0,0,389,1535,195,33,20,21,1811,53700,6157,651,227,94,60831
CED220,15871,2136,839,36,25,18911,13281,2978,1217,29,30,17534,4580,2929,2074,38,39,9665,344,357,170,0,0,875,1648,647,293,11,16,2614,85,34,60,0,7,189,238,73,41,41,10,391,164,44,27,3,3,244,7052,4083,2663,93,78,13974,173,76,134,0,9,384,955,270,216,11,23,1482,37335,9544,5068,168,171,52285
CED221,19088,544,195,185,128,20143,16984,257,100,62,113,17509,5118,1195,499,25,29,6860,1195,439,170,0,5,1809,2659,288,121,39,31,3134,81,65,21,0,0,167,605,40,23,64,11,757,313,33,16,10,5,375,9965,2064,854,132,79,13102,342,52,64,5,5,468,1380,166,78,70,22,1711,47757,3076,1291,458,354,52937
CED222,11981,3343,1177,155,37,16694,16537,4581,1543,23,49,22727,3984,3689,2570,37,34,10313,342,269,258,0,0,879,1332,706,341,26,14,2416,58,83,49,0,0,191,182,53,19,229,3,487,100,65,37,9,3,211,5998,4860,3285,299,57,14506,167,136,121,3,3,433,845,399,210,20,21,1489,35528,13319,6344,497,165,55853
CED223,16774,1594,514,13,36,18924,16266,2011,514,16,30,18839,3858,2075,1374,18,25,7348,629,575,253,0,16,1468,1307,437,208,14,11,1977,59,95,105,0,0,254,175,62,13,0,0,250,110,45,25,0,0,176,6138,3289,1970,31,55,11481,183,95,40,0,0,315,833,220,80,0,24,1161,40196,7206,3116,61,143,50718
CED224,13659,3996,1906,32,39,19626,9859,2788,2053,22,32,14755,2746,2924,7087,62,56,12869,22,42,220,0,3,284,930,693,1021,24,18,2688,37,88,110,0,0,238,63,33,68,3,3,173,115,61,68,0,3,253,3912,3845,8565,97,80,16503,152,78,168,0,10,404,529,209,409,8,12,1172,28117,10912,13102,155,179,52464
CED225,13674,980,132,25,30,14832,25563,833,61,8,31,26502,5164,822,81,14,15,6090,237,68,22,0,0,327,1467,152,13,7,7,1637,39,38,30,0,3,114,92,17,11,30,4,147,111,19,8,3,0,146,7117,1113,161,45,31,8468,199,144,89,0,3,432,893,113,39,0,18,1073,47443,3181,486,84,112,51300
CED226,12871,1785,214,64,11,14943,29741,4066,294,10,24,34136,12025,3336,747,7,21,16138,524,155,55,0,0,735,2526,473,103,13,11,3117,85,38,8,0,0,138,324,70,7,32,3,432,158,36,5,3,0,201,15640,4105,920,51,40,20757,229,177,32,0,3,442,1397,249,59,6,20,1732,59880,10391,1530,129,91,72018
CED227,19685,660,323,248,103,21027,15270,238,111,54,99,15766,4464,863,997,19,35,6377,1029,302,406,3,8,1745,3136,214,189,38,37,3614,151,75,117,0,6,347,679,54,63,121,28,939,422,30,32,12,11,512,9876,1542,1803,188,122,13536,334,125,16,5,7,495,1452,145,176,45,43,1858,46620,2711,2426,547,368,52681
CED228,17080,2687,1018,43,28,20846,11511,3803,1357,34,40,16751,4460,3586,4245,67,64,12428,535,594,329,0,0,1459,1943,771,597,39,22,3370,75,66,78,0,0,220,304,112,68,17,3,503,190,66,42,0,0,311,7510,5195,5370,129,91,18290,197,84,58,0,3,345,1253,381,247,10,32,1929,37548,12152,8055,214,192,58164
CED229,15416,792,316,53,47,16620,33085,1472,271,14,51,34893,7631,1798,741,8,30,10218,395,125,108,0,0,632,2120,222,127,13,23,2511,75,45,26,0,0,149,448,38,14,22,0,523,203,16,15,4,0,244,10877,2251,1030,50,56,14264,261,79,17,0,0,359,1315,125,55,7,15,1515,60950,4719,1685,125,168,67648
CED230,19318,823,484,236,55,20920,22126,484,74,40,50,22777,7201,1412,417,14,27,9074,705,446,142,0,3,1293,2791,208,118,14,18,3151,121,82,37,0,0,245,352,32,25,88,10,508,312,35,16,8,0,371,11477,2213,758,125,62,14637,400,133,94,4,11,637,1433,188,85,24,30,1764,54756,3849,1489,429,207,60734
CED231,3137,5454,5118,35,64,13807,2590,5610,7883,47,73,16212,1556,6337,27788,162,244,36089,183,778,6163,3,22,7156,613,1945,4823,71,61,7509,108,98,838,0,6,1048,63,58,733,18,25,896,47,114,321,6,12,506,2576,9340,40663,256,364,53203,96,108,411,8,9,631,232,518,1776,58,61,2647,8625,21028,55854,411,570,86495
CED232,4113,4709,5995,60,51,14930,3076,4267,8438,108,44,15934,1004,3295,23081,303,75,27769,33,594,1452,3,3,2084,410,1045,3617,68,17,5164,20,41,382,3,3,442,36,34,191,3,8,272,60,88,228,3,6,377,1557,5099,28946,391,118,36112,61,80,234,0,14,382,216,327,1143,15,55,1754,9027,14481,44750,570,279,69108
CED233,17881,2186,628,17,28,20744,13558,1946,625,3,24,16157,3600,1471,965,9,13,6050,105,66,59,0,0,235,1127,334,162,10,6,1638,34,28,41,0,0,96,80,20,19,0,3,124,119,30,19,0,0,163,5066,1954,1254,19,26,8314,263,139,66,0,0,470,820,190,95,3,82,1181,37594,6407,2676,41,157,46867
CED234,19190,650,235,316,116,20505,16664,266,50,54,51,17080,4730,1306,445,23,20,6526,1117,420,193,0,0,1725,3051,278,106,50,25,3520,162,91,54,0,0,304,682,48,29,152,23,942,406,47,27,3,0,480,10151,2189,851,228,75,13498,405,87,21,3,3,521,1544,217,89,45,34,1933,47950,3406,1253,650,278,53532
CED235,17015,1137,330,0,19,18507,19763,2000,261,7,27,22050,5383,2178,953,3,22,8538,419,141,47,0,0,601,1649,284,112,8,10,2069,58,40,54,0,0,152,248,26,50,0,0,329,152,28,7,0,0,188,7915,2699,1214,10,36,11878,261,60,132,0,3,459,1221,158,76,0,18,1477,46174,6055,2014,21,99,54358
CED236,20087,595,191,180,111,21169,15117,240,84,71,77,15592,4165,888,481,33,28,5601,925,314,248,0,3,1488,3122,195,105,39,44,3501,98,73,71,0,7,252,686,29,24,48,13,811,440,18,19,7,8,495,9439,1520,948,133,106,12150,367,72,35,18,9,502,1380,122,127,28,42,1692,46392,2548,1385,432,343,51098
CED237,15458,2773,871,39,42,19180,11741,4696,1924,41,54,18467,4654,6726,6079,119,66,17644,406,598,570,8,4,1590,1855,1262,756,48,30,3953,47,65,81,3,5,202,186,88,68,12,7,359,167,86,46,0,0,302,7314,8827,7604,189,116,24048,249,69,40,0,3,365,1014,463,298,9,20,1812,35774,16840,10742,280,236,63876
CED294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
