CED_CODE_2016,POL_Greek_SEO,POL_Greek_SOLSE_VWorW,POL_Greek_SOLSE_NWorNAA,POL_Greek_SOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_SOLSE_VWorW,POL_IAL_Bengali_SOLSE_NWorNAA,POL_IAL_Bengali_SOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_SOLSE_VWorW,POL_IAL_Hindi_SOLSE_NWorNAA,POL_IAL_Hindi_SOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_SOLSE_VWorW,POL_IAL_Punjabi_SOLSE_NWorNAA,POL_IAL_Punjabi_SOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhalese_SEO,POL_IAL_Sinhalese_SOLSE_VWorW,POL_IAL_Sinhale_SOLSE_NWorNAA,POL_IAL_Sinhalese_SOLSE_Tot,POL_IAL_Sinhalese_NS,POL_IAL_Sinhalese_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_SOLSE_VWorW,POL_IAL_Urdu_SOLSE_NWorNAA,POL_IAL_Urdu_SOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_SOLSE_VWorW,POL_IAL_Oth_SOLSE_NWorNAA,POL_IAL_Oth_SOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_SOLSE_VWorW,POL_IAL_Tot_SOLSE_NWorNAA,POL_IAL_Tot_SOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_SOLSE_VWorW,POL_Italian_SOLSE_NWorNAA,POL_Italian_SOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japanese_SEO,POL_Japanese_SOLSE_VWorW,POL_Japanese_SOLSE_NWorNAA,POL_Japanese_SOLSE_Tot,POL_Japanese_NS,POL_Japanese_Tot,POL_Korean_SEO,POL_Korean_SOLSE_VWorW,POL_Korean_SOLSE_NWorNAA,POL_Korean_SOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedonian_SEO,POL_Macedonian_SOLSE_VWorW,POL_Macedonian_SOLSE_NWorNAA,POL_Macedonian_SOLSE_Tot,POL_Macedonian_NS,POL_Macedonian_Tot,POL_Maltese_SEO,POL_Maltese_SOLSE_VWorW,POL_Maltese_SOLSE_NWorNAA,POL_Maltese_SOLSE_Tot,POL_Maltese_NS,POL_Maltese_Tot,POL_Persian_ED_SEO,POL_Persian_ED_SOLSE_VWorW,POL_Persian_ED_SOLSE_NWorNAA,POL_Persian_ED_SOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_SOLSE_VWorW,POL_Polish_SOLSE_NWorNAA,POL_Polish_SOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Russian_SEO,POL_Russian_SOLSE_VWorW,POL_Russian_SOLSE_NWorNAA,POL_Russian_SOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_SOLSE_VWorW,POL_Samoan_SOLSE_NWorNAA,POL_Samoan_SOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_SOLSE_VWorW,POL_Serbian_SOLSE_NWorNAA,POL_Serbian_SOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipino_SEO,POL_SAL_Filipino_SOLSE_VWorW,POL_SAL_Filipin_SOLSE_NWorNAA,POL_SAL_Filipino_SOLSE_Tot,POL_SAL_Filipino_NS,POL_SAL_Filipino_Tot,POL_SAL_Indonesian_SEO,POL_SAL_Indonesia_SOLSE_VWorW,POL_SAL_Indones_SOLSE_NWorNAA,POL_SAL_Indonesian_SOLSE_Tot,POL_SAL_Indonesian_NS,POL_SAL_Indonesian_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_SOLSE_VWorW,POL_SAL_Tagalog_SOLSE_NWorNAA,POL_SAL_Tagalog_SOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_SOLSE_VWorW,POL_SAL_Oth_SOLSE_NWorNAA,POL_SAL_Oth_SOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_SOLSE_VWorW,POL_SAL_Tot_SOLSE_NWorNAA,POL_SAL_Tot_SOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_SOLSE_VWorW,POL_Spanish_SOLSE_NWorNAA,POL_Spanish_SOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_SOLSE_VWorW,POL_Tamil_SOLSE_NWorNAA,POL_Tamil_SOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_SOLSE_VWorW,POL_Thai_SOLSE_NWorNAA,POL_Thai_SOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_SOLSE_VWorW,POL_Turkish_SOLSE_NWorNAA,POL_Turkish_SOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_SOLSE_VWorW,POL_Vietnamese_SOLSE_NWorNAA,POL_Vietnamese_SOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_SOLSE_VWorW,POL_Oth_SOLSE_NWorNAA,POL_Oth_SOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_SOLSE_VWorW,POL_Tot_SOLSE_NWorNAA,POL_Tot_SOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LSatH_NS_SEO,P_LSatH_NS_SOLSE_VWorW,P_LSatH_NS_SOLSE_NWorNAA,P_LSatH_NS_SOLSE_Tot,P_LSatH_NS_NS,P_LSatH_NS_Tot,P_Tot_SEO,P_Tot_SOLSE_VWorW,P_Tot_SOLSE_NWorNAA,P_Tot_SOLSE_Tot,P_Tot_NS,P_Tot_Tot
CED211,..,1551,211,1771,14,1785,..,169,8,177,0,177,..,1285,66,1350,8,1355,..,1012,114,1127,9,1130,..,779,31,810,7,816,..,328,14,337,3,345,..,821,71,896,4,897,..,4390,309,4695,30,4725,..,1342,184,1529,13,1537,..,338,38,376,4,383,..,512,209,719,4,729,..,99,10,103,0,103,..,60,0,64,0,64,..,833,212,1043,11,1054,..,327,47,366,0,370,..,220,27,250,0,250,..,17,0,17,0,23,..,182,42,227,0,227,..,270,7,279,0,282,..,490,37,527,3,533,..,285,9,298,0,294,..,119,5,120,0,118,..,1168,56,1220,6,1225,..,609,58,665,5,674,..,374,10,389,3,396,..,327,44,370,3,369,..,99,6,105,0,105,..,906,311,1218,14,1230,..,3532,1871,5397,101,5505,..,30462,7728,38192,303,38501,..,327,80,409,5521,5932,102335,30790,7808,38599,5826,146767
CED212,..,999,144,1147,14,1155,..,15,0,15,0,15,..,178,12,195,0,194,..,131,16,150,0,150,..,108,4,115,0,120,..,54,3,55,0,56,..,72,3,80,0,82,..,565,44,607,3,610,..,900,64,960,18,979,..,170,13,180,0,182,..,54,17,68,0,68,..,36,0,37,3,44,..,62,0,65,0,66,..,74,5,80,0,80,..,292,27,312,0,312,..,392,82,473,0,473,..,92,10,98,0,100,..,220,23,242,0,242,..,190,0,190,3,193,..,137,8,149,0,150,..,258,5,268,0,266,..,61,8,63,0,67,..,646,21,667,12,677,..,494,54,547,9,553,..,85,11,98,0,98,..,234,49,286,3,286,..,82,4,93,3,97,..,100,36,133,4,137,..,2334,406,2742,73,2816,..,11126,1486,12614,180,12791,..,386,27,419,8219,8638,124945,11512,1516,13034,8402,146381
CED213,..,919,174,1089,10,1097,..,4,0,4,0,4,..,64,0,63,0,63,..,67,9,80,0,80,..,29,0,31,3,30,..,6,0,6,0,6,..,35,3,38,0,38,..,209,16,221,3,224,..,1380,167,1546,30,1574,..,99,4,110,0,110,..,15,0,15,0,15,..,66,9,71,0,71,..,108,3,114,0,114,..,19,0,23,0,23,..,112,11,129,0,128,..,76,4,81,3,88,..,21,3,25,0,25,..,77,13,88,3,91,..,113,7,117,0,124,..,80,0,86,0,81,..,137,3,143,0,143,..,28,0,28,0,28,..,359,7,368,3,374,..,270,28,296,0,292,..,14,3,16,0,16,..,124,27,155,0,154,..,47,5,50,0,50,..,60,11,74,0,71,..,954,191,1146,31,1177,..,6897,848,7740,124,7864,..,354,10,369,9318,9689,135943,7253,860,8109,9445,153498
CED214,..,3804,1141,4950,36,4983,..,832,101,931,5,939,..,1306,71,1374,16,1394,..,1228,161,1390,9,1402,..,295,12,307,4,313,..,713,77,790,16,808,..,1331,115,1445,8,1451,..,5704,542,6246,62,6304,..,3140,716,3853,51,3901,..,317,36,359,3,355,..,138,45,184,0,184,..,1561,543,2099,21,2121,..,1787,219,2009,17,2028,..,291,104,397,10,403,..,653,138,792,9,802,..,163,18,182,0,182,..,288,17,306,3,313,..,716,182,899,15,912,..,694,33,718,4,723,..,399,44,446,11,456,..,798,26,828,3,828,..,164,12,174,0,174,..,2056,110,2165,21,2190,..,1281,224,1498,14,1518,..,560,181,743,17,764,..,338,85,415,3,421,..,597,141,741,5,746,..,8107,3862,11965,88,12057,..,6613,1805,8422,192,8608,..,47659,12583,60237,669,60914,..,415,144,559,9789,10356,94607,48079,12721,60798,10462,165873
CED215,..,316,63,378,10,388,..,64,3,66,0,66,..,157,8,163,4,165,..,141,11,149,3,152,..,107,3,114,0,114,..,76,0,79,0,77,..,88,9,100,3,100,..,630,33,664,10,669,..,936,147,1076,22,1102,..,52,13,60,0,62,..,34,7,36,0,39,..,17,0,17,0,17,..,117,5,127,0,126,..,26,0,31,0,31,..,158,22,179,3,182,..,33,10,43,0,43,..,8,0,8,0,8,..,39,7,45,0,45,..,176,14,198,0,195,..,51,3,51,0,51,..,239,11,251,0,255,..,72,8,82,0,78,..,546,38,582,5,585,..,144,21,170,0,169,..,77,17,89,0,95,..,85,35,122,0,123,..,9,3,11,0,11,..,140,68,209,3,211,..,940,193,1139,20,1162,..,5948,930,6883,118,7001,..,390,15,406,11927,12333,123696,6335,949,7288,12042,143033
CED216,..,3182,499,3679,44,3724,..,91,3,89,0,89,..,915,34,947,3,948,..,254,14,265,4,264,..,169,8,172,0,176,..,73,3,73,0,77,..,542,48,590,6,596,..,2034,107,2144,16,2152,..,1757,153,1902,15,1917,..,605,174,781,3,783,..,280,84,362,0,364,..,82,4,86,0,86,..,63,3,61,0,61,..,119,19,140,0,142,..,738,66,811,9,818,..,2544,446,2991,17,3009,..,19,0,21,0,21,..,329,27,355,0,355,..,109,4,110,0,113,..,178,5,179,0,179,..,162,0,166,0,166,..,60,4,70,0,69,..,506,19,522,3,527,..,784,44,823,8,836,..,251,11,262,0,266,..,167,27,192,0,192,..,164,27,191,4,195,..,384,57,438,3,447,..,3766,375,4139,67,4212,..,25475,3729,29207,240,29447,..,291,36,330,6852,7181,110991,25769,3770,29533,7094,147627
CED217,..,2227,275,2508,19,2529,..,424,30,452,6,454,..,2542,140,2683,18,2702,..,3546,477,4024,43,4070,..,1242,77,1325,12,1331,..,1323,135,1457,11,1466,..,718,106,819,5,827,..,9792,972,10763,87,10848,..,2622,218,2839,42,2877,..,137,12,149,0,149,..,162,56,220,0,219,..,3408,603,4010,44,4056,..,3629,254,3882,56,3942,..,220,73,292,3,299,..,811,140,949,11,960,..,143,24,172,0,173,..,1376,117,1497,30,1522,..,1210,239,1450,14,1466,..,2569,72,2636,23,2660,..,399,37,437,4,446,..,3627,115,3740,27,3767,..,389,34,426,9,433,..,6981,258,7241,63,7304,..,2529,373,2904,24,2931,..,759,74,835,7,840,..,331,73,401,10,413,..,1729,311,2037,23,2064,..,8288,4153,12440,119,12560,..,9847,2346,12196,237,12436,..,65930,13124,79061,900,79958,..,683,158,838,11491,12333,102399,66614,13284,79900,12395,194692
CED218,..,4274,1163,5434,45,5485,..,232,3,235,0,235,..,1556,64,1622,16,1639,..,308,11,322,3,322,..,517,17,529,3,532,..,174,5,181,3,181,..,1479,109,1585,8,1597,..,4272,211,4480,37,4516,..,1572,124,1699,19,1714,..,634,109,737,3,743,..,486,150,629,7,640,..,84,6,87,0,91,..,46,0,42,0,42,..,376,34,411,4,410,..,440,48,484,3,486,..,1176,487,1660,13,1679,..,20,0,21,0,20,..,235,17,253,0,253,..,183,9,188,0,188,..,637,35,677,4,681,..,260,4,265,0,265,..,146,0,146,0,146,..,1227,50,1275,10,1283,..,1142,82,1224,8,1235,..,469,28,497,3,504,..,388,102,488,6,497,..,264,58,319,3,323,..,853,119,968,0,968,..,3433,439,3869,78,3950,..,33768,5485,39250,329,39575,..,308,34,345,9286,9629,104736,34072,5521,39590,9612,153942
CED219,..,1643,187,1829,18,1848,..,405,21,422,0,429,..,3561,210,3766,25,3789,..,5099,665,5762,70,5831,..,5963,460,6418,52,6474,..,1285,166,1457,14,1469,..,1626,177,1812,14,1822,..,17944,1693,19637,175,19812,..,1454,179,1635,35,1671,..,91,20,113,3,114,..,139,64,199,4,204,..,276,42,320,4,324,..,195,9,204,6,209,..,685,220,900,15,917,..,896,162,1061,18,1076,..,415,83,500,3,500,..,2117,201,2319,45,2366,..,1753,472,2231,29,2256,..,1389,29,1413,15,1433,..,639,61,700,3,703,..,1730,51,1778,34,1807,..,461,27,494,6,500,..,4215,171,4382,59,4443,..,2104,360,2467,23,2489,..,2937,391,3329,25,3355,..,301,63,371,8,376,..,1116,246,1358,24,1379,..,1346,620,1965,12,1981,..,20369,5654,26018,419,26436,..,70233,13268,83497,1036,84539,..,526,187,718,9899,10615,104713,70758,13454,84212,10943,199864
CED220,..,7458,2049,9506,61,9574,..,264,8,277,3,277,..,1803,101,1900,7,1911,..,2534,253,2790,20,2806,..,982,50,1029,7,1039,..,356,20,384,4,386,..,992,82,1070,3,1075,..,6934,511,7447,41,7489,..,2255,466,2726,38,2764,..,520,88,609,6,617,..,575,247,822,3,829,..,102,19,124,0,124,..,131,10,146,0,146,..,189,28,215,6,225,..,560,90,649,5,653,..,2136,435,2576,17,2595,..,111,11,122,0,120,..,338,76,420,5,420,..,452,16,465,8,473,..,438,73,518,0,520,..,639,17,654,3,658,..,229,34,263,3,270,..,1762,146,1907,13,1924,..,923,147,1066,17,1083,..,776,52,831,12,841,..,347,169,514,0,514,..,508,146,658,8,669,..,6229,3749,9973,60,10034,..,8215,3148,11358,189,11549,..,51843,15842,67680,585,68270,..,342,134,477,6329,6813,76205,52189,15977,68159,6914,151282
CED221,..,158,27,184,5,190,..,22,3,25,0,26,..,108,9,114,0,114,..,179,19,199,5,199,..,93,5,97,0,102,..,52,8,59,4,59,..,249,71,321,8,323,..,699,111,806,12,817,..,1081,162,1240,33,1276,..,87,9,97,0,97,..,23,6,32,0,32,..,25,3,24,0,24,..,20,0,20,0,25,..,36,3,36,0,36,..,68,11,80,0,78,..,39,6,40,0,40,..,15,0,12,0,12,..,83,15,100,0,98,..,135,5,142,0,140,..,40,3,43,3,42,..,184,14,198,0,198,..,54,0,53,0,53,..,414,18,437,3,440,..,132,13,143,3,149,..,41,0,48,0,48,..,84,20,102,3,108,..,11,8,19,0,19,..,39,4,41,0,41,..,899,200,1098,21,1119,..,5505,800,6302,115,6418,..,319,16,336,9995,10326,123437,5821,818,6642,10106,140183
CED222,..,2464,329,2798,29,2822,..,256,17,270,3,273,..,1323,89,1413,12,1425,..,1389,174,1562,26,1588,..,1177,69,1248,10,1256,..,318,24,341,3,342,..,542,43,586,0,588,..,5008,412,5419,52,5464,..,1459,198,1658,23,1681,..,239,27,268,0,270,..,114,34,145,3,155,..,145,31,173,0,173,..,127,4,129,3,131,..,234,72,303,3,301,..,550,89,637,5,646,..,899,212,1108,3,1114,..,282,27,312,5,317,..,641,131,771,3,780,..,545,10,553,4,559,..,202,15,219,3,220,..,736,18,758,5,763,..,211,32,245,0,243,..,1695,72,1768,15,1781,..,948,134,1085,15,1102,..,1061,91,1154,3,1156,..,248,57,305,3,314,..,969,185,1151,9,1163,..,3387,1520,4906,34,4941,..,8888,3120,12006,176,12186,..,36964,8855,45824,487,46310,..,452,111,568,7686,8248,104097,37418,8972,46387,8174,158654
CED223,..,2212,249,2457,24,2483,..,60,3,60,0,60,..,600,19,623,7,626,..,241,16,260,6,264,..,349,15,369,3,372,..,174,10,183,0,183,..,288,15,304,0,303,..,1716,84,1805,18,1818,..,3193,338,3526,29,3554,..,388,40,424,3,423,..,179,49,223,3,224,..,675,54,727,3,734,..,111,3,110,0,110,..,546,75,625,3,626,..,292,18,304,3,310,..,279,36,317,0,321,..,61,6,62,0,62,..,239,47,285,0,282,..,161,3,160,0,161,..,157,19,174,0,178,..,182,8,193,3,192,..,104,3,102,0,105,..,599,37,631,7,636,..,572,49,621,13,629,..,351,11,361,6,367,..,200,25,225,3,229,..,119,15,128,0,131,..,653,124,775,13,785,..,2999,572,3571,113,3680,..,22414,3345,25761,272,26031,..,363,51,410,5921,6334,108939,22774,3397,26173,6195,141301
CED224,..,3597,521,4118,26,4143,..,184,10,194,3,199,..,1214,37,1245,16,1265,..,266,3,273,0,273,..,565,20,584,3,588,..,210,15,225,3,234,..,1137,76,1214,9,1221,..,3581,157,3738,35,3774,..,2296,243,2538,23,2561,..,419,52,466,8,478,..,535,140,676,0,678,..,210,21,229,0,229,..,52,0,51,0,51,..,557,40,602,4,606,..,246,15,262,0,262,..,251,13,265,3,269,..,22,0,22,0,22,..,121,17,137,3,135,..,144,3,143,0,143,..,611,55,667,0,667,..,184,3,190,0,192,..,119,3,118,0,118,..,1058,60,1115,0,1118,..,778,78,861,8,864,..,524,15,545,3,548,..,325,43,361,3,368,..,174,21,194,0,192,..,1636,222,1853,13,1862,..,2055,270,2331,73,2402,..,34773,6167,40937,317,41258,..,295,40,333,6688,7023,97119,35071,6204,41273,7005,145399
CED225,..,662,49,718,16,730,..,229,4,241,4,244,..,984,47,1029,6,1036,..,885,104,987,11,998,..,2601,159,2760,14,2775,..,394,36,424,4,429,..,558,61,622,7,629,..,5651,411,6059,42,6104,..,1114,113,1226,23,1246,..,153,24,173,0,173,..,248,109,355,8,365,..,91,10,96,3,102,..,102,5,107,0,107,..,274,64,339,0,336,..,501,49,546,3,555,..,290,36,323,4,325,..,230,23,253,8,263,..,352,39,391,4,394,..,367,9,381,9,384,..,252,13,263,0,264,..,379,6,388,3,391,..,137,6,144,0,144,..,1139,40,1175,10,1186,..,929,85,1019,12,1028,..,759,38,800,9,806,..,146,24,170,0,175,..,199,28,229,0,231,..,241,60,302,6,305,..,4837,917,5753,124,5877,..,24016,3242,27252,341,27592,..,354,51,406,6277,6679,122686,24363,3296,27662,6618,156965
CED226,..,1420,164,1585,18,1602,..,2187,170,2353,17,2366,..,7622,425,8046,57,8103,..,7384,900,8287,78,8366,..,1515,85,1600,25,1620,..,3456,363,3823,24,3847,..,4202,414,4616,42,4661,..,26358,2364,28727,238,28960,..,2695,383,3079,39,3119,..,319,44,369,0,370,..,621,240,859,11,866,..,1211,145,1351,12,1367,..,1324,71,1390,8,1398,..,436,125,566,3,567,..,607,94,703,0,702,..,459,66,523,0,523,..,1269,93,1358,21,1373,..,875,140,1019,13,1027,..,2168,56,2215,19,2237,..,1503,107,1607,17,1622,..,2910,83,2992,37,3030,..,774,17,794,7,800,..,7352,260,7609,81,7687,..,1811,229,2037,27,2067,..,1840,143,1983,27,2008,..,467,87,554,6,563,..,331,50,380,3,385,..,1880,640,2516,17,2537,..,15817,4244,20055,395,20455,..,80888,13282,94168,1046,95219,..,619,220,839,12595,13433,123330,81504,13502,95011,13642,231979
CED227,..,382,81,459,6,468,..,67,0,67,0,67,..,104,7,112,0,109,..,373,63,436,10,445,..,100,4,105,0,110,..,28,3,28,0,29,..,115,4,114,0,114,..,780,81,864,13,877,..,1332,194,1522,32,1559,..,54,21,74,0,74,..,55,40,95,0,95,..,7,4,10,0,10,..,20,0,20,0,20,..,28,17,44,0,42,..,34,3,39,0,39,..,21,0,19,0,19,..,61,10,71,0,71,..,29,0,26,0,26,..,185,11,196,0,201,..,56,13,77,0,75,..,205,10,214,0,214,..,142,56,196,4,203,..,596,89,683,4,689,..,75,14,87,0,87,..,76,33,113,0,115,..,98,28,124,3,129,..,328,142,475,3,479,..,199,222,424,13,437,..,1888,676,2567,47,2605,..,7327,2054,9382,141,9528,..,378,46,426,10922,11342,117722,7708,2096,9805,11064,138592
CED228,..,3601,836,4436,51,4492,..,260,27,288,3,292,..,1582,72,1649,11,1659,..,2514,237,2752,29,2786,..,440,19,459,3,464,..,786,87,868,5,873,..,1087,83,1169,11,1179,..,6660,523,7186,62,7251,..,6898,1354,8254,126,8381,..,239,26,269,3,271,..,233,84,316,0,319,..,1112,294,1401,17,1426,..,2141,295,2433,47,2481,..,386,174,554,13,570,..,630,138,762,11,775,..,184,19,203,0,203,..,570,62,633,21,652,..,737,197,925,18,947,..,720,30,746,3,752,..,235,17,250,0,253,..,1053,47,1093,5,1102,..,152,20,171,0,171,..,2151,112,2264,13,2277,..,1686,328,2012,20,2036,..,553,150,705,4,708,..,290,72,360,10,371,..,714,129,838,3,842,..,13625,7299,20923,180,21106,..,6050,1910,7954,154,8108,..,58665,17189,75848,890,76738,..,436,129,566,9264,9831,79849,59100,17322,76421,10149,166417
CED229,..,1661,121,1783,11,1799,..,181,12,199,0,199,..,2189,120,2310,14,2328,..,3756,510,4263,47,4312,..,1899,145,2041,17,2054,..,880,112,992,9,998,..,819,91,914,4,923,..,9725,989,10720,93,10816,..,3482,244,3724,53,3779,..,135,19,155,0,155,..,115,34,153,0,153,..,1786,172,1960,25,1984,..,676,31,702,3,708,..,274,82,349,5,353,..,238,24,267,0,267,..,125,20,142,3,144,..,923,80,1002,11,1007,..,267,24,287,0,292,..,562,17,579,3,586,..,192,6,204,0,202,..,804,22,829,11,835,..,229,8,235,0,231,..,1779,55,1838,13,1856,..,690,67,753,11,766,..,680,49,727,7,729,..,250,60,305,0,308,..,1915,373,2279,30,2314,..,333,120,449,5,461,..,6011,1447,7464,140,7605,..,36446,4946,41390,478,41871,..,438,107,547,11295,11842,156822,36880,5060,41939,11773,210531
CED230,..,326,33,361,5,368,..,104,10,114,0,114,..,353,13,372,3,372,..,682,93,774,12,783,..,557,51,610,3,612,..,121,12,136,0,136,..,230,27,256,0,256,..,2054,210,2258,14,2274,..,870,116,981,21,1000,..,106,6,112,0,111,..,48,30,73,0,77,..,24,3,27,0,32,..,178,6,185,0,190,..,69,14,79,0,79,..,140,19,160,0,163,..,135,11,147,0,153,..,134,3,135,0,135,..,143,34,175,7,180,..,268,6,276,3,283,..,110,5,111,7,118,..,270,9,279,4,283,..,82,8,83,0,83,..,728,24,757,11,767,..,397,42,444,4,444,..,161,13,172,0,178,..,107,28,137,0,132,..,63,10,69,0,69,..,149,59,203,4,210,..,2406,450,2858,67,2927,..,10704,1511,12212,181,12395,..,389,44,431,10718,11147,143781,11090,1552,12647,10896,167328
CED231,..,2169,688,2858,13,2874,..,330,11,346,5,348,..,2048,67,2114,15,2127,..,213,7,222,0,222,..,424,10,439,3,442,..,331,10,342,0,342,..,805,29,828,7,838,..,4150,141,4287,26,4315,..,2817,460,3285,32,3312,..,857,247,1110,9,1119,..,1728,843,2567,23,2591,..,238,31,271,3,269,..,175,23,199,6,198,..,543,56,601,7,608,..,261,20,284,0,287,..,391,20,409,3,416,..,27,0,27,0,27,..,288,48,341,4,347,..,407,4,409,0,412,..,2520,93,2605,16,2628,..,423,7,432,3,435,..,718,27,741,9,754,..,4061,125,4187,33,4221,..,2503,254,2758,19,2782,..,851,29,883,9,894,..,1315,394,1709,13,1722,..,512,123,635,12,645,..,4028,1958,5982,51,6033,..,7718,1337,9059,203,9261,..,66258,13781,80038,725,80765,..,451,134,581,20402,20984,106840,66705,13914,80623,21129,208593
CED232,..,2833,638,3466,26,3489,..,196,9,201,0,201,..,1447,50,1497,7,1500,..,196,13,210,0,213,..,197,10,204,0,204,..,174,0,176,0,176,..,919,56,976,3,985,..,3130,141,3270,10,3276,..,1905,131,2041,25,2061,..,655,162,819,16,833,..,561,210,769,10,777,..,175,9,188,0,190,..,70,4,79,3,78,..,402,26,428,5,429,..,607,72,679,3,682,..,1716,657,2368,20,2387,..,35,0,35,0,35,..,302,20,323,3,323,..,271,0,273,0,273,..,998,40,1032,4,1036,..,304,4,303,3,307,..,204,5,205,0,205,..,1773,49,1817,7,1825,..,1908,126,2033,6,2043,..,379,14,396,3,398,..,401,59,462,0,466,..,260,50,305,3,311,..,634,82,719,3,719,..,5848,596,6448,118,6561,..,35059,4696,39753,359,40113,..,352,53,405,15047,15458,105131,35413,4747,40163,15406,160699
CED233,..,6102,1000,7097,68,7161,..,90,3,93,0,96,..,777,24,803,5,806,..,430,40,467,3,467,..,310,10,324,3,332,..,357,21,383,3,385,..,337,12,347,0,351,..,2308,113,2422,16,2438,..,4552,519,5072,60,5133,..,261,40,296,3,305,..,679,251,933,14,944,..,504,52,557,10,565,..,147,3,153,0,153,..,1885,324,2214,18,2228,..,205,17,220,3,222,..,158,11,174,0,174,..,8,0,11,0,11,..,167,19,184,3,189,..,127,0,127,0,126,..,407,35,436,0,440,..,162,0,166,0,163,..,155,10,166,0,166,..,851,43,895,3,897,..,423,39,460,3,468,..,352,11,361,5,366,..,122,21,140,3,139,..,200,35,237,0,237,..,623,136,757,0,757,..,1873,359,2234,62,2291,..,42198,9019,51215,404,51619,..,280,60,341,4870,5210,80708,42476,9077,51555,5274,137535
CED234,..,259,37,297,3,302,..,46,0,45,0,49,..,162,6,164,0,168,..,854,165,1018,17,1040,..,143,7,148,0,151,..,133,12,147,0,153,..,189,26,216,0,217,..,1527,226,1748,25,1774,..,1607,261,1871,32,1905,..,44,12,51,0,52,..,52,24,71,3,75,..,199,29,224,3,227,..,24,0,23,0,23,..,77,20,97,0,97,..,51,3,53,0,53,..,25,0,27,0,27,..,203,14,221,3,225,..,32,10,43,0,47,..,309,12,326,0,328,..,37,4,42,0,47,..,289,13,298,0,304,..,93,21,108,0,110,..,731,49,777,3,784,..,76,9,83,4,89,..,72,9,87,0,87,..,132,31,159,3,163,..,367,142,510,3,515,..,48,22,71,3,74,..,2104,802,2909,76,2983,..,9742,2388,12131,199,12334,..,405,66,473,11336,11812,121228,10147,2455,12601,11543,145366
CED235,..,5284,1242,6525,65,6590,..,299,20,314,7,322,..,2652,173,2821,36,2859,..,4830,591,5413,70,5485,..,1401,87,1487,11,1502,..,855,86,947,20,965,..,1107,100,1201,12,1211,..,11141,1050,12194,142,12336,..,7307,1483,8793,150,8941,..,145,26,167,0,167,..,115,39,151,4,156,..,7012,1632,8641,96,8739,..,707,52,758,11,766,..,792,356,1145,11,1156,..,207,23,228,7,236,..,119,29,149,0,149,..,628,36,659,12,672,..,592,111,707,0,711,..,663,17,684,8,696,..,313,35,351,3,353,..,835,22,853,4,858,..,233,20,254,0,259,..,2048,97,2147,17,2166,..,589,84,670,18,685,..,1545,219,1766,22,1784,..,178,31,207,3,210,..,1328,290,1620,14,1636,..,2985,1490,4474,38,4507,..,5949,1377,7329,167,7493,..,61665,13392,75060,942,76005,..,430,176,608,7071,7676,84291,62099,13566,75662,8009,167966
