CED_CODE_2016,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedonian_SEO,FOL_Macedonian_SOLSE_VWorW,FOL_Macedonian_SOLSE_NWorNAA,FOL_Macedonian_SOLSE_Tot,FOL_Macedonian_NS,FOL_Macedonian_Tot,FOL_Maltese_SEO,FOL_Maltese_SOLSE_VWorW,FOL_Maltese_SOLSE_NWorNAA,FOL_Maltese_SOLSE_Tot,FOL_Maltese_NS,FOL_Maltese_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_SOLSE_VWorW,FOL_Persian_ED_SOLSE_NWorNAA,FOL_Persian_ED_SOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_SOLSE_VWorW,FOL_Polish_SOLSE_NWorNAA,FOL_Polish_SOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Russian_SEO,FOL_Russian_SOLSE_VWorW,FOL_Russian_SOLSE_NWorNAA,FOL_Russian_SOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_SOLSE_VWorW,FOL_Samoan_SOLSE_NWorNAA,FOL_Samoan_SOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_SOLSE_VWorW,FOL_Serbian_SOLSE_NWorNAA,FOL_Serbian_SOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipino_SEO,FOL_SAL_Filipino_SOLSE_VWorW,FOL_SAL_Filipin_SOLSE_NWorNAA,FOL_SAL_Filipino_SOLSE_Tot,FOL_SAL_Filipino_NS,FOL_SAL_Filipino_Tot,FOL_SAL_Indonesian_SEO,FOL_SAL_Indonesia_SOLSE_VWorW,FOL_SAL_Indones_SOLSE_NWorNAA,FOL_SAL_Indonesian_SOLSE_Tot,FOL_SAL_Indonesian_NS,FOL_SAL_Indonesian_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_SOLSE_VWorW,FOL_SAL_Tagalog_SOLSE_NWorNAA,FOL_SAL_Tagalog_SOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_SOLSE_VWorW,FOL_SAL_Oth_SOLSE_NWorNAA,FOL_SAL_Oth_SOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_SOLSE_VWorW,FOL_SAL_Tot_SOLSE_NWorNAA,FOL_SAL_Tot_SOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_SOLSE_VWorW,FOL_Spanish_SOLSE_NWorNAA,FOL_Spanish_SOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_SOLSE_VWorW,FOL_Tamil_SOLSE_NWorNAA,FOL_Tamil_SOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_SOLSE_VWorW,FOL_Thai_SOLSE_NWorNAA,FOL_Thai_SOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_SOLSE_VWorW,FOL_Turkish_SOLSE_NWorNAA,FOL_Turkish_SOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_SOLSE_VWorW,FOL_Vietnamese_SOLSE_NWorNAA,FOL_Vietnamese_SOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_SOLSE_VWorW,FOL_Oth_SOLSE_NWorNAA,FOL_Oth_SOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_SOLSE_VWorW,FOL_Tot_SOLSE_NWorNAA,FOL_Tot_SOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LSatH_NS_SEO,F_LSatH_NS_SOLSE_VWorW,F_LSatH_NS_SOLSE_NWorNAA,F_LSatH_NS_SOLSE_Tot,F_LSatH_NS_NS,F_LSatH_NS_Tot,F_Tot_SEO,F_Tot_SOLSE_VWorW,F_Tot_SOLSE_NWorNAA,F_Tot_SOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_SOLSE_VWorW,PSEO_SOLSE_NWorNAA,PSEO_SOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_SOLSE_VWorW,POL_Afrikaans_SOLSE_NWorNAA,POL_Afrikaans_SOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_SOLSE_VWorW,POL_Arabic_SOLSE_NWorNAA,POL_Arabic_SOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_SOLSE_VWorW,POL_AIndLng_SOLSE_NWorNAA,POL_AIndLng_SOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Cantones_SEO,POL_CL_Cantones_SOLSE_VWorW,POL_CL_Cantones_SOLSE_NWorNAA,POL_CL_Cantones_SOLSE_Tot,POL_CL_Cantones_NS,POL_CL_Cantones_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_SOLSE_VWorW,POL_CL_Mandarin_SOLSE_NWorNAA,POL_CL_Mandarin_SOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot,POL_CL_Oth_SEO,POL_CL_Oth_SOLSE_VWorW,POL_CL_Oth_SOLSE_NWorNAA,POL_CL_Oth_SOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_SOLSE_VWorW,POL_CL_Tot_SOLSE_NWorNAA,POL_CL_Tot_SOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_SOLSE_VWorW,POL_Croatian_SOLSE_NWorNAA,POL_Croatian_SOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_Dutch_SEO,POL_Dutch_SOLSE_VWorW,POL_Dutch_SOLSE_NWorNAA,POL_Dutch_SOLSE_Tot,POL_Dutch_NS,POL_Dutch_Tot,POL_French_SEO,POL_French_SOLSE_VWorW,POL_French_SOLSE_NWorNAA,POL_French_SOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_SOLSE_VWorW,POL_German_SOLSE_NWorNAA,POL_German_SOLSE_Tot,POL_German_NS,POL_German_Tot
CED211,3,364,..,51,0,51,0,51,..,31,0,33,0,33,..,409,111,523,0,520,..,190,30,215,0,220,..,127,16,143,0,143,..,8,0,8,0,14,..,97,28,127,0,127,..,155,0,159,0,161,..,268,15,284,0,288,..,189,4,196,0,200,..,69,3,71,0,71,..,686,26,706,3,711,..,311,28,342,7,341,..,187,6,199,3,199,..,213,23,239,3,241,..,48,6,59,0,59,..,461,186,646,8,657,..,1769,995,2759,41,2798,..,15673,4308,19982,144,20124,..,194,50,244,2898,3138,52744,15863,4357,20217,3039,76001,102335,..,..,..,..,102335,..,164,0,164,0,164,..,421,53,474,7,477,..,16,3,17,0,17,..,3599,1087,4685,29,4716,..,7483,2753,10233,44,10284,..,451,130,578,3,580,..,11531,3970,15498,76,15574,..,196,29,225,0,225,..,278,6,283,0,283,..,332,16,345,3,344,..,639,15,654,6,660
CED212,0,39,..,13,0,14,0,17,..,36,0,32,0,38,..,33,3,37,0,37,..,153,9,167,0,167,..,224,43,268,0,268,..,54,7,58,0,58,..,109,12,120,0,120,..,133,0,133,3,137,..,78,4,82,0,81,..,180,5,188,0,189,..,44,0,43,0,49,..,433,14,443,4,454,..,272,39,303,3,308,..,49,8,53,0,53,..,157,36,192,0,190,..,39,0,45,0,41,..,70,26,88,3,93,..,1212,207,1422,40,1460,..,5947,843,6788,101,6887,..,215,17,229,4216,4443,64376,6157,859,7019,4312,75708,124945,..,..,..,..,124945,..,160,3,161,0,161,..,313,54,369,10,374,..,10,0,10,0,10,..,292,83,377,3,378,..,769,279,1042,12,1049,..,56,11,66,0,66,..,1114,370,1483,16,1496,..,238,28,271,6,271,..,362,13,375,0,374,..,387,4,392,3,392,..,696,18,712,8,719
CED213,0,7,..,29,3,32,0,32,..,56,3,61,0,61,..,5,0,5,0,5,..,66,6,73,0,73,..,42,3,43,4,49,..,8,0,13,0,13,..,35,3,37,3,43,..,73,3,78,0,83,..,42,0,48,0,43,..,98,0,101,0,101,..,19,0,19,0,19,..,234,6,244,3,246,..,137,13,153,0,153,..,13,0,13,0,11,..,92,19,116,0,113,..,22,3,25,0,27,..,38,7,47,0,49,..,502,83,586,19,602,..,3579,435,4019,58,4074,..,178,3,185,4775,4955,69407,3764,436,4196,4835,78445,135943,..,..,..,..,135943,..,109,0,108,0,112,..,146,9,156,3,159,..,11,0,11,0,18,..,97,24,118,0,116,..,239,74,311,3,315,..,25,3,26,0,26,..,354,98,453,7,463,..,222,15,238,9,243,..,312,5,315,10,325,..,287,8,296,3,295,..,532,18,551,8,557
CED214,0,90,..,763,321,1085,6,1088,..,955,130,1086,9,1098,..,106,34,136,3,139,..,393,90,483,11,489,..,95,12,104,0,104,..,162,4,164,3,171,..,372,115,484,9,487,..,423,21,442,4,441,..,204,22,232,7,234,..,491,13,507,3,511,..,101,3,102,0,102,..,1216,66,1276,18,1293,..,626,130,752,10,757,..,169,43,214,7,218,..,231,56,292,3,290,..,267,85,356,4,362,..,4035,2357,6391,44,6433,..,2857,876,3732,88,3822,..,23123,7214,30335,331,30668,..,195,76,273,4815,5088,47398,23324,7288,30612,5142,83151,94607,..,..,..,..,94607,..,93,3,95,0,95,..,3174,532,3707,58,3765,..,7,0,7,0,7,..,1730,783,2516,15,2533,..,2024,714,2739,22,2762,..,274,116,393,3,394,..,4032,1613,5648,38,5687,..,1080,252,1329,5,1338,..,170,7,174,0,174,..,418,34,445,4,451,..,580,29,610,3,615
CED215,0,23,..,6,0,6,0,6,..,60,5,67,0,63,..,12,0,12,0,12,..,80,11,95,3,96,..,20,5,24,0,24,..,3,0,3,0,3,..,20,6,26,0,26,..,129,10,138,0,137,..,31,3,35,0,35,..,153,3,159,0,164,..,46,0,49,0,49,..,359,21,382,3,384,..,78,10,85,0,88,..,32,7,34,0,37,..,64,18,88,0,89,..,3,0,3,0,3,..,73,40,115,0,115,..,478,96,573,9,583,..,3086,529,3613,56,3675,..,197,10,204,5639,5840,62829,3283,535,3819,5692,72339,123696,..,..,..,..,123696,..,122,0,122,0,127,..,157,29,189,13,200,..,25,0,25,0,20,..,124,36,161,3,167,..,343,155,500,4,504,..,39,13,52,0,52,..,511,205,717,7,722,..,75,6,83,0,83,..,272,7,276,4,278,..,129,8,133,4,137,..,354,5,359,6,364
CED216,0,200,..,46,4,53,0,53,..,35,3,43,0,43,..,59,13,72,0,72,..,447,47,492,0,495,..,1376,257,1626,10,1643,..,10,0,10,0,10,..,178,16,190,0,190,..,69,4,72,0,77,..,98,3,95,0,95,..,109,0,113,0,113,..,35,5,38,0,39,..,316,9,328,3,326,..,419,18,440,0,441,..,113,6,118,0,117,..,117,10,126,0,126,..,85,19,101,0,105,..,191,43,234,3,231,..,1945,204,2151,30,2181,..,13519,2201,15725,123,15847,..,165,14,178,3517,3697,57453,13687,2219,15904,3642,76996,110991,..,..,..,..,110991,..,255,4,259,0,256,..,418,26,444,3,449,..,4,0,4,0,4,..,798,189,983,4,993,..,3465,1213,4676,23,4702,..,245,84,329,0,329,..,4511,1480,5990,32,6022,..,237,19,257,0,254,..,290,0,292,4,299,..,980,46,1025,5,1028,..,1009,20,1030,9,1037
CED217,0,126,..,1693,326,2020,26,2045,..,1846,123,1971,31,2006,..,99,27,128,0,128,..,425,76,496,7,503,..,85,14,98,0,100,..,715,50,767,18,779,..,623,118,742,10,751,..,1396,45,1438,9,1452,..,225,25,250,3,256,..,1971,67,2036,24,2065,..,213,22,231,3,235,..,3805,160,3964,39,3997,..,1336,216,1554,13,1569,..,359,38,400,5,406,..,213,48,260,5,270,..,851,181,1036,8,1046,..,4126,2521,6645,56,6699,..,4870,1264,6135,123,6255,..,33189,7454,40641,472,41113,..,353,72,425,5560,5985,51384,33548,7524,41071,6024,98479,102399,..,..,..,..,102399,..,102,0,102,0,102,..,3222,494,3718,48,3763,..,16,0,16,0,16,..,1500,622,2123,15,2139,..,1480,673,2162,19,2175,..,1041,477,1521,16,1535,..,4025,1784,5802,47,5844,..,1718,248,1963,19,1986,..,95,3,95,0,99,..,251,15,271,0,267,..,290,13,300,0,303
CED218,5,348,..,43,5,47,0,53,..,22,0,24,0,24,..,193,20,210,4,207,..,273,38,309,0,315,..,653,294,944,5,955,..,6,0,6,0,6,..,124,7,139,0,139,..,105,5,111,0,111,..,334,18,358,4,358,..,158,4,160,3,167,..,90,0,90,0,90,..,685,29,715,3,720,..,567,48,611,6,615,..,233,13,251,3,253,..,247,59,309,3,312,..,124,36,157,0,160,..,489,67,565,0,563,..,1728,232,1955,33,1992,..,17913,3213,21128,171,21302,..,147,22,176,4710,4887,54002,18064,3236,21304,4882,80188,104736,..,..,..,..,104736,..,134,0,133,0,136,..,460,50,511,7,516,..,6,0,6,0,6,..,2082,335,2419,16,2432,..,7104,1650,8754,49,8799,..,484,141,627,4,631,..,9670,2126,11800,64,11863,..,193,16,215,0,211,..,206,7,215,4,214,..,1077,42,1118,6,1131,..,647,12,660,5,665
CED219,0,115,..,144,23,172,0,171,..,110,8,118,3,120,..,308,115,427,10,437,..,461,98,560,10,565,..,222,56,273,4,277,..,1094,87,1175,31,1205,..,865,228,1093,15,1105,..,778,17,799,9,806,..,361,36,400,3,400,..,975,28,996,17,1015,..,249,18,263,5,269,..,2359,98,2456,39,2493,..,1064,205,1270,7,1278,..,1346,200,1547,17,1558,..,194,45,238,8,245,..,550,134,683,13,698,..,677,377,1057,4,1065,..,9628,3102,12731,186,12914,..,34452,7436,41883,521,42403,..,264,101,361,4877,5244,52294,34714,7536,42250,5395,99939,104713,..,..,..,..,104713,..,274,4,274,3,280,..,2903,443,3341,45,3392,..,3,0,3,0,3,..,954,360,1315,3,1326,..,2367,1217,3581,33,3615,..,691,213,907,4,914,..,4011,1791,5808,38,5845,..,855,123,970,7,982,..,267,5,269,3,274,..,1519,63,1579,8,1588,..,400,12,411,3,410
CED220,4,418,..,54,9,61,0,61,..,72,9,81,0,79,..,84,14,103,5,109,..,312,52,362,0,364,..,1148,229,1378,12,1384,..,69,3,70,0,70,..,170,44,209,3,211,..,252,7,257,3,261,..,238,42,275,0,275,..,378,15,392,0,396,..,117,14,125,0,124,..,982,74,1056,5,1059,..,493,72,564,14,578,..,362,29,391,3,396,..,235,104,334,0,334,..,237,82,321,4,330,..,2984,2271,5256,31,5295,..,3957,1758,5722,93,5816,..,25751,9104,34850,293,35147,..,167,74,247,3162,3409,38259,25918,9179,35098,3457,76814,76205,..,..,..,..,76205,..,151,0,157,0,157,..,1174,266,1440,8,1450,..,3,0,3,0,3,..,2658,1311,3968,33,3998,..,5167,2139,7304,36,7338,..,880,437,1319,0,1322,..,8700,3888,12591,73,12661,..,374,60,430,3,436,..,131,3,136,0,135,..,761,29,784,6,797,..,460,13,470,3,475
CED221,0,15,..,11,0,12,0,12,..,11,0,11,0,11,..,13,3,19,0,19,..,44,10,45,0,48,..,24,0,21,0,21,..,10,0,10,0,10,..,47,5,51,0,51,..,85,4,92,0,90,..,24,3,28,0,31,..,119,5,121,0,121,..,34,0,33,0,33,..,266,15,276,0,281,..,71,6,76,0,73,..,16,0,20,0,20,..,60,13,77,3,77,..,3,4,4,0,4,..,22,3,23,0,23,..,455,118,569,5,575,..,2862,464,3324,57,3385,..,160,11,170,4928,5096,62702,3029,469,3494,4981,71186,123437,..,..,..,..,123437,..,77,3,81,0,81,..,88,8,100,0,102,..,25,0,25,0,26,..,83,27,117,0,118,..,250,88,340,3,343,..,15,3,26,0,24,..,355,123,480,10,487,..,158,28,178,0,182,..,151,3,159,0,157,..,189,6,197,5,200,..,523,12,535,5,542
CED222,3,85,..,63,18,80,0,80,..,77,4,76,0,82,..,102,27,129,0,134,..,302,49,352,3,354,..,485,132,619,0,615,..,136,14,150,4,155,..,304,80,384,3,390,..,326,7,338,3,344,..,119,9,126,0,126,..,420,15,435,5,440,..,115,18,130,0,130,..,984,49,1036,12,1040,..,474,79,557,7,563,..,482,47,531,3,534,..,181,37,225,0,227,..,454,105,562,4,563,..,1687,928,2616,18,2635,..,4176,1698,5871,81,5959,..,18439,5046,23486,235,23722,..,239,43,284,3897,4176,52961,18673,5092,23766,4132,80861,104097,..,..,..,..,104097,..,290,4,294,3,299,..,951,108,1058,15,1072,..,3,0,5,0,5,..,1253,491,1741,9,1752,..,2555,1141,3699,29,3728,..,570,234,809,8,816,..,4386,1862,6246,40,6289,..,385,59,448,0,449,..,255,25,283,9,293,..,779,36,809,11,824,..,559,20,574,5,587
CED223,4,138,..,347,36,382,3,384,..,64,3,68,0,68,..,285,41,326,3,330,..,167,10,177,0,183,..,153,20,174,0,172,..,31,0,38,0,38,..,123,28,149,0,149,..,92,4,96,0,96,..,103,8,112,0,112,..,114,6,118,0,122,..,59,3,63,0,63,..,374,24,391,4,392,..,311,26,335,4,343,..,174,6,176,3,179,..,134,17,148,3,153,..,54,9,67,0,71,..,360,76,437,6,445,..,1521,327,1848,53,1899,..,11737,1906,13647,150,13793,..,181,29,206,3049,3259,55593,11914,1931,13851,3197,72644,108939,..,..,..,..,108939,..,176,3,177,0,181,..,937,162,1096,8,1102,..,6,0,5,0,5,..,1024,243,1258,3,1268,..,2983,958,3944,14,3953,..,206,72,272,0,272,..,4211,1273,5481,16,5496,..,450,45,498,3,503,..,227,3,230,0,235,..,447,20,463,3,469,..,598,20,617,7,626
CED224,0,397,..,104,12,116,0,116,..,28,3,30,0,30,..,260,23,279,0,282,..,133,14,150,0,148,..,151,11,164,3,168,..,18,0,18,0,18,..,69,7,81,3,80,..,89,3,90,0,90,..,343,30,376,0,376,..,123,0,123,0,122,..,61,3,64,0,64,..,621,38,655,0,657,..,417,45,460,3,460,..,244,6,255,3,253,..,213,19,235,3,235,..,89,8,94,0,94,..,855,128,979,9,987,..,1044,128,1178,36,1212,..,18303,3682,21990,164,22156,..,148,24,172,3417,3584,50231,18455,3705,22162,3580,75971,97119,..,..,..,..,97119,..,96,3,103,0,103,..,671,154,827,14,836,..,4,0,4,0,4,..,3840,724,4569,38,4605,..,9352,3111,12464,55,12517,..,642,191,833,0,833,..,13832,4028,17856,92,17949,..,170,22,193,3,193,..,124,0,129,0,129,..,880,23,907,6,909,..,549,10,559,4,565
CED225,0,182,..,48,4,56,4,57,..,60,0,59,0,59,..,132,36,174,0,174,..,269,34,302,3,304,..,167,22,186,4,192,..,128,12,136,7,147,..,181,16,196,3,194,..,214,3,220,3,221,..,132,9,143,0,143,..,231,10,240,0,240,..,78,5,85,0,85,..,658,29,682,9,693,..,510,42,552,12,568,..,365,23,388,3,395,..,94,16,113,0,111,..,101,18,118,0,118,..,132,27,154,4,160,..,2435,481,2915,64,2979,..,12345,1796,14142,193,14326,..,188,25,213,3120,3334,61495,12530,1823,14351,3306,79156,122686,..,..,..,..,122686,..,312,0,313,0,313,..,987,116,1101,18,1118,..,6,0,6,0,6,..,427,105,532,3,537,..,1850,743,2599,7,2599,..,247,67,322,0,322,..,2529,922,3447,13,3455,..,355,31,389,7,396,..,409,6,418,3,425,..,697,19,714,7,724,..,785,22,806,27,830
CED226,11,454,..,605,90,692,5,697,..,687,37,725,6,726,..,210,63,268,0,273,..,325,51,379,0,379,..,235,37,273,0,273,..,654,35,683,10,696,..,437,73,507,7,519,..,1216,32,1245,12,1258,..,783,58,842,5,849,..,1595,50,1641,20,1663,..,412,8,425,6,427,..,4009,145,4158,46,4200,..,933,142,1071,5,1076,..,878,79,954,12,962,..,303,55,363,3,364,..,162,23,186,0,186,..,978,382,1362,10,1369,..,7795,2245,10043,201,10245,..,40153,7362,47516,515,48036,..,315,104,420,5728,6150,61479,40473,7470,47942,6240,115662,123330,..,..,..,..,123330,..,398,12,409,3,413,..,3943,607,4552,55,4603,..,10,0,10,0,10,..,1869,531,2403,14,2414,..,5473,2282,7757,49,7803,..,366,141,507,5,510,..,7707,2954,10665,62,10727,..,639,87,732,12,741,..,145,10,152,5,155,..,591,39,625,11,636,..,359,10,367,0,369
CED227,0,48,..,5,0,5,0,5,..,6,0,6,0,6,..,7,5,13,0,13,..,11,0,15,0,15,..,8,0,8,0,8,..,32,5,40,0,40,..,17,0,14,0,13,..,121,3,126,0,126,..,31,8,38,0,37,..,126,3,133,0,133,..,82,17,92,3,99,..,350,31,384,8,389,..,44,8,48,0,48,..,36,7,41,0,43,..,58,8,73,0,75,..,158,81,233,0,237,..,83,127,211,7,217,..,927,283,1211,21,1227,..,3710,992,4704,68,4770,..,186,25,211,5395,5606,59577,3899,1015,4913,5461,69947,117722,..,..,..,..,117722,..,100,0,100,3,103,..,137,21,161,0,161,..,18,3,16,0,22,..,143,72,223,0,225,..,378,269,642,7,647,..,19,8,31,0,34,..,538,353,890,11,905,..,94,8,98,0,98,..,109,0,112,3,112,..,95,9,109,0,109,..,158,5,161,0,161
CED228,0,169,..,573,173,741,8,749,..,1139,156,1288,32,1317,..,152,63,214,7,217,..,372,98,467,5,469,..,111,11,122,0,122,..,281,24,305,14,318,..,365,111,475,5,483,..,417,21,435,3,438,..,125,10,135,0,138,..,598,24,622,5,632,..,90,12,97,0,97,..,1225,66,1295,14,1302,..,875,169,1046,11,1060,..,231,52,280,0,280,..,207,46,252,5,259,..,350,81,424,0,429,..,6702,4440,11141,89,11232,..,2805,990,3796,74,3865,..,29045,9965,39006,438,39452,..,204,67,267,4619,4891,40198,29247,10027,39274,5062,84532,79849,..,..,..,..,79849,..,33,0,33,0,35,..,2025,343,2367,24,2387,..,15,0,15,0,18,..,2720,1350,4077,33,4104,..,2430,925,3353,30,3383,..,393,172,561,3,567,..,5545,2451,7991,63,8057,..,1714,373,2085,32,2114,..,90,0,95,0,95,..,319,10,331,3,337,..,469,15,485,6,489
CED229,0,80,..,926,87,1010,14,1026,..,356,21,375,3,380,..,122,38,161,3,168,..,132,14,144,0,144,..,67,15,78,0,79,..,468,32,503,0,504,..,139,20,157,0,155,..,328,10,342,3,343,..,106,0,104,0,106,..,452,10,458,10,469,..,123,5,129,0,129,..,1006,26,1032,10,1043,..,360,40,394,3,402,..,331,21,354,3,357,..,165,33,201,0,196,..,983,176,1154,11,1171,..,200,73,270,6,274,..,2974,781,3750,55,3808,..,18282,2667,20948,215,21168,..,215,67,283,5711,5990,79192,18497,2726,21229,5930,106345,156822,..,..,..,..,156822,..,270,5,275,3,280,..,2424,432,2858,29,2885,..,14,0,14,0,14,..,312,85,397,3,396,..,875,308,1192,10,1199,..,135,44,184,0,185,..,1327,438,1768,12,1778,..,483,38,524,4,533,..,142,6,149,3,148,..,278,14,295,3,297,..,435,10,440,5,447
CED230,0,34,..,9,3,12,0,15,..,87,7,93,0,100,..,32,4,37,0,37,..,76,15,87,0,89,..,75,8,80,0,83,..,61,3,67,0,67,..,76,23,91,0,91,..,177,3,186,3,184,..,70,5,72,3,75,..,172,3,178,4,176,..,57,7,61,0,61,..,474,14,492,12,500,..,215,22,230,3,232,..,82,12,90,0,91,..,78,14,93,0,92,..,27,6,34,0,34,..,84,30,115,3,115,..,1240,240,1473,42,1512,..,5563,846,6407,96,6506,..,179,24,204,5491,5696,73732,5741,863,6607,5595,85928,143781,..,..,..,..,143781,..,122,0,126,0,126,..,424,43,474,9,483,..,14,0,14,0,14,..,113,53,161,0,161,..,372,207,573,0,576,..,46,18,59,0,59,..,530,272,796,7,806,..,196,31,225,3,230,..,491,11,499,0,504,..,265,9,279,3,284,..,428,22,455,11,467
CED231,14,1332,..,122,16,137,4,145,..,84,13,99,4,100,..,267,28,290,3,292,..,150,16,171,0,170,..,225,19,239,0,243,..,12,0,12,0,12,..,148,36,182,3,183,..,231,4,239,0,239,..,1363,48,1415,11,1422,..,249,3,249,3,251,..,398,11,407,8,416,..,2249,69,2317,20,2335,..,1235,143,1377,3,1384,..,348,18,367,4,369,..,835,246,1084,8,1088,..,238,83,322,3,325,..,2146,1298,3447,34,3477,..,3840,833,4678,103,4776,..,35293,8100,43394,393,43787,..,225,70,292,10049,10346,53334,35522,8172,43689,10444,107465,106840,..,..,..,..,106840,..,117,0,117,0,122,..,2193,473,2671,34,2703,..,15,0,15,0,15,..,4726,1510,6235,50,6292,..,20366,4110,24475,125,24600,..,1515,749,2269,11,2282,..,26605,6377,32978,191,33170,..,296,51,348,5,351,..,294,7,305,0,309,..,1310,42,1354,15,1371,..,783,19,799,8,811
CED232,3,424,..,97,4,102,0,102,..,40,4,46,3,48,..,199,7,208,0,206,..,350,54,402,0,405,..,954,419,1372,17,1390,..,19,0,19,0,19,..,151,18,168,0,171,..,155,0,159,0,159,..,549,25,578,3,575,..,193,0,200,0,198,..,112,5,113,0,113,..,1013,29,1044,3,1053,..,940,74,1018,3,1026,..,174,11,182,0,180,..,258,42,302,4,299,..,131,21,148,0,152,..,373,52,426,0,430,..,2906,313,3212,69,3276,..,18315,2741,21060,202,21265,..,181,28,210,7547,7751,53248,18501,2772,21267,7749,82272,105131,..,..,..,..,105131,..,161,0,158,3,160,..,614,68,683,10,693,..,18,0,18,0,18,..,1572,216,1785,12,1798,..,5660,1138,6806,37,6839,..,410,116,529,4,535,..,7643,1477,9119,53,9176,..,226,22,244,6,249,..,304,3,305,0,306,..,1569,49,1615,12,1628,..,943,32,969,21,987
CED233,4,511,..,255,30,286,3,289,..,89,3,90,0,90,..,914,159,1076,12,1082,..,118,6,121,3,129,..,102,7,105,0,105,..,3,0,3,0,3,..,86,11,94,5,100,..,81,0,81,0,81,..,216,22,238,0,242,..,116,0,116,0,116,..,76,0,85,0,85,..,491,28,520,0,521,..,223,19,248,0,245,..,181,7,188,3,193,..,80,10,91,3,92,..,104,18,124,0,124,..,330,79,408,0,408,..,954,187,1145,23,1172,..,21923,5118,27043,217,27261,..,163,27,193,2551,2741,40771,22083,5145,27233,2769,70776,80708,..,..,..,..,80708,..,327,3,331,3,337,..,1728,137,1865,9,1871,..,3,0,3,0,3,..,7407,2129,9531,44,9570,..,9377,3497,12867,67,12936,..,723,203,926,5,931,..,17505,5822,23329,111,23441,..,350,37,382,5,389,..,166,6,174,3,176,..,229,12,236,4,237,..,488,5,498,3,497
CED234,3,38,..,85,16,110,0,111,..,9,0,9,0,9,..,35,10,43,0,43,..,25,3,29,0,29,..,12,0,14,0,14,..,111,3,111,0,115,..,19,3,21,0,21,..,191,9,199,0,204,..,26,3,29,0,29,..,182,3,187,0,188,..,60,9,66,0,66,..,454,32,486,0,491,..,39,3,46,0,49,..,34,0,36,0,36,..,91,21,106,3,109,..,178,69,241,5,249,..,22,12,32,3,35,..,1009,373,1386,31,1415,..,4830,1286,6117,94,6211,..,208,32,241,5555,5795,61216,5032,1322,6358,5651,73227,121228,..,..,..,..,121228,..,77,0,75,0,75,..,1019,373,1390,16,1409,..,57,0,57,0,57,..,120,57,178,0,183,..,354,230,576,8,592,..,20,15,28,0,28,..,485,299,784,13,796,..,53,5,57,4,67,..,127,0,124,4,128,..,112,6,124,7,126,..,197,8,208,0,208
