CED_CODE_2016,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED211,2117,3147,7939,8300,7860,5016,1191,97,12,35674,1889,767,2012,2281,1822,3062,5804,4413,2427,24473,112,146,438,384,342,296,338,391,402,2853,4115,4050,10397,10968,10018,8375,7339,4898,2841,63002,349,2594,11078,11314,10262,6025,984,51,9,42670,2689,3019,3755,4909,4502,3524,1583,212,14,24202,101,144,605,488,319,334,116,23,3,2133,51,134,252,217,210,133,49,27,7,1070,3184,5898,15683,16923,15289,10017,2735,308,29,70071,100,304,555,434,453,256,25,3,0,2137,728,375,302,313,248,184,38,10,4,2188,828,679,855,747,706,438,66,13,6,4330,4016,6575,16537,17674,15992,10456,2801,322,31,74402,4153,1586,2784,3007,2703,4822,9942,7640,3766,40399,246,290,839,774,706,584,601,615,573,5218,8412,8448,20153,21451,19401,15861,13342,8576,4369,120018
CED212,2344,3266,6558,7349,8024,5659,1289,88,21,34593,1793,676,1779,2021,2008,3396,6477,4325,2064,24539,204,256,538,529,573,513,554,410,243,3814,4341,4199,8878,9900,10605,9569,8324,4822,2323,62952,604,3107,8989,9334,10338,6755,1024,82,13,40247,2824,2552,3219,4502,4573,3907,1630,187,24,23410,95,131,614,455,356,446,172,16,5,2279,101,157,247,242,220,157,60,12,14,1212,3619,5951,13065,14532,15485,11264,2885,292,49,67140,197,408,485,439,460,379,22,0,0,2387,623,258,226,282,239,236,67,4,0,1943,822,660,715,725,700,614,88,7,0,4327,4439,6613,13780,15255,16183,11876,2980,298,49,71471,3804,1302,2426,2803,3115,5285,11399,7715,3289,41148,432,507,1081,1067,1158,1052,1002,716,366,7378,8675,8419,17284,19126,20458,18222,15381,8734,3702,119996
CED213,2252,2724,5588,6752,8247,6333,1537,155,26,33611,1618,599,1637,1887,2006,4287,8273,4843,2218,27363,204,218,444,526,598,687,744,625,422,4462,4072,3539,7675,9163,10851,11300,10547,5618,2671,65436,968,3278,7069,8254,9989,6835,1330,119,21,37855,2777,2089,3201,4526,5197,5081,2141,303,43,25361,158,138,558,433,488,664,238,38,0,2727,125,159,219,242,253,205,112,25,14,1349,4034,5663,11042,13450,15935,12791,3816,485,78,67294,183,266,325,357,410,380,23,0,0,1948,476,134,199,215,220,256,78,8,0,1585,656,395,528,576,630,630,102,9,4,3535,4688,6061,11569,14026,16565,13416,3926,493,81,70831,3521,998,2194,2623,3177,6865,14951,9279,3792,47401,438,441,844,1033,1224,1323,1441,1154,673,8570,8643,7498,14605,17685,20969,21612,20310,10923,4541,126797
CED214,1615,3776,11067,9807,8086,4537,697,59,21,39665,2048,1203,2838,2583,2166,3473,4833,3779,1934,24857,188,355,985,759,614,507,421,382,274,4487,3854,5335,14896,13154,10861,8513,5942,4224,2230,69009,271,2807,15430,13695,10915,5878,754,55,17,49820,2020,3725,5669,5350,4230,2935,801,85,8,24816,88,171,779,753,353,288,90,7,3,2523,47,205,459,289,272,140,49,5,0,1479,2424,6904,22334,20086,15770,9244,1697,153,30,78644,151,552,1095,776,742,476,15,3,0,3803,635,688,588,352,307,283,43,8,3,2909,786,1238,1683,1129,1051,760,58,6,0,6717,3213,8143,24019,21214,16827,9999,1750,157,31,85365,4340,2510,4351,3726,3497,5800,8790,6602,3077,42695,402,751,2018,1610,1286,1024,791,722,446,9045,7953,11400,30389,26545,21606,16824,11333,7489,3558,137098
CED215,2012,2537,5380,5718,6952,5732,1200,159,30,29723,1654,781,1998,1655,2072,4343,6949,4078,1780,25313,261,316,601,577,735,794,753,653,405,5100,3930,3634,7982,7945,9759,10866,8911,4900,2213,60139,674,2772,6733,6617,8008,6274,1206,160,30,32477,2368,1695,3154,3704,4264,4228,1487,244,27,21166,121,166,583,417,552,713,226,26,4,2809,107,140,180,199,227,211,93,42,13,1219,3274,4776,10642,10940,13047,11432,3011,478,81,57676,260,486,585,511,568,523,21,3,4,2965,416,200,272,238,209,264,47,0,0,1647,678,692,856,749,776,782,65,7,3,4610,3954,5461,11495,11692,13825,12221,3078,480,82,62289,3601,1393,2980,2774,3520,7340,13498,7720,2924,45758,550,655,1187,1139,1469,1625,1567,1145,613,9950,8105,7512,15661,15605,18811,21189,18142,9345,3623,117989
CED216,1907,2994,6174,7944,9619,5959,1649,134,18,36399,2342,765,1203,2018,2139,3117,5161,3875,3016,23633,155,184,411,470,532,448,387,294,354,3226,4403,3945,7786,10429,12289,9521,7200,4299,3387,63266,180,1928,8414,10540,12827,7420,1470,119,7,42906,2575,3359,2727,4351,5317,4275,2290,297,37,25229,110,133,477,471,322,375,153,16,5,2061,51,105,184,175,244,138,66,21,7,992,2917,5522,11807,15532,18713,12204,3978,459,57,71187,56,215,385,303,449,282,31,7,0,1734,617,382,213,258,255,186,74,8,0,2000,670,603,599,563,703,465,106,16,3,3731,3586,6120,12404,16098,19418,12667,4088,471,61,74922,5292,1590,1776,2483,2852,4793,8789,6588,4566,38731,320,383,846,945,1086,879,742,518,486,6207,9201,8093,15026,19527,23363,18340,13616,7583,5121,119860
CED217,2769,4384,10523,11023,8447,4601,561,34,11,42356,3169,1535,4417,4298,3225,4649,4909,2045,772,29019,275,416,869,826,699,577,441,213,78,4407,6207,6342,15811,16146,12374,9829,5917,2296,870,75785,721,3928,14525,15674,11787,6255,719,34,8,53653,3114,3479,5103,6032,4406,3049,719,42,7,25948,120,189,877,629,383,373,70,6,3,2655,122,294,532,482,416,199,35,10,7,2104,4082,7895,21040,22822,16987,9877,1544,97,17,84360,355,774,1107,945,772,462,23,0,3,4449,968,536,503,523,369,293,44,3,0,3238,1319,1309,1608,1468,1139,757,68,0,5,7682,5403,9204,22653,24291,18127,10632,1612,96,21,92042,6759,2846,6022,5851,4823,7144,9387,3836,1192,47857,571,786,1767,1671,1383,1149,845,394,116,8675,12732,12841,30439,31806,24335,18932,11840,4329,1332,148579
CED218,1501,4869,13646,8267,7421,4939,1538,160,41,42376,2134,2064,2008,1861,1868,2692,4401,3542,1971,22542,171,444,1275,641,503,465,376,363,264,4492,3811,7375,16925,10771,9791,8091,6307,4070,2274,69414,156,3259,19793,12353,10350,6093,1438,159,26,53629,1920,4323,5047,3871,3909,3304,1991,340,52,24752,72,209,709,477,276,282,132,21,8,2178,44,159,356,181,180,103,63,22,15,1129,2192,7948,25905,16887,14711,9777,3623,535,104,81684,52,285,846,453,405,278,36,6,0,2347,477,764,450,234,226,173,69,10,0,2406,531,1047,1293,687,625,444,102,16,0,4760,2722,8999,27197,17576,15338,10223,3730,556,103,86442,4433,3746,3090,2422,2607,4191,7277,6005,3096,36869,338,820,2531,1355,1080,901,730,653,376,8772,7492,13562,32810,21348,19024,15318,11729,7216,3576,132082
CED219,2664,4735,11258,10005,8623,5112,686,56,9,43159,3422,1700,4723,3921,3239,4347,4897,2745,1220,30214,278,353,874,716,659,546,416,266,126,4232,6364,6790,16855,14651,12521,10006,5999,3060,1356,77600,684,4637,15925,15127,12500,7255,872,27,16,57036,3027,3810,5723,5755,4630,3211,837,102,4,27103,119,205,866,527,372,360,100,3,0,2551,108,314,628,428,334,220,45,19,3,2108,3945,8961,23153,21836,17835,11048,1861,150,26,88803,330,839,1124,918,653,403,27,0,0,4297,1117,639,509,467,345,274,48,3,0,3399,1446,1477,1636,1384,997,676,69,5,0,7698,5390,10440,24782,23222,18837,11722,1934,158,22,96496,7314,2987,6086,5216,4753,6873,8994,4936,1884,49033,574,793,1787,1523,1290,1074,780,510,201,8532,13280,14217,32657,29957,24879,19661,11702,5595,2108,154064
CED220,1859,3396,7983,8092,7823,4686,932,62,20,34854,2198,1249,2470,2393,2185,3506,5389,4168,2176,25739,150,215,489,442,411,353,375,395,361,3191,4206,4857,10949,10934,10420,8553,6695,4619,2551,63781,272,2532,11048,11156,10373,6043,940,50,12,42434,2401,3602,4105,4518,4307,3209,1179,156,18,23505,73,148,517,431,290,284,82,10,3,1843,55,159,380,273,284,149,44,14,10,1375,2802,6438,16056,16386,15257,9692,2255,230,48,69157,111,374,739,557,530,361,26,0,3,2699,680,551,396,267,289,224,57,3,0,2466,789,920,1128,827,814,587,84,8,3,5168,3596,7362,17188,17212,16072,10274,2341,233,48,74327,4747,2645,3712,3311,3332,5627,9443,7395,3587,43791,321,492,1024,926,845,725,699,663,521,6207,8662,10492,21917,21443,20246,16631,12479,8294,4156,124324
CED221,2183,2363,5228,6243,7651,6344,1401,187,42,31641,1568,580,1551,1586,1659,3633,6432,3830,1947,22788,265,239,489,563,651,711,672,462,351,4400,4020,3184,7264,8393,9955,10684,8507,4483,2343,58829,971,3004,6719,7468,9526,7096,1473,238,55,36550,2558,1552,2896,3955,4524,4644,1746,254,53,22183,144,187,536,437,476,737,244,36,16,2814,115,140,216,229,234,188,106,48,14,1280,3785,4879,10370,12085,14755,12666,3569,577,137,62829,183,331,364,342,347,327,17,0,0,1914,364,152,171,203,184,237,47,0,0,1360,544,486,538,547,529,561,66,0,0,3271,4335,5364,10906,12634,15285,13232,3634,580,138,66101,3486,970,2153,2359,2756,6235,12136,7056,3064,40217,527,524,965,1123,1295,1495,1327,871,556,8682,8349,6854,14024,16112,19338,20960,17106,8505,3755,114998
CED222,2220,3558,8341,9076,8667,5131,1037,62,9,38100,2170,886,2410,2574,2192,3461,5260,3479,1814,24244,173,200,565,565,483,455,443,424,390,3699,4554,4644,11317,12214,11343,9047,6744,3961,2218,66041,504,3186,11893,12480,11961,6902,1044,49,7,48032,2632,3115,3779,5050,4615,3317,1208,133,19,23869,111,171,674,563,383,340,112,14,3,2377,92,198,328,316,288,161,63,10,11,1461,3340,6666,16673,18411,17246,10724,2421,217,35,75735,173,413,627,566,524,354,26,0,0,2676,729,408,305,314,256,225,54,4,0,2306,904,821,929,882,782,580,77,6,0,4983,4242,7484,17604,19295,18028,11301,2507,224,40,80722,4755,1858,3344,3447,3254,5429,9353,6077,2842,40355,354,474,1153,1148,1029,914,833,725,582,7205,9346,9815,22099,23895,22302,17648,12693,7023,3458,128284
