CED_CODE_2016,MSEO_SEO,MSEO_SOLSE_VWorW,MSEO_SOLSE_NWorNAA,MSEO_SOLSE_Tot,MSEO_NS,MSEO_Tot,MOL_Afrikaans_SEO,MOL_Afrikaans_SOLSE_VWorW,MOL_Afrikaans_SOLSE_NWorNAA,MOL_Afrikaans_SOLSE_Tot,MOL_Afrikaans_NS,MOL_Afrikaans_Tot,MOL_Arabic_SEO,MOL_Arabic_SOLSE_VWorW,MOL_Arabic_SOLSE_NWorNAA,MOL_Arabic_SOLSE_Tot,MOL_Arabic_NS,MOL_Arabic_Tot,MOL_AIndLng_SEO,MOL_AIndLng_SOLSE_VWorW,MOL_AIndLng_SOLSE_NWorNAA,MOL_AIndLng_SOLSE_Tot,MOL_AIndLng_NS,MOL_AIndLng_Tot,MOL_CL_Canton_SEO,MOL_CL_Canton_SOLSE_VWorW,MOL_CL_Canton_SOLSE_NWorNAA,MOL_CL_Canton_SOLSE_Tot,MOL_CL_Canton_NS,MOL_CL_Canton_Tot,MOL_CL_Mandarin_SEO,MOL_CL_Mandarin_SOLSE_VWorW,MOL_CL_Mandarin_SOLSE_NWorNAA,MOL_CL_Mandarin_SOLSE_Tot,MOL_CL_Mandarin_NS,MOL_CL_Mandarin_Tot,MOL_CL_Oth_SEO,MOL_CL_Oth_SOLSE_VWorW,MOL_CL_Oth_SOLSE_NWorNAA,MOL_CL_Oth_SOLSE_Tot,MOL_CL_Oth_NS,MOL_CL_Oth_Tot,MOL_CL_Tot_SEO,MOL_CL_Tot_SOLSE_VWorW,MOL_CL_Tot_SOLSE_NWorNAA,MOL_CL_Tot_SOLSE_Tot,MOL_CL_Tot_NS,MOL_CL_Tot_Tot,MOL_Croatian_SEO,MOL_Croatian_SOLSE_VWorW,MOL_Croatian_SOLSE_NWorNAA,MOL_Croatian_SOLSE_Tot,MOL_Croatian_NS,MOL_Croatian_Tot,MOL_Dutch_SEO,MOL_Dutch_SOLSE_VWorW,MOL_Dutch_SOLSE_NWorNAA,MOL_Dutch_SOLSE_Tot,MOL_Dutch_NS,MOL_Dutch_Tot,MOL_French_SEO,MOL_French_SOLSE_VWorW,MOL_French_SOLSE_NWorNAA,MOL_French_SOLSE_Tot,MOL_French_NS,MOL_French_Tot,MOL_German_SEO,MOL_German_SOLSE_VWorW,MOL_German_SOLSE_NWorNAA,MOL_German_SOLSE_Tot,MOL_German_NS,MOL_German_Tot,MOL_Greek_SEO,MOL_Greek_SOLSE_VWorW,MOL_Greek_SOLSE_NWorNAA,MOL_Greek_SOLSE_Tot,MOL_Greek_NS,MOL_Greek_Tot,MOL_IAL_Bengali_SEO,MOL_IAL_Bengali_SOLSE_VWorW,MOL_IAL_Bengali_SOLSE_NWorNAA,MOL_IAL_Bengali_SOLSE_Tot,MOL_IAL_Bengali_NS,MOL_IAL_Bengali_Tot,MOL_IAL_Hindi_SEO,MOL_IAL_Hindi_SOLSE_VWorW,MOL_IAL_Hindi_SOLSE_NWorNAA,MOL_IAL_Hindi_SOLSE_Tot,MOL_IAL_Hindi_NS,MOL_IAL_Hindi_Tot,MOL_IAL_Punjabi_SEO,MOL_IAL_Punjabi_SOLSE_VWorW,MOL_IAL_Punjabi_SOLSE_NWorNAA,MOL_IAL_Punjabi_SOLSE_Tot,MOL_IAL_Punjabi_NS,MOL_IAL_Punjabi_Tot,MOL_IAL_Sinhal_SEO,MOL_IAL_Sinhal_SOLSE_VWorW,MOL_IAL_Sinhal_SOLSE_NWorNAA,MOL_IAL_Sinhal_SOLSE_Tot,MOL_IAL_Sinhal_NS,MOL_IAL_Sinhal_Tot,MOL_IAL_Urdu_SEO,MOL_IAL_Urdu_SOLSE_VWorW,MOL_IAL_Urdu_SOLSE_NWorNAA,MOL_IAL_Urdu_SOLSE_Tot,MOL_IAL_Urdu_NS,MOL_IAL_Urdu_Tot,MOL_IAL_Oth_SEO,MOL_IAL_Oth_SOLSE_VWorW,MOL_IAL_Oth_SOLSE_NWorNAA,MOL_IAL_Oth_SOLSE_Tot,MOL_IAL_Oth_NS,MOL_IAL_Oth_Tot,MOL_IAL_Tot_SEO,MOL_IAL_Tot_SOLSE_VWorW,MOL_IAL_Tot_SOLSE_NWorNAA,MOL_IAL_Tot_SOLSE_Tot,MOL_IAL_Tot_NS,MOL_IAL_Tot_Tot,MOL_Italian_SEO,MOL_Italian_SOLSE_VWorW,MOL_Italian_SOLSE_NWorNAA,MOL_Italian_SOLSE_Tot,MOL_Italian_NS,MOL_Italian_Tot,MOL_Japan_SEO,MOL_Japan_SOLSE_VWorW,MOL_Japan_SOLSE_NWorNAA,MOL_Japan_SOLSE_Tot,MOL_Japan_NS,MOL_Japan_Tot,MOL_Korean_SEO,MOL_Korean_SOLSE_VWorW,MOL_Korean_SOLSE_NWorNAA,MOL_Korean_SOLSE_Tot,MOL_Korean_NS,MOL_Korean_Tot,MOL_Macedon_SEO,MOL_Macedon_SOLSE_VWorW,MOL_Macedon_SOLSE_NWorNAA,MOL_Macedon_SOLSE_Tot,MOL_Macedon_NS,MOL_Macedon_Tot,MOL_Maltese_SEO,MOL_Maltese_SOLSE_VWorW,MOL_Maltese_SOLSE_NWorNAA,MOL_Maltese_SOLSE_Tot,MOL_Maltese_NS,MOL_Maltese_Tot,MOL_Persian_ED_SEO,MOL_Persian_ED_SOLSE_VWorW,MOL_Persian_ED_SOLSE_NWorNAA,MOL_Persian_ED_SOLSE_Tot,MOL_Persian_ED_NS,MOL_Persian_ED_Tot,MOL_Polish_SEO,MOL_Polish_SOLSE_VWorW,MOL_Polish_SOLSE_NWorNAA,MOL_Polish_SOLSE_Tot,MOL_Polish_NS,MOL_Polish_Tot,MOL_Russian_SEO,MOL_Russian_SOLSE_VWorW,MOL_Russian_SOLSE_NWorNAA,MOL_Russian_SOLSE_Tot,MOL_Russian_NS,MOL_Russian_Tot,MOL_Samoan_SEO,MOL_Samoan_SOLSE_VWorW,MOL_Samoan_SOLSE_NWorNAA,MOL_Samoan_SOLSE_Tot,MOL_Samoan_NS,MOL_Samoan_Tot,MOL_Serbian_SEO,MOL_Serbian_SOLSE_VWorW,MOL_Serbian_SOLSE_NWorNAA,MOL_Serbian_SOLSE_Tot,MOL_Serbian_NS,MOL_Serbian_Tot,MOL_SAL_Filipin_SEO,MOL_SAL_Filipin_SOLSE_VWorW,MOL_SAL_Filipin_SOLSE_NWorNAA,MOL_SAL_Filipin_SOLSE_Tot,MOL_SAL_Filipin_NS,MOL_SAL_Filipin_Tot,MOL_SAL_Indon_SEO,MOL_SAL_Indon_SOLSE_VWorW,MOL_SAL_Indon_SOLSE_NWorNAA,MOL_SAL_Indon_SOLSE_Tot,MOL_SAL_Indon_NS,MOL_SAL_Indon_Tot,MOL_SAL_Tagalog_SEO,MOL_SAL_Tagalog_SOLSE_VWorW,MOL_SAL_Tagalog_SOLSE_NWorNAA,MOL_SAL_Tagalog_SOLSE_Tot,MOL_SAL_Tagalog_NS,MOL_SAL_Tagalog_Tot,MOL_SAL_Oth_SEO,MOL_SAL_Oth_SOLSE_VWorW
CED211,49591,..,..,..,..,49591,..,81,0,85,0,85,..,230,16,253,0,253,..,5,0,6,0,6,..,1743,480,2226,15,2244,..,3495,1216,4705,27,4731,..,216,50,263,3,261,..,5452,1741,7191,39,7232,..,99,12,105,0,105,..,102,0,103,0,103,..,149,6,156,0,156,..,312,5,320,3,319,..,739,92,830,6,840,..,90,0,93,0,93,..,678,21,696,5,700,..,578,63,635,3,643,..,414,18,430,5,429,..,198,8,209,3,210,..,445,26,471,0,474,..,2406,132,2535,17,2547,..,632,72,706,8,709,..,159,14,180,4,181,..,266,91,357,4,357,..,46,5,52,0,52,..,25,0,27,0,27,..,426,99,522,5,529,..,136,15,153,0,153,..,93,11,106,0,106,..,11,0,11,0,11,..,82,21,98,0,98,..,115,3,119,0,119,..,225,20,245,3,249,..,97,4,101,0,101,..,50
CED212,60572,..,..,..,..,60572,..,74,0,74,0,74,..,175,25,194,5,202,..,3,0,3,0,3,..,126,35,163,3,167,..,325,121,449,3,453,..,17,8,26,0,26,..,474,166,635,4,640,..,114,13,127,3,130,..,160,4,162,0,168,..,173,0,173,0,171,..,329,5,332,3,337,..,514,56,571,3,578,..,11,0,11,0,11,..,88,4,99,0,99,..,87,12,94,0,94,..,56,0,53,0,58,..,29,0,29,0,29,..,35,3,38,0,41,..,302,24,329,3,330,..,451,23,472,9,483,..,68,7,73,0,73,..,22,3,31,0,31,..,23,0,25,0,25,..,32,0,32,0,32,..,40,4,44,0,44,..,138,11,150,0,150,..,167,34,202,0,202,..,43,4,44,0,48,..,108,11,124,0,124,..,59,0,59,0,57,..,62,5,68,3,70,..,82,0,82,0,82,..,15
CED213,66535,..,..,..,..,66535,..,54,0,54,0,54,..,81,8,84,0,84,..,7,0,7,0,6,..,42,7,53,0,55,..,99,40,141,3,144,..,7,3,11,0,11,..,152,50,204,8,208,..,122,5,125,3,130,..,136,0,136,3,140,..,133,3,137,0,137,..,244,5,250,5,255,..,477,85,556,7,567,..,3,0,3,0,3,..,35,0,35,0,35,..,41,6,45,0,45,..,12,0,18,3,21,..,7,0,7,0,7,..,18,0,21,0,21,..,114,4,120,3,120,..,734,81,812,15,830,..,48,0,48,0,45,..,3,0,9,0,9,..,37,3,39,0,39,..,46,0,51,0,51,..,8,0,11,0,11,..,48,3,52,0,51,..,38,0,33,0,38,..,14,0,12,0,12,..,40,8,48,0,48,..,38,0,42,0,42,..,37,0,35,0,35,..,42,0,40,0,40,..,6
CED214,47204,..,..,..,..,47204,..,48,3,53,0,53,..,1677,252,1926,26,1958,..,3,0,3,0,3,..,866,327,1193,11,1202,..,934,342,1279,6,1286,..,136,45,182,3,180,..,1935,719,2659,20,2672,..,511,110,624,4,627,..,74,3,77,0,77,..,207,14,220,3,219,..,255,13,266,3,267,..,1911,446,2350,10,2363,..,510,37,552,6,559,..,744,26,776,7,784,..,736,70,806,4,809,..,165,9,177,4,176,..,539,33,567,7,580,..,783,44,821,6,830,..,3472,221,3691,42,3735,..,1489,236,1722,25,1749,..,123,14,134,3,142,..,61,25,92,0,94,..,794,221,1022,12,1031,..,832,92,920,9,929,..,189,68,262,5,265,..,261,45,306,3,314,..,72,6,79,0,79,..,129,10,139,3,142,..,345,68,415,5,422,..,273,10,278,0,281,..,197,24,217,4,217,..,307,14,323,0,323,..,67
CED215,60869,..,..,..,..,60869,..,57,0,57,0,60,..,97,10,106,8,109,..,12,0,12,0,12,..,66,24,89,0,89,..,159,64,228,3,227,..,23,4,28,0,28,..,242,94,337,3,344,..,45,7,46,0,46,..,119,3,122,0,124,..,47,4,52,0,51,..,172,4,178,0,178,..,166,23,189,9,199,..,41,0,41,0,41,..,78,0,81,4,87,..,76,5,86,3,84,..,51,3,56,0,56,..,41,0,37,0,40,..,49,3,56,0,56,..,332,18,351,9,355,..,479,52,533,14,546,..,20,5,31,0,28,..,15,0,12,0,12,..,12,0,12,0,12,..,61,0,62,0,62,..,16,0,15,0,15,..,71,5,84,0,79,..,15,0,20,0,20,..,3,0,3,0,3,..,19,5,20,0,20,..,50,5,56,0,56,..,16,0,16,0,16,..,87,11,93,0,93,..,32
CED216,53542,..,..,..,..,53542,..,120,0,123,0,126,..,215,13,223,3,226,..,0,0,0,0,0,..,366,83,450,3,453,..,1587,483,2067,12,2077,..,113,31,144,0,144,..,2069,593,2662,10,2671,..,100,3,103,0,103,..,134,0,137,0,140,..,440,19,462,3,463,..,463,3,467,0,472,..,1537,203,1735,20,1756,..,44,0,44,0,44,..,488,12,497,3,504,..,155,4,161,4,159,..,84,4,82,0,86,..,51,0,51,0,52,..,295,16,313,0,314,..,1114,40,1154,12,1164,..,795,66,861,6,864,..,270,64,333,0,333,..,119,43,159,0,159,..,37,3,40,0,40,..,25,0,25,0,25,..,56,13,68,0,72,..,295,24,315,3,322,..,1167,191,1358,10,1369,..,4,0,8,0,8,..,152,8,163,0,163,..,39,0,39,0,39,..,79,3,87,0,87,..,48,0,48,0,48,..,26
CED217,51013,..,..,..,..,51013,..,53,0,54,0,54,..,1620,193,1815,15,1834,..,7,0,7,0,7,..,771,279,1044,8,1054,..,658,321,978,4,984,..,543,232,781,9,789,..,1972,830,2805,20,2826,..,851,124,971,6,977,..,49,0,49,0,49,..,123,4,134,0,134,..,135,9,141,0,141,..,1115,117,1233,7,1241,..,219,7,225,3,227,..,1306,48,1351,11,1364,..,1982,222,2205,28,2229,..,603,28,637,3,641,..,729,60,790,8,797,..,348,43,390,3,396,..,5181,417,5602,54,5653,..,1274,88,1359,23,1380,..,58,4,66,0,66,..,79,14,93,0,93,..,1720,275,1992,18,2014,..,1784,134,1913,25,1937,..,118,40,165,3,162,..,387,62,453,3,455,..,61,10,75,0,75,..,664,66,730,15,740,..,590,124,712,5,714,..,1167,25,1198,10,1209,..,173,11,189,0,191,..,1656,46,1702,8,1706,..,176
CED218,50733,..,..,..,..,50733,..,70,0,70,0,68,..,237,20,258,3,259,..,6,0,6,0,6,..,891,139,1021,7,1033,..,2968,684,3651,22,3677,..,212,63,277,0,281,..,4071,884,4953,34,4986,..,85,6,93,0,93,..,108,0,108,0,108,..,496,18,514,3,516,..,307,7,314,5,318,..,2116,457,2576,29,2603,..,129,3,132,0,132,..,844,33,875,9,884,..,185,3,184,3,186,..,262,9,272,0,272,..,125,3,125,3,130,..,806,44,851,8,856,..,2348,89,2437,18,2459,..,767,46,808,9,811,..,285,48,332,3,332,..,218,68,288,0,290,..,38,0,40,0,43,..,23,0,23,0,23,..,183,20,203,0,203,..,162,9,178,0,175,..,522,198,721,6,722,..,8,0,10,0,15,..,110,10,112,0,112,..,81,0,76,0,76,..,305,20,324,0,324,..,99,0,100,0,101,..,55
CED219,52421,..,..,..,..,52421,..,129,0,129,5,130,..,1517,172,1685,23,1709,..,0,0,0,0,0,..,461,156,620,3,622,..,1092,530,1625,12,1631,..,357,91,444,3,450,..,1913,777,2686,17,2704,..,418,44,468,4,472,..,116,0,116,0,124,..,750,19,775,5,775,..,181,0,183,3,183,..,815,87,907,11,914,..,204,8,216,0,215,..,1823,73,1896,8,1903,..,2792,284,3072,44,3113,..,3076,183,3262,26,3284,..,707,62,761,3,768,..,852,72,925,6,930,..,9450,686,10133,88,10221,..,711,76,782,11,797,..,38,6,49,0,49,..,54,29,81,3,85,..,136,20,153,4,154,..,81,4,90,4,89,..,371,104,474,5,486,..,440,66,500,3,509,..,193,31,223,0,223,..,1030,113,1139,20,1155,..,889,245,1135,15,1154,..,610,10,616,3,626,..,276,27,300,0,303,..,754,19,776,15,794,..,217
CED220,37941,..,..,..,..,37941,..,82,0,83,0,83,..,629,93,720,8,725,..,5,0,5,0,5,..,1369,575,1944,17,1962,..,2436,936,3373,19,3399,..,434,185,615,3,620,..,4235,1698,5938,41,5973,..,168,28,192,0,194,..,56,4,61,0,61,..,346,12,357,7,365,..,215,5,227,0,227,..,3671,879,4547,29,4578,..,128,3,134,0,134,..,1007,28,1035,5,1039,..,1536,101,1638,12,1647,..,502,25,521,0,524,..,236,7,243,0,246,..,538,32,572,3,572,..,3943,203,4144,21,4167,..,1050,189,1241,19,1257,..,233,41,271,4,279,..,273,130,406,0,404,..,55,7,62,0,62,..,58,9,66,0,66,..,101,14,118,3,116,..,251,37,288,7,290,..,990,208,1200,9,1211,..,45,3,48,0,48,..,172,35,204,3,209,..,205,9,210,4,216,..,203,37,239,0,243,..,256,6,264,4,267,..,113
CED221,60738,..,..,..,..,60738,..,32,0,40,0,40,..,52,3,53,0,54,..,19,0,19,0,16,..,37,13,49,0,53,..,123,32,151,4,153,..,9,3,8,0,9,..,166,45,215,3,216,..,80,10,85,0,85,..,61,3,65,0,67,..,98,0,95,3,99,..,237,5,241,3,245,..,81,11,93,3,91,..,16,0,13,0,13,..,54,3,56,0,56,..,99,5,101,3,103,..,40,6,45,0,46,..,28,0,31,0,32,..,139,30,170,0,170,..,375,50,421,6,424,..,555,64,621,17,631,..,35,3,38,0,38,..,13,3,16,0,16,..,15,0,16,0,16,..,6,0,9,0,12,..,19,0,22,0,22,..,24,3,26,0,26,..,11,0,13,0,13,..,6,0,10,0,10,..,42,5,50,0,51,..,46,0,47,0,47,..,16,0,16,0,16,..,69,9,75,0,75,..,24
CED222,51134,..,..,..,..,51134,..,143,4,145,0,154,..,481,44,522,4,527,..,3,0,3,0,3,..,587,207,796,6,804,..,1184,495,1685,17,1694,..,310,108,412,7,417,..,2082,811,2893,25,2918,..,176,22,204,3,206,..,96,10,107,3,110,..,365,19,382,4,383,..,262,13,275,8,279,..,1213,138,1356,13,1367,..,126,7,136,3,139,..,670,31,696,3,698,..,822,82,906,13,912,..,615,25,639,4,648,..,171,7,182,3,183,..,281,16,294,0,296,..,2680,172,2852,23,2872,..,725,78,803,6,814,..,97,11,113,0,114,..,45,19,66,0,66,..,77,12,91,0,91,..,53,0,53,0,55,..,129,38,169,0,170,..,250,42,291,3,289,..,410,87,497,3,499,..,146,18,163,0,166,..,333,55,388,0,389,..,210,0,215,0,215,..,87,8,91,0,91,..,318,3,324,0,322,..,95
CED223,53341,..,..,..,..,53341,..,89,0,90,0,90,..,492,61,556,4,558,..,0,0,3,0,3,..,482,111,593,0,595,..,1374,434,1813,3,1814,..,86,25,114,0,114,..,1943,573,2518,8,2527,..,213,14,222,3,223,..,115,0,115,0,115,..,188,8,204,3,202,..,298,13,310,3,318,..,1054,120,1175,5,1183,..,36,0,37,0,37,..,340,6,346,0,355,..,146,3,152,0,152,..,170,12,183,3,179,..,110,3,111,0,111,..,160,7,165,0,165,..,958,36,990,9,998,..,1510,134,1644,9,1653,..,152,17,172,0,172,..,74,14,84,0,84,..,330,20,345,3,350,..,48,0,50,0,50,..,264,37,300,3,301,..,122,5,130,3,128,..,128,15,144,0,144,..,24,5,32,0,32,..,116,16,137,0,134,..,66,0,67,0,67,..,58,13,66,0,65,..,67,3,67,0,71,..,38
CED224,46888,..,..,..,..,46888,..,48,0,51,0,51,..,391,64,452,5,457,..,0,0,0,0,0,..,1782,280,2059,14,2077,..,4172,1252,5429,34,5462,..,284,64,348,0,348,..,6237,1599,7837,45,7883,..,74,10,83,3,88,..,65,3,65,0,65,..,409,14,424,6,433,..,245,5,255,0,256,..,1784,181,1969,16,1983,..,97,4,99,3,104,..,661,11,672,4,679,..,153,3,157,0,157,..,297,5,307,4,305,..,130,4,138,0,139,..,634,35,666,5,672,..,1983,63,2045,13,2058,..,1074,95,1173,12,1182,..,157,20,174,3,178,..,223,62,285,0,285,..,109,8,114,0,114,..,27,0,27,0,27,..,300,17,319,3,320,..,113,3,115,0,115,..,99,5,100,0,100,..,9,0,9,0,9,..,51,3,55,0,55,..,50,0,54,0,54,..,268,23,287,0,287,..,65,0,67,0,67,..,53
CED225,61192,..,..,..,..,61192,..,144,0,145,0,145,..,521,44,566,12,578,..,3,0,3,0,3,..,191,48,236,0,236,..,857,341,1199,3,1198,..,119,36,150,0,150,..,1161,425,1588,3,1590,..,187,8,198,3,201,..,182,4,185,0,185,..,331,8,339,6,340,..,375,13,385,13,396,..,301,28,329,3,333,..,108,4,109,0,112,..,497,20,514,8,515,..,484,39,526,4,534,..,1310,67,1380,3,1382,..,207,15,218,3,226,..,279,17,300,0,300,..,2886,161,3051,21,3066,..,572,47,615,11,621,..,69,9,77,0,77,..,142,36,178,7,182,..,44,0,45,0,42,..,48,3,48,0,48,..,136,27,166,0,170,..,231,20,242,0,249,..,122,9,131,0,131,..,106,9,113,0,115,..,173,21,193,0,202,..,151,3,159,3,161,..,116,6,126,0,123,..,146,0,147,3,149,..,61
CED226,61851,..,..,..,..,61851,..,196,4,198,3,204,..,1998,282,2274,24,2303,..,3,0,3,0,3,..,932,235,1162,5,1173,..,2563,1021,3584,32,3618,..,169,63,231,0,231,..,3672,1314,4979,36,5014,..,308,37,350,7,358,..,80,6,84,0,83,..,283,14,298,4,302,..,166,6,171,0,171,..,736,71,805,3,809,..,1125,68,1196,9,1208,..,3891,176,4070,34,4102,..,4194,409,4598,42,4644,..,782,32,812,10,822,..,1912,146,2058,9,2066,..,2190,167,2357,25,2387,..,14098,1000,15096,130,15223,..,1315,151,1463,19,1482,..,122,18,136,0,138,..,304,107,411,0,416,..,607,55,664,4,670,..,631,32,668,3,670,..,228,64,291,0,295,..,285,38,320,0,325,..,219,28,252,0,252,..,613,57,673,6,680,..,434,67,507,3,510,..,947,23,974,10,977,..,721,48,764,8,772,..,1314,32,1345,16,1364,..,361
CED227,58147,..,..,..,..,58147,..,47,0,47,3,50,..,76,16,95,0,95,..,8,3,10,0,14,..,60,47,107,0,107,..,161,117,278,7,285,..,6,3,9,0,9,..,232,165,397,7,403,..,49,3,51,0,51,..,49,0,50,0,52,..,46,5,57,0,57,..,67,0,68,0,68,..,205,43,244,0,247,..,33,0,33,0,33,..,54,5,55,0,61,..,215,25,245,4,250,..,49,0,48,0,50,..,17,0,15,0,15,..,60,0,60,0,60,..,422,34,457,5,464,..,660,72,734,17,751,..,23,10,36,0,36,..,14,31,43,0,43,..,0,4,5,0,5,..,15,0,15,0,15,..,18,12,29,0,32,..,22,0,25,0,25,..,10,0,10,0,10,..,25,3,32,0,32,..,12,0,10,0,10,..,65,3,76,0,76,..,27,7,39,0,39,..,82,3,83,0,83,..,64
CED228,39657,..,..,..,..,39657,..,23,0,23,0,23,..,1086,145,1231,9,1233,..,9,0,9,0,11,..,1343,595,1939,18,1956,..,1105,425,1532,14,1541,..,203,75,272,0,277,..,2654,1094,3743,30,3773,..,845,146,993,14,1006,..,39,0,37,0,37,..,153,4,158,0,154,..,220,3,220,6,227,..,1742,347,2086,25,2114,..,148,11,157,3,158,..,884,26,910,10,915,..,1536,120,1655,26,1683,..,239,11,246,0,246,..,541,37,577,5,581,..,610,29,640,6,650,..,3954,238,4192,53,4238,..,3271,510,3777,62,3834,..,94,11,103,0,103,..,108,38,147,0,147,..,536,121,660,9,673,..,1001,141,1141,16,1158,..,234,112,343,6,358,..,261,40,301,6,302,..,71,9,83,0,83,..,295,40,332,6,337,..,372,83,449,6,461,..,300,14,310,4,315,..,105,10,113,0,113,..,455,19,474,0,474,..,61
CED229,77634,..,..,..,..,77634,..,143,3,146,0,144,..,1222,181,1407,11,1421,..,12,0,12,0,12,..,157,40,195,3,194,..,406,159,562,7,571,..,81,20,99,0,99,..,636,224,860,8,873,..,222,22,243,3,245,..,56,5,62,3,63,..,118,11,130,0,132,..,186,3,191,0,194,..,820,56,878,3,882,..,97,4,106,0,106,..,1128,57,1185,5,1189,..,2093,247,2335,30,2366,..,948,55,999,5,1008,..,475,44,521,8,525,..,423,45,468,0,473,..,5167,443,5607,47,5656,..,1737,97,1839,29,1866,..,51,13,66,0,66,..,52,17,70,0,70,..,862,88,945,13,958,..,317,8,328,3,333,..,150,40,188,0,191,..,107,11,122,0,123,..,52,3,59,0,59,..,453,48,496,8,504,..,124,9,134,0,133,..,233,10,238,0,240,..,90,7,92,0,92,..,355,17,370,3,373,..,101
CED230,70053,..,..,..,..,70053,..,59,0,62,0,62,..,206,15,221,10,224,..,9,0,9,0,9,..,51,19,72,0,72,..,155,105,264,0,261,..,24,3,32,0,32,..,231,130,359,0,360,..,97,12,105,0,109,..,212,4,218,0,218,..,122,4,125,0,126,..,200,7,205,8,212,..,168,22,183,3,186,..,53,0,57,0,57,..,193,7,192,0,199,..,388,39,427,6,433,..,305,14,318,3,324,..,72,3,76,0,76,..,124,9,134,0,134,..,1131,82,1206,9,1220,..,436,38,480,13,486,..,45,3,45,0,47,..,23,16,45,0,45,..,16,0,14,0,14,..,88,4,94,0,94,..,35,3,38,0,38,..,67,10,69,0,69,..,64,5,72,0,70,..,66,0,70,0,70,..,72,15,82,7,90,..,87,4,97,0,97,..,39,0,43,7,45,..,104,4,106,0,106,..,24
CED231,53513,..,..,..,..,53513,..,66,0,66,0,66,..,1176,189,1362,19,1379,..,7,0,7,0,7,..,2156,672,2825,22,2848,..,8451,1778,10231,45,10278,..,716,349,1062,6,1069,..,11324,2794,14120,68,14194,..,141,22,163,3,165,..,137,9,143,0,143,..,658,22,672,4,676,..,387,8,396,3,399,..,1074,282,1350,6,1360,..,182,4,188,5,185,..,1170,25,1198,8,1209,..,128,4,133,0,133,..,219,3,224,3,228,..,205,6,218,0,218,..,450,8,464,0,469,..,2360,58,2414,18,2431,..,1458,183,1639,18,1653,..,341,83,421,5,431,..,820,425,1244,8,1254,..,120,11,128,0,128,..,90,7,100,0,95,..,280,28,307,4,314,..,107,5,116,0,114,..,163,6,175,3,172,..,13,0,13,0,13,..,141,19,157,3,158,..,169,0,169,0,173,..,1151,43,1192,6,1198,..,179,3,182,0,178,..,318
CED232,51881,..,..,..,..,51881,..,95,0,99,0,99,..,342,29,372,0,370,..,11,0,11,0,11,..,694,93,786,9,796,..,2338,473,2813,7,2821,..,164,52,212,3,217,..,3195,614,3813,24,3833,..,107,4,107,3,112,..,142,3,146,0,145,..,762,26,789,4,799,..,443,20,458,3,466,..,1411,258,1666,17,1686,..,118,0,115,0,115,..,826,27,852,3,856,..,118,4,126,0,124,..,114,3,114,0,114,..,115,0,115,0,115,..,521,20,546,3,548,..,1805,59,1868,6,1874,..,976,56,1033,10,1049,..,297,71,372,6,374,..,258,96,349,6,354,..,81,5,81,0,81,..,33,0,33,0,33,..,205,12,221,3,221,..,260,19,279,0,277,..,757,240,999,4,1001,..,16,0,16,0,16,..,146,5,150,0,149,..,115,0,115,0,115,..,443,12,460,3,460,..,107,3,107,3,107,..,90
CED233,39933,..,..,..,..,39933,..,157,4,161,0,161,..,871,48,920,4,928,..,0,0,0,0,0,..,3601,944,4542,14,4559,..,4426,1517,5942,25,5970,..,328,93,416,0,417,..,8358,2547,10905,46,10951,..,172,17,187,4,185,..,75,7,86,0,82,..,95,7,104,4,106,..,242,3,246,0,246,..,3002,410,3409,31,3443,..,41,0,43,0,45,..,387,8,392,3,397,..,233,13,246,3,242,..,155,3,154,4,163,..,196,6,207,0,207,..,165,3,173,0,170,..,1174,35,1213,13,1225,..,2118,194,2312,23,2339,..,110,23,128,0,128,..,320,102,424,5,427,..,246,22,264,3,270,..,55,3,56,0,56,..,967,169,1139,7,1144,..,87,8,92,0,92,..,62,3,68,0,68,..,3,0,4,0,4,..,80,13,88,0,90,..,45,0,45,0,40,..,184,15,203,0,203,..,51,0,52,0,52,..,80
CED234,60007,..,..,..,..,60007,..,43,0,43,0,43,..,538,167,705,7,714,..,22,0,22,0,22,..,48,24,75,0,75,..,139,76,220,7,225,..,11,3,13,0,13,..,202,103,309,7,311,..,35,3,38,4,40,..,58,0,58,0,58,..,64,3,65,0,65,..,85,3,94,0,94,..,129,16,147,3,149,..,23,0,23,0,29,..,83,0,85,0,83,..,476,76,558,9,563,..,77,4,77,0,77,..,76,6,84,0,79,..,112,14,124,0,124,..,845,107,949,10,959,..,842,91,936,20,952,..,20,5,25,0,25,..,21,11,35,0,35,..,109,11,117,3,118,..,12,0,15,0,15,..,37,10,47,0,47,..,18,0,18,0,18,..,16,0,16,0,16,..,99,12,105,3,109,..,20,4,18,0,21,..,118,3,122,0,122,..,13,3,10,0,10,..,111,4,116,0,116,..,28
