CED_CODE_2016,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_SE_Europe_nfd_0_4,P_SE_Europe_nfd_5_14,P_SE_Europe_nfd_15_24,P_SE_Europe_nfd_25_44,P_SE_Europe_nfd_45_54,P_SE_Europe_nfd_55_64,P_SE_Europe_nfd_65_74,P_SE_Europe_nfd_75_84,P_SE_Europe_nfd_85ov,P_SE_Europe_nfd_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_FYROM_0_4,P_FYROM_5_14,P_FYROM_15_24,P_FYROM_25_44,P_FYROM_45_54,P_FYROM_55_64,P_FYROM_65_74,P_FYROM_75_84,P_FYROM_85ov,P_FYROM_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED211,0,0,3,36,27,10,5,0,0,89,15,44,70,353,141,118,54,22,4,818,0,0,4,78,35,74,71,43,37,346,3,12,16,110,91,141,182,128,56,734,10,99,78,196,83,79,45,18,7,617,8,35,89,295,149,106,68,34,9,798,0,0,4,18,20,46,25,16,14,139,11,33,79,523,159,172,131,75,34,1220,7,22,27,288,34,40,26,0,0,449,13,78,108,274,50,25,10,3,0,561,0,0,0,3,10,12,8,11,0,44,0,7,3,31,18,10,17,6,0,88,16,74,53,149,105,53,47,8,3,506,4,17,70,451,293,288,151,63,11,1336,0,0,0,26,25,21,24,15,7,127,0,3,11,55,31,24,3,3,0,135,14,178,186,873,444,402,427,293,168,2984,315,493,568,1777,822,708,721,634,469,6513,9235,17516,16856,41609,19401,15861,13342,8576,4369,146767
CED212,0,0,4,34,39,16,6,3,0,101,14,45,54,282,134,104,39,3,3,682,0,3,7,87,38,106,63,26,10,349,8,48,36,229,260,310,332,244,86,1559,0,13,21,43,20,27,10,3,3,139,3,46,83,251,146,101,77,38,9,759,0,0,0,11,33,39,34,21,3,137,0,9,20,102,61,65,62,36,9,363,0,0,5,26,9,3,3,0,0,49,19,29,42,151,24,14,0,0,0,275,0,0,3,9,9,7,0,3,0,37,0,4,3,27,18,15,5,0,0,73,9,35,50,153,108,78,73,18,3,519,3,9,18,77,17,9,4,0,0,132,0,21,12,67,65,49,65,38,10,336,0,4,13,60,25,20,9,8,0,142,32,153,194,846,471,433,430,273,103,2944,458,913,995,2443,1442,1335,1200,816,330,9930,8874,17506,17097,36413,20458,18222,15381,8734,3702,146381
CED213,0,0,0,28,20,13,0,3,0,72,5,46,29,178,58,57,33,8,0,412,0,0,3,32,21,36,29,16,16,146,0,29,43,125,211,252,318,184,70,1234,4,14,3,19,11,23,10,5,0,83,6,20,45,151,94,86,94,21,8,520,0,0,0,12,24,24,18,24,5,99,0,4,3,33,28,47,40,12,3,171,0,0,0,13,3,0,0,0,0,16,5,24,17,84,27,15,8,0,0,177,0,0,0,18,10,18,7,3,3,59,0,0,0,17,7,10,13,4,0,57,8,32,32,92,72,62,67,20,12,394,0,4,0,36,21,5,3,0,0,71,4,7,13,33,52,46,51,30,17,253,0,0,9,28,5,12,5,0,0,63,3,46,71,352,267,305,350,206,105,1713,425,888,950,2250,1624,1766,1770,1199,649,11526,8286,18414,16147,32291,20969,21612,20310,10923,4541,153498
CED214,3,8,10,52,22,12,0,0,0,112,25,76,179,907,301,294,169,42,14,2010,0,0,9,140,50,140,102,87,114,644,3,16,15,169,136,149,127,93,46,754,15,23,32,153,42,27,9,3,0,293,4,10,16,274,71,39,24,7,10,458,0,0,5,39,81,110,88,102,28,452,4,31,143,542,86,37,24,18,3,892,0,3,14,137,13,8,0,0,0,176,23,44,70,297,66,21,7,0,0,529,0,3,13,149,242,322,424,214,41,1398,0,0,9,115,69,59,24,14,8,299,17,56,56,282,90,63,24,3,0,601,54,180,823,3281,1863,1829,626,269,108,9036,0,3,3,41,28,22,14,8,8,119,0,0,3,61,12,6,0,0,0,86,94,282,705,2842,1096,805,646,521,257,7251,702,915,1197,3820,1540,1277,988,792,462,11683,11557,17214,19353,56939,21606,16824,11333,7489,3558,165873
CED215,0,0,7,19,12,11,3,3,0,60,16,56,53,255,112,117,56,12,8,689,0,0,0,21,10,44,33,11,33,155,0,10,10,52,76,172,284,144,38,791,0,9,9,23,9,7,0,3,0,70,0,28,38,93,66,50,29,17,0,329,0,0,0,0,8,16,19,14,3,60,0,12,12,91,19,23,13,5,6,182,0,0,16,63,3,0,0,0,0,87,6,21,18,63,26,15,0,0,0,152,0,0,0,0,3,3,0,3,0,8,0,0,3,3,9,4,0,3,0,26,3,25,16,60,40,44,53,16,3,265,0,7,16,128,47,25,5,0,0,237,0,3,3,14,24,20,28,12,3,110,0,5,3,21,18,6,6,0,0,61,3,99,97,309,199,197,254,168,73,1395,520,1112,1310,2745,1860,2144,1949,1160,547,13349,8048,16991,15614,31265,18811,21189,18142,9345,3623,143033
CED216,0,0,0,20,18,12,3,3,0,61,6,28,31,194,91,56,33,8,3,441,0,9,11,168,73,195,253,120,187,1017,8,39,52,186,221,178,170,97,46,1000,20,117,55,119,58,36,28,18,3,459,18,123,233,718,583,385,255,100,54,2464,0,0,6,25,45,44,31,24,14,189,0,10,17,162,83,109,88,58,21,553,0,3,11,104,17,10,6,0,0,148,8,30,38,121,24,14,7,0,0,251,0,0,0,11,20,22,10,5,3,68,0,5,4,38,44,34,34,12,3,162,33,256,156,276,224,135,67,15,7,1169,5,16,42,209,69,51,22,3,3,418,3,15,4,52,39,31,25,13,9,183,0,0,8,49,32,30,17,3,0,137,56,322,377,2082,1307,1142,1056,629,330,7293,316,710,721,1868,1201,1016,830,559,453,7676,7877,19886,17291,34547,23363,18340,13616,7583,5121,147627
CED217,0,8,7,14,10,3,0,0,0,48,39,432,885,2722,1420,935,364,85,27,6907,0,4,14,195,126,201,117,38,28,717,3,14,18,66,91,163,157,63,20,596,14,53,44,107,59,38,18,3,0,333,3,31,69,174,102,49,33,4,0,463,0,0,3,73,103,123,111,65,19,502,6,117,113,766,334,164,98,27,12,1643,0,5,8,70,17,18,4,0,0,120,9,38,46,266,67,18,15,4,0,459,5,15,65,502,514,593,441,105,17,2271,0,0,15,158,164,96,51,12,0,504,11,62,50,112,35,16,11,0,0,304,47,150,543,3705,2003,1272,404,141,59,8324,0,8,3,19,14,18,13,7,7,87,0,6,25,98,26,4,3,0,0,165,77,677,1328,4338,2236,1609,1031,355,150,11807,932,1733,1473,3939,1710,1521,1074,438,124,12942,16177,29937,25571,62239,24335,18932,11840,4329,1332,194692
CED218,0,0,3,30,17,7,3,0,3,76,11,31,52,448,67,63,37,12,0,720,0,5,9,126,39,110,148,100,137,658,7,12,22,236,88,93,87,50,24,626,28,69,122,320,61,71,48,7,3,741,7,18,106,520,178,194,129,61,31,1249,0,0,0,20,20,30,16,25,9,114,3,19,78,498,132,132,102,62,30,1051,6,10,46,262,18,10,13,0,0,364,10,23,84,364,41,26,6,3,0,558,0,0,0,30,13,3,9,7,0,56,0,4,3,78,30,22,19,6,0,173,34,119,146,455,156,110,81,19,14,1126,7,14,162,424,135,154,68,18,10,998,0,0,7,41,15,13,21,6,7,113,0,0,20,70,22,15,11,3,0,137,55,176,364,2491,677,644,717,585,289,6001,365,562,1172,4002,1193,1013,811,685,381,10189,7318,14539,21055,54162,19024,15318,11729,7216,3576,153942
CED219,0,0,3,15,8,9,0,0,0,34,50,344,540,1508,795,464,150,53,15,3908,0,15,36,225,139,273,160,52,39,936,0,13,16,105,138,224,196,135,37,864,9,52,63,126,76,74,23,7,0,427,6,55,123,347,235,169,129,42,26,1124,0,0,9,111,167,187,137,89,23,718,72,590,640,3996,1367,1016,555,173,55,8455,3,3,0,77,11,19,3,0,0,115,7,31,50,347,67,29,6,0,0,537,0,9,13,145,100,90,56,13,5,427,3,3,28,179,229,109,84,44,9,685,7,62,61,94,49,20,24,0,0,322,4,39,102,663,290,243,68,25,10,1449,0,4,7,21,21,28,24,17,0,119,0,27,62,152,44,18,3,0,0,316,64,604,1209,3573,2052,1714,930,473,136,10757,919,1505,1502,3684,1544,1342,913,471,194,12071,16895,28907,27496,62609,24879,19661,11702,5595,2108,199864
CED220,0,3,6,20,13,4,3,0,0,53,11,88,150,603,252,229,81,15,10,1435,3,4,7,130,69,139,154,67,47,620,3,16,16,107,93,83,108,78,44,551,6,38,42,121,49,35,30,14,0,331,6,61,133,398,270,152,120,49,8,1200,0,0,3,22,29,58,71,49,12,238,10,43,148,750,284,323,342,165,70,2125,0,8,17,172,14,9,3,0,3,230,15,89,79,471,71,52,5,0,0,785,0,0,0,9,16,17,18,10,10,80,3,4,22,74,115,74,90,42,7,441,16,73,42,134,63,44,20,5,3,396,55,151,680,2780,1904,1690,614,259,136,8261,0,5,0,21,14,6,16,6,4,70,0,10,10,72,16,13,7,3,0,131,118,467,494,2539,1232,1107,936,584,231,7708,397,606,833,2097,979,908,834,696,436,7790,9348,17609,19158,43359,20246,16631,12479,8294,4156,151282
CED221,0,0,0,25,28,16,7,0,0,76,14,52,50,210,65,70,32,3,0,485,0,0,0,12,7,11,24,13,24,88,0,0,7,47,56,127,152,67,34,496,0,3,6,23,15,6,3,0,0,55,0,12,33,86,58,42,21,12,7,274,0,0,0,0,10,26,31,19,12,95,0,18,8,69,16,17,9,3,0,140,0,3,14,61,3,5,0,0,0,89,13,10,8,57,19,8,6,3,0,128,0,0,0,0,5,10,9,0,0,24,0,0,0,6,4,3,0,0,0,17,8,26,17,74,52,62,62,12,0,312,0,4,3,26,6,0,3,0,0,41,0,3,7,10,18,23,24,3,5,104,0,5,8,18,14,12,3,0,0,45,22,89,94,321,191,210,290,214,81,1516,479,974,1092,2486,1694,2006,1685,898,472,11780,7758,17428,15199,30143,19338,20960,17106,8505,3755,140183
CED222,0,0,4,20,33,11,3,0,0,70,14,81,211,639,378,243,98,30,6,1700,0,3,9,143,83,135,112,47,37,576,3,38,32,182,174,216,215,140,54,1041,8,22,27,103,51,44,17,4,0,274,11,109,134,467,263,156,109,37,11,1298,0,0,0,41,61,62,58,54,13,292,10,85,150,898,407,380,313,134,53,2426,0,9,12,64,17,27,0,0,0,129,8,52,64,298,54,21,7,3,0,509,0,3,26,276,172,162,84,59,19,802,0,10,19,154,207,125,81,32,11,637,17,67,61,150,77,58,31,5,3,460,20,62,203,1467,892,709,218,94,45,3705,3,6,7,56,34,38,31,13,8,188,0,10,15,92,30,11,6,5,0,165,46,278,413,1919,1004,779,541,388,145,5518,472,820,905,2550,1252,1140,904,622,364,9029,10646,19725,19158,45996,22302,17648,12693,7023,3458,158654
CED223,0,6,3,33,28,12,3,0,0,85,3,14,37,264,79,70,38,13,5,526,0,5,6,73,36,53,36,34,28,273,3,22,33,122,113,146,142,78,33,690,10,35,37,123,38,38,27,10,0,316,4,29,57,230,137,60,36,19,4,592,0,0,0,14,32,38,45,27,8,167,3,25,50,240,113,103,96,41,15,684,4,6,16,104,15,15,8,0,0,171,3,17,46,119,47,16,5,0,3,259,0,4,8,50,69,96,95,39,3,356,4,0,0,24,21,23,6,7,0,94,18,88,60,185,106,75,61,19,0,615,5,27,105,303,101,88,37,12,4,674,0,3,11,24,28,20,20,15,7,126,0,0,3,43,17,21,7,0,0,94,59,205,281,1346,551,434,358,255,142,3629,342,574,654,1722,1005,870,774,603,458,7009,8799,17336,16887,37323,19791,17847,13056,6897,3368,141301
