CED_CODE_2016,M_15_19y_DUDW_LT_5_h,M_15_19y_DUDW_5_14_h,M_15_19y_DUDW_15_29_h,M_15_19y_DUDW_30_h_mo,M_15_19y_DNUDW,M_15_19y_UDW_NS,M_15_19y_Total,M_20_24y_DUDW_LT_5_h,M_20_24y_DUDW_5_14_h,M_20_24y_DUDW_15_29_h,M_20_24y_DUDW_30_h_mo,M_20_24y_DNUDW,M_20_24y_UDW_NS,M_20_24y_Total,M_25_34y_DUDW_LT_5_h,M_25_34y_DUDW_5_14_h,M_25_34y_DUDW_15_29_h,M_25_34y_DUDW_30_h_mo,M_25_34y_DNUDW,M_25_34y_UDW_NS,M_25_34y_Total,M_35_44y_DUDW_LT_5_h,M_35_44y_DUDW_5_14_h,M_35_44y_DUDW_15_29_h,M_35_44y_DUDW_30_h_mo,M_35_44y_DNUDW,M_35_44y_UDW_NS,M_35_44y_Total,M_45_54y_DUDW_LT_5_h,M_45_54y_DUDW_5_14_h,M_45_54y_DUDW_15_29_h,M_45_54y_DUDW_30_h_mo,M_45_54y_DNUDW,M_45_54y_UDW_NS,M_45_54y_Total,M_55_64y_DUDW_LT_5_h,M_55_64y_DUDW_5_14_h,M_55_64y_DUDW_15_29_h,M_55_64y_DUDW_30_h_mo,M_55_64y_DNUDW,M_55_64y_UDW_NS,M_55_64y_Total,M_65_74y_DUDW_LT_5_h,M_65_74y_DUDW_5_14_h,M_65_74y_DUDW_15_29_h,M_65_74y_DUDW_30_h_mo,M_65_74y_DNUDW,M_65_74y_UDW_NS,M_65_74y_Total,M_75_84y_DUDW_LT_5_h,M_75_84y_DUDW_5_14_h,M_75_84y_DUDW_15_29_h,M_75_84y_DUDW_30_h_mo,M_75_84y_DNUDW,M_75_84y_UDW_NS,M_75_84y_Total,M_85y_ov_DUDW_LT_5_h,M_85y_ov_DUDW_5_14_h,M_85y_ov_DUDW_15_29_h,M_85y_ov_DUDW_30_h_mo,M_85y_ov_DNUDW,M_85y_ov_UDW_NS,M_85y_ov_Total,M_Tot_DUDW_LT_5_h,M_Tot_DUDW_5_14_h,M_Tot_DUDW_15_29_h,M_Tot_DUDW_30_h_mo,M_Tot_DNUDW,M_Tot_UDW_NS,M_Tot_Total,F_15_19y_DUDW_LT_5_h,F_15_19y_DUDW_5_14_h,F_15_19y_DUDW_15_29_h,F_15_19y_DUDW_30_h_mo,F_15_19y_DNUDW,F_15_19y_UDW_NS,F_15_19y_Total,F_20_24y_DUDW_LT_5_h,F_20_24y_DUDW_5_14_h,F_20_24y_DUDW_15_29_h,F_20_24y_DUDW_30_h_mo,F_20_24y_DNUDW,F_20_24y_UDW_NS,F_20_24y_Total,F_25_34y_DUDW_LT_5_h,F_25_34y_DUDW_5_14_h,F_25_34y_DUDW_15_29_h,F_25_34y_DUDW_30_h_mo,F_25_34y_DNUDW,F_25_34y_UDW_NS,F_25_34y_Total,F_35_44y_DUDW_LT_5_h,F_35_44y_DUDW_5_14_h,F_35_44y_DUDW_15_29_h,F_35_44y_DUDW_30_h_mo,F_35_44y_DNUDW,F_35_44y_UDW_NS,F_35_44y_Total,F_45_54y_DUDW_LT_5_h,F_45_54y_DUDW_5_14_h,F_45_54y_DUDW_15_29_h,F_45_54y_DUDW_30_h_mo,F_45_54y_DNUDW,F_45_54y_UDW_NS,F_45_54y_Total,F_55_64y_DUDW_LT_5_h,F_55_64y_DUDW_5_14_h,F_55_64y_DUDW_15_29_h,F_55_64y_DUDW_30_h_mo,F_55_64y_DNUDW,F_55_64y_UDW_NS,F_55_64y_Total,F_65_74y_DUDW_LT_5_h,F_65_74y_DUDW_5_14_h,F_65_74y_DUDW_15_29_h,F_65_74y_DUDW_30_h_mo,F_65_74y_DNUDW,F_65_74y_UDW_NS,F_65_74y_Total,F_75_84y_DUDW_LT_5_h,F_75_84y_DUDW_5_14_h,F_75_84y_DUDW_15_29_h,F_75_84y_DUDW_30_h_mo,F_75_84y_DNUDW,F_75_84y_UDW_NS,F_75_84y_Total,F_85y_ov_DUDW_LT_5_h,F_85y_ov_DUDW_5_14_h,F_85y_ov_DUDW_15_29_h,F_85y_ov_DUDW_30_h_mo,F_85y_ov_DNUDW,F_85y_ov_UDW_NS,F_85y_ov_Total,F_Tot_DUDW_LT_5_h,F_Tot_DUDW_5_14_h,F_Tot_DUDW_15_29_h,F_Tot_DUDW_30_h_mo,F_Tot_DNUDW,F_Tot_UDW_NS,F_Tot_Total,P_15_19y_DUDW_LT_5_h,P_15_19y_DUDW_5_14_h,P_15_19y_DUDW_15_29_h,P_15_19y_DUDW_30_h_mo,P_15_19y_DNUDW,P_15_19y_UDW_NS,P_15_19y_Total,P_20_24y_DUDW_LT_5_h,P_20_24y_DUDW_5_14_h,P_20_24y_DUDW_15_29_h,P_20_24y_DUDW_30_h_mo,P_20_24y_DNUDW,P_20_24y_UDW_NS,P_20_24y_Total,P_25_34y_DUDW_LT_5_h,P_25_34y_DUDW_5_14_h,P_25_34y_DUDW_15_29_h,P_25_34y_DUDW_30_h_mo,P_25_34y_DNUDW,P_25_34y_UDW_NS,P_25_34y_Total,P_35_44y_DUDW_LT_5_h,P_35_44y_DUDW_5_14_h,P_35_44y_DUDW_15_29_h,P_35_44y_DUDW_30_h_mo,P_35_44y_DNUDW,P_35_44y_UDW_NS,P_35_44y_Total,P_45_54y_DUDW_LT_5_h,P_45_54y_DUDW_5_14_h,P_45_54y_DUDW_15_29_h,P_45_54y_DUDW_30_h_mo,P_45_54y_DNUDW,P_45_54y_UDW_NS,P_45_54y_Total,P_55_64y_DUDW_LT_5_h,P_55_64y_DUDW_5_14_h,P_55_64y_DUDW_15_29_h,P_55_64y_DUDW_30_h_mo,P_55_64y_DNUDW,P_55_64y_UDW_NS,P_55_64y_Total,P_65_74y_DUDW_LT_5_h,P_65_74y_DUDW_5_14_h,P_65_74y_DUDW_15_29_h,P_65_74y_DUDW_30_h_mo,P_65_74y_DNUDW,P_65_74y_UDW_NS,P_65_74y_Total,P_75_84y_DUDW_LT_5_h,P_75_84y_DUDW_5_14_h,P_75_84y_DUDW_15_29_h,P_75_84y_DUDW_30_h_mo,P_75_84y_DNUDW,P_75_84y_UDW_NS,P_75_84y_Total,P_85y_ov_DUDW_LT_5_h,P_85y_ov_DUDW_5_14_h,P_85y_ov_DUDW_15_29_h,P_85y_ov_DUDW_30_h_mo
CED211,2096,248,17,3,1712,214,4295,1923,568,49,26,1654,175,4395,3737,2579,391,151,2406,490,9760,3447,3721,804,287,1746,485,10484,3074,3323,735,255,1531,455,9377,2244,2527,621,262,1471,363,7490,1219,1857,778,391,1398,361,6011,612,869,487,268,1073,362,3675,181,232,112,96,658,249,1528,18537,15932,4003,1743,13638,3156,57011,2124,326,40,11,1418,198,4115,1850,821,137,82,991,172,4050,2585,3106,1236,1336,1637,496,10397,1380,3421,2345,2421,966,440,10968,1290,3643,2327,1410,937,410,10018,1016,2969,1843,1092,1069,384,8375,605,1833,1728,1373,1298,508,7339,436,918,819,792,1315,626,4898,282,317,214,151,1337,536,2841,11567,17351,10679,8669,10960,3771,63002,4215,574,53,20,3125,413,8412,3773,1393,184,107,2640,347,8448,6320,5688,1624,1488,4046,990,20153,4822,7144,3151,2703,2713,924,21451,4366,6966,3066,1671,2463,867,19401,3262,5503,2470,1346,2535,749,15861,1824,3690,2503,1760,2694,870,13342,1047,1785,1305,1060,2392,986,8576,467,552,327,251
CED212,1875,212,20,9,1844,378,4333,1682,506,62,35,1624,322,4224,3196,2182,390,152,1856,637,8408,3019,3110,709,292,1463,643,9229,2994,3284,770,264,1816,725,9854,2346,2765,681,312,1858,687,8650,1292,1915,881,466,1845,659,7055,538,824,448,280,1289,539,3910,157,195,111,97,592,229,1374,17097,14975,4069,1895,14184,4820,57044,2098,373,46,20,1481,327,4341,1666,873,188,151,1008,312,4199,1948,2792,1173,1374,987,604,8878,1124,3232,2164,2054,709,604,9900,1261,3873,2295,1439,1044,689,10605,1146,3316,1912,1296,1248,653,9569,605,1863,1803,1490,1732,831,8324,406,791,730,695,1421,777,4822,240,281,146,117,1167,386,2323,10490,17394,10461,8634,10796,5181,62952,3974,588,62,26,3320,708,8675,3347,1372,247,186,2632,630,8419,5140,4972,1566,1527,2840,1240,17284,4147,6336,2871,2347,2171,1245,19126,4251,7157,3067,1704,2864,1419,20458,3492,6077,2594,1604,3109,1336,18222,1896,3780,2684,1956,3576,1486,15381,943,1613,1184,973,2704,1314,8734,393,472,251,208
CED213,1963,252,23,18,1829,495,4577,1543,439,68,41,1584,285,3965,2504,1826,391,141,1595,479,6930,2668,2852,743,294,1343,623,8521,3041,3297,846,347,1821,764,10120,2630,3202,946,434,2265,835,10306,1715,2623,1276,727,2393,1026,9760,657,1141,585,470,1602,845,5306,197,274,136,115,729,419,1873,16923,15914,5020,2577,15167,5766,61363,1930,355,56,23,1326,386,4072,1313,818,187,180,794,244,3539,1382,2332,1213,1527,717,488,7675,823,2986,1982,2172,596,607,9163,1313,3838,2455,1626,894,725,10851,1229,3773,2390,1663,1366,871,11300,736,2425,2314,2065,1935,1079,10547,428,905,805,864,1588,1035,5618,226,308,171,149,1168,650,2671,9391,17736,11570,10272,10388,6078,65436,3891,605,72,39,3153,876,8643,2855,1261,251,224,2376,532,7498,3891,4161,1603,1669,2312,966,14605,3496,5836,2725,2462,1943,1223,17685,4357,7135,3304,1968,2717,1486,20969,3859,6978,3332,2099,3634,1705,21612,2457,5045,3594,2788,4328,2103,20310,1086,2050,1392,1328,3191,1877,10923,427,583,309,260
CED214,1639,289,29,14,1777,356,4102,2132,846,108,42,2446,494,6068,5431,3610,590,208,4416,1242,15500,4031,4326,936,369,2726,1009,13395,3105,3313,756,333,2420,825,10742,2047,2311,656,286,2333,673,8309,909,1217,498,340,1881,543,5385,489,614,279,179,1205,505,3272,158,146,76,55,669,231,1332,19930,16676,3926,1821,19868,5860,68087,1678,389,58,22,1378,328,3854,1917,1061,238,128,1556,429,5335,3897,4387,1434,1503,2578,1092,14896,1864,4176,2378,2401,1479,859,13154,1532,3773,2018,1434,1399,705,10861,1083,2562,1463,1202,1563,637,8513,550,1252,1030,997,1481,628,5942,436,754,558,490,1399,583,4224,229,300,124,115,1068,390,2230,13191,18655,9318,8290,13906,5649,69009,3311,676,81,33,3164,687,7953,4046,1909,347,169,4005,922,11400,9327,8001,2024,1715,6993,2328,30389,5893,8497,3318,2771,4201,1867,26545,4638,7087,2770,1767,3813,1529,21606,3125,4880,2125,1494,3891,1308,16824,1462,2465,1530,1340,3365,1167,11333,924,1371,837,668,2601,1085,7489,387,445,206,167
CED215,1764,320,28,29,1444,582,4170,1412,668,118,46,1149,477,3873,2266,2189,477,263,1488,997,7679,1955,2410,736,386,1248,936,7658,2340,2695,809,442,1783,993,9057,2271,3061,1039,601,2278,1071,10322,1294,2202,1210,911,2423,1187,9235,495,808,521,433,1392,801,4446,137,179,102,100,562,328,1409,13927,14540,5035,3210,13775,7365,57849,1702,456,75,37,1159,507,3930,1075,999,263,264,659,369,3634,1127,2261,1253,1902,753,686,7982,617,2358,1752,1909,656,651,7945,929,3190,2218,1558,995,873,9759,996,3107,2391,1917,1454,1001,10866,506,1663,1858,1971,1820,1094,8911,293,669,676,786,1408,1060,4900,169,209,147,135,993,563,2213,7415,14915,10636,10471,9892,6808,60139,3466,774,101,66,2607,1088,8105,2491,1669,380,314,1809,845,7512,3395,4453,1726,2161,2242,1678,15661,2571,4766,2490,2291,1906,1588,15605,3263,5884,3020,1997,2777,1866,18811,3268,6164,3432,2519,3732,2072,21189,1798,3872,3066,2880,4249,2280,18142,788,1478,1194,1219,2798,1862,9345,307,390,247,235
CED216,2309,177,15,5,2001,282,4796,1890,431,36,10,1545,236,4153,2948,1707,206,90,1800,488,7234,3382,3165,631,177,1206,528,9094,4013,3964,753,238,1476,623,11068,2922,2966,624,245,1544,531,8822,1612,1971,690,243,1469,437,6417,578,823,330,190,1017,331,3276,246,267,134,85,759,238,1736,19905,15462,3421,1284,12822,3702,56596,2258,279,21,3,1603,243,4403,1902,634,62,36,1090,212,3945,2390,2322,746,759,1107,460,7786,1364,3377,2288,2237,650,515,10429,1486,4569,3028,1804,788,600,12289,1237,3593,2135,1093,939,523,9521,692,2044,1765,1092,1097,504,7200,451,843,821,592,1099,491,4299,388,484,240,157,1601,517,3387,12176,18147,11113,7774,9983,4071,63266,4572,451,34,13,3605,525,9201,3798,1060,100,49,2637,452,8093,5340,4028,952,846,2908,944,15026,4744,6542,2917,2413,1860,1047,19527,5504,8537,3783,2044,2269,1224,23363,4152,6557,2753,1336,2487,1053,18340,2304,4009,2453,1330,2568,945,13616,1031,1670,1155,784,2120,829,7583,634,755,372,248
CED217,2245,532,75,24,3090,564,6526,2029,834,125,50,2833,623,6502,4455,3128,555,273,4774,1445,14625,4532,4235,972,493,4193,1240,15658,3050,3122,744,381,3675,984,11960,2129,2201,585,359,3059,768,9102,945,1196,575,365,2226,617,5922,317,311,163,149,797,302,2032,52,49,21,20,261,68,462,19743,15611,3809,2118,24903,6604,72792,2442,694,97,36,2408,530,6207,1965,1231,329,265,1965,586,6342,2607,4129,1970,2765,3149,1193,15811,1584,4354,2888,3528,2688,1106,16146,1179,3566,2290,2003,2397,942,12374,963,2449,1754,1600,2267,795,9829,541,1095,931,1013,1644,691,5917,241,360,243,222,880,348,2296,82,73,40,35,503,124,870,11600,17947,10547,11467,17915,6316,75785,4683,1225,174,57,5498,1093,12732,3993,2060,461,319,4801,1205,12841,7061,7258,2526,3035,7924,2636,30439,6114,8586,3853,4025,6879,2344,31806,4227,6692,3032,2386,6072,1926,24335,3095,4643,2341,1960,5328,1566,18932,1485,2294,1505,1377,3872,1309,11840,555,672,402,377,1683,649,4329,130,120,67,55
CED218,1676,172,15,6,1567,252,3682,2465,837,97,31,2341,418,6190,6840,3645,402,94,3528,1373,15885,3945,3453,580,191,1609,789,10572,3259,3073,652,205,1404,648,9229,2278,2367,539,179,1365,500,7229,1349,1600,506,185,1355,429,5422,596,763,283,140,980,378,3150,180,201,102,58,587,179,1305,22582,16104,3182,1093,14745,4964,62669,1752,319,30,7,1447,255,3811,3093,1396,141,56,2183,508,7375,6215,4832,1110,938,2470,1360,16925,2135,3292,1875,1907,875,693,10771,1440,3415,2201,1403,787,541,9791,1240,2994,1638,864,832,526,8091,701,1925,1370,865,952,493,6307,430,871,670,508,1077,501,4070,259,315,193,116,1009,379,2274,17264,19360,9233,6660,11638,5258,69414,3428,484,43,13,3019,505,7492,5552,2234,244,86,4528,927,13562,13058,8474,1510,1031,6003,2738,32810,6085,6752,2454,2098,2486,1480,21348,4694,6486,2856,1604,2194,1192,19024,3520,5362,2174,1041,2201,1023,15318,2053,3525,1874,1055,2304,919,11729,1026,1635,961,653,2058,885,7216,441,516,300,172
CED219,2507,530,71,24,3204,580,6919,2286,891,130,74,3432,610,7426,4893,3501,670,261,5335,1141,15799,4346,4262,983,457,4244,1024,15306,3307,3321,831,384,3648,866,12359,2413,2484,641,324,3080,726,9659,1028,1223,516,319,2042,566,5704,381,401,207,159,993,395,2536,63,92,34,39,413,115,751,21227,16710,4071,2037,26392,6018,76461,2503,781,118,47,2412,509,6364,2064,1457,414,300,2101,457,6790,2703,4330,2297,2997,3442,1075,16855,1455,3874,2692,3248,2557,831,14651,1343,3724,2332,1996,2287,830,12521,1067,2743,1818,1436,2215,724,10006,528,1230,951,908,1733,646,5999,329,506,314,283,1158,464,3060,129,143,49,51,799,183,1356,12130,18781,10985,11268,18702,5730,77600,5009,1311,187,70,5618,1087,13280,4350,2347,546,379,5530,1065,14217,7603,7828,2964,3263,8784,2219,32657,5804,8131,3674,3698,6795,1858,29957,4651,7051,3162,2378,5942,1695,24879,3479,5226,2459,1757,5296,1448,19661,1563,2455,1466,1233,3769,1217,11702,713,910,524,443,2150,854,5595,198,237,87,88
CED220,1777,274,33,6,2077,285,4452,1968,664,63,33,2527,377,5635,3696,2268,344,162,3812,680,10971,3299,3283,699,267,2392,572,10513,2875,3043,630,296,2426,549,9825,2149,2259,631,251,2311,482,8082,1159,1464,601,306,1768,481,5787,596,756,352,219,1306,451,3676,203,231,115,75,739,239,1600,17728,14236,3477,1618,19364,4119,60542,1892,359,40,15,1635,262,4206,1764,890,153,72,1702,285,4857,2613,2825,1160,1213,2509,620,10949,1344,3288,2121,2097,1553,537,10934,1262,3531,2093,1473,1542,521,10420,1001,2655,1643,1195,1607,447,8553,645,1520,1278,1135,1591,529,6695,470,889,651,569,1430,602,4619,291,311,178,125,1142,506,2551,11279,16266,9311,7894,14717,4309,63781,3675,634,74,25,3710,543,8662,3739,1551,212,99,4232,663,10492,6310,5100,1506,1380,6322,1297,21917,4642,6563,2819,2363,3943,1112,21443,4133,6575,2731,1770,3972,1071,20246,3152,4912,2274,1446,3921,924,16631,1800,2987,1879,1439,3363,1010,12479,1067,1644,1010,788,2733,1056,8294,491,539,295,200
CED221,1837,314,40,18,1572,547,4324,1355,645,83,52,1178,359,3671,2255,1975,418,213,1246,654,6764,2084,2684,770,328,1124,732,7723,2522,3164,914,374,1589,838,9389,2475,3103,1027,556,2116,993,10270,1343,2148,1089,800,2213,1002,8596,474,796,414,372,1283,693,4027,166,182,103,74,550,332,1411,14506,15010,4861,2781,12875,6133,56165,1855,447,59,28,1127,502,4020,1003,892,227,202,561,294,3184,1151,2226,1164,1506,655,560,7264,756,2628,1937,1923,521,625,8393,1079,3634,2178,1425,889,755,9955,1093,3426,2363,1601,1308,889,10684,518,1739,1811,1804,1655,987,8507,315,697,612,756,1297,795,4483,187,256,160,149,1074,524,2343,7952,15946,10511,9399,9083,5937,58829,3694,759,99,48,2704,1048,8349,2358,1541,316,252,1736,652,6854,3407,4202,1583,1720,1897,1212,14024,2836,5308,2713,2251,1649,1356,16112,3598,6797,3089,1794,2484,1590,19338,3566,6534,3391,2161,3429,1881,20960,1856,3881,2901,2598,3865,1989,17106,786,1494,1027,1129,2578,1487,8505,356,441,259,221
CED222,1967,291,19,15,2147,351,4790,1857,608,76,44,2249,342,5172,3879,2493,403,170,3110,727,10785,3788,3650,756,309,2458,719,11681,3335,3437,702,260,2515,716,10966,2413,2494,576,256,2283,580,8604,1174,1526,572,302,1824,544,5945,440,630,254,164,1121,455,3064,109,136,52,60,653,238,1244,18963,15269,3410,1573,18352,4673,62239,2105,424,48,27,1653,299,4554,1845,926,173,108,1321,271,4644,2560,3356,1358,1480,1901,668,11317,1542,3742,2448,2363,1452,663,12214,1499,3998,2321,1422,1506,601,11343,1136,2817,1731,1174,1595,595,9047,581,1625,1250,1027,1628,630,6744,353,675,494,432,1389,620,3961,177,260,112,81,1115,472,2218,11810,17825,9930,8109,13565,4804,66041,4073,720,67,37,3795,650,9346,3706,1535,249,149,3569,608,9815,6441,5845,1760,1648,5008,1392,22099,5335,7389,3210,2667,3915,1378,23895,4833,7437,3021,1679,4019,1312,22302,3545,5315,2300,1430,3880,1172,17648,1759,3149,1820,1327,3452,1174,12693,794,1311,742,597,2508,1072,7023,285,392,169,138
CED223,2091,210,19,10,1741,255,4330,1869,496,58,23,1681,240,4365,3328,2253,335,137,2033,483,8564,3189,3551,793,235,1312,501,9584,2942,3540,772,241,1439,546,9478,2376,3026,782,284,1566,467,8497,1232,1950,838,392,1405,424,6243,456,669,414,232,909,355,3036,144,179,94,76,517,221,1225,17621,15876,4114,1624,12598,3489,55326,2091,311,43,14,1346,240,4040,1961,764,112,65,1053,206,4158,2413,2802,988,1085,1133,456,8872,1171,3352,2418,2308,619,426,10296,1140,3726,2530,1644,794,478,10312,1110,3260,2215,1319,987,448,9343,504,1674,1649,1359,1113,522,6818,319,715,684,627,999,521,3863,203,314,147,94,959,419,2142,10903,16914,10796,8521,8993,3714,59838,4185,516,60,23,3086,496,8365,3829,1256,172,87,2733,439,8520,5734,5050,1325,1221,3162,944,17438,4355,6907,3218,2543,1929,930,19883,4079,7267,3302,1887,2233,1023,19791,3487,6291,2998,1602,2553,909,17847,1730,3625,2487,1751,2514,944,13056,774,1384,1096,854,1905,877,6897,348,490,243,170
CED224,2411,280,17,14,2211,277,5202,2678,805,77,29,2148,334,6074,4228,2377,291,96,2364,666,10014,2967,2848,539,198,1141,470,8168,3295,3365,713,246,1383,569,9578,2435,2712,667,247,1271,420,7751,1445,1837,672,257,1099,351,5668,567,890,352,153,861,286,3110,214,270,127,86,617,180,1496,20244,15388,3453,1323,13108,3556,57065,2581,399,32,10,1903,267,5190,2730,1164,128,34,1503,318,5875,3526,3022,766,711,1663,640,10329,1471,2850,1973,2030,774,486,9581,1235,3797,2719,1955,780,510,11002,1012,3066,2105,1191,775,451,8607,602,1853,1719,1087,878,461,6595,356,902,799,633,958,421,4071,284,405,251,170,1414,349,2877,13794,17448,10485,7824,10651,3907,64116,4992,680,41,18,4117,548,10388,5406,1967,209,67,3652,649,11947,7748,5399,1051,804,4029,1307,20340,4438,5697,2512,2231,1916,955,17749,4527,7167,3428,2200,2164,1080,20576,3451,5775,2777,1436,2043,879,16356,2044,3690,2390,1342,1976,813,12264,925,1787,1147,783,1824,706,7178,502,676,382,260
CED225,2700,392,19,16,2535,382,6043,2031,553,63,30,2097,245,5018,3263,2355,461,161,2174,480,8894,3642,3945,910,356,1724,571,11137,3588,4117,913,359,2132,615,11731,2468,2958,849,304,1801,526,8901,1023,1618,757,397,1337,415,5553,365,540,293,218,781,322,2519,95,111,66,47,359,135,810,19169,16588,4327,1890,14931,3695,60605,2755,506,51,26,1864,332,5528,2044,950,172,100,1299,248,4805,1851,2865,1414,1705,1160,485,9485,1229,3870,2739,2929,898,517,12190,1264,4421,2908,1864,1047,564,12073,959,3161,2092,1396,1051,465,9122,392,1373,1363,1170,1083,469,5856,251,460,434,444,820,357,2765,164,148,70,58,611,220,1272,10907,17758,11255,9692,9832,3662,63100,5452,898,71,41,4396,709,11570,4070,1502,235,127,3392,491,9819,5116,5224,1878,1861,3330,967,18379,4867,7816,3646,3283,2617,1091,23326,4850,8545,3822,2224,3182,1178,23807,3422,6117,2940,1703,2849,992,18023,1417,2988,2124,1570,2419,884,11413,612,1002,729,661,1599,679,5285,253,262,136,104
CED226,2635,569,73,31,3022,595,6931,2428,913,169,79,3192,727,7506,6231,5025,983,403,6451,1881,20978,5654,6026,1483,655,4671,1511,19997,3702,4166,981,448,3397,1000,13687,2383,2603,724,378,2754,704,9544,956,1315,581,350,1851,583,5628,285,432,201,141,831,343,2236,71,59,18,27,276,118,573,24351,21109,5203,2509,26443,7475,87089,2642,803,100,53,2444,532,6573,2268,1469,414,277,2067,487,6988,3371,5747,3364,4440,4361,1445,22730,1859,5185,3545,4370,2694,1063,18720,1462,4299,2671,2190,2174,835,13632,998,2775,1968,1625,2026,684,10077,486,1190,1052,1019,1571,614,5933,246,411,338,311,961,402,2655,89,105,52,29,538,224,1034,13415,21984,13500,14316,18841,6283,88340,5273,1377,172,86,5470,1124,13511,4699,2382,579,356,5258,1214,14491,9599,10778,4348,4849,10808,3328,43711,7514,11207,5026,5021,7368,2575,38714,5167,8463,3654,2640,5569,1828,27320,3375,5379,2694,1999,4780,1389,19623,1446,2504,1634,1361,3425,1197,11563,531,843,533,450,1795,750,4894,164,164,68,59
CED227,1851,344,36,22,1579,578,4403,1349,669,103,50,1177,377,3723,2219,2012,478,272,1719,813,7510,1982,2202,693,314,1289,681,7163,2392,2712,706,381,1944,949,9081,2361,2840,851,452,2378,1030,9912,1210,1740,876,653,2296,1137,7911,536,778,486,361,1380,825,4368,177,207,122,88,707,357,1661,14080,13508,4348,2591,14469,6743,55735,1783,521,75,38,1133,544,4098,1037,977,276,261,688,328,3561,1075,2129,1154,1693,911,675,7630,602,2158,1785,1835,665,626,7672,838,3042,2207,1509,1028,815,9444,811,2806,2077,1648,1426,992,9756,448,1382,1565,1703,1653,1096,7842,343,705,693,779,1647,1008,5171,232,314,206,176,1277,600,2810,7163,14018,10038,9639,10436,6687,57973,3632,866,113,57,2713,1117,8501,2387,1647,374,309,1867,705,7289,3297,4139,1629,1967,2625,1490,15144,2583,4363,2474,2145,1953,1304,14831,3229,5750,2917,1881,2973,1764,18522,3170,5642,2928,2097,3808,2021,19671,1651,3125,2444,2358,3945,2234,15751,883,1477,1181,1140,3022,1829,9536,407,521,328,268
CED228,1823,327,37,11,2191,459,4852,2366,816,100,56,2877,579,6803,4668,2859,433,189,4469,1261,13890,3381,2968,694,312,2854,833,11037,3078,2912,671,276,2913,818,10662,2139,2437,637,297,2566,664,8743,1108,1452,633,352,2112,701,6363,557,717,352,259,1429,542,3855,181,210,88,67,655,244,1444,19292,14698,3655,1825,22071,6109,67645,1917,469,53,30,1813,439,4726,2217,1248,200,113,1875,434,6090,3578,3605,1203,1374,2905,1070,13738,1570,3120,2054,2167,1871,777,11550,1277,3253,2211,1705,1781,709,10931,1027,2680,1882,1442,1874,701,9598,556,1517,1259,1257,1734,756,7082,474,880,637,651,1579,688,4914,274,280,153,116,1150,425,2396,12889,17057,9655,8847,16571,6003,71030,3743,797,89,45,4004,901,9577,4580,2063,304,170,4757,1014,12891,8240,6472,1639,1569,7378,2333,27629,4945,6089,2746,2480,4724,1609,22591,4351,6167,2882,1981,4686,1529,21595,3169,5114,2518,1735,4438,1364,18337,1665,2970,1892,1606,3851,1458,13440,1027,1593,992,909,3012,1231,8770,453,492,245,185
CED229,2866,461,33,24,3001,664,7046,2286,842,130,35,2653,478,6426,5114,4000,710,307,3922,1015,15076,4720,5032,1168,499,3025,1040,15484,3881,4366,1072,442,2896,962,13625,2616,3174,958,429,2485,843,10499,1148,1840,797,583,1958,737,7053,388,533,310,252,888,445,2816,77,106,51,50,396,149,829,23085,20356,5250,2617,21222,6333,78868,2837,672,95,45,2325,626,6600,2144,1360,321,289,1678,427,6214,2703,4805,2320,3351,2271,1021,16468,1449,4840,3338,3944,1615,954,16139,1415,4931,3139,2333,1630,934,14383,1101,3344,2325,1819,1601,796,10993,510,1485,1496,1498,1524,817,7338,277,486,397,429,964,530,3085,122,155,72,79,629,265,1327,12565,22080,13507,13787,14243,6370,82548,5704,1129,133,66,5326,1296,13648,4427,2198,456,328,4337,903,12647,7820,8802,3030,3655,6196,2042,31546,6170,9872,4515,4442,4640,1995,31630,5295,9298,4213,2773,4526,1900,28001,3718,6522,3283,2246,4091,1638,21491,1662,3324,2296,2081,3479,1548,14390,671,1016,705,684,1858,970,5905,196,267,128,127
CED230,2222,341,29,17,1969,604,5185,1703,687,110,54,1546,386,4481,3383,2702,543,295,2074,755,9757,2923,3121,808,400,1592,714,9557,2925,3345,836,381,2012,926,10423,2446,3059,978,541,2239,919,10190,1354,2142,1112,858,2285,1005,8750,516,873,499,422,1398,747,4447,132,174,93,105,594,314,1414,17605,16449,5014,3070,15708,6357,64206,2217,528,81,30,1461,496,4817,1474,1126,322,332,965,387,4596,1632,3141,1713,2473,1081,696,10734,937,3036,2239,2547,794,709,10256,1140,3842,2426,1748,1116,828,11101,1036,3356,2443,1809,1424,956,11027,575,1745,2019,2045,1959,1088,9428,329,757,705,803,1458,919,4972,199,258,163,138,1176,509,2450,9540,17791,12101,11929,11429,6587,69372,4440,864,111,56,3428,1101,9998,3178,1808,432,382,2507,771,9076,5016,5843,2258,2765,3152,1450,20488,3862,6159,3050,2944,2385,1418,19819,4068,7188,3256,2132,3123,1753,21524,3480,6416,3425,2350,3670,1878,21214,1924,3887,3132,2904,4238,2092,18180,845,1638,1199,1226,2854,1668,9420,332,433,254,250
