CED_CODE_2016,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_Nthern_Ireland_0_4,F_Nthern_Ireland_5_14,F_Nthern_Ireland_15_24,F_Nthern_Ireland_25_44,F_Nthern_Ireland_45_54,F_Nthern_Ireland_55_64,F_Nthern_Ireland_65_74,F_Nthern_Ireland_75_84,F_Nthern_Ireland_85ov,F_Nthern_Ireland_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_SE_Europe_nfd_0_4,F_SE_Europe_nfd_5_14,F_SE_Europe_nfd_15_24,F_SE_Europe_nfd_25_44,F_SE_Europe_nfd_45_54,F_SE_Europe_nfd_55_64,F_SE_Europe_nfd_65_74,F_SE_Europe_nfd_75_84,F_SE_Europe_nfd_85ov,F_SE_Europe_nfd_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_FYROM_0_4,F_FYROM_5_14,F_FYROM_15_24,F_FYROM_25_44,F_FYROM_45_54,F_FYROM_55_64,F_FYROM_65_74,F_FYROM_75_84,F_FYROM_85ov,F_FYROM_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
CED211,0,7,16,28,22,11,12,9,0,104,5,84,176,395,79,36,20,4,7,804,0,3,15,53,0,3,0,0,0,79,3,0,3,20,16,40,100,85,41,306,4,79,80,305,160,125,68,27,21,881,0,4,0,8,13,11,14,15,11,75,4,7,14,83,9,9,3,0,0,136,0,0,3,19,24,9,3,0,0,56,3,24,32,222,104,79,35,17,4,523,0,0,3,51,28,47,35,29,24,204,3,3,9,49,44,75,95,75,41,399,5,40,33,114,51,47,24,9,5,329,4,19,49,163,79,54,44,18,7,439,0,0,0,10,11,21,12,13,5,77,3,17,33,251,79,95,60,41,27,598,3,10,11,167,20,23,11,0,0,246,10,29,47,196,42,18,12,3,0,356,0,0,0,3,3,7,6,4,0,28,0,0,3,19,6,5,5,3,0,44,8,34,33,77,53,28,19,7,3,257
CED212,0,7,7,42,19,22,17,11,0,122,0,0,0,5,4,3,0,3,0,14,0,0,0,3,0,0,0,0,0,6,0,7,8,20,27,85,119,103,48,411,8,69,144,485,286,276,157,47,24,1490,0,5,7,26,27,30,46,22,5,167,0,0,3,5,7,0,3,0,0,26,0,0,3,23,21,12,6,0,0,61,6,28,26,210,102,86,31,5,3,497,0,3,0,53,12,54,29,17,7,173,9,27,23,109,136,171,169,148,45,834,0,13,5,27,16,15,3,3,3,82,0,20,43,133,83,56,46,24,8,415,0,0,0,6,9,19,19,8,0,64,0,8,4,49,33,30,38,20,4,184,0,0,0,19,7,3,3,0,0,31,11,14,20,130,24,14,3,0,0,206,0,0,0,4,5,6,0,0,0,17,0,4,0,10,9,4,4,0,0,36,0,21,26,76,60,34,29,3,0,255
CED213,0,0,0,11,20,24,11,3,3,74,0,0,0,3,3,0,3,0,3,14,0,0,0,6,0,0,0,0,0,8,0,3,0,17,36,75,170,87,37,427,5,41,54,274,221,219,154,55,16,1029,0,3,4,12,15,29,33,24,4,128,0,0,0,0,0,3,0,0,0,3,0,0,0,18,10,5,0,3,0,41,3,21,15,123,54,46,28,6,0,307,0,0,0,21,12,15,20,7,10,77,0,11,15,61,114,121,168,93,44,627,0,7,0,10,11,14,4,3,0,53,3,7,22,74,48,42,48,13,3,263,0,0,0,9,10,12,12,4,3,47,0,4,3,10,16,27,18,5,0,78,0,0,0,7,3,0,0,0,0,17,0,14,6,69,20,8,3,0,0,132,0,0,0,10,4,5,0,3,3,30,0,0,0,10,6,4,7,0,0,29,4,11,14,53,38,37,30,6,3,213
CED214,0,0,7,41,15,12,5,3,3,91,4,38,44,186,22,10,4,7,0,316,0,3,82,249,0,3,3,0,0,348,0,0,3,26,19,16,28,16,13,127,28,134,182,900,252,168,60,16,9,1743,0,0,0,24,11,15,13,4,3,78,7,14,17,94,4,0,0,0,0,136,3,3,9,28,11,10,0,0,0,64,10,44,92,563,200,191,112,30,7,1249,0,0,4,77,29,73,59,65,80,385,3,5,6,85,54,66,75,49,21,367,4,11,27,96,23,5,10,3,0,179,0,0,10,139,35,14,11,3,3,211,0,0,3,16,40,51,45,59,17,241,3,13,35,150,36,12,6,16,3,275,0,3,8,79,13,3,0,0,0,100,10,24,37,215,52,16,10,0,0,362,0,3,0,73,113,186,216,106,18,722,0,0,3,45,33,25,11,9,4,132,3,22,26,170,42,32,13,0,0,314
CED215,0,0,0,5,8,5,8,0,0,32,0,0,0,12,3,0,0,3,0,18,0,0,3,10,0,0,0,0,0,9,0,3,4,16,22,108,200,101,46,497,10,45,52,205,133,174,88,32,4,739,0,0,0,0,7,19,27,15,5,76,0,3,8,15,6,0,0,0,0,34,0,3,3,18,8,6,7,0,0,41,9,24,23,174,93,95,53,10,3,477,0,0,0,7,7,24,19,9,21,90,0,8,6,31,38,87,156,81,24,428,0,4,5,14,10,6,0,0,0,36,0,16,21,54,39,28,12,6,0,177,0,0,0,0,0,7,11,6,3,27,0,8,3,36,11,5,5,0,4,72,0,0,9,45,3,0,0,0,0,62,3,8,14,51,21,15,0,0,0,108,0,0,0,0,3,3,0,0,0,7,0,0,0,0,3,0,0,0,0,7,0,16,9,37,20,32,28,6,0,136
CED216,0,0,0,33,22,19,8,10,0,92,0,0,3,7,9,6,0,0,0,23,0,0,10,35,0,0,0,0,0,48,3,21,14,29,29,34,31,17,14,195,10,81,117,441,327,229,105,38,23,1375,0,0,0,16,26,19,18,9,3,98,0,0,0,18,6,3,3,0,0,30,0,0,0,10,14,4,4,3,0,37,3,7,21,127,69,48,29,7,0,304,0,10,5,109,48,121,125,62,130,603,0,17,26,92,100,72,95,48,28,484,4,58,26,75,32,24,17,14,0,249,9,69,110,394,293,194,134,50,35,1282,0,0,3,12,23,26,15,15,4,99,0,7,7,88,45,59,44,35,13,297,0,0,3,63,10,13,4,0,0,90,3,19,20,98,18,8,5,0,0,176,0,0,0,10,15,7,3,4,0,38,0,0,0,20,21,17,15,7,3,83,20,113,75,159,113,77,24,11,7,595
CED217,0,4,5,57,24,22,10,6,0,129,0,25,62,141,18,13,3,4,0,266,0,9,13,54,6,3,0,0,0,84,0,3,0,17,9,28,45,13,12,124,62,461,393,664,239,144,59,16,0,2038,0,0,0,6,8,18,9,13,4,60,25,60,49,280,47,26,9,6,0,498,0,7,4,12,3,3,0,0,0,37,18,210,439,1512,778,558,198,59,22,3797,0,5,7,101,65,104,62,21,17,378,0,3,6,30,45,84,82,35,11,295,12,27,25,63,32,15,8,3,0,184,4,15,35,79,56,25,17,4,0,230,0,0,3,33,52,53,59,25,9,238,3,59,44,384,151,75,44,14,7,792,0,0,3,40,17,11,3,0,0,82,3,17,25,194,52,18,10,3,0,324,0,7,34,259,255,305,201,61,8,1135,0,3,12,76,75,47,21,4,0,241,7,33,18,57,16,7,0,0,0,133
CED218,0,0,13,56,14,24,10,14,3,134,3,0,5,9,12,6,6,3,0,45,0,0,34,81,3,0,0,0,0,121,0,7,7,46,16,19,32,9,6,146,14,54,201,879,217,187,86,51,18,1715,0,0,0,27,9,12,10,3,0,64,0,3,0,31,3,3,3,0,0,48,0,0,3,14,8,8,0,0,0,35,5,22,34,259,47,43,31,11,0,444,0,0,5,73,25,66,86,65,91,403,7,4,10,113,44,42,35,25,12,291,9,43,64,164,27,55,27,3,3,392,4,12,55,250,93,96,60,31,20,618,0,0,0,6,11,18,4,11,7,59,3,8,30,231,71,65,51,37,17,515,3,9,27,166,16,10,3,0,0,235,3,8,47,259,25,15,0,3,0,366,0,0,0,17,10,3,6,5,0,34,0,4,5,32,17,13,8,0,0,81,11,57,84,269,75,61,39,6,5,622
CED219,0,44,83,389,233,266,131,74,32,1255,0,4,3,30,15,11,7,3,0,74,3,8,20,72,12,6,0,0,0,117,0,3,9,12,24,71,127,87,39,371,71,478,505,943,351,206,67,25,12,2663,0,0,0,14,12,20,16,9,0,84,33,199,163,425,61,34,13,3,0,932,0,0,0,7,7,3,0,0,0,15,22,172,265,854,486,315,107,32,12,2269,0,9,18,110,72,148,79,35,26,498,0,6,11,42,62,105,86,81,29,429,3,29,37,67,52,34,15,0,0,229,3,30,58,178,118,77,71,26,13,576,0,0,5,45,82,97,71,38,14,357,32,286,285,1937,654,491,265,98,39,4072,3,0,0,48,6,16,3,0,0,73,3,18,18,219,54,27,6,0,0,339,0,0,3,74,50,48,26,5,4,214,3,0,11,83,106,49,36,20,3,317,6,30,31,47,24,11,8,0,0,156
CED220,3,3,21,106,71,72,87,42,18,423,7,11,44,106,29,22,6,7,0,233,0,4,23,50,3,0,0,0,0,83,3,4,3,13,11,25,33,26,10,130,19,96,129,326,156,105,45,20,8,898,0,0,3,11,14,7,14,8,3,69,5,5,11,77,10,8,6,4,0,132,0,0,0,16,8,5,3,0,0,28,4,44,74,344,157,159,58,8,3,854,0,4,3,73,42,82,95,39,27,365,0,13,11,43,41,40,68,44,21,279,0,19,24,70,26,17,15,7,0,184,5,27,71,202,138,83,67,28,5,626,0,0,0,8,16,34,36,29,10,126,6,21,61,352,151,184,174,82,52,1085,0,6,14,93,7,9,0,0,3,133,7,47,43,284,55,43,6,0,0,488,0,0,0,4,13,8,13,5,5,47,0,3,7,28,62,44,43,27,3,222,7,45,25,66,30,13,12,6,0,200
CED221,0,0,0,9,3,0,0,0,0,18,0,0,0,6,0,0,0,0,0,11,0,14,18,16,0,0,0,0,0,54,0,0,3,25,21,73,113,51,18,307,3,29,34,173,143,138,76,30,11,635,0,0,0,4,8,6,10,11,3,45,0,0,0,15,0,0,0,0,0,21,0,0,0,17,15,9,3,0,0,41,7,15,24,146,53,62,25,3,0,333,0,0,0,11,3,3,10,7,14,45,0,0,3,26,31,64,76,34,11,244,0,0,4,13,8,4,4,0,0,34,0,8,20,45,25,20,11,3,3,133,0,0,0,0,3,13,13,14,4,52,0,9,3,33,11,9,4,3,0,72,0,3,13,38,0,3,0,0,0,63,10,8,4,43,19,7,3,3,0,93,0,0,0,0,0,4,0,0,0,10,0,0,0,3,3,0,0,0,0,6,3,11,6,43,30,37,30,9,0,168
CED222,0,12,15,123,70,94,74,41,19,448,0,6,10,58,10,17,6,3,0,109,0,0,0,36,3,3,0,0,0,44,0,6,0,25,21,42,60,58,57,275,34,159,219,550,315,190,93,34,15,1611,0,3,0,25,13,16,19,19,7,108,8,38,38,124,15,14,11,0,0,250,0,0,0,7,11,9,0,0,0,36,7,37,111,387,251,167,68,22,6,1062,0,0,3,74,43,81,60,39,23,326,0,17,17,92,86,110,122,82,29,567,3,14,9,58,31,25,8,0,0,145,8,52,76,238,118,79,58,16,7,652,0,0,0,15,31,28,26,35,10,153,5,43,67,420,217,192,169,72,44,1223,0,3,8,46,13,16,0,0,0,84,5,30,30,218,48,22,8,0,0,358,0,3,13,132,84,79,44,29,7,396,0,5,5,70,105,58,38,14,4,299,8,37,37,71,38,28,10,0,0,234
