CED_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
CED220,10,21,0,560,33,7,3,22,4,25,3,22,10,101,550,783,15,7,4,8,4,10,0,6,3,137,87,289,2745,550,79,1435,140,1318,55,881,118,4835,710,12866
CED221,0,63,0,445,28,9,7,33,12,40,0,15,7,149,853,1156,39,10,7,22,3,16,3,12,17,186,114,427,2997,935,186,2477,223,1385,143,1265,228,5834,1078,16741
CED222,3,40,3,669,45,10,5,22,12,17,3,11,5,62,630,826,18,3,7,13,3,7,0,8,6,116,89,272,3569,497,100,1739,200,1565,75,881,146,4176,788,13738
CED223,3,82,0,990,42,4,3,19,3,28,3,13,4,91,594,805,17,0,0,10,0,5,0,3,0,108,52,212,2911,579,87,1726,183,1292,82,1009,104,4458,706,13136
CED224,20,342,8,2132,25,15,3,14,3,14,3,13,3,75,708,880,22,6,6,10,3,6,0,12,0,83,51,208,3207,650,74,1528,158,1291,75,1125,131,3946,805,12986
CED225,6,50,0,612,27,6,3,22,7,31,0,13,8,80,501,699,16,0,14,20,8,6,3,9,9,98,52,228,3155,517,104,2030,197,1439,77,870,162,3899,636,13090
CED226,4,11,3,574,66,10,3,22,7,47,3,22,12,77,751,1020,29,0,11,10,3,10,3,0,8,109,96,296,4631,555,133,2266,284,2478,103,973,189,4269,941,16827
CED227,3,43,4,367,53,10,3,27,4,40,4,30,7,171,699,1047,37,10,22,29,5,8,0,11,12,219,178,527,2941,733,172,2380,220,1282,137,997,226,5739,1030,15861
CED228,0,35,0,756,39,8,6,18,3,34,0,18,3,120,634,886,23,10,15,12,3,8,0,10,12,162,144,389,3194,528,107,1553,163,1519,88,934,138,5125,874,14234
CED229,3,38,3,620,56,10,4,31,7,51,3,21,3,105,698,986,34,6,14,26,3,17,4,13,13,143,98,358,4407,612,136,2522,298,1977,142,1126,212,4854,906,17194
CED230,10,59,3,506,43,19,5,26,8,56,0,32,4,166,772,1133,40,9,18,24,4,21,3,19,10,203,133,485,3010,838,165,2449,255,1613,144,1324,216,6649,1042,17712
CED231,14,131,0,3467,80,14,8,27,12,30,0,12,0,35,1446,1662,33,4,8,7,4,7,0,3,3,47,52,172,8474,1154,161,3112,338,2441,128,1280,159,3199,1542,21985
CED232,17,253,6,3621,83,11,9,27,14,23,3,20,3,41,1355,1590,34,4,18,15,4,12,0,15,7,61,54,216,7629,908,151,2883,312,2222,94,1130,136,2875,1465,19812
CED233,12,101,3,960,19,6,3,13,7,31,3,29,6,116,614,842,27,4,8,10,0,3,3,9,5,151,71,292,2163,567,76,1335,124,1280,71,1112,131,5769,770,13402
CED234,5,47,4,398,32,13,6,25,6,46,5,28,18,157,713,1041,41,10,24,22,0,7,0,7,6,224,147,485,2838,734,188,2279,228,1331,138,1124,219,6170,1032,16285
CED235,3,21,0,331,37,7,3,23,7,38,3,21,10,116,517,766,23,3,9,9,5,12,0,10,6,148,96,327,2649,458,103,1708,166,1507,79,882,144,5257,696,13651
CED236,6,47,6,448,39,14,3,31,3,22,4,22,4,174,620,945,40,8,12,23,4,11,3,3,6,208,144,449,2678,778,181,2307,217,1303,141,1157,188,5581,929,15466
CED237,3,32,3,1122,50,10,3,20,5,22,3,10,13,89,792,1027,26,9,13,12,10,10,3,3,10,122,117,319,5007,684,125,2294,229,1562,75,842,147,4213,991,16176
CED294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
