CED_CODE_2016,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
CED212,148,3782,403,4333,203,3707,317,4224,508,7229,668,8408,862,7695,674,9229,1125,7988,740,9854,1224,6738,695,8650,822,5575,660,7055,440,2948,523,3910,126,1023,230,1374,5455,46682,4905,57044,185,3791,358,4341,300,3572,325,4199,910,7340,631,8878,1433,7826,635,9900,1973,7922,705,10605,2090,6802,668,9569,1296,6208,819,8324,452,3600,774,4822,104,1832,388,2323,8745,48893,5315,62952,336,7579,758,8675,496,7277,647,8419,1420,14575,1295,17284,2296,15516,1308,19126,3106,15907,1445,20458,3317,13541,1366,18222,2112,11784,1483,15381,890,6550,1298,8734,231,2855,618,3702,14198,95581,10217,119996
CED213,157,3938,484,4577,147,3506,306,3965,419,6012,501,6930,794,7103,629,8521,1217,8112,790,10120,1398,8087,823,10306,1056,7711,997,9760,509,3941,855,5306,153,1305,415,1873,5844,49714,5803,61363,169,3484,414,4072,223,3055,262,3539,831,6331,506,7675,1369,7142,651,9163,2129,7983,737,10851,2552,7877,871,11300,1600,7877,1073,10547,585,3989,1042,5618,138,1875,651,2671,9601,49621,6210,65436,324,7421,902,8643,374,6568,565,7498,1252,12344,1011,14605,2157,14247,1278,17685,3346,16095,1528,20969,3947,15967,1690,21612,2657,15586,2069,20310,1094,7928,1901,10923,290,3181,1068,4541,15445,99333,12018,126797
CED214,188,3540,370,4102,289,5266,516,6068,873,13337,1282,15500,1138,11218,1039,13395,1422,8502,811,10742,1140,6491,673,8309,617,4202,567,5385,361,2407,503,3272,115,978,240,1332,6143,55944,5996,68087,178,3334,344,3854,318,4586,427,5335,1229,12498,1160,14896,1784,10481,888,13154,2170,7949,750,10861,1870,5994,649,8513,968,4338,633,5942,439,3187,591,4224,76,1758,397,2230,9033,54126,5844,69009,366,6876,711,7953,607,9853,947,11400,2104,25839,2446,30389,2921,21698,1926,26545,3589,16454,1560,21606,3016,12484,1323,16824,1587,8545,1198,11333,797,5602,1094,7489,188,2738,631,3558,15182,110073,11842,137098
CED215,189,3398,580,4170,221,3168,485,3873,563,6122,993,7679,788,5937,936,7658,1076,7006,970,9057,1368,7909,1047,10322,974,7139,1124,9235,419,3239,787,4446,102,968,341,1409,5703,44887,7259,57849,191,3230,509,3930,294,2976,371,3634,956,6331,701,7982,1324,5961,664,7945,1927,6958,873,9759,2289,7578,998,10866,1296,6546,1069,8911,453,3418,1034,4900,63,1590,562,2213,8789,44570,6775,60139,380,6629,1092,8105,516,6143,853,7512,1516,12453,1694,15661,2114,11897,1604,15605,3005,13966,1844,18811,3656,15486,2043,21189,2266,13681,2193,18142,871,6652,1820,9345,174,2551,896,3623,14496,89454,14037,117989
CED216,164,4310,319,4796,202,3710,242,4153,386,6338,511,7234,674,7864,556,9094,1361,9052,659,11068,1479,6823,517,8822,857,5134,432,6417,401,2531,349,3276,164,1344,224,1736,5678,47108,3812,56596,157,3981,262,4403,224,3499,219,3945,545,6763,482,7786,1236,8653,548,10429,2400,9251,639,12289,2383,6630,509,9521,1351,5317,534,7200,549,3270,478,4299,157,2686,540,3387,8995,50062,4205,63266,326,8292,577,9201,420,7212,459,8093,930,13105,995,15026,1907,16518,1103,19527,3754,18304,1301,23363,3866,13454,1021,18340,2200,10446,967,13616,950,5800,828,7583,322,4036,761,5121,14675,97166,8014,119860
CED217,308,5598,616,6526,356,5506,640,6502,993,12176,1456,14625,1503,12834,1323,15658,1407,9550,1002,11960,1068,7275,757,9102,680,4622,621,5922,250,1483,293,2032,31,370,70,462,6604,59416,6775,72792,337,5317,555,6207,501,5240,598,6342,1775,12788,1253,15811,2616,12354,1171,16146,2255,9145,977,12374,1935,7107,779,9829,886,4341,690,5917,217,1726,354,2296,21,720,125,870,10542,58744,6498,75785,642,10922,1173,12732,858,10747,1234,12841,2765,24966,2704,30439,4120,25188,2498,31806,3666,18691,1974,24335,3004,14382,1541,18932,1567,8963,1316,11840,469,3212,648,4329,54,1091,191,1332,17144,118162,13271,148579
CED218,108,3318,263,3682,244,5496,447,6190,616,13881,1389,15885,775,8998,804,10572,1170,7409,656,9229,1198,5527,508,7229,659,4324,440,5422,366,2411,377,3150,148,990,167,1305,5276,52352,5040,62669,139,3412,257,3811,306,6555,522,7375,876,14642,1409,16925,1148,8903,721,10771,1894,7324,568,9791,1926,5618,551,8091,1130,4667,515,6307,510,3035,528,4070,91,1815,366,2274,8020,55964,5435,69414,242,6728,517,7492,551,12051,966,13562,1492,28525,2793,32810,1918,17906,1526,21348,3068,14733,1227,19024,3118,11145,1058,15318,1791,8986,955,11729,872,5442,904,7216,240,2803,536,3576,13299,108309,10476,132082
CED219,352,5955,611,6919,441,6393,590,7426,1139,13508,1160,15799,1408,12859,1040,15306,1336,10176,850,12359,1174,7773,710,9659,628,4532,543,5704,255,1876,405,2536,45,586,120,751,6785,63651,6031,76461,425,5425,514,6364,586,5724,485,6790,1930,13786,1129,16855,2254,11508,889,14651,2169,9503,848,12521,1871,7399,734,10006,803,4553,647,5999,261,2337,465,3060,35,1124,202,1356,10323,61358,5921,77600,775,11379,1129,13280,1025,12113,1081,14217,3069,27300,2287,32657,3663,24364,1926,29957,3502,19681,1701,24879,3050,15172,1446,19661,1433,9077,1196,11702,517,4209,866,5595,76,1709,319,2108,17108,125007,11953,154064
CED220,162,3986,309,4452,253,5002,382,5635,647,9633,695,10971,929,9003,582,10513,1279,7979,574,9825,1177,6422,481,8082,673,4621,491,5787,418,2823,431,3676,144,1212,250,1600,5678,50680,4187,60542,189,3728,286,4206,289,4275,291,4857,916,9381,646,10949,1467,8903,566,10934,1922,7941,561,10420,1849,6232,466,8553,1085,5053,555,6695,510,3489,618,4619,97,1947,511,2551,8326,50956,4499,63781,351,7713,599,8662,544,9275,672,10492,1565,19008,1342,21917,2390,17905,1148,21443,3198,15917,1133,20246,3029,12656,952,16631,1762,9678,1037,12479,931,6312,1054,8294,241,3157,760,4156,14006,101635,8689,124324
CED221,190,3564,568,4324,163,3152,352,3671,503,5603,652,6764,784,6188,750,7723,1176,7379,827,9389,1418,7891,971,10270,935,6668,992,8596,392,2968,664,4027,110,959,343,1411,5673,44380,6109,56165,214,3279,531,4020,240,2645,299,3184,858,5829,578,7264,1380,6357,653,8393,1884,7283,783,9955,2388,7403,897,10684,1294,6224,992,8507,480,3176,826,4483,95,1717,525,2343,8836,43912,6080,58829,403,6848,1097,8349,402,5798,648,6854,1365,11439,1227,14024,2163,12547,1405,16112,3060,14670,1617,19338,3810,15292,1861,20960,2234,12891,1986,17106,869,6145,1487,8505,207,2676,867,3755,14510,88296,12187,114998
CED222,177,4250,369,4790,262,4539,365,5172,683,9362,737,10785,998,9931,754,11681,1273,8964,733,10966,1142,6863,600,8604,680,4710,552,5945,313,2283,468,3064,81,909,246,1244,5610,51814,4820,62239,236,4015,304,4554,318,4054,274,4644,1038,9591,688,11317,1652,9853,708,12214,2058,8665,622,11343,1862,6593,588,9047,1013,5075,653,6744,336,3003,625,3961,79,1661,483,2218,8581,52512,4953,66041,412,8263,672,9346,577,8590,645,9815,1723,18961,1420,22099,2649,19784,1467,23895,3330,17627,1354,22302,3004,13452,1187,17648,1690,9790,1207,12693,646,5290,1089,7023,163,2567,728,3458,14189,104326,9770,128284
CED223,145,3914,270,4330,199,3912,255,4365,497,7583,488,8564,872,8211,497,9584,1310,7605,560,9478,1458,6591,455,8497,881,4951,404,6243,348,2355,332,3036,137,878,214,1225,5849,45988,3487,55326,169,3599,271,4040,272,3673,216,4158,730,7645,499,8872,1480,8352,464,10296,2235,7570,508,10312,2423,6480,448,9343,1274,5014,528,6818,486,2848,523,3863,101,1613,421,2142,9171,46797,3871,59838,317,7513,539,8365,466,7589,472,8520,1228,15225,988,17438,2354,16560,964,19883,3548,15170,1072,19791,3875,13066,907,17847,2154,9962,938,13056,835,5205,859,6897,236,2493,636,3368,15015,92788,7359,115161
CED224,204,4710,296,5202,268,5457,352,6074,468,8875,674,10014,645,7039,484,8168,1328,7663,583,9578,1371,5960,429,7751,776,4541,344,5668,385,2449,281,3110,177,1142,183,1496,5612,47829,3627,57065,224,4682,283,5190,286,5254,326,5875,687,8995,645,10329,1170,7896,513,9581,2279,8170,554,11002,2245,5892,469,8607,1267,4860,475,6595,580,3054,444,4071,144,2370,365,2877,8864,51177,4071,64116,428,9388,576,10388,553,10718,677,11947,1154,17868,1324,20340,1816,14938,995,17749,3608,15837,1132,20576,3610,11850,899,16356,2042,9397,819,12264,956,5499,723,7178,318,3505,548,4377,14481,99008,7692,121182
CED225,211,5431,405,6043,233,4533,249,5018,529,7852,509,8894,1025,9527,591,11137,1327,9767,635,11731,1225,7169,506,8901,673,4467,412,5553,287,1911,327,2519,68,600,143,810,5588,51246,3767,60605,234,4926,362,5528,291,4252,263,4805,911,8060,516,9485,1774,9863,553,12190,2272,9203,605,12073,2089,6559,473,9122,964,4425,466,5856,266,2139,360,2765,48,1007,216,1272,8852,50433,3814,63100,452,10359,763,11570,526,8783,514,9819,1441,15914,1021,18379,2792,19390,1139,23326,3599,18964,1237,23807,3320,13727,979,18023,1642,8895,879,11413,556,4052,685,5285,116,1608,358,2077,14440,101680,7577,123705
CED226,286,6027,623,6931,380,6387,741,7506,1417,17648,1910,20978,1922,16531,1543,19997,1506,11190,992,13687,1175,7669,706,9544,663,4404,570,5628,242,1642,350,2236,47,409,117,573,7629,71914,7544,87089,370,5660,549,6573,537,5955,491,6988,2391,18815,1529,22730,2791,14801,1126,18720,2452,10321,858,13632,1887,7481,707,10077,863,4442,626,5933,254,1987,422,2655,32,770,229,1034,11566,70237,6538,88340,651,11690,1166,13511,916,12350,1231,14491,3809,36462,3442,43711,4711,31332,2668,38714,3957,21511,1850,27320,3057,15151,1412,19623,1518,8848,1197,11563,496,3629,769,4894,80,1183,348,1608,19195,142150,14080,175430
CED227,208,3602,589,4403,224,3104,398,3723,525,6174,812,7510,764,5728,672,7163,1155,6996,932,9081,1410,7474,1025,9912,855,5985,1072,7911,432,3116,822,4368,136,1153,369,1661,5703,43338,6690,55735,228,3304,564,4098,261,2945,349,3561,922,6012,699,7630,1199,5795,669,7672,1944,6659,838,9444,2121,6661,976,9756,1188,5573,1077,7842,553,3610,1003,5171,111,2083,607,2810,8535,42653,6790,57973,435,6912,1154,8501,483,6054,748,7289,1452,12184,1509,15144,1965,11527,1341,14831,3098,13652,1772,18522,3526,14137,2003,19671,2043,11554,2151,15751,980,6726,1823,9536,246,3238,979,4469,14242,85996,13476,113709
CED228,192,4162,498,4852,327,5868,610,6803,817,11777,1295,13890,1029,9153,861,11037,1389,8456,816,10662,1278,6784,676,8743,778,4896,687,6363,431,2875,550,3855,139,1041,263,1444,6379,55019,6246,67645,236,4023,469,4726,392,5237,457,6090,1123,11486,1125,13738,1654,9069,829,11550,2303,7908,728,10931,2181,6684,731,9598,1177,5141,766,7082,558,3650,711,4914,86,1867,447,2396,9709,55055,6261,71030,428,8185,961,9577,720,11100,1069,12891,1945,23264,2418,27629,2688,18217,1692,22591,3692,16361,1542,21595,3463,13469,1405,18337,1953,10036,1452,13440,986,6525,1262,8770,224,2908,712,3842,16090,110080,12506,138675
CED229,280,6073,699,7046,333,5621,478,6426,1055,13011,1014,15076,1477,12968,1043,15484,1626,11043,955,13625,1422,8269,815,10499,851,5472,730,7053,323,2068,434,2816,71,607,152,829,7424,65123,6315,78868,314,5617,673,6600,464,5318,436,6214,1760,13640,1061,16468,2491,12659,995,16139,2696,10727,959,14383,2468,7718,811,10993,1166,5365,809,7338,316,2254,513,3085,65,989,276,1327,11742,64271,6532,82548,597,11681,1372,13648,793,10937,914,12647,2816,26651,2075,31546,3960,25629,2039,31630,4329,21764,1907,28001,3890,15984,1623,21491,2019,10836,1540,14390,640,4317,948,5905,133,1597,423,2156,19170,129395,12841,161415
CED230,232,4304,644,5185,232,3877,373,4481,673,8330,757,9757,993,7855,711,9557,1192,8326,914,10423,1406,7872,910,10190,984,6799,967,8750,422,3291,739,4447,107,985,321,1414,6243,51643,6322,64206,229,4059,522,4817,348,3875,374,4596,1196,8825,709,10734,1739,7767,751,10256,2203,8063,833,11101,2385,7655,983,11027,1405,6923,1099,9428,494,3560,922,4972,92,1831,525,2450,10095,52560,6716,69372,466,8365,1165,9998,580,7754,746,9076,1871,17152,1465,20488,2730,15627,1458,19819,3394,16386,1746,21524,3794,15525,1900,21214,2396,13721,2060,18180,918,6850,1652,9420,194,2820,845,3861,16337,104206,13042,133583
