CED_CODE_2016,South_Africa_Before_1946,South_Africa_1946_1955,South_Africa_1956_1965,South_Africa_1966_1975,South_Africa_1976_1985,South_Africa_1986_1995,South_Africa_1996_2005,South_Africa_2006_2010,South_Africa_2011,South_Africa_2012,South_Africa_2013,South_Africa_2014,South_Africa_2015,South_Africa_2016,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1946,Sri_Lanka_1946_1955,Sri_Lanka_1956_1965,Sri_Lanka_1966_1975,Sri_Lanka_1976_1985,Sri_Lanka_1986_1995,Sri_Lanka_1996_2005,Sri_Lanka_2006_2010,Sri_Lanka_2011,Sri_Lanka_2012,Sri_Lanka_2013,Sri_Lanka_2014,Sri_Lanka_2015,Sri_Lanka_2016,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Thailand_Before_1946,Thailand_1946_1955,Thailand_1956_1965,Thailand_1966_1975,Thailand_1976_1985,Thailand_1986_1995,Thailand_1996_2005,Thailand_2006_2010,Thailand_2011,Thailand_2012,Thailand_2013,Thailand_2014,Thailand_2015,Thailand_2016,Thailand_Yr_arrival_ns,Thailand_Tot,FYROM_Before_1946,FYROM_1946_1955,FYROM_1956_1965,FYROM_1966_1975,FYROM_1976_1985,FYROM_1986_1995,FYROM_1996_2005,FYROM_2006_2010,FYROM_2011,FYROM_2012,FYROM_2013,FYROM_2014,FYROM_2015,FYROM_2016,FYROM_arrival_ns,FYROM_Tot,Turkey_Before_1946,Turkey_1946_1955,Turkey_1956_1965,Turkey_1966_1975,Turkey_1976_1985,Turkey_1986_1995,Turkey_1996_2005,Turkey_2006_2010,Turkey_2011,Turkey_2012,Turkey_2013,Turkey_2014,Turkey_2015,Turkey_2016,Turkey_Yr_arrival_ns,Turkey_Tot,United_Kingdom_Before_1946,United_Kingdom_1946_1955,United_Kingdom_1956_1965,United_Kingdom_1966_1975,United_Kingdom_1976_1985,United_Kingdom_1986_1995,United_Kingdom_1996_2005,United_Kingdom_2006_2010,United_Kingdom_2011,United_Kingdom_2012,United_Kingdom_2013,United_Kingdom_2014,United_Kingdom_2015,United_Kingdom_2016,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1946,USA_1946_1955,USA_1956_1965,USA_1966_1975,USA_1976_1985,USA_1986_1995,USA_1996_2005,USA_2006_2010,United_States_America_2011,United_States_America_2012,United_States_America_2013,United_States_America_2014,United_States_America_2015,United_States_America_2016,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1946,Vietnam_1946_1955,Vietnam_1956_1965,Vietnam_1966_1975,Vietnam_1976_1985,Vietnam_1986_1995,Vietnam_1996_2005,Vietnam_2006_2010,Vietnam_2011,Vietnam_2012,Vietnam_2013,Vietnam_2014,Vietnam_2015,Vietnam_2016,Vietnam_Yr_arrival_NS,Vietnam_Tot,Zimbabwe_Before_1946,Zimbabwe_1946_1955,Zimbabwe_1956_1965,Zimbabwe_1966_1975,Zimbabwe_1976_1985,Zimbabwe_1986_1995,Zimbabwe_1996_2005,Zimbabwe_2006_2010,Zimbabwe_2011,Zimbabwe_2012,Zimbabwe_2013,Zimbabwe_2014,Zimbabwe_2015,Zimbabwe_2016,Zimbabwe_Yr_arrival_NS,Zimbabwe_Tot,Born_elsewhere_Before_1946,Born_elsewhere_1946_1955,Born_elsewhere_1956_1965,Born_elsewhere_1966_1975,Born_elsewhere_1976_1985,Born_elsewhere_1986_1995,Born_elsewhere_1996_2005,Born_elsewhere_2006_2010,Born_elsewhere_2011,Born_elsewhere_2012,Born_elsewhere_2013,Born_elsewhere_2014,Born_elsewhere_2015,Born_elsewhere_2016,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1946,Tot_1946_1955,Tot_1956_1965,Tot_1966_1975,Tot_1976_1985,Tot_1986_1995,Tot_1996_2005,Tot_2006_2010,Tot_2011,Tot_2012,Tot_2013,Tot_2014,Tot_2015,Tot_2016,Tot_Yr_arrival_NS,Tot_Tot
CED211,0,3,20,33,137,107,217,154,20,25,21,10,17,12,14,798,0,12,50,139,74,211,225,239,25,45,35,49,52,34,22,1220,0,0,0,3,31,64,109,155,24,24,42,35,40,24,18,561,0,0,9,26,3,4,5,0,0,0,0,0,0,0,0,44,0,0,0,24,9,13,10,6,3,0,9,3,7,0,3,88,50,592,1149,1484,707,523,574,378,89,90,42,43,60,20,169,5971,0,11,15,42,49,77,119,67,18,33,12,32,17,9,8,506,0,0,0,14,597,344,129,100,30,21,13,15,20,16,20,1336,0,0,3,3,18,12,24,46,6,3,3,12,3,0,0,135,14,261,305,588,704,763,868,1115,247,334,346,292,334,197,160,6526,108,1892,3004,3786,3793,5391,7550,8098,1488,1748,1811,1758,1820,936,1195,44379
CED212,0,3,17,43,114,96,223,123,26,6,33,25,15,8,23,759,3,4,51,102,28,38,38,49,4,4,7,7,10,3,14,363,0,0,0,0,16,13,55,64,12,15,20,26,20,11,14,275,0,0,0,11,6,8,5,0,0,0,0,0,0,0,0,37,0,0,0,33,12,12,9,9,0,0,0,0,0,0,0,73,55,857,2135,3122,1592,1084,1325,1202,267,227,162,138,116,48,369,12688,0,9,16,61,52,74,140,61,14,20,15,12,15,3,14,519,0,0,0,5,26,14,24,23,5,3,9,3,5,8,6,132,0,0,4,4,14,15,43,47,0,6,3,0,0,0,5,142,14,182,311,651,448,574,773,503,86,79,96,75,72,49,123,4041,109,1967,3806,5290,3610,3336,4404,3566,764,676,718,650,571,309,985,30758
CED213,0,4,26,41,108,70,128,92,7,9,0,20,9,0,3,520,0,10,33,50,14,20,10,10,3,3,5,3,0,0,3,171,0,0,0,3,7,21,31,48,10,14,13,8,8,5,10,177,0,3,4,20,8,11,6,0,0,0,0,0,0,0,0,59,0,0,0,22,12,7,9,7,0,0,0,0,0,0,0,57,71,987,2108,3025,1306,806,991,992,159,123,100,67,58,32,422,11256,6,10,18,64,55,48,89,37,11,6,8,11,17,3,13,394,0,0,0,8,15,13,3,19,0,3,3,0,3,0,4,71,0,0,0,5,8,7,23,18,0,0,0,4,5,0,0,63,15,202,269,556,318,250,253,203,29,32,26,36,17,11,89,2309,139,2487,4165,5137,2858,2066,2397,2061,386,318,275,271,216,147,908,23813
CED214,0,3,12,24,56,60,92,95,18,21,14,20,15,4,18,458,0,4,6,28,25,74,66,132,48,223,111,48,52,43,30,892,0,0,0,4,33,70,102,145,23,20,26,33,35,10,29,529,0,5,84,850,156,166,57,27,3,3,3,7,3,0,34,1398,0,0,3,93,49,39,52,26,4,3,6,3,0,9,8,299,19,346,782,943,515,496,809,618,182,175,130,116,98,53,135,5419,0,3,3,37,51,77,110,105,41,32,26,40,28,26,24,601,0,4,3,16,2395,2790,1000,1009,171,281,357,268,252,129,352,9036,0,0,4,3,3,11,24,29,3,5,5,0,3,3,0,86,4,301,488,1220,964,1225,1765,1892,403,605,720,731,717,398,365,11799,65,2389,5065,6108,5998,7686,7549,8459,1814,2657,2903,2663,2558,1501,2007,59421
CED215,0,3,12,12,46,15,73,104,13,9,6,12,4,5,8,329,0,11,11,16,6,14,21,45,7,27,17,3,9,0,5,182,0,0,0,0,3,13,25,39,3,13,10,11,17,3,19,152,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,7,3,0,0,0,4,0,0,0,0,0,8,26,41,882,1378,1481,505,296,260,233,34,33,25,31,23,21,233,5463,0,5,6,57,29,14,39,46,6,6,5,17,21,7,9,265,0,0,0,5,16,27,42,31,0,9,7,8,4,3,79,237,0,0,0,0,3,5,18,16,4,3,3,7,0,0,0,61,7,147,209,314,172,115,233,272,34,43,35,68,58,32,136,1874,85,2253,2924,2655,1485,1080,1383,1629,249,316,298,333,353,169,999,16204
CED216,0,7,21,65,260,544,848,388,43,39,37,56,79,58,22,2464,0,10,49,145,87,106,44,35,12,10,8,10,10,4,18,553,0,0,0,9,16,21,49,52,13,22,25,10,12,13,9,251,0,3,3,19,14,12,11,0,0,0,0,3,0,0,3,68,0,4,6,57,27,23,16,13,3,0,0,0,3,0,0,162,60,552,954,1248,799,839,1493,1238,340,303,276,253,261,142,207,8955,0,8,23,83,80,123,246,212,61,55,51,71,75,56,36,1169,0,0,0,9,149,58,40,48,10,18,16,17,26,8,8,418,0,0,0,7,28,15,36,27,3,0,0,4,5,3,0,137,45,478,586,754,1128,2074,1349,869,229,216,221,250,239,109,177,8720,245,2163,3538,4201,4123,6004,7075,5947,1443,1467,1510,1731,1837,1049,1087,43431
CED217,0,0,3,8,35,48,157,126,30,12,11,7,5,5,7,463,0,3,8,38,54,318,412,481,75,71,41,53,38,31,27,1643,0,0,0,3,32,77,104,105,18,20,16,25,20,9,25,459,0,4,42,1015,270,382,309,89,9,9,30,15,21,0,69,2271,0,0,5,162,95,100,77,22,4,3,6,3,0,6,21,504,11,261,718,1154,442,305,263,351,52,39,40,46,30,15,138,3870,0,0,3,13,16,18,80,63,21,21,17,19,22,5,10,304,0,0,4,28,1780,2901,1241,960,178,157,183,224,169,92,408,8324,0,0,0,0,6,5,43,62,3,15,15,3,6,4,0,165,4,190,303,1692,1842,3291,3901,2336,404,372,395,384,331,196,474,16123,24,1647,3404,7190,6767,12061,13160,12239,1976,2020,2041,1948,1707,1105,2350,69640
CED218,3,7,28,61,200,266,343,154,35,25,28,30,35,16,26,1249,0,15,39,172,95,181,136,161,21,26,40,40,63,38,21,1051,0,0,0,6,26,43,122,126,25,34,27,44,45,30,28,558,0,0,5,12,4,11,11,0,3,3,4,0,0,0,0,56,0,0,3,41,24,25,14,21,5,4,7,3,6,7,0,173,54,346,613,896,556,557,725,625,226,199,246,245,307,164,186,5955,4,14,20,105,83,126,208,153,50,46,60,84,98,46,38,1126,0,0,6,21,357,156,71,124,24,31,48,39,54,34,32,998,0,3,0,6,18,7,40,30,8,3,3,3,0,0,4,137,45,378,400,625,711,1476,1122,1035,220,290,371,420,527,389,200,8206,241,1701,3285,3889,3690,5717,6681,7293,1815,2294,2551,3378,3851,2246,1482,50115
CED219,0,4,8,47,261,194,255,196,34,35,21,22,21,11,20,1124,0,9,38,318,355,1513,1686,2534,349,521,320,241,235,152,177,8455,0,0,0,0,51,126,133,110,22,20,14,12,23,9,16,537,0,0,13,113,75,110,56,39,0,0,8,0,3,0,14,427,0,0,3,244,123,139,91,38,3,3,0,6,8,0,23,685,10,321,997,1696,871,549,353,422,60,79,36,26,37,17,182,5659,0,7,5,29,19,35,88,60,7,22,11,13,7,3,15,322,0,0,0,12,291,430,257,246,30,36,40,18,22,27,41,1449,0,0,4,0,8,16,70,157,11,12,13,7,16,10,4,316,3,94,370,1860,2042,4719,6396,4689,875,861,1098,739,745,507,663,25665,37,1098,2894,6375,6328,12915,18208,19755,2939,3382,3348,2550,2313,1477,2309,85932
CED220,0,3,13,54,137,195,397,224,34,42,28,20,31,3,21,1200,0,10,71,379,230,442,241,302,54,83,60,66,94,41,51,2125,0,0,0,3,101,134,140,144,20,17,36,52,64,28,34,785,3,4,6,39,16,14,3,0,0,0,0,0,0,0,3,80,0,4,10,186,71,73,38,24,11,3,3,3,0,6,6,441,27,302,586,858,463,339,469,383,89,77,68,92,44,28,91,3922,0,3,5,33,37,47,67,82,18,24,28,23,9,7,10,396,4,0,3,20,2170,2630,1125,897,170,183,262,213,212,119,255,8261,0,0,0,0,12,3,26,47,6,7,4,0,15,4,0,131,14,191,388,1307,2070,3289,2662,1847,363,494,686,496,547,317,439,15114,95,1569,4128,6342,7283,10427,9838,9810,1767,2165,2624,2647,2725,1575,1970,64962
CED221,0,0,8,28,43,22,74,66,4,9,5,8,0,3,8,274,0,3,8,7,7,8,18,52,16,7,5,3,0,11,0,140,0,0,0,3,0,13,20,19,3,6,8,10,18,4,18,128,0,0,4,18,0,0,0,0,0,0,0,0,0,0,3,24,0,0,0,3,5,4,0,0,0,0,0,0,0,0,0,17,24,519,991,1138,434,283,311,201,38,21,20,35,33,11,177,4240,0,4,8,66,34,31,52,29,21,9,10,18,8,9,15,312,0,0,0,0,5,7,7,5,0,0,0,0,3,0,10,41,0,0,4,3,8,4,14,7,0,0,0,0,0,0,3,45,8,209,293,355,165,139,156,302,71,77,43,51,88,65,105,2138,79,1750,2423,2315,1272,983,1268,1372,264,291,204,237,295,193,620,13565
CED222,0,0,14,45,192,137,292,268,77,61,47,53,52,37,29,1298,0,5,41,302,204,557,446,399,64,109,79,69,64,29,56,2426,0,0,0,8,62,90,107,105,17,10,26,31,23,9,17,509,0,3,5,140,150,226,132,63,6,16,9,3,3,0,37,802,0,3,14,225,83,137,77,45,7,3,13,4,4,0,20,637,26,450,1087,1677,878,635,838,853,183,200,198,136,124,56,251,7595,0,3,5,35,37,73,106,68,26,19,17,19,21,19,21,460,0,0,0,12,964,1311,499,384,52,74,89,100,60,41,118,3705,0,0,0,3,21,8,45,57,8,4,0,10,9,8,0,165,3,118,299,1103,1453,2298,2584,1876,425,555,536,448,379,211,369,12649,56,1340,2939,5471,5808,8644,9126,8267,1540,1941,1923,1703,1582,950,1712,53005
CED223,0,0,15,34,61,71,179,137,18,17,14,16,19,11,12,592,3,9,25,62,72,169,114,95,18,27,19,15,26,18,10,684,0,0,0,6,22,39,62,58,8,16,7,12,12,8,8,259,0,13,55,156,31,54,23,4,0,0,0,0,3,0,9,356,0,3,5,36,9,15,6,12,3,0,0,0,0,4,0,94,38,383,839,1076,647,545,789,637,111,95,92,86,59,28,123,5557,0,3,16,67,62,72,124,99,22,28,30,30,36,7,16,615,0,0,0,6,172,107,81,91,19,30,30,47,51,31,19,674,0,0,7,0,15,15,27,17,4,7,0,3,0,0,0,94,12,242,307,594,345,721,878,606,161,148,148,186,164,86,123,4716,101,1960,3214,3664,2665,3828,4904,4208,930,934,922,960,970,582,821,30664
CED224,3,0,25,52,157,150,268,139,13,21,14,22,17,11,14,900,0,7,22,101,112,241,182,154,32,29,43,39,53,52,25,1091,0,0,0,10,23,36,99,90,14,29,18,31,37,17,23,428,0,14,28,34,0,20,11,9,0,0,0,0,0,0,3,132,0,0,3,44,18,23,16,8,0,4,6,11,4,5,7,149,71,380,633,847,467,555,753,550,154,107,98,93,125,58,142,5042,0,3,31,73,93,101,203,150,55,35,33,52,48,34,37,948,0,0,3,31,669,259,112,180,48,59,75,90,127,82,52,1783,0,0,0,0,14,13,39,22,5,0,5,3,5,3,0,116,35,337,290,463,433,812,738,644,141,195,233,317,337,251,225,5445,212,1914,3076,3513,4109,6419,7158,6578,1475,1771,2024,2412,2668,1594,1462,46384
CED225,0,6,17,66,215,130,377,293,25,33,32,24,15,11,27,1275,4,0,30,166,108,522,707,937,116,147,115,82,111,72,69,3189,0,0,0,3,15,31,51,38,6,12,9,8,3,4,6,193,0,0,3,28,13,5,4,3,0,0,4,0,0,3,5,81,0,0,0,49,22,33,0,9,0,0,0,0,5,0,3,127,23,526,1416,2312,1179,876,1006,913,154,120,122,104,71,35,247,9100,0,8,20,62,45,58,128,74,28,21,13,14,18,9,9,520,0,0,0,7,64,62,44,37,7,8,5,9,5,4,10,257,0,0,0,4,14,18,57,65,10,3,9,14,12,7,3,208,3,128,305,1046,835,1433,1518,951,155,150,138,155,140,77,177,7220,57,1536,3065,5093,3903,5272,7194,6802,1083,1066,1036,838,842,534,1074,39393
CED226,0,5,13,28,62,54,295,351,57,75,49,64,88,38,30,1209,0,5,8,32,32,291,471,707,102,106,116,86,76,39,26,2096,0,0,0,4,48,79,187,690,95,79,86,109,146,90,42,1656,0,3,26,295,97,118,98,42,8,7,6,5,3,3,30,738,0,0,3,46,29,30,31,16,11,3,3,3,0,0,10,181,11,318,1140,1584,626,497,657,937,200,270,172,123,112,44,172,6868,0,3,9,37,35,44,129,132,33,32,42,24,26,24,22,578,0,0,4,13,446,561,280,243,52,60,45,45,44,32,80,1907,0,0,4,5,5,14,64,110,10,15,17,14,19,15,0,296,10,108,273,1031,1198,2335,4377,4534,744,680,767,762,735,456,570,18583,44,1452,3387,5017,4599,8357,18953,26644,4307,4705,4660,4376,4337,2621,2901,96373
