CED_CODE_2016,MOL_SAL_Oth_SOLSE_NWorNAA,MOL_SAL_Oth_SOLSE_Tot,MOL_SAL_Oth_NS,MOL_SAL_Oth_Tot,MOL_SAL_Tot_SEO,MOL_SAL_Tot_SOLSE_VWorW,MOL_SAL_Tot_SOLSE_NWorNAA,MOL_SAL_Tot_SOLSE_Tot,MOL_SAL_Tot_NS,MOL_SAL_Tot_Tot,MOL_Spanish_SEO,MOL_Spanish_SOLSE_VWorW,MOL_Spanish_SOLSE_NWorNAA,MOL_Spanish_SOLSE_Tot,MOL_Spanish_NS,MOL_Spanish_Tot,MOL_Tamil_SEO,MOL_Tamil_SOLSE_VWorW,MOL_Tamil_SOLSE_NWorNAA,MOL_Tamil_SOLSE_Tot,MOL_Tamil_NS,MOL_Tamil_Tot,MOL_Thai_SEO,MOL_Thai_SOLSE_VWorW,MOL_Thai_SOLSE_NWorNAA,MOL_Thai_SOLSE_Tot,MOL_Thai_NS,MOL_Thai_Tot,MOL_Turkish_SEO,MOL_Turkish_SOLSE_VWorW,MOL_Turkish_SOLSE_NWorNAA,MOL_Turkish_SOLSE_Tot,MOL_Turkish_NS,MOL_Turkish_Tot,MOL_Vietnamese_SEO,MOL_Vietnamese_SOLSE_VWorW,MOL_Vietnamese_SOLSE_NWorNAA,MOL_Vietnamese_SOLSE_Tot,MOL_Vietnamese_NS,MOL_Vietnamese_Tot,MOL_Oth_SEO,MOL_Oth_SOLSE_VWorW,MOL_Oth_SOLSE_NWorNAA,MOL_Oth_SOLSE_Tot,MOL_Oth_NS,MOL_Oth_Tot,MOL_Tot_SEO,MOL_Tot_SOLSE_VWorW,MOL_Tot_SOLSE_NWorNAA,MOL_Tot_SOLSE_Tot,MOL_Tot_NS,MOL_Tot_Tot,M_LSatH_NS_SEO,M_LSatH_NS_SOLSE_VWorW,M_LSatH_NS_SOLSE_NWorNAA,M_LSatH_NS_SOLSE_Tot,M_LSatH_NS_NS,M_LSatH_NS_Tot,M_Tot_SEO,M_Tot_SOLSE_VWorW,M_Tot_SOLSE_NWorNAA,M_Tot_SOLSE_Tot,M_Tot_NS,M_Tot_Tot,FSEO_SEO,FSEO_SOLSE_VWorW,FSEO_SOLSE_NWorNAA,FSEO_SOLSE_Tot,FSEO_NS,FSEO_Tot,FOL_Afrikaans_SEO,FOL_Afrikaans_SOLSE_VWorW,FOL_Afrikaans_SOLSE_NWorNAA,FOL_Afrikaans_SOLSE_Tot,FOL_Afrikaans_NS,FOL_Afrikaans_Tot,FOL_Arabic_SEO,FOL_Arabic_SOLSE_VWorW,FOL_Arabic_SOLSE_NWorNAA,FOL_Arabic_SOLSE_Tot,FOL_Arabic_NS,FOL_Arabic_Tot,FOL_AIndLng_SEO,FOL_AIndLng_SOLSE_VWorW,FOL_AIndLng_SOLSE_NWorNAA,FOL_AIndLng_SOLSE_Tot,FOL_AIndLng_NS,FOL_AIndLng_Tot,FOL_CL_Cantones_SEO,FOL_CL_Cantones_SOLSE_VWorW,FOL_CL_Cantones_SOLSE_NWorNAA,FOL_CL_Cantones_SOLSE_Tot,FOL_CL_Cantones_NS,FOL_CL_Cantones_Tot,FOL_CL_Mandarin_SEO,FOL_CL_Mandarin_SOLSE_VWorW,FOL_CL_Mandarin_SOLSE_NWorNAA,FOL_CL_Mandarin_SOLSE_Tot,FOL_CL_Mandarin_NS,FOL_CL_Mandarin_Tot,FOL_CL_Oth_SEO,FOL_CL_Oth_SOLSE_VWorW,FOL_CL_Oth_SOLSE_NWorNAA,FOL_CL_Oth_SOLSE_Tot,FOL_CL_Oth_NS,FOL_CL_Oth_Tot,FOL_CL_Tot_SEO,FOL_CL_Tot_SOLSE_VWorW,FOL_CL_Tot_SOLSE_NWorNAA,FOL_CL_Tot_SOLSE_Tot,FOL_CL_Tot_NS,FOL_CL_Tot_Tot,FOL_Croatian_SEO,FOL_Croatian_SOLSE_VWorW,FOL_Croatian_SOLSE_NWorNAA,FOL_Croatian_SOLSE_Tot,FOL_Croatian_NS,FOL_Croatian_Tot,FOL_Dutch_SEO,FOL_Dutch_SOLSE_VWorW,FOL_Dutch_SOLSE_NWorNAA,FOL_Dutch_SOLSE_Tot,FOL_Dutch_NS,FOL_Dutch_Tot,FOL_French_SEO,FOL_French_SOLSE_VWorW,FOL_French_SOLSE_NWorNAA,FOL_French_SOLSE_Tot,FOL_French_NS,FOL_French_Tot,FOL_German_SEO,FOL_German_SOLSE_VWorW,FOL_German_SOLSE_NWorNAA,FOL_German_SOLSE_Tot,FOL_German_NS,FOL_German_Tot,FOL_Greek_SEO,FOL_Greek_SOLSE_VWorW,FOL_Greek_SOLSE_NWorNAA,FOL_Greek_SOLSE_Tot,FOL_Greek_NS,FOL_Greek_Tot,FOL_IAL_Bengali_SEO,FOL_IAL_Bengali_SOLSE_VWorW,FOL_IAL_Bengali_SOLSE_NWorNAA,FOL_IAL_Bengali_SOLSE_Tot,FOL_IAL_Bengali_NS,FOL_IAL_Bengali_Tot,FOL_IAL_Hindi_SEO,FOL_IAL_Hindi_SOLSE_VWorW,FOL_IAL_Hindi_SOLSE_NWorNAA,FOL_IAL_Hindi_SOLSE_Tot,FOL_IAL_Hindi_NS,FOL_IAL_Hindi_Tot,FOL_IAL_Punjabi_SEO,FOL_IAL_Punjabi_SOLSE_VWorW,FOL_IAL_Punjabi_SOLSE_NWorNAA,FOL_IAL_Punjabi_SOLSE_Tot,FOL_IAL_Punjabi_NS,FOL_IAL_Punjabi_Tot,FOL_IAL_Sinhalese_SEO,FOL_IAL_Sinhalese_SOLSE_VWorW,FOL_IAL_Sinhale_SOLSE_NWorNAA,FOL_IAL_Sinhalese_SOLSE_Tot,FOL_IAL_Sinhalese_NS,FOL_IAL_Sinhalese_Tot,FOL_IAL_Urdu_SEO,FOL_IAL_Urdu_SOLSE_VWorW,FOL_IAL_Urdu_SOLSE_NWorNAA,FOL_IAL_Urdu_SOLSE_Tot,FOL_IAL_Urdu_NS,FOL_IAL_Urdu_Tot,FOL_IAL_Oth_SEO,FOL_IAL_Oth_SOLSE_VWorW,FOL_IAL_Oth_SOLSE_NWorNAA,FOL_IAL_Oth_SOLSE_Tot,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_SOLSE_VWorW,FOL_IAL_Tot_SOLSE_NWorNAA,FOL_IAL_Tot_SOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_SOLSE_VWorW,FOL_Italian_SOLSE_NWorNAA,FOL_Italian_SOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japanese_SEO,FOL_Japanese_SOLSE_VWorW,FOL_Japanese_SOLSE_NWorNAA,FOL_Japanese_SOLSE_Tot,FOL_Japanese_NS,FOL_Japanese_Tot,FOL_Korean_SEO,FOL_Korean_SOLSE_VWorW,FOL_Korean_SOLSE_NWorNAA,FOL_Korean_SOLSE_Tot
CED211,0,46,0,52,..,482,26,514,4,515,..,301,26,327,3,325,..,187,3,191,0,191,..,117,18,130,0,130,..,46,3,49,0,49,..,444,126,567,6,575,..,1760,876,2641,62,2707,..,14795,3424,18217,165,18379,..,137,30,167,2620,2794,49591,14927,3454,18382,2784,70760,52744,..,..,..,..,52744,..,81,0,81,0,83,..,190,31,222,7,231,..,3,0,5,0,5,..,1861,601,2462,13,2473,..,3986,1543,5530,20,5553,..,235,82,314,0,319,..,6081,2222,8306,32,8338,..,101,17,119,0,116,..,176,4,182,0,182,..,185,7,193,3,192,..,329,14,341,3,338,..,813,123,935,12,947,..,77,5,85,0,85,..,608,47,653,3,656,..,431,53,491,6,494,..,368,18,386,8,387,..,127,4,134,0,134,..,378,49,420,0,420,..,1982,177,2158,12,2169,..,712,113,826,4,830,..,182,21,199,0,204,..,246,119,367
CED212,5,17,0,17,..,214,4,220,3,226,..,225,17,245,3,244,..,36,0,43,0,43,..,80,8,92,0,95,..,48,3,51,4,55,..,32,13,43,0,44,..,1122,200,1322,33,1359,..,5179,646,5823,80,5899,..,173,10,191,4008,4194,60572,5354,657,6010,4089,70672,64376,..,..,..,..,64376,..,92,3,90,0,93,..,141,31,172,4,172,..,7,0,7,0,7,..,165,44,215,0,218,..,437,152,590,6,599,..,40,9,40,0,40,..,641,209,849,8,859,..,126,20,145,3,144,..,199,10,208,0,211,..,214,4,214,3,223,..,362,15,376,3,381,..,485,87,574,6,579,..,4,0,4,0,4,..,88,9,98,0,100,..,46,11,57,0,57,..,53,4,64,0,64,..,23,0,20,0,23,..,38,3,42,0,42,..,257,22,281,0,287,..,447,41,485,12,499,..,100,9,108,0,106,..,36,6,39
CED213,0,6,0,7,..,125,4,125,0,126,..,131,10,144,0,141,..,3,0,3,0,3,..,32,12,39,0,39,..,29,0,30,0,30,..,22,4,30,0,30,..,456,104,566,15,574,..,3316,409,3722,66,3787,..,180,8,189,4548,4735,66535,3492,420,3911,4606,75055,69407,..,..,..,..,69407,..,56,0,60,0,60,..,66,3,69,0,73,..,5,0,5,0,5,..,56,14,66,0,64,..,137,32,167,0,167,..,11,0,18,0,18,..,203,45,254,0,250,..,100,12,110,3,111,..,179,5,180,4,186,..,154,3,157,3,157,..,288,8,302,3,308,..,440,92,530,6,537,..,3,0,3,0,3,..,30,0,34,0,34,..,25,10,33,0,33,..,16,0,16,0,12,..,4,0,4,0,4,..,17,4,22,0,22,..,97,11,105,0,107,..,645,87,735,10,750,..,52,4,60,0,60,..,9,0,7
CED214,7,71,0,71,..,845,51,892,6,893,..,655,95,753,8,755,..,388,136,531,10,540,..,104,26,132,0,132,..,330,48,378,0,386,..,4070,1507,5577,44,5624,..,3750,936,4685,97,4785,..,24535,5363,29902,340,30241,..,217,67,287,4980,5268,47204,24757,5436,30189,5319,82718,47398,..,..,..,..,47398,..,47,0,47,0,47,..,1500,279,1780,30,1807,..,3,0,3,0,3,..,868,453,1320,6,1331,..,1089,369,1457,11,1473,..,136,74,212,0,213,..,2092,898,2993,20,3015,..,568,142,706,6,713,..,97,3,95,0,95,..,209,19,230,0,229,..,325,21,346,0,348,..,1895,699,2595,19,2616,..,326,62,386,0,388,..,562,42,602,10,611,..,493,90,587,3,587,..,130,9,134,0,134,..,170,46,219,6,227,..,552,73,622,4,626,..,2229,325,2554,21,2576,..,1646,478,2125,22,2149,..,190,23,220,0,220,..,70,20,90
CED215,3,33,0,31,..,182,13,198,3,198,..,74,4,81,0,81,..,49,8,56,0,56,..,22,12,36,0,37,..,5,3,10,0,10,..,69,28,97,3,97,..,462,101,563,10,576,..,2862,401,3269,62,3325,..,191,10,197,6295,6489,60869,3053,413,3467,6349,70685,62829,..,..,..,..,62829,..,61,0,65,0,65,..,64,20,81,5,90,..,13,0,13,0,17,..,59,16,79,3,79,..,182,91,271,6,276,..,21,4,26,0,26,..,264,114,380,4,383,..,33,5,39,0,39,..,149,3,154,0,154,..,74,3,80,3,85,..,185,4,188,6,190,..,150,41,191,3,196,..,23,3,25,0,25,..,78,3,82,0,82,..,60,3,66,0,66,..,54,0,53,0,53,..,37,0,41,0,41,..,41,3,48,3,49,..,291,19,313,3,316,..,459,89,544,8,556,..,27,3,32,0,37,..,21,3,25
CED216,0,28,0,28,..,193,3,199,0,199,..,362,25,388,8,392,..,137,5,150,0,150,..,53,15,64,0,64,..,77,10,89,0,88,..,191,13,211,0,208,..,1815,169,1985,42,2031,..,11952,1532,13484,114,13599,..,134,18,148,3337,3485,53542,12087,1548,13634,3447,70625,57453,..,..,..,..,57453,..,128,7,132,0,132,..,209,13,220,0,220,..,0,0,0,0,0,..,429,101,534,3,536,..,1878,732,2607,16,2627,..,131,52,182,0,186,..,2443,884,3327,22,3347,..,142,14,149,0,155,..,150,0,152,3,155,..,542,25,565,0,564,..,553,13,565,3,565,..,1646,296,1944,23,1968,..,42,3,42,0,42,..,424,26,448,0,448,..,97,6,106,0,106,..,88,4,89,0,89,..,22,0,26,0,26,..,243,31,275,3,283,..,922,67,985,3,990,..,966,79,1045,13,1057,..,343,104,446,3,446,..,159,44,200
CED217,18,196,4,195,..,3181,99,3279,28,3308,..,1196,157,1349,19,1364,..,400,32,434,3,433,..,116,28,141,3,145,..,876,128,1004,13,1016,..,4165,1627,5791,68,5858,..,4982,1077,6063,115,6178,..,32745,5676,38413,429,38849,..,328,84,414,5933,6350,51013,33069,5762,38830,6367,96210,51384,..,..,..,..,51384,..,49,0,50,0,50,..,1609,299,1904,27,1929,..,6,0,6,0,6,..,733,348,1081,3,1081,..,824,358,1175,13,1194,..,493,243,735,5,749,..,2044,948,2998,29,3025,..,866,125,994,10,1008,..,46,3,46,0,51,..,129,12,138,0,139,..,159,4,161,0,168,..,1120,156,1278,15,1289,..,208,20,224,0,226,..,1238,94,1327,11,1338,..,1565,258,1822,15,1838,..,640,50,689,3,697,..,592,73,670,0,667,..,362,60,424,3,432,..,4609,549,5163,38,5197,..,1353,130,1483,23,1498,..,78,10,87,0,87,..,91,35,126
CED218,0,55,0,55,..,539,16,557,0,565,..,576,36,614,5,615,..,236,18,250,0,250,..,143,42,180,3,184,..,138,18,158,0,164,..,357,46,406,0,406,..,1703,213,1913,43,1958,..,15856,2267,18118,156,18276,..,154,10,166,4574,4744,50733,16008,2277,18292,4729,73754,54002,..,..,..,..,54002,..,67,0,68,0,68,..,221,29,258,3,262,..,0,0,0,0,0,..,1195,200,1394,6,1404,..,4134,967,5100,28,5129,..,275,76,349,0,347,..,5601,1246,6845,31,6874,..,109,12,122,0,121,..,102,7,109,0,108,..,579,24,605,9,610,..,343,6,343,3,349,..,2154,710,2859,21,2879,..,98,6,105,0,105,..,715,31,750,11,763,..,127,12,132,0,133,..,258,9,262,0,264,..,51,3,55,0,55,..,673,61,735,0,737,..,1922,116,2038,16,2058,..,806,80,889,12,900,..,351,60,403,0,406,..,264,80,341
CED219,12,225,0,226,..,1854,69,1929,24,1946,..,1037,154,1195,13,1208,..,1593,198,1783,8,1798,..,105,18,129,0,126,..,566,113,673,9,685,..,670,245,909,4,918,..,10739,2549,13284,235,13523,..,35781,5829,41609,521,42133,..,259,94,351,5024,5377,52421,36044,5921,41964,5543,99928,52294,..,..,..,..,52294,..,143,4,149,0,148,..,1390,266,1661,30,1687,..,3,0,3,0,3,..,499,201,698,3,698,..,1270,688,1958,18,1981,..,334,123,460,3,464,..,2101,1014,3121,22,3143,..,433,76,507,3,511,..,146,5,154,3,154,..,763,37,803,4,807,..,222,5,224,0,228,..,827,97,928,15,940,..,204,9,206,0,208,..,1736,136,1872,12,1887,..,2309,382,2693,25,2717,..,2886,280,3159,30,3191,..,582,110,688,5,697,..,776,106,883,4,894,..,8497,1011,9512,81,9593,..,744,104,849,20,871,..,52,9,68,3,67,..,85,34,117
CED220,26,137,4,143,..,778,70,853,12,860,..,428,70,502,8,507,..,416,22,436,7,446,..,111,60,176,0,176,..,273,68,335,0,339,..,3246,1474,4718,28,4741,..,4254,1381,5641,98,5735,..,26090,6740,32833,287,33123,..,174,57,232,3169,3401,37941,26268,6799,33067,3460,74463,38259,..,..,..,..,38259,..,74,0,74,0,74,..,543,173,716,4,724,..,0,0,0,0,0,..,1291,734,2023,14,2042,..,2728,1205,3925,16,3939,..,451,247,700,0,703,..,4462,2187,6657,30,6682,..,208,30,241,3,240,..,76,0,79,0,79,..,413,20,434,0,433,..,244,3,246,0,250,..,3790,1172,4959,32,4989,..,135,6,141,3,141,..,798,65,866,4,875,..,999,149,1149,9,1158,..,481,25,506,3,510,..,118,12,135,3,137,..,451,45,502,0,502,..,2991,312,3302,25,3326,..,1200,282,1484,26,1510,..,289,49,339,3,338,..,300,117,419
CED221,0,24,0,24,..,152,6,160,0,157,..,64,10,68,0,74,..,27,0,23,0,23,..,21,9,29,3,30,..,7,8,14,0,14,..,14,3,20,0,20,..,447,85,528,15,544,..,2639,334,2977,53,3037,..,154,6,162,5069,5230,60738,2795,344,3144,5123,69002,62702,..,..,..,..,62702,..,39,0,44,0,44,..,38,4,47,0,47,..,8,0,8,0,7,..,49,13,62,0,66,..,130,52,191,0,189,..,9,6,13,0,13,..,189,77,266,4,271,..,76,16,92,0,92,..,89,0,93,3,94,..,94,4,99,3,100,..,291,9,296,6,300,..,78,14,90,0,96,..,5,3,11,0,13,..,52,5,59,0,59,..,86,14,91,0,97,..,52,0,53,0,53,..,20,4,26,0,23,..,113,38,152,3,153,..,326,59,386,9,397,..,529,92,623,18,639,..,47,8,51,0,51,..,11,7,15
CED222,12,111,0,109,..,714,25,737,9,743,..,469,55,526,12,540,..,574,44,618,0,623,..,64,19,84,3,90,..,517,80,591,6,598,..,1702,590,2290,15,2310,..,4713,1420,6129,96,6228,..,18529,3810,22340,247,22588,..,219,67,283,3787,4073,51134,18748,3877,22621,4034,77790,52961,..,..,..,..,52961,..,144,0,144,0,146,..,472,63,535,9,543,..,0,0,0,0,0,..,664,283,946,3,947,..,1371,647,2019,13,2028,..,265,129,391,0,394,..,2301,1059,3356,19,3377,..,208,39,250,0,249,..,162,18,175,8,182,..,411,17,430,8,435,..,291,6,301,0,304,..,1249,191,1446,15,1454,..,125,10,139,0,139,..,662,64,717,5,729,..,566,89,662,14,672,..,565,38,603,8,608,..,146,12,159,0,163,..,261,23,290,0,290,..,2329,243,2570,26,2593,..,740,113,856,13,865,..,143,11,157,0,157,..,63,18,83
CED223,0,38,0,38,..,228,16,243,0,242,..,263,18,284,6,287,..,175,3,183,0,180,..,70,6,74,0,74,..,65,5,66,0,66,..,287,44,338,6,339,..,1477,251,1726,63,1781,..,10677,1443,12117,127,12237,..,182,24,206,2866,3073,53341,10856,1464,12320,2996,68661,55593,..,..,..,..,55593,..,89,0,88,0,92,..,439,101,542,3,546,..,6,0,6,0,6,..,543,123,666,3,673,..,1609,524,2136,5,2141,..,118,45,157,0,157,..,2265,696,2961,10,2970,..,242,33,271,3,274,..,116,3,116,0,118,..,251,6,263,0,260,..,300,11,306,0,308,..,1161,131,1284,17,1306,..,30,0,30,0,30,..,261,10,274,3,276,..,99,16,110,4,118,..,181,7,184,3,189,..,68,8,69,0,69,..,128,8,144,0,142,..,762,47,812,9,819,..,1678,207,1885,17,1902,..,233,20,254,3,254,..,99,31,135
CED224,0,53,0,53,..,436,22,464,0,464,..,366,37,401,4,400,..,286,10,289,0,295,..,108,23,128,0,128,..,87,4,95,0,93,..,779,93,875,3,875,..,1014,145,1154,43,1196,..,16465,2479,18946,155,19103,..,150,17,164,3269,3435,46888,16615,2497,19107,3429,69428,50231,..,..,..,..,50231,..,45,0,51,0,51,..,282,87,375,7,379,..,0,0,0,0,0,..,2059,448,2505,21,2527,..,5175,1858,7034,23,7060,..,356,121,481,0,481,..,7600,2430,10024,49,10073,..,99,11,105,0,107,..,62,0,64,0,64,..,476,10,482,0,482,..,305,3,309,3,311,..,1808,338,2147,18,2160,..,86,7,98,0,96,..,550,21,572,10,580,..,116,4,115,0,115,..,267,12,280,0,281,..,83,14,94,4,92,..,495,43,541,3,542,..,1603,97,1700,14,1716,..,1223,150,1368,13,1380,..,265,29,296,3,295,..,312,84,396
CED225,4,60,0,60,..,479,14,491,9,498,..,421,46,462,3,463,..,392,12,407,5,413,..,54,10,61,0,61,..,106,17,120,0,118,..,111,35,143,0,145,..,2397,441,2837,52,2891,..,11670,1441,13118,150,13265,..,164,21,194,3161,3348,61192,11839,1470,13303,3307,77806,61495,..,..,..,..,61495,..,173,0,173,0,173,..,469,69,535,5,545,..,3,0,3,0,3,..,234,59,295,3,299,..,1001,400,1398,4,1400,..,135,38,164,0,164,..,1366,499,1863,7,1871,..,174,25,197,5,197,..,234,7,237,3,237,..,366,18,378,0,379,..,410,6,422,16,441,..,360,27,386,5,391,..,123,3,130,0,127,..,492,31,521,0,519,..,399,62,461,3,462,..,1288,94,1384,13,1389,..,184,17,202,3,210,..,283,42,322,3,325,..,2766,246,3016,26,3036,..,545,66,615,11,625,..,82,10,95,0,95,..,110,75,183
CED226,9,368,3,372,..,3337,113,3448,33,3484,..,880,84,967,21,987,..,967,64,1027,12,1039,..,166,33,198,3,194,..,169,24,196,0,195,..,900,256,1159,8,1161,..,8023,1996,10016,198,10211,..,40735,5920,46651,529,47183,..,303,118,422,6870,7286,61851,41034,6037,47074,7395,116323,61479,..,..,..,..,61479,..,205,6,212,0,212,..,1946,328,2277,25,2300,..,3,0,3,0,3,..,940,298,1239,9,1246,..,2905,1265,4171,19,4193,..,193,83,273,5,279,..,4038,1643,5682,26,5714,..,334,50,381,6,383,..,68,4,74,3,78,..,306,23,326,5,335,..,194,4,202,0,204,..,677,94,774,10,789,..,1063,102,1162,3,1165,..,3726,247,3977,28,4001,..,3191,496,3687,32,3719,..,734,57,788,11,794,..,1548,221,1766,14,1785,..,2010,246,2257,22,2277,..,12268,1362,13629,106,13736,..,1385,234,1615,14,1635,..,198,31,231,0,231,..,314,131,450
CED227,39,100,0,103,..,244,61,297,0,301,..,33,4,37,0,37,..,38,27,65,0,73,..,40,19,53,0,54,..,172,66,237,3,245,..,116,96,215,5,216,..,967,392,1355,23,1381,..,3620,1062,4680,79,4753,..,188,21,211,5530,5741,58147,3805,1084,4891,5602,68643,59577,..,..,..,..,59577,..,52,0,52,0,52,..,62,10,73,0,73,..,10,0,10,0,10,..,85,34,116,0,120,..,208,150,366,0,366,..,10,8,15,0,16,..,309,187,495,4,498,..,41,6,46,0,46,..,62,0,62,0,66,..,46,4,54,0,54,..,91,0,99,0,99,..,179,39,215,5,218,..,35,0,35,0,35,..,48,3,52,0,56,..,162,32,194,3,197,..,47,8,52,0,58,..,15,0,16,0,18,..,54,3,57,0,57,..,360,47,410,7,415,..,672,117,792,20,805,..,33,13,42,0,42,..,41,9,48
CED228,7,74,0,76,..,925,44,975,3,977,..,812,159,965,9,974,..,318,100,425,4,427,..,87,20,105,9,116,..,367,49,412,4,415,..,6923,2862,9783,87,9872,..,3240,919,4162,80,4241,..,29618,7225,36845,449,37290,..,237,65,303,4640,4941,39657,29851,7293,37145,5088,81884,40198,..,..,..,..,40198,..,12,0,12,0,15,..,937,200,1135,18,1153,..,7,0,7,0,7,..,1374,760,2135,18,2147,..,1322,504,1827,19,1846,..,187,95,285,0,287,..,2890,1358,4247,36,4281,..,871,226,1092,14,1107,..,52,3,53,0,53,..,170,8,179,0,178,..,252,14,268,4,267,..,1863,488,2352,26,2376,..,110,15,129,0,127,..,698,45,740,4,744,..,981,123,1099,3,1103,..,198,9,206,4,215,..,245,48,291,0,289,..,476,56,529,0,530,..,2709,284,2992,14,3009,..,3631,843,4476,65,4547,..,149,20,170,3,170,..,127,42,173
CED229,3,103,0,108,..,775,31,809,7,815,..,331,30,359,9,369,..,347,20,371,3,376,..,87,22,109,0,109,..,934,197,1125,16,1142,..,138,45,186,4,186,..,3043,672,3712,84,3792,..,18157,2287,20445,259,20702,..,219,42,265,5583,5854,77634,18380,2328,20707,5842,104184,79192,..,..,..,..,79192,..,122,7,126,3,129,..,1208,248,1450,11,1463,..,8,0,8,0,8,..,155,46,203,0,203,..,474,150,623,0,628,..,56,24,82,0,85,..,686,217,909,3,908,..,264,22,284,5,289,..,87,0,89,0,87,..,161,3,165,5,167,..,243,9,252,3,252,..,838,64,907,10,917,..,85,14,92,0,98,..,1063,68,1125,5,1136,..,1663,267,1926,25,1951,..,952,93,1045,8,1053,..,405,66,476,5,474,..,397,50,446,6,450,..,4557,553,5109,47,5154,..,1744,144,1889,20,1912,..,84,10,88,0,88,..,60,18,80
CED230,3,26,0,26,..,254,13,262,7,266,..,185,25,212,5,210,..,75,4,81,0,80,..,36,8,43,0,43,..,39,0,39,0,39,..,65,28,94,0,97,..,1164,213,1383,24,1410,..,5146,667,5806,82,5893,..,209,23,235,5222,5455,70053,5353,693,6043,5306,81396,73732,..,..,..,..,73732,..,62,0,62,0,62,..,223,31,255,6,260,..,6,0,6,0,6,..,60,29,90,0,95,..,213,103,314,0,313,..,21,10,33,0,33,..,297,144,437,0,441,..,106,16,122,0,119,..,277,4,282,0,281,..,148,6,156,0,156,..,232,13,249,7,255,..,161,15,176,5,185,..,50,5,53,0,53,..,163,9,174,3,174,..,301,54,352,3,356,..,252,39,292,0,287,..,54,7,62,0,62,..,107,19,125,0,125,..,921,126,1055,8,1060,..,428,72,503,10,511,..,57,5,65,0,65,..,21,11,34
CED231,13,335,7,337,..,1812,63,1876,11,1892,..,1267,109,1378,16,1400,..,505,15,521,3,521,..,477,149,623,4,631,..,269,43,313,5,320,..,1882,658,2536,16,2559,..,3881,505,4385,103,4486,..,30961,5685,36643,328,36975,..,228,61,289,10351,10641,53513,31186,5746,36935,10686,101128,53334,..,..,..,..,53334,..,49,0,53,0,53,..,1016,290,1309,18,1323,..,10,0,10,0,10,..,2565,846,3411,29,3440,..,11913,2328,14243,82,14320,..,794,406,1206,11,1214,..,15277,3579,18859,121,18978,..,156,23,181,0,182,..,156,3,161,0,160,..,654,24,682,11,688,..,390,7,404,3,409,..,1096,414,1511,8,1515,..,149,9,163,0,163,..,874,36,914,5,916,..,86,4,92,0,92,..,211,7,214,0,214,..,123,3,128,0,128,..,349,15,365,3,370,..,1792,77,1869,11,1878,..,1365,278,1645,17,1659,..,518,170,680,3,687,..,906,414,1322
CED232,0,90,0,90,..,753,13,773,3,777,..,966,50,1015,0,1019,..,202,4,214,3,216,..,145,15,163,0,161,..,133,24,152,3,160,..,261,30,289,0,293,..,2948,286,3235,49,3281,..,16745,1952,18695,157,18850,..,177,24,203,7506,7702,51881,16920,1978,18889,7657,78431,53248,..,..,..,..,53248,..,64,0,64,3,63,..,269,42,312,9,324,..,8,0,8,0,8,..,878,127,1004,3,1003,..,3323,668,3995,26,4020,..,249,66,313,0,318,..,4444,864,5306,31,5343,..,123,18,135,0,137,..,163,0,166,0,163,..,803,19,826,11,833,..,496,13,509,14,526,..,1419,378,1802,5,1805,..,81,4,89,0,89,..,619,28,645,4,649,..,77,6,84,0,82,..,86,4,90,0,90,..,60,0,60,0,60,..,400,38,436,3,436,..,1319,81,1399,9,1406,..,931,71,1004,12,1015,..,361,90,454,7,460,..,301,114,417
CED233,4,84,0,84,..,357,22,372,3,376,..,205,15,219,3,222,..,169,3,172,0,178,..,41,5,48,0,47,..,95,12,108,0,108,..,290,56,347,0,347,..,921,168,1090,33,1123,..,20273,3895,24167,186,24358,..,122,29,152,2320,2470,39933,20393,3926,24318,2503,66759,40771,..,..,..,..,40771,..,168,0,168,4,175,..,852,90,944,6,947,..,0,0,0,0,0,..,3805,1182,4986,26,5012,..,4945,1979,6928,41,6964,..,397,110,504,4,512,..,9150,3276,12418,65,12491,..,179,21,201,3,202,..,92,0,91,3,90,..,127,3,130,0,130,..,246,3,255,3,256,..,3098,586,3688,34,3719,..,51,0,52,0,52,..,392,12,410,0,412,..,201,25,227,0,227,..,163,7,165,0,167,..,164,17,179,3,178,..,166,6,180,0,180,..,1133,76,1205,6,1213,..,2433,317,2756,36,2790,..,151,21,172,0,175,..,354,150,508
CED234,7,42,0,41,..,270,21,289,0,291,..,33,3,37,3,39,..,39,7,47,0,47,..,46,5,48,0,54,..,190,75,264,3,266,..,26,11,33,0,33,..,1092,435,1527,42,1564,..,4916,1102,6017,106,6118,..,203,31,228,5786,6014,60007,5118,1127,6247,5887,72140,61216,..,..,..,..,61216,..,36,0,32,0,32,..,482,207,683,12,692,..,27,0,27,0,27,..,71,31,102,0,105,..,211,153,361,4,363,..,10,6,19,0,19,..,283,195,475,9,487,..,15,0,19,3,24,..,66,0,71,4,74,..,52,3,55,4,58,..,112,5,116,0,116,..,130,25,151,3,159,..,19,0,24,0,24,..,76,6,81,0,85,..,377,84,465,11,469,..,68,8,73,0,75,..,58,5,66,0,66,..,83,11,97,0,92,..,683,117,802,14,809,..,768,170,938,7,949,..,22,3,26,0,29,..,28,10,37
