UCL_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
UCL215079,69,30,147,590,838,413,356,693,388,3277
UCL215080,37,25,81,283,378,194,184,388,245,1672
UCL215081,50,8,72,207,240,122,107,264,113,1052
UCL215082,8,6,21,176,205,95,86,145,100,811
UCL215083,58,30,113,523,729,338,307,564,296,2757
UCL215084,6,0,9,311,349,171,134,227,110,1298
UCL215085,31,3,43,297,410,245,169,279,214,1626
UCL215086,68,29,138,345,446,249,220,446,238,1943
UCL215087,98,19,142,682,743,370,297,735,319,3154
UCL215088,55,15,83,242,298,146,162,345,149,1337
UCL215089,3,0,7,340,353,193,125,249,63,1324
UCL215090,13,49,93,572,892,446,301,462,341,3005
UCL215091,9,7,40,731,858,396,345,643,213,3183
UCL215092,12,13,25,156,210,107,108,212,126,928
UCL215093,10,0,17,421,505,223,152,296,176,1767
UCL215094,55,12,99,475,631,318,278,476,225,2398
UCL215095,0,4,15,200,252,111,122,137,93,921
UCL215096,41,36,109,256,312,184,163,334,212,1462
UCL215097,23,12,50,148,229,140,98,245,119,980
UCL221001,0,3,5,143,155,69,50,86,55,562
UCL221002,4,9,13,125,177,101,89,128,79,697
UCL221003,18,4,28,112,192,112,110,204,80,804
UCL221004,0,0,9,93,119,58,41,64,39,415
UCL221005,3,0,9,154,138,76,76,97,37,581
UCL221006,13,12,32,100,129,80,61,116,75,558
UCL221007,0,0,3,80,133,76,56,51,31,424
UCL221008,0,3,5,89,137,69,61,57,54,457
UCL221009,32,22,70,116,137,81,97,134,80,642
UCL221010,0,0,3,91,133,68,72,63,33,461
UCL221011,0,7,10,76,119,62,48,80,55,447
UCL221012,3,0,10,87,132,73,54,47,41,430
UCL221013,5,0,9,72,102,55,45,65,34,383
UCL221014,0,3,6,100,166,56,51,62,52,487
UCL221015,4,6,18,151,192,104,79,109,80,724
UCL221016,0,0,10,87,121,55,59,54,27,404
UCL221017,6,3,19,130,181,113,78,128,50,678
UCL221018,21,26,65,132,217,136,104,170,90,844
UCL221019,8,9,40,182,299,193,166,230,147,1220
UCL221020,38,19,75,101,169,76,89,222,85,751
UCL221021,3,5,13,104,157,98,76,112,64,606
UCL221022,7,10,22,114,167,102,71,159,79,698
UCL221023,8,3,19,67,107,51,55,65,70,412
UCL221024,8,6,25,77,132,84,78,150,76,602
UCL221025,5,10,22,148,193,124,74,122,66,737
UCL221026,5,4,10,154,186,93,120,141,73,771
UCL221027,21,24,51,96,132,93,68,129,95,610
UCL221028,22,9,51,103,127,73,60,195,114,667
UCL221029,5,5,18,91,134,78,64,120,74,571
UCL221030,7,4,17,103,155,113,57,76,51,548
UCL221031,0,0,0,106,154,75,60,91,25,507
UCL221032,3,3,11,144,190,90,85,219,91,819
UCL221033,0,0,4,86,145,72,59,84,33,485
UCL221034,3,0,7,82,146,56,49,70,38,442
UCL221035,7,29,50,73,113,54,51,99,93,483
UCL221036,3,0,8,121,172,76,70,125,22,579
UCL221037,35,3,49,75,131,67,74,181,97,628
UCL221038,0,0,4,135,174,87,73,54,44,566
UCL221039,24,4,36,124,151,67,61,100,31,537
UCL221040,4,0,4,183,267,134,93,154,99,932
UCL221041,0,0,3,125,177,84,93,98,57,632
UCL221042,3,10,18,98,154,88,63,129,115,646
UCL221043,0,0,10,84,128,75,68,85,53,489
UCL221044,0,0,4,74,132,49,74,97,38,445
UCL221045,12,10,29,74,153,116,111,202,94,745
UCL221046,12,10,39,135,252,145,117,159,85,892
UCL221047,0,3,3,125,164,79,51,78,58,546
UCL221048,0,3,3,139,191,75,82,100,55,643
UCL221049,0,3,10,125,125,64,48,78,30,462
UCL221050,8,6,20,191,296,174,123,158,118,1063
UCL221051,0,0,0,126,125,94,56,70,23,492
UCL221052,25,10,48,70,144,68,68,174,87,615
UCL221053,7,11,28,111,152,88,62,140,73,629
UCL221054,3,0,9,116,123,43,43,86,25,441
UCL221055,13,8,31,151,168,112,86,105,67,682
UCL221056,3,0,3,81,145,85,76,108,50,543
UCL221057,0,3,5,79,152,86,43,62,46,478
UCL221058,0,0,0,101,168,68,76,74,47,538
UCL221059,5,4,13,102,161,79,44,79,49,520
UCL221060,7,6,21,67,123,89,80,100,61,518
UCL221061,0,0,5,135,146,61,49,189,153,736
UCL221062,30,3,41,135,168,101,104,226,104,840
UCL221063,18,8,33,69,100,52,43,137,83,486
UCL221064,0,0,5,106,137,78,57,77,34,503
UCL221065,4,0,4,79,119,77,49,89,41,441
UCL221066,0,0,6,77,109,39,47,106,26,411
UCL221067,3,0,11,115,186,88,67,90,54,595
UCL221068,34,0,51,129,209,123,92,154,54,760
UCL221069,3,0,12,240,352,178,217,220,81,1291
UCL221070,11,7,36,100,172,99,82,128,69,661
UCL221071,0,0,0,87,116,68,43,36,33,381
UCL221072,9,20,35,87,179,104,66,96,126,662
UCL221073,6,4,16,87,184,98,56,112,36,565
UCL221074,3,8,15,106,151,109,78,112,289,844
UCL221075,34,4,52,86,130,78,78,165,62,593
UCL221076,0,0,3,90,114,48,39,97,53,444
UCL221077,9,3,19,61,135,57,69,142,109,574
UCL221078,3,0,8,96,132,69,58,125,70,544
UCL221079,0,0,0,134,202,114,104,137,70,757
UCL221080,29,9,52,84,116,71,63,110,63,514
UCL221081,52,3,57,141,249,115,73,181,58,812
UCL221082,3,0,16,99,129,59,57,99,44,481
UCL222001,0,3,6,59,76,37,28,24,17,236
UCL222002,0,0,0,82,95,49,45,25,14,309
UCL222003,0,0,0,47,55,28,32,28,6,192
UCL222004,0,0,0,0,6,0,0,7,8,23
UCL222005,0,0,3,45,38,16,17,39,33,188
UCL222006,0,0,3,54,95,52,37,51,32,321
UCL222007,0,0,3,38,42,22,27,32,13,173
UCL222008,0,0,0,37,76,32,24,39,33,237
UCL222009,3,3,9,47,56,45,33,51,45,282
UCL222010,0,0,0,70,73,35,18,57,50,301
UCL222011,0,0,0,57,76,40,33,53,19,272
UCL222012,3,3,12,69,72,41,28,46,25,279
UCL222013,0,0,0,33,57,36,25,33,20,206
UCL222014,3,0,3,79,116,42,37,32,17,327
UCL222015,0,0,3,84,106,50,29,77,33,377
UCL222016,0,0,0,65,92,40,31,63,21,307
UCL222017,0,0,0,95,82,44,40,85,25,370
UCL222018,0,0,0,69,70,46,39,59,33,312
UCL222019,0,0,3,36,52,28,29,32,46,221
UCL222020,3,0,14,46,53,14,23,39,35,203
