UCL_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
UCL214020,14,14,3,0,4,0,0,29,4,0,7,3,11,0,0,21,9,5,7,6,3,3,0,31,280,305,174,101,108,27,0,993,0,5,0,0,0,0,0,8,306,326,186,108,122,23,3,1086,0,3,3,3,0,0,0,11,7,7,0,0,0,0,0,15,3,3,0,0,3,0,0,10,79,95,43,39,33,9,0,298,0,4,0,0,3,0,0,8,88,110,50,46,37,10,0,343,398,436,241,153,157,39,5,1428
UCL215001,3,4,0,3,0,0,0,10,3,3,7,0,0,0,0,12,0,0,0,0,3,0,0,15,10,23,24,23,21,5,4,106,0,0,0,0,0,0,0,0,24,31,29,29,21,11,4,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,4,8,0,3,9,3,3,33,0,0,0,0,0,0,0,0,4,12,4,3,10,3,3,41,31,35,34,30,35,13,4,185
UCL215002,3,4,3,0,0,0,0,8,10,7,4,0,0,0,0,20,0,0,0,0,0,0,0,10,88,88,47,33,28,14,0,291,0,0,0,0,0,0,0,3,99,101,52,35,32,14,0,334,0,0,0,0,0,0,0,0,0,4,0,3,4,0,0,11,0,0,0,0,0,0,0,3,7,14,5,8,11,3,0,53,0,0,0,0,0,0,0,0,10,19,5,9,14,3,0,68,109,123,61,46,47,15,0,402
UCL215003,3,3,0,0,3,0,0,10,6,5,0,0,3,0,0,21,10,3,0,0,3,0,0,22,80,91,58,34,46,16,11,333,0,0,0,0,0,0,0,0,99,106,65,45,57,16,11,390,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,3,6,8,13,3,4,6,4,3,36,4,0,0,0,0,0,0,7,4,18,4,6,7,7,4,55,107,124,69,54,61,20,12,444
UCL215004,8,10,3,0,3,0,0,20,4,4,0,0,0,0,0,14,9,6,0,3,0,0,0,22,24,34,14,8,12,6,0,96,0,0,0,0,0,0,0,4,47,51,28,12,12,9,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,5,14,6,0,9,0,0,32,0,0,0,0,0,0,0,0,13,14,10,0,10,0,0,39,54,62,40,14,24,9,0,205
UCL215005,3,0,3,0,0,3,0,7,7,12,3,3,7,3,0,37,3,8,4,3,0,0,0,27,99,90,48,23,38,14,0,318,3,0,0,0,0,0,0,4,122,113,59,28,46,18,3,394,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,6,4,0,0,0,0,0,0,6,20,17,24,13,15,3,0,91,0,0,0,0,0,0,0,3,22,23,23,15,21,3,0,108,145,130,84,42,68,26,3,498
UCL215006,0,3,7,0,4,3,0,18,13,14,5,3,4,0,0,33,11,9,3,6,3,3,0,29,85,98,55,26,39,19,7,328,0,0,0,0,0,0,0,0,111,120,71,34,56,26,4,415,0,3,7,3,0,0,3,13,0,0,0,0,3,0,0,9,3,0,3,3,0,0,0,6,3,9,9,7,6,4,0,50,0,3,0,0,0,0,0,0,12,15,16,14,12,6,3,83,120,138,86,50,63,34,8,500
UCL215007,12,12,3,0,6,3,0,38,17,13,8,7,6,0,0,48,15,19,22,5,10,0,0,67,362,335,197,115,115,41,13,1168,3,0,3,0,3,0,0,7,403,369,228,131,142,43,10,1330,0,0,0,0,3,0,0,4,3,3,3,0,0,0,0,10,0,0,3,0,0,0,0,4,23,44,38,17,35,6,0,155,0,0,0,0,0,0,0,3,26,48,44,18,36,7,4,180,427,418,269,149,184,50,16,1506
UCL215008,0,3,0,0,0,0,0,5,9,6,0,3,0,0,0,21,6,7,4,0,0,0,0,17,118,142,68,41,44,18,4,440,0,3,0,0,0,0,0,3,129,164,82,50,46,20,4,489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,6,22,16,11,6,0,0,61,0,0,0,0,0,0,0,0,4,26,15,12,4,3,0,71,133,189,96,65,54,22,4,561
UCL215009,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,37,23,16,9,13,7,0,100,0,0,0,0,0,0,0,0,39,22,16,9,13,7,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,3,0,9,0,0,37,0,0,0,0,0,0,0,0,11,11,3,0,9,0,0,39,48,35,21,8,18,7,0,142
UCL215010,3,8,3,5,10,0,0,32,8,20,11,4,5,3,0,55,10,13,9,10,12,4,0,56,90,106,92,47,57,19,24,437,0,0,0,0,0,0,0,0,114,143,121,68,82,29,25,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,5,11,0,10,9,3,0,36,0,0,0,0,0,0,0,3,4,11,3,9,11,3,0,42,120,153,128,74,96,31,28,624
UCL215011,4,3,0,0,0,0,0,5,0,3,0,3,0,0,0,13,0,3,3,4,0,0,0,9,35,29,14,10,17,5,0,105,0,0,0,0,0,0,0,0,42,32,17,15,18,5,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,11,3,3,3,0,38,0,0,0,0,0,0,0,3,4,16,11,5,3,3,0,44,49,47,29,21,22,9,0,167
UCL215012,8,8,8,4,0,0,0,24,11,4,3,3,3,0,0,29,17,15,0,0,3,0,0,37,73,98,54,42,33,3,0,309,0,0,0,0,0,0,0,0,105,134,68,44,40,7,4,400,0,0,0,0,4,0,0,4,3,0,0,3,0,0,0,9,0,0,0,0,3,0,0,9,20,24,15,15,16,4,0,90,3,0,3,0,0,0,0,8,32,27,19,15,23,5,0,120,130,159,87,67,66,16,3,523
UCL215013,29,29,14,11,8,11,4,98,7,9,7,0,0,0,0,24,23,17,3,3,0,3,0,47,130,97,46,27,18,9,0,332,0,0,0,0,0,0,0,3,187,153,72,46,31,17,4,508,3,3,0,0,0,0,0,8,0,0,3,0,0,0,0,5,0,3,0,0,3,0,0,5,26,10,6,3,11,0,3,57,0,0,0,0,0,0,0,0,28,16,12,3,14,0,5,84,216,169,82,48,43,25,9,589
UCL215014,0,5,0,0,3,0,0,7,3,3,0,0,4,0,0,16,7,4,3,4,0,0,0,22,61,44,30,23,20,9,0,188,0,0,0,0,0,0,0,3,74,53,34,30,32,11,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,9,8,3,8,0,0,26,0,0,0,0,0,0,0,0,7,8,3,3,9,3,0,36,79,66,39,32,34,14,0,268
UCL215015,17,11,4,0,3,0,0,38,3,8,6,5,8,0,0,33,7,9,6,7,4,0,0,36,59,65,29,12,23,0,0,198,0,0,0,0,0,0,0,0,91,99,43,27,38,3,0,302,0,5,0,0,0,0,0,7,6,6,4,3,5,0,0,15,0,0,8,0,0,0,0,8,7,20,8,14,9,3,0,58,0,0,0,0,0,0,0,0,6,26,21,12,14,3,0,88,100,122,65,40,52,4,0,393
UCL215016,0,4,3,4,7,3,0,22,5,14,3,5,3,3,0,37,12,10,3,3,0,4,0,34,174,156,75,76,70,22,3,577,0,0,3,0,3,0,0,5,199,188,88,85,82,34,4,669,0,0,0,0,3,0,0,3,3,3,0,3,4,0,0,10,0,0,0,0,0,0,0,3,47,57,26,19,37,3,3,190,4,0,0,0,3,0,0,8,48,60,28,26,41,3,3,219,247,246,115,104,120,35,6,888
UCL215017,0,0,0,0,0,0,0,3,4,12,4,5,3,0,0,32,3,3,3,0,3,0,0,10,88,107,65,36,61,19,13,382,0,0,3,0,0,0,0,8,93,126,77,45,68,23,14,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,12,10,10,3,0,66,0,0,0,0,0,0,0,6,9,12,12,11,11,4,3,67,102,141,88,50,77,24,14,504
UCL215018,3,4,0,0,0,0,0,5,6,4,3,0,0,0,0,17,5,3,3,3,3,0,0,16,93,109,65,39,34,11,3,355,0,0,0,0,0,0,0,0,110,119,69,43,40,11,3,392,0,0,0,0,0,0,0,4,3,3,0,0,0,0,0,8,0,4,0,0,0,0,0,3,22,36,16,19,21,9,3,123,0,4,0,3,0,0,0,4,27,46,23,17,17,9,3,146,136,164,86,64,56,25,3,542
UCL215019,7,6,0,0,0,0,0,15,6,4,4,3,3,0,0,30,4,6,3,5,0,0,0,21,92,66,36,30,24,3,0,243,0,0,0,0,0,0,0,0,111,85,44,36,30,6,0,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,3,0,0,9,8,7,15,14,17,0,0,62,0,0,0,0,0,0,0,0,9,19,16,20,20,3,0,84,122,105,61,56,47,9,0,395
UCL215020,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,34,44,24,20,19,7,0,140,0,0,0,0,0,0,0,0,40,46,25,20,17,7,0,149,0,0,3,0,0,0,0,8,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,7,11,10,4,4,0,0,46,0,0,0,0,0,0,0,0,15,10,12,10,4,3,0,60,53,59,40,28,27,4,0,208
UCL215021,0,0,0,3,0,0,0,10,3,4,0,0,0,0,0,12,0,4,0,3,3,0,0,16,40,59,38,20,20,3,0,170,0,0,0,0,0,0,0,0,48,69,40,29,19,9,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,11,3,5,8,0,0,36,0,3,0,0,0,0,0,5,9,11,3,3,13,0,0,49,59,80,44,30,34,10,0,254
UCL215022,20,15,3,3,3,0,0,42,13,16,3,0,5,0,0,40,10,17,3,0,5,0,0,39,153,116,65,30,56,26,4,449,3,5,3,4,0,0,0,9,191,162,82,41,75,28,9,582,0,4,0,0,7,3,0,11,3,3,0,3,9,0,0,23,4,0,0,0,3,0,3,11,71,87,47,24,44,17,3,290,0,4,0,0,3,0,0,4,83,94,50,33,56,17,4,340,281,251,127,74,134,46,15,920
UCL215023,0,3,0,0,0,0,0,5,3,0,0,0,3,0,0,6,3,0,3,0,0,0,0,3,58,62,39,20,48,4,0,229,0,0,0,0,0,0,0,0,64,62,40,22,49,4,0,253,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,15,12,5,4,0,0,47,0,0,0,0,0,0,0,0,12,15,12,9,4,0,0,53,77,84,49,31,57,8,0,305
UCL215024,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,3,56,68,31,21,24,5,0,204,0,0,0,0,0,0,0,3,66,72,34,19,25,11,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,10,4,7,0,0,60,0,0,0,0,0,0,0,3,18,23,9,5,13,0,0,70,80,89,40,26,36,8,0,292
UCL215025,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,36,37,25,17,17,0,0,133,0,0,0,0,0,0,0,0,32,42,27,20,21,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,9,12,6,0,9,0,0,39,0,0,0,0,0,0,0,0,12,12,6,3,12,0,0,44,45,58,35,23,28,0,0,188
UCL215026,13,7,3,3,7,3,0,40,8,16,5,3,7,0,0,40,11,12,9,3,3,0,0,37,101,122,73,40,62,14,8,416,0,0,0,0,0,0,0,3,137,157,91,51,72,19,8,536,0,3,0,0,4,0,0,11,11,5,3,5,0,3,0,32,3,5,6,3,6,0,0,21,17,58,41,21,29,5,0,175,3,0,3,0,0,0,0,10,38,71,55,35,40,8,0,237,174,225,146,79,113,28,4,773
UCL215027,0,7,6,0,0,0,0,12,4,4,7,3,0,0,0,18,5,3,0,0,0,0,0,11,105,93,51,30,31,6,0,312,0,0,0,0,0,0,0,3,110,109,63,34,36,6,3,358,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,7,0,0,0,0,0,0,0,0,23,30,18,12,13,0,3,106,0,0,0,0,0,0,0,3,25,30,19,15,18,0,3,116,137,142,84,54,48,7,8,476
UCL215028,17,10,4,3,3,0,0,32,13,9,0,6,5,0,0,35,8,19,6,4,0,0,0,34,72,86,51,34,31,6,0,284,0,0,0,0,0,0,0,0,110,120,59,46,38,8,0,382,0,0,0,0,3,0,0,4,3,15,3,7,4,0,0,33,3,3,0,0,3,0,0,8,22,25,22,7,20,0,0,103,0,0,0,0,0,0,0,0,28,41,31,15,27,0,3,151,138,162,95,62,66,9,3,539
UCL215029,14,15,3,4,6,6,0,57,9,12,5,7,3,3,0,40,9,5,4,0,7,4,0,38,87,49,22,22,22,12,5,218,0,0,0,0,0,0,0,0,122,85,37,37,41,18,11,349,0,0,3,0,0,3,0,9,3,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,23,19,17,8,11,0,4,87,0,0,0,0,0,0,0,0,30,27,23,7,11,3,4,104,149,112,60,47,54,25,9,457
UCL215030,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,7,0,3,0,0,12,31,36,32,15,29,6,3,151,0,0,0,0,0,0,0,3,29,39,41,12,31,4,3,173,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,3,11,14,10,11,0,0,51,3,3,3,0,0,0,0,8,13,13,15,13,13,0,3,69,43,50,53,26,46,7,4,243
UCL215031,0,7,3,0,3,0,0,12,0,0,3,3,0,0,0,4,0,0,0,0,0,0,0,3,39,51,23,15,30,3,0,166,0,0,0,0,0,0,0,0,40,59,29,20,35,3,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,8,0,12,0,0,50,0,0,0,0,0,0,0,0,12,20,13,0,8,0,0,50,50,77,42,20,48,5,0,243
UCL215032,7,5,3,0,0,0,0,11,4,3,0,0,0,0,0,11,7,5,0,0,0,0,0,15,62,97,63,34,43,5,0,309,0,0,0,0,0,0,0,0,80,114,66,39,46,11,0,348,4,0,0,0,3,0,0,11,0,7,4,0,0,0,0,11,0,0,0,0,0,0,0,0,26,30,33,11,22,0,3,123,0,0,0,0,3,0,0,4,33,36,37,16,29,0,3,147,115,146,99,51,71,11,3,496
UCL215033,15,25,17,9,12,3,3,87,27,19,6,6,3,3,3,66,28,20,7,3,3,0,0,60,220,193,78,39,36,8,5,578,3,0,0,0,0,0,0,3,300,265,108,53,56,15,8,794,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,13,15,4,3,8,3,0,41,0,0,0,0,0,0,0,0,16,17,4,3,12,3,0,48,311,275,109,57,65,20,14,845
UCL215034,0,3,0,0,0,0,0,4,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,3,27,26,15,11,22,4,0,104,0,0,0,0,0,0,0,0,33,32,17,11,21,4,0,122,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,3,3,4,5,4,10,3,0,25,0,0,0,0,0,0,0,0,3,5,9,5,11,4,0,39,38,36,25,20,29,3,0,158
UCL215035,3,3,0,3,0,7,0,17,7,4,4,0,0,0,0,18,3,3,0,0,4,0,0,9,75,75,46,20,33,11,7,265,0,0,0,0,0,0,0,0,84,86,51,29,41,21,5,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,4,0,0,0,7,9,10,8,6,11,0,0,43,4,0,0,0,0,0,0,4,5,9,9,11,11,0,0,52,93,99,55,36,49,19,5,360
UCL215036,3,0,0,0,3,0,0,13,7,4,9,6,4,5,0,29,3,5,0,0,4,0,0,12,72,58,41,26,29,6,0,225,0,0,0,0,0,0,0,0,83,70,45,32,42,14,0,284,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,6,3,3,3,0,0,0,0,5,4,16,5,13,9,0,0,41,0,0,0,0,0,0,0,0,8,22,10,17,12,0,0,66,91,89,51,47,50,15,3,350
UCL215037,3,4,0,0,0,0,0,10,8,0,0,0,0,0,0,5,4,0,0,0,0,0,0,4,25,35,21,6,16,3,0,114,0,0,0,0,0,0,0,0,39,37,23,8,13,5,0,131,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,11,23,15,3,9,3,0,66,0,0,0,0,0,0,0,3,21,28,16,5,7,3,0,77,56,69,38,16,22,6,0,213
UCL215038,0,0,0,0,0,0,0,9,3,6,3,0,0,0,0,7,5,0,0,0,0,0,0,6,47,77,38,14,20,11,4,214,3,0,0,0,0,0,0,9,63,80,43,19,27,11,4,242,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,16,15,10,6,7,3,0,60,3,0,3,0,0,0,0,14,24,15,20,6,15,3,0,80,83,101,59,29,40,10,4,324
UCL215039,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,3,0,0,0,0,0,0,3,42,42,19,16,18,0,0,132,0,0,0,0,0,0,0,0,46,44,21,17,18,3,0,148,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,3,14,12,7,12,6,0,0,56,0,0,0,0,0,0,0,3,17,19,13,16,10,0,0,66,66,57,31,28,26,3,0,210
UCL215040,11,3,7,4,0,0,0,28,0,0,3,0,0,0,0,3,9,7,3,0,0,0,0,19,114,145,67,55,90,8,3,482,0,0,0,0,0,0,0,3,134,159,71,62,97,8,3,528,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,9,0,5,3,5,0,0,0,10,25,32,19,14,20,0,0,108,0,3,0,0,0,0,0,5,29,39,23,19,24,3,0,133,162,203,91,74,121,13,3,666
UCL215041,3,9,3,5,3,0,0,25,3,5,4,3,3,0,0,17,12,5,3,4,3,0,0,31,141,91,56,44,64,6,0,401,0,4,0,0,0,0,0,4,160,117,63,54,75,10,0,475,0,3,0,0,0,0,0,6,0,8,7,0,3,0,0,14,3,3,0,0,0,0,0,11,19,28,13,9,3,4,4,74,3,0,0,0,0,0,0,3,21,37,23,8,5,4,4,102,179,153,84,64,76,15,7,584
UCL215042,0,4,0,0,0,0,0,9,3,0,0,0,0,0,0,8,0,3,3,0,0,0,0,10,78,82,39,25,35,9,0,263,0,0,0,0,0,0,0,0,87,90,44,28,37,8,0,295,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,3,0,0,0,0,0,3,17,22,15,6,12,3,0,78,0,0,0,0,0,0,0,3,16,26,22,13,12,3,0,88,106,117,61,37,50,12,0,385
UCL215043,6,3,3,3,3,0,0,21,14,8,10,3,6,0,0,37,6,5,8,7,5,0,0,28,125,107,74,43,49,20,3,405,0,0,0,0,0,0,0,3,151,123,90,50,60,17,8,494,3,3,0,3,0,0,0,12,0,3,3,3,3,0,0,7,0,3,4,0,7,0,0,10,31,66,28,22,38,8,0,193,0,3,0,0,0,0,0,3,38,79,28,31,42,10,0,233,186,201,121,79,101,29,7,724
UCL215044,24,13,11,3,3,0,0,54,24,19,7,8,7,0,0,59,20,14,5,6,3,0,0,47,157,123,76,48,63,24,5,504,0,0,0,0,0,0,0,4,228,172,96,64,78,29,7,666,0,0,0,0,0,0,0,4,3,7,3,6,9,3,0,30,0,6,7,0,4,0,0,16,30,55,30,25,40,7,0,192,0,0,0,0,0,0,0,0,33,65,41,37,49,15,0,244,258,236,137,101,130,42,7,907
UCL215045,0,0,0,0,4,0,0,6,4,3,0,0,7,0,0,22,6,5,0,0,0,0,0,10,79,79,40,15,22,0,0,234,0,0,0,0,3,0,0,3,85,92,42,20,33,0,4,273,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,3,11,22,15,13,12,5,3,71,0,0,0,0,0,0,0,0,13,22,22,10,16,5,3,81,97,106,60,31,55,7,3,359
UCL215046,3,0,0,0,0,0,0,5,5,5,6,0,0,0,0,16,4,6,0,0,0,0,0,11,65,57,31,11,22,15,0,202,0,0,0,0,0,0,0,0,73,68,37,13,25,11,0,232,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,15,12,12,6,10,3,0,54,0,0,0,0,0,0,0,0,15,12,9,6,11,6,0,62,83,83,45,24,31,17,3,293
UCL215047,4,9,5,0,0,0,0,22,3,4,0,0,3,0,0,16,3,3,0,0,0,0,0,11,90,65,31,18,29,7,5,239,0,0,0,0,0,0,0,3,103,89,40,15,31,4,5,291,0,3,3,0,3,0,0,4,0,10,4,0,0,0,0,14,3,0,0,0,0,0,0,6,22,26,18,9,9,3,0,86,0,0,0,0,0,0,0,0,22,36,27,9,13,3,0,114,126,120,67,24,47,10,5,400
UCL215048,5,5,0,0,3,0,0,13,3,4,0,0,0,0,0,4,4,5,0,0,0,0,0,13,24,25,16,8,12,0,0,82,0,0,0,0,0,0,0,0,37,34,18,11,9,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,3,0,0,0,0,5,0,0,6,3,5,0,0,16,0,0,0,0,0,0,0,0,0,3,5,3,6,0,0,25,42,43,26,12,14,0,0,136
UCL215049,5,9,8,5,4,3,0,28,10,35,21,11,11,7,0,97,9,19,17,6,8,0,4,61,114,127,83,39,57,23,17,448,0,5,0,0,0,0,0,6,143,189,119,59,79,33,20,645,0,0,0,0,0,0,0,8,0,9,0,0,0,0,0,15,4,4,0,0,3,0,0,11,0,12,13,3,10,3,0,41,0,0,0,0,0,0,0,0,8,26,13,8,10,7,0,76,154,216,137,65,94,36,22,719
UCL215050,3,3,3,10,3,3,0,24,3,3,3,3,0,0,0,20,3,3,3,0,5,0,0,15,184,172,86,53,79,26,5,605,3,4,0,0,0,0,0,8,198,192,95,67,90,27,5,671,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,11,0,0,0,0,0,0,0,3,43,68,40,32,31,10,3,225,0,0,0,0,0,0,0,3,46,74,41,36,30,10,3,242,245,266,133,100,125,35,4,908
UCL215051,0,4,0,0,0,0,0,4,3,3,3,0,0,0,0,12,0,0,0,0,4,0,0,12,31,30,13,11,12,4,0,101,0,0,0,0,0,0,0,0,37,34,14,11,19,4,0,118,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,7,8,3,0,0,31,0,0,0,0,0,0,0,0,3,8,9,6,4,0,0,38,41,42,29,21,21,4,0,158
UCL215052,11,6,5,0,3,0,0,29,9,9,4,0,7,0,0,25,11,16,3,0,3,0,0,38,148,153,66,40,47,4,0,450,3,0,0,0,0,0,0,6,182,189,73,42,59,3,0,546,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,10,0,0,3,0,3,0,0,8,13,41,23,16,28,7,3,125,0,0,0,0,0,0,0,7,16,50,28,21,29,7,3,149,195,240,99,57,87,12,0,695
UCL215053,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,11,3,3,4,0,4,0,0,8,79,60,19,19,27,4,4,206,0,3,3,0,0,0,0,8,82,63,31,18,33,4,4,235,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0,5,0,0,3,24,33,18,6,27,3,0,109,4,3,0,0,0,0,0,10,35,38,19,13,27,3,0,127,120,103,50,33,57,7,4,363
UCL215054,3,0,3,0,0,0,0,6,3,0,3,0,3,0,0,9,3,3,4,0,0,0,0,13,67,63,35,20,14,4,4,193,0,0,0,0,0,0,0,0,71,68,43,18,19,6,7,226,0,0,0,0,0,0,0,4,3,4,0,0,0,0,0,7,0,3,0,0,3,0,0,7,17,27,13,7,15,0,0,85,0,0,4,3,0,0,0,8,24,32,20,12,23,0,0,119,99,99,60,37,43,9,7,345
UCL215055,0,0,0,0,0,0,0,4,3,4,11,0,8,0,0,21,4,11,6,3,0,0,0,24,71,86,35,21,31,10,3,253,0,0,0,0,0,0,0,3,81,105,48,24,41,7,3,299,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,4,16,22,9,9,14,0,0,72,0,0,0,0,0,0,0,0,16,26,11,9,15,3,0,76,92,126,55,32,54,12,3,380
UCL215056,3,0,0,0,0,0,0,6,3,0,0,4,3,0,0,9,8,4,0,0,0,0,0,20,32,37,20,11,8,0,0,111,0,0,0,0,0,0,0,0,42,49,23,17,13,0,0,148,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,9,11,11,6,5,0,0,45,0,3,3,0,0,0,0,8,12,16,10,10,3,0,0,57,57,61,39,22,21,4,0,208
