UCL_CODE_2016,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
UCL212005,39,28,13,5,7,0,90,14,11,4,0,9,0,35,29,14,12,3,9,0,70,17,12,4,3,9,0,55,35,26,31,11,18,0,125,43,78,50,20,24,3,218,73,107,53,25,12,3,277,87,179,56,39,19,4,383,95,169,40,18,16,5,338,103,170,49,23,15,3,352,49,135,23,8,3,0,216,65,119,48,7,8,0,249,16,41,17,4,5,0,79,3,24,10,3,0,0,36,34,58,14,7,6,0,118,22,45,19,0,3,0,95,11,14,3,0,0,0,28,5,14,6,0,0,0,28,35,41,18,3,0,0,102,779,1286,470,175,154,34,2900
UCL213001,16,9,12,0,3,0,52,3,7,0,0,0,0,17,9,13,13,3,4,0,47,17,6,12,5,5,0,44,28,21,20,6,3,3,83,47,49,25,9,17,0,148,45,73,40,7,19,0,179,67,122,41,23,22,3,267,61,122,31,24,19,3,271,89,142,40,22,16,0,307,37,110,21,9,8,0,187,52,132,53,7,7,0,252,15,46,12,3,0,0,73,10,28,4,3,3,0,47,28,36,21,3,3,0,92,25,44,24,3,5,0,99,3,3,0,0,0,0,10,0,4,0,0,0,0,7,30,27,26,5,8,0,102,569,999,397,136,147,10,2265
UCL213002,10,4,0,0,0,0,23,10,8,0,0,3,0,20,15,3,6,0,0,0,30,16,11,3,0,3,0,32,21,26,14,10,7,0,68,37,41,19,7,11,0,111,36,57,14,11,9,3,131,52,70,23,10,10,0,163,49,82,16,10,11,3,170,26,62,12,4,3,0,108,5,26,4,3,0,0,46,20,29,15,4,3,0,74,3,10,0,0,0,0,19,0,4,0,0,0,0,9,6,15,0,0,0,0,23,7,13,10,0,0,0,23,3,6,0,0,0,0,12,0,4,0,0,0,0,4,15,12,3,6,0,3,40,319,485,144,74,62,15,1103
UCL213003,9,8,7,0,0,0,29,5,0,3,3,0,0,11,13,4,0,0,3,0,24,9,7,7,6,5,0,34,22,20,14,7,7,0,72,27,51,20,18,3,3,128,46,67,17,14,5,3,155,49,86,29,7,13,3,187,27,74,18,11,5,0,136,26,61,13,5,4,0,110,14,24,11,0,0,0,55,8,43,7,3,3,0,66,8,10,4,0,0,0,19,7,5,0,0,0,0,9,5,12,4,0,0,0,19,10,11,0,0,0,0,20,3,3,0,0,0,0,8,0,5,0,0,0,0,4,16,22,15,0,5,0,56,294,516,176,77,64,12,1140
UCL213004,15,4,11,3,7,0,42,11,3,0,0,0,0,9,20,0,4,3,0,0,30,7,10,3,0,3,0,23,13,14,6,7,13,0,59,14,24,20,8,8,0,79,32,41,14,10,11,0,107,43,71,27,13,6,0,167,35,92,22,7,14,0,162,51,95,16,12,4,0,171,34,52,12,0,3,0,98,33,66,16,4,3,0,130,11,30,5,4,3,0,55,4,9,0,3,0,0,17,12,34,8,0,0,0,64,13,23,11,0,3,0,44,7,12,3,0,0,0,21,0,3,0,0,0,0,3,16,15,14,3,5,0,54,367,614,191,85,85,3,1349
UCL213005,19,8,13,0,0,0,38,5,3,3,0,3,0,14,23,7,11,0,0,0,44,15,9,13,0,13,0,44,29,11,22,8,9,0,86,28,30,18,4,9,0,88,32,34,42,10,15,0,130,46,57,26,11,13,0,153,49,93,31,13,6,0,203,46,90,28,11,6,0,186,38,76,15,4,3,0,132,38,68,24,4,7,0,129,11,21,3,0,0,0,39,8,14,3,0,0,0,25,4,32,13,4,3,0,59,24,20,4,0,3,0,48,3,6,3,0,0,0,15,6,4,7,0,0,0,19,18,22,14,0,3,0,59,438,600,282,84,98,7,1514
UCL213006,20,9,3,0,0,0,31,5,0,0,0,3,0,11,10,9,7,0,3,0,28,6,10,4,3,3,0,23,19,13,12,4,3,0,54,37,28,10,8,7,0,90,46,52,21,6,11,0,138,55,84,29,10,11,0,197,42,73,11,16,7,0,146,38,65,25,10,6,0,142,16,33,4,4,0,0,64,26,44,10,0,3,0,88,9,17,4,0,0,0,25,3,10,0,0,0,0,11,12,17,10,0,0,0,39,5,20,4,0,0,0,38,0,5,0,0,0,0,11,3,8,0,0,0,0,11,20,18,6,0,3,0,48,365,517,171,71,77,6,1205
UCL213007,19,12,5,0,4,0,43,8,0,4,6,0,0,19,20,10,7,3,0,0,41,21,17,9,6,5,0,58,52,41,24,9,17,4,146,57,62,28,26,18,7,193,65,111,31,13,12,4,230,73,120,31,9,13,0,246,46,101,23,9,12,0,183,55,77,11,7,3,0,155,11,54,7,0,3,3,79,16,42,12,3,3,0,75,13,19,3,0,0,0,32,0,11,0,0,0,0,16,10,18,7,3,0,0,38,12,18,5,0,0,0,34,3,0,0,0,0,0,9,8,11,0,0,0,0,14,16,10,14,3,3,0,51,500,729,231,100,94,18,1671
UCL213008,21,14,14,0,0,0,55,5,3,7,0,0,0,16,9,4,4,7,6,0,31,14,11,6,3,4,0,34,13,25,10,3,0,0,54,31,39,19,4,11,0,99,26,43,26,5,14,0,117,54,86,42,14,15,0,204,45,93,24,8,9,3,187,53,127,30,18,15,0,241,38,100,19,6,7,0,172,59,134,25,7,10,3,235,29,64,15,3,0,0,109,5,19,6,3,0,0,35,39,53,19,0,3,0,119,17,37,10,3,0,0,73,8,7,3,0,0,0,23,0,3,0,0,0,0,10,20,32,12,3,7,0,74,494,887,295,82,113,11,1877
UCL213009,16,11,9,4,3,0,44,3,5,6,0,7,0,15,12,6,10,4,3,0,44,8,6,10,3,3,0,25,19,12,7,0,3,0,49,40,35,18,5,16,0,112,22,42,16,9,18,0,114,42,85,36,18,16,0,200,48,75,16,12,17,0,167,64,123,24,14,17,3,244,37,112,15,10,0,0,174,55,117,32,13,8,0,221,6,33,9,0,0,0,54,7,16,0,0,0,0,24,19,27,14,0,3,0,68,16,26,8,5,0,0,60,3,8,3,0,0,0,13,0,0,0,0,3,0,5,12,28,16,3,5,3,72,441,774,249,107,117,14,1700
UCL213010,8,3,4,5,4,0,23,8,3,3,0,0,0,17,32,14,10,4,12,3,79,25,16,9,7,13,0,63,49,48,27,20,23,0,172,60,83,23,17,15,0,203,70,80,36,20,21,3,222,53,79,24,12,5,0,176,30,48,14,13,7,0,102,18,31,12,3,12,0,75,4,23,3,3,0,0,34,21,23,14,3,0,0,56,3,10,3,0,0,0,18,0,4,0,0,0,0,5,8,3,6,0,0,0,19,8,4,0,0,0,0,18,3,4,0,0,0,0,10,3,3,0,0,0,0,5,17,15,14,5,8,4,61,417,492,216,112,117,11,1363
UCL213011,16,0,0,0,0,0,24,8,7,0,0,5,0,17,25,12,10,12,3,0,65,25,16,11,8,6,0,57,34,36,29,17,24,0,145,54,67,30,31,18,3,201,49,59,25,22,14,6,170,28,51,26,14,8,0,130,24,24,11,6,3,0,68,10,18,10,4,3,0,44,6,7,9,4,0,0,28,11,22,4,0,0,0,42,0,4,3,0,0,0,6,0,0,0,0,0,0,3,3,6,5,0,0,0,17,3,6,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,6,4,7,0,38,314,352,189,115,90,14,1079
UCL213012,30,24,10,0,4,0,68,9,9,3,4,0,0,23,15,15,7,0,6,0,52,12,17,8,4,0,0,49,6,29,16,10,9,0,73,19,41,21,6,8,0,102,40,55,20,3,12,0,128,31,72,35,7,11,0,154,25,97,20,13,5,0,172,30,103,31,14,9,0,193,34,81,27,6,3,0,148,62,179,33,13,6,0,289,30,72,8,8,0,0,118,21,44,10,4,0,0,75,46,81,20,4,5,0,148,36,122,29,3,3,0,190,14,30,5,0,5,0,51,4,16,0,0,3,0,34,24,30,21,0,3,3,83,486,1114,332,112,94,7,2136
UCL213013,15,7,5,4,0,0,30,0,7,3,0,0,0,18,15,0,0,0,5,0,24,20,12,8,4,5,0,38,28,21,9,10,15,0,80,26,24,16,10,8,0,91,33,63,14,13,11,0,145,30,61,21,9,8,0,121,32,46,9,7,5,0,102,14,42,17,0,3,0,78,9,17,4,0,3,0,35,17,21,7,3,0,0,53,3,8,0,0,0,0,14,3,0,0,0,0,0,8,7,3,3,3,0,0,14,8,8,5,0,3,0,27,3,3,0,0,0,0,7,0,3,0,0,0,0,3,21,11,9,4,7,3,53,279,380,142,68,71,9,949
UCL213014,14,14,10,0,6,0,36,10,0,3,0,3,0,15,11,8,10,3,4,0,39,8,15,11,6,4,0,42,33,22,4,5,8,0,76,36,39,22,9,19,0,125,48,51,15,18,7,0,133,46,74,24,12,15,0,167,34,79,17,7,7,3,146,31,68,17,12,4,0,135,17,37,15,3,0,0,71,27,46,13,0,4,0,89,11,11,0,0,0,0,22,4,9,3,0,0,0,21,7,31,3,0,0,0,44,6,23,4,0,3,0,32,0,0,3,0,0,0,5,3,3,0,0,0,0,13,4,19,10,0,3,0,39,358,539,165,75,89,10,1248
UCL213015,7,6,8,0,3,0,23,0,3,3,0,0,0,6,7,7,5,4,0,0,26,9,5,3,0,3,0,20,23,26,10,12,5,3,79,38,45,21,5,10,6,122,36,57,12,12,11,0,126,39,55,21,15,3,0,132,32,44,14,4,0,0,93,30,47,19,4,3,0,97,6,16,8,3,5,0,37,15,38,12,0,0,0,75,7,15,0,3,0,0,25,0,3,3,0,0,0,8,9,7,8,0,0,0,23,7,23,3,0,0,0,23,0,3,0,0,0,0,5,0,3,0,0,0,0,12,16,20,10,3,0,0,44,268,423,144,64,48,16,964
UCL213016,15,26,10,6,3,0,58,7,3,3,0,0,0,17,4,16,11,3,3,0,39,11,12,9,0,3,0,39,11,15,9,0,4,0,40,9,42,19,0,0,3,78,21,55,21,3,5,0,111,35,67,21,7,7,0,138,21,65,21,8,7,0,116,44,92,24,7,9,0,169,25,80,13,7,4,0,127,45,154,23,13,8,0,249,25,80,9,5,5,0,127,17,57,16,4,6,0,94,54,140,14,3,0,3,212,42,161,26,5,0,0,234,25,44,7,0,0,0,82,11,34,0,0,4,0,49,26,30,23,4,3,0,87,450,1170,273,79,85,13,2063
UCL213017,26,5,13,3,7,0,49,12,6,0,0,3,0,21,24,12,3,4,10,5,59,17,9,15,4,5,0,47,29,29,20,12,16,0,104,51,62,23,28,18,0,187,59,94,24,30,23,0,226,78,126,29,26,10,0,275,61,105,16,15,8,4,208,48,93,33,10,4,3,187,17,57,17,3,0,3,94,34,68,21,0,4,0,128,19,14,8,0,0,0,43,13,9,0,0,0,0,27,10,28,12,3,0,0,52,11,23,5,0,0,0,37,0,11,0,0,0,0,11,3,3,0,0,0,0,10,21,28,11,11,3,0,71,523,793,247,141,114,17,1840
UCL213018,29,15,9,4,5,0,61,11,3,4,0,3,0,15,19,7,8,0,0,0,37,17,6,6,3,3,0,31,13,13,11,11,10,3,63,30,39,27,9,11,0,107,57,66,32,19,16,0,193,42,99,25,14,16,0,196,37,90,24,12,7,0,173,39,75,27,13,4,0,162,22,48,14,6,3,0,94,28,74,25,5,0,0,137,12,26,9,3,3,0,46,9,12,3,0,0,0,34,14,29,12,0,0,0,62,15,31,6,3,4,0,58,3,7,7,0,0,0,14,4,4,9,0,0,0,13,12,19,8,3,7,0,55,419,659,264,97,88,12,1537
UCL214001,7,3,3,0,0,3,16,10,0,0,0,0,0,12,8,6,7,3,8,0,35,10,13,0,9,3,0,35,25,21,4,9,8,0,71,28,43,14,7,8,0,102,25,41,17,11,8,3,106,30,36,12,8,0,3,89,11,23,9,0,0,0,42,12,22,12,0,0,0,49,9,9,5,0,0,0,25,3,4,4,0,0,0,13,3,5,0,0,0,0,10,0,0,3,0,0,0,3,3,3,0,0,0,0,6,5,0,0,0,0,0,8,0,0,0,0,0,0,3,3,0,0,0,0,0,3,9,7,3,0,3,0,24,207,252,96,43,52,6,658
UCL214002,17,3,0,0,0,0,18,4,0,0,0,0,0,7,12,3,9,0,3,0,32,11,4,0,3,3,0,20,27,20,7,8,7,0,70,43,29,9,8,11,0,98,42,53,21,9,7,3,133,31,38,12,8,4,3,96,25,20,19,3,3,0,72,12,27,14,3,0,0,60,9,27,12,0,3,0,51,14,19,6,0,3,0,41,8,8,3,0,0,0,14,0,0,0,0,0,0,3,8,10,4,0,0,0,25,3,10,4,0,0,0,17,3,0,0,0,0,0,5,8,0,0,0,0,0,8,24,4,8,6,3,0,41,298,267,126,49,63,8,807
UCL214003,17,7,3,0,4,3,30,7,7,0,3,8,0,23,20,12,5,0,5,0,39,7,6,3,4,6,0,27,19,15,8,7,6,0,61,26,26,9,3,4,0,72,24,43,18,13,13,0,100,24,53,11,11,11,0,117,21,34,4,11,9,0,85,31,57,6,11,4,0,110,9,34,4,3,3,0,53,15,24,14,3,7,0,63,0,16,0,0,0,0,17,3,4,0,0,0,0,9,6,12,0,3,0,0,26,13,6,9,0,0,0,29,5,4,0,0,0,0,9,0,0,0,0,0,0,3,9,13,3,0,3,0,25,245,378,107,76,75,7,896
UCL214004,3,3,0,0,0,0,5,3,0,0,0,0,0,5,3,7,3,6,0,0,20,3,0,0,0,0,0,9,5,7,3,0,0,0,15,15,16,7,5,9,0,59,17,18,10,4,3,0,55,30,34,7,3,0,0,73,5,23,5,0,0,0,39,11,15,7,4,3,0,43,9,7,0,0,0,0,15,3,15,4,4,0,0,33,0,4,3,0,0,0,12,0,0,0,0,0,0,3,3,3,0,3,0,0,14,4,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,3,0,0,0,21,140,175,58,36,22,6,429
UCL214005,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,4,3,0,0,0,0,0,3,5,0,3,0,0,0,8,8,0,3,0,0,0,10,3,3,0,4,0,0,14,4,7,6,0,0,0,20,3,10,0,0,0,0,15,3,14,0,0,0,0,19,0,4,0,0,0,0,6,5,3,0,0,0,0,10,0,4,0,0,0,0,4,0,0,0,0,0,0,0,3,3,0,0,0,0,6,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,10,44,57,26,10,7,0,138
