UCL_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
UCL214002,5,50,89,89,122,90,46,29,15,525,3,13,65,56,89,64,18,5,0,319,0,7,32,46,61,57,15,3,3,226,0,3,23,36,53,28,9,5,3,159,0,0,19,27,37,46,9,3,0,145,0,0,6,14,17,19,9,8,3,76,69,47,83,68,100,117,139,130,72,818,517,473,866,871,1163,1320,1297,876,470,7848
UCL214003,0,17,82,98,144,121,66,28,8,572,0,12,40,62,79,91,31,7,3,328,0,0,42,73,68,70,10,11,0,285,0,6,21,44,48,41,7,0,3,165,0,0,23,60,62,32,18,8,0,194,0,3,8,18,34,23,20,8,5,113,79,87,325,274,232,194,140,128,111,1570,471,415,1015,1222,1405,1431,1271,795,376,8408
UCL214004,0,21,66,60,74,53,23,8,0,308,0,9,28,46,45,28,8,7,0,180,0,3,26,22,34,25,11,0,3,124,0,0,20,31,39,19,3,0,0,113,0,0,8,22,13,13,3,3,0,70,0,0,5,6,16,12,7,4,3,47,46,22,68,54,51,69,108,82,26,522,312,267,577,559,634,644,730,526,191,4437
UCL214005,0,4,6,27,15,13,3,3,0,69,0,0,8,8,18,8,4,0,0,39,0,0,3,7,10,3,3,0,0,26,0,0,0,11,3,6,0,0,0,17,0,0,0,9,6,4,0,0,0,26,0,0,0,0,0,4,0,0,0,10,12,4,0,6,7,16,17,9,0,71,90,59,75,130,135,137,158,58,17,856
UCL214006,0,34,135,166,158,67,63,13,3,645,0,15,105,122,115,62,28,3,3,450,0,7,111,135,117,87,15,4,3,479,0,8,45,109,81,48,6,3,0,299,0,3,90,182,159,92,22,3,0,558,0,0,24,103,95,54,11,0,0,289,40,24,59,85,93,70,85,60,62,586,661,474,994,1497,1388,1003,882,382,198,7483
UCL214007,3,25,113,108,124,122,61,8,10,579,0,13,80,53,93,78,24,5,3,352,0,3,44,65,62,52,14,12,3,260,0,3,31,38,46,32,13,3,3,171,0,0,19,34,51,27,9,4,5,156,0,0,12,11,20,20,12,8,6,77,66,38,61,47,71,94,102,105,87,676,577,509,906,880,1101,1206,1136,717,393,7429
UCL214008,0,26,106,112,125,103,43,13,3,538,3,12,82,89,79,67,25,0,0,363,0,0,63,70,68,59,13,0,0,272,0,3,23,48,42,35,6,0,0,156,0,0,27,52,76,29,5,0,0,194,0,0,5,22,33,14,4,8,3,91,48,26,63,72,85,94,103,74,22,580,446,404,874,1036,1174,1207,999,574,236,6947
UCL214009,0,10,49,54,53,50,38,15,6,270,0,0,42,41,42,32,23,4,3,185,0,0,30,36,40,34,16,10,0,165,0,0,19,24,34,15,11,0,0,100,0,0,17,47,41,30,16,3,0,143,0,0,8,20,22,31,5,11,4,92,28,3,32,36,49,59,93,66,44,408,212,106,393,541,553,764,930,497,222,4223
UCL214010,0,20,92,85,105,75,26,12,3,431,0,8,66,92,74,47,13,3,0,300,0,6,53,57,71,45,13,3,0,248,0,0,31,64,57,23,4,0,0,181,0,0,27,55,81,29,8,0,0,196,0,0,11,26,14,11,3,4,0,72,87,30,64,71,76,73,96,79,20,591,605,378,726,875,924,723,672,433,149,5491
UCL214011,3,24,76,73,96,81,18,8,10,389,0,9,47,37,45,40,10,3,0,196,0,3,34,30,42,34,3,3,0,147,0,0,12,22,27,17,3,0,0,79,0,0,19,15,19,15,7,0,0,86,0,0,3,10,3,10,7,7,0,41,43,23,42,53,55,72,95,109,79,567,329,299,618,582,680,781,799,534,293,4916
UCL214012,0,24,48,56,70,63,41,18,9,337,0,3,31,22,37,31,11,3,6,136,0,3,4,18,40,31,8,3,3,105,0,0,10,11,19,15,4,0,0,62,0,3,6,11,21,20,7,0,0,71,0,0,0,13,13,15,0,3,0,49,36,19,52,70,95,114,148,108,98,747,314,227,473,534,735,961,1128,589,242,5210
UCL214013,3,20,83,59,69,54,21,14,3,328,0,3,56,53,48,41,12,4,0,212,0,0,26,39,34,37,10,3,0,147,0,0,11,24,24,25,7,0,0,92,0,0,14,35,23,28,6,0,0,111,0,4,8,11,12,9,9,0,0,49,31,22,44,28,38,45,79,73,36,397,286,239,581,528,574,630,644,416,213,4116
UCL214014,3,24,59,56,85,63,28,9,9,324,0,10,31,27,47,28,4,0,0,150,0,0,17,20,25,27,9,0,0,93,0,0,6,18,19,10,0,0,0,58,0,0,4,14,22,15,4,0,0,62,0,0,3,6,6,11,4,3,3,35,53,22,34,62,81,75,148,127,62,664,399,390,625,708,883,1012,1156,795,349,6328
UCL214015,0,9,33,40,91,86,63,19,9,356,0,4,23,38,74,59,20,5,3,231,0,0,13,35,39,54,18,12,0,172,0,0,4,15,34,33,5,3,0,102,0,0,7,18,38,46,19,4,0,124,0,3,8,14,13,23,10,3,0,70,31,13,37,53,71,132,180,95,43,660,264,204,375,571,831,1298,1531,695,298,6063
UCL214016,0,11,71,51,81,82,32,14,8,355,0,6,32,50,49,62,14,3,3,213,0,4,26,31,41,34,9,3,0,146,0,3,10,18,34,16,7,0,0,87,0,0,6,22,28,23,9,3,0,89,0,0,4,8,9,7,8,0,0,39,48,43,62,88,92,109,102,101,75,715,361,425,597,622,761,881,682,412,198,4937
UCL214017,0,27,58,55,72,78,18,10,3,319,0,7,31,44,52,29,17,4,0,186,0,3,24,30,31,32,7,0,0,130,0,3,14,19,33,10,3,0,0,82,0,0,17,18,28,12,6,0,0,81,0,0,3,7,3,6,4,3,3,34,51,31,46,50,67,83,81,83,37,516,315,301,580,583,722,788,713,471,245,4715
UCL214018,0,30,130,151,178,79,30,5,3,607,0,9,118,101,120,75,12,0,0,443,0,7,71,85,91,62,10,0,0,321,0,3,43,56,60,30,3,0,0,200,0,8,50,70,70,46,7,3,0,246,0,0,8,21,24,18,3,0,0,76,89,52,92,103,124,113,66,37,4,679,631,520,1108,1191,1306,1017,544,191,43,6564
UCL214019,0,16,96,71,85,72,25,12,12,383,0,7,50,36,35,29,10,5,0,175,0,0,23,33,34,27,6,3,0,138,0,0,9,9,29,12,4,0,0,65,0,0,11,10,21,10,3,3,0,59,0,0,4,14,12,13,8,4,5,53,50,33,67,39,106,105,147,138,87,776,458,361,805,692,1005,1102,1079,752,353,6602
UCL214020,0,18,85,84,110,66,54,9,12,446,0,8,46,51,60,58,23,6,0,261,0,7,25,51,55,45,8,3,0,196,0,0,19,37,33,25,9,9,0,120,0,0,11,36,29,24,5,3,0,113,0,0,6,16,20,10,8,6,3,71,70,26,72,69,97,126,181,149,115,898,379,329,668,762,881,1073,1229,814,363,6492
UCL215001,0,0,8,17,20,25,9,7,0,82,0,0,5,11,17,23,9,0,0,64,0,0,4,5,10,10,0,0,0,40,0,0,3,0,11,4,4,0,0,31,0,0,0,5,8,13,5,0,0,37,0,0,0,7,10,11,4,0,4,34,10,0,3,5,16,19,16,9,0,80,63,44,59,100,178,246,159,89,24,965
UCL215002,0,8,33,37,37,31,14,8,3,164,0,3,17,21,12,12,7,0,0,78,0,3,10,17,13,13,0,0,0,58,0,0,0,13,12,12,3,0,0,48,0,0,8,9,12,8,6,0,0,38,0,0,0,0,5,0,0,0,0,12,15,5,17,18,25,48,36,36,3,211,101,105,221,266,298,346,391,220,115,2069
UCL215003,0,6,27,23,41,57,33,10,5,197,0,0,32,25,33,27,23,8,0,139,0,0,15,23,14,28,4,6,0,92,0,0,6,14,23,14,4,0,0,66,0,0,7,27,34,19,7,0,0,89,0,0,3,9,15,19,11,0,0,68,18,7,19,12,27,30,45,29,40,223,114,81,212,252,362,417,425,192,109,2157
UCL215004,0,3,24,22,17,8,12,3,0,89,0,0,7,14,9,9,0,3,0,39,0,0,0,5,17,4,0,0,0,35,0,0,5,3,11,7,0,3,0,25,0,0,0,3,9,8,0,0,0,22,0,0,0,3,3,3,3,4,0,20,8,12,22,21,22,29,18,13,4,149,55,66,146,157,165,248,189,101,37,1167
UCL215005,0,9,26,34,29,27,9,0,0,138,0,0,18,25,33,12,6,0,0,94,0,0,15,20,22,24,0,3,0,84,0,0,3,12,13,4,3,0,0,42,0,0,12,27,22,9,0,0,0,71,0,0,5,11,5,3,0,0,0,21,19,11,17,12,30,27,27,32,29,201,139,95,239,289,315,308,259,146,69,1854
UCL215006,0,10,23,19,37,38,20,3,4,160,0,0,28,25,27,22,12,3,3,122,0,0,17,30,24,18,7,7,0,93,0,0,9,18,25,17,3,0,0,68,0,0,7,19,22,24,10,6,0,95,0,0,3,11,23,11,0,6,0,57,18,11,14,18,26,27,31,22,13,172,117,93,193,270,304,350,308,198,58,1895
UCL215007,0,23,112,101,85,43,14,3,0,376,0,9,80,79,59,26,10,0,0,254,0,3,50,82,45,26,3,0,0,217,0,0,28,50,21,14,0,0,0,112,0,0,34,57,34,19,3,0,0,156,0,0,3,15,14,3,0,0,0,38,42,19,28,53,36,34,37,38,49,340,313,259,646,826,579,447,342,174,91,3688
UCL215008,0,9,20,41,50,19,9,0,0,148,0,3,24,34,33,14,3,0,0,105,0,0,28,31,27,14,0,0,0,101,0,0,9,21,20,10,3,0,0,57,0,0,13,23,31,9,0,0,0,75,0,0,0,3,3,6,0,0,0,15,5,4,11,17,12,7,5,3,0,67,101,76,211,277,282,183,92,27,6,1252
UCL215009,0,0,8,11,4,12,4,3,0,42,0,0,4,4,0,3,3,0,0,21,0,0,3,0,3,5,0,0,0,12,0,0,5,0,3,4,0,0,0,9,0,0,0,0,3,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,4,3,10,3,17,7,3,57,43,32,75,60,106,142,164,69,15,706
UCL215010,0,8,21,35,36,42,6,8,0,157,0,3,23,20,26,17,12,0,0,105,0,0,13,48,27,20,5,0,0,120,0,0,6,24,20,10,8,0,0,73,0,0,8,29,39,26,8,0,0,112,0,0,0,23,22,16,0,0,0,60,7,10,11,17,20,17,28,25,18,154,148,122,164,320,319,298,191,84,29,1688
UCL215011,0,0,9,11,14,11,7,0,4,50,0,3,6,4,3,10,0,0,0,27,0,3,4,3,3,7,3,0,0,21,0,0,0,0,3,0,0,0,0,5,0,0,0,3,0,3,0,0,0,8,0,0,0,0,0,3,0,0,3,5,3,0,5,9,15,12,27,22,21,110,39,33,77,85,127,177,199,120,65,918
UCL215012,0,4,32,37,51,60,14,3,0,199,0,0,13,30,32,39,9,3,0,130,0,0,11,30,24,18,11,3,0,101,0,0,9,17,21,20,8,0,0,75,0,0,3,12,22,23,6,0,0,64,0,0,3,12,3,11,3,0,0,27,25,13,13,28,36,33,39,36,12,244,138,74,209,343,390,499,448,254,96,2452
UCL215013,0,7,59,42,33,15,4,0,0,159,0,4,44,32,23,4,0,0,0,113,0,4,31,28,17,6,0,0,0,87,0,0,15,21,7,8,0,0,0,49,0,0,14,19,12,3,0,0,0,48,0,0,0,6,0,3,3,0,0,21,22,11,40,39,25,10,13,0,0,152,89,85,394,320,214,123,72,15,3,1317
UCL215014,0,11,17,17,30,11,3,0,0,94,0,3,18,24,19,10,0,0,0,74,0,0,9,9,17,10,0,0,0,51,0,0,3,9,9,4,0,0,0,24,0,0,0,8,11,9,0,0,0,30,0,0,0,0,0,0,0,0,0,5,7,0,9,4,14,8,8,5,0,62,74,68,159,170,201,157,104,42,3,971
UCL215015,0,9,16,15,36,40,23,10,3,153,0,0,12,24,19,20,8,0,0,85,0,0,10,24,16,14,7,0,0,63,0,0,5,8,14,6,3,0,0,35,0,0,7,18,11,12,0,0,0,45,0,0,0,3,10,5,5,0,0,22,19,7,22,30,34,34,46,28,30,247,109,79,180,257,304,347,393,176,105,1941
UCL215016,3,10,70,62,65,46,14,9,0,281,0,12,45,34,32,40,8,0,3,170,0,3,27,23,39,20,4,0,0,115,0,0,15,14,29,19,0,0,0,81,0,0,9,16,16,17,3,0,0,59,0,0,0,0,6,4,0,0,0,14,34,18,45,18,41,36,31,28,18,264,240,242,509,417,542,502,349,175,56,3042
UCL215017,0,4,30,31,24,20,6,5,0,122,0,0,23,23,15,17,0,0,3,89,0,0,15,13,32,9,4,0,0,79,0,0,10,14,12,8,0,0,0,44,0,0,6,14,13,14,0,0,0,50,0,0,0,5,5,3,0,0,0,11,26,11,18,14,30,12,27,3,6,146,142,98,188,235,287,226,213,91,59,1545
