UCL_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
UCL214006,0,0,0,195,22,0,3,27,0,15,3,3,4,6,67,157,0,0,0,3,0,0,0,0,0,0,4,10,278,44,10,563,60,276,9,56,16,43,72,1423
UCL214007,0,0,0,26,15,8,0,23,0,3,0,3,0,5,34,100,0,0,0,0,0,0,0,0,0,0,0,3,149,45,10,301,25,135,14,42,12,67,40,827
UCL214008,0,0,0,58,12,5,0,31,4,12,3,0,3,8,39,111,3,0,3,0,0,3,0,0,0,0,0,12,140,52,15,349,31,165,12,42,18,72,37,922
UCL214009,0,0,0,23,8,0,3,8,0,4,0,3,0,3,17,48,0,0,0,0,0,0,0,0,0,0,0,0,65,16,7,147,17,81,5,26,6,29,19,412
UCL214010,0,0,0,60,20,3,0,17,3,9,0,5,0,0,28,90,5,0,0,6,0,0,0,3,3,0,4,16,156,24,12,267,37,186,12,34,9,44,36,821
UCL214011,0,0,0,16,11,3,3,14,0,5,3,3,0,3,32,83,3,0,0,0,0,0,0,0,0,0,3,9,105,30,11,171,23,83,12,34,12,47,43,565
UCL214012,0,0,0,16,11,3,0,12,0,7,0,0,3,3,30,69,0,0,0,0,0,0,0,0,0,3,4,7,70,24,4,131,21,58,15,27,12,77,34,470
UCL214013,0,0,0,25,7,0,0,17,0,0,0,0,0,0,19,55,0,0,0,0,0,0,0,0,0,0,0,0,76,29,7,192,15,99,12,16,6,29,25,498
UCL214014,0,0,0,19,10,7,0,16,0,3,0,7,0,7,25,78,0,0,0,0,0,0,0,0,0,3,0,5,93,23,4,167,15,84,18,38,10,80,29,556
UCL214015,0,0,0,20,11,0,0,6,0,4,0,3,0,9,24,62,0,0,0,5,0,0,0,0,0,0,3,8,61,28,9,127,12,86,6,32,7,78,27,472
UCL214016,0,0,0,18,7,0,3,17,0,5,0,0,3,3,14,57,0,0,0,0,0,0,0,0,0,0,4,10,97,18,3,129,7,84,9,28,6,47,24,456
UCL214017,0,0,0,17,5,4,0,7,0,3,0,0,0,9,19,54,0,0,0,0,0,0,0,0,0,3,0,5,89,25,3,129,18,78,3,30,8,49,20,453
UCL214018,0,0,0,73,26,5,0,36,3,22,0,3,4,8,47,158,4,0,3,0,0,0,0,0,0,0,0,11,234,32,8,406,44,246,15,59,20,57,54,1183
UCL214019,0,3,0,12,6,3,0,21,0,3,3,3,0,7,23,89,0,3,0,0,0,0,0,0,0,0,0,3,82,53,10,226,17,94,12,46,11,85,26,668
UCL214020,0,0,0,32,17,0,0,20,0,8,0,0,0,4,30,83,3,0,0,0,0,0,0,0,0,0,0,9,131,26,6,262,24,79,12,22,10,53,33,656
UCL215001,0,0,0,12,3,0,0,8,0,0,0,0,0,0,7,18,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,42,3,18,3,3,0,0,10,92
UCL215002,0,0,0,4,3,0,0,0,0,4,0,0,0,0,15,22,0,0,0,3,0,0,0,0,0,0,0,4,39,13,5,81,7,38,3,3,3,18,15,222
UCL215003,0,0,0,22,3,0,0,8,0,4,0,3,0,3,5,31,0,0,0,0,0,0,0,0,0,0,0,3,45,25,3,90,4,43,3,12,3,15,6,249
UCL215004,0,0,0,0,3,0,0,3,0,0,0,0,0,0,9,21,0,0,0,0,0,0,0,0,0,0,0,0,16,8,0,34,5,14,4,5,0,4,7,102
UCL215005,0,0,0,16,3,0,0,5,0,5,0,0,0,0,10,22,0,0,0,0,0,0,0,0,0,0,0,0,33,12,0,84,5,56,4,16,0,18,10,249
UCL215006,0,0,0,26,3,0,0,10,0,3,0,0,0,3,17,32,0,0,0,0,0,0,0,0,0,0,0,3,51,14,6,107,3,31,3,12,3,16,17,270
UCL215007,0,0,0,34,9,0,0,14,0,5,0,3,0,0,33,71,0,0,0,3,0,0,0,0,0,0,0,5,126,28,10,283,47,125,17,30,11,31,37,737
UCL215008,0,0,0,11,0,0,0,4,0,0,0,0,0,0,17,24,0,0,0,0,0,0,0,0,0,0,0,0,64,10,3,99,9,44,10,12,6,15,16,268
UCL215009,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,34,0,5,3,4,0,0,3,68
UCL215010,0,0,0,50,10,0,0,6,0,5,3,0,0,0,16,41,0,0,0,0,0,0,0,0,0,0,0,3,67,15,5,143,10,59,3,5,3,11,24,355
UCL215011,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,23,4,14,0,3,0,7,5,76
UCL215012,0,0,0,15,9,0,0,7,0,0,0,3,0,3,14,37,0,0,0,0,0,0,0,0,0,0,0,0,62,22,0,98,13,18,3,18,0,8,20,260
UCL215013,0,0,0,14,0,0,0,3,0,3,0,0,0,4,14,25,4,0,0,0,0,3,0,0,0,0,0,11,63,3,4,91,15,68,5,11,3,23,9,294
UCL215014,0,0,0,4,3,0,0,6,0,3,0,0,0,4,3,14,0,0,0,0,0,0,0,0,0,0,0,3,29,13,6,61,6,33,3,10,0,10,3,167
UCL215015,0,0,0,14,3,0,0,3,0,0,0,0,0,0,16,30,0,0,0,0,0,0,0,0,0,0,0,0,46,21,4,55,7,21,3,13,0,6,16,193
UCL215016,0,0,0,16,10,0,0,10,0,10,0,0,0,5,14,41,0,0,0,0,0,0,0,0,0,0,3,9,73,17,9,125,10,108,8,14,6,35,17,420
UCL215017,0,0,0,11,0,0,0,7,0,3,0,0,0,3,9,30,0,0,0,0,0,0,0,0,0,0,0,0,40,7,4,98,9,45,0,12,3,18,13,247
UCL215018,0,0,0,6,3,0,0,7,0,3,0,0,0,0,12,36,0,0,0,3,0,0,0,0,0,3,0,4,37,10,3,97,12,33,3,8,0,31,12,251
UCL215019,0,0,0,9,11,3,0,4,0,0,0,0,0,3,8,32,0,0,0,0,0,0,0,0,0,0,0,3,31,11,0,61,7,32,8,20,10,13,8,195
UCL215020,0,0,0,3,0,0,0,3,0,0,0,0,0,3,3,9,0,0,0,0,0,0,0,0,0,0,0,3,7,3,0,27,0,18,6,4,0,13,3,84
UCL215021,0,0,0,3,0,0,0,0,0,0,0,3,0,0,7,13,0,0,0,0,0,0,0,0,0,0,0,0,25,11,0,44,7,13,0,6,5,11,9,134
UCL215022,0,0,0,17,7,0,0,4,3,6,0,3,3,4,23,51,0,0,0,0,0,0,0,0,0,0,0,3,41,17,0,103,7,82,7,37,7,62,22,395
UCL215023,0,0,0,4,4,0,0,3,0,0,0,0,0,0,12,21,0,0,0,0,0,0,0,0,0,0,0,0,36,3,3,60,8,23,3,10,7,10,12,161
UCL215024,0,0,0,6,0,0,0,6,0,0,0,0,0,0,10,22,0,0,0,0,0,0,0,0,0,0,0,0,24,6,0,47,0,23,6,9,0,11,13,137
UCL215025,0,0,0,5,0,0,0,3,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,25,3,12,0,7,3,10,7,83
UCL215026,0,0,0,18,7,0,0,13,3,0,0,0,0,0,19,43,3,0,0,0,0,0,0,0,0,0,0,6,52,23,3,125,10,40,0,35,0,17,28,332
UCL215027,0,0,0,9,5,3,0,3,0,3,0,0,0,3,6,26,0,0,0,0,0,0,0,0,0,0,0,3,35,17,4,72,15,48,3,13,3,24,9,244
UCL215028,0,0,0,10,3,5,0,7,0,0,0,0,0,0,16,38,0,0,0,0,0,0,0,0,0,0,0,0,39,37,0,84,12,34,3,23,8,18,18,263
UCL215029,0,0,0,11,7,0,0,9,0,4,0,0,0,5,15,34,0,0,0,0,0,0,0,0,0,0,0,3,36,6,7,81,5,65,5,7,3,27,16,257
UCL215030,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,11,0,0,0,0,0,0,0,0,0,0,0,0,14,7,0,24,3,20,3,7,0,17,7,105
UCL215031,0,0,0,3,3,0,0,3,0,0,0,0,0,0,9,11,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,41,3,11,3,7,0,12,9,107
UCL215032,0,0,0,9,3,0,0,7,0,4,0,0,0,3,12,33,0,0,0,3,0,0,0,0,0,0,0,3,39,13,3,80,4,30,0,16,4,22,12,218
UCL215033,0,0,0,39,5,0,0,3,0,3,0,0,0,0,16,34,3,0,0,0,0,0,0,0,0,0,0,3,127,9,4,161,27,84,8,5,3,12,19,459
UCL215034,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,9,3,4,26,8,6,0,9,0,5,3,73
UCL215035,0,0,0,15,9,0,0,7,0,3,0,0,0,3,3,23,0,0,0,0,0,0,0,0,0,0,0,0,26,8,0,73,11,28,0,3,3,9,3,160
UCL215036,0,0,0,14,0,0,0,3,0,8,0,0,0,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,27,3,6,64,7,28,4,4,0,9,5,161
UCL215037,0,0,0,3,0,0,0,3,0,0,0,0,0,3,10,16,0,0,0,0,0,0,0,0,0,0,0,0,12,4,4,23,3,22,0,13,3,24,10,112
UCL215038,0,0,0,12,3,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,27,3,0,38,4,31,0,11,3,13,5,135
UCL215039,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,29,0,18,0,10,3,11,0,98
UCL215040,0,0,0,15,3,0,0,7,0,5,0,0,0,3,22,53,0,0,0,0,0,0,0,0,0,0,4,9,46,10,5,115,11,67,3,20,0,27,27,323
UCL215041,0,0,0,14,3,0,0,8,0,7,0,0,0,3,16,42,0,0,0,0,0,0,0,0,0,0,0,0,57,7,4,109,14,59,0,10,3,14,16,304
UCL215042,0,0,0,4,3,0,0,7,0,3,0,0,0,0,8,26,0,0,0,0,0,0,0,0,0,0,0,0,23,13,4,77,5,26,3,7,0,9,8,176
UCL215043,0,0,0,9,3,0,0,12,0,4,0,0,0,4,9,36,0,0,0,0,0,0,0,0,0,0,0,0,49,16,8,105,10,67,3,20,7,31,13,322
UCL215044,0,0,0,39,8,0,0,7,0,3,0,0,0,3,17,42,0,0,0,0,0,0,0,0,0,0,0,6,70,21,10,155,17,84,8,24,5,34,21,448
UCL215045,0,0,0,4,4,0,0,3,0,6,0,0,0,0,11,27,0,0,0,0,0,0,0,0,0,0,0,0,21,3,5,58,12,39,7,7,0,10,11,170
UCL215046,0,0,0,0,3,0,0,3,0,3,0,0,0,3,5,14,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,52,0,37,0,5,0,9,6,141
UCL215047,0,0,0,3,3,0,0,0,0,0,0,0,0,4,0,15,0,0,0,0,0,0,0,0,0,0,0,4,14,6,0,49,3,46,0,8,0,17,3,150
UCL215048,0,0,0,8,3,3,0,4,0,0,0,0,0,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,23,0,20,0,3,3,6,3,75
UCL215049,0,0,0,77,3,0,0,5,0,4,0,3,3,4,24,51,0,0,0,0,0,0,0,0,0,0,0,3,84,21,3,130,12,64,4,12,6,19,24,383
UCL215050,0,0,0,12,5,0,0,11,0,13,0,4,0,0,32,67,0,0,0,0,0,0,0,0,0,0,0,4,48,9,3,130,23,88,6,17,7,34,38,395
UCL215051,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,16,0,0,0,0,0,0,0,0,0,0,0,0,14,8,0,28,0,8,0,10,5,9,6,82
UCL215052,0,0,0,11,7,3,3,15,0,3,0,0,0,3,19,58,0,0,0,0,0,0,0,0,0,0,0,4,60,15,9,135,7,50,3,13,0,18,25,332
UCL215053,0,0,0,3,0,0,0,3,0,8,0,0,0,0,20,32,0,0,0,0,0,0,0,0,0,4,0,3,31,9,6,36,5,25,0,12,0,20,20,161
UCL215054,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,16,0,0,0,0,0,0,0,0,0,0,0,0,13,11,0,35,9,44,0,13,0,25,6,145
UCL215055,0,0,0,7,0,0,0,3,0,0,0,3,0,0,10,23,0,0,0,0,0,0,0,0,0,0,0,0,14,15,0,58,5,38,4,19,3,12,10,181
UCL215056,0,0,0,3,3,0,0,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,32,3,13,0,4,0,3,3,80
UCL215057,0,0,0,6,0,0,0,0,0,3,0,0,0,0,7,16,0,0,0,0,0,0,0,0,0,0,0,0,18,13,0,50,0,27,3,4,3,9,8,138
UCL215058,0,0,0,3,4,3,0,4,0,9,0,0,0,0,12,39,0,0,0,0,0,0,0,0,0,0,0,3,47,10,8,71,8,40,3,8,5,22,17,237
UCL215059,0,0,0,14,7,0,0,0,0,0,0,0,0,0,13,24,0,0,0,0,0,0,0,0,0,0,0,3,29,5,0,49,7,20,0,0,0,12,13,148
UCL215060,0,0,0,7,3,0,0,3,0,3,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,3,29,6,0,31,4,25,3,5,0,14,0,117
UCL215061,0,0,0,9,0,0,0,4,0,0,0,0,0,0,6,18,0,0,0,0,0,0,0,0,0,0,0,3,33,4,0,52,7,39,3,7,0,11,9,162
UCL215062,0,0,0,8,6,0,0,5,0,3,0,0,0,9,17,47,0,0,0,3,0,0,0,0,0,3,0,5,71,4,3,103,8,46,4,16,5,33,16,315
UCL215063,0,0,0,0,0,0,0,3,0,0,0,0,0,0,13,23,0,0,0,0,0,0,0,0,0,0,0,5,16,7,3,41,6,22,3,12,4,22,13,147
UCL215064,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,18,3,0,31,3,6,3,3,0,9,0,81
UCL215065,0,0,0,5,8,0,0,0,0,0,0,3,0,3,16,28,0,0,0,0,0,0,0,0,0,0,0,3,35,7,0,65,4,36,3,12,6,29,14,220
UCL215066,0,0,0,24,3,0,0,11,0,9,0,3,0,3,25,58,0,0,0,0,0,0,0,0,0,0,0,0,53,28,6,96,8,48,7,14,3,12,27,293
UCL215067,0,0,0,14,7,0,0,5,0,0,0,0,0,0,12,31,0,0,0,0,0,0,0,0,0,0,0,0,43,17,3,101,14,31,4,8,3,17,18,272
UCL215068,0,0,0,3,4,0,0,9,0,3,0,0,0,3,12,38,3,0,0,0,0,0,0,0,0,0,0,3,40,7,4,66,13,52,6,10,4,34,17,249
UCL215069,0,0,0,63,18,0,0,18,0,11,3,4,0,0,21,74,0,0,0,3,0,0,0,0,0,0,0,4,102,18,3,183,23,69,5,19,3,19,21,471
UCL215070,0,0,0,3,0,0,0,0,0,5,0,0,0,3,7,20,0,0,0,0,0,0,0,0,0,0,0,4,33,7,7,27,7,44,0,3,4,33,11,175
UCL215071,0,0,0,16,9,0,0,9,0,3,0,0,0,3,7,31,0,0,0,0,0,0,0,0,0,0,0,0,41,8,3,74,17,37,3,8,3,23,11,233
UCL215072,0,0,0,34,9,4,0,9,0,8,0,7,0,8,37,83,0,0,0,0,3,0,0,0,0,0,0,6,108,24,7,170,25,92,9,25,11,33,41,542
UCL215073,0,0,0,6,3,0,0,0,0,3,0,0,0,0,4,17,0,0,0,0,0,0,0,0,0,0,0,0,23,0,6,32,3,29,0,7,5,13,7,125
UCL215074,0,0,0,4,3,0,0,9,0,0,0,0,0,0,4,19,0,0,0,0,0,0,0,0,0,0,0,0,45,8,3,63,13,27,8,0,0,15,10,194
UCL215075,0,0,0,8,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,30,5,16,3,3,0,8,7,92
UCL215076,0,0,0,7,0,0,0,6,0,9,0,0,0,0,12,32,3,0,3,0,0,3,0,0,0,0,0,11,45,13,3,102,11,55,7,10,3,5,15,264
UCL215077,0,0,0,3,0,0,0,8,0,3,0,0,0,3,10,25,0,0,0,0,0,0,0,0,0,0,0,0,27,3,0,60,7,32,3,8,0,22,10,171
UCL215078,0,0,0,3,3,0,0,8,0,3,0,0,0,0,23,37,0,0,0,0,0,0,0,0,0,0,0,3,31,6,3,66,15,40,0,14,0,13,23,208
UCL215079,0,0,0,21,13,3,0,5,4,3,3,0,0,3,13,51,0,0,0,0,0,0,0,0,0,3,0,8,91,15,7,133,28,65,8,19,7,36,13,427
UCL215080,0,0,0,4,11,0,0,4,0,6,0,0,0,0,4,26,0,0,0,0,0,0,0,0,0,0,0,0,42,7,3,67,3,27,0,4,3,11,4,177
UCL215081,0,0,0,6,4,0,0,0,0,4,0,0,0,0,4,13,0,0,0,0,0,0,0,0,0,0,0,0,19,9,0,38,9,32,0,6,3,11,4,130
UCL215082,0,0,0,3,4,0,0,0,0,3,0,0,0,0,10,13,0,0,0,0,0,0,0,0,0,0,0,3,32,6,5,53,9,25,3,3,0,6,9,147
UCL215083,0,0,0,20,6,0,0,14,0,5,0,0,3,7,16,55,0,0,0,0,0,0,0,0,0,0,0,3,58,13,5,124,18,57,5,15,9,23,16,354
UCL215084,0,0,0,14,0,3,0,6,0,7,0,0,0,3,5,27,0,0,0,0,0,0,0,0,0,0,0,3,41,11,0,88,10,47,3,20,3,12,7,245
UCL215085,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,21,0,0,0,0,0,0,0,0,0,0,0,0,22,11,3,28,3,31,3,15,5,20,10,155
UCL215086,0,0,0,9,7,0,0,8,0,0,0,0,0,0,6,21,0,0,0,0,0,0,0,0,0,0,0,0,37,3,0,69,4,19,3,11,8,15,6,173
UCL215087,0,3,0,20,12,3,3,11,0,17,0,0,0,3,21,66,0,0,0,0,0,3,0,0,0,0,0,7,90,19,11,166,10,85,3,13,3,35,23,466
UCL215088,0,0,0,5,7,0,0,0,0,0,0,0,0,0,9,24,0,0,0,0,0,0,0,0,0,0,0,0,25,5,4,45,10,23,3,7,0,17,13,137
UCL215089,5,0,0,76,8,0,3,12,0,4,0,0,0,0,19,45,0,0,0,0,0,0,0,0,0,0,0,3,56,6,3,102,6,42,0,15,3,11,23,260
UCL215090,0,0,0,46,3,0,0,13,0,9,0,0,0,0,27,60,0,0,0,0,0,0,0,0,0,0,0,3,73,24,4,180,14,96,7,18,6,16,31,470
UCL215091,0,0,0,12,6,3,0,11,0,7,0,0,0,0,18,49,5,0,0,4,0,0,0,0,0,0,3,7,66,23,3,185,19,103,8,34,11,27,22,515
UCL215092,0,0,0,4,0,0,0,4,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,32,3,18,0,11,0,10,6,97
UCL215093,0,0,0,23,7,0,0,7,0,3,0,0,3,4,12,42,0,0,0,3,0,0,0,0,0,0,0,6,65,12,3,104,11,44,10,12,8,18,18,292
UCL215094,0,0,0,16,8,4,0,12,0,3,0,0,0,3,19,48,0,0,0,0,0,0,0,0,0,0,0,7,57,19,7,114,21,62,4,9,3,22,18,345
UCL215095,0,0,0,8,0,0,0,3,0,0,0,0,0,0,4,13,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,48,8,22,0,12,3,7,4,119
UCL215096,0,0,0,5,4,0,0,0,0,0,0,0,0,0,7,21,3,0,0,0,0,0,0,0,0,0,0,3,15,3,0,29,0,22,5,4,3,22,14,125
UCL215097,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,14,0,0,0,0,0,0,0,0,0,0,0,3,15,4,0,26,5,19,0,7,0,3,9,96
UCL221001,0,0,0,4,4,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,43,9,11,3,3,0,0,6,95
UCL221002,0,0,0,5,3,0,0,0,0,3,0,0,0,0,3,14,0,0,0,0,0,0,0,0,0,0,0,3,19,6,0,20,6,19,3,0,0,4,3,88
