UCL_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
UCL221007,0,0,0,24,30,55,0,0,0,3,0,3,0,0,0,59,53,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,21,0,0,0,0,0,0,8,11,18,0,3,4,0,0,0,102,108,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,130,273,0,0,0,0,0,0,141,129,277,35,22,58,281,257,540
UCL221008,6,3,8,38,45,80,0,0,0,4,0,3,0,0,0,30,49,83,0,3,3,0,0,0,4,3,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,3,16,13,28,10,9,11,0,0,0,101,125,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,126,131,256,0,0,0,0,0,0,126,134,259,25,29,51,261,291,550
UCL221009,0,5,5,33,49,80,0,0,0,21,35,55,0,0,0,46,43,91,7,5,12,0,0,3,0,0,0,0,0,5,0,6,8,0,0,0,0,3,3,0,0,0,28,21,53,0,0,0,0,0,0,43,64,108,9,9,19,0,3,3,193,248,438,6,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,101,209,0,0,3,0,0,0,115,103,211,35,45,86,345,402,749
UCL221010,3,3,3,49,78,127,0,0,0,3,3,6,0,0,0,43,46,87,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,4,9,0,4,4,0,0,0,17,14,30,10,13,18,0,0,0,129,161,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,136,114,249,0,3,3,0,0,0,136,119,252,22,22,41,292,300,587
UCL221011,0,0,0,36,37,75,0,0,0,3,0,3,0,0,0,30,40,74,0,0,0,0,0,0,6,11,10,0,0,5,0,4,3,0,0,0,0,0,0,0,0,0,5,10,14,0,0,0,0,0,3,14,18,29,3,3,3,0,0,0,107,115,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,143,117,260,0,0,0,0,3,4,142,115,261,27,32,58,280,269,550
UCL221012,0,0,0,16,14,31,0,0,0,10,5,14,0,0,0,68,72,139,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,20,28,52,0,0,0,0,0,0,19,15,30,0,3,0,0,0,0,139,138,283,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,93,212,3,0,3,0,0,0,122,93,216,35,36,74,306,266,573
UCL221013,0,0,0,34,35,66,0,0,0,0,3,3,0,0,0,63,69,132,4,5,10,3,3,5,0,0,0,0,0,0,4,8,9,0,0,0,0,0,0,3,9,12,0,3,5,0,0,0,0,0,0,9,16,26,7,8,14,0,0,0,129,152,279,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,87,174,0,0,0,0,0,0,90,87,174,22,16,37,249,254,500
UCL221014,4,3,7,33,46,80,0,0,0,0,0,0,0,0,0,60,51,107,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,17,7,4,9,0,0,0,0,0,0,16,8,29,8,9,15,0,0,0,135,124,263,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,128,123,252,0,0,0,0,0,0,128,126,251,35,40,82,306,301,606
UCL221015,4,8,10,62,56,115,0,0,0,3,8,7,0,0,0,71,93,163,0,0,0,0,0,3,3,4,9,0,0,0,3,0,3,0,0,0,3,3,4,3,4,11,12,11,24,0,4,4,0,0,0,14,12,26,6,3,14,0,0,0,175,199,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,165,163,333,0,0,0,0,0,0,167,163,333,53,62,110,404,436,841
UCL221016,3,4,11,24,39,55,0,0,0,9,10,15,0,0,0,70,83,153,0,0,3,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,8,10,18,0,0,3,0,0,0,13,19,30,5,0,4,0,0,0,132,158,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,5,106,96,206,3,4,3,0,0,0,112,100,215,28,15,41,281,286,565
