UCL_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
UCL221076,0,0,3,35,29,66,0,0,0,3,3,8,0,0,0,46,42,85,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,3,6,7,0,0,0,0,0,0,11,6,19,5,4,9,0,0,0,110,101,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,127,96,223,3,0,3,0,0,0,131,96,225,35,27,65,283,227,516
UCL221077,3,0,3,42,64,98,0,0,0,3,7,8,0,0,0,56,47,102,0,7,7,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,4,9,9,21,3,3,6,0,0,0,26,33,58,14,13,23,3,0,7,161,181,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,81,188,0,0,0,0,0,0,105,81,188,66,55,124,339,322,663
UCL221078,0,4,10,45,46,91,0,0,0,0,3,4,0,0,0,92,95,188,3,3,3,5,9,11,0,0,3,0,0,0,7,7,13,0,0,0,0,0,3,4,3,7,9,10,22,0,0,3,0,0,0,4,5,15,7,11,13,0,0,0,186,193,380,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,92,71,164,0,0,0,0,0,0,92,71,164,48,42,82,327,312,641
UCL221079,0,3,3,78,91,171,0,0,0,3,16,16,3,9,8,73,111,186,0,0,0,6,4,8,14,7,19,3,0,4,0,0,3,0,0,5,0,3,3,0,0,0,12,8,24,0,0,0,0,0,3,13,17,34,5,5,12,0,0,0,225,276,497,7,3,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,161,350,0,0,0,3,0,3,190,165,357,46,59,107,470,505,972
UCL221080,0,4,3,23,30,53,0,0,0,0,10,8,0,0,0,55,68,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,25,43,0,0,0,0,0,0,40,64,103,0,3,7,0,0,0,145,201,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,90,76,164,3,0,3,0,0,0,90,79,165,33,39,73,265,318,588
UCL221081,11,4,12,81,100,180,0,0,0,11,15,29,0,0,0,64,94,163,0,0,0,0,0,0,3,0,3,0,0,0,6,13,21,0,0,0,5,3,9,0,3,3,12,11,21,0,0,0,0,0,0,23,33,51,8,15,31,0,0,0,223,289,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,7,7,185,209,402,0,0,4,0,0,0,189,209,405,28,42,65,444,554,999
UCL221082,0,0,0,47,47,91,0,0,0,0,0,0,0,0,0,44,51,99,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8,29,0,0,0,0,0,0,24,24,43,3,5,6,0,0,0,138,142,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,123,272,0,3,3,0,0,0,151,123,279,25,24,49,312,294,604
UCL222001,0,0,0,17,26,40,0,0,0,0,0,0,0,0,0,38,43,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,3,11,16,24,3,3,4,0,0,0,78,88,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,54,111,0,0,0,0,0,0,57,54,111,6,7,17,144,144,284
UCL222002,0,0,4,38,35,69,0,0,0,0,0,0,0,0,0,10,24,37,3,0,3,9,5,8,0,0,4,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,0,0,0,0,0,0,8,8,10,4,5,7,0,0,0,76,82,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,103,196,0,0,0,0,0,0,96,103,197,16,23,37,191,206,394
UCL222003,0,0,0,15,28,46,0,0,0,0,3,3,0,0,0,40,40,77,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,3,0,0,0,0,0,0,3,4,5,4,0,3,0,0,0,71,78,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,44,101,0,0,0,0,0,0,52,44,101,3,3,12,137,125,260
UCL222004,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,9,0,0,0,0,0,0,6,4,9,5,8,11,19,12,32
UCL222005,0,0,0,16,16,31,0,0,0,3,3,3,0,0,0,18,26,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,21,0,0,0,0,0,0,9,10,19,0,0,0,0,0,0,61,64,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,30,76,0,0,0,0,0,0,44,36,75,18,14,30,119,108,229
UCL222006,0,0,3,39,35,75,0,0,0,0,0,0,0,0,0,42,37,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,9,10,9,17,0,0,0,0,0,0,8,14,17,8,8,18,0,0,0,108,111,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,48,110,0,0,0,0,0,0,64,51,116,25,18,42,199,174,370
UCL222007,0,0,0,19,21,35,0,0,0,0,3,5,0,0,0,20,13,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,0,0,0,0,0,0,5,7,13,3,0,3,0,0,0,50,56,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,39,78,0,0,0,0,0,0,44,39,78,9,3,9,99,96,199
UCL222008,4,3,7,18,26,44,0,0,0,3,4,8,0,0,0,19,23,41,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,7,3,6,0,0,0,0,0,0,5,3,13,0,0,0,0,0,0,53,60,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,52,127,0,0,0,0,0,0,71,52,127,21,18,43,153,138,294
UCL222009,5,6,10,30,44,75,0,0,0,5,0,3,0,0,0,32,21,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,10,0,0,0,0,0,0,19,12,28,0,0,3,0,0,0,89,88,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,46,97,0,0,0,0,0,0,55,46,97,23,13,35,176,158,326
UCL222010,3,0,3,13,11,23,0,0,0,0,0,0,0,0,0,72,82,154,0,0,0,6,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,3,0,0,0,0,0,0,4,10,9,0,4,4,0,0,0,104,115,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,40,93,0,0,0,0,0,0,54,40,93,27,31,62,188,182,370
UCL222011,0,0,0,37,29,65,0,0,0,3,9,5,0,0,0,22,27,56,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,3,6,0,0,3,5,4,7,0,0,0,0,0,0,4,14,14,3,3,14,0,0,0,82,94,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,3,4,8,83,78,161,0,0,0,0,0,0,83,78,161,4,7,14,174,184,359
UCL222012,0,0,0,28,25,61,0,0,0,0,0,0,0,0,0,39,34,76,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,9,8,15,0,0,0,0,0,0,8,4,13,0,0,0,0,0,0,88,90,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,54,118,0,0,0,0,0,0,64,54,118,17,11,29,167,155,318
UCL222013,0,3,3,31,23,56,0,0,0,0,0,3,0,0,0,8,16,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,0,7,5,10,3,0,3,0,0,0,52,55,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,37,93,0,0,0,0,0,0,50,37,89,20,18,37,120,114,233
UCL222014,0,3,3,21,43,65,0,0,0,0,0,3,0,0,0,42,35,80,0,0,0,0,0,5,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,7,6,16,0,0,0,0,0,0,4,4,6,0,4,5,3,0,3,83,112,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,57,130,0,0,0,3,0,3,78,61,140,19,16,42,189,193,379
UCL222015,9,9,16,34,34,66,0,0,0,0,0,0,0,0,0,61,58,116,0,0,3,10,6,13,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,11,4,14,0,0,0,0,0,0,14,22,33,0,3,3,0,0,0,125,123,255,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,3,0,4,3,0,4,88,66,155,3,0,3,0,0,0,91,66,154,20,21,39,241,221,469
UCL222016,0,0,0,24,35,59,0,0,0,0,5,3,0,0,0,45,46,96,0,0,0,3,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,3,0,7,5,0,0,0,3,3,6,3,3,6,3,3,9,0,0,0,90,98,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,69,162,0,0,0,0,0,0,94,66,160,24,17,36,212,182,398
UCL222017,0,3,5,27,39,63,0,0,0,0,0,0,0,0,0,57,56,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,7,0,0,0,4,10,13,0,4,4,0,0,0,91,118,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,4,3,5,116,105,222,0,0,0,4,3,7,119,107,224,14,14,32,233,245,474
UCL222018,0,0,0,32,40,64,0,0,0,7,3,4,0,0,3,28,35,63,0,4,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,4,12,0,6,6,0,0,3,10,11,21,11,10,19,0,0,0,94,112,208,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,3,5,70,77,148,0,0,0,0,0,0,72,77,150,21,22,48,194,220,416
UCL222019,0,0,0,14,21,34,0,0,0,0,0,0,0,0,0,25,17,42,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,16,6,17,0,0,0,0,0,0,5,13,22,3,5,6,0,0,0,65,69,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,33,72,0,0,0,0,0,0,41,30,77,29,30,57,133,131,266
UCL222020,0,0,0,17,26,38,0,0,0,0,0,0,0,0,0,18,31,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,23,0,0,0,0,0,0,14,12,26,3,3,3,0,0,0,63,81,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,22,68,0,0,0,0,0,0,43,22,68,15,15,29,128,120,246
UCL222021,0,3,5,6,12,18,0,0,0,0,0,0,0,0,0,4,11,14,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,3,9,0,0,0,0,0,0,24,31,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,38,77,0,0,0,0,0,0,35,38,77,48,58,105,105,124,230
UCL222022,0,3,3,23,21,44,0,0,0,0,0,0,0,0,0,28,25,57,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,7,4,7,0,0,0,3,0,7,10,10,15,5,10,11,0,0,0,75,70,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,87,186,0,0,0,0,0,0,102,87,187,15,17,30,198,174,370
UCL222023,0,0,0,12,15,28,0,0,0,0,0,0,0,0,0,15,26,40,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,23,24,45,3,0,3,0,0,0,57,70,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,100,0,0,0,0,0,0,50,50,100,16,14,32,120,137,260
UCL222024,4,0,5,23,24,47,0,0,0,0,3,5,0,0,0,18,22,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,3,3,0,0,0,0,0,3,12,8,13,0,0,0,0,0,0,63,65,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,49,115,0,0,0,0,0,0,65,49,115,13,11,21,139,130,264
UCL222025,0,0,0,23,31,54,0,0,0,0,0,0,0,0,0,42,45,85,5,3,3,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,4,3,3,3,0,0,0,0,0,0,6,8,19,3,8,10,0,0,0,91,100,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,100,101,201,0,0,0,0,0,0,100,101,200,25,20,43,225,223,444
UCL222026,0,0,3,8,10,15,0,0,0,3,0,3,0,0,0,16,11,24,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,3,4,3,0,0,3,0,0,0,29,22,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,66,155,0,0,0,0,0,0,91,65,152,44,35,75,165,133,293
UCL222027,0,0,0,4,14,14,0,0,0,0,0,0,0,0,0,17,23,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,6,10,12,3,0,3,0,0,0,33,45,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,53,101,0,0,0,0,0,0,48,53,101,7,7,17,85,114,199
UCL222028,0,0,0,26,28,52,0,0,0,0,0,0,0,0,0,43,28,72,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,8,8,22,0,0,0,0,0,0,4,10,16,9,11,12,0,0,0,93,96,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,55,127,0,0,0,0,0,0,65,55,125,8,11,13,169,163,329
UCL222029,0,0,0,20,17,37,0,0,0,0,0,0,0,0,0,33,42,78,0,0,0,3,0,3,0,0,0,0,0,0,0,3,6,0,0,0,5,3,7,0,0,0,11,4,16,0,0,3,0,0,0,13,5,14,12,3,14,0,0,0,88,85,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,50,107,0,0,0,0,0,0,59,55,112,9,4,12,156,143,301
UCL222030,0,3,3,61,42,100,0,0,0,3,3,6,0,0,0,30,38,75,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,10,9,22,0,3,3,0,3,3,4,10,10,6,5,13,0,0,0,119,117,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,65,137,0,0,0,0,0,0,78,65,137,33,27,58,232,215,444
UCL222031,0,0,0,23,26,50,0,0,0,0,0,6,0,0,0,39,34,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,16,0,0,0,0,3,3,8,5,11,0,8,6,0,0,0,81,79,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,48,91,0,0,0,0,0,0,47,48,91,9,12,20,138,139,271
UCL222032,0,0,4,26,32,58,0,0,0,0,0,0,0,0,0,56,70,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,0,0,0,0,0,0,9,10,12,11,11,17,0,0,0,101,128,232,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,68,75,151,0,0,0,0,0,0,68,75,151,35,41,71,209,249,455
UCL222033,0,0,0,12,16,31,0,0,0,0,0,0,0,0,0,17,27,41,0,0,0,3,0,3,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,4,3,4,0,3,4,0,0,0,15,19,39,0,0,0,0,0,0,57,70,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,35,66,0,0,0,0,0,0,37,38,70,7,7,21,100,117,219
UCL222034,0,3,3,9,8,23,0,0,0,0,0,0,0,0,0,6,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,7,3,3,7,0,0,0,4,0,4,0,3,3,0,0,0,29,30,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,59,58,120,0,0,0,0,0,0,59,61,117,11,11,24,96,111,205
UCL222035,0,0,0,29,27,51,0,0,0,0,0,0,0,0,0,31,24,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,5,0,0,0,0,0,0,5,20,28,0,0,0,0,0,0,67,76,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,42,100,0,0,0,0,0,0,59,42,100,15,20,27,138,136,275
UCL222036,5,7,6,15,14,34,0,0,0,0,0,0,0,0,0,21,27,45,0,0,0,0,0,0,0,0,0,0,0,0,7,12,21,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,10,19,29,3,3,3,0,0,0,66,80,146,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,49,127,0,0,0,0,0,0,73,55,123,19,13,32,165,152,316
UCL222037,0,0,0,15,7,18,0,0,0,0,0,0,0,0,0,19,24,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,8,7,4,3,11,0,0,0,46,50,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,41,102,0,0,0,0,0,0,57,41,100,20,13,31,120,107,223
UCL222038,0,3,6,12,15,27,0,0,0,0,0,3,0,0,0,21,29,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,5,3,7,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,49,56,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,46,107,0,0,0,0,0,0,62,46,108,30,26,55,140,136,274
UCL222039,0,0,3,32,35,59,0,0,0,3,3,4,0,0,0,30,14,43,0,0,0,8,0,4,0,0,0,0,0,0,10,13,25,0,0,5,0,0,0,0,0,0,12,4,19,0,0,0,0,0,0,16,17,37,3,0,3,0,0,0,104,94,198,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,50,103,0,0,0,0,0,0,56,50,103,19,19,36,179,161,342
UCL222040,0,0,0,8,16,28,0,0,0,5,7,13,0,0,0,18,18,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,13,0,0,0,0,3,3,20,13,34,0,0,0,0,0,0,59,63,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,22,49,0,0,0,0,0,0,29,22,49,21,20,42,106,108,213
UCL222041,3,3,4,14,11,25,0,0,0,0,0,3,0,0,0,21,28,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,11,0,0,0,0,0,0,17,16,26,0,0,0,0,0,0,62,61,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,40,79,0,0,0,0,0,0,34,39,74,14,13,30,111,118,233
UCL222042,0,0,0,20,20,38,0,0,0,0,0,0,0,0,0,16,19,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,0,0,0,0,0,0,15,11,24,5,4,7,0,0,3,61,59,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,37,79,0,0,0,0,0,0,40,37,79,17,10,23,118,105,222
UCL222043,0,0,3,24,36,58,0,0,0,0,7,7,0,0,0,35,34,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,3,3,5,0,0,0,0,0,0,10,7,18,0,4,9,0,0,0,82,99,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,66,142,0,0,0,0,0,3,72,67,142,9,5,14,167,167,337
UCL222044,0,0,0,19,19,43,0,0,0,4,3,7,0,0,0,29,33,67,0,0,0,0,3,3,0,0,0,0,0,0,0,0,4,3,3,4,0,0,0,4,4,6,7,3,9,0,0,0,0,0,0,3,6,9,0,0,5,0,0,3,78,78,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,88,82,166,0,0,0,0,0,0,88,83,170,13,18,29,172,173,345
UCL222045,0,0,0,24,22,46,0,0,0,3,0,8,0,0,0,46,44,88,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,6,6,12,10,19,0,3,4,0,0,0,93,95,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,43,105,0,0,7,0,0,0,59,47,109,10,15,24,159,156,321
UCL222046,0,0,0,27,30,53,0,0,0,0,0,0,0,0,0,33,37,62,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,6,4,0,0,0,0,0,0,23,16,33,0,0,4,0,0,0,80,86,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,25,54,0,0,0,0,0,0,31,25,54,20,13,26,127,124,252
UCL222047,0,5,6,41,32,77,0,0,0,0,0,0,0,0,0,37,38,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,10,12,22,0,0,0,3,6,7,16,28,45,3,0,0,0,0,0,112,118,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,79,187,0,0,0,0,0,0,106,82,186,32,19,44,249,224,473
UCL222048,0,3,3,29,29,58,0,0,0,0,0,0,0,0,0,22,44,70,0,0,0,0,0,0,0,0,3,0,0,0,0,4,6,0,0,0,0,0,0,3,0,3,12,9,19,0,0,0,0,0,4,7,9,10,7,9,7,0,0,0,86,99,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,71,62,132,3,0,3,0,0,0,73,67,139,26,28,54,191,196,388
UCL222049,3,0,3,16,19,37,0,0,0,0,0,0,0,0,0,27,26,52,0,0,0,3,3,4,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,0,0,0,5,13,20,0,0,0,0,0,0,10,3,6,0,0,0,0,0,0,61,70,128,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,44,108,0,0,0,0,0,0,66,41,110,17,14,27,153,124,278
UCL222050,0,0,0,35,39,78,0,0,0,0,0,0,0,0,0,34,36,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,3,0,10,3,0,5,0,0,0,92,79,170,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,47,33,81,0,0,0,0,0,0,47,33,81,13,13,18,148,128,271
UCL222051,0,0,0,49,39,90,0,0,0,0,4,8,0,0,0,50,57,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,3,3,8,17,0,0,0,0,0,0,16,26,40,0,0,3,0,0,0,129,144,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,51,45,94,0,0,0,0,0,0,51,45,94,19,10,31,197,199,399
UCL222052,0,0,0,10,13,24,0,0,0,3,3,6,0,0,0,19,19,40,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,4,8,13,0,0,0,0,0,0,14,26,44,0,0,0,0,0,0,63,78,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,20,47,0,0,0,0,0,0,31,26,50,12,8,22,98,109,215
