UCL_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
UCL212005,130,542,127,180,19,1141,133,169,697,368,508,77,1965,9,5,15,28,56,10,125,7,7,28,53,254,18,371,9,7,30,24,120,49,230,402,443,2239,1409,3780,403,8679
UCL213001,80,254,91,111,12,630,37,40,208,154,212,27,684,0,0,17,20,30,3,76,3,3,16,30,142,10,211,3,0,21,21,98,22,163,247,189,997,879,2330,204,4852
UCL213002,43,137,52,69,10,333,40,45,162,148,216,26,636,0,0,8,13,12,0,36,0,0,10,30,125,8,171,0,0,13,10,50,24,94,103,112,571,515,1560,191,3047
UCL213003,36,137,45,51,5,288,26,20,122,119,228,42,555,0,0,4,9,21,0,38,4,0,7,16,93,0,122,0,0,8,8,63,28,105,74,79,481,492,1638,201,2967
UCL213004,59,162,72,66,6,412,18,30,135,107,184,23,491,0,0,6,7,11,3,35,7,4,15,23,125,4,178,4,4,5,14,71,17,119,105,137,539,511,1672,140,3101
UCL213005,61,153,69,48,11,380,29,48,188,162,260,19,700,0,3,12,15,13,3,51,0,3,11,36,119,4,169,4,0,20,14,68,16,127,119,150,698,655,1685,144,3460
UCL213006,58,191,55,49,8,386,37,47,206,147,202,33,669,0,3,12,5,28,4,52,3,0,10,32,126,4,174,6,5,21,16,65,30,139,103,144,746,532,1680,183,3383
UCL213007,81,224,59,73,10,478,75,76,307,214,289,37,993,0,0,15,12,33,3,69,3,3,18,37,175,3,240,5,3,9,20,48,33,124,194,197,936,767,2100,199,4389
UCL213008,49,178,69,71,13,434,25,42,177,153,226,27,657,3,0,26,13,21,0,62,8,3,21,24,106,3,167,3,0,16,28,58,18,137,169,147,903,824,1970,163,4172
UCL213009,25,152,85,69,6,381,32,51,211,163,263,28,742,3,0,9,13,24,0,50,4,0,9,25,134,8,187,3,0,5,19,68,13,111,137,112,725,738,1837,123,3674
UCL213010,39,108,78,80,5,326,16,26,135,139,274,30,620,0,0,5,10,22,5,41,0,3,6,25,122,5,166,0,0,8,20,76,29,133,62,90,431,530,1972,210,3296
UCL213011,33,73,40,58,12,223,24,21,115,97,185,27,473,0,0,5,3,10,0,24,0,3,4,13,86,7,109,0,0,6,4,71,28,105,56,84,400,413,1419,166,2538
UCL213012,153,432,117,74,22,951,149,136,436,186,222,51,1163,10,7,25,20,43,3,106,15,4,34,42,107,4,198,13,9,39,31,70,18,174,512,461,1917,1066,2010,192,6157
UCL213013,32,127,41,45,3,259,18,34,121,98,195,24,491,0,0,3,7,11,0,22,0,0,11,14,78,9,110,0,0,4,6,54,19,89,64,87,419,358,1346,140,2418
UCL213014,80,185,65,61,4,435,77,64,251,126,195,40,754,0,0,3,11,10,0,25,0,3,11,27,106,7,151,0,0,11,17,73,18,114,190,189,870,654,1621,170,3695
UCL213015,55,181,38,68,3,360,27,32,159,103,145,13,482,0,0,6,8,26,0,38,0,0,9,15,118,6,142,0,0,8,13,56,13,92,63,101,600,432,1306,142,2651
UCL213016,122,453,104,62,25,921,104,101,435,184,119,34,968,9,5,21,23,25,3,94,4,8,29,50,104,3,200,10,6,53,34,61,31,197,506,359,2112,1060,1794,200,6038
UCL213017,78,256,70,92,13,563,82,98,384,252,321,46,1186,0,4,15,15,30,4,60,9,3,18,35,158,4,229,3,0,13,30,86,28,160,218,241,1092,886,2337,215,4990
UCL213018,108,280,75,101,17,669,56,46,210,143,176,21,656,3,0,5,13,16,7,48,4,5,24,31,115,9,193,0,3,16,14,61,13,107,255,238,972,694,1752,156,4059
UCL214001,31,68,14,18,3,145,15,18,81,63,134,14,331,0,0,4,7,6,0,23,4,0,3,13,59,0,84,0,0,4,4,29,17,53,44,67,298,266,853,130,1657
UCL214002,48,107,30,48,9,266,24,23,108,107,153,30,445,0,0,5,3,18,0,30,0,0,7,15,70,3,96,0,3,6,9,45,15,83,86,87,377,386,1088,153,2174
UCL214003,67,138,40,26,11,389,67,69,168,107,104,15,521,6,5,31,16,5,5,67,8,3,22,11,53,0,100,11,12,17,16,41,13,105,304,224,752,404,790,122,2591
UCL214004,11,48,15,14,0,96,13,7,43,44,52,8,162,0,0,0,0,3,0,9,0,0,6,11,40,3,54,0,0,4,6,28,9,51,32,24,192,184,580,76,1087
UCL214005,3,7,3,6,0,15,0,0,15,4,13,4,36,0,0,0,0,0,0,0,0,0,0,3,16,0,17,0,0,0,3,8,4,13,0,8,38,37,151,21,259
UCL214006,65,214,55,50,9,447,43,54,170,75,82,10,439,3,4,17,4,16,3,43,3,0,17,18,72,0,114,3,4,21,15,39,12,97,225,208,949,581,1225,90,3276
UCL214007,41,136,37,64,11,313,28,38,181,114,153,17,538,0,0,8,8,15,3,33,3,3,12,15,92,5,130,0,0,5,5,34,11,61,107,116,514,365,1207,115,2427
UCL214008,44,87,47,34,7,239,20,23,99,98,108,14,358,11,5,19,13,21,0,76,3,3,13,24,89,4,133,3,7,23,10,54,27,121,92,100,540,453,1100,127,2421
UCL214009,36,99,19,26,4,216,29,21,71,48,50,10,232,0,0,7,10,9,0,26,0,0,4,10,32,0,50,5,0,6,13,28,16,65,91,85,351,234,501,60,1320
UCL214010,47,86,23,37,3,229,10,12,80,66,84,12,259,3,0,4,11,21,0,40,4,0,3,10,54,7,84,3,0,9,16,47,13,91,81,82,335,340,935,97,1864
UCL214011,27,83,20,22,3,167,13,16,65,70,108,16,288,0,0,3,5,0,0,8,0,0,4,3,71,3,85,0,0,5,3,21,6,39,38,50,266,227,739,78,1399
UCL214012,17,46,23,20,0,117,7,20,57,46,85,12,220,0,0,0,0,7,0,16,0,0,6,7,43,0,56,0,0,6,5,27,8,45,39,44,178,192,676,60,1186
UCL214013,24,76,18,22,6,151,19,22,60,67,63,13,245,0,0,3,4,7,0,18,0,0,3,3,42,0,51,0,0,3,12,23,9,45,47,63,230,200,637,64,1241
UCL214014,18,65,9,34,10,147,9,4,62,61,135,19,289,0,0,4,3,15,0,25,0,0,3,4,55,3,66,0,0,6,4,32,22,65,39,37,220,197,809,106,1412
UCL214015,19,58,26,22,5,165,16,15,75,50,84,10,257,0,0,4,3,13,0,23,0,3,6,6,35,3,49,3,0,9,13,21,10,56,76,61,305,261,623,89,1417
UCL214016,17,52,23,17,0,119,9,5,44,60,68,8,195,0,0,0,3,12,3,16,0,0,3,14,49,7,70,0,0,0,3,25,9,36,28,35,208,250,654,86,1260
UCL214017,10,55,21,18,3,113,7,15,72,67,102,24,296,0,0,8,8,13,0,21,4,0,0,4,30,3,39,0,0,0,0,25,11,37,37,37,212,209,650,100,1236
UCL214018,28,79,49,42,5,228,16,31,74,91,113,19,342,0,0,4,3,21,3,27,3,0,6,8,115,9,146,0,0,4,12,63,27,107,80,94,373,427,1268,139,2379
UCL214019,27,39,24,32,3,135,14,19,79,62,125,26,321,0,0,4,5,18,0,27,0,0,11,12,64,4,90,0,0,6,10,34,10,64,41,61,234,233,896,122,1584
UCL214020,20,85,29,29,6,183,17,15,100,61,79,18,295,0,0,3,3,20,4,25,0,0,9,8,66,3,85,0,0,5,4,38,7,55,41,56,328,265,939,116,1752
UCL215001,6,32,6,5,0,61,9,3,25,13,6,0,56,0,0,5,5,3,0,15,3,0,0,0,3,0,8,0,3,4,0,4,0,12,29,21,132,73,104,20,372
UCL215002,16,40,11,19,0,99,5,4,29,24,27,5,94,3,0,3,4,0,0,13,0,0,0,0,15,0,15,0,0,0,3,16,3,20,21,27,122,102,290,26,594
UCL215003,25,60,11,13,0,131,16,9,61,21,11,7,130,4,3,12,8,17,0,38,0,0,6,4,16,3,33,0,3,12,3,9,8,35,74,55,305,144,251,31,867
UCL215004,12,21,0,0,0,37,8,3,11,11,11,0,46,3,0,0,0,3,0,7,0,0,0,0,7,0,8,0,0,0,3,4,0,12,17,18,85,75,175,28,404
UCL215005,6,27,16,11,0,73,6,17,31,11,34,3,103,0,0,0,3,0,0,9,0,3,3,3,17,0,23,0,0,3,3,20,0,32,26,41,126,97,272,28,587
UCL215006,21,66,14,8,0,127,12,9,34,36,24,5,127,0,0,9,3,5,0,12,0,0,3,0,9,0,19,0,0,3,3,11,3,22,54,54,222,155,264,32,783
UCL215007,26,82,37,24,0,189,9,20,78,49,102,12,267,0,0,5,8,0,0,16,0,0,3,14,55,0,81,0,0,4,3,35,11,58,45,63,289,292,835,62,1593
UCL215008,10,39,5,14,0,76,14,14,38,21,30,3,123,0,0,0,3,0,0,3,0,0,0,3,25,0,29,0,0,5,3,16,3,28,35,37,141,126,296,19,654
UCL215009,0,6,0,3,0,8,0,4,3,5,15,3,28,0,0,0,0,3,0,7,0,0,0,0,9,0,12,0,0,0,0,4,0,8,3,8,25,23,102,11,163
UCL215010,18,42,9,10,0,94,7,3,40,10,16,0,81,0,0,3,3,6,0,14,0,0,3,4,24,0,31,0,3,7,12,25,3,40,43,39,198,129,338,29,768
UCL215011,0,4,6,0,0,12,3,3,8,12,10,3,34,0,0,0,0,3,0,3,0,0,0,0,7,3,6,0,0,0,0,5,0,3,6,4,28,40,93,17,185
UCL215012,35,49,10,11,3,133,31,18,69,61,43,8,228,3,3,3,3,4,0,14,4,0,7,3,15,3,32,3,0,8,6,11,0,29,80,88,261,181,309,48,964
UCL215013,8,21,9,14,0,50,4,7,23,16,20,3,69,0,0,0,0,6,0,9,0,0,4,11,12,4,31,5,0,5,0,20,8,38,17,13,99,126,263,36,556
UCL215014,5,10,11,4,0,32,0,5,11,16,25,0,48,0,0,0,0,3,3,3,0,0,0,0,14,0,16,0,0,0,6,11,3,22,5,7,41,64,221,16,358
UCL215015,8,36,4,3,3,67,4,11,26,22,19,0,82,0,0,4,3,3,0,14,0,0,3,0,8,0,17,0,0,3,7,6,0,18,32,35,181,121,237,30,632
UCL215016,14,35,12,14,4,90,3,7,30,42,41,8,135,0,0,0,5,10,0,21,0,0,0,5,36,3,43,0,0,0,9,28,9,40,18,25,115,184,558,61,969
UCL215017,9,23,11,13,0,66,4,5,16,20,32,4,79,0,0,0,0,0,0,4,0,0,0,4,34,3,45,0,0,3,0,11,8,20,11,16,82,102,314,29,559
UCL215018,11,52,10,18,0,99,7,5,37,27,55,8,142,0,0,0,0,0,0,3,0,0,3,3,28,0,39,0,0,3,3,12,7,21,34,18,151,89,362,46,694
UCL215019,19,45,9,9,0,82,3,3,23,15,18,0,60,5,0,11,11,12,0,39,0,0,0,3,8,0,14,0,0,0,0,6,5,19,21,24,140,88,228,28,528
UCL215020,3,15,3,3,0,34,3,3,14,16,23,3,70,0,0,0,0,0,0,3,0,0,0,0,9,0,7,0,0,0,0,7,3,8,9,7,40,40,131,23,241
UCL215021,0,3,3,4,0,22,0,9,23,13,19,0,65,0,0,0,0,0,0,0,0,0,3,0,15,0,16,0,0,0,3,7,3,14,6,14,55,60,172,20,323
UCL215022,16,51,23,26,3,145,11,13,65,42,51,4,187,0,0,3,0,7,0,12,0,0,5,5,22,0,36,0,0,3,4,16,9,31,49,32,204,154,493,54,995
UCL215023,3,12,8,8,0,36,0,3,17,8,30,3,62,0,0,0,0,0,0,0,0,0,0,0,13,0,15,0,0,0,0,9,3,13,0,12,58,52,210,23,353
UCL215024,3,22,3,7,0,40,3,3,16,13,18,4,56,0,0,0,0,0,0,3,0,0,0,3,19,0,24,0,0,0,0,7,3,14,7,13,59,53,188,22,343
UCL215025,12,14,0,5,0,36,6,4,11,11,23,0,56,0,0,0,0,6,0,3,0,0,0,0,23,0,20,0,0,0,0,3,3,6,11,12,39,36,152,16,272
UCL215026,12,57,12,7,0,93,11,10,45,34,48,12,165,0,0,22,23,17,8,73,0,0,9,7,28,3,45,0,0,4,5,13,11,31,40,42,227,220,493,79,1097
UCL215027,13,27,13,6,0,71,11,14,31,34,39,9,128,0,0,4,3,5,0,14,0,0,0,7,27,3,34,3,0,0,3,12,3,24,26,38,107,128,314,27,640
UCL215028,12,41,9,10,3,96,15,25,74,51,34,10,195,0,0,7,8,9,0,28,0,6,3,6,13,3,33,4,0,4,4,10,10,30,88,69,291,187,319,58,1012
UCL215029,13,27,6,7,4,67,4,8,25,21,33,4,89,0,0,3,3,0,8,11,0,0,3,9,27,3,39,0,0,3,0,24,0,29,25,22,153,131,344,47,709
UCL215030,3,23,3,3,0,38,0,0,15,29,28,3,74,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,3,0,12,6,6,49,64,133,11,273
UCL215031,10,25,5,5,0,44,3,0,14,13,23,3,58,0,0,0,0,0,0,0,0,0,0,0,11,0,13,0,0,0,0,0,0,3,8,10,61,45,147,26,287
UCL215032,13,36,12,15,3,77,3,8,30,30,35,3,106,0,0,3,9,13,0,24,0,3,4,5,21,0,35,0,0,3,3,12,10,22,25,31,134,115,333,41,672
UCL215033,28,81,17,14,9,160,3,19,31,19,27,7,108,0,0,3,0,5,0,11,0,0,3,5,21,0,33,0,0,6,3,20,3,28,49,59,246,184,409,40,1001
UCL215034,3,11,5,5,0,27,3,3,7,7,8,3,38,3,0,0,0,3,0,9,0,0,3,0,13,0,18,0,0,0,0,3,7,9,10,13,47,33,111,15,227
UCL215035,8,28,9,9,0,50,0,9,11,14,16,0,51,0,0,0,0,3,0,3,0,0,0,3,20,3,25,0,0,0,4,14,0,14,14,15,57,52,226,9,373
UCL215036,4,23,4,5,0,42,0,0,15,16,18,6,52,0,3,3,0,0,0,9,0,0,0,3,15,0,22,0,0,4,0,5,0,15,7,15,86,53,177,23,365
UCL215037,3,10,3,3,0,19,3,0,9,13,20,4,48,0,0,0,0,3,0,3,0,0,0,0,14,0,19,0,0,0,0,4,4,8,10,10,43,49,179,19,308
UCL215038,4,7,0,3,3,21,0,0,16,8,30,0,50,0,0,0,4,0,0,8,0,0,0,8,12,0,19,0,0,0,0,10,4,14,8,3,41,35,191,27,300
UCL215039,5,3,0,3,3,19,3,0,8,10,21,0,40,0,0,0,0,3,0,3,0,0,0,3,4,0,10,0,0,0,0,14,9,21,0,6,26,34,163,31,268
UCL215040,12,46,9,15,6,90,7,7,40,37,67,13,171,0,0,0,0,4,0,9,0,0,3,7,38,0,44,0,0,0,7,17,14,39,17,28,162,131,442,79,848
UCL215041,4,19,6,20,0,55,0,4,20,20,32,4,83,0,0,0,0,4,0,8,0,0,0,3,26,0,36,0,0,0,0,15,4,21,9,17,72,92,360,35,580
UCL215042,7,25,12,7,0,61,6,15,20,20,33,4,95,0,0,0,0,3,0,4,0,0,0,0,24,0,26,0,0,0,3,6,5,11,20,22,89,68,245,28,472
UCL215043,13,34,15,10,4,78,3,8,42,20,66,16,159,0,3,0,0,6,0,11,0,0,4,4,42,0,49,0,0,0,0,19,17,44,15,36,148,118,480,69,858
UCL215044,36,67,17,21,4,171,22,20,68,35,60,9,206,6,0,12,4,5,0,26,0,0,8,7,34,5,51,3,0,6,9,17,8,41,100,94,338,222,507,84,1340
UCL215045,12,23,8,15,0,58,5,5,20,17,8,3,62,0,0,0,0,3,0,6,0,0,0,8,22,3,31,0,0,3,3,21,0,23,12,20,73,85,229,25,451
UCL215046,9,8,3,5,0,27,0,3,11,14,22,3,51,0,0,0,0,3,0,3,0,0,3,0,16,0,21,0,0,0,0,12,0,18,0,9,33,40,186,25,295
UCL215047,3,11,8,8,0,35,3,0,7,13,27,3,60,0,0,0,0,3,0,7,0,0,0,4,20,0,26,0,0,0,0,3,3,5,10,7,40,62,215,23,362
UCL215048,4,13,3,0,0,27,3,3,9,6,10,3,35,0,0,3,0,4,0,12,0,0,0,3,3,0,5,0,0,6,0,3,3,15,27,14,91,55,109,20,315
UCL215049,31,75,18,8,3,167,16,17,56,19,22,7,125,5,0,9,3,4,3,22,3,0,12,6,14,3,35,4,4,19,3,13,7,51,117,80,341,157,258,52,1009
UCL215050,25,61,16,27,5,143,13,9,55,40,63,4,187,0,3,5,3,4,0,12,0,0,3,8,51,3,66,0,0,7,3,33,0,47,35,44,211,154,584,53,1082
UCL215051,7,14,3,6,3,39,5,9,27,8,12,0,59,3,4,3,0,3,0,11,0,0,0,0,10,0,11,0,0,3,0,3,0,7,30,21,95,54,122,19,340
UCL215052,21,49,25,21,3,129,7,4,42,35,33,5,119,3,0,0,5,5,0,14,0,0,3,7,48,0,56,0,0,0,3,21,6,34,41,36,200,157,537,52,1031
UCL215053,11,13,0,11,3,36,0,3,14,19,41,5,86,0,0,0,0,0,0,0,0,0,0,3,14,0,21,0,0,0,0,10,4,10,3,11,39,53,261,22,397
UCL215054,5,10,6,4,0,19,0,3,11,10,40,3,80,0,0,0,0,6,0,8,0,0,0,0,21,0,25,0,0,0,3,3,3,10,6,12,44,50,218,22,341
UCL215055,12,34,8,7,0,63,3,4,27,18,26,4,83,0,0,3,0,0,0,3,0,0,0,3,7,0,18,0,0,0,3,9,3,14,8,19,109,92,226,31,481
UCL215056,0,12,3,5,0,21,0,0,6,23,14,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,9,8,6,36,40,123,19,239
UCL215057,17,47,12,14,0,100,3,5,19,19,18,0,63,0,0,13,0,12,0,27,0,0,4,0,6,0,17,0,0,0,0,3,0,6,24,30,137,83,191,23,493
UCL215058,5,17,3,7,0,40,4,5,41,26,49,6,133,0,0,0,0,3,0,3,0,0,5,4,30,0,34,0,0,3,6,16,3,28,13,16,100,107,337,45,621
UCL215059,3,30,6,4,0,46,3,0,18,15,19,0,59,0,0,0,3,3,0,7,0,0,0,0,10,0,9,0,0,0,0,9,7,18,10,8,85,74,226,20,415
UCL215060,11,19,3,14,0,59,4,5,18,20,17,3,72,0,0,0,3,0,0,5,0,0,0,3,17,0,22,0,0,0,3,8,4,20,16,21,60,54,169,29,346
UCL215061,4,29,0,3,0,38,4,11,31,22,63,5,134,0,0,0,0,3,0,3,0,0,0,0,16,0,17,0,0,0,0,8,5,18,14,11,80,54,232,23,419
UCL215062,14,40,17,15,0,97,3,16,36,40,65,9,172,0,0,0,0,7,0,4,0,0,3,5,36,0,43,0,0,0,3,14,4,25,16,33,131,147,431,48,816
UCL215063,8,19,4,15,0,43,8,7,12,21,28,7,82,0,0,4,0,0,0,10,0,0,0,3,8,0,10,0,0,0,0,3,5,11,11,15,46,56,167,38,325
UCL215064,0,16,3,4,0,29,0,4,16,12,26,3,59,0,0,0,0,0,0,0,0,0,4,0,6,3,10,0,0,0,3,0,0,3,7,11,46,32,128,16,234
UCL215065,15,37,17,15,6,96,3,6,43,38,47,4,140,0,0,0,3,4,0,10,0,0,0,7,17,0,20,0,0,3,4,16,10,33,27,40,130,115,329,36,677
UCL215066,18,67,20,6,3,141,31,8,78,33,20,3,174,0,4,11,3,3,0,21,3,0,6,8,12,0,27,4,6,7,3,9,3,28,119,74,370,179,229,29,1002
UCL215067,15,61,13,8,0,114,24,11,65,32,29,5,170,0,3,7,3,6,0,18,0,3,0,6,8,0,20,0,0,6,3,4,0,17,62,48,263,139,298,28,846
UCL215068,5,25,12,7,0,55,5,3,15,22,43,3,80,0,0,0,0,3,0,5,0,0,0,5,19,0,31,0,0,0,7,21,0,29,4,17,79,93,323,45,562
UCL215069,26,47,18,21,8,131,5,10,55,44,46,5,162,0,0,9,3,6,0,21,3,0,6,3,45,3,58,4,0,11,0,17,6,34,53,62,291,199,478,39,1120
UCL215070,11,18,8,9,0,42,3,0,25,4,13,3,48,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,3,0,0,17,20,9,15,63,53,139,36,309
UCL215071,12,30,9,13,4,68,0,11,18,19,44,7,109,0,0,0,3,0,0,0,0,0,4,5,13,0,25,0,0,0,3,11,3,18,10,25,82,81,312,39,553
UCL215072,28,40,31,23,0,135,9,12,43,42,40,3,138,0,0,7,7,5,0,15,0,0,0,4,58,0,62,0,0,4,3,26,10,40,28,53,210,240,583,57,1170
UCL215073,3,10,0,5,0,19,3,0,12,12,21,4,56,0,0,0,0,0,0,0,0,0,0,0,19,0,17,0,0,0,3,9,7,18,4,6,38,47,214,27,335
UCL215074,3,22,10,7,0,43,3,8,18,23,28,5,79,0,0,0,0,5,3,7,0,0,4,3,20,0,33,0,0,3,3,5,9,18,22,24,110,98,282,38,581
UCL215075,3,18,7,8,0,41,6,4,17,5,13,0,50,0,0,4,3,3,0,11,0,0,0,3,9,0,17,0,0,0,0,4,0,4,13,12,78,72,155,8,339
UCL215076,5,20,12,4,3,44,3,3,16,27,39,10,100,0,0,3,0,6,0,7,0,0,3,9,33,3,47,0,0,3,4,26,14,37,11,13,83,107,364,48,630
UCL215077,5,15,6,3,0,37,0,0,33,18,36,8,101,0,0,0,0,0,0,0,0,0,3,0,20,3,29,0,0,0,7,14,5,25,4,14,77,64,242,35,433
UCL215078,3,16,5,18,3,50,0,12,19,15,33,0,84,0,0,3,0,4,0,8,0,0,6,3,18,0,26,0,0,0,3,12,3,17,10,22,70,80,290,15,492
UCL215079,15,47,14,16,0,104,8,4,39,55,48,4,162,0,0,0,0,9,0,13,0,3,3,6,40,0,56,0,0,3,6,19,8,41,47,42,218,189,479,59,1037
UCL215080,14,23,4,9,3,55,3,5,28,20,31,5,97,0,0,0,0,0,0,3,0,0,3,0,18,0,26,0,0,0,0,7,8,21,14,26,73,64,228,35,441
UCL215081,0,8,8,7,0,22,0,0,9,14,14,3,41,0,0,0,0,4,0,4,0,0,3,0,11,0,14,0,0,0,3,4,3,11,3,0,39,56,170,25,288
UCL215082,7,14,4,5,0,34,3,0,3,7,18,0,33,0,0,0,0,0,0,3,0,0,0,0,6,0,6,0,0,4,4,7,0,19,3,7,47,42,193,17,304
UCL215083,23,50,11,15,4,122,7,12,59,36,48,7,171,0,0,3,0,10,0,10,3,0,6,5,27,4,47,0,0,4,3,25,7,37,44,48,196,156,488,47,981
UCL215084,8,18,7,12,0,50,3,4,11,20,23,4,56,0,0,3,0,0,0,3,0,0,3,3,20,0,25,0,0,0,3,23,4,30,20,13,68,102,298,17,520
UCL215085,13,25,18,9,4,89,3,4,19,29,25,4,89,0,0,7,3,3,0,15,0,0,3,0,16,0,23,0,0,5,3,25,5,41,40,32,115,95,191,45,509
UCL215086,7,31,3,10,0,59,4,7,34,43,74,13,169,0,0,0,0,0,0,0,0,0,7,0,29,0,36,0,0,0,0,9,6,13,11,18,92,77,275,28,507
UCL215087,12,50,22,17,5,127,4,9,41,41,54,5,163,0,0,3,0,11,0,17,3,0,0,6,45,0,61,0,0,7,7,33,4,54,40,21,171,172,571,69,1050
UCL215088,3,12,11,8,0,32,4,4,19,7,34,0,78,0,0,0,0,3,0,11,0,0,3,0,9,0,20,0,0,0,0,8,4,17,12,10,73,55,202,22,369
UCL215089,6,22,13,3,3,57,9,8,24,13,16,3,78,0,0,3,0,3,0,9,0,0,5,8,24,0,36,4,0,8,3,15,4,27,49,25,181,111,211,17,588
UCL215090,33,60,10,19,4,182,24,18,94,37,43,7,213,0,0,4,7,7,0,18,3,3,13,5,17,0,46,4,5,18,8,15,6,52,147,103,394,192,341,39,1214
UCL215091,14,37,31,36,4,123,3,7,40,60,80,6,194,0,0,0,11,6,0,16,4,0,3,5,70,7,93,0,0,4,10,42,13,69,23,32,150,213,774,70,1264
UCL215092,0,8,3,3,3,20,0,0,6,8,16,7,39,0,0,0,0,3,0,4,0,0,0,0,9,0,11,0,0,0,4,5,0,9,4,7,28,33,161,12,252
UCL215093,13,43,12,7,3,81,3,8,25,26,22,3,84,0,0,0,6,5,0,9,0,0,4,5,37,0,50,0,0,6,7,19,5,42,24,33,142,140,357,29,721
UCL215094,13,30,20,19,3,97,6,13,20,22,52,3,116,0,0,3,6,10,3,16,0,0,0,10,32,4,49,0,0,8,3,26,10,43,26,32,94,146,437,48,771
UCL215095,3,14,8,3,3,36,0,0,14,14,25,3,58,0,0,0,0,0,0,3,0,0,0,3,15,0,25,0,0,0,0,10,0,8,6,6,59,63,172,11,311
