UCL_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
UCL214009,1112,1213,2325,302,329,627,14,17,32,560,665,1227,33,30,64,6,4,10,20,19,43,3,7,12,4,3,7,0,0,3,0,0,0,637,749,1389,22,36,55,15,6,22,980,1120,2101,183,205,389,2273,2541,4811
UCL214010,1711,1737,3450,329,354,688,33,46,81,700,773,1466,20,18,42,7,5,18,12,17,29,5,7,15,6,5,18,0,0,0,0,0,0,784,882,1669,88,89,180,18,16,35,1219,1349,2568,236,268,502,3169,3353,6526
UCL214011,1546,1701,3242,449,452,900,25,25,48,293,344,633,23,32,52,0,3,6,8,9,21,0,3,3,3,5,3,5,3,3,0,0,0,355,420,779,41,38,80,16,11,26,861,926,1789,234,307,538,2639,2932,5570
UCL214012,1565,1627,3194,370,399,772,40,33,76,388,437,828,37,37,76,10,10,27,14,19,37,5,10,11,3,8,8,10,6,15,0,0,0,516,560,1080,20,35,55,11,8,20,920,999,1921,330,356,688,2821,2988,5806
UCL214013,1204,1377,2590,402,449,851,12,15,32,320,380,698,25,20,46,7,8,17,12,9,26,7,9,12,7,8,8,0,0,3,0,0,0,390,449,836,36,48,85,5,3,14,835,951,1783,176,219,397,2223,2543,4766
UCL214014,1979,2110,4094,434,518,957,22,28,51,554,650,1205,24,30,53,17,13,30,20,17,32,4,3,15,7,3,14,3,4,4,0,0,0,651,751,1408,29,38,62,7,8,13,1127,1317,2442,284,316,604,3386,3747,7134
UCL214015,1694,1725,3415,230,279,507,19,23,42,897,970,1865,32,27,64,6,7,13,13,15,21,8,11,18,3,8,5,4,5,8,0,0,0,982,1060,2041,23,25,50,9,10,19,1247,1375,2623,292,295,590,3229,3399,6629
UCL214016,1549,1600,3149,294,351,645,32,29,55,288,342,635,34,32,60,6,8,12,4,3,9,4,14,19,8,6,17,0,3,3,0,0,0,382,435,821,112,53,160,8,11,20,801,843,1642,374,366,743,2721,2819,5540
UCL214017,1548,1590,3141,370,442,815,15,8,23,254,299,558,21,23,44,17,23,40,10,9,22,3,3,3,3,4,7,0,0,0,0,0,0,322,372,689,46,58,110,8,6,13,748,884,1635,230,265,492,2519,2742,5263
UCL214018,2245,2222,4466,356,411,766,16,22,39,846,890,1731,27,33,59,3,4,7,4,4,13,4,7,11,16,6,23,5,6,15,0,0,0,925,973,1891,47,60,106,12,7,24,1341,1449,2793,314,337,645,3896,4001,7902
UCL214019,1820,2046,3870,709,808,1523,20,27,44,492,539,1029,24,28,53,11,13,17,12,20,29,3,9,8,4,3,10,3,6,8,0,0,0,570,629,1198,38,56,98,14,14,27,1331,1506,2840,369,387,752,3521,3939,7466
