UCL_CODE_2016,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
UCL212005,5260,3727,3525,3371,3817,3592,2789,1752,890,28729,13,7,6,3,4,3,0,3,5,40,4,0,10,5,9,6,12,0,0,54,112,198,189,130,162,163,117,70,51,1196,3,0,0,5,0,9,3,0,0,23,8,7,9,0,15,10,11,0,3,58,0,3,5,0,0,0,0,0,0,9,0,0,0,0,0,0,4,3,0,9,0,0,4,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,127,206,218,150,194,179,150,75,57,1362,140,214,220,157,202,186,146,75,59,1401,5403,3946,3748,3530,4019,3779,2934,1832,948,30128
UCL213001,3531,2047,2118,2257,2256,1926,1510,682,278,16604,0,0,3,6,3,3,0,3,0,22,3,0,0,0,0,3,3,5,0,11,57,84,79,44,48,41,37,24,9,411,3,0,0,3,0,0,7,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,86,80,47,59,49,47,33,9,456,58,86,84,54,59,50,43,30,8,477,3590,2130,2202,2305,2315,1977,1556,712,287,17085
UCL213002,2220,1353,1377,1249,1390,1527,1392,1014,521,12041,0,0,0,0,0,6,0,0,0,8,0,0,8,0,4,3,6,0,0,24,52,98,92,61,90,70,43,36,20,553,0,0,4,3,0,4,4,0,0,17,0,0,0,0,3,3,0,0,0,8,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,101,103,69,97,86,52,38,20,609,52,105,103,69,100,88,57,35,17,618,2270,1457,1477,1315,1485,1613,1448,1048,538,12661
UCL213003,2098,1332,1323,1223,1384,1414,1113,816,421,11121,3,4,4,0,4,0,3,0,0,25,0,0,0,0,4,0,3,0,0,11,47,74,59,39,33,40,26,19,16,361,0,0,0,0,4,3,3,0,0,11,3,0,3,0,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,76,69,43,39,44,37,25,14,399,57,82,70,45,46,47,39,25,14,426,2154,1418,1389,1271,1426,1461,1149,838,441,11547
UCL213004,2354,1247,1414,1260,1353,1333,1210,759,319,11236,4,3,7,0,4,0,0,0,0,23,0,0,0,0,0,0,4,0,0,4,45,47,44,21,23,35,21,9,8,251,0,3,0,0,0,3,3,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,49,47,27,31,40,28,5,8,283,49,55,51,27,33,40,31,9,11,307,2406,1301,1460,1285,1386,1374,1240,764,331,11543
UCL213005,2182,1243,1141,1380,1534,1663,1397,915,332,11782,3,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,3,0,0,3,53,51,49,34,27,36,16,18,0,285,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,5,0,0,7,5,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,51,53,32,34,36,24,18,3,305,56,53,53,32,33,36,27,17,3,314,2241,1301,1198,1418,1565,1692,1420,928,335,12095
UCL213006,2239,1369,1322,1327,1549,1559,1341,903,427,12034,4,0,5,7,0,3,0,0,0,24,9,13,14,8,15,27,15,3,0,117,39,76,85,67,64,65,110,54,18,581,0,0,0,3,11,5,19,0,0,32,0,3,0,0,12,3,3,3,0,25,0,0,3,0,3,6,0,0,0,19,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,48,99,104,84,108,112,152,70,21,790,52,99,106,87,108,112,154,67,24,817,2298,1468,1426,1417,1660,1670,1491,971,448,12854
UCL213007,2863,1711,1846,1619,1734,1811,1397,1063,500,14537,3,3,3,0,0,3,5,4,0,25,0,4,6,3,8,0,0,0,0,15,44,89,111,83,63,77,45,35,24,573,0,3,3,0,8,3,0,0,0,17,9,0,7,10,11,14,17,7,0,76,0,0,0,0,0,5,0,0,0,6,6,0,0,0,3,0,4,0,0,8,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,64,92,129,98,88,102,71,36,24,711,63,102,130,101,90,108,76,41,24,735,2925,1807,1973,1721,1825,1921,1478,1100,520,15275
UCL213008,2803,1594,1754,1916,1698,1321,944,460,225,12712,3,3,0,0,0,0,0,0,0,11,0,0,0,0,3,0,0,0,0,3,33,51,54,31,17,17,19,13,3,226,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,50,51,35,15,17,23,13,3,242,33,59,51,35,15,20,19,13,3,254,2842,1651,1805,1951,1719,1338,965,471,227,12962
UCL213009,2360,1322,1617,1452,1426,1204,1019,598,239,11237,0,3,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,4,34,54,47,21,17,24,15,13,3,235,0,0,0,3,3,6,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,39,58,44,27,21,35,21,16,3,265,39,60,46,27,21,35,21,12,3,265,2394,1382,1663,1478,1448,1243,1043,608,249,11505
UCL213010,2330,1773,1601,1500,1814,2006,1631,1028,487,14171,0,3,4,0,0,3,8,5,0,22,0,0,4,0,0,0,0,0,0,5,69,139,93,52,49,39,33,16,13,507,4,7,0,0,7,0,0,0,0,22,0,0,3,0,3,4,0,0,0,11,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,70,144,101,52,59,42,39,16,12,545,70,154,107,51,59,44,42,23,15,565,2405,1927,1707,1559,1873,2052,1668,1048,504,14739
UCL213011,2230,1548,1546,1331,1665,1736,1398,931,425,12813,7,3,3,3,3,0,0,3,0,19,0,0,6,4,4,0,6,0,0,17,73,95,99,66,61,55,30,21,15,518,0,0,4,4,4,4,0,0,0,14,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,102,104,82,68,67,29,29,15,570,79,101,106,85,75,67,31,28,15,590,2311,1648,1654,1421,1741,1801,1434,965,439,13408
UCL213012,3738,1553,1490,2444,2260,2346,1753,796,399,16776,6,3,3,4,0,4,0,0,0,17,7,0,6,0,3,0,0,0,0,20,69,86,76,55,53,63,69,22,7,506,3,0,5,0,3,7,8,0,0,20,0,0,0,0,0,0,3,4,0,10,0,3,0,0,0,3,3,0,0,14,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,82,94,82,57,64,81,90,32,7,585,83,96,86,65,64,80,91,33,12,604,3823,1646,1575,2501,2326,2427,1845,824,410,17378
UCL213013,1677,1050,898,1114,1317,1380,978,592,307,9303,3,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,12,28,71,52,40,45,63,42,10,8,364,0,4,3,3,0,3,0,0,0,17,0,3,5,9,9,8,3,0,0,38,0,0,0,0,6,3,3,3,0,14,0,0,4,0,0,4,3,0,0,13,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,76,66,53,60,92,48,18,8,451,33,80,71,56,60,89,48,18,10,459,1706,1129,963,1165,1369,1469,1028,611,317,9765
UCL213014,2484,1437,1629,1479,1575,1539,1181,781,421,12538,4,0,3,0,0,6,4,3,0,25,3,5,11,3,15,11,11,4,0,57,40,115,94,75,85,97,43,34,14,598,5,5,15,8,8,4,0,0,0,52,0,0,0,0,0,0,4,0,0,8,0,0,3,4,3,4,0,0,0,12,0,0,0,3,3,3,4,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,48,131,128,84,120,118,59,37,19,745,53,133,131,89,119,122,66,40,18,774,2537,1569,1759,1570,1695,1666,1250,823,440,13311
UCL213015,1934,1229,1293,1168,1200,1110,892,720,369,9909,3,0,3,0,0,0,4,0,0,6,4,14,8,6,7,12,9,0,0,72,36,93,79,72,67,69,32,30,12,492,0,0,0,3,0,6,16,3,0,31,0,3,10,11,14,11,7,5,0,56,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,11,3,0,0,16,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,43,112,102,91,97,108,77,40,12,677,39,112,108,96,95,114,74,40,12,688,1973,1338,1403,1258,1295,1226,967,758,384,10594
UCL213016,3807,1497,1785,2584,2201,1768,1291,568,239,15742,3,0,4,3,3,3,0,0,0,15,0,3,3,6,4,5,5,3,0,28,62,58,85,77,92,82,73,25,8,559,11,7,8,7,0,7,7,0,0,54,3,0,0,3,0,3,4,0,0,16,0,0,3,0,5,0,3,0,0,14,3,0,0,3,0,3,8,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,78,69,100,102,103,104,95,34,6,688,80,71,104,101,103,103,100,34,6,710,3892,1562,1888,2688,2308,1873,1388,602,248,16443
UCL213017,3227,1887,1846,2021,2202,2234,1884,1324,794,17424,0,6,3,0,3,3,6,6,0,29,6,12,7,3,5,17,3,3,0,54,87,119,119,88,83,81,73,46,45,745,6,5,4,3,8,11,3,0,0,34,0,0,0,0,0,0,3,0,0,11,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,4,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,97,138,135,96,104,108,89,50,45,871,97,146,140,96,106,111,96,57,42,897,3332,2027,1990,2120,2310,2345,1976,1383,841,18321
