UCL_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
UCL212005,10,55,1101,5315,2368,349,68,204,9474,11,137,829,164,19,4,0,52,1216,0,16,139,143,15,3,0,3,314,11,157,962,303,34,5,4,55,1530,3,89,342,46,3,0,0,62,558,0,51,10,6,3,0,0,5,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,140,350,59,11,0,0,75,643,3,6,8,3,3,0,0,0,23,0,3,18,18,7,0,0,3,54,32,368,2438,5690,2416,356,71,340,11713
UCL213001,3,26,308,2799,1846,195,42,106,5324,3,66,271,169,97,7,0,30,637,0,5,20,41,3,0,0,5,72,3,71,293,206,101,7,0,32,713,0,56,11,3,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,11,3,0,0,0,0,71,4,13,7,0,0,0,0,0,29,0,0,0,4,3,0,0,14,17,6,164,624,3013,1947,196,46,155,6161
UCL213002,5,90,712,2423,961,117,23,136,4469,0,43,179,38,3,0,0,18,286,0,12,8,10,0,0,0,0,28,0,54,186,51,3,0,0,18,312,0,14,47,34,0,0,0,5,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,47,34,0,0,0,5,101,0,7,13,7,0,0,0,3,21,0,3,7,6,7,0,3,47,65,5,163,965,2516,972,119,23,201,4969
UCL213003,0,30,455,2405,889,83,22,105,3996,4,101,277,76,0,0,0,30,492,0,0,6,3,0,0,0,0,11,4,101,287,75,0,0,0,30,501,0,17,3,0,0,0,0,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,0,0,0,3,23,3,12,3,7,4,0,0,8,34,0,0,0,8,0,0,0,3,9,5,162,748,2496,899,84,22,145,4569
UCL213004,3,15,274,1927,1308,146,32,84,3793,0,12,125,66,4,0,0,9,214,0,0,0,0,0,0,0,0,0,0,12,125,66,4,0,0,9,214,0,39,132,29,3,0,0,3,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,132,29,3,0,0,3,201,14,38,15,4,0,0,0,9,77,0,0,3,4,0,0,0,0,8,15,101,545,2031,1315,151,32,104,4294
UCL213005,4,14,361,2551,1276,161,20,90,4477,0,0,122,31,4,0,0,6,162,0,0,6,14,5,0,0,0,29,0,3,127,43,10,0,3,12,196,0,4,42,0,0,0,0,4,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,42,0,0,0,0,4,52,0,0,5,0,0,0,0,0,5,0,0,11,5,3,0,0,0,22,4,23,541,2601,1291,164,22,100,4746
UCL213006,8,35,503,2286,1057,122,8,126,4147,3,120,389,94,6,0,0,44,665,0,0,0,12,0,0,0,0,18,3,124,391,104,11,0,3,42,679,0,12,20,13,0,0,0,3,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,20,13,0,0,0,3,42,0,7,3,4,0,0,0,0,20,0,0,0,6,3,0,0,4,15,15,177,916,2412,1070,122,12,174,4900
UCL213007,7,40,564,3062,1448,126,17,123,5389,0,98,226,78,7,0,0,19,433,0,0,0,13,4,0,0,0,11,0,98,232,90,11,0,0,19,446,0,51,267,57,3,0,0,13,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,267,57,3,0,0,13,392,0,0,0,3,0,0,0,0,9,0,3,6,9,4,0,0,3,27,11,192,1068,3218,1471,131,18,157,6265
UCL213008,9,63,286,1995,1515,127,21,74,4079,5,27,187,189,55,9,0,8,481,0,0,12,3,0,0,0,0,19,5,25,200,199,55,5,0,8,500,0,20,7,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,7,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,101,499,2196,1563,136,21,82,4610
UCL213009,4,7,178,2141,1434,124,14,52,3949,0,12,200,73,3,0,0,8,298,0,0,0,5,0,0,0,0,5,0,12,199,74,6,0,0,8,306,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4,16,379,2227,1438,124,14,68,4268
UCL213010,8,60,759,3206,871,104,29,141,5181,17,213,435,71,7,0,3,50,797,0,0,3,3,0,0,0,0,7,17,213,444,75,7,0,3,50,806,4,104,137,6,0,0,0,17,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,104,137,6,0,0,0,17,262,3,14,0,3,0,0,0,0,26,0,7,3,8,0,0,0,0,13,28,397,1346,3289,879,104,31,215,6290
UCL213011,4,37,710,2889,818,83,14,151,4702,0,109,160,22,3,0,0,12,304,0,4,31,7,0,0,0,6,46,0,119,185,26,3,0,0,14,346,3,80,314,13,0,0,0,34,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,78,314,13,0,0,0,34,454,0,4,0,3,0,0,0,0,10,0,4,3,3,0,0,0,0,14,5,239,1218,2933,819,82,20,202,5524
UCL213012,3,41,467,3044,1940,259,46,86,5889,3,42,154,113,9,0,0,10,335,0,3,60,119,38,6,0,5,237,3,45,212,234,45,9,0,12,569,0,4,29,13,4,0,0,5,54,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,29,18,4,0,0,5,51,3,6,5,3,0,0,0,0,25,0,3,3,12,5,0,0,0,29,10,99,720,3310,1999,268,45,104,6558
UCL213013,4,41,389,2156,716,82,11,96,3493,0,37,98,24,3,0,0,9,167,0,0,17,0,0,0,0,0,19,0,37,118,22,3,0,0,11,192,0,42,131,21,0,0,0,11,213,0,0,0,6,0,0,0,0,6,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,42,141,24,0,0,0,11,225,3,3,6,5,0,0,0,0,28,0,0,3,7,3,0,3,0,19,14,121,654,2216,723,80,16,127,3942
UCL213014,6,14,401,2332,1394,139,28,96,4411,3,76,228,49,0,0,0,25,386,0,33,25,12,0,0,0,8,83,3,109,247,68,0,0,0,32,466,0,36,183,49,3,0,0,9,283,0,0,24,3,0,0,0,3,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,205,57,3,0,0,13,312,5,16,6,8,0,0,0,0,43,0,0,4,5,0,0,0,0,10,21,185,866,2462,1397,139,33,142,5243
UCL213015,0,38,320,1877,793,74,25,92,3229,0,36,160,34,0,0,0,14,248,0,3,5,0,0,0,0,0,11,0,40,169,34,0,0,0,14,259,0,100,203,30,0,0,0,21,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,98,203,30,0,0,0,27,362,3,8,3,7,0,0,0,0,26,0,8,6,20,9,0,0,10,52,8,192,700,1972,808,74,28,142,3924
UCL213016,4,24,411,2367,1917,287,39,80,5129,0,5,129,93,12,0,0,3,244,0,15,50,191,37,0,0,7,299,0,17,176,288,52,0,0,10,539,0,0,5,14,0,0,0,0,17,0,14,7,4,0,0,0,0,27,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,17,17,19,0,0,0,0,46,0,3,0,3,0,0,0,0,6,0,0,0,10,0,0,0,0,15,5,53,610,2677,1968,290,39,88,5740
UCL213017,9,31,685,3537,1647,158,32,182,6278,3,170,640,122,10,3,3,52,1008,0,20,14,9,0,0,0,0,49,3,192,657,136,9,3,3,58,1054,0,8,37,4,0,0,0,4,59,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,37,8,0,0,0,4,64,4,4,3,5,0,0,0,3,28,0,0,3,7,0,0,0,3,20,17,243,1388,3690,1659,163,32,244,7442
UCL213018,6,18,367,2260,1508,188,46,114,4506,0,22,212,38,0,0,0,12,291,0,23,3,8,0,0,0,0,36,0,46,218,40,0,0,0,15,325,0,23,401,68,4,0,0,21,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,401,68,4,0,0,21,510,0,0,27,3,4,0,0,3,37,0,0,6,6,3,0,0,3,16,7,85,1012,2379,1519,188,50,153,5397
UCL214001,3,25,442,1468,471,75,10,74,2569,0,39,61,5,0,0,0,9,118,0,0,0,0,0,0,0,0,0,0,39,61,5,0,0,0,9,118,3,8,59,20,3,0,0,7,100,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,66,20,3,0,0,7,108,6,5,6,3,3,0,0,3,38,0,0,0,5,0,0,0,3,13,19,83,581,1508,479,72,13,96,2841
UCL214002,3,42,572,1968,727,63,5,95,3471,0,15,32,13,0,0,0,3,65,0,0,0,0,0,0,0,0,0,0,15,38,13,0,0,0,3,61,0,46,206,27,0,0,0,15,299,0,0,32,3,0,0,0,0,38,0,17,20,0,0,0,0,3,41,0,0,0,0,0,0,0,0,0,0,64,254,36,0,0,0,22,372,0,0,10,8,4,0,0,3,23,0,6,7,10,0,5,0,0,24,3,117,871,2022,731,65,5,126,3948
UCL214003,11,95,850,1748,640,74,18,86,3519,0,53,132,23,5,0,0,19,237,0,0,4,0,0,0,0,0,3,0,53,140,28,5,0,0,19,244,0,8,18,0,0,0,0,3,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,0,0,0,0,3,28,0,6,4,0,0,0,0,0,11,0,4,8,7,6,0,0,3,35,16,167,1016,1785,650,78,20,110,3832
UCL214004,7,11,244,1037,438,36,5,71,1841,0,10,80,15,0,0,0,7,107,0,0,0,0,0,0,0,0,0,0,10,80,16,0,0,0,7,112,0,62,45,0,0,0,0,16,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,45,0,0,0,0,16,120,5,3,3,0,0,0,0,0,9,0,0,0,3,0,0,0,3,4,7,84,369,1056,439,36,7,95,2088
UCL214005,0,6,35,180,103,9,0,9,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,13,0,0,0,4,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,13,0,0,0,4,46,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,8,62,194,103,9,0,12,392
UCL214006,0,8,101,1042,1401,194,30,54,2833,0,46,144,134,20,0,0,11,354,0,0,0,7,0,0,0,0,9,0,46,143,143,20,0,0,11,362,0,4,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,9,0,51,248,1185,1422,195,26,64,3202
UCL214007,3,37,469,1999,671,88,28,74,3373,0,51,73,6,0,0,0,7,132,0,0,4,3,0,0,0,0,6,0,51,77,11,0,0,0,7,140,0,45,47,3,0,0,0,5,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,47,3,0,0,0,5,96,4,5,0,3,5,0,0,0,20,0,0,4,3,0,0,3,0,17,10,135,594,2025,675,89,31,86,3648
UCL214008,6,76,401,1559,616,95,23,67,2832,10,38,104,112,4,0,0,10,284,0,0,4,14,0,0,0,0,20,10,38,106,127,9,0,0,10,308,0,3,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,13,0,17,28,4,0,0,0,3,47,0,0,0,0,0,0,0,0,10,13,136,535,1700,620,96,22,78,3212
UCL214009,0,13,275,932,486,44,3,48,1809,0,28,68,23,0,0,0,0,127,0,0,12,23,3,0,0,0,38,3,29,81,51,4,0,0,0,166,0,0,18,8,6,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,8,6,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,3,46,381,993,498,49,3,48,2020
UCL214010,3,12,144,957,751,110,17,40,2028,0,19,131,47,4,0,0,12,206,0,0,6,14,0,0,0,0,19,0,19,136,57,4,0,0,12,225,0,20,16,8,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16,8,0,0,0,0,44,3,18,10,0,0,0,0,0,31,0,0,0,8,4,0,0,4,9,8,68,309,1027,757,110,17,50,2342
UCL214011,0,14,228,1171,434,59,3,45,1959,0,0,29,13,3,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,29,14,3,0,0,0,46,0,44,201,25,0,0,0,14,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,44,206,25,0,0,0,14,291,7,4,0,0,0,0,0,0,17,0,0,0,4,0,0,0,0,9,11,65,468,1219,437,59,5,63,2321
UCL214012,3,37,329,1176,405,65,6,72,2106,0,18,55,12,7,0,0,4,98,0,0,6,3,0,0,0,0,14,0,19,62,19,8,0,0,10,114,0,4,50,9,0,0,0,3,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,50,9,0,0,0,3,66,10,33,22,6,0,0,0,6,78,0,3,12,7,3,0,0,4,33,10,99,472,1214,417,70,12,100,2400
