UCL_CODE_2016,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot
UCL212005,0,0,0,3,3,0,0,0,0,4,0,0,0,0,0,0,3,0,0,9,0,0,0,3,3,0,0,0,0,8,0,12,11,47,17,6,6,4,3,106,42,83,131,251,174,165,161,166,104,1283,846,1805,1966,3769,2174,2080,1664,1126,618,16050,0,0,0,0,0,0,0,0,0,0,1644,3349,3499,5878,3352,3286,2522,1480,719,25732,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,3,4,0,0,18,0,0,0,0,0,0,0,0,0,0,5,7,20,75,18,5,10,0,0,141,0,0,0,0,0,0,0,3,0,7,0,8,3,3,3,5,3,0,0,22,0,22,10,77,88,98,113,68,41,514,0,3,4,9,3,0,0,0,0,17,0,3,3,4,3,0,0,0,0,17,0,0,0,3,3,3,5,13,3,32
UCL213001,0,0,0,7,4,4,0,0,0,19,0,0,0,0,3,0,3,3,3,18,0,0,3,6,0,0,0,0,0,11,0,3,3,22,21,23,9,10,3,94,32,58,40,145,79,67,81,58,25,572,574,1212,1035,2339,1212,1062,858,423,201,8921,0,0,0,0,0,0,0,0,0,0,1130,2226,1943,3720,1826,1498,1045,447,195,14031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,0,0,0,17,0,0,0,7,9,0,0,0,0,16,0,0,4,4,9,0,0,0,0,17,0,0,0,8,6,4,6,3,0,30,0,0,0,0,0,0,0,3,0,6,0,19,11,85,123,122,147,79,31,614,0,0,0,12,0,0,3,0,0,16,0,0,0,0,4,0,0,0,0,3,0,0,0,8,9,11,43,15,3,96
UCL213002,0,0,0,8,3,0,0,0,0,21,0,0,0,3,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,9,7,5,3,3,4,35,38,56,87,144,103,103,101,109,81,827,417,735,738,1426,829,905,879,631,371,6918,0,0,0,0,0,0,0,0,0,0,717,1334,1243,2179,1159,1280,1182,729,362,10177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,3,9,7,0,3,0,0,22,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,4,0,5,4,32,40,62,93,83,33,354,0,0,3,3,5,4,0,0,0,19,0,3,0,0,0,0,0,0,0,4,0,0,0,6,0,5,23,17,11,71
UCL213003,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,6,0,0,3,18,4,5,3,0,0,35,13,22,49,84,59,74,75,65,32,469,342,672,686,1275,762,825,696,529,302,6092,0,0,18,24,0,0,0,0,0,38,684,1325,1248,2217,1243,1291,1034,693,361,10098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,4,26,6,10,0,0,0,47,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,0,0,0,0,4,0,3,3,15,21,38,45,42,11,174,0,0,0,7,3,3,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,3,6,4,19
UCL213004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,9,0,0,0,0,0,0,0,0,0,7,0,3,3,20,6,19,3,6,7,62,22,48,36,106,73,64,75,45,9,481,430,781,653,1467,753,763,722,430,219,6213,0,0,0,0,0,0,0,0,0,3,792,1434,1158,2346,1085,1060,889,528,249,9538,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,14,0,0,0,0,0,0,0,0,0,5,0,0,5,8,4,0,0,0,0,17,0,0,0,0,0,0,5,3,0,14,0,0,0,0,0,0,0,0,0,0,0,14,14,48,67,93,132,93,28,494,0,0,0,4,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,4,25,8,3,59
UCL213005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,15,0,3,0,4,0,0,0,0,0,6,3,3,0,12,5,14,12,10,3,56,13,39,38,76,65,57,60,58,16,415,302,782,633,1388,883,952,844,534,211,6528,0,0,0,0,0,0,0,0,0,0,640,1438,1205,2223,1246,1318,1035,636,230,9976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,9,3,0,0,21,0,0,0,0,0,0,3,0,0,3,0,0,0,3,4,5,0,0,0,13,0,0,0,0,4,4,7,4,0,24,0,0,0,0,0,4,4,3,0,12,3,26,17,78,102,141,190,115,41,709,0,0,0,0,0,0,0,3,0,8,0,0,0,3,0,0,0,0,0,7,0,0,0,0,3,24,36,12,20,97
UCL213006,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,6,3,3,8,3,3,27,28,36,55,130,64,81,80,52,28,571,384,750,716,1504,867,900,797,555,286,6755,0,0,0,0,0,0,0,0,0,0,685,1426,1322,2357,1385,1399,1207,782,338,10907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,5,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,4,5,17,27,48,67,49,20,237,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,4,4,0,0,11,0,0,0,3,4,0,11,5,4,30
UCL213007,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,4,13,4,5,3,8,4,40,21,32,54,116,56,93,83,45,32,525,462,924,945,1921,964,1071,871,634,349,8147,0,0,0,0,0,0,0,0,0,0,951,1784,1689,3097,1628,1725,1337,944,445,13612,0,0,0,4,4,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,6,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,0,0,0,0,30,0,0,0,0,0,0,4,0,0,3,0,0,0,3,0,0,0,0,0,3,0,9,7,20,19,35,47,18,12,177,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,12,5,0,25
UCL213008,0,0,3,13,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,7,24,9,21,7,3,3,75,19,45,27,94,52,39,23,25,13,344,483,935,806,2010,901,725,525,282,153,6820,0,0,0,0,0,0,0,0,0,0,972,1713,1468,3169,1364,991,669,302,129,10783,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,3,11,0,3,0,0,0,21,0,0,0,3,3,8,4,4,0,27,0,0,0,0,0,0,4,0,0,4,0,19,15,68,100,114,108,79,35,545,0,0,0,3,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,19,24,8,8,73
UCL213009,0,0,0,4,0,0,0,0,0,6,0,0,0,3,3,0,3,0,0,12,0,0,0,8,0,0,0,0,0,4,0,3,0,15,3,8,9,7,0,46,9,19,30,65,27,49,45,28,16,289,452,728,710,1708,774,714,601,333,143,6162,0,0,0,0,0,0,0,0,0,0,888,1400,1300,2767,1184,977,772,402,161,9851,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,3,7,17,3,6,0,0,0,43,0,0,0,0,7,3,8,3,0,20,0,0,0,0,0,0,5,0,0,6,0,7,11,45,80,73,90,76,21,406,0,0,0,3,3,0,0,0,0,11,0,0,0,0,0,0,3,3,0,7,0,3,0,4,3,11,25,10,3,67
UCL213010,0,0,0,10,0,0,0,0,0,12,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,3,3,23,17,9,24,17,17,120,25,42,77,140,99,101,111,68,56,725,414,783,932,1693,992,1093,924,603,346,7767,0,0,0,0,0,0,0,0,0,0,758,1477,1716,2735,1509,1601,986,560,257,11593,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,7,7,0,20,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,9,0,3,0,14,0,0,0,0,0,0,0,0,0,3,0,0,5,21,12,3,0,0,0,40,0,0,0,0,3,5,11,11,0,29,0,0,0,0,0,4,0,0,0,3,0,3,0,24,51,117,142,117,51,497,0,0,0,3,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,3,90,19,13,143
UCL213011,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,13,14,32,15,21,18,8,0,120,44,57,77,191,103,90,77,72,29,750,399,694,810,1597,886,906,763,557,271,6883,0,0,0,0,0,0,0,0,0,0,721,1315,1391,2376,1339,1280,831,464,225,9951,0,0,0,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,10,0,0,0,0,3,0,0,0,0,9,4,0,7,17,10,5,0,0,0,52,0,0,0,0,3,3,8,6,0,24,0,5,0,0,0,0,0,5,0,12,0,0,0,7,40,73,103,89,36,344,0,0,3,7,0,3,0,0,0,14,0,0,0,0,0,3,0,4,0,8,0,0,0,3,4,12,31,18,11,80
