UCL_CODE_2016,M_NatPhySci_Occ_Mng,M_NatPhySci_Occ_Pro,M_NatPhySci_Occ_TTW,M_NatPhySci_Occ_CPS,M_NatPhySci_Occ_CA,M_NatPhySci_Occ_Sal,M_NatPhySci_Occ_MOD,M_NatPhySci_Occ_Lab,M_NatPhySci_Occ_IDNS,M_NatPhySci_Total,M_InfoTechn_Occ_Mng,M_InfoTechn_Occ_Pro,M_InfoTechn_Occ_TTW,M_InfoTechn_Occ_CPS,M_InfoTechn_Occ_CA,M_InfoTechn_Occ_Sal,M_InfoTechn_Occ_MOD,M_InfoTechn_Occ_Lab,M_InfoTechn_Occ_IDNS,M_InfoTechn_Total,M_EngRelTech_Occ_Mng,M_EngRelTech_Occ_Pro,M_EngRelTech_Occ_TTW,M_EngRelTech_Occ_CPS,M_EngRelTech_Occ_CA,M_EngRelTech_Occ_Sal,M_EngRelTech_Occ_MOD,M_EngRelTech_Occ_Lab,M_EngRelTech_Occ_IDNS,M_EngRelTech_Total,M_ArchitBuild_Occ_Mng,M_ArchitBuild_Occ_Pro,M_ArchitBuild_Occ_TTW,M_ArchitBuild_Occ_CPS,M_ArchitBuild_Occ_CA,M_ArchitBuild_Occ_Sal,M_ArchitBuild_Occ_MOD,M_ArchitBuild_Occ_Lab,M_ArchitBuild_Occ_IDNS,M_ArchitBuild_Total,M_AgriEnviRelStu_Occ_Mng,M_AgriEnviRelStu_Occ_Pro,M_AgriEnviRelStu_Occ_TTW,M_AgriEnviRelStu_Occ_CPS,M_AgriEnviRelStu_Occ_CA,M_AgriEnviRelStu_Occ_Sal,M_AgriEnviRelStu_Occ_MOD,M_AgriEnviRelStu_Occ_Lab,M_AgriEnviRelStu_Occ_IDNS,M_AgriEnviRelStu_Total,M_Health_Occ_Mng,M_Health_Occ_Pro,M_Health_Occ_TTW,M_Health_Occ_CPS,M_Health_Occ_CA,M_Health_Occ_Sal,M_Health_Occ_MOD,M_Health_Occ_Lab,M_Health_Occ_IDNS,M_Health_Total,M_Educat_Occ_Mng,M_Educat_Occ_Pro,M_Educat_Occ_TTW,M_Educat_Occ_CPS,M_Educat_Occ_CA,M_Educat_Occ_Sal,M_Educat_Occ_MOD,M_Educat_Occ_Lab,M_Educat_Occ_IDNS,M_Educat_Total,M_ManagCom_Occ_Mng,M_ManagCom_Occ_Pro,M_ManagCom_Occ_TTW,M_ManagCom_Occ_CPS,M_ManagCom_Occ_CA,M_ManagCom_Occ_Sal,M_ManagCom_Occ_MOD,M_ManagCom_Occ_Lab,M_ManagCom_Occ_IDNS,M_ManagCom_Total,M_SocietCultu_Occ_Mng,M_SocietCultu_Occ_Pro,M_SocietCultu_Occ_TTW,M_SocietCultu_Occ_CPS,M_SocietCultu_Occ_CA,M_SocietCultu_Occ_Sal,M_SocietCultu_Occ_MOD,M_SocietCultu_Occ_Lab,M_SocietCultu_Occ_IDNS,M_SocietCultu_Total,M_CreatArt_Occ_Mng,M_CreatArt_Occ_Pro,M_CreatArt_Occ_TTW,M_CreatArt_Occ_CPS,M_CreatArt_Occ_CA,M_CreatArt_Occ_Sal,M_CreatArt_Occ_MOD,M_CreatArt_Occ_Lab,M_CreatArt_Occ_IDNS,M_CreatArt_Total,M_FoodHospPersServ_Occ_Mng,M_FoodHospPersServ_Occ_Pro,M_FoodHospPersServ_Occ_TTW,M_FoodHospPersServ_Occ_CPS,M_FoodHospPersServ_Occ_CA,M_FoodHospPersServ_Occ_Sal,M_FoodHospPersServ_Occ_MOD,M_FoodHospPersServ_Occ_Lab,M_FoodHospPersServ_Occ_IDNS,M_FoodHospPersServ_Total,M_MixFieldProg_Occ_Mng,M_MixFieldProg_Occ_Pro,M_MixFieldProg_Occ_TTW,M_MixFieldProg_Occ_CPS,M_MixFieldProg_Occ_CA,M_MixFieldProg_Occ_Sal,M_MixFieldProg_Occ_MOD,M_MixFieldProg_Occ_Lab,M_MixFieldProg_Occ_IDNS,M_MixFieldProg_Total,M_FS_ID_Occ_Mng,M_FS_ID_Occ_Pro,M_FS_ID_Occ_TTW,M_FS_ID_Occ_CPS,M_FS_ID_Occ_CA,M_FS_ID_Occ_Sal,M_FS_ID_Occ_MOD,M_FS_ID_Occ_Lab,M_FS_ID_Occ_IDNS,M_FS_ID_Total,M_FS_NS_Occ_Mng,M_FS_NS_Occ_Pro,M_FS_NS_Occ_TTW,M_FS_NS_Occ_CPS,M_FS_NS_Occ_CA,M_FS_NS_Occ_Sal,M_FS_NS_Occ_MOD,M_FS_NS_Occ_Lab,M_FS_NS_Occ_IDNS,M_FS_NS_Total,M_Tot_Occ_Mng,M_Tot_Occ_Pro,M_Tot_Occ_TTW,M_Tot_Occ_CPS,M_Tot_Occ_CA,M_Tot_Occ_Sal,M_Tot_Occ_MOD,M_Tot_Occ_Lab,M_Tot_Occ_IDNS,M_Total_Total,F_NatPhySci_Occ_Mng,F_NatPhySci_Occ_Pro,F_NatPhySci_Occ_TTW,F_NatPhySci_Occ_CPS,F_NatPhySci_Occ_CA,F_NatPhySci_Occ_Sal,F_NatPhySci_Occ_MOD,F_NatPhySci_Occ_Lab,F_NatPhySci_Occ_IDNS,F_NatPhySci_Total,F_InfoTechn_Occ_Mng,F_InfoTechn_Occ_Pro,F_InfoTechn_Occ_TTW,F_InfoTechn_Occ_CPS,F_InfoTechn_Occ_CA,F_InfoTechn_Occ_Sal,F_InfoTechn_Occ_MOD,F_InfoTechn_Occ_Lab,F_InfoTechn_Occ_IDNS,F_InfoTechn_Total,F_EngRelTech_Occ_Mng,F_EngRelTech_Occ_Pro,F_EngRelTech_Occ_TTW,F_EngRelTech_Occ_CPS,F_EngRelTech_Occ_CA,F_EngRelTech_Occ_Sal,F_EngRelTech_Occ_MOD,F_EngRelTech_Occ_Lab,F_EngRelTech_Occ_IDNS,F_EngRelTech_Total,F_ArchitBuild_Occ_Mng,F_ArchitBuild_Occ_Pro,F_ArchitBuild_Occ_TTW,F_ArchitBuild_Occ_CPS,F_ArchitBuild_Occ_CA,F_ArchitBuild_Occ_Sal,F_ArchitBuild_Occ_MOD,F_ArchitBuild_Occ_Lab,F_ArchitBuild_Occ_IDNS,F_ArchitBuild_Total,F_AgriEnviRelStu_Occ_Mng,F_AgriEnviRelStu_Occ_Pro,F_AgriEnviRelStu_Occ_TTW,F_AgriEnviRelStu_Occ_CPS,F_AgriEnviRelStu_Occ_CA,F_AgriEnviRelStu_Occ_Sal,F_AgriEnviRelStu_Occ_MOD,F_AgriEnviRelStu_Occ_Lab,F_AgriEnviRelStu_Occ_IDNS,F_AgriEnviRelStu_Total
UCL214009,5,6,0,0,0,0,0,0,0,18,0,6,0,0,0,0,0,0,0,4,35,23,68,0,8,4,10,21,0,168,27,4,61,0,3,7,7,15,6,125,5,13,9,0,0,3,8,3,0,42,8,23,0,12,0,0,0,0,0,37,13,39,3,0,3,0,0,0,0,61,28,23,5,3,0,7,3,4,0,68,11,18,3,16,8,0,0,0,0,47,4,7,6,0,0,0,0,0,0,25,3,0,29,3,0,3,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,8,3,0,3,0,0,3,4,3,11,29,140,161,192,43,27,31,29,55,18,677,0,4,0,0,4,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,9,4,4,4,0,0,0,0,4,0,17
UCL214010,4,4,0,3,0,0,0,0,0,15,7,6,3,0,0,0,0,0,0,20,37,27,171,4,16,14,60,44,11,368,17,4,110,3,3,3,9,15,3,166,6,0,18,0,0,0,5,6,0,42,3,15,0,4,0,0,0,0,0,26,5,33,0,5,0,0,0,3,0,47,32,26,12,13,11,4,10,7,3,122,7,12,3,27,0,3,5,5,0,73,3,5,0,4,0,0,0,4,0,16,4,0,13,8,3,0,3,0,0,37,0,0,0,0,0,0,0,0,0,0,3,0,6,3,0,3,0,7,0,22,6,3,15,3,3,0,11,10,10,50,135,133,347,72,43,38,111,97,20,992,4,9,3,3,7,3,0,0,0,31,0,0,0,0,0,0,0,0,0,4,0,0,4,0,5,0,0,0,0,14,0,3,0,0,0,0,0,0,0,4,0,4,8,0,3,0,0,3,0,16
UCL214011,3,3,0,0,0,0,0,0,0,9,0,3,3,0,0,0,0,0,0,13,28,12,137,5,8,14,27,44,8,273,22,7,46,0,5,4,10,6,3,91,9,4,9,6,3,3,6,11,0,47,3,17,0,6,0,0,0,0,0,32,3,24,3,3,0,0,0,0,0,37,10,31,3,3,8,10,3,14,0,89,3,8,0,12,0,0,0,7,0,30,0,0,8,0,0,0,0,0,0,10,7,0,11,3,0,0,8,9,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,3,6,0,0,5,3,0,0,7,9,3,27,99,104,227,47,23,37,53,100,14,713,0,4,10,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,11
UCL214012,3,0,0,0,0,3,0,0,0,7,3,0,3,0,0,3,0,0,0,9,25,22,78,3,3,3,23,35,6,210,14,3,46,6,6,5,11,15,0,104,6,0,7,0,0,4,3,5,0,32,0,12,0,8,6,0,0,0,3,30,0,13,0,3,0,0,0,0,0,28,18,10,0,3,3,10,0,7,0,52,0,4,4,17,4,0,0,3,0,33,0,5,0,0,0,3,0,0,0,10,10,3,26,4,0,7,0,4,0,63,0,0,0,0,0,0,0,3,0,3,0,3,4,0,0,0,0,0,0,5,4,0,3,0,0,0,5,3,0,19,91,74,186,40,21,40,46,77,17,605,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,3,0,6,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,7
UCL214013,0,4,0,0,0,0,0,0,0,6,4,8,4,4,0,0,0,0,0,21,28,6,102,0,6,3,31,19,0,202,14,4,78,3,0,0,10,9,0,121,11,4,9,0,0,3,7,8,0,48,0,18,0,7,0,0,0,0,0,21,5,28,0,3,3,0,0,0,0,43,15,21,8,0,7,7,3,0,0,75,6,15,0,16,0,0,0,3,0,35,4,3,0,0,0,0,0,0,0,6,3,0,14,0,0,3,6,8,0,37,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,0,0,0,14,3,7,5,0,0,0,0,5,0,26,91,112,227,31,26,25,61,61,3,653,0,3,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,4,0,0,0,4,0,0,0,0,6,0,9,0,0,3,0,0,0,0,14,0,0,0,3,3,0,0,3,0,11
UCL214014,8,3,0,0,0,0,0,0,0,12,3,0,3,0,0,0,0,0,0,16,27,9,149,5,11,8,26,36,3,283,17,0,42,0,0,3,4,11,0,90,13,0,9,0,0,0,5,10,0,34,0,11,0,9,0,0,0,3,0,22,3,24,0,5,0,3,0,3,0,42,16,5,6,5,4,15,3,6,0,58,3,12,4,25,3,4,3,5,0,56,0,4,0,3,0,0,0,0,0,12,3,0,20,0,0,5,4,9,4,48,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,0,3,0,0,14,7,0,7,3,3,3,0,12,3,40,98,86,243,55,33,36,60,95,17,723,0,0,3,0,3,0,0,0,0,11,3,3,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,3,0,11,0,0,3,0,3,0,0,0,0,3,4,0,0,0,0,0,0,3,0,13
UCL214015,4,14,6,0,0,0,0,0,0,27,3,6,7,0,3,0,0,0,0,18,29,17,92,5,14,10,22,26,0,225,18,3,67,4,0,3,12,15,3,122,4,5,12,0,0,0,4,7,0,27,4,12,5,4,0,0,0,0,0,22,7,20,3,0,0,0,3,5,0,44,22,20,4,3,14,7,5,10,3,88,5,20,4,12,3,4,0,0,0,42,0,4,6,0,0,6,0,3,0,17,4,0,14,0,0,0,6,6,0,30,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,4,0,0,12,4,5,8,3,3,6,7,0,0,42,107,137,234,38,37,42,62,65,13,726,3,5,5,3,3,0,0,0,0,20,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,13,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,13
UCL214016,0,5,3,0,0,0,0,0,0,9,0,5,0,0,3,0,3,4,0,20,14,14,121,7,8,7,24,34,4,236,7,0,43,3,3,0,13,17,0,81,3,0,10,0,3,0,7,4,3,32,3,11,0,8,3,0,0,0,0,23,5,16,0,3,0,3,0,0,0,31,24,14,3,3,11,8,11,12,0,76,3,15,0,20,0,3,3,3,0,46,0,0,0,0,0,0,3,0,0,8,10,0,19,0,0,0,3,5,0,40,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,10,3,0,10,9,0,3,9,8,0,49,80,88,220,50,35,30,77,89,8,673,0,3,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,3,0,12,0,3,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,4,0,12
UCL214017,7,7,0,0,0,3,0,0,0,12,0,8,0,0,0,0,0,0,0,3,17,6,93,14,7,6,29,43,0,221,12,0,28,0,0,8,9,10,3,67,11,7,11,3,0,0,9,10,0,47,3,15,0,6,0,0,0,3,0,30,4,15,4,0,0,0,5,3,0,34,18,8,6,0,3,10,0,4,0,52,4,4,0,36,0,0,0,5,3,62,0,0,0,0,0,0,0,0,0,3,8,0,15,3,0,3,4,8,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,5,0,0,5,0,13,5,40,94,65,171,75,13,32,53,103,12,620,0,5,0,0,0,0,0,0,0,13,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,9,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,3,0,3,0,9
UCL214018,3,5,0,3,0,0,4,3,0,18,7,12,4,3,3,0,0,0,0,38,55,31,274,13,16,17,70,37,12,528,19,3,153,0,3,9,20,19,3,232,5,3,9,0,0,0,7,4,0,26,7,16,0,11,0,0,3,0,0,37,3,20,0,3,0,0,0,0,0,35,58,34,6,8,26,12,19,4,0,168,9,9,7,25,5,3,4,0,0,62,0,3,3,0,0,0,0,0,0,12,6,0,16,0,0,0,3,5,3,36,0,0,0,0,0,0,0,0,0,3,4,0,0,0,3,0,4,3,0,22,4,3,28,0,9,0,15,11,7,72,174,143,506,71,74,42,147,103,27,1279,0,6,3,0,3,0,0,0,0,22,0,0,3,0,4,0,0,0,0,16,0,4,0,0,7,4,3,4,0,24,0,3,3,0,3,0,0,4,0,9,3,0,4,0,0,3,0,3,0,19
UCL214019,0,3,0,3,0,0,0,0,0,6,4,6,3,0,0,3,3,3,0,19,24,8,114,15,3,8,22,32,4,244,25,4,100,0,3,3,8,21,3,172,7,0,11,0,3,0,9,12,0,40,0,25,3,9,0,0,3,0,0,44,5,21,0,0,0,0,3,0,0,31,14,9,10,4,0,14,4,13,0,73,4,8,7,24,3,0,0,4,0,53,0,11,0,0,0,0,0,0,0,19,8,0,23,6,0,5,8,3,0,56,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,5,0,13,10,5,13,0,0,3,3,13,5,51,107,99,292,54,25,50,62,115,21,820,0,4,0,4,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,3,4,0,0,5,0,6,0,16
UCL214020,3,6,9,0,0,0,0,3,0,19,0,0,0,0,0,0,0,0,0,6,43,14,138,5,13,10,40,24,3,288,37,0,93,0,3,0,13,18,5,174,13,12,28,3,0,4,8,19,0,77,0,25,0,10,0,0,3,0,0,38,6,29,3,0,0,0,3,3,0,49,29,25,4,5,14,14,3,13,3,103,0,13,0,13,0,0,0,0,0,30,3,0,6,4,0,0,0,0,0,13,11,0,28,0,0,5,6,17,0,68,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,4,0,0,10,3,0,17,11,3,3,10,3,6,58,149,125,327,56,32,46,87,99,22,934,6,3,9,3,3,0,0,3,0,27,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,3,0,14,0,0,3,0,0,0,0,0,0,4,3,6,0,0,3,3,0,0,0,16
UCL215001,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,5,7,8,0,0,0,0,3,0,25,10,3,25,0,0,0,0,5,0,41,0,3,3,0,0,0,0,0,0,13,3,16,0,0,0,0,0,0,0,15,0,8,0,0,0,0,0,3,0,10,12,3,5,0,0,3,0,0,0,30,3,5,3,0,0,3,0,0,0,22,0,5,0,0,0,0,0,0,0,10,4,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,39,50,55,7,6,14,3,12,0,188,0,3,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,3,0,0,3,0,0,0,0,12
UCL215002,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,12,8,33,0,5,5,12,11,0,80,11,0,34,0,0,6,3,0,0,55,4,6,14,0,5,0,4,6,3,43,0,8,0,3,0,0,0,0,0,9,3,16,0,3,0,0,0,0,0,26,9,3,0,3,0,0,0,3,0,21,8,4,0,8,0,0,0,3,0,27,0,0,0,0,0,0,0,0,0,3,3,0,11,0,0,0,0,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,3,0,0,0,3,0,20,50,44,98,27,8,13,30,34,11,309,0,0,0,0,3,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,4
UCL215003,5,9,3,4,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,7,14,11,32,4,3,0,10,8,3,83,15,9,48,0,0,0,3,3,0,78,3,11,10,0,0,3,3,0,0,36,0,17,0,4,0,0,0,0,0,29,4,25,3,0,0,0,0,0,0,41,20,15,3,4,7,7,3,3,3,56,8,12,3,5,7,4,0,5,0,38,0,5,0,0,0,0,0,3,0,13,0,0,14,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,6,82,109,125,26,22,19,18,22,13,438,0,4,4,0,0,3,0,0,0,16,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,4,0,3,4,0,3,0,0,0,0,12
UCL215004,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,6,5,4,19,0,0,3,5,14,0,57,12,0,26,3,0,0,3,3,0,41,0,3,5,0,0,0,3,3,0,19,0,3,0,0,0,0,0,3,0,10,3,5,0,0,0,0,0,3,0,12,4,7,0,0,0,5,0,0,0,18,0,5,0,3,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,3,3,0,14,0,0,3,3,5,0,21,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,12,34,30,65,12,3,11,15,36,3,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL215005,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,14,13,53,3,3,7,13,8,5,117,4,3,28,0,0,0,4,10,0,44,4,0,3,0,0,0,3,0,0,16,0,10,0,4,0,0,0,0,0,18,8,7,0,0,0,0,0,0,0,11,8,5,0,0,7,4,3,0,0,21,0,11,0,3,0,0,0,0,0,14,0,4,0,0,3,3,0,0,0,15,0,0,5,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,3,3,0,0,0,4,3,0,12,34,61,95,16,17,16,25,26,5,300,3,0,4,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,3,0,0,0,11
UCL215006,5,7,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,8,20,9,40,0,0,6,12,13,0,103,16,5,50,0,5,3,0,8,0,77,10,3,7,0,0,0,0,10,0,26,0,15,0,0,0,0,0,3,0,20,8,24,3,0,0,0,0,0,0,42,12,14,0,0,9,4,0,3,0,42,0,11,0,8,3,0,0,4,0,32,5,3,5,0,0,0,0,0,0,17,0,0,6,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,12,82,102,114,15,17,11,20,32,5,396,0,8,4,3,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,7,0,3,0,0,0,0,12
UCL215007,0,5,0,0,0,0,3,0,0,12,3,7,5,0,0,0,3,0,0,22,23,27,172,14,11,9,31,33,11,320,16,0,90,4,0,3,12,23,0,151,8,6,12,0,3,0,6,4,0,47,0,11,6,0,0,0,3,7,0,26,6,26,5,3,0,3,4,0,0,46,31,16,12,7,10,7,3,3,0,88,3,15,4,17,3,4,3,3,0,55,0,4,0,0,0,3,0,0,0,16,4,0,14,3,0,5,6,4,0,38,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,5,3,3,7,0,0,3,0,3,3,34,102,117,328,55,33,39,75,79,19,853,0,4,5,4,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,4,0,0,0,9
UCL215008,0,3,0,3,0,0,0,0,0,5,0,3,0,0,3,0,3,0,0,12,18,7,63,8,7,3,14,9,3,135,8,3,24,0,0,0,0,8,0,39,3,0,0,0,0,0,0,0,0,7,0,7,0,3,0,0,0,0,0,16,5,18,0,0,0,0,4,0,0,22,12,7,13,7,4,10,3,0,0,56,5,8,4,5,4,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,3,0,3,9,58,54,116,25,19,11,26,24,5,353,0,3,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL215009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,19,4,0,0,5,4,0,41,3,0,3,0,0,0,0,0,0,14,0,3,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,9,8,8,28,3,4,8,11,12,6,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL215010,7,4,0,0,0,3,0,0,0,17,7,7,4,0,0,0,0,0,0,10,32,15,64,0,3,3,14,13,3,143,11,0,68,0,3,0,5,5,3,92,10,0,10,0,0,0,0,0,0,22,0,8,0,0,0,0,0,0,0,13,0,14,0,0,0,3,0,0,0,19,24,18,0,3,8,8,0,6,0,62,8,3,0,0,0,0,0,0,0,15,0,4,0,0,0,0,0,0,0,12,0,0,8,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,11,111,65,158,15,15,21,17,21,11,431,3,3,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6
UCL215011,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,17,0,0,3,4,3,3,37,0,0,4,0,0,0,3,0,0,15,6,0,3,0,0,0,0,4,0,7,0,0,0,3,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,19,12,29,8,0,6,11,4,3,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
UCL215012,3,6,0,3,0,0,0,3,0,16,0,0,0,0,0,3,0,0,0,6,9,9,47,4,3,6,10,7,0,99,5,3,27,4,0,0,3,4,3,49,10,3,8,0,0,0,6,3,0,28,9,31,4,9,0,0,0,3,0,56,4,19,4,4,0,0,0,0,0,41,22,5,4,3,8,3,0,0,0,53,6,16,0,14,0,3,0,0,0,47,3,3,3,0,3,0,0,0,0,12,7,0,17,0,0,0,3,3,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,8,3,3,5,5,0,0,3,3,0,23,84,105,117,43,23,26,24,34,4,464,6,4,0,0,0,0,0,0,0,18,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4
UCL215013,3,0,0,0,0,0,0,0,0,3,0,6,3,0,3,0,0,0,0,16,14,7,54,3,11,4,12,5,0,108,3,0,38,0,0,3,0,4,0,56,0,0,5,0,0,0,0,0,0,6,0,5,0,3,0,0,0,0,0,13,0,8,0,0,0,0,0,0,0,7,10,9,5,5,8,3,6,3,4,45,5,3,0,8,0,0,0,0,0,14,0,3,3,0,0,0,0,0,0,5,0,0,5,0,0,3,4,0,3,14,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,9,0,0,4,6,0,0,0,6,0,16,39,36,114,19,28,19,28,21,7,312,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
UCL215014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,3,42,0,3,3,9,4,3,79,9,0,33,0,0,0,3,8,0,52,0,0,6,0,0,0,0,0,0,5,3,6,0,0,0,0,0,0,0,10,0,4,0,0,0,0,0,0,0,4,4,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,4,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,4,3,15,21,19,94,3,5,4,20,20,5,196,0,3,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
