UCL_CODE_2016,M_AgriForestFish_0,M_AgriForestFish_1_15,M_AgriForestFish_16_24,M_AgriForestFish_25_34,M_AgriForestFish_35_39,M_AgriForestFish_40,M_AgriForestFish_41_48,M_AgriForestFish_49over,M_AgriForestFish_hours_NS,M_AgriForestFish_Tot,M_Min_0,M_Min_1_15,M_Min_16_24,M_Min_25_34,M_Min_35_39,M_Min_40,M_Min_41_48,M_Min_49over,M_Min_hours_NS,M_Min_Tot,M_Mnfg_0,M_Mnfg_1_15,M_Mnfg_16_24,M_Mnfg_25_34,M_Mnfg_35_39,M_Mnfg_40,M_Mnfg_41_48,M_Mnfg_49over,M_Mnfg_hours_NS,M_Mnfg_Tot,M_EGW_WS_0,M_EGW_WS_1_15,M_EGW_WS_16_24,M_EGW_WS_25_34,M_EGW_WS_35_39,M_EGW_WS_40,M_EGW_WS_41_48,M_EGW_WS_49over,M_EGW_WS_hours_NS,M_EGW_WS_Tot,M_Cnstn_0,M_Cnstn_1_15,M_Cnstn_16_24,M_Cnstn_25_34,M_Cnstn_35_39,M_Cnstn_40,M_Cnstn_41_48,M_Cnstn_49over,M_Cnstn_hours_NS,M_Cnstn_Tot,M_WTrade_0,M_WTrade_1_15,M_WTrade_16_24,M_WTrade_25_34,M_WTrade_35_39,M_WTrade_40,M_WTrade_41_48,M_WTrade_49over,M_WTrade_hours_NS,M_WTrade_Tot,M_RTrade_0,M_RTrade_1_15,M_RTrade_16_24,M_RTrade_25_34,M_RTrade_35_39,M_RTrade_40,M_RTrade_41_48,M_RTrade_49over,M_RTrade_hours_NS,M_RTrade_Tot,M_AccomFoodS_0,M_AccomFoodS_1_15,M_AccomFoodS_16_24,M_AccomFoodS_25_34,M_AccomFoodS_35_39,M_AccomFoodS_40,M_AccomFoodS_41_48,M_AccomFoodS_49over,M_AccomFoodS_hours_NS,M_AccomFoodS_Tot,M_TransPostWhse_0,M_TransPostWhse_1_15,M_TransPostWhse_16_24,M_TransPostWhse_25_34,M_TransPostWhse_35_39,M_TransPostWhse_40,M_TransPostWhse_41_48,M_TransPostWhse_49over,M_TransPostWhse_hours_NS,M_TransPostWhse_Tot,M_InfoMedTelecom_0,M_InfoMedTelecom_1_15,M_InfoMedTelecom_16_24,M_InfoMedTelecom_25_34,M_InfoMedTelecom_35_39,M_InfoMedTelecom_40,M_InfoMedTelecom_41_48,M_InfoMedTelecom_49over,M_InfoMedTelecom_hours_NS,M_InfoMedTelecom_Tot,M_FinInsurS_0,M_FinInsurS_1_15,M_FinInsurS_16_24,M_FinInsurS_25_34,M_FinInsurS_35_39,M_FinInsurS_40,M_FinInsurS_41_48,M_FinInsurS_49over,M_FinInsurS_hours_NS,M_FinInsurS_Tot,M_RentHirREserv_0,M_RentHirREserv_1_15,M_RentHirREserv_16_24,M_RentHirREserv_25_34,M_RentHirREserv_35_39,M_RentHirREserv_40,M_RentHirREserv_41_48,M_RentHirREserv_49over,M_RentHirREserv_hours_NS,M_RentHirREserv_Tot,M_ProScieTechServ_0,M_ProScieTechServ_1_15,M_ProScieTechServ_16_24,M_ProScieTechServ_25_34,M_ProScieTechServ_35_39,M_ProScieTechServ_40,M_ProScieTechServ_41_48,M_ProScieTechServ_49over,M_ProScieTechServ_hours_NS,M_ProScieTechServ_Tot,M_AdminSupServ_0,M_AdminSupServ_1_15,M_AdminSupServ_16_24,M_AdminSupServ_25_34,M_AdminSupServ_35_39,M_AdminSupServ_40,M_AdminSupServ_41_48,M_AdminSupServ_49over,M_AdminSupServ_hours_NS,M_AdminSupServ_Tot,M_PubAdmiSafety_0,M_PubAdmiSafety_1_15,M_PubAdmiSafety_16_24,M_PubAdmiSafety_25_34,M_PubAdmiSafety_35_39,M_PubAdmiSafety_40,M_PubAdmiSafety_41_48,M_PubAdmiSafety_49over,M_PubAdmiSafety_hours_NS,M_PubAdmiSafety_Tot,M_EducTrain_0,M_EducTrain_1_15,M_EducTrain_16_24,M_EducTrain_25_34,M_EducTrain_35_39,M_EducTrain_40,M_EducTrain_41_48,M_EducTrain_49over,M_EducTrain_hours_NS,M_EducTrain_Tot,M_HealthCareSocA_0,M_HealthCareSocA_1_15,M_HealthCareSocA_16_24,M_HealthCareSocA_25_34,M_HealthCareSocA_35_39,M_HealthCareSocA_40,M_HealthCareSocA_41_48,M_HealthCareSocA_49over,M_HealthCareSocA_hours_NS,M_HealthCareSocA_Tot,M_ArtRecServ_0,M_ArtRecServ_1_15,M_ArtRecServ_16_24,M_ArtRecServ_25_34,M_ArtRecServ_35_39,M_ArtRecServ_40,M_ArtRecServ_41_48,M_ArtRecServ_49over,M_ArtRecServ_hours_NS,M_ArtRecServ_Tot,M_OthServ_0,M_OthServ_1_15,M_OthServ_16_24,M_OthServ_25_34,M_OthServ_35_39,M_OthServ_40,M_OthServ_41_48,M_OthServ_49over,M_OthServ_hours_NS,M_OthServ_Tot,M_ID_NS_0,M_ID_NS_1_15,M_ID_NS_16_24,M_ID_NS_25_34,M_ID_NS_35_39,M_ID_NS_40,M_ID_NS_41_48,M_ID_NS_49over,M_ID_NS_hours_NS,M_ID_NS_Tot
UCL212005,11,16,14,35,36,41,40,80,6,278,5,0,0,0,6,8,13,22,0,53,39,29,26,45,246,220,205,157,5,973,5,3,0,9,27,61,19,23,3,159,29,31,41,66,167,347,139,158,7,991,4,12,13,23,82,68,79,76,3,354,22,157,72,68,145,89,66,101,5,731,13,205,65,63,59,50,26,63,7,551,13,19,17,22,53,69,47,117,3,372,0,3,0,4,18,17,9,8,0,71,4,8,3,3,22,42,22,22,0,126,0,10,3,4,10,6,14,30,0,78,7,7,16,19,51,61,44,77,4,287,3,34,21,16,44,29,5,20,3,174,9,13,16,34,106,75,44,29,0,338,20,41,30,36,99,67,59,84,4,436,18,25,39,65,106,138,47,60,3,496,4,31,8,18,21,11,14,15,0,124,9,25,12,13,62,72,18,39,0,258,14,13,12,19,66,62,30,36,55,307
UCL213001,0,7,8,3,11,20,8,23,0,81,3,0,0,0,3,6,8,34,3,60,4,5,8,4,86,119,71,95,3,395,0,0,5,3,16,18,14,26,0,80,17,16,24,49,101,281,152,217,12,869,0,5,3,6,42,47,26,43,3,173,8,60,21,24,57,34,26,38,6,272,3,68,21,7,20,17,8,13,0,167,16,11,16,36,68,118,78,160,11,523,0,3,5,3,14,15,11,17,0,57,3,0,0,4,26,20,12,10,0,78,0,3,0,3,8,7,10,13,0,48,4,17,11,11,30,62,22,41,0,196,0,8,6,11,26,17,15,16,0,100,13,7,5,15,68,90,30,53,0,278,0,25,13,17,26,25,16,28,3,157,3,3,5,11,22,32,8,7,0,95,3,11,3,8,18,9,8,6,0,63,4,8,9,11,31,51,18,44,0,171,5,7,6,9,39,63,25,43,35,233
UCL213002,0,12,8,9,16,16,11,22,3,98,0,0,0,0,0,0,9,20,0,32,11,9,12,36,67,61,60,61,0,317,0,3,0,3,14,15,8,7,0,49,17,12,17,28,72,105,49,79,7,377,0,10,6,13,26,22,19,16,0,111,5,45,18,22,69,54,37,59,3,318,5,37,10,22,19,23,4,26,0,153,5,8,14,8,19,18,16,49,0,143,0,5,0,0,8,4,6,3,0,29,3,0,0,0,5,5,0,3,0,17,0,0,0,3,3,3,5,11,0,27,3,3,8,12,15,21,10,23,4,96,4,15,10,16,4,8,8,10,3,70,8,3,7,4,27,22,16,11,0,104,4,8,7,8,28,15,6,16,5,98,9,7,23,30,25,19,13,18,0,137,3,7,0,0,8,0,0,7,0,19,3,12,9,10,21,31,12,35,0,124,6,10,3,14,25,29,4,21,23,136
UCL213003,11,17,12,26,28,25,19,57,6,195,0,0,0,0,0,4,0,5,0,13,22,18,44,67,209,151,99,93,7,713,3,0,0,0,8,16,5,3,0,46,9,14,11,12,57,82,69,64,0,317,3,4,3,3,18,15,24,14,0,86,9,32,13,21,52,25,32,26,3,219,0,54,19,8,19,10,7,20,0,143,4,6,9,10,15,20,33,69,7,172,0,4,3,3,10,7,9,6,0,39,0,0,0,3,3,13,6,13,0,38,0,0,0,0,0,0,0,8,0,12,0,8,3,4,15,13,12,12,0,65,4,19,14,11,16,3,8,6,0,85,9,0,5,7,40,15,15,14,0,106,0,4,7,10,15,10,8,15,0,84,0,9,9,22,38,20,5,13,0,117,0,9,0,0,4,3,0,0,0,26,0,6,10,9,26,23,13,16,0,97,0,12,9,11,27,16,6,22,34,142
UCL213004,3,13,6,5,19,23,22,24,3,111,0,0,0,0,0,7,0,9,0,20,5,14,14,15,102,73,58,61,5,339,0,0,0,0,14,11,10,9,0,49,13,10,16,25,80,174,90,126,8,552,0,3,0,6,26,25,13,17,0,96,3,39,9,8,36,37,21,18,0,176,5,50,14,9,9,10,6,16,0,121,4,6,4,19,27,33,20,55,8,175,0,0,3,0,8,8,8,5,0,29,0,7,0,3,3,8,3,4,0,25,0,3,0,0,4,3,3,11,0,21,3,3,3,9,15,28,14,12,0,93,0,11,4,7,18,16,3,12,0,61,9,6,0,3,22,32,21,14,0,106,5,12,11,10,13,21,12,36,0,128,3,3,12,22,15,16,4,9,0,89,0,10,3,0,12,4,3,0,0,35,0,11,9,10,22,31,20,35,0,136,9,12,8,14,24,32,13,31,31,167
UCL213005,0,0,3,3,4,3,4,7,0,31,3,0,0,0,0,0,0,14,0,22,3,10,12,8,82,75,39,51,0,277,0,4,3,4,9,9,4,8,0,44,16,27,18,40,78,163,80,116,7,539,3,3,7,6,14,18,17,26,0,106,6,44,19,19,41,52,22,41,0,253,3,46,16,20,14,19,6,16,0,148,22,8,11,12,21,32,29,53,9,198,0,3,0,3,4,7,0,4,0,25,0,0,0,4,9,22,8,9,0,53,0,3,0,0,9,12,3,7,0,35,3,5,9,6,23,23,20,31,0,122,3,15,13,12,16,17,6,9,0,86,6,4,3,6,55,48,21,22,3,174,3,21,12,5,28,27,13,24,3,131,3,11,12,21,37,20,15,13,0,123,3,9,4,4,8,8,7,4,0,42,0,8,6,9,36,33,9,23,0,129,10,16,4,10,17,24,10,15,25,126
UCL213006,3,10,5,8,12,21,14,32,4,114,0,0,0,0,0,0,0,9,0,17,13,14,17,15,114,93,106,110,0,490,3,3,0,0,6,9,6,6,0,37,15,11,12,29,61,124,75,104,4,434,0,3,0,5,19,18,18,20,0,81,10,44,22,23,63,42,26,33,6,260,13,74,27,21,40,33,12,45,3,264,7,10,10,15,29,22,28,41,3,160,3,3,0,0,0,6,0,5,0,19,0,0,0,3,6,10,3,8,0,28,0,0,3,0,3,5,0,6,0,21,4,4,0,8,12,17,9,18,0,79,0,14,4,10,7,6,8,6,0,57,8,3,0,5,27,47,18,15,0,119,3,14,7,9,21,22,20,31,0,127,12,15,11,11,31,22,20,7,0,125,0,4,0,6,5,3,3,3,0,36,3,7,6,10,44,31,8,27,0,140,8,12,3,9,15,27,7,26,38,149
UCL213007,10,16,13,23,36,50,25,69,3,247,0,0,0,0,0,5,3,16,0,26,3,6,9,12,51,45,24,27,0,174,0,7,3,3,24,45,11,12,0,111,24,17,19,30,118,166,107,92,4,569,3,12,3,7,50,43,42,42,0,196,6,59,30,34,104,86,45,44,9,417,9,63,19,17,29,26,12,30,3,209,12,15,12,13,42,38,31,70,6,240,0,0,5,4,18,10,11,10,0,49,0,4,0,0,11,16,8,10,0,52,5,3,0,0,3,8,9,16,0,38,5,5,7,4,25,34,5,24,3,108,0,15,13,9,22,8,3,10,0,82,10,5,5,13,83,55,22,23,3,230,0,10,3,11,35,25,20,39,4,149,7,19,14,34,51,70,28,39,4,268,4,15,5,4,10,9,5,4,0,54,7,12,7,14,34,59,20,33,3,190,0,12,11,4,33,20,8,23,39,155
UCL213008,0,7,0,4,7,15,3,14,0,59,4,0,0,0,0,5,10,18,0,31,7,12,6,16,121,159,82,94,0,500,0,0,0,3,26,15,12,11,0,65,19,16,12,19,94,196,85,144,4,592,0,7,3,8,37,39,17,26,0,138,17,48,27,26,58,48,23,37,3,275,8,93,21,13,12,11,3,12,0,175,13,16,14,16,53,93,68,103,7,375,0,8,0,3,4,10,3,5,0,38,3,0,0,0,28,21,9,20,0,84,0,3,0,0,5,6,3,9,0,26,0,9,5,3,25,67,26,44,0,182,4,11,7,4,21,23,13,18,0,103,6,3,6,11,59,96,38,43,0,273,4,5,12,9,32,23,17,17,3,120,3,12,9,11,22,22,8,18,0,99,3,8,0,0,10,12,10,6,0,55,3,11,5,3,23,25,18,25,3,107,3,6,0,10,32,34,16,31,30,161
UCL213009,0,0,0,0,4,4,7,3,0,31,0,0,0,0,3,0,0,3,0,9,11,6,3,10,68,102,46,64,4,321,3,3,0,3,14,11,14,8,0,58,15,13,18,25,102,202,83,126,0,582,3,7,0,4,23,33,22,27,0,114,5,54,18,32,75,51,40,32,3,302,7,62,18,10,13,12,10,21,3,160,3,7,11,16,17,38,29,59,3,186,3,4,0,0,11,5,0,0,3,27,0,0,0,3,18,16,11,3,0,52,0,0,3,0,0,8,7,6,0,23,0,12,5,11,31,40,21,15,0,130,3,10,5,16,21,18,6,10,0,83,12,7,8,7,43,58,22,28,0,193,3,15,3,7,30,27,12,30,0,128,9,8,12,29,32,20,11,14,0,126,0,4,6,4,6,7,3,0,0,40,4,3,9,3,26,35,14,28,0,119,6,5,5,4,20,32,10,16,24,122
UCL213010,4,3,4,7,14,12,4,10,0,67,4,3,3,3,15,11,11,24,0,78,10,18,15,20,81,76,54,35,3,312,17,0,10,15,112,84,44,53,3,336,12,20,16,18,84,152,54,96,4,464,3,5,7,3,19,16,8,7,0,67,8,49,22,21,70,33,20,29,8,259,0,52,15,16,19,9,10,15,3,140,4,4,9,8,35,41,17,39,0,156,0,4,4,0,4,9,3,3,0,26,0,3,0,0,8,3,0,3,0,20,3,4,0,0,7,3,3,9,0,28,8,6,3,7,17,15,3,20,0,83,0,11,11,21,15,9,13,7,0,87,5,11,9,12,45,19,10,10,0,134,0,11,10,13,17,24,11,13,0,97,0,8,16,29,23,14,10,7,0,110,0,8,0,3,6,7,0,0,0,35,4,6,3,9,32,39,15,28,0,122,3,12,11,6,30,28,13,16,37,154
