UCL_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
UCL222090,53,650,451,150,982,0.7,778,2.2
UCL222091,58,1050,495,216,1104,0.7,969,1.9
UCL222092,44,1168,646,250,1550,0.6,1125,1.9
UCL222093,38,1300,634,185,1600,0.7,1386,2.7
UCL222094,57,1500,787,375,1828,0.7,1586,2.3
UCL222095,55,867,440,155,949,0.7,693,1.9
UCL222096,52,1549,541,265,1166,0.6,907,2.1
UCL222097,42,1200,473,240,1228,0.8,958,2.4
UCL222098,40,1792,621,260,1852,0.8,1702,2.8
UCL222099,53,863,437,173,966,0.7,787,2.2
UCL222100,37,1300,545,280,1237,0.8,1023,2.4
UCL222101,55,737,404,140,888,0.7,710,1.9
UCL222102,46,1300,710,200,1468,0.7,1125,2.3
UCL222103,37,1300,662,250,1687,0.8,1547,2.8
UCL222104,40,1320,592,210,1230,0.8,1118,2.7
UCL222105,54,1348,524,160,1542,0.7,1042,2.4
UCL222106,38,1598,779,260,2019,0.9,1833,3
UCL222107,31,1213,622,210,1735,0.8,1544,2.6
UCL222108,52,875,472,170,1087,0.7,776,2
UCL222109,54,975,459,150,1017,0.7,743,2
UCL222110,39,1517,680,341,1616,0.8,1375,2.6
UCL222111,39,1509,697,295,1645,0.9,1488,3
UCL222112,48,547,575,75,1625,0.6,1083,2.2
UCL222113,44,1328,581,226,1386,0.8,1091,2.3
UCL222114,39,1241,706,250,1593,0.7,1266,2.4
UCL222115,55,531,450,170,830,0.6,730,1.7
UCL222116,40,1083,521,255,1406,0.8,1089,2.5
UCL222117,45,1367,586,260,1187,0.7,926,2.5
UCL222118,43,2234,598,0,2250,0.8,2437,3.1
UCL222119,41,1105,569,240,1518,0.8,1343,2.7
UCL222120,46,694,491,210,962,0.9,929,2.5
UCL222121,40,1083,489,220,1328,0.7,959,2
UCL222122,42,1200,732,315,1792,0.8,1575,2.6
UCL231777,45,1517,615,180,1555,0.8,1328,2.6
UCL279997,49,0,3000,0,0,0,0,0
UCL299994,34,0,398,0,0,0,0,0
