UCL_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
UCL222070,0,0,3,5,0,14,0,0,0,24,0,0,3,0,0,0,0,0,0,13,6,9,4,4,3,0,0,4,0,36,6,15,11,10,6,6,0,3,0,59,11,21,13,3,12,6,0,0,0,70,10,6,3,8,6,7,0,3,0,46,0,3,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,53,40,29,37,28,3,16,0,253
UCL222071,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,4,0,8,0,0,3,0,3,0,0,0,0,11,3,3,6,0,4,3,3,4,0,29,0,3,5,3,4,3,4,11,0,35,4,3,5,0,0,0,4,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,24,10,19,10,12,20,0,117
UCL222072,0,0,4,4,0,5,0,4,0,15,0,0,0,3,0,0,0,3,0,9,0,0,3,0,0,3,0,0,0,10,0,3,3,0,3,0,3,3,0,13,5,0,3,0,3,3,3,0,0,21,3,7,5,5,0,7,3,3,0,28,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,20,14,8,12,6,21,0,108
UCL222073,0,0,0,0,0,3,0,4,0,8,0,0,0,0,0,3,0,5,0,11,4,3,3,3,0,0,0,3,0,15,0,0,0,3,0,0,0,0,3,7,0,0,5,6,0,3,0,5,0,18,3,3,4,0,0,3,6,4,0,22,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,14,16,5,9,9,17,6,90
UCL222074,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,4,0,4,0,16,3,4,3,0,0,0,0,6,0,18,0,3,3,0,0,3,3,3,0,17,0,0,4,8,0,0,6,5,0,27,3,0,3,0,3,3,3,5,0,21,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,14,15,5,20,13,30,0,116
UCL222075,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,3,7,0,3,0,3,5,0,22,0,3,4,3,0,3,3,4,0,14,4,3,0,5,0,3,3,3,0,24,4,0,5,0,0,3,3,6,0,23,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,19,8,15,17,7,11,14,13,0,110
UCL222076,0,0,0,7,0,3,0,0,0,13,0,4,3,0,0,0,0,0,0,14,5,3,13,0,0,0,0,0,0,22,9,15,14,4,7,3,3,4,0,49,8,12,13,7,5,3,3,9,0,45,3,8,3,7,6,0,3,3,0,31,0,4,0,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,48,41,23,18,7,12,18,3,189
UCL222077,0,0,0,0,0,3,0,4,0,9,0,3,0,0,0,0,0,3,0,14,3,4,7,0,0,0,0,3,0,13,0,5,6,0,3,0,0,0,0,14,5,10,10,0,5,3,3,4,0,38,0,13,4,3,3,0,3,3,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,36,25,10,8,7,4,15,3,117
UCL222078,0,0,0,0,0,3,0,3,0,5,0,0,3,0,0,0,0,3,0,4,3,6,3,0,3,0,0,0,0,16,4,3,7,0,3,0,7,0,0,24,6,0,8,7,11,0,4,7,3,38,10,9,4,6,5,3,0,7,0,49,0,0,0,0,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,22,26,14,20,11,14,19,4,148
UCL222079,0,0,0,0,0,3,0,0,0,4,0,0,0,3,0,3,3,3,0,17,3,4,5,0,4,3,6,6,0,32,3,0,3,3,3,3,9,4,0,29,9,0,3,4,3,0,7,4,0,36,0,4,0,0,10,3,0,7,0,29,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,11,18,12,18,13,26,33,4,150
