UCL_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
UCL212005,209,187,392,611,560,1169,555,574,1126,55,57,108,1215,1190,2410,609,583,1189,316,380,700,44,50,95,967,1014,1981,58,83,142,11,65,84,95,60,154,89,172,262,0,3,6,258,392,646,117,199,310,63,84,149,24,31,59,77,171,246,0,0,3,273,495,769,25,20,46,36,80,120,0,4,4,59,103,162,1141,1288,2425,4127,4664,8792
UCL213001,166,139,303,607,615,1222,94,106,202,91,99,193,787,826,1610,309,303,617,147,140,288,141,147,287,596,590,1187,16,25,41,3,21,25,59,20,82,30,55,85,0,0,0,107,122,229,105,133,239,25,71,91,10,28,44,43,103,146,3,0,3,182,336,519,35,27,58,37,68,104,0,0,0,70,91,161,514,570,1084,2428,2673,5102
UCL213002,101,86,190,312,313,622,89,103,196,71,42,119,475,462,935,218,202,421,110,116,230,32,29,63,364,354,717,20,45,61,8,24,32,30,30,60,32,34,73,0,4,3,95,139,230,13,25,42,4,27,32,4,9,19,18,66,93,0,0,0,43,137,176,8,10,18,14,39,54,0,3,7,26,56,78,668,835,1506,1758,2064,3830
UCL213003,111,108,211,270,226,494,227,214,446,4,3,6,504,440,949,159,156,318,196,200,395,0,6,5,356,356,717,9,22,28,0,12,11,34,16,48,27,46,78,3,0,3,78,89,168,10,32,44,9,18,27,3,14,21,19,38,60,0,0,0,43,111,153,5,15,16,18,27,49,0,0,0,28,39,71,444,483,930,1568,1631,3192
UCL213004,100,103,197,359,320,680,125,144,270,58,48,113,545,513,1057,238,216,453,52,68,125,47,60,106,338,348,689,23,14,35,14,27,39,44,25,75,23,60,79,0,0,0,97,133,227,39,57,91,15,44,57,10,6,19,27,60,83,0,0,4,92,164,251,12,14,30,14,36,48,0,0,0,23,52,73,439,518,958,1635,1821,3457
UCL213005,114,88,202,381,378,759,103,91,192,40,53,86,521,518,1040,240,216,456,105,118,226,65,46,107,409,377,787,15,26,38,4,24,23,44,21,61,36,43,77,0,0,0,95,109,205,58,99,155,17,47,64,12,13,26,25,56,84,0,0,0,106,217,326,13,14,27,21,37,58,0,3,5,28,58,89,344,395,736,1620,1754,3376
UCL213006,88,65,153,347,322,672,117,139,256,49,46,96,511,505,1021,177,135,307,187,179,367,54,50,101,413,363,779,13,22,33,9,16,19,36,33,70,29,54,80,0,3,4,88,124,209,27,35,61,9,34,41,7,12,12,14,50,66,0,0,0,59,131,185,11,13,27,13,40,56,0,0,0,19,57,81,547,622,1164,1722,1873,3600
UCL213007,124,118,234,439,410,848,112,98,214,125,112,240,675,624,1299,307,295,601,152,123,272,26,39,61,483,455,942,12,9,24,4,15,18,33,19,45,28,32,62,0,0,0,78,76,154,25,59,84,21,26,52,8,30,35,42,70,117,0,0,0,90,191,280,11,21,32,22,57,74,0,0,3,34,71,111,530,555,1079,2014,2082,4095
UCL213008,136,133,263,424,392,818,153,167,320,48,44,91,623,610,1227,321,262,584,101,143,241,78,79,153,496,483,980,27,29,52,6,22,27,42,21,70,29,63,94,0,0,0,109,132,241,85,122,205,13,43,62,12,21,38,37,75,110,4,0,3,151,269,423,13,16,32,25,35,56,0,0,0,41,53,88,316,343,660,1869,2018,3888
UCL213009,107,101,208,402,369,772,85,83,165,41,34,74,526,488,1016,229,216,445,134,149,283,47,61,111,406,425,836,19,27,47,8,28,39,30,16,50,38,45,89,0,0,0,104,115,227,66,103,168,17,43,56,12,15,24,36,65,101,0,0,4,122,225,343,12,14,20,20,34,58,0,0,0,31,51,80,278,283,564,1581,1689,3265
UCL213010,69,86,157,404,397,804,109,90,195,13,10,22,523,490,1018,353,349,702,41,29,68,36,28,65,427,406,834,40,43,78,11,32,44,49,27,79,26,51,77,6,4,6,138,152,295,50,69,117,12,35,51,9,14,18,13,47,59,0,0,0,85,159,245,19,11,35,22,64,79,0,4,4,45,76,117,641,651,1290,1932,2030,3959
UCL213011,86,78,159,358,297,655,154,133,290,11,11,19,524,437,956,256,241,502,72,66,138,26,18,47,354,328,681,21,30,54,12,38,45,26,27,56,25,51,77,3,0,4,85,144,228,36,59,95,21,35,56,3,21,22,32,46,74,0,0,0,88,160,248,23,12,40,21,49,75,0,0,5,52,66,114,724,752,1476,1906,1955,3865
UCL213012,209,146,358,669,665,1332,213,217,432,76,60,131,952,946,1895,260,213,467,211,214,423,165,124,291,631,553,1188,19,22,41,14,24,31,53,25,80,57,75,130,0,0,0,143,143,283,115,154,269,25,57,87,16,23,43,59,143,201,0,0,0,213,384,596,11,17,29,23,57,82,0,0,0,35,78,110,437,453,886,2622,2697,5322
UCL213013,71,63,131,274,235,511,79,84,160,34,26,59,390,341,729,236,223,459,29,38,66,48,31,78,313,298,604,13,9,24,3,8,15,29,30,63,16,48,63,0,0,0,57,102,162,17,25,41,10,15,28,0,4,3,16,36,59,0,0,0,48,83,134,5,7,13,14,38,54,0,3,5,21,47,72,499,493,995,1391,1436,2824
UCL213014,136,95,227,362,334,701,157,162,315,52,29,83,570,531,1096,193,181,372,156,139,300,60,78,142,406,397,806,24,18,46,10,10,19,41,23,63,21,61,88,0,0,0,93,122,214,35,57,87,5,33,40,3,17,19,49,98,143,0,0,0,94,201,292,16,21,40,14,43,59,0,0,0,30,66,101,555,574,1128,1883,1986,3866
UCL213015,74,87,159,247,212,466,123,134,256,16,29,43,384,380,759,223,208,431,103,107,219,8,15,28,336,334,675,8,11,20,6,11,20,35,30,65,40,48,86,3,0,7,101,102,202,17,37,50,4,20,30,9,9,18,10,40,50,0,0,0,44,108,153,6,9,23,17,30,39,0,0,3,27,39,67,623,629,1248,1590,1675,3261
UCL213016,210,206,416,622,565,1187,216,211,424,99,79,182,942,853,1792,295,226,525,142,192,332,175,177,349,613,593,1209,21,24,52,7,18,28,46,21,61,42,55,99,0,0,0,119,126,240,115,152,269,49,79,128,13,23,36,63,125,191,0,3,3,242,384,624,14,15,29,31,57,86,0,0,3,46,75,117,429,445,869,2594,2680,5269
UCL213017,127,151,279,402,323,722,329,281,612,75,89,165,802,693,1493,221,237,461,278,306,583,54,63,125,561,608,1168,35,39,76,10,38,48,48,38,78,39,67,103,0,6,4,134,183,314,42,75,116,17,44,59,4,15,17,36,102,142,0,3,3,98,235,339,14,16,29,14,42,60,0,0,0,31,54,88,724,879,1600,2475,2802,5280
UCL213018,101,115,215,379,365,743,126,126,250,97,89,181,601,583,1180,210,233,439,123,119,245,122,139,260,452,488,942,17,34,53,5,28,32,28,30,61,27,59,85,0,0,0,84,144,226,63,114,178,19,66,79,14,23,36,38,106,139,0,0,0,133,306,441,16,23,46,21,40,61,3,0,0,45,67,105,441,524,963,1845,2228,4072
UCL214001,39,45,82,188,199,388,53,52,106,4,3,6,251,251,502,106,90,193,96,103,204,3,0,6,204,201,403,4,0,4,3,11,16,19,7,22,9,16,21,0,0,0,36,28,64,13,20,37,9,16,21,7,12,17,5,27,34,0,3,3,38,73,108,0,4,4,10,16,22,0,0,0,10,15,25,226,254,475,797,869,1667
UCL214002,59,58,114,190,172,362,105,94,201,21,23,40,313,286,601,165,153,317,75,82,162,35,36,69,276,277,548,9,18,23,5,15,17,27,18,40,11,44,53,0,0,4,55,84,143,6,20,34,4,13,13,3,6,9,7,34,41,0,0,0,24,75,94,3,8,11,12,15,28,0,0,0,18,23,45,358,443,803,1106,1247,2350
UCL214003,65,55,119,283,267,545,21,24,38,53,44,96,355,333,681,177,172,348,28,25,56,54,56,112,265,247,512,18,13,29,7,15,25,18,5,23,17,14,36,0,0,0,61,49,115,20,32,51,23,39,58,3,4,9,26,70,99,0,0,0,71,151,224,0,11,10,16,31,42,0,3,3,11,39,56,1102,483,1583,1927,1363,3297
UCL214004,43,25,66,82,72,149,87,93,179,26,22,53,196,186,382,93,110,202,44,31,78,24,17,39,161,157,319,8,3,6,3,10,13,14,13,26,7,21,31,0,0,3,29,54,86,13,12,28,0,13,15,0,8,4,7,17,17,0,0,0,18,44,60,9,9,23,8,17,27,0,0,0,21,36,56,262,262,521,728,765,1489
UCL214005,6,7,6,29,35,67,7,6,9,0,0,0,37,41,79,41,23,64,11,9,19,0,3,3,48,35,89,3,3,5,0,3,5,9,3,10,5,8,13,0,0,0,18,15,34,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,3,3,4,0,0,0,3,3,4,30,31,65,146,136,287
UCL214006,149,96,243,379,345,726,123,132,255,30,21,56,532,503,1030,167,191,357,152,131,287,71,48,115,394,369,763,12,13,27,5,10,8,24,17,39,20,25,48,0,3,3,62,65,136,76,103,182,8,19,31,14,16,23,27,76,100,0,0,0,125,218,342,7,9,12,12,40,53,0,0,0,19,48,72,285,310,598,1570,1611,3179
UCL214007,60,66,127,224,193,418,44,42,87,60,55,113,323,297,614,115,110,228,105,100,208,76,66,137,295,281,574,19,21,35,0,4,5,24,11,43,23,37,62,0,0,3,69,75,147,15,11,24,7,10,18,3,3,5,18,38,56,0,0,0,43,61,106,10,12,20,14,24,37,0,0,0,25,40,59,310,343,657,1122,1171,2290
UCL214008,72,89,161,229,213,437,89,99,185,19,14,35,335,324,662,187,152,336,29,44,73,29,54,85,240,247,487,5,17,24,3,12,10,34,15,54,19,28,47,0,0,0,65,69,138,24,48,74,4,19,24,3,3,8,15,44,61,0,0,0,50,125,168,3,4,8,18,33,55,0,0,0,22,36,58,300,320,625,1092,1208,2299
UCL214009,40,34,79,159,166,324,33,27,59,14,19,29,207,208,414,88,63,151,15,31,50,24,27,49,132,119,252,0,4,4,3,3,8,6,6,9,12,25,34,0,0,0,18,32,49,5,10,14,4,11,18,0,3,3,11,34,42,0,0,0,25,53,73,3,0,4,13,14,24,0,0,0,13,13,27,174,199,376,608,667,1268
UCL214010,69,49,117,208,197,402,120,94,217,19,17,30,343,307,650,116,108,225,138,116,252,93,56,154,346,282,635,15,16,25,3,8,12,34,16,53,16,13,30,0,0,0,69,49,117,36,44,75,6,21,30,4,8,15,17,45,60,0,0,0,64,115,176,7,6,14,4,23,30,0,0,0,15,33,41,271,300,571,1176,1137,2311
UCL214011,42,42,86,123,114,242,82,84,166,7,8,15,216,209,422,125,100,218,52,41,96,13,11,23,189,153,336,6,3,15,0,10,13,20,7,28,13,15,31,0,0,0,41,41,80,4,16,24,0,5,10,0,0,0,7,16,26,0,0,0,15,44,57,5,6,8,3,13,11,0,0,0,7,16,19,250,316,569,761,815,1575
UCL214012,41,33,73,96,90,182,78,88,168,3,0,3,181,172,354,70,81,153,63,54,118,10,5,20,151,137,288,5,12,21,0,10,7,9,8,19,9,15,21,0,0,0,23,46,67,3,11,19,0,7,7,3,3,6,15,15,34,0,0,0,23,39,64,3,4,13,8,18,20,0,0,0,12,25,36,353,373,733,777,837,1609
UCL214013,54,47,98,153,162,311,51,40,92,9,22,26,204,223,423,109,98,210,40,50,87,14,18,35,161,162,330,7,4,9,4,7,6,16,8,27,9,29,34,0,0,0,35,48,79,14,7,26,0,14,17,3,5,4,11,31,41,0,0,0,27,56,88,7,5,10,4,9,18,0,0,0,9,15,30,181,224,402,670,781,1448
UCL214014,45,49,90,193,173,369,69,76,150,9,0,12,270,258,525,143,144,288,22,15,38,37,45,77,200,204,408,8,13,23,3,8,15,16,7,21,11,19,21,3,0,3,40,45,88,18,16,32,5,6,14,3,6,17,14,21,34,0,0,3,38,59,99,10,11,18,9,21,28,0,0,0,12,28,42,300,356,650,906,997,1902
UCL214015,34,44,78,132,122,252,46,34,78,27,17,45,201,177,377,82,72,145,37,32,68,14,13,30,124,117,238,11,6,17,3,12,19,17,9,29,8,17,30,0,0,0,39,49,86,17,24,42,12,16,25,0,0,7,7,31,39,0,0,0,39,68,111,3,5,4,16,22,36,0,0,0,16,26,41,307,325,631,760,810,1570
UCL214016,37,28,67,113,120,228,68,53,117,0,3,3,179,173,352,107,131,237,37,50,85,3,10,16,155,183,340,43,20,56,3,12,17,17,16,31,19,28,45,0,0,0,76,79,156,8,25,33,3,10,16,3,0,4,6,29,42,0,0,0,29,72,98,44,9,52,12,8,23,3,0,3,59,17,74,342,389,729,867,946,1813
UCL214017,43,32,68,130,127,252,28,41,75,3,0,7,161,169,337,124,106,227,29,34,65,4,3,8,159,143,307,4,4,5,3,3,5,10,6,14,7,11,19,0,0,0,29,19,53,0,10,10,3,11,17,0,7,7,7,28,30,0,0,0,13,47,59,5,8,10,8,11,21,0,0,0,11,19,29,235,274,512,656,714,1366
UCL214018,100,76,179,339,330,673,86,80,168,20,28,46,436,445,884,243,215,455,82,86,174,21,28,47,352,327,679,6,20,28,0,6,14,34,21,57,24,42,65,0,3,3,75,87,162,35,55,92,10,15,26,4,15,19,18,35,55,0,0,0,74,118,187,10,14,17,12,34,49,0,0,0,19,46,64,342,371,716,1394,1473,2867
UCL214019,56,47,110,187,191,377,70,54,130,3,13,16,262,264,529,193,176,367,12,29,46,13,25,39,219,233,447,14,16,28,3,16,17,23,10,40,15,32,46,0,3,3,61,79,136,11,15,24,8,12,15,3,3,4,11,32,39,0,0,0,32,61,91,11,12,24,15,26,43,0,3,3,22,49,69,369,433,800,1013,1171,2182
UCL214020,80,63,138,159,148,311,137,125,258,3,8,16,297,282,584,112,93,205,63,60,128,23,13,36,200,173,368,0,3,8,5,11,17,21,22,48,27,38,60,0,0,0,59,76,134,13,24,36,6,6,10,0,9,11,9,21,23,0,0,0,24,53,74,11,3,13,11,16,25,0,0,0,22,19,40,419,425,842,1094,1095,2183
UCL215001,3,4,9,36,32,67,0,0,0,0,3,4,40,35,75,25,19,42,15,4,13,9,8,19,45,34,80,0,0,0,0,0,0,0,0,0,4,6,11,0,0,0,4,3,11,6,11,19,0,8,9,0,0,0,3,4,3,0,0,0,12,20,33,0,0,0,3,6,10,0,0,0,3,5,14,38,48,87,152,154,306
UCL215002,14,16,30,39,47,91,39,35,75,0,0,0,77,87,162,59,41,100,0,0,0,0,0,0,56,38,99,3,3,7,0,0,3,7,0,7,3,3,5,0,0,0,18,12,28,0,7,11,0,3,3,0,0,4,6,13,12,0,0,0,9,24,29,3,7,14,5,5,13,0,0,0,8,9,22,118,113,229,303,294,595
UCL215003,26,19,40,91,57,144,6,5,15,10,10,16,105,72,175,44,32,75,10,17,26,12,20,34,72,68,138,0,0,3,0,0,3,9,4,13,12,5,15,0,0,0,25,10,29,6,20,21,4,10,12,3,3,8,12,26,32,0,0,0,20,53,71,0,0,0,4,4,5,0,0,0,4,8,8,85,74,163,331,305,635
UCL215004,10,4,9,43,46,91,0,0,0,0,0,0,43,46,91,22,22,52,4,5,4,0,0,0,29,28,56,0,0,4,0,3,3,3,3,5,0,6,9,0,0,0,4,10,17,0,7,3,0,3,9,3,0,4,6,0,7,0,0,0,10,12,22,0,0,3,0,4,5,0,0,0,3,3,10,75,74,146,175,178,350
UCL215005,11,16,30,67,58,123,38,32,71,0,7,9,109,92,197,38,38,76,21,11,34,4,8,13,64,61,120,8,9,10,3,0,3,0,3,6,5,15,15,0,0,0,11,23,36,4,15,18,3,12,16,3,0,3,7,24,33,0,0,0,20,49,67,0,0,0,8,9,21,0,0,0,8,13,19,101,94,199,322,346,663
UCL215006,22,17,42,77,96,176,5,4,3,3,4,11,84,99,191,37,25,59,21,24,41,18,19,39,73,58,135,3,4,10,0,8,4,4,0,9,6,9,13,0,0,0,18,19,36,10,21,37,3,9,11,0,3,6,7,11,15,0,0,0,18,47,64,0,0,6,3,10,12,0,0,0,6,10,13,97,94,194,317,354,674
UCL215007,68,53,125,257,231,483,20,20,37,48,24,67,322,269,587,101,76,174,63,62,121,58,32,92,219,170,390,5,8,19,3,4,13,18,12,33,12,26,40,0,0,3,45,59,98,17,28,42,3,6,12,0,4,8,17,33,43,0,0,0,39,71,109,3,4,8,3,18,21,0,0,0,5,17,28,150,160,307,851,802,1647
UCL215008,24,27,55,72,99,164,21,24,49,19,24,47,111,152,263,35,30,66,23,22,47,17,11,24,77,63,139,3,0,3,0,4,0,9,3,11,8,13,23,0,0,0,21,20,45,3,11,19,6,3,10,0,0,0,8,24,30,0,0,0,16,38,59,4,3,13,4,9,15,0,0,0,13,11,21,46,51,97,297,369,669
UCL215009,14,6,23,23,27,47,0,0,0,4,0,4,31,27,51,20,13,37,0,0,0,0,0,0,22,16,38,0,0,0,0,0,0,0,3,4,0,3,3,0,0,0,0,11,13,3,0,3,0,0,3,0,0,0,0,3,3,0,0,0,4,4,13,0,0,0,0,0,0,0,0,0,0,3,3,29,29,59,94,97,192
UCL215010,23,29,50,106,72,174,15,10,24,24,30,52,152,107,252,41,32,75,17,15,36,38,47,82,99,92,191,0,3,3,0,3,3,15,3,12,4,10,19,0,0,0,19,14,39,22,26,48,0,6,10,3,8,10,4,14,17,0,0,0,36,51,87,3,0,3,0,8,8,0,0,0,3,11,13,70,62,130,400,365,761
UCL215011,12,5,19,31,28,57,4,4,9,3,3,4,38,33,71,17,21,30,3,4,4,3,0,7,24,21,43,0,0,0,0,0,0,3,0,3,5,0,5,0,0,0,9,3,5,0,7,5,3,0,5,0,0,0,0,0,0,0,0,0,3,7,14,0,3,3,0,3,3,0,0,3,0,3,9,44,62,112,127,146,268
UCL215012,27,25,53,47,63,113,25,35,57,22,26,52,98,128,226,51,44,94,27,20,51,8,10,20,92,75,166,3,5,7,3,3,7,4,9,11,13,10,20,0,0,0,22,29,44,3,3,5,7,12,13,0,3,5,6,26,35,0,0,0,16,44,63,0,0,3,3,5,9,0,0,0,6,10,11,113,123,233,369,428,798
UCL215013,24,19,41,89,70,159,22,28,45,12,8,21,118,109,229,31,35,68,10,9,19,9,4,15,54,52,102,5,3,8,0,4,6,4,0,4,4,4,13,0,0,0,10,17,34,7,14,20,3,4,6,0,3,3,7,8,15,0,0,0,16,29,46,3,0,4,3,9,11,0,0,0,5,10,10,72,71,145,302,300,604
