UCL_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
UCL212005,3,5,6,36,25,59,0,0,0,4,4,9,22,16,35,5187,4753,9943,466,492,960,68,0,68,38,4,39,107,33,137,48,21,66,347,280,624,6321,5616,11940,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,3,0,5,3,6,4,3,0,3,13,5,13,47,23,68,63,29,91,0,0,3,0,0,4,3,0,3,3,4,8,147,241,387,543,996,1540,64,67,133,7142,6956,14105
UCL213001,175,192,362,9,22,28,0,0,0,3,0,3,3,0,4,2967,2440,5406,174,182,356,62,0,60,15,0,19,14,0,14,23,11,31,70,61,130,3512,2914,6421,21,7,28,0,0,0,10,15,22,54,32,80,3,7,13,9,0,9,97,62,160,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,36,10,42,136,75,209,22,30,57,3,0,3,0,0,0,25,36,63,101,164,264,297,487,777,29,32,60,4096,3694,7794
UCL213002,0,3,4,9,7,14,0,0,0,0,0,0,6,5,9,1811,1625,3435,123,132,252,35,0,35,11,0,18,46,18,68,17,6,21,66,93,161,2133,1890,4026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,16,3,14,18,9,20,3,0,3,0,0,3,3,0,3,5,0,10,51,90,139,216,375,587,26,46,71,2449,2403,4853
UCL213003,3,4,9,4,3,9,0,0,3,0,0,0,6,8,8,2019,1664,3684,130,137,267,26,0,26,12,0,12,58,16,72,16,4,20,134,117,255,2405,1945,4349,0,0,0,0,0,0,0,0,0,4,0,0,3,0,3,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,10,31,27,12,40,0,0,0,0,0,0,0,0,0,0,0,0,37,74,108,202,354,549,32,39,77,2711,2423,5127
UCL213004,54,35,93,8,7,13,0,0,3,0,0,3,6,0,3,1887,1554,3440,87,90,177,51,0,49,5,0,5,8,0,5,5,8,18,45,35,79,2161,1728,3889,3,0,4,0,0,0,3,0,3,10,3,16,5,4,12,3,0,3,27,10,39,0,0,0,0,0,0,0,3,3,0,3,4,0,0,0,5,4,8,18,8,27,45,20,72,8,3,10,0,0,0,0,0,0,8,3,11,86,98,190,211,365,574,23,30,50,2533,2255,4789
UCL213005,24,18,39,31,31,65,0,0,0,0,0,3,0,0,0,2014,1819,3827,118,126,247,29,0,29,17,0,12,5,4,14,16,0,21,27,30,64,2287,2025,4310,5,0,4,0,0,0,0,0,0,23,14,42,0,0,0,3,0,3,29,17,51,0,0,0,0,0,0,3,7,15,0,5,3,0,0,0,6,12,21,12,11,26,52,44,96,6,9,22,0,0,0,0,0,0,6,11,21,64,133,199,214,376,596,26,25,58,2657,2617,5268
UCL213006,3,0,3,6,6,17,0,0,0,0,0,0,7,8,14,2078,1900,3977,145,137,283,34,3,39,12,0,16,29,15,43,16,8,27,102,133,236,2432,2221,4652,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,18,13,8,22,0,0,0,0,0,0,0,0,0,3,0,3,64,118,178,202,413,619,46,36,85,2763,2793,5560
UCL213007,0,0,0,18,16,35,4,0,8,0,0,4,4,7,13,2633,2356,4991,172,188,357,42,0,42,16,8,24,55,17,72,30,4,38,172,156,336,3160,2753,5911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4,6,33,9,40,34,13,50,0,0,0,0,0,0,5,0,5,5,0,5,66,163,229,271,485,753,38,30,73,3571,3450,7014
UCL213008,186,133,318,11,10,17,0,0,0,0,0,0,4,3,6,2508,2114,4624,167,153,316,39,0,37,21,3,23,15,0,15,18,13,32,21,32,51,2990,2448,5438,14,14,29,0,0,0,8,11,15,43,31,76,8,6,9,7,0,10,78,59,133,0,0,0,0,0,0,5,4,5,0,0,0,0,0,0,7,3,8,21,8,28,99,71,175,29,19,51,0,0,0,0,0,0,26,19,47,61,104,158,248,460,706,28,24,59,3455,3129,6581
UCL213009,24,11,37,30,41,73,3,0,3,0,0,0,3,0,4,2199,1994,4197,105,134,238,32,0,34,12,0,8,4,3,8,17,3,18,11,24,33,2443,2214,4653,0,0,0,0,0,0,3,0,3,23,10,36,3,0,4,0,0,0,33,13,49,0,0,0,0,0,0,5,0,8,3,9,12,0,0,0,12,6,18,20,17,40,61,39,104,11,9,18,0,0,0,0,0,0,11,7,14,50,91,145,241,440,681,12,20,27,2815,2815,5630
UCL213010,25,20,43,27,16,44,0,4,4,0,0,0,15,3,12,2052,1794,3850,152,138,294,20,0,20,16,0,16,11,6,19,11,7,14,42,50,93,2377,2028,4410,3,0,8,0,0,0,0,0,0,3,3,10,3,3,5,8,0,8,13,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,9,27,9,29,46,18,61,9,8,8,0,0,0,0,0,0,9,8,8,47,51,97,268,430,699,43,31,73,2777,2565,5344
UCL213011,25,12,42,20,19,42,0,0,0,0,0,0,8,7,9,1658,1422,3077,127,119,243,27,0,27,11,0,11,11,9,21,19,7,24,61,52,113,1966,1640,3604,0,3,3,0,0,0,0,0,0,0,0,0,4,3,4,0,0,0,4,9,8,0,0,0,0,0,0,0,0,0,4,3,9,4,0,8,5,8,14,18,9,26,31,26,53,4,0,4,0,0,0,0,0,0,4,0,4,28,38,67,220,308,535,46,29,70,2294,2038,4331
UCL213012,57,42,100,19,32,48,0,0,0,8,3,6,0,3,3,3082,2768,5850,117,153,274,50,0,51,15,0,12,56,21,68,21,17,40,100,93,190,3525,3129,6653,4,0,3,0,0,0,0,4,4,69,28,97,0,6,8,0,0,0,73,40,108,0,0,0,0,0,0,0,3,5,3,8,6,0,0,0,3,12,14,25,22,42,102,70,168,30,20,47,0,0,0,7,0,7,34,20,50,224,296,528,318,609,925,41,40,79,4243,4160,8407
UCL213013,0,0,0,8,3,14,0,0,0,0,0,0,11,10,16,1562,1228,2789,89,102,194,20,0,27,10,0,10,30,5,34,20,10,32,65,80,153,1821,1435,3258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,22,16,7,25,0,0,0,0,0,0,0,0,0,0,0,0,43,66,106,237,327,565,42,29,65,2153,1869,4023
UCL213014,4,3,4,15,3,18,0,0,0,0,0,0,11,11,19,2066,1835,3897,169,186,352,14,0,14,14,0,14,69,26,98,68,9,75,128,139,266,2550,2212,4765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,24,11,31,23,15,40,3,0,3,0,0,0,5,0,5,10,0,10,47,74,123,245,402,645,37,30,64,2906,2734,5646
UCL213015,0,0,0,0,3,3,0,0,0,0,0,0,7,3,13,1766,1408,3173,121,120,234,17,0,17,10,3,7,44,10,57,12,3,21,130,164,291,2099,1719,3821,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,12,14,5,19,0,0,0,0,0,0,0,0,0,3,0,3,41,86,127,151,287,439,45,36,80,2344,2140,4483
UCL213016,82,63,142,28,26,46,0,0,0,0,5,6,0,0,0,2970,2533,5507,143,167,308,28,0,28,15,0,11,46,15,55,25,13,37,72,101,176,3411,2912,6324,0,0,3,0,0,0,0,4,4,71,31,100,0,0,0,0,0,0,69,37,111,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,5,7,10,28,12,42,101,59,159,23,19,41,0,0,0,0,0,0,28,20,45,263,367,637,307,576,882,37,34,72,4144,3976,8121
UCL213017,3,0,3,14,12,29,3,0,3,0,0,0,9,6,12,2876,2586,5458,186,211,391,37,0,37,16,6,16,89,38,132,19,8,25,168,208,372,3418,3072,6493,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,42,23,58,41,21,67,0,0,4,0,0,0,0,0,0,0,0,4,75,154,227,292,596,887,57,55,111,3888,3901,7789
UCL213018,65,46,114,15,6,19,0,0,0,3,0,3,9,3,11,2311,2020,4333,167,183,347,41,3,45,6,3,12,13,3,22,25,12,34,90,78,170,2749,2353,5102,3,0,7,0,0,0,3,0,9,15,10,23,3,0,3,9,5,5,31,17,46,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,22,8,32,56,26,86,16,3,23,0,0,0,0,0,0,15,3,21,78,145,228,223,407,631,24,24,46,3148,2960,6111
UCL214001,0,0,4,3,0,3,0,0,0,0,0,0,4,0,4,1072,935,2004,111,98,212,16,0,16,5,0,10,19,0,20,4,3,12,89,78,162,1329,1119,2451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,14,10,9,15,3,0,3,0,0,0,0,0,0,3,0,3,23,35,58,131,219,349,14,9,29,1510,1395,2903
UCL214002,0,3,3,4,6,12,3,4,3,0,3,3,6,0,6,1308,1133,2437,86,83,170,25,0,25,10,0,10,30,16,41,19,3,21,76,97,174,1561,1345,2907,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,7,7,10,4,12,12,11,20,0,0,0,0,0,0,0,0,0,3,0,3,35,59,95,142,277,418,16,27,43,1766,1712,3476
UCL214003,93,90,182,3,3,6,0,0,0,0,0,0,0,0,3,1086,1025,2109,97,90,188,15,0,15,11,0,11,38,25,64,18,4,19,96,97,196,1455,1334,2784,3,4,3,0,0,0,4,6,8,22,6,29,0,7,4,16,5,27,48,28,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,21,59,38,97,10,15,25,0,0,0,0,0,0,13,15,25,128,172,298,161,325,482,23,31,49,1835,1899,3737
UCL214004,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,797,587,1387,57,51,105,5,4,8,4,0,3,18,6,25,3,8,14,34,57,93,925,708,1633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,6,6,7,7,0,0,0,0,0,0,0,0,0,0,0,0,16,35,51,95,135,229,16,16,32,1051,901,1954
UCL214005,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,181,150,324,11,15,19,3,0,3,3,0,3,4,0,4,0,0,0,4,3,7,205,167,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,9,9,14,35,51,9,7,9,233,210,438
UCL214006,109,85,196,11,0,10,0,0,0,0,0,0,0,3,3,1759,1445,3206,87,108,190,30,0,30,3,0,3,0,0,0,14,3,17,31,41,68,2048,1684,3733,7,4,12,0,0,0,6,0,13,47,37,82,7,5,9,6,0,5,70,44,116,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,34,8,40,104,57,160,9,14,25,0,0,0,0,0,0,13,14,32,85,148,234,165,329,499,11,10,22,2428,2244,4674
UCL214007,0,0,0,6,0,6,0,0,0,0,3,4,6,7,11,1412,1253,2668,89,108,191,27,0,27,5,3,8,13,3,15,16,8,24,117,112,237,1693,1503,3192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,12,0,11,0,0,0,0,0,0,0,0,0,0,0,0,49,70,115,162,287,448,26,21,44,1931,1887,3818
UCL214008,9,11,23,8,7,13,0,0,0,0,0,0,0,3,3,1381,1168,2550,85,69,153,47,0,45,11,0,11,5,0,9,12,3,16,53,48,102,1615,1314,2926,4,3,8,0,0,0,0,0,0,24,15,39,0,3,3,0,0,0,28,25,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,17,35,32,65,9,3,14,0,0,0,0,0,0,7,3,17,76,132,205,175,271,446,30,35,62,1938,1789,3725
UCL214009,3,0,3,10,0,7,0,0,0,0,0,0,0,0,0,679,567,1245,22,26,56,4,0,4,0,0,0,12,3,21,12,4,11,25,35,61,765,645,1407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,10,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,47,69,110,98,172,273,15,13,25,929,895,1832
UCL214010,43,31,79,3,0,7,0,0,0,0,0,0,0,0,0,1097,913,2008,78,59,140,25,0,25,3,0,3,3,0,3,3,5,5,29,36,61,1288,1041,2332,7,5,7,0,0,0,0,3,4,18,17,38,0,0,5,0,0,0,31,25,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,14,39,29,66,13,9,25,0,0,0,0,0,0,10,9,24,35,70,99,115,200,315,23,20,43,1519,1363,2877
UCL214011,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,870,698,1571,35,47,82,3,0,3,10,0,7,27,12,32,7,4,9,60,64,119,1014,820,1829,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,10,7,4,12,0,0,0,0,0,0,0,0,0,0,0,0,21,35,57,103,185,294,17,13,37,1172,1062,2233
UCL214012,0,3,3,3,0,7,0,0,0,0,0,0,7,0,7,659,621,1285,50,60,106,13,0,17,0,0,0,9,4,13,22,4,23,33,49,85,793,751,1543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,10,11,5,12,0,0,0,0,0,0,0,0,0,0,0,0,41,51,92,109,165,275,18,18,34,973,989,1961
UCL214013,0,0,0,4,0,3,0,0,0,3,0,3,0,0,0,778,613,1386,55,53,108,12,0,12,5,0,5,10,3,14,6,7,11,68,65,140,934,743,1679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,23,44,67,103,158,262,13,14,25,1079,963,2041
UCL214014,3,0,3,3,0,3,0,0,0,0,0,0,3,0,0,871,776,1652,57,78,137,17,0,17,0,4,3,16,11,30,6,4,11,81,61,146,1066,937,1998,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,5,7,9,0,0,0,0,0,0,0,0,0,0,0,0,28,39,67,110,187,304,15,16,33,1229,1186,2420
UCL214015,10,10,14,15,15,22,0,0,0,0,0,0,0,0,0,789,651,1438,29,37,64,9,0,9,13,0,13,7,0,10,7,3,8,27,28,59,892,745,1635,3,0,4,0,0,0,0,0,0,12,17,30,0,0,0,0,0,0,17,17,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,6,22,21,40,9,8,11,0,0,0,0,0,0,8,8,16,60,85,142,106,170,275,14,13,20,1099,1033,2131
UCL214016,24,22,42,0,5,5,0,0,0,0,0,0,4,3,3,817,691,1508,63,62,127,19,0,19,5,0,5,16,0,16,3,0,6,51,64,114,1002,835,1839,0,0,0,0,0,0,0,0,0,4,6,11,0,0,0,0,0,0,6,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,13,21,13,29,3,0,3,0,0,0,0,0,0,3,0,3,19,38,56,99,159,260,28,13,38,1159,1064,2225
