UCL_CODE_2016,A0_14_SEO_B00,A0_14_SEO_00_05,A0_14_SEO_06_10,A0_14_SEO_11,A0_14_SEO_12,A0_14_SEO_13,A0_14_SEO_14,A0_14_SEO_15,A0_14_SEO_16,A0_14_SEO_YNS,A0_14_SEO_T,A0_14_SOLSE_VWW_B00,A0_14_SOLSE_VWW_00_05,A0_14_SOLSE_VWW_06_10,A0_14_SOLSE_VWW_11,A0_14_SOLSE_VWW_12,A0_14_SOLSE_VWW_13,A0_14_SOLSE_VWW_14,A0_14_SOLSE_VWW_15,A0_14_SOLSE_VWW_16,A0_14_SOLSE_VWW_YNS,A0_14_SOLSE_VWW_T,A0_14_SOLSE_NWNAA_B00,A0_14_SOLSE_NWNAA_00_05,A0_14_SOLSE_NWNAA_06_10,A0_14_SOLSE_NWNAA_11,A0_14_SOLSE_NWNAA_12,A0_14_SOLSE_NWNAA_13,A0_14_SOLSE_NWNAA_14,A0_14_SOLSE_NWNAA_15,A0_14_SOLSE_NWNAA_16,A0_14_SOLSE_NWNAA_YNS,A0_14_SOLSE_NWNAA_T,A0_14_SOLSE_PinE_NS_B00,A0_14_SOLSE_PinE_NS_00_05,A0_14_SOLSE_PinE_NS_06_10,A0_14_SOLSE_PinE_NS_11,A0_14_SOLSE_PinE_NS_12,A0_14_SOLSE_PinE_NS_13,A0_14_SOLSE_PinE_NS_14,A0_14_SOLSE_PinE_NS_15,A0_14_SOLSE_PinE_NS_16,A0_14_SOLSE_PinE_NS_YNS,A0_14_SOLSE_PinE_NS_T,A0_14_SOLSE_T_B00,A0_14_SOLSE_T_00_05,A0_14_SOLSE_T_06_10,A0_14_SOLSE_T_11,A0_14_SOLSE_T_12,A0_14_SOLSE_T_13,A0_14_SOLSE_T_14,A0_14_SOLSE_T_15,A0_14_SOLSE_T_16,A0_14_SOLSE_T_YNS,A0_14_SOLSE_T_T,A0_14_L_PinE_NS_B00,A0_14_L_PinE_NS_00_05,A0_14_L_PinE_NS_06_10,A0_14_L_PinE_NS_11,A0_14_L_PinE_NS_12,A0_14_L_PinE_NS_13,A0_14_L_PinE_NS_14,A0_14_L_PinE_NS_15,A0_14_L_PinE_NS_16,A0_14_L_PinE_NS_YNS,A0_14_L_PinE_NS_T,A0_14_T_B00,A0_14_T_00_05,A0_14_T_06_10,A0_14_T_11,A0_14_T_12,A0_14_T_13,A0_14_T_14,A0_14_T_15,A0_14_T_16,A0_14_T_YNS,A0_14_T_T,A15_24_SEO_B00,A15_24_SEO_00_05,A15_24_SEO_06_10,A15_24_SEO_11,A15_24_SEO_12,A15_24_SEO_13,A15_24_SEO_14,A15_24_SEO_15,A15_24_SEO_16,A15_24_SEO_YNS,A15_24_SEO_T,A15_24_SOLSE_VWW_B00,A15_24_SOLSE_VWW_00_05,A15_24_SOLSE_VWW_06_10,A15_24_SOLSE_VWW_11,A15_24_SOLSE_VWW_12,A15_24_SOLSE_VWW_13,A15_24_SOLSE_VWW_14,A15_24_SOLSE_VWW_15,A15_24_SOLSE_VWW_16,A15_24_SOLSE_VWW_YNS,A15_24_SOLSE_VWW_T,A15_24_SOLSE_NWNAA_B00,A15_24_SOLSE_NWNAA_00_05,A15_24_SOLSE_NWNAA_06_10,A15_24_SOLSE_NWNAA_11,A15_24_SOLSE_NWNAA_12,A15_24_SOLSE_NWNAA_13,A15_24_SOLSE_NWNAA_14,A15_24_SOLSE_NWNAA_15,A15_24_SOLSE_NWNAA_16,A15_24_SOLSE_NWNAA_YNS,A15_24_SOLSE_NWNAA_T,A15_24_SOLSE_PinE_NS_B00,A15_24_SOLSE_PinE_NS_00_05,A15_24_SOLSE_PinE_NS_06_10,A15_24_SOLSE_PinE_NS_11,A15_24_SOLSE_PinE_NS_12,A15_24_SOLSE_PinE_NS_13,A15_24_SOLSE_PinE_NS_14,A15_24_SOLSE_PinE_NS_15,A15_24_SOLSE_PinE_NS_16,A15_24_SOLSE_PinE_NS_YNS,A15_24_SOLSE_PinE_NS_T,A15_24_SOLSE_T_B00,A15_24_SOLSE_T_00_05,A15_24_SOLSE_T_06_10,A15_24_SOLSE_T_11,A15_24_SOLSE_T_12,A15_24_SOLSE_T_13,A15_24_SOLSE_T_14,A15_24_SOLSE_T_15,A15_24_SOLSE_T_16,A15_24_SOLSE_T_YNS,A15_24_SOLSE_T_T,A15_24_L_PinE_NS_B00,A15_24_L_PinE_NS_00_05,A15_24_L_PinE_NS_06_10,A15_24_L_PinE_NS_11,A15_24_L_PinE_NS_12,A15_24_L_PinE_NS_13,A15_24_L_PinE_NS_14,A15_24_L_PinE_NS_15,A15_24_L_PinE_NS_16,A15_24_L_PinE_NS_YNS,A15_24_L_PinE_NS_T,A15_24_T_B00,A15_24_T_00_05,A15_24_T_06_10,A15_24_T_11,A15_24_T_12,A15_24_T_13,A15_24_T_14,A15_24_T_15,A15_24_T_16,A15_24_T_YNS,A15_24_T_T,A25_34_SEO_B00,A25_34_SEO_00_05,A25_34_SEO_06_10,A25_34_SEO_11,A25_34_SEO_12,A25_34_SEO_13,A25_34_SEO_14,A25_34_SEO_15,A25_34_SEO_16,A25_34_SEO_YNS,A25_34_SEO_T,A25_34_SOLSE_VWW_B00,A25_34_SOLSE_VWW_00_05,A25_34_SOLSE_VWW_06_10,A25_34_SOLSE_VWW_11,A25_34_SOLSE_VWW_12,A25_34_SOLSE_VWW_13,A25_34_SOLSE_VWW_14,A25_34_SOLSE_VWW_15,A25_34_SOLSE_VWW_16,A25_34_SOLSE_VWW_YNS,A25_34_SOLSE_VWW_T,A25_34_SOLSE_NWNAA_B00,A25_34_SOLSE_NWNAA_00_05,A25_34_SOLSE_NWNAA_06_10,A25_34_SOLSE_NWNAA_11,A25_34_SOLSE_NWNAA_12,A25_34_SOLSE_NWNAA_13,A25_34_SOLSE_NWNAA_14,A25_34_SOLSE_NWNAA_15,A25_34_SOLSE_NWNAA_16,A25_34_SOLSE_NWNAA_YNS,A25_34_SOLSE_NWNAA_T,A25_34_SOLSE_PinE_NS_B00,A25_34_SOLSE_PinE_NS_00_05,A25_34_SOLSE_PinE_NS_06_10,A25_34_SOLSE_PinE_NS_11,A25_34_SOLSE_PinE_NS_12,A25_34_SOLSE_PinE_NS_13,A25_34_SOLSE_PinE_NS_14,A25_34_SOLSE_PinE_NS_15,A25_34_SOLSE_PinE_NS_16,A25_34_SOLSE_PinE_NS_YNS,A25_34_SOLSE_PinE_NS_T,A25_34_SOLSE_T_B00,A25_34_SOLSE_T_00_05
UCL212005,..,17,35,16,12,3,7,8,3,6,109,..,6,22,3,3,4,3,4,3,3,51,..,0,0,0,0,0,3,3,9,3,21,..,0,0,0,0,0,0,0,0,0,0,..,4,22,3,3,4,3,9,13,3,76,..,0,0,0,0,0,0,0,0,0,0,..,21,59,17,16,10,9,13,21,10,181,21,24,19,3,6,0,0,3,0,5,95,6,18,23,0,0,3,13,11,16,6,90,0,3,0,0,0,0,4,23,17,16,61,0,0,0,0,0,0,0,0,0,0,0,6,17,23,0,0,3,13,29,37,24,160,0,0,0,0,0,0,0,0,0,0,0,30,44,47,6,9,3,15,34,35,32,253,54,16,25,9,12,7,10,11,3,3,151,14,26,69,7,10,10,24,17,20,13,207,0,4,0,3,6,6,31,56,44,32,181,0,0,0,0,0,0,0,0,0,0,3,14,25
UCL213001,..,3,26,5,7,4,0,0,0,3,50,..,0,13,3,5,4,7,0,0,0,27,..,0,0,0,0,0,0,3,0,0,4,..,0,0,0,0,0,0,0,0,0,0,..,0,11,3,5,4,5,3,0,4,34,..,0,0,0,0,0,0,0,0,0,0,..,5,38,7,8,10,10,6,0,3,90,5,24,22,0,3,0,0,0,0,0,58,11,3,15,0,4,3,7,0,0,4,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,15,0,4,3,7,0,0,4,42,0,0,0,0,0,0,0,0,0,0,0,19,26,31,0,4,3,7,0,3,5,102,36,18,21,3,3,3,0,0,0,3,93,11,12,60,3,3,4,16,6,3,0,120,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,11,12
UCL213002,..,0,14,0,8,0,0,0,0,3,30,..,0,4,3,5,3,3,4,0,3,23,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,4,3,6,3,6,4,0,3,26,..,0,0,0,0,0,0,0,0,0,0,..,0,20,3,12,8,5,4,0,4,60,8,10,3,0,0,0,0,0,0,0,22,3,0,4,3,0,3,0,3,0,0,18,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,3,3,3,0,0,23,0,0,0,0,0,0,0,0,0,0,0,8,14,4,3,4,4,6,3,0,0,49,10,7,10,0,4,0,3,0,0,3,46,3,7,49,0,7,10,18,5,0,7,106,0,0,0,0,0,0,6,9,0,0,16,0,0,0,0,0,0,0,0,0,0,0,3,13
UCL213003,..,0,4,5,3,4,3,0,0,4,25,..,0,9,3,0,7,0,5,0,3,30,..,0,0,0,0,0,0,0,0,3,5,..,0,0,0,0,0,0,0,0,0,0,..,0,9,3,0,7,0,8,0,3,33,..,0,0,0,0,0,0,0,0,0,0,..,3,16,5,4,7,3,10,4,7,55,0,3,6,0,4,0,0,0,0,6,23,0,4,10,9,13,8,0,5,0,3,49,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,6,9,13,8,0,6,3,3,52,0,0,0,0,0,0,0,0,0,0,0,0,8,18,12,17,8,0,6,7,7,76,12,8,5,0,4,0,0,0,0,0,37,7,18,31,16,5,6,3,6,0,3,95,0,0,3,3,3,4,5,4,0,0,17,0,0,0,0,0,0,0,0,0,0,0,7,20
UCL213004,..,7,13,10,4,5,3,0,0,3,42,..,0,3,0,0,3,3,0,0,5,14,..,0,0,0,0,0,0,0,0,3,5,..,0,0,0,0,0,0,0,0,0,0,..,0,3,0,0,4,3,0,0,6,20,..,0,0,0,0,0,0,0,0,0,0,..,7,20,11,4,8,8,0,0,8,62,19,6,10,6,3,0,3,0,0,0,50,0,6,0,0,3,3,0,7,0,0,21,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,3,0,7,3,0,23,0,0,0,0,0,0,0,0,0,0,0,19,12,14,6,6,4,4,7,3,0,73,27,4,13,0,5,0,3,0,0,9,62,3,3,15,0,6,0,8,3,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
UCL213005,..,4,26,7,4,7,0,0,0,0,47,..,0,5,0,3,5,3,0,0,0,16,..,0,0,0,0,0,0,0,3,0,3,..,0,0,0,0,0,0,0,0,0,0,..,0,5,0,3,5,3,0,3,0,17,..,0,0,0,0,0,0,0,0,0,0,..,4,27,7,5,14,3,0,7,0,66,3,15,15,0,0,3,0,3,0,0,44,0,3,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,3,17,14,0,0,3,0,3,3,0,48,29,8,16,3,0,4,0,0,0,0,58,3,8,10,0,4,4,5,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8
UCL213006,..,0,13,11,0,6,0,0,3,0,27,..,0,0,4,0,5,0,7,3,0,16,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,4,0,5,0,3,3,0,19,..,0,0,0,0,0,0,0,0,0,0,..,0,12,8,3,11,3,3,3,0,50,0,6,6,3,0,0,3,3,0,3,26,0,4,0,0,0,4,0,0,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4,0,15,0,0,0,0,0,0,0,0,0,0,0,3,10,5,5,4,4,3,3,4,3,39,9,13,7,4,3,3,3,0,0,0,50,0,3,27,11,8,15,12,5,3,0,90,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
UCL213007,..,0,15,0,4,4,6,3,6,0,48,..,0,30,3,4,0,3,0,0,6,44,..,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,..,0,30,3,4,0,3,3,0,6,50,..,0,0,0,0,0,0,0,0,0,0,..,3,45,5,9,4,12,5,6,4,92,7,12,5,0,3,0,0,4,0,0,30,0,4,23,4,4,0,0,0,3,0,37,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,23,4,6,0,0,0,3,0,41,0,0,0,0,0,0,0,0,0,0,0,7,12,28,4,7,3,0,4,3,0,76,19,6,10,0,0,4,3,0,0,0,51,6,5,55,14,9,4,6,3,4,0,111,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,6,5
UCL213008,..,3,25,4,7,0,0,3,5,5,53,..,0,22,3,0,0,4,3,0,0,31,..,0,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,0,..,0,19,3,0,0,4,5,0,0,35,..,0,0,0,0,0,0,0,0,0,0,..,4,46,8,7,0,7,3,5,5,90,9,22,16,0,0,0,0,0,0,3,59,3,27,26,3,0,3,7,3,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,27,26,3,0,3,7,3,0,0,75,0,0,0,0,0,0,0,0,0,0,0,17,54,45,4,3,3,7,3,3,3,139,43,9,20,10,3,4,3,0,0,7,93,28,19,45,10,5,6,7,6,3,0,121,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,28,14
UCL213009,..,5,11,0,0,3,0,5,0,3,33,..,0,12,0,0,3,3,3,0,0,27,..,0,0,0,0,0,0,3,0,0,8,..,0,0,0,0,0,0,0,0,0,0,..,0,11,0,0,3,3,3,0,5,30,..,0,0,0,0,0,0,0,0,0,0,..,5,25,0,3,5,3,8,0,5,60,5,4,8,4,0,0,0,0,0,0,27,3,3,10,0,3,0,7,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,3,10,0,3,0,7,4,0,0,27,0,0,0,0,0,0,0,0,0,0,0,12,9,16,0,3,0,7,9,3,0,57,36,7,18,3,3,3,0,0,0,3,81,10,8,36,6,3,3,4,5,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8
UCL213010,..,4,12,0,0,3,3,0,0,0,23,..,0,8,0,0,0,3,0,0,0,16,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,8,0,0,0,3,0,0,0,22,..,0,0,0,0,0,0,0,0,0,0,..,3,19,0,0,5,6,3,0,0,39,13,3,3,0,0,0,0,0,0,0,24,0,9,9,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,17,18,14,0,3,0,0,3,0,0,50,21,0,7,3,0,0,0,0,0,4,42,6,3,23,3,6,3,10,3,0,0,62,0,0,0,3,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,6,3
UCL213011,..,0,5,0,0,0,0,0,3,0,14,..,5,20,4,9,3,0,0,0,0,42,..,0,0,0,0,0,3,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,..,5,20,4,9,3,3,0,0,0,47,..,0,0,0,0,0,0,0,0,0,0,..,8,24,10,9,5,6,3,3,3,64,6,4,3,0,0,0,0,4,0,0,20,0,12,26,3,7,0,4,10,0,5,65,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,26,3,7,0,4,10,0,5,67,0,0,0,0,0,0,0,0,0,0,0,8,13,30,3,7,0,3,10,0,10,92,15,10,8,0,0,0,0,3,3,3,39,5,12,40,3,13,16,5,4,0,5,108,0,0,5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,6,12
UCL213012,..,12,38,19,3,8,7,10,3,9,108,..,3,8,3,0,3,3,0,0,0,17,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,3,10,3,0,3,3,0,0,0,15,..,0,0,0,0,0,0,0,0,0,0,..,16,44,18,3,11,9,9,3,10,124,10,20,9,3,3,0,0,3,0,4,58,0,3,7,0,3,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,3,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,14,25,22,3,3,0,0,3,0,4,77,29,6,22,0,8,5,3,0,0,3,73,3,6,16,0,0,7,3,0,4,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
UCL213013,..,0,15,0,0,0,3,0,0,3,21,..,0,3,0,4,0,0,0,0,0,13,..,0,0,0,0,0,0,3,0,0,7,..,0,0,0,0,0,0,0,0,0,0,..,0,3,0,9,0,0,5,0,0,20,..,0,0,0,0,0,0,0,0,0,0,..,3,19,0,4,0,4,5,0,3,38,3,5,3,4,0,0,0,0,0,0,20,0,3,3,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,3,12,6,4,3,0,0,0,0,0,32,10,3,5,0,0,0,0,0,0,0,24,0,0,15,3,3,3,3,7,5,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL213014,..,3,21,10,0,7,5,7,0,7,67,..,3,13,0,5,3,5,7,5,4,41,..,0,0,0,0,0,0,5,0,0,11,..,0,0,0,0,0,0,0,0,0,0,..,3,13,0,5,4,5,9,7,3,54,..,0,0,0,0,0,0,0,0,0,0,..,7,34,11,7,15,10,19,7,8,115,6,10,15,3,3,0,3,0,0,0,45,3,7,14,0,0,6,3,9,0,0,32,0,0,0,0,0,0,0,3,0,3,10,0,0,0,0,0,0,0,0,0,0,0,3,7,10,0,3,3,3,9,0,3,48,0,0,0,0,0,0,0,0,0,0,0,6,12,28,5,8,3,7,13,0,5,92,28,8,23,5,3,3,0,0,4,3,74,8,5,59,9,8,13,11,15,0,3,139,0,0,3,0,5,3,7,5,3,3,30,0,0,0,0,0,0,0,0,0,0,0,7,7
UCL213015,..,0,6,0,0,3,3,0,0,0,16,..,3,14,0,15,6,9,0,0,3,57,..,0,0,0,0,0,0,5,0,0,10,..,0,0,0,0,0,0,0,0,0,0,..,3,14,4,15,12,6,7,0,8,67,..,0,0,0,0,0,0,0,0,0,0,..,5,21,3,13,11,10,7,0,11,82,0,9,3,0,0,0,0,0,3,3,26,0,13,31,8,4,4,10,8,0,0,79,0,0,0,0,3,3,0,4,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,13,31,8,10,8,10,16,3,3,96,0,0,0,0,0,0,0,0,0,0,0,4,25,36,10,10,7,9,17,6,3,124,8,0,15,3,4,0,0,0,0,3,36,0,16,72,9,14,22,20,16,5,3,180,0,3,3,0,3,4,7,0,3,0,30,0,0,0,0,0,0,0,0,0,0,4,0,15
UCL213016,..,13,53,19,9,22,14,25,3,10,159,..,0,9,3,6,7,3,10,3,3,40,..,0,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,0,..,0,9,3,6,7,3,10,3,3,49,..,0,0,0,0,0,0,0,0,0,0,..,17,62,18,15,24,22,33,7,8,206,19,19,32,4,3,3,0,0,0,3,87,0,3,0,0,3,4,3,3,3,0,24,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,4,3,3,4,31,0,0,0,0,0,0,0,0,0,0,0,21,26,36,4,10,3,3,4,7,6,118,38,14,41,12,14,17,16,5,0,13,167,8,4,21,3,5,3,0,14,0,3,64,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,3
UCL213017,..,0,13,0,0,3,3,7,0,3,34,..,4,7,11,3,0,0,3,5,0,24,..,0,0,0,0,0,3,0,0,3,5,..,0,0,0,0,3,0,0,0,0,3,..,4,9,11,3,3,3,3,0,3,30,..,0,0,0,0,0,0,0,0,0,0,..,7,18,13,3,6,3,8,0,6,63,4,5,4,0,4,0,0,4,0,0,22,4,8,14,0,7,3,3,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,14,0,7,3,3,0,0,3,31,0,0,0,0,0,0,0,0,0,0,0,7,10,15,0,5,3,3,4,0,3,54,17,10,10,4,0,0,3,4,3,4,49,5,12,62,4,9,6,3,6,5,8,115,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,12
UCL213018,..,6,11,0,5,3,3,0,3,0,33,..,0,7,7,3,0,0,0,0,0,20,..,0,0,0,0,0,0,4,0,0,3,..,0,0,0,0,0,0,0,0,0,0,..,0,7,7,4,0,0,6,0,0,24,..,0,0,0,0,0,0,0,0,0,0,..,6,19,5,12,3,3,6,3,0,55,3,24,11,0,0,0,3,0,0,0,42,4,0,5,3,3,4,0,3,0,3,26,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,4,0,6,3,3,3,0,5,3,7,35,0,0,0,0,0,0,0,0,0,0,0,9,24,21,7,4,3,8,5,3,7,79,15,15,16,3,4,6,3,0,0,0,70,18,12,58,7,4,3,9,12,0,4,122,0,0,0,0,0,0,7,4,3,8,26,0,0,0,0,0,0,0,0,0,0,0,18,12
UCL214001,..,7,4,0,0,3,0,0,3,0,20,..,0,6,7,0,0,0,0,0,3,17,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,6,7,0,0,0,0,0,3,17,..,0,0,0,0,0,0,0,0,0,0,..,7,17,3,7,3,0,3,3,5,40,0,3,9,5,0,0,0,0,0,0,16,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,4,7,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,8,3,3,29,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,3,0,9,8,6,3,41,4,11,12,0,3,0,0,0,0,0,37,6,6,25,10,3,4,4,4,3,4,62,0,0,0,0,0,0,3,9,6,4,29,0,0,0,0,0,0,0,0,0,0,0,6,5
UCL214002,..,0,8,0,0,0,0,0,0,3,11,..,0,7,0,3,0,3,3,0,0,16,..,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,..,0,4,0,3,0,3,8,0,0,23,..,0,0,0,0,0,0,0,0,0,0,..,0,16,0,3,5,3,8,0,4,32,0,3,0,0,0,0,0,0,0,0,9,0,3,4,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,3,0,3,0,3,21,5,3,7,3,0,0,0,0,0,3,25,0,3,12,3,6,4,8,3,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
UCL214003,..,11,9,6,0,0,3,0,0,0,27,..,0,3,0,7,0,0,0,0,3,15,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,3,0,7,0,0,0,0,3,11,..,0,0,0,0,0,0,0,0,0,0,..,11,9,6,7,3,3,0,0,4,44,3,5,7,0,3,0,0,0,0,3,21,0,4,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,3,0,0,10,14,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,0,6,20,0,0,0,0,0,0,0,0,0,23,23,3,10,5,0,4,3,6,0,0,29,61,11,4,0,3,4,4,0,0,0,3,27,4,3,15,3,0,8,0,3,3,0,43,0,0,0,0,0,0,4,25,4,11,42,0,0,0,0,0,0,0,0,0,0,0,4,3
UCL214004,..,0,3,0,0,4,0,0,0,0,14,..,0,12,6,0,7,3,5,0,0,32,..,0,0,0,0,0,0,0,3,0,5,..,0,0,0,0,0,0,0,0,0,0,..,0,12,6,0,7,3,6,3,0,35,..,0,0,0,0,0,0,0,0,0,0,..,0,11,6,0,8,3,9,3,0,49,4,9,0,0,0,0,0,0,0,0,27,3,4,10,0,0,3,10,3,4,0,33,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,4,10,0,4,3,10,5,7,0,34,0,0,0,0,0,0,0,0,0,0,0,6,13,12,0,4,3,10,11,3,0,62,3,3,8,0,3,0,0,0,0,5,20,3,5,42,5,4,4,7,4,7,3,86,0,0,3,7,6,3,4,0,3,0,30,0,0,0,0,0,0,0,0,0,0,0,3,5
UCL214005,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,4,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,4,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL214006,..,4,22,4,3,4,3,0,0,0,45,..,0,5,0,3,0,4,0,0,0,14,..,0,0,0,0,0,3,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,5,0,3,0,5,0,0,0,12,..,0,0,0,0,0,0,0,0,0,0,..,4,25,4,6,4,9,0,0,0,60,9,20,8,0,0,5,0,0,0,0,48,0,0,11,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,9,17,18,3,0,5,0,0,0,0,59,24,3,13,0,0,0,0,0,0,3,55,3,5,13,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
UCL214007,..,6,17,0,0,3,5,3,3,3,36,..,0,0,0,0,0,0,3,0,0,5,..,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,..,3,0,0,0,0,0,3,0,0,10,..,0,0,0,0,0,0,0,0,0,0,..,6,13,0,0,4,5,5,4,0,50,3,12,4,0,0,0,3,3,0,0,25,0,3,3,0,0,4,12,5,13,4,42,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,12,11,12,7,50,0,0,0,0,0,0,0,0,0,0,0,3,13,10,0,0,7,11,10,12,7,77,5,4,9,3,0,3,6,0,3,0,39,0,5,19,3,7,11,4,6,0,0,54,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5
