UCL_CODE_2016,MOL_SAL_Oth_SOLSE_NWorNAA,MOL_SAL_Oth_SOLSE_Tot,MOL_SAL_Oth_NS,MOL_SAL_Oth_Tot,MOL_SAL_Tot_SEO,MOL_SAL_Tot_SOLSE_VWorW,MOL_SAL_Tot_SOLSE_NWorNAA,MOL_SAL_Tot_SOLSE_Tot,MOL_SAL_Tot_NS,MOL_SAL_Tot_Tot,MOL_Spanish_SEO,MOL_Spanish_SOLSE_VWorW,MOL_Spanish_SOLSE_NWorNAA,MOL_Spanish_SOLSE_Tot,MOL_Spanish_NS,MOL_Spanish_Tot,MOL_Tamil_SEO,MOL_Tamil_SOLSE_VWorW,MOL_Tamil_SOLSE_NWorNAA,MOL_Tamil_SOLSE_Tot,MOL_Tamil_NS,MOL_Tamil_Tot,MOL_Thai_SEO,MOL_Thai_SOLSE_VWorW,MOL_Thai_SOLSE_NWorNAA,MOL_Thai_SOLSE_Tot,MOL_Thai_NS,MOL_Thai_Tot,MOL_Turkish_SEO,MOL_Turkish_SOLSE_VWorW,MOL_Turkish_SOLSE_NWorNAA,MOL_Turkish_SOLSE_Tot,MOL_Turkish_NS,MOL_Turkish_Tot,MOL_Vietnamese_SEO,MOL_Vietnamese_SOLSE_VWorW,MOL_Vietnamese_SOLSE_NWorNAA,MOL_Vietnamese_SOLSE_Tot,MOL_Vietnamese_NS,MOL_Vietnamese_Tot,MOL_Oth_SEO,MOL_Oth_SOLSE_VWorW,MOL_Oth_SOLSE_NWorNAA,MOL_Oth_SOLSE_Tot,MOL_Oth_NS,MOL_Oth_Tot,MOL_Tot_SEO,MOL_Tot_SOLSE_VWorW,MOL_Tot_SOLSE_NWorNAA,MOL_Tot_SOLSE_Tot,MOL_Tot_NS,MOL_Tot_Tot,M_LSatH_NS_SEO,M_LSatH_NS_SOLSE_VWorW,M_LSatH_NS_SOLSE_NWorNAA,M_LSatH_NS_SOLSE_Tot,M_LSatH_NS_NS,M_LSatH_NS_Tot,M_Tot_SEO,M_Tot_SOLSE_VWorW,M_Tot_SOLSE_NWorNAA,M_Tot_SOLSE_Tot,M_Tot_NS,M_Tot_Tot,FSEO_SEO,FSEO_SOLSE_VWorW,FSEO_SOLSE_NWorNAA,FSEO_SOLSE_Tot,FSEO_NS,FSEO_Tot,FOL_Afrikaans_SEO,FOL_Afrikaans_SOLSE_VWorW,FOL_Afrikaans_SOLSE_NWorNAA,FOL_Afrikaans_SOLSE_Tot,FOL_Afrikaans_NS,FOL_Afrikaans_Tot,FOL_Arabic_SEO,FOL_Arabic_SOLSE_VWorW,FOL_Arabic_SOLSE_NWorNAA,FOL_Arabic_SOLSE_Tot,FOL_Arabic_NS,FOL_Arabic_Tot,FOL_AIndLng_SEO,FOL_AIndLng_SOLSE_VWorW,FOL_AIndLng_SOLSE_NWorNAA,FOL_AIndLng_SOLSE_Tot,FOL_AIndLng_NS,FOL_AIndLng_Tot,FOL_CL_Cantones_SEO,FOL_CL_Cantones_SOLSE_VWorW,FOL_CL_Cantones_SOLSE_NWorNAA,FOL_CL_Cantones_SOLSE_Tot,FOL_CL_Cantones_NS,FOL_CL_Cantones_Tot,FOL_CL_Mandarin_SEO,FOL_CL_Mandarin_SOLSE_VWorW,FOL_CL_Mandarin_SOLSE_NWorNAA,FOL_CL_Mandarin_SOLSE_Tot,FOL_CL_Mandarin_NS,FOL_CL_Mandarin_Tot,FOL_CL_Oth_SEO,FOL_CL_Oth_SOLSE_VWorW,FOL_CL_Oth_SOLSE_NWorNAA,FOL_CL_Oth_SOLSE_Tot,FOL_CL_Oth_NS,FOL_CL_Oth_Tot,FOL_CL_Tot_SEO,FOL_CL_Tot_SOLSE_VWorW,FOL_CL_Tot_SOLSE_NWorNAA,FOL_CL_Tot_SOLSE_Tot,FOL_CL_Tot_NS,FOL_CL_Tot_Tot,FOL_Croatian_SEO,FOL_Croatian_SOLSE_VWorW,FOL_Croatian_SOLSE_NWorNAA,FOL_Croatian_SOLSE_Tot,FOL_Croatian_NS,FOL_Croatian_Tot,FOL_Dutch_SEO,FOL_Dutch_SOLSE_VWorW,FOL_Dutch_SOLSE_NWorNAA,FOL_Dutch_SOLSE_Tot,FOL_Dutch_NS,FOL_Dutch_Tot,FOL_French_SEO,FOL_French_SOLSE_VWorW,FOL_French_SOLSE_NWorNAA,FOL_French_SOLSE_Tot,FOL_French_NS,FOL_French_Tot,FOL_German_SEO,FOL_German_SOLSE_VWorW,FOL_German_SOLSE_NWorNAA,FOL_German_SOLSE_Tot,FOL_German_NS,FOL_German_Tot,FOL_Greek_SEO,FOL_Greek_SOLSE_VWorW,FOL_Greek_SOLSE_NWorNAA,FOL_Greek_SOLSE_Tot,FOL_Greek_NS,FOL_Greek_Tot,FOL_IAL_Bengali_SEO,FOL_IAL_Bengali_SOLSE_VWorW,FOL_IAL_Bengali_SOLSE_NWorNAA,FOL_IAL_Bengali_SOLSE_Tot,FOL_IAL_Bengali_NS,FOL_IAL_Bengali_Tot,FOL_IAL_Hindi_SEO,FOL_IAL_Hindi_SOLSE_VWorW,FOL_IAL_Hindi_SOLSE_NWorNAA,FOL_IAL_Hindi_SOLSE_Tot,FOL_IAL_Hindi_NS,FOL_IAL_Hindi_Tot,FOL_IAL_Punjabi_SEO,FOL_IAL_Punjabi_SOLSE_VWorW,FOL_IAL_Punjabi_SOLSE_NWorNAA,FOL_IAL_Punjabi_SOLSE_Tot,FOL_IAL_Punjabi_NS,FOL_IAL_Punjabi_Tot,FOL_IAL_Sinhalese_SEO,FOL_IAL_Sinhalese_SOLSE_VWorW,FOL_IAL_Sinhale_SOLSE_NWorNAA,FOL_IAL_Sinhalese_SOLSE_Tot,FOL_IAL_Sinhalese_NS,FOL_IAL_Sinhalese_Tot,FOL_IAL_Urdu_SEO,FOL_IAL_Urdu_SOLSE_VWorW,FOL_IAL_Urdu_SOLSE_NWorNAA,FOL_IAL_Urdu_SOLSE_Tot,FOL_IAL_Urdu_NS,FOL_IAL_Urdu_Tot,FOL_IAL_Oth_SEO,FOL_IAL_Oth_SOLSE_VWorW,FOL_IAL_Oth_SOLSE_NWorNAA,FOL_IAL_Oth_SOLSE_Tot,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_SOLSE_VWorW,FOL_IAL_Tot_SOLSE_NWorNAA,FOL_IAL_Tot_SOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_SOLSE_VWorW,FOL_Italian_SOLSE_NWorNAA,FOL_Italian_SOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japanese_SEO,FOL_Japanese_SOLSE_VWorW,FOL_Japanese_SOLSE_NWorNAA,FOL_Japanese_SOLSE_Tot,FOL_Japanese_NS,FOL_Japanese_Tot,FOL_Korean_SEO,FOL_Korean_SOLSE_VWorW,FOL_Korean_SOLSE_NWorNAA,FOL_Korean_SOLSE_Tot
UCL212005,0,6,0,6,..,30,3,38,0,38,..,10,3,7,0,7,..,11,0,11,0,11,..,11,7,19,0,19,..,3,0,5,0,5,..,8,4,10,0,10,..,80,18,101,0,102,..,470,229,697,7,704,..,43,5,50,983,1027,12920,511,231,744,988,14652,14207,..,..,..,..,14207,..,8,0,8,0,8,..,29,6,32,3,31,..,3,0,3,0,0,..,18,3,23,0,23,..,68,69,133,0,134,..,5,8,17,0,17,..,90,80,169,0,170,..,0,0,4,0,4,..,15,0,15,0,15,..,24,0,25,0,23,..,14,0,20,0,20,..,11,0,14,0,14,..,0,0,0,0,0,..,12,4,14,0,20,..,8,3,6,0,6,..,28,3,36,0,36,..,0,0,0,0,0,..,5,0,5,0,6,..,58,7,65,4,69,..,14,0,15,0,15,..,21,3,25,0,25,..,10,12,23
UCL213001,0,4,0,4,..,6,0,9,0,9,..,24,0,25,0,25,..,7,0,7,0,7,..,6,0,6,0,6,..,3,0,3,0,3,..,16,3,15,0,21,..,68,17,86,0,86,..,451,46,498,9,507,..,11,0,14,469,478,7394,462,50,514,476,8383,7900,..,..,..,..,7900,..,15,0,15,0,15,..,7,0,8,0,11,..,0,0,0,0,0,..,7,0,9,0,9,..,13,8,20,0,20,..,0,0,0,0,0,..,16,7,25,0,26,..,18,6,26,0,27,..,13,0,15,0,15,..,8,0,14,0,14,..,29,0,29,0,29,..,26,3,32,0,29,..,0,0,0,0,0,..,14,0,14,0,14,..,26,10,33,0,33,..,0,0,4,0,4,..,7,0,7,0,7,..,5,3,9,0,9,..,60,13,66,0,66,..,30,3,33,0,33,..,0,0,4,0,4,..,0,0,0
UCL213002,0,5,0,5,..,25,0,28,0,28,..,5,0,5,0,5,..,10,0,5,0,5,..,3,0,3,0,3,..,0,0,0,0,0,..,9,11,18,0,18,..,24,4,27,3,29,..,216,28,244,6,252,..,15,0,15,572,587,5196,232,28,258,578,6033,5894,..,..,..,..,5894,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,18,20,34,0,34,..,3,3,4,0,4,..,20,17,42,0,44,..,0,0,0,0,0,..,3,0,3,0,3,..,4,0,4,0,4,..,24,0,26,3,28,..,0,0,0,0,3,..,0,0,0,0,0,..,11,0,16,0,16,..,3,0,3,0,3,..,4,0,4,0,4,..,3,0,3,0,3,..,7,0,7,0,7,..,25,0,26,0,26,..,44,3,43,3,43,..,0,0,0,0,0,..,3,0,3
UCL213003,0,6,0,6,..,27,0,27,0,27,..,5,0,5,0,5,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,12,0,9,0,9,..,106,13,115,5,122,..,274,45,323,6,326,..,11,9,20,346,366,5100,291,49,338,353,5793,5443,..,..,..,..,5443,..,0,0,0,0,0,..,12,3,23,0,23,..,0,0,0,0,0,..,5,0,9,0,9,..,14,13,34,0,34,..,0,0,0,0,0,..,26,21,42,0,42,..,0,0,0,0,0,..,3,0,5,0,5,..,3,0,3,0,3,..,9,0,9,0,9,..,4,0,3,0,3,..,0,0,0,0,0,..,6,0,6,0,6,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,3,0,3,..,13,0,15,0,15,..,18,9,25,3,32,..,3,0,3,0,3,..,0,0,0
UCL213004,0,0,0,0,..,7,0,7,0,7,..,11,3,11,0,11,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,28,6,41,0,39,..,199,38,234,0,233,..,6,0,7,384,392,5051,203,34,242,385,5674,5526,..,..,..,..,5526,..,3,0,3,0,3,..,10,0,10,0,10,..,3,0,3,0,3,..,7,0,7,0,7,..,5,3,9,0,9,..,3,0,0,0,0,..,15,3,20,0,20,..,5,0,5,0,5,..,27,0,27,0,27,..,8,0,8,0,8,..,14,3,18,0,20,..,7,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,4,0,4,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,11,0,13,0,13,..,20,0,24,0,24,..,9,0,9,0,9,..,0,0,0
UCL213005,0,0,0,0,..,9,0,9,0,9,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,3,0,3,..,5,0,4,0,4,..,6,0,6,0,6,..,27,3,32,0,31,..,194,15,213,3,216,..,26,0,22,284,307,5432,219,19,239,289,5953,5946,..,..,..,..,5946,..,9,0,9,0,9,..,0,0,5,0,5,..,0,0,0,0,0,..,3,0,3,0,3,..,15,0,13,0,13,..,0,0,0,0,0,..,16,0,19,0,19,..,4,0,10,0,10,..,14,0,14,0,16,..,6,0,6,0,6,..,27,0,27,0,27,..,12,0,17,0,16,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,11,0,11,0,11,..,23,4,24,0,30,..,3,0,3,0,3,..,0,0,0
UCL213006,0,0,0,0,..,17,0,14,0,14,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,3,0,3,..,3,0,3,0,3,..,37,11,46,3,51,..,158,21,181,3,182,..,21,0,24,430,451,5514,174,28,205,431,6147,6040,..,..,..,..,6040,..,3,0,3,0,3,..,6,0,6,0,6,..,3,0,3,0,3,..,3,0,3,0,3,..,17,0,18,0,18,..,3,0,3,0,3,..,19,0,21,0,21,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,11,0,11,..,13,0,13,0,13,..,4,0,9,0,12,..,0,0,0,0,0,..,4,0,4,0,4,..,3,0,3,0,3,..,5,0,5,0,5,..,0,0,0,0,0,..,3,0,3,0,3,..,15,0,12,0,12,..,13,4,23,0,23,..,0,0,0,0,0,..,0,0,0
UCL213007,0,3,0,3,..,32,3,36,0,36,..,9,0,9,0,9,..,3,0,3,0,3,..,0,0,0,0,0,..,12,0,15,0,15,..,0,0,0,0,0,..,66,19,84,0,84,..,281,32,308,3,313,..,16,4,23,408,431,6743,295,35,330,415,7487,7336,..,..,..,..,7336,..,5,0,5,0,5,..,7,0,7,0,7,..,0,0,0,0,0,..,10,3,17,0,17,..,25,6,26,0,26,..,0,0,0,0,0,..,33,6,38,0,38,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,13,0,11,0,11,..,6,0,7,0,7,..,4,0,4,0,4,..,7,0,12,0,12,..,6,0,6,0,6,..,5,0,5,0,5,..,3,0,3,0,3,..,14,0,15,0,15,..,43,0,48,0,50,..,40,7,42,0,48,..,6,0,6,0,6,..,8,0,6
UCL213008,0,0,0,0,..,99,3,104,0,104,..,13,0,17,0,17,..,5,0,5,0,5,..,8,3,12,0,12,..,4,3,7,0,7,..,19,0,22,0,21,..,49,9,60,0,59,..,436,34,464,4,469,..,13,5,17,261,282,5763,447,34,485,267,6513,6014,..,..,..,..,6014,..,5,0,5,0,5,..,4,0,5,0,5,..,0,0,0,0,0,..,10,0,7,0,7,..,23,0,23,0,23,..,0,0,0,0,0,..,29,3,35,0,35,..,46,0,46,0,46,..,18,0,18,0,18,..,11,0,11,0,11,..,12,0,14,0,14,..,11,0,11,0,11,..,0,0,0,0,0,..,14,0,14,0,14,..,17,0,17,0,17,..,6,3,7,0,7,..,0,0,0,0,0,..,5,0,5,0,5,..,43,3,44,0,44,..,36,3,40,0,40,..,3,0,3,0,3,..,0,0,0
UCL213009,0,0,0,0,..,22,0,22,0,22,..,7,0,7,0,7,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,3,4,5,0,5,..,44,6,56,0,56,..,267,36,300,10,313,..,17,0,17,216,226,5175,278,36,315,226,5713,5570,..,..,..,..,5570,..,5,0,5,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,25,6,29,0,31,..,0,0,0,0,0,..,29,6,32,0,36,..,11,0,11,0,11,..,11,0,11,0,11,..,3,0,3,0,3,..,20,3,22,0,19,..,25,3,30,0,30,..,5,0,5,0,5,..,8,0,9,0,9,..,12,0,13,0,13,..,3,0,3,0,3,..,7,0,7,0,7,..,6,0,6,0,6,..,43,0,49,0,49,..,41,4,50,0,47,..,7,0,5,0,5,..,0,0,0
UCL213010,0,0,0,0,..,8,0,8,0,8,..,12,0,12,0,12,..,0,0,0,0,0,..,5,0,5,0,5,..,3,0,3,0,3,..,7,0,7,0,7,..,62,19,79,0,77,..,337,54,396,9,403,..,20,3,22,540,568,6320,360,59,424,546,7292,6681,..,..,..,..,6681,..,0,0,0,0,0,..,13,3,14,0,14,..,0,0,0,0,0,..,8,3,9,0,9,..,15,13,25,0,25,..,7,0,9,0,9,..,31,16,40,0,40,..,16,3,15,0,15,..,44,0,44,0,45,..,4,0,4,0,4,..,35,0,38,0,39,..,29,6,30,0,30,..,0,0,0,0,0,..,3,0,3,0,3,..,6,0,6,0,6,..,8,0,8,0,8,..,0,0,0,0,0,..,6,0,6,0,6,..,16,0,16,0,16,..,26,6,32,0,32,..,0,0,0,0,0,..,0,0,0
UCL213011,0,0,0,0,..,32,3,35,0,35,..,11,0,13,0,13,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,7,0,7,..,80,13,93,0,90,..,559,79,638,11,651,..,25,3,27,624,649,5357,583,80,665,637,6653,5515,..,..,..,..,5515,..,7,0,7,0,7,..,25,13,39,0,39,..,3,0,3,0,3,..,6,0,3,0,6,..,24,9,37,0,38,..,3,0,3,0,3,..,33,12,48,3,44,..,7,0,7,0,7,..,13,0,13,0,13,..,6,0,6,0,6,..,23,0,23,0,23,..,34,20,51,0,51,..,3,0,3,0,3,..,8,0,10,0,10,..,4,0,6,0,6,..,10,0,10,0,10,..,3,0,3,0,3,..,7,0,6,0,6,..,37,3,42,0,42,..,179,53,235,5,239,..,0,0,0,0,0,..,0,0,0
UCL213012,0,0,0,0,..,5,0,5,0,5,..,9,0,10,0,10,..,0,0,0,0,0,..,3,0,7,0,7,..,0,0,0,0,0,..,3,0,3,0,3,..,31,4,34,0,34,..,215,23,241,4,240,..,22,0,18,382,402,8143,238,24,257,385,8789,8677,..,..,..,..,8677,..,5,0,5,0,5,..,7,0,7,0,7,..,0,0,0,0,0,..,9,0,9,0,9,..,13,9,22,3,24,..,4,4,10,0,10,..,21,14,33,3,36,..,0,0,0,0,0,..,22,0,22,0,19,..,16,0,20,0,20,..,46,0,45,0,48,..,14,0,14,0,14,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,12,0,12,0,12,..,47,7,54,0,54,..,14,0,15,0,15,..,4,0,4
UCL213013,0,0,0,0,..,7,0,10,0,10,..,4,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,7,0,3,0,3,..,23,4,27,0,27,..,108,11,123,4,130,..,15,0,18,395,418,4403,126,17,145,401,4947,4559,..,..,..,..,4559,..,4,0,4,0,4,..,3,0,3,0,3,..,4,0,4,0,4,..,3,0,3,0,3,..,3,0,5,0,5,..,0,0,0,0,0,..,6,3,12,0,12,..,5,0,5,0,5,..,8,0,8,0,5,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,7,..,7,0,7,0,7,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,3,0,3,..,17,3,20,0,20,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
UCL213014,0,3,0,3,..,28,0,32,0,32,..,3,0,3,0,3,..,13,7,21,0,21,..,3,3,6,0,6,..,0,0,0,0,0,..,14,4,23,0,19,..,49,5,57,0,57,..,312,49,362,9,368,..,15,0,15,494,512,5604,327,49,377,500,6484,6067,..,..,..,..,6067,..,8,0,8,0,8,..,7,0,7,0,7,..,4,0,4,0,5,..,6,0,9,0,9,..,25,23,47,0,47,..,0,0,0,0,0,..,34,30,58,0,58,..,9,0,9,0,9,..,17,0,21,0,21,..,8,0,8,0,8,..,6,0,6,0,6,..,8,0,8,0,6,..,0,0,0,0,0,..,13,0,17,0,17,..,23,3,28,0,28,..,19,0,18,0,18,..,13,0,14,0,14,..,5,0,4,0,4,..,76,9,86,0,86,..,25,5,34,0,34,..,4,0,3,0,3,..,0,0,0
UCL213015,9,17,0,17,..,45,15,58,0,58,..,4,0,3,0,3,..,0,0,4,0,4,..,3,0,3,0,3,..,0,0,0,0,0,..,8,3,10,0,15,..,96,85,179,8,186,..,374,146,523,13,541,..,16,4,22,532,557,4060,393,147,539,554,5153,4412,..,..,..,..,4412,..,3,0,3,0,3,..,10,3,14,0,14,..,0,0,0,0,0,..,7,3,11,0,11,..,27,10,37,0,37,..,0,0,0,0,0,..,32,12,43,0,43,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,3,0,3,0,3,..,4,0,4,0,4,..,9,0,5,0,5,..,45,12,56,0,56,..,7,3,9,0,9,..,5,0,5,0,5,..,4,0,4,0,4,..,73,19,84,0,89,..,74,19,88,4,94,..,0,0,0,0,0,..,7,0,7
UCL213016,0,0,0,0,..,13,0,13,0,13,..,15,0,11,0,11,..,0,0,0,0,0,..,0,0,3,0,3,..,3,0,3,0,3,..,3,0,0,0,0,..,61,12,74,0,77,..,322,40,366,4,369,..,11,0,11,389,402,7554,335,40,374,396,8325,7812,..,..,..,..,7812,..,12,0,12,0,14,..,10,0,6,0,6,..,0,0,0,0,0,..,3,0,3,0,3,..,7,0,7,0,7,..,0,0,0,0,0,..,12,0,14,0,14,..,10,3,12,0,12,..,15,0,20,0,20,..,32,0,34,0,34,..,47,0,44,0,43,..,22,0,22,0,22,..,0,0,0,0,0,..,7,0,7,0,7,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,18,0,18,0,18,..,43,4,51,0,51,..,14,0,14,0,14,..,5,0,5
UCL213017,0,3,0,3,..,29,3,27,0,30,..,8,0,6,0,6,..,8,0,10,0,10,..,0,0,3,3,7,..,3,4,3,0,3,..,0,0,0,0,0,..,34,4,37,0,40,..,386,60,454,3,457,..,20,0,18,602,616,7628,410,61,473,603,8708,8575,..,..,..,..,8575,..,3,0,3,0,3,..,9,3,8,0,8,..,0,0,0,0,0,..,10,3,9,0,14,..,18,6,17,0,19,..,0,0,3,0,3,..,27,9,35,3,34,..,0,3,3,0,3,..,8,0,8,0,8,..,5,5,9,0,9,..,18,0,18,0,18,..,11,3,12,0,12,..,0,0,0,0,0,..,3,0,5,0,5,..,18,0,15,0,15,..,12,0,12,0,12,..,4,0,4,0,4,..,10,0,10,0,10,..,49,3,54,0,54,..,161,44,212,4,215,..,9,0,9,0,9,..,0,0,0
UCL213018,0,0,0,0,..,12,0,12,0,12,..,7,0,8,0,8,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,4,3,8,0,8,..,54,13,66,0,69,..,286,40,327,6,337,..,29,4,30,363,392,6012,316,42,358,370,6742,6718,..,..,..,..,6718,..,8,0,8,0,8,..,6,0,3,0,3,..,0,0,0,0,0,..,10,3,8,0,8,..,37,24,57,0,57,..,3,0,3,0,3,..,43,21,70,0,70,..,8,0,5,0,5,..,15,0,19,0,19,..,10,0,10,0,10,..,16,0,16,0,21,..,15,0,11,0,11,..,4,0,4,0,4,..,3,0,3,0,3,..,15,0,19,0,19,..,7,0,7,0,7,..,3,0,3,0,3,..,3,0,6,0,6,..,36,4,38,0,38,..,34,0,36,0,36,..,8,0,6,0,6,..,4,0,4
UCL214001,0,0,0,0,..,16,0,16,0,16,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,7,0,7,0,7,..,19,6,22,0,23,..,123,33,151,4,156,..,11,7,11,160,171,3073,127,33,167,165,3398,3153,..,..,..,..,3153,..,3,0,3,0,3,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,13,21,32,0,30,..,0,0,0,0,0,..,13,22,32,0,33,..,3,0,3,0,3,..,6,0,6,0,6,..,3,0,3,0,3,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,9,0,9,0,9,..,15,0,15,0,15,..,0,0,0,0,0,..,12,0,12,0,10,..,0,0,0,0,0,..,32,0,34,0,32,..,8,0,7,0,7,..,0,0,0,0,0,..,0,0,0
UCL214002,0,0,0,0,..,6,0,7,0,7,..,4,0,4,0,4,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,26,4,33,0,33,..,133,13,155,0,151,..,8,0,8,321,327,3892,150,13,163,318,4376,4371,..,..,..,..,4371,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,8,0,5,0,5,..,9,0,6,0,6,..,3,0,4,0,4,..,18,5,19,0,19,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,7,..,17,0,16,3,22,..,0,0,0,0,4,..,0,0,0,0,0,..,8,0,8,0,8,..,8,0,6,0,6,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,22,3,23,0,23,..,9,0,13,0,11,..,0,0,0,0,0,..,0,0,0
UCL214003,0,0,0,0,..,7,0,7,0,7,..,12,0,11,0,11,..,0,0,0,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,23,3,29,4,33,..,145,36,184,4,186,..,9,0,11,1043,1054,3743,155,34,191,1051,4979,4308,..,..,..,..,4308,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,3,5,5,0,5,..,8,23,31,0,31,..,0,0,0,0,0,..,13,23,39,0,39,..,3,0,3,0,3,..,13,0,13,0,13,..,12,0,13,0,13,..,23,0,23,0,23,..,5,0,5,0,5,..,0,0,0,0,0,..,5,0,5,0,5,..,3,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,12,0,12,..,13,0,13,0,13,..,4,0,4,0,4,..,0,0,0
UCL214004,3,3,0,3,..,12,4,19,0,19,..,0,0,0,0,0,..,3,3,5,0,5,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,13,4,16,0,16,..,252,61,322,5,326,..,9,3,11,196,207,2123,266,64,332,202,2652,2217,..,..,..,..,2217,..,0,0,0,0,0,..,49,11,60,0,60,..,0,0,0,0,0,..,0,0,0,0,0,..,9,5,22,0,22,..,0,3,3,0,3,..,12,14,22,0,22,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,33,9,37,0,39,..,3,0,3,0,3,..,4,4,8,0,8,..,3,0,3,0,3,..,42,12,54,0,50,..,81,21,98,0,99,..,4,0,4,0,4,..,0,0,0
UCL214005,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,3,4,0,4,..,14,3,12,0,12,..,0,0,0,24,26,469,11,3,13,24,509,482,..,..,..,..,482,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0
UCL214006,0,0,0,0,..,0,0,0,0,0,..,13,0,13,0,13,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,27,8,30,0,32,..,185,26,211,0,210,..,7,0,7,234,243,4332,194,26,216,241,4786,4503,..,..,..,..,4503,..,10,0,10,0,10,..,3,0,3,0,5,..,0,0,0,0,0,..,3,3,6,0,6,..,9,10,24,0,24,..,0,0,0,0,0,..,15,15,28,0,28,..,6,0,10,0,10,..,4,0,4,0,4,..,11,0,11,0,11,..,9,0,9,0,9,..,12,0,12,0,13,..,0,0,0,0,0,..,3,0,3,0,3,..,4,3,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,12,3,11,0,11,..,30,0,26,0,26,..,7,0,7,0,7,..,0,0,0
