UCL_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
UCL222109,137,152,285,37,26,60,11,28,41,8,9,14,4,4,12,64,62,126,62,77,133,6.3,6.5,9.5,46.7,40.8,44.2,40.9,41.4,40.4,0,0,0,0,0,0,0,6,6,3,9,11,26,17,44,3,3,8,0,0,3,33,22,52,126,132,257,15,25,40,90,100,193,49,52,99
UCL222110,154,166,318,76,35,113,18,55,72,3,5,13,3,4,6,110,95,205,37,56,94,2.7,4.2,2.9,71.4,57.2,64.5,63,57.2,62.3,4,4,5,5,3,6,10,22,34,11,15,32,49,30,78,0,5,3,3,6,8,55,38,89,151,165,317,24,21,42,101,122,214,62,61,118
UCL222111,110,110,219,68,20,85,8,26,37,3,0,4,3,3,8,78,50,130,25,48,71,3.8,6,6.2,70.9,45.5,59.4,71.8,41.8,57.5,0,0,0,0,0,3,9,12,21,0,6,9,40,13,47,0,0,0,3,3,3,41,11,51,130,121,257,7,5,16,103,107,212,22,25,44
UCL222112,85,77,157,40,10,45,6,23,33,0,0,3,3,3,6,51,38,89,21,31,56,5.9,7.9,6.7,60,49.4,56.7,54.1,42.9,51.6,0,0,0,0,0,0,0,7,11,3,5,8,13,3,18,0,0,0,0,0,0,13,4,16,87,83,168,3,3,6,70,69,144,7,11,14
UCL222113,125,119,250,41,23,67,26,37,63,5,8,9,7,0,9,75,66,144,42,47,90,9.3,0,6.3,60,55.5,57.6,57.6,57.1,55.6,0,4,6,0,3,5,17,18,36,8,15,20,43,16,57,3,3,5,0,0,0,42,20,65,129,125,253,14,20,38,96,83,174,49,52,102
UCL222114,86,82,166,41,21,61,14,17,30,3,5,7,3,0,3,61,44,101,22,35,54,4.9,0,3,70.9,53.7,60.8,67.4,52.4,59,0,0,0,0,3,3,0,0,6,0,6,8,21,20,43,0,0,3,3,3,4,31,23,52,77,75,155,10,10,23,56,56,109,29,31,57
UCL222115,123,106,229,18,11,33,17,13,28,0,0,0,6,3,6,39,28,67,64,55,116,15.4,10.7,9,31.7,26.4,29.3,28.5,22.6,26.6,0,0,0,0,0,0,4,7,12,4,9,16,19,12,28,0,0,0,4,3,6,22,11,42,99,92,189,11,16,25,86,73,161,19,30,49
UCL222116,100,94,195,42,17,61,13,22,34,5,0,5,4,5,12,58,48,103,31,45,74,6.9,10.4,11.7,58,51.1,52.8,60,41.5,51.3,0,3,3,0,3,4,8,15,19,3,8,13,34,5,40,0,3,3,0,6,6,34,17,52,106,98,203,17,13,35,85,72,157,35,36,69
UCL222117,146,162,306,55,43,95,31,39,61,5,8,12,4,4,13,87,90,176,35,56,88,4.6,4.4,7.4,59.6,55.6,57.5,62.3,55.6,54.9,0,7,5,6,3,10,5,19,32,6,19,25,47,18,62,4,3,3,0,7,7,48,30,71,139,144,285,19,32,50,93,95,184,55,76,134
UCL222118,89,81,172,38,20,50,14,24,33,3,3,5,12,4,14,59,49,103,27,35,55,20.3,8.2,13.6,66.3,60.5,59.9,61.8,58,51.2,4,4,4,0,3,3,13,17,27,9,14,22,16,5,19,0,0,0,0,3,4,16,6,27,92,85,170,8,10,23,72,65,142,25,22,48
UCL222119,79,83,162,40,21,63,7,18,18,3,6,9,0,0,3,47,45,93,25,30,57,0,0,3.2,59.5,54.2,57.4,63.3,54.2,55.6,0,0,0,0,0,4,4,3,10,4,11,18,15,8,30,0,0,0,0,5,4,17,18,38,88,92,175,5,4,7,66,74,139,21,21,41
UCL222120,117,109,226,50,18,60,16,31,48,0,5,5,5,3,8,72,56,128,37,50,92,6.9,5.4,6.3,61.5,51.4,56.6,56.4,49.5,50,0,0,0,0,0,0,0,5,3,3,11,16,34,17,56,0,3,4,0,3,0,35,22,63,123,108,230,13,12,27,99,91,187,31,28,56
UCL222121,97,100,196,40,20,65,8,17,28,3,4,6,3,11,12,52,56,109,37,42,81,5.8,19.6,11,53.6,56,55.6,52.6,41,50.5,0,4,4,0,0,0,3,3,7,3,6,15,29,18,48,0,3,3,0,0,0,29,25,54,78,93,169,29,26,50,69,68,142,38,41,79
UCL222122,68,77,153,41,22,64,11,29,45,0,0,3,3,3,3,62,52,112,14,23,31,4.8,5.8,2.7,91.2,67.5,73.2,76.5,66.2,73.2,0,0,0,0,0,0,4,10,12,5,12,13,28,8,41,0,0,0,0,7,7,28,18,48,75,74,150,10,12,24,65,71,130,19,16,34
UCL231777,175653,163808,339459,79411,36785,116196,21672,47859,69533,6670,6808,13480,4618,3949,8566,112378,95403,207778,49817,56075,105890,4.1,4.1,4.1,64,58.2,61.2,61.3,55.8,58.7,3332,4189,7528,2168,5034,7201,12940,21858,34798,12284,18487,30773,48998,18325,67324,1261,2635,3894,2421,3737,6154,52678,24699,77376,170988,161640,332625,19687,19760,39452,129532,120272,249801,53635,54198,107831
UCL279997,27,4,25,16,0,16,0,0,0,3,0,3,0,0,0,23,0,23,0,4,4,0,0,0,85.2,0,92,70.4,0,76,0,0,0,0,0,0,3,0,3,0,0,3,12,0,12,0,0,0,0,0,0,12,0,12,13,0,12,12,0,11,12,0,7,16,0,13
UCL299994,3942,2883,6825,811,384,1194,317,326,641,115,81,193,367,251,613,1610,1038,2647,1119,1175,2291,22.8,24.2,23.2,40.8,36,38.8,31.5,27.4,29.7,133,106,238,30,60,91,344,449,792,190,219,404,540,242,777,25,36,60,45,52,101,602,327,932,810,544,1354,2095,1859,3954,534,315,849,2233,1988,4223
