UCL_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL215039,100,67,28,16,495
UCL215040,270,219,144,55,1538
UCL215041,89,78,53,28,922
UCL215042,120,76,32,12,735
UCL215043,245,212,111,53,1582
UCL215044,370,317,191,87,2399
UCL215045,146,70,20,11,694
UCL215046,73,56,15,5,465
UCL215047,95,48,32,3,622
UCL215048,136,116,54,27,600
UCL215049,323,251,86,16,1567
UCL215050,285,237,152,57,1897
UCL215051,209,169,60,26,734
UCL215052,273,211,114,53,1667
UCL215053,140,102,64,28,811
UCL215054,116,77,26,4,647
UCL215055,153,118,51,20,844
UCL215056,80,73,42,21,463
UCL215057,191,191,86,18,937
UCL215058,220,150,97,59,1187
UCL215059,148,109,54,27,751
UCL215060,96,83,65,31,606
UCL215061,121,74,67,26,705
UCL215062,261,245,144,53,1540
UCL215063,137,184,90,37,822
UCL215064,85,70,41,19,450
UCL215065,352,475,232,87,1788
UCL215066,490,601,311,100,2285
UCL215067,336,286,129,73,1597
UCL215068,198,152,92,56,1191
UCL215069,300,169,57,10,1576
UCL215070,133,85,45,33,772
UCL215071,196,156,120,68,1101
UCL215072,307,176,53,24,1769
UCL215073,108,59,31,10,589
UCL215074,222,147,78,42,1031
UCL215075,132,112,73,33,636
UCL215076,122,58,17,0,820
UCL215077,133,116,82,35,767
UCL215078,158,115,54,11,852
UCL215079,282,219,115,46,1790
UCL215080,162,113,81,36,863
UCL215081,70,48,39,26,501
UCL215082,64,45,25,7,480
UCL215083,270,196,118,43,1648
UCL215084,140,84,21,0,780
UCL215085,227,165,52,14,1012
UCL215086,186,141,84,77,1007
UCL215087,230,202,97,51,1734
UCL215088,134,94,46,28,705
UCL215089,199,87,29,3,821
UCL215090,347,282,124,63,2045
UCL215091,260,177,42,9,1799
UCL215092,95,54,29,15,532
UCL215093,127,114,45,5,1053
UCL215094,204,171,68,27,1316
UCL215095,94,78,30,6,530
UCL215096,139,119,80,41,728
UCL215097,113,88,56,15,543
UCL221001,34,17,8,3,304
UCL221002,83,55,23,9,412
UCL221003,83,64,40,18,396
UCL221004,41,24,3,4,258
UCL221005,79,30,13,0,371
UCL221006,33,44,22,11,306
UCL221007,46,42,8,0,263
UCL221008,60,48,10,5,272
UCL221009,68,53,24,31,316
UCL221010,65,24,8,3,272
UCL221011,53,40,15,4,262
UCL221012,45,41,11,3,295
UCL221013,46,13,0,0,214
UCL221014,40,27,13,0,301
UCL221015,101,98,40,8,483
UCL221016,39,18,14,0,250
UCL221017,83,46,17,7,355
UCL221018,104,45,39,30,423
UCL221019,162,120,57,13,685
UCL221020,77,55,36,28,380
UCL221021,72,96,28,4,345
UCL221022,85,81,42,15,378
UCL221023,56,27,12,15,278
UCL221024,62,61,36,4,273
UCL221025,113,96,37,15,435
UCL221026,101,68,29,7,469
UCL221027,55,65,39,33,333
UCL221028,71,73,37,26,386
UCL221029,44,41,35,8,272
UCL221030,104,111,48,9,395
UCL221031,53,21,5,0,300
UCL221032,89,106,36,4,438
UCL221033,63,44,4,4,309
UCL221034,60,36,24,0,264
UCL221035,48,33,27,29,245
UCL221036,37,22,9,0,298
UCL221037,55,47,31,11,288
UCL221038,62,42,12,0,372
UCL221039,38,27,18,5,238
UCL221040,119,66,11,4,612
UCL221041,74,37,12,0,413
UCL221042,82,57,23,11,395
UCL221043,72,79,29,4,320
UCL221044,46,20,5,0,248
UCL221045,95,124,65,13,404
UCL221046,135,148,58,25,550
UCL221047,71,61,24,3,369
UCL221048,40,24,5,3,406
UCL221049,54,38,7,7,282
UCL221050,171,191,65,15,711
UCL221051,48,11,14,0,323
UCL221052,60,56,34,18,345
UCL221053,64,47,20,13,287
UCL221054,44,17,0,0,233
UCL221055,73,72,36,9,400
UCL221056,73,92,24,3,329
UCL221057,77,59,25,7,300
UCL221058,47,33,11,0,306
UCL221059,60,39,24,3,331
UCL221060,77,97,62,20,330
UCL221061,67,36,8,3,387
UCL221062,80,75,35,8,373
UCL221063,48,37,18,18,241
UCL221064,43,20,3,0,314
UCL221065,59,31,11,0,266
UCL221066,37,24,4,4,173
UCL221067,72,71,19,6,401
UCL221068,76,74,33,13,445
UCL221069,131,82,17,9,793
UCL221070,58,46,33,11,333
UCL221071,50,19,0,0,267
UCL221072,96,115,52,30,469
UCL221073,98,80,36,10,364
UCL221074,152,135,60,9,597
UCL221075,75,61,29,21,328
UCL221076,60,31,7,0,271
UCL221077,72,69,19,5,294
UCL221078,74,44,15,6,308
UCL221079,70,45,3,0,409
UCL221080,45,27,24,17,231
UCL221081,114,77,42,22,547
UCL221082,62,32,13,3,298
UCL222001,32,18,5,6,156
UCL222002,54,33,12,0,209
UCL222003,25,11,6,0,106
UCL222004,3,0,0,0,20
UCL222005,15,16,8,0,99
UCL222006,50,40,5,3,225
UCL222007,21,21,3,3,105
UCL222008,34,25,6,0,149
UCL222009,33,22,13,7,144
UCL222010,34,25,8,0,179
UCL222011,33,12,3,0,162
UCL222012,46,24,9,5,153
UCL222013,33,21,18,0,128
UCL222014,79,39,8,3,221
UCL222015,51,21,6,3,198
UCL222016,26,13,0,0,170
UCL222017,28,16,9,0,216
UCL222018,36,10,5,0,181
UCL222019,22,25,8,0,120
UCL222020,20,16,16,7,97
UCL222021,24,7,0,0,150
UCL222022,42,13,13,0,181
UCL222023,20,9,6,0,104
UCL222024,32,26,3,5,136
UCL222025,29,27,6,3,210
UCL222026,15,20,4,0,185
UCL222027,18,15,7,3,94
UCL222028,57,30,10,0,190
UCL222029,27,21,4,0,133
UCL222030,48,45,22,0,212
UCL222031,19,12,3,4,124
UCL222032,37,21,3,7,241
UCL222033,16,11,9,3,92
UCL222034,31,16,8,0,110
UCL222035,19,15,3,7,89
UCL222036,28,23,5,0,164
UCL222037,30,27,7,4,139
UCL222038,37,23,0,0,118
UCL222039,33,11,11,3,123
UCL222040,17,15,3,3,86
UCL222041,18,14,6,0,103
UCL222042,17,15,4,0,109
UCL222043,34,24,3,0,158
UCL222044,45,23,15,10,186
UCL222045,26,16,0,6,134
UCL222046,27,19,11,3,98
UCL222047,36,28,7,3,202
UCL222048,52,35,12,4,183
UCL222049,34,14,13,7,127
UCL222050,29,16,4,0,144
UCL222051,25,20,16,5,158
UCL222052,14,14,4,0,83
UCL222053,21,16,13,0,102
UCL222054,44,29,13,5,143
UCL222055,60,46,8,3,244
UCL222056,48,58,12,0,194
UCL222057,46,22,19,6,218
UCL222058,29,21,3,0,173
UCL222059,27,22,3,0,152
UCL222060,26,20,12,0,136
UCL222061,45,40,16,10,164
UCL222062,14,6,3,0,153
UCL222063,17,16,0,0,116
UCL222064,12,3,3,0,124
UCL222065,13,10,8,3,90
UCL222066,18,8,6,3,69
UCL222067,12,4,0,0,95
UCL222068,42,21,16,32,209
UCL222069,50,45,21,13,216
UCL222070,40,21,8,0,234
UCL222071,17,17,3,0,98
UCL222072,24,12,4,3,96
UCL222073,18,12,12,0,95
UCL222074,41,34,14,7,219
UCL222075,20,11,8,0,106
UCL222076,32,29,9,0,215
UCL222077,35,9,7,4,123
UCL222078,49,34,13,13,181
UCL222079,32,20,7,4,150
UCL222080,35,33,12,0,122
UCL222081,29,10,3,0,143
UCL222082,14,15,0,0,89
UCL222083,40,13,11,0,179
UCL222084,26,14,15,3,147
UCL222085,18,22,7,0,76
UCL222086,33,43,10,10,200
UCL222087,22,18,10,0,106
UCL222088,61,26,11,3,221
UCL222089,80,84,20,4,276
UCL222090,19,30,17,7,151
UCL222091,37,25,9,0,113
UCL222092,16,18,3,3,120
UCL222093,16,3,3,4,94
UCL222094,79,58,25,24,287
UCL222095,36,33,19,12,170
UCL222096,32,23,7,0,128
UCL222097,17,12,4,4,128
UCL222098,41,22,12,0,216
UCL222099,37,26,15,6,178
UCL222100,44,19,5,0,213
UCL222101,35,24,8,3,129
UCL222102,21,9,5,0,90
UCL222103,24,5,5,0,107
UCL222104,27,16,9,5,165
UCL222105,45,24,10,7,170
UCL222106,28,21,3,0,170
UCL222107,35,21,0,0,208
UCL222108,36,48,21,3,190
UCL222109,20,26,16,0,118
UCL222110,34,24,3,4,199
UCL222111,12,10,3,0,115
UCL222112,6,5,9,0,61
UCL222113,31,20,6,0,161
UCL222114,18,3,3,0,90
UCL222115,20,32,7,3,119
UCL222116,21,20,4,0,120
UCL222117,48,17,5,0,193
UCL222118,9,18,7,0,102
UCL222119,16,3,7,0,87
UCL222120,19,13,3,0,101
UCL222121,16,9,3,0,83
UCL222122,16,10,7,0,88
UCL231777,42184,27084,8692,2163,200936
UCL279997,10,0,0,0,25
UCL299994,526,263,61,19,4580
