UCL_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
UCL212005,155,13,7,0,0,173,100,6,0,0,0,109,78,3,0,0,0,78,153,17,3,0,0,167,246,12,7,0,0,272,774,60,17,0,0,846,773,25,3,0,0,805,582,19,3,0,0,601,153,12,0,0,0,168,90,4,0,0,0,102,63,3,0,0,0,64,125,12,3,0,0,133,3283,181,37,3,5,3511
UCL213001,84,5,0,0,0,93,54,6,0,0,0,57,45,4,0,0,0,46,87,3,0,0,0,93,159,10,0,0,0,174,503,36,0,0,0,535,636,25,0,0,0,662,526,36,0,0,0,558,129,23,0,0,0,146,96,8,0,0,0,101,18,0,0,0,0,24,103,4,0,0,0,111,2442,154,3,3,5,2599
UCL213002,59,0,3,0,0,62,50,0,0,0,0,53,45,3,0,0,0,49,80,0,0,0,0,85,154,0,0,0,0,154,373,0,0,0,0,377,303,0,0,0,0,308,139,0,0,0,0,141,33,0,0,0,0,33,28,0,0,0,0,28,15,0,0,0,0,13,45,0,0,0,0,49,1322,15,3,3,4,1350
UCL213003,53,3,0,0,3,61,43,0,0,0,0,40,47,4,0,0,0,52,103,3,0,0,0,105,152,3,0,0,0,154,425,8,0,3,0,436,291,0,0,0,0,293,142,3,0,0,0,140,28,0,0,0,0,33,22,0,0,0,0,22,16,0,0,0,0,16,68,0,0,0,0,73,1395,28,0,3,3,1427
UCL213004,75,3,0,0,0,74,38,0,0,0,0,39,31,0,0,0,0,34,62,0,0,0,0,65,89,3,3,0,0,98,345,10,0,0,0,355,386,3,0,0,0,387,297,0,0,0,0,302,84,0,0,0,0,84,53,0,0,0,0,53,26,0,0,0,0,21,65,0,3,0,0,71,1544,26,7,5,0,1585
UCL213005,70,3,0,0,0,71,52,0,0,0,0,55,53,3,0,0,0,55,99,4,0,0,0,103,112,3,0,0,0,114,339,12,0,0,0,347,434,3,0,0,0,436,333,4,0,0,3,340,87,0,0,0,0,89,52,0,0,0,0,55,34,0,0,0,0,34,64,4,0,0,0,72,1730,29,0,0,5,1770
UCL213006,59,3,0,0,0,61,31,3,0,0,0,32,35,0,0,0,0,33,79,3,0,0,0,78,111,9,0,0,0,116,404,17,0,0,3,421,322,13,0,0,0,331,185,4,0,0,0,193,56,0,0,0,0,56,40,0,0,0,0,40,23,0,0,0,0,29,53,0,0,0,0,57,1398,58,3,0,4,1457
UCL213007,91,3,0,0,0,92,63,0,0,0,0,65,70,4,0,0,0,73,192,0,3,0,0,193,237,6,7,0,0,255,581,10,7,0,0,602,380,3,0,0,0,383,210,0,0,0,0,211,59,0,0,0,0,59,34,0,0,0,0,34,25,0,0,0,0,27,66,0,3,0,0,64,1999,31,23,0,0,2059
UCL213008,77,6,0,0,0,86,35,3,0,0,0,42,39,4,0,0,0,41,60,3,0,0,0,65,116,12,0,0,0,127,338,29,0,0,0,366,474,31,0,0,0,512,513,16,0,0,0,531,158,4,0,0,0,167,64,5,0,0,0,72,32,0,0,0,0,32,75,8,0,0,0,80,1990,124,0,0,0,2123
UCL213009,85,0,0,0,0,83,46,3,0,0,0,50,26,0,0,0,0,27,65,3,0,0,0,65,115,5,0,0,0,124,353,8,0,0,0,362,480,8,0,0,0,491,475,6,0,0,0,480,101,0,0,0,0,101,58,0,0,0,0,58,20,0,0,0,0,20,81,0,0,0,0,81,1905,43,0,0,0,1946
UCL213010,65,3,4,0,0,75,106,3,0,0,0,112,101,6,3,0,0,103,226,5,0,0,0,234,250,3,3,0,0,257,483,14,0,0,0,496,198,4,0,0,0,204,127,0,0,0,0,129,24,0,0,0,0,24,17,0,0,0,0,17,12,0,0,0,0,12,77,4,3,0,0,83,1684,51,12,4,0,1752
UCL213011,74,0,3,0,0,78,85,3,3,0,0,88,90,3,3,0,0,98,205,0,7,0,0,215,252,3,3,0,0,264,362,3,0,0,0,365,135,0,0,0,0,138,95,0,0,0,0,92,24,0,0,0,0,24,14,0,0,0,0,14,4,0,0,0,0,4,58,0,0,0,0,58,1401,14,25,0,3,1440
UCL213012,114,3,0,0,0,121,54,3,0,0,0,57,52,4,0,0,0,57,81,8,0,0,0,88,119,12,0,0,0,123,322,18,4,0,0,340,387,21,0,0,0,409,569,28,4,0,0,598,237,8,0,0,0,245,186,7,0,0,0,190,79,6,0,0,0,88,101,4,0,0,0,111,2299,114,10,0,6,2432
UCL213013,71,3,3,0,0,78,40,0,0,0,0,47,66,0,0,0,0,64,98,0,0,0,0,106,117,0,0,0,0,119,329,5,0,0,0,337,199,4,3,0,0,203,113,0,0,0,0,112,29,0,0,0,0,33,27,0,0,0,0,27,15,0,0,0,0,16,67,0,0,0,0,67,1177,10,13,0,7,1205
UCL213014,68,4,5,0,0,76,55,4,0,0,0,63,54,3,4,0,0,57,89,3,0,0,0,93,160,7,3,0,0,173,368,12,3,0,0,386,328,3,7,0,0,340,185,0,0,0,0,192,72,0,0,0,0,72,38,0,0,0,0,38,15,0,0,0,0,15,49,0,0,0,0,53,1479,37,21,9,5,1555
UCL213015,34,3,0,0,0,40,27,0,0,0,0,31,27,0,0,0,0,33,99,3,0,0,0,103,135,5,7,0,0,150,280,8,3,0,3,297,206,5,3,0,3,214,146,0,0,0,3,149,27,0,0,0,0,26,26,0,0,0,0,26,17,0,0,0,0,22,52,4,0,0,3,57,1086,23,18,0,15,1140
UCL213016,91,5,0,0,0,100,46,3,0,0,0,45,42,4,0,0,0,46,51,3,0,0,0,50,90,3,0,0,0,97,274,14,0,0,0,291,304,12,0,0,0,324,525,15,0,0,0,546,307,11,0,0,0,319,247,6,3,0,0,255,124,3,0,0,0,134,94,0,0,0,0,99,2201,96,10,0,0,2302
UCL213017,98,3,0,0,0,105,81,0,0,0,0,80,64,0,0,0,0,64,130,13,0,0,0,143,236,16,0,0,0,253,613,25,3,0,0,637,449,8,0,0,0,462,282,0,0,0,0,291,78,0,0,0,0,78,45,3,0,0,0,50,17,0,0,0,0,22,87,3,0,0,0,87,2186,74,7,3,4,2273
UCL213018,101,3,0,0,0,102,43,0,3,0,0,43,40,0,0,0,0,40,78,0,0,0,0,79,122,3,3,0,0,128,450,3,4,0,0,456,375,0,3,0,3,381,296,0,0,0,0,305,97,0,0,0,0,96,61,0,0,0,0,56,33,0,0,0,0,33,68,3,0,0,0,69,1762,19,19,0,3,1799
UCL214001,34,0,0,0,0,34,45,0,0,0,0,45,51,3,0,0,0,48,98,3,0,0,0,101,132,0,0,0,0,138,231,0,0,0,0,228,98,0,0,0,0,102,50,0,0,0,0,57,10,0,0,0,0,9,12,0,0,0,0,12,3,0,0,0,0,7,33,0,3,0,0,33,794,3,9,4,0,813
UCL214002,43,0,0,0,0,43,44,0,0,0,0,44,30,0,8,0,0,33,99,0,3,0,0,105,126,0,3,0,0,133,287,0,5,0,4,297,150,0,3,0,0,158,110,0,0,0,0,109,26,0,0,0,0,31,22,0,0,0,0,22,9,0,0,0,0,13,55,0,0,0,0,53,1001,3,22,3,9,1035
UCL214003,88,3,0,0,3,97,51,0,0,0,0,57,41,0,0,0,0,44,82,0,0,0,0,89,100,3,0,0,0,107,275,3,0,0,3,285,224,0,0,0,0,223,164,0,0,0,0,161,35,0,0,0,0,40,27,0,0,0,3,30,15,0,0,0,0,15,35,3,0,0,0,42,1149,14,6,0,9,1178
UCL214004,17,0,0,0,0,16,25,0,0,0,0,25,11,0,0,0,0,9,21,0,0,0,0,21,76,0,0,0,0,75,145,0,0,0,0,144,90,0,0,0,0,90,57,0,0,0,0,57,20,0,0,0,0,20,10,0,0,0,0,10,3,0,0,0,0,4,28,0,0,0,0,28,507,3,3,0,0,512
UCL214005,4,0,0,0,0,4,6,0,0,0,0,6,4,0,0,0,0,4,11,0,0,0,0,11,17,0,0,0,0,16,37,0,0,0,0,40,32,0,0,0,0,35,22,0,0,0,0,22,8,0,0,0,0,10,3,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,6,149,0,4,0,0,155
UCL214006,47,4,0,0,0,49,25,0,0,0,0,25,31,0,0,0,0,31,40,9,0,0,0,50,57,4,0,0,0,65,165,17,0,0,0,188,251,16,0,0,0,272,404,10,0,0,0,412,211,10,0,0,0,218,136,3,0,0,0,141,75,0,0,0,0,75,75,3,0,0,0,77,1518,73,0,0,0,1591
UCL214007,57,0,0,0,0,54,58,0,0,0,0,55,46,0,0,0,0,44,127,3,0,0,0,132,134,0,0,0,0,134,295,0,0,0,0,298,153,0,0,0,0,152,81,0,0,0,0,78,25,0,0,0,0,25,22,0,0,0,0,22,12,0,0,0,0,11,44,0,0,0,0,44,1035,4,3,5,3,1057
UCL214008,46,3,0,0,0,48,40,0,0,0,0,40,31,0,0,0,0,29,65,3,0,0,0,69,82,3,4,0,0,90,240,13,0,0,3,260,272,11,0,0,0,286,268,14,0,0,0,280,75,0,0,0,0,78,45,0,0,0,0,49,29,0,0,0,0,25,59,0,0,0,0,56,1251,55,6,0,3,1315
UCL214009,17,0,0,0,0,17,9,0,0,0,0,12,9,0,0,0,0,8,17,0,0,0,0,17,23,0,0,0,0,23,80,0,0,0,0,85,83,0,0,0,0,88,104,3,0,0,0,110,35,0,0,0,0,35,28,0,0,0,0,29,21,0,0,0,0,21,20,0,0,0,0,19,441,8,3,0,0,457
UCL214010,35,4,0,0,0,39,24,0,0,0,0,24,18,0,0,0,0,20,37,3,0,0,0,40,49,4,0,0,0,58,173,4,0,0,0,175,212,9,0,0,0,218,212,0,0,0,0,212,62,0,0,0,0,62,41,0,0,0,0,45,19,0,0,0,0,19,59,0,0,0,0,56,943,21,0,0,3,968
UCL214011,21,0,0,0,0,21,22,0,0,0,0,22,22,0,0,0,0,23,51,0,4,0,0,57,86,0,3,0,0,87,185,0,0,0,0,189,111,0,0,0,0,116,67,0,0,0,0,73,16,0,0,0,0,16,14,0,0,0,0,14,6,0,0,0,0,6,21,0,0,0,0,24,629,4,11,0,0,646
UCL214012,38,0,0,0,0,38,18,0,0,0,0,16,24,0,0,0,0,23,38,0,0,0,0,38,49,0,0,0,0,53,133,0,3,0,0,135,103,0,0,0,0,105,71,0,0,0,0,71,21,0,0,0,0,20,5,0,0,0,0,11,7,0,0,0,0,7,24,0,0,0,0,24,532,9,5,0,0,547
UCL214013,29,0,0,0,0,31,14,0,0,0,0,14,15,0,0,0,0,15,35,0,0,0,0,41,46,0,0,0,0,50,153,0,0,0,0,151,141,0,0,0,0,145,97,0,0,0,0,99,13,0,0,0,0,13,13,0,0,0,0,11,3,0,0,0,0,3,14,0,3,0,0,18,580,5,10,0,0,591
UCL214014,40,0,0,0,0,45,64,0,0,0,0,66,51,5,0,0,0,55,82,0,0,0,0,85,146,0,0,0,0,146,200,6,0,0,0,209,94,0,0,0,0,101,46,0,0,0,0,46,6,0,0,0,0,6,9,0,0,0,0,9,10,0,0,0,0,10,37,3,0,0,0,47,784,17,3,3,5,810
UCL214015,34,0,3,0,0,38,11,0,0,0,0,13,18,0,0,0,0,18,33,4,0,0,0,34,37,0,0,0,0,36,103,4,0,0,0,111,122,0,3,0,0,127,106,0,0,0,0,108,37,0,0,0,0,37,21,0,0,0,0,26,10,0,0,0,0,10,36,0,0,0,0,37,565,13,7,0,0,593
UCL214016,33,0,0,0,0,37,27,0,3,0,0,24,20,0,0,0,0,20,46,0,0,0,0,46,89,0,4,0,0,87,178,0,0,0,0,175,113,0,0,0,0,121,48,0,0,0,0,49,13,0,0,0,0,13,4,0,0,0,0,10,11,0,0,0,0,11,27,0,0,0,0,27,608,3,8,0,0,624
UCL214017,24,0,0,0,0,22,31,0,0,0,0,31,34,0,0,0,0,35,107,0,0,0,0,109,113,0,0,0,3,117,158,0,0,0,0,157,67,0,0,0,0,66,24,0,0,0,0,24,9,0,0,0,0,6,5,0,0,0,0,7,7,0,0,0,0,7,32,0,0,0,0,32,603,0,0,3,7,614
UCL214018,34,0,0,0,0,34,25,0,0,0,0,27,17,0,0,0,0,17,45,0,0,0,0,45,68,3,0,0,0,75,258,10,7,0,0,280,378,9,0,0,0,390,372,0,0,0,0,373,130,0,0,0,0,131,74,0,0,0,0,74,41,0,0,0,0,41,76,0,0,0,0,78,1520,38,7,0,5,1565
UCL214019,25,0,0,0,0,25,34,0,0,0,0,34,33,0,0,0,0,29,72,0,0,0,0,72,89,0,0,0,0,89,236,3,0,0,0,243,168,0,0,0,0,167,79,0,0,0,0,85,21,0,0,0,0,21,7,0,0,0,0,7,14,0,0,0,0,14,45,0,0,0,0,45,829,4,0,0,0,837
UCL214020,37,0,3,0,0,40,26,0,0,0,0,26,20,0,0,0,0,20,44,0,0,0,0,51,69,0,3,0,0,70,176,0,0,0,0,179,168,0,0,0,0,169,120,0,0,0,0,121,40,0,0,0,0,37,21,0,0,0,0,21,13,0,0,0,0,13,40,0,0,0,0,40,767,11,4,0,0,786
UCL215001,12,0,0,0,0,12,3,0,0,0,0,3,3,0,0,0,0,3,6,0,0,0,0,6,9,0,0,0,0,9,20,0,0,0,0,20,13,0,0,0,0,13,23,0,0,0,0,23,10,0,0,0,0,10,13,0,0,0,0,13,4,0,0,0,0,4,4,0,0,0,0,4,121,0,0,0,0,121
UCL215002,8,0,0,0,0,9,8,0,0,0,0,8,11,0,0,0,0,11,18,0,0,0,0,18,26,0,0,0,0,26,88,0,0,0,0,94,62,0,0,0,0,62,32,0,0,0,0,32,8,0,0,0,0,10,8,0,0,0,0,8,3,0,0,0,0,3,9,0,0,0,0,10,285,3,0,0,0,291
UCL215003,19,3,0,0,0,22,5,0,0,0,0,11,3,0,0,0,0,3,4,0,0,0,0,4,17,0,0,0,0,17,38,0,0,0,0,42,39,0,0,0,0,39,52,0,0,0,0,50,36,0,0,0,0,36,16,0,0,0,0,16,4,0,0,0,0,4,12,0,0,0,0,12,251,3,4,0,0,257
UCL215004,4,0,0,0,0,4,3,0,0,0,0,3,3,0,0,0,0,3,6,0,0,0,0,6,6,0,0,0,0,6,19,0,5,0,0,25,10,0,0,0,0,13,28,0,0,0,0,32,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,9,0,0,0,0,9,102,3,5,3,0,112
UCL215005,17,0,3,0,0,21,11,0,0,0,0,15,7,0,0,0,0,7,21,0,0,0,0,21,21,0,0,0,0,21,86,0,3,0,0,85,72,0,3,0,0,78,62,0,0,0,0,64,15,0,0,0,0,15,6,0,0,0,0,6,9,0,0,0,0,9,19,0,0,0,0,19,354,0,9,0,0,363
UCL215006,18,0,0,0,0,21,9,0,0,0,0,9,6,0,0,0,0,6,10,0,0,0,0,10,11,0,0,0,0,11,54,0,0,0,0,53,49,0,0,0,0,49,60,0,0,0,0,64,36,0,0,0,0,36,27,0,0,0,0,27,9,0,0,0,0,9,15,0,0,0,0,17,303,3,0,0,0,312
UCL215007,17,0,0,0,0,17,15,0,0,0,0,15,14,0,0,0,0,14,18,0,0,0,0,18,35,0,0,0,0,35,138,0,0,0,0,142,207,0,0,0,0,207,290,0,0,0,0,290,86,0,0,0,0,86,40,0,0,0,0,40,18,0,0,0,0,18,44,0,0,0,0,45,922,0,0,0,0,919
UCL215008,4,0,0,0,0,9,3,0,0,0,0,3,4,0,0,0,0,4,7,0,0,0,0,7,15,0,0,0,0,15,56,0,0,0,0,60,90,0,0,0,0,87,77,0,0,0,0,77,20,0,0,0,0,20,10,0,0,0,0,12,8,0,0,0,0,8,15,0,0,0,0,15,308,3,0,0,0,313
UCL215009,0,0,0,0,0,0,9,0,0,0,0,9,11,0,0,0,0,11,14,0,0,0,0,14,15,0,0,0,0,15,29,0,0,0,0,29,7,0,0,0,0,8,5,0,0,0,0,5,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,97,0,0,0,0,95
UCL215010,19,0,0,0,0,19,4,0,0,0,0,4,4,0,0,0,0,7,3,0,0,0,0,3,10,0,0,0,0,10,32,0,0,0,0,32,46,0,0,0,0,46,85,0,0,0,0,85,55,0,0,0,0,55,48,0,0,0,0,51,27,0,0,0,0,27,14,0,0,0,0,19,353,0,0,0,3,352
UCL215011,10,0,0,0,0,10,7,0,0,0,0,7,3,0,0,0,0,3,12,0,0,0,0,12,16,0,0,0,0,16,31,0,0,0,0,31,13,0,0,0,0,13,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,99,0,0,0,0,100
UCL215012,21,0,0,0,0,21,9,0,0,0,0,9,10,0,0,0,0,10,23,0,0,0,0,18,29,0,0,0,0,29,66,0,0,0,0,66,75,3,0,0,0,84,51,0,0,0,3,53,14,0,0,0,0,18,3,0,0,0,4,7,3,0,0,0,0,3,13,0,0,0,0,10,319,8,4,0,3,328
UCL215013,11,0,0,0,0,11,3,0,0,0,0,3,3,0,0,0,0,3,8,0,0,0,0,8,10,0,0,0,0,10,30,0,0,0,0,30,69,0,0,0,0,69,139,0,0,0,0,145,48,0,0,0,0,48,29,0,0,0,0,29,5,0,0,0,0,5,28,0,0,0,0,28,385,0,0,0,0,388
UCL215014,15,0,0,0,0,15,3,0,0,0,0,3,0,0,0,0,0,0,11,0,0,0,0,11,19,0,0,0,0,19,41,0,0,0,0,41,64,0,0,0,0,64,63,0,0,0,0,63,18,0,0,0,0,18,3,0,0,0,0,3,5,0,0,0,0,5,9,0,0,0,0,9,256,0,0,0,0,253
UCL215015,11,0,0,0,0,6,12,0,0,0,0,9,7,0,3,0,0,11,4,0,0,0,0,8,14,0,0,0,3,19,45,0,3,0,0,54,46,0,0,0,0,46,32,0,0,0,0,30,12,0,0,0,0,12,8,0,0,0,0,8,6,0,0,0,0,10,8,0,0,0,0,8,208,3,12,0,3,224
UCL215016,22,0,0,0,0,22,11,0,0,0,0,11,25,0,0,0,0,26,37,0,0,0,0,36,44,0,3,0,0,47,181,0,6,0,0,187,144,0,3,0,0,144,77,0,0,0,0,77,22,0,0,0,0,22,7,0,0,0,0,7,6,0,0,0,0,6,41,0,0,0,0,41,628,0,9,0,0,635
UCL215017,14,0,0,0,0,14,5,0,0,0,0,5,12,0,0,0,0,12,4,0,0,0,0,4,20,0,0,0,0,20,59,3,0,0,0,60,68,0,0,0,0,65,70,0,0,0,0,73,18,0,0,0,0,18,12,0,0,0,0,12,5,0,0,0,0,5,11,0,0,0,0,13,293,10,0,0,0,301
UCL215018,22,0,0,0,0,23,10,0,0,0,0,10,15,0,0,0,0,17,39,0,0,0,0,39,54,0,0,0,0,54,91,0,0,0,0,91,39,0,0,0,0,39,33,0,0,0,0,33,8,0,0,0,0,8,6,0,0,0,0,3,0,0,0,0,0,0,12,0,0,0,0,12,329,0,4,0,0,333
UCL215019,14,0,0,0,0,14,10,0,0,0,0,10,15,0,0,0,0,15,15,0,0,0,0,15,12,0,0,0,0,12,55,0,0,0,0,55,65,0,0,0,0,65,45,0,0,0,0,45,8,0,0,0,0,11,9,0,0,0,0,9,4,0,0,0,0,4,13,0,0,0,0,13,262,0,0,0,0,265
UCL215020,4,0,0,0,0,4,17,0,0,0,0,17,25,0,0,0,0,28,18,0,0,0,0,18,19,0,0,0,0,23,23,0,0,0,0,23,6,0,0,0,0,6,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,131,0,0,0,0,132
