UCL_CODE_2016,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_0_4,P_Hong_Kong_5_14,P_Hong_Kong_15_24,P_Hong_Kong_25_44,P_Hong_Kong_45_54,P_Hong_Kong_55_64,P_Hong_Kong_65_74,P_Hong_Kong_75_84,P_Hong_Kong_85ov,P_Hong_Kong_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_Nthern_Ireland_0_4,P_Nthern_Ireland_5_14,P_Nthern_Ireland_15_24,P_Nthern_Ireland_25_44,P_Nthern_Ireland_45_54,P_Nthern_Ireland_55_64,P_Nthern_Ireland_65_74,P_Nthern_Ireland_75_84,P_Nthern_Ireland_85ov,P_Nthern_Ireland_Tot,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot
UCL212005,0,0,0,0,0,0,3,3,3,13,0,0,9,22,3,0,0,0,0,33,0,9,4,47,7,3,5,0,0,80,0,0,0,15,3,0,0,0,0,25,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,10,3,21,6,8,6,0,3,64,0,0,3,4,0,4,9,3,3,25,0,0,0,13,3,0,0,0,0,20,0,0,37,60,0,0,0,0,0,97,0,0,0,0,0,0,3,0,0,3,0,3,3,21,6,9,0,0,0,40,0,0,0,0,4,0,12,0,0,18,0,3,0,4,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,3,0,0,4,3,4,14,41,23,6,88,7,28,36,111,64,56,30,10,0,345,0,0,0,4,4,7,10,6,3,25,0,0,0,0,0,0,0,0,0,0
UCL213001,0,0,0,0,3,5,8,4,0,25,0,0,0,3,0,0,0,0,0,8,10,6,11,100,3,11,10,0,3,145,0,0,0,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,6,8,9,4,0,42,0,0,0,0,5,17,14,15,3,55,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,4,5,0,0,0,18,0,0,0,9,11,19,21,8,7,69,0,0,0,3,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,15,27,12,6,73,0,15,24,89,41,32,27,7,0,237,0,0,0,3,5,0,6,4,0,24,0,0,0,3,3,0,0,0,0,4
UCL213002,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,5,0,5,0,51,0,3,9,3,0,65,0,0,0,7,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,4,0,3,0,13,0,0,0,3,0,6,15,25,10,61,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,4,3,0,0,16,0,0,0,0,0,3,6,3,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,10,19,22,0,57,0,3,3,36,24,32,13,11,0,126,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,6
UCL213003,0,0,0,0,0,3,0,0,0,4,0,0,0,6,0,0,0,0,0,4,3,3,0,29,0,4,0,0,0,37,0,0,0,4,0,0,0,0,0,4,0,3,3,3,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,0,0,0,0,0,17,15,10,49,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,4,0,0,0,3,0,8,12,10,3,33,0,16,12,35,17,18,11,5,3,116,0,0,0,0,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,10
UCL213004,0,0,0,0,0,4,0,8,0,14,0,0,0,4,0,0,0,0,0,12,0,0,0,16,3,4,9,0,0,30,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8,4,4,0,20,0,0,0,0,3,4,11,7,3,34,0,0,0,3,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,5,0,0,0,0,0,3,3,3,0,7,0,0,0,3,5,0,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,29,45,29,8,110,0,5,17,43,22,16,17,7,0,129,0,0,0,3,4,4,8,0,0,24,0,0,0,0,0,0,0,0,0,0
UCL213005,0,3,0,0,8,4,4,7,0,20,0,0,0,0,0,3,0,0,0,0,0,0,0,8,10,4,5,0,0,33,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,8,5,6,8,9,3,33,0,0,0,0,9,11,19,9,7,47,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,9,0,0,0,17,0,0,0,0,0,3,15,4,0,25,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,24,19,8,74,0,4,9,33,32,21,21,13,0,133,0,0,0,0,3,4,4,4,3,19,0,0,0,0,0,0,0,0,0,0
UCL213006,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,3,0,0,0,6,4,0,3,38,0,0,0,3,3,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,3,9,0,3,3,32,0,0,0,3,0,4,12,5,4,29,0,0,0,5,0,0,0,0,0,7,0,0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,13,5,5,32,0,3,12,43,24,25,12,6,7,133,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
UCL213007,0,0,0,0,3,3,4,0,0,13,0,0,0,0,0,0,0,0,0,4,3,18,4,78,9,4,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,0,0,0,16,0,0,0,4,3,3,13,15,12,53,0,0,0,3,3,0,0,0,0,6,0,0,3,3,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,4,0,0,0,0,25,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,7,16,12,0,34,0,4,13,26,9,11,9,3,0,74,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,6
UCL213008,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,3,0,0,0,5,4,5,3,59,0,3,5,0,0,83,0,0,0,5,0,3,4,0,0,8,0,3,0,0,3,0,0,0,0,5,0,0,0,0,3,0,0,0,0,3,0,6,3,17,0,15,4,5,3,48,0,0,3,0,9,4,10,3,0,31,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,4,0,0,0,8,0,0,0,0,0,4,9,0,0,15,0,3,5,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,4,23,38,12,10,91,0,6,12,51,19,20,10,4,0,119,0,0,0,6,10,9,7,3,0,27,0,0,0,0,0,0,0,0,0,0
UCL213009,0,0,0,0,3,6,5,3,0,20,0,0,3,3,0,0,0,3,0,6,0,8,3,43,4,12,0,0,3,85,0,0,0,3,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,3,13,7,8,3,4,0,34,0,0,0,6,4,20,10,20,11,73,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,13,0,0,13,0,0,4,0,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,34,19,3,79,0,5,10,39,24,11,13,3,0,101,0,0,0,0,3,3,7,7,0,22,0,0,4,4,0,0,0,0,0,9
UCL213010,0,0,0,3,0,3,4,4,3,21,0,0,0,4,3,0,0,0,0,8,0,3,0,14,0,0,0,0,0,23,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,17,0,0,0,0,0,5,10,20,7,47,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,4,5,0,0,0,13,0,0,0,0,5,25,59,49,10,143,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,11,9,29,62,74,22,205,0,11,11,33,26,14,20,13,3,132,0,0,0,4,0,3,7,0,3,15,0,0,0,0,0,0,0,0,0,0
UCL213011,0,0,0,0,0,6,3,16,4,33,0,0,0,0,0,5,0,0,0,6,0,5,3,39,4,3,0,3,0,55,0,0,0,0,0,3,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10,0,22,0,0,0,0,15,59,90,116,55,337,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,4,4,0,4,0,0,0,16,0,0,0,3,0,17,53,23,8,109,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,4,3,3,0,0,0,0,9,0,0,0,3,3,19,48,24,13,116,3,0,6,35,13,13,19,4,0,93,0,0,0,0,0,4,15,6,0,29,0,0,0,10,0,0,0,0,0,10
